gene_id	TCGA-BH-A1F6-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F6-11B-94R-A13Q-07
?|100133144	25.2145	?|100133144	6.3687
?|100134869	10.6176	?|100134869	10.337
?|10357	103.0929	?|10357	86.9314
?|10431	943.8944	?|10431	856.0961
?|155060	132.4847	?|155060	148.3001
?|57714	322.4894	?|57714	769.9297
removed	removed	?|645851	16.4127
removed	removed	?|652919	124.0739
?|653553	170.2027	?|653553	132.4736
removed	removed	?|728788	5.8617
removed	removed	?|729884	5.5686
?|8225	344.1773	?|8225	212.7784
removed	removed	?|90288	20.5158
A1BG	137.2796	A1BG	22.9748
A2LD1	89.2456	A2LD1	81.7761
A2ML1	3037.2466	A2ML1	30.4807
A2M	15847.2183	A2M	40112.9513
A4GALT	147.1004	A4GALT	341.7351
AAAS	353.6068	AAAS	447.8312
AACS	636.4922	AACS	702.8136
removed	removed	AADACL3	10.551
removed	removed	AADAC	58.9097
AADAT	13.6728	AADAT	108.4408
AAGAB	1774.1631	AAGAB	1049.8242
AAK1	909.9481	AAK1	2040.4455
AAMP	2093.3522	AAMP	702.5205
AARS2	509.6653	AARS2	171.4273
AARSD1	317.7746	AARSD1	226.2603
AARS	3835.9264	AARS	1833.2356
AASDHPPT	1024.5167	AASDHPPT	983.5873
AASDH	225.8369	AASDH	507.6202
AASS	50.9194	AASS	804.2204
AATF	1044.3187	AATF	502.9308
AATK	40.5469	AATK	24.0328
ABAT	82.0368	ABAT	629.2497
ABCA10	5.1862	ABCA10	861.5328
ABCA11P	51.0184	ABCA11P	143.0627
ABCA12	22.1594	ABCA12	71.5123
ABCA13	120.2263	ABCA13	19.9297
ABCA17P	14.1443	removed	removed
ABCA1	487.9774	ABCA1	4215.9584
ABCA2	944.3659	ABCA2	1235.6389
ABCA3	4674.2103	ABCA3	704.5721
ABCA4	25.9312	ABCA4	87.6319
ABCA5	165.0165	ABCA5	1351.5387
ABCA6	60.8204	ABCA6	1583.5287
ABCA7	396.0396	ABCA7	177.0223
ABCA8	33.9463	ABCA8	4561.2544
ABCA9	65.5351	ABCA9	2168.2298
ABCB10	760.9618	ABCB10	555.6858
ABCB1	48.0905	ABCB1	214.5369
ABCB4	11.3154	ABCB4	20.5158
ABCB5	5.1862	ABCB5	241.7937
ABCB6	739.6322	ABCB6	304.1354
ABCB7	467.2324	ABCB7	536.0492
ABCB8	1031.1174	ABCB8	228.0188
ABCB9	165.6813	ABCB9	69.2849
ABCC10	635.0778	ABCC10	244.4314
ABCC11	13.6728	ABCC11	162.3681
ABCC1	1983.0269	ABCC1	1461.313
ABCC2	276.2848	ABCC2	16.9988
ABCC3	106.082	ABCC3	888.0422
ABCC4	256.9543	ABCC4	232.415
ABCC5	655.3512	ABCC5	1150.0586
removed	removed	ABCC6P1	10.8441
ABCC6P2	5.6577	ABCC6P2	40.1524
ABCC6	37.7181	ABCC6	321.5123
removed	removed	ABCC8	40.4455
ABCC9	117.8689	ABCC9	2262.3095
ABCD1	520.9807	ABCD1	172.0399
ABCD2	22.6308	ABCD2	840.2696
ABCD3	773.2202	ABCD3	2155.6272
ABCD4	300.33	ABCD4	573.5639
ABCE1	2041.0184	ABCE1	2080.0117
ABCF1	1996.6997	ABCF1	1016.1196
ABCF2	2684.5827	ABCF2	973.0363
ABCF3	982.5554	ABCF3	432.0047
ABCG1	258.3687	ABCG1	811.8406
ABCG2	13.2013	ABCG2	335.2872
ABHD10	591.702	ABHD10	758.4994
ABHD11	1621.405	ABHD11	274.0328
removed	removed	ABHD12B	9.6717
ABHD12	1138.6139	ABHD12	714.2438
ABHD13	430.4573	ABHD13	858.4408
ABHD14A	171.6172	ABHD14A	256.4478
ABHD14B	1463.9321	ABHD14B	2037.8077
ABHD15	263.5549	ABHD15	687.5733
ABHD1	11.7869	ABHD1	46.0141
ABHD2	2799.6228	ABHD2	3495.3107
ABHD3	428.5714	ABHD3	376.0258
ABHD4	520.9807	ABHD4	1165.0059
ABHD5	752.4752	ABHD5	1658.8511
ABHD6	114.5686	ABHD6	485.932
ABHD8	132.0132	ABHD8	107.2685
ABI1	3009.9811	ABI1	1823.5258
ABI2	518.6233	ABI2	2044.8417
ABI3BP	191.8906	ABI3BP	5147.714
ABI3	218.2933	ABI3	120.7503
ABL1	1745.4031	ABL1	2442.8488
ABL2	1372.4658	ABL2	2123.6811
ABLIM1	3429.0429	ABLIM1	10917.6436
ABLIM2	173.5031	ABLIM2	82.3564
ABLIM3	84.8656	ABLIM3	2319.1676
removed	removed	ABO	41.6178
ABP1	14.1443	ABP1	5.5686
ABR	1009.901	ABR	1595.5451
ABT1	597.3597	ABT1	384.5252
ABTB1	324.8468	ABTB1	299.5311
ABTB2	567.6568	ABTB2	89.0973
ACAA1	1226.7798	ACAA1	595.2521
ACAA2	905.7049	ACAA2	2714.5369
ACACA	1709.571	ACACA	2990.9144
ACACB	76.8505	ACACB	6560.6682
ACAD10	298.9156	ACAD10	473.6225
ACAD11	214.9929	ACAD11	1180.5363
ACAD8	453.0882	ACAD8	526.9637
ACAD9	1315.5964	ACAD9	726.9519
ACADL	6.6007	ACADL	328.8394
ACADM	857.1429	ACADM	1596.1313
ACADSB	591.702	ACADSB	3271.102
ACADS	273.9274	ACADS	340.2696
ACADVL	2058.9298	ACADVL	3572.6846
ACAN	104.6676	ACAN	24.9121
ACAP1	114.5686	ACAP1	16.9988
ACAP2	1153.7011	ACAP2	2416.7644
ACAP3	564.3753	ACAP3	221.8845
ACAT1	2180.1037	ACAT1	2124.2673
ACAT2	363.041	ACAT2	236.4771
ACBD3	1911.3626	ACBD3	1722.7433
ACBD4	80.1509	ACBD4	150.0586
ACBD5	1028.76	ACBD5	856.9754
ACBD6	474.3046	ACBD6	247.3623
ACBD7	443.6587	ACBD7	44.5487
removed	removed	ACCN1	10.8441
ACCN2	220.1792	ACCN2	121.6295
ACCN3	7.5436	removed	removed
ACCS	158.8873	ACCS	341.7351
ACD	376.2376	ACD	230.9496
ACE2	162.1876	ACE2	37.2216
ACER2	54.2197	ACER2	376.3189
ACER3	187.6473	ACER3	1017.585
ACE	217.3503	ACE	555.0996
ACHE	19.3305	ACHE	6.7409
ACIN1	1773.2202	ACIN1	2258.2063
ACLY	3946.7232	ACLY	2730.9496
ACN9	210.7496	ACN9	163.8335
ACO1	977.8406	ACO1	5240.9144
ACO2	3167.52	ACO2	1950.6917
ACOT11	12.2584	ACOT11	24.9238
ACOT13	616.4922	ACOT13	618.6313
ACOT1	351.7209	ACOT1	798.0657
ACOT2	228.1942	ACOT2	521.3951
ACOT4	62.2348	ACOT4	139.5076
removed	removed	ACOT6	8.4994
ACOT7	1231.4946	ACOT7	199.8828
ACOT8	451.7539	ACOT8	152.3242
ACOT9	924.5639	ACOT9	767.2919
ACOX1	1017.9161	ACOX1	4849.3552
ACOX2	33.9463	ACOX2	340.5627
ACOX3	392.2678	ACOX3	491.7937
ACOXL	6.6007	removed	removed
ACP1	2228.6657	ACP1	1274.9121
ACP2	2010.8439	ACP2	813.0129
ACP5	596.8883	ACP5	883.646
ACP6	159.8303	ACP6	240.0352
ACPL2	372.4658	ACPL2	373.9742
ACPP	33.4748	ACPP	31.3599
ACRBP	36.7751	ACRBP	43.0832
ACRC	20.2735	ACRC	20.2227
removed	removed	ACR	6.4478
ACSBG1	5.1862	ACSBG1	26.6706
ACSF2	281.471	ACSF2	501.1723
ACSF3	352.6638	ACSF3	141.5592
ACSL1	2616.2188	ACSL1	22743.5522
ACSL3	5036.3036	ACSL3	3443.1419
ACSL4	1135.785	ACSL4	3372.8019
ACSL5	215.4644	ACSL5	889.5076
ACSL6	26.4026	ACSL6	11.1372
removed	removed	ACSM1	14.9472
ACSM3	115.6483	ACSM3	105.4484
ACSM5	6.6007	ACSM5	265.8265
ACSS1	131.5417	ACSS1	392.4385
ACSS2	1066.4781	ACSS2	2660.3165
ACSS3	77.322	ACSS3	661.4889
ACTA1	21.2164	ACTA1	129.8359
removed	removed	ACTA2	34779.3376
ACTBL2	52.8053	ACTBL2	6.7409
ACTB	131419.6134	ACTB	87286.9285
removed	removed	ACTC1	26.0844
ACTG1	52626.1198	ACTG1	43000.8792
ACTG2	264.9694	ACTG2	9572.6846
ACTL6A	1438.9439	ACTL6A	740.9144
ACTL8	5669.4955	removed	removed
ACTN1	5733.6162	ACTN1	7345.5451
ACTN2	12.2584	removed	removed
ACTN4	31088.1188	ACTN4	7756.0961
ACTR10	760.0189	ACTR10	1396.8347
ACTR1A	1998.1141	ACTR1A	2450.1758
ACTR1B	861.3861	ACTR1B	675.5569
ACTR2	11172.0886	ACTR2	7644.7831
ACTR3B	582.744	ACTR3B	127.4912
ACTR3C	51.3909	ACTR3C	46.6002
ACTR3	4267.3267	ACTR3	3988.2767
ACTR5	292.7864	ACTR5	133.939
ACTR6	530.4102	ACTR6	631.0082
ACTR8	508.2508	ACTR8	458.9683
ACVR1B	661.4804	ACVR1B	909.7304
ACVR1C	84.8656	ACVR1C	1847.5967
ACVR1	627.5342	ACVR1	1487.9836
ACVR2A	245.6388	ACVR2A	907.9719
ACVR2B	379.0665	ACVR2B	249.7069
ACVRL1	451.6737	ACVRL1	994.7245
ACY1	780.7638	ACY1	384.8183
ACYP1	47.1476	ACYP1	53.3411
ACYP2	252.711	ACYP2	219.5193
ADAL	84.8656	ADAL	291.3247
ADAM10	1479.9623	ADAM10	2706.9168
ADAM11	9.4295	removed	removed
ADAM12	1902.876	ADAM12	1100.2345
ADAM15	6598.3357	ADAM15	2104.3376
ADAM17	1459.6888	ADAM17	1029.6014
ADAM19	1058.9345	ADAM19	156.2134
removed	removed	ADAM21	9.0856
ADAM22	8.0151	ADAM22	177.6084
ADAM23	39.1325	ADAM23	119.578
ADAM28	88.166	ADAM28	58.6166
ADAM32	50.4479	ADAM32	36.9285
ADAM33	27.8171	ADAM33	620.1641
ADAM6	91072.3149	ADAM6	16453.4613
ADAM8	425.2711	ADAM8	36.3423
ADAM9	4227.7228	ADAM9	3244.1383
ADAMDEC1	594.5309	removed	removed
ADAMTS10	21.2164	ADAMTS10	113.7163
ADAMTS12	202.2631	ADAMTS12	336.1665
ADAMTS13	136.2565	ADAMTS13	21.6882
ADAMTS14	57.9915	ADAMTS14	7.3271
ADAMTS15	8.958	ADAMTS15	280.4807
ADAMTS16	20.7449	ADAMTS16	261.7233
ADAMTS17	54.2197	ADAMTS17	49.5311
ADAMTS18	11.3154	ADAMTS18	299.5311
removed	removed	ADAMTS19	14.9472
ADAMTS1	589.8161	ADAMTS1	7985.932
ADAMTS2	364.9222	ADAMTS2	652.6964
ADAMTS3	16.9731	ADAMTS3	250.2931
ADAMTS4	611.504	ADAMTS4	934.9355
ADAMTS5	155.1155	ADAMTS5	5259.6717
ADAMTS6	33.4748	ADAMTS6	72.0985
ADAMTS7	98.0669	ADAMTS7	82.0633
ADAMTS8	67.8925	ADAMTS8	56.5651
ADAMTS9	853.3711	ADAMTS9	1148.007
ADAMTSL1	156.5299	ADAMTSL1	235.6389
ADAMTSL2	11.7869	ADAMTSL2	22.2743
ADAMTSL3	211.2211	ADAMTSL3	479.4842
ADAMTSL4	688.3545	ADAMTSL4	1250
ADAMTSL5	40.0754	ADAMTSL5	51.8757
ADAP1	306.3036	ADAP1	58.3265
ADAP2	417.256	ADAP2	447.5381
