gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
ACOT13	658.687	ACOT13	713.9939
ACOT1	468.8375	ACOT1	2348.222
ACOT2	339.6359	ACOT2	1342.5846
ACOT4	380.9524	ACOT4	232.4371
ACOT6	5.9524	ACOT6	19.5143
ACOT7	377.8011	ACOT7	196.4441
ACOT8	291.9853	ACOT8	230.3599
ACOT9	175.4202	ACOT9	637.4675
ACOX1	607.493	ACOX1	4598.8725
ACOX2	52.521	ACOX2	649.6097
ACOX3	389.7059	ACOX3	433.2177
ACP1	1364.8459	ACP1	904.1631
ACP2	574.93	ACP2	1042.4978
ACP5	498.9496	ACP5	1032.9575
ACP6	112.395	ACP6	188.2047
ACPL2	492.2969	ACPL2	253.2524
ACPP	16.8067	ACPP	10.8413
ACRBP	64.7759	ACRBP	31.6565
ACRC	22.409	ACRC	45.5334
removed	removed	ACR	9.1067
removed	removed	ACSBG1	10.4076
ACSF2	994.0476	ACSF2	1083.6947
ACSF3	226.8908	ACSF3	297.9185
ACSL1	1627.1008	ACSL1	37237.6409
ACSL3	3522.7591	ACSL3	1937.9879
ACSL4	316.5266	ACSL4	2708.5863
ACSL5	424.0196	ACSL5	1078.0572
ACSL6	10.5042	removed	removed
ACSM1	13.6555	removed	removed
ACSM3	36.9048	ACSM3	10.4857
ACSM5	7.7031	ACSM5	1325.2385
ACSS1	480.7423	ACSS1	409.3669
ACSS2	557.423	ACSS2	5777.5369
ACSS3	632.7031	ACSS3	1260.6245
ACTA2	1592.8291	ACTA2	2715.6895
ACTB	52212.535	ACTB	62104.9436
ACTG1	79343.4874	ACTG1	33522.1162
ACTG2	16.1064	ACTG2	60.2775
ACTL6A	1375.3501	ACTL6A	526.0191
ACTN1	4832.2829	ACTN1	5851.6912
ACTN2	58.8235	removed	removed
ACTN4	7268.1127	ACTN4	8309.6964
ACTR10	972.3389	ACTR10	1056.8083
ACTR1A	2371.8487	ACTR1A	3567.216
ACTR1B	1078.7815	ACTR1B	1513.4432
ACTR2	5914.2157	ACTR2	5500.8673
ACTR3B	221.2885	ACTR3B	67.216
ACTR3C	22.0588	ACTR3C	8.673
ACTR3	3038.5154	ACTR3	2549.4363
ACTR5	229.3417	ACTR5	118.8205
ACTR6	765.7563	ACTR6	369.0373
ACTR8	443.9776	ACTR8	472.68
ACVR1B	1283.2633	ACVR1B	810.0607
ACVR1C	10.1541	ACVR1C	3782.7407
ACVR1	731.4426	ACVR1	1094.9696
ACVR2A	191.1765	ACVR2A	431.0494
ACVR2B	797.619	ACVR2B	273.2003
ACVRL1	157.2129	ACVRL1	1930.6158
ACY1	614.4713	ACY1	622.7233
ACYP1	64.0756	ACYP1	49.4363
ACYP2	40.2661	ACYP2	227.2333
removed	removed	ADAD2	11.6132
ADAL	213.2353	ADAL	266.6956
ADAM10	2008.7535	ADAM10	1247.6149
ADAM11	9.8039	ADAM11	8.2394
ADAM12	779.7619	ADAM12	2016.0451
ADAM15	2320.4272	ADAM15	4272.0252
ADAM17	726.8908	ADAM17	683.4345
ADAM19	484.944	ADAM19	191.2402
ADAM22	61.2745	ADAM22	280.5724
ADAM23	12.605	ADAM23	55.5074
ADAM28	65.1261	ADAM28	31.2229
ADAM29	7.7031	removed	removed
ADAM32	16.4566	ADAM32	39.8959
ADAM33	35.014	ADAM33	677.9575
ADAM6	3779.5903	ADAM6	670.5898
ADAM8	172.2689	ADAM8	39.4623
ADAM9	1978.2913	ADAM9	2656.9818
ADAMDEC1	304.6218	ADAMDEC1	10.4076
ADAMTS10	38.5154	ADAMTS10	578.9245
ADAMTS12	324.93	ADAMTS12	769.7311
ADAMTS13	86.1345	ADAMTS13	40.3296
ADAMTS14	157.563	ADAMTS14	8.673
ADAMTS15	538.1653	ADAMTS15	511.2749
ADAMTS16	8.7535	ADAMTS16	225.9324
ADAMTS17	7.3529	ADAMTS17	29.9219
ADAMTS18	11.5546	ADAMTS18	432.3504
ADAMTS1	844.1877	ADAMTS1	12690.3729
ADAMTS2	315.8263	ADAMTS2	1135.7329
ADAMTS3	9.1036	ADAMTS3	244.5794
ADAMTS4	253.1513	ADAMTS4	1551.6045
ADAMTS5	29.4118	ADAMTS5	2761.9254
ADAMTS6	71.0784	ADAMTS6	48.569
ADAMTS7	75.2801	ADAMTS7	343.4519
removed	removed	ADAMTS8	6.5048
ADAMTS9	108.5434	ADAMTS9	1464.0069
ADAMTSL1	258.0532	ADAMTSL1	322.6366
ADAMTSL2	42.7171	ADAMTSL2	141.3703
ADAMTSL3	186.6246	ADAMTSL3	760.1908
ADAMTSL4	74.2297	ADAMTSL4	2016.4788
ADAMTSL5	9.1036	ADAMTSL5	11.2749
ADAP1	61.7577	ADAP1	102.2463
ADAP2	187.3249	ADAP2	357.7624
ADARB1	315.4762	ADARB1	915.8716
ADARB2	10.8543	ADARB2	12.5759
ADAR	18380.9524	ADAR	5496.9644
ADAT1	585.4342	ADAT1	284.4753
ADAT2	99.4398	ADAT2	91.0668
removed	removed	ADAT3	8.673
ADA	104.3417	ADA	219.4276
ADCK1	146.3585	ADCK1	231.1362
ADCK2	758.0532	ADCK2	548.1353
ADCK4	509.8039	ADCK4	495.6635
ADCK5	222.6891	ADCK5	66.7823
ADCY10	9.1036	removed	removed
ADCY1	3508.0532	ADCY1	239.8092
removed	removed	ADCY2	73.7207
ADCY3	942.7381	ADCY3	1996.4831
ADCY4	50.4202	ADCY4	1336.0798
removed	removed	ADCY5	1068.9506
ADCY6	2418.0672	ADCY6	6579.7918
ADCY7	607.1429	ADCY7	1248.4822
ADCY9	1121.1485	ADCY9	807.0252
removed	removed	ADCYAP1R1	138.3348
removed	removed	ADCYAP1	9.974
ADC	177.521	ADC	83.2611
ADD1	4581.5826	ADD1	8843.8855
ADD2	12.9552	ADD2	83.2611
ADD3	1316.1765	ADD3	3437.5542
removed	removed	ADH1A	569.8179
removed	removed	ADH1B	71247.6149
ADH1C	38.1653	ADH1C	613.6167
removed	removed	ADH4	10.8413
ADH5	1581.9328	ADH5	4434.9523
ADHFE1	29.0616	ADHFE1	598.0052
ADI1	809.5238	ADI1	2439.2888
removed	removed	ADIPOQ	117839.9827
ADIPOR1	4598.0392	ADIPOR1	2254.987
ADIPOR2	6976.5406	ADIPOR2	4921.9428
ADK	467.0868	ADK	345.1865
ADM2	271.0084	ADM2	13.8768
ADM	116.9468	ADM	1702.9488
ADNP2	1641.1064	ADNP2	529.9219
ADNP	4854.3417	ADNP	1895.0564
ADORA1	208.3333	ADORA1	305.7242
ADORA2A	1168.4139	ADORA2A	73.7207
ADORA2B	32.2129	ADORA2B	34.6921
ADORA3	57.423	ADORA3	55.0737
ADO	656.1625	ADO	550.7372
ADPGK	702.6015	ADPGK	672.732
ADPRHL1	43.0672	ADPRHL1	54.6401
ADPRHL2	526.2605	ADPRHL2	477.8838
ADPRH	257.0028	ADPRH	724.6314
removed	removed	ADRA1A	226.7997
removed	removed	ADRA1B	63.7467
removed	removed	ADRA1D	6.5048
ADRA2A	907.9132	ADRA2A	2239.3755
ADRA2B	6.6527	ADRA2B	74.588
ADRA2C	32.2129	ADRA2C	153.0789
removed	removed	ADRB1	256.7216
ADRB2	53.9216	ADRB2	785.3426
removed	removed	ADRB3	11.2749
ADRBK1	2613.0952	ADRBK1	1646.5742
ADRBK2	1047.9692	ADRBK2	2820.4683
ADRM1	1213.9356	ADRM1	1181.2663
ADSL	842.437	ADSL	645.7069
ADSSL1	40.6162	ADSSL1	250.2168
ADSS	2833.6835	ADSS	672.5932
AEBP1	11661.7647	AEBP1	8157.8491
AEBP2	591.3866	AEBP2	537.7277
AEN	449.2297	AEN	232.4371
AES	5092.437	AES	5709.4536
AFAP1L1	92.437	AFAP1L1	1823.5039
AFAP1L2	2023.4594	AFAP1L2	489.5924
AFAP1	1627.7346	AFAP1	1730.2602
AFF1	3150.9104	AFF1	3777.1032
AFF2	5.6022	AFF2	147.8751
AFF3	3504.902	AFF3	508.2394
AFF4	4258.7535	AFF4	2748.4822
AFG3L1	327.7311	AFG3L1	190.8066
AFG3L2	2034.3102	AFG3L2	981.2099
AFMID	281.1625	AFMID	389.4189
AFP	5.2521	removed	removed
AFTPH	2391.4566	AFTPH	1016.9124
AG2	56.0224	AG2	1157.8491
AGAP11	31.5126	AGAP11	395.9237
AGAP1	676.4706	AGAP1	385.9497
AGAP2	55.8368	AGAP2	63.1266
AGAP3	1077.0308	AGAP3	1194.2758
AGAP4	167.3669	AGAP4	135.2992
AGAP5	54.7864	AGAP5	56.5655
AGAP6	95.5882	AGAP6	65.4814
AGAP7	25.2101	removed	removed
AGAP8	43.4174	AGAP8	29.4883
AGA	635.5042	AGA	490.026
AGBL2	12.605	removed	removed
removed	removed	AGBL3	9.974
AGBL4	27.6611	removed	removed
AGBL5	601.5546	AGBL5	561.5828
AGER	31.8627	AGER	37.294
AGFG1	1447.1289	AGFG1	2849.0893
AGFG2	258.0532	AGFG2	479.1847
AGGF1	1269.958	AGGF1	868.17
AGK	640.7563	AGK	475.7155
AGL	3844.1877	AGL	1913.2697
AGMAT	20.6583	removed	removed
AGPAT1	1985.4482	AGPAT1	1933.0572
AGPAT2	497.8992	AGPAT2	8712.9228
AGPAT3	3130.9524	AGPAT3	2526.8864
AGPAT4	75.9804	AGPAT4	315.6982
AGPAT5	1044.4678	AGPAT5	265.3946
AGPAT6	3065.4762	AGPAT6	1833.9115
AGPAT9	32.563	AGPAT9	113.183
AGPHD1	16.1064	AGPHD1	70.6852
AGPS	1432.423	AGPS	1977.4501
AGR2	4695.3782	AGR2	58.5429
AGR3	3755.6022	AGR3	48.1353
AGRN	3516.4566	AGRN	1189.072
AGTPBP1	305.3221	AGTPBP1	506.0711
AGTR1	221.2885	AGTR1	915.0043
AGTRAP	471.2885	AGTRAP	496.0971
AGT	166.6667	AGT	143.9722
AGXT2L1	11.5546	removed	removed
AGXT2L2	167.479	AGXT2L2	726.6739
removed	removed	AGXT	7.8057
AHCTF1	3453.4314	AHCTF1	1696.0104
AHCYL1	2285.3641	AHCYL1	5738.5082
AHCYL2	599.4398	AHCYL2	815.6982
AHCY	4646.3585	AHCY	1477.8838
AHDC1	491.9468	AHDC1	780.5724
AHI1	438.0252	AHI1	375.1084
AHNAK2	1518.2073	AHNAK2	2683.0009
