gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
CETN3	344.888	CETN3	240.6765
removed	removed	CETN4P	13.8768
removed	removed	CETP	100.1735
CFB	17772.9062	CFB	836.327
CFDP1	1150.9104	CFDP1	715.9584
CFD	46.5686	CFD	11204.2498
removed	removed	CFHR3	14.7441
CFH	970.2381	CFH	6307.0252
CFI	150.5602	CFI	683.4345
CFL1	10646.3585	CFL1	8931.0494
CFL2	151.9608	CFL2	1915.438
CFLAR	666.6667	CFLAR	2749.3495
CFP	6.3025	CFP	125.3252
CG030	29.4118	CG030	36.4267
CGGBP1	3079.8319	CGGBP1	2299.6531
CGNL1	587.535	CGNL1	447.9618
CGN	1070.028	CGN	13.8768
CGREF1	182.43	CGREF1	116.4831
CGRRF1	236.3445	CGRRF1	242.4111
CH25H	15.4062	CH25H	309.6271
CHAC1	63.7255	CHAC1	25.1518
CHAC2	48.3193	CHAC2	26.8864
CHADL	39.9265	CHADL	71.1188
CHAD	67.2269	CHAD	10.8413
CHAF1A	1242.2969	CHAF1A	404.1631
CHAF1B	436.9748	CHAF1B	47.7016
CHCHD10	162.8151	CHCHD10	491.7606
CHCHD1	457.6331	CHCHD1	317.8664
CHCHD2	2716.0364	CHCHD2	2532.0902
CHCHD3	1133.7535	CHCHD3	810.928
CHCHD4	260.1541	CHCHD4	336.5134
CHCHD5	289.916	CHCHD5	179.098
CHCHD6	100.1401	CHCHD6	72.8534
CHCHD7	276.2605	CHCHD7	348.6557
CHCHD8	1364.1457	CHCHD8	437.9879
CHD1L	643.9076	CHD1L	457.5022
CHD1	1637.605	CHD1	955.3339
CHD2	2358.1933	CHD2	2192.9748
CHD3	3119.7479	CHD3	3247.1813
CHD4	9570.0875	CHD4	4463.5343
CHD6	3082.9832	CHD6	1505.2038
CHD7	1380.6022	CHD7	438.4215
CHD8	2582.6331	CHD8	1689.5056
CHD9	1589.6359	CHD9	2095.4033
CHDH	942.9272	CHDH	31.2229
CHEK1	422.2689	CHEK1	72.8534
CHEK2	340.3361	CHEK2	66.3487
CHERP	1610.4377	CHERP	895.3816
CHFR	484.5938	CHFR	386.817
CHI3L1	234.944	CHI3L1	1518.647
CHI3L2	24.8599	CHI3L2	52.9055
CHIC1	279.0616	CHIC1	286.6435
CHIC2	115.5462	CHIC2	146.5742
CHID1	1375.7003	CHID1	1155.6808
CHIT1	27.6611	CHIT1	278.4042
CHKA	674.3697	CHKA	269.7311
CHKB-CPT1B	312.4265	CHKB-CPT1B	229.9436
CHKB	153.8831	CHKB	268.5212
CHL1	13.6555	CHL1	1601.9081
CHML	1706.2325	CHML	203.3825
CHMP1A	2081.9328	CHMP1A	1557.6756
CHMP1B	1555.3221	CHMP1B	1294.4493
CHMP2A	1911.7647	CHMP2A	1805.7242
CHMP2B	1022.409	CHMP2B	964.8742
CHMP4A	694.1071	CHMP4A	1104.4363
CHMP4B	2750.7003	CHMP4B	2297.4848
CHMP4C	585.084	CHMP4C	53.7728
CHMP5	1642.2759	CHMP5	1339.6314
CHMP6	281.1625	CHMP6	428.8812
CHMP7	1325.2801	CHMP7	1127.9271
CHM	737.395	CHM	667.3894
CHN1	731.0924	CHN1	245.8803
CHN2	213.3648	CHN2	113.6167
CHODL	12.2549	CHODL	22.9835
CHORDC1	438.3754	CHORDC1	297.0512
CHPF2	1024.8599	CHPF2	837.8144
CHPF	812.6751	CHPF	605.8109
CHPT1	2147.409	CHPT1	1112.3157
CHP	1966.0364	CHP	4104.51
CHRAC1	875.3501	CHRAC1	570.6852
removed	removed	CHRDL1	19814.8309
CHRD	407.9132	CHRD	317.8664
removed	removed	CHRFAM7A	11.7086
removed	removed	CHRM3	9.5403
CHRNA10	15.4062	CHRNA10	6.9384
CHRNA1	73.5294	removed	removed
removed	removed	CHRNA3	9.5403
CHRNA5	5.6022	CHRNA5	5.2038
CHRNA9	19.6078	removed	removed
CHRNB1	52.521	CHRNB1	239.3755
CHRNB2	26.2605	removed	removed
removed	removed	CHRNE	27.0121
CHST10	349.7899	CHST10	211.1882
CHST11	113.4454	CHST11	96.7042
CHST12	179.972	CHST12	409.8005
CHST14	309.8739	CHST14	477.4501
CHST15	537.1148	CHST15	767.1292
CHST1	35.7143	CHST1	66.3487
CHST2	34.3137	CHST2	316.1318
CHST3	151.6106	CHST3	1538.1613
removed	removed	CHST4	10.4076
CHST5	7.7136	removed	removed
CHST6	5.6022	CHST6	6.9384
CHST7	25.2101	CHST7	191.2402
CHST8	1115.1961	CHST8	67.6496
CHST9	5.6022	removed	removed
CHSY1	1671.9188	CHSY1	1070.6852
CHSY3	61.9748	CHSY3	167.3894
CHTF18	486.6947	CHTF18	46.8343
CHTF8	2753.5014	CHTF8	2363.3998
CHUK	943.6275	CHUK	685.6028
CHURC1	1016.4531	CHURC1	2223.196
CIAO1	1879.902	CIAO1	1839.9827
CIAPIN1	920.1681	CIAPIN1	568.0833
CIB1	1203.4314	CIB1	974.8482
CIB2	48.3193	CIB2	151.3443
CIB3	6.3025	removed	removed
CIC	2174.3697	CIC	1541.1969
removed	removed	CIDEA	5103.209
CIDEB	185.3186	CIDEB	338.9549
CIDECP	64.7759	CIDECP	180.8326
removed	removed	CIDEC	20771.0321
CIITA	267.507	CIITA	369.0373
CILP2	171.2185	CILP2	18.647
CILP	552.8711	CILP	9862.5325
CINP	374.2997	CINP	432.784
CIR1	683.8235	CIR1	830.0087
CIRBP	2976.8908	CIRBP	3748.4822
CIRH1A	815.8263	CIRH1A	946.2272
CISD1	352.591	CISD1	163.0529
CISD2	767.507	CISD2	264.961
CISD3	3444.1071	CISD3	794.935
CISH	404.0616	CISH	542.0642
CITED1	413.5154	CITED1	15.6114
CITED2	1867.2969	CITED2	3259.7572
CITED4	142.8571	CITED4	101.4744
CIT	1626.0504	CIT	81.0928
CIZ1	2101.5406	CIZ1	2626.6262
CKAP2L	696.4286	CKAP2L	10.4076
CKAP2	607.8431	CKAP2	289.6791
CKAP4	3346.2885	CKAP4	1340.85
CKAP5	3731.0924	CKAP5	2419.7745
CKB	182.423	CKB	852.9922
CKLF	274.5098	CKLF	269.7311
CKMT1A	232.1429	removed	removed
CKMT1B	852.2409	CKMT1B	9.1067
removed	removed	CKMT2	95.4033
CKS1B	927.8711	CKS1B	529.0546
CKS2	1118.3473	CKS2	59.8439
CLASP1	1546.5686	CLASP1	2088.0312
CLASP2	1500	CLASP2	1195.1431
removed	removed	CLCA2	117.5195
CLCC1	536.5161	CLCC1	1090.9887
CLCF1	185.5742	CLCF1	86.7303
CLCN1	12.9552	removed	removed
CLCN2	144.2577	CLCN2	40.3296
CLCN3	2129.5518	CLCN3	1503.0356
CLCN4	31.8627	CLCN4	477.0165
CLCN5	380.9524	CLCN5	244.1457
CLCN6	202.7311	CLCN6	846.0538
CLCN7	1593.8375	CLCN7	1334.3452
removed	removed	CLCNKA	48.1353
removed	removed	CLCNKB	9.1067
removed	removed	CLDN10	17.6236
CLDN11	101.1905	CLDN11	281.4397
CLDN12	1148.1092	CLDN12	456.804
CLDN15	84.0336	CLDN15	293.1483
removed	removed	CLDN18	9.5403
CLDN1	42.3669	CLDN1	98.8725
CLDN23	55.3221	CLDN23	138.7684
removed	removed	CLDN2	84.0243
CLDN3	852.591	CLDN3	21.2489
CLDN4	3091.3866	CLDN4	75.0217
CLDN5	31.1625	CLDN5	1918.9072
CLDN7	922.619	CLDN7	53.7728
CLDND1	876.7507	CLDND1	1323.9376
removed	removed	CLDND2	26.0191
CLEC10A	5.2521	CLEC10A	277.1032
CLEC11A	81.5826	CLEC11A	84.1284
CLEC12A	8.4034	removed	removed
CLEC14A	161.4146	CLEC14A	2003.4692
CLEC16A	692.2269	CLEC16A	615.3513
CLEC18A	14.0056	removed	removed
CLEC18B	7.0028	removed	removed
CLEC1A	15.4062	CLEC1A	281.8734
CLEC2B	67.2269	CLEC2B	337.8144
CLEC2D	408.9636	CLEC2D	205.5507
CLEC3A	2205.1821	CLEC3A	22.1162
CLEC3B	55.3221	CLEC3B	7239.3755
CLEC4A	19.958	CLEC4A	45.5334
CLEC4E	18.2073	CLEC4E	29.0546
removed	removed	CLEC4F	12.1422
removed	removed	CLEC4GP1	24.2845
removed	removed	CLEC4G	20.8153
CLEC5A	64.4258	removed	removed
CLEC7A	100.1401	CLEC7A	47.7016
CLGN	335.4342	CLGN	11.2749
CLIC1	4088.5854	CLIC1	5475.2819
CLIC2	116.2465	CLIC2	867.7363
CLIC3	6.3025	removed	removed
CLIC4	3141.1064	CLIC4	7663.0529
CLIC5	34.6639	CLIC5	1085.863
CLIC6	4337.535	CLIC6	559.8439
CLINT1	1839.6359	CLINT1	1961.8387
CLIP1	1910.7143	CLIP1	3287.0772
CLIP2	329.8319	CLIP2	743.7121
CLIP3	283.9636	CLIP3	576.3226
CLIP4	169.1176	CLIP4	1178.2307
CLK1	1247.8992	CLK1	1547.268
CLK2P	12.9552	CLK2P	9.5403
CLK2	808.8235	CLK2	501.301
CLK3	488.0952	CLK3	790.5464
CLK4	239.4958	CLK4	530.7892
CLMN	906.1625	CLMN	1267.5629
CLN3	798.6695	CLN3	687.771
CLN5	217.7871	CLN5	950.5637
CLN6	945.3782	CLN6	435.3859
CLN8	251.4006	CLN8	735.9063
CLNS1A	2506.6527	CLNS1A	1050.3036
CLOCK	875.3501	CLOCK	699.9133
CLP1	143.9076	CLP1	204.2498
CLPB	359.2437	CLPB	278.8378
CLPP	693.9776	CLPP	469.2108
CLPTM1L	1771.7087	CLPTM1L	2064.1804
CLPTM1	3068.9776	CLPTM1	2382.9141
CLPX	697.8291	CLPX	689.5056
CLRN1OS	5.8578	removed	removed
CLSPN	482.1429	CLSPN	14.3105
CLSTN1	3559.8739	CLSTN1	2481.7866
CLSTN2	11688.3754	CLSTN2	6502.1683
CLSTN3	1032.9132	CLSTN3	722.4631
CLTA	1518.9076	CLTA	1615.3513
CLTB	451.3305	CLTB	1116.2186
CLTCL1	17.8571	CLTCL1	223.3304
CLTC	23180.3221	CLTC	10970.0781
CLUAP1	324.7584	CLUAP1	530.7892
CLUL1	99.7899	removed	removed
CLU	2595.2381	CLU	36389.8526
CLVS1	10.3291	CLVS1	26.5915
CLYBL	18.2073	CLYBL	110.5811
removed	removed	CMA1	43.3651
CMAH	295.8683	CMAH	271.8994
CMAS	617.2969	CMAS	413.2697
CMBL	1872.549	CMBL	1078.9245
CMC1	156.1625	CMC1	99.3062
CMIP	1203.7815	CMIP	1632.2637
CMKLR1	157.563	CMKLR1	752.8187
CMPK1	4127.451	CMPK1	5568.0833
CMPK2	840.3361	CMPK2	160.451
CMTM1	168.4174	CMTM1	98.0052
CMTM3	671.5686	CMTM3	1302.255
CMTM4	1965.6863	CMTM4	937.9879
CMTM6	3830.5322	CMTM6	1375.1084
CMTM7	95.5882	CMTM7	222.0295
CMTM8	239.8459	CMTM8	81.9601
CMYA5	1994.7479	CMYA5	166.5221
CN5H6.4	15.4062	CN5H6.4	11.7086
CNBP	3653.3613	CNBP	5926.2793
CNDP1	10.8543	removed	removed
CNDP2	4744.7479	CNDP2	1767.9965
CNFN	87.535	CNFN	18.647
removed	removed	CNGA1	11.2749
CNGA2	10.5042	removed	removed
CNIH2	21.7087	removed	removed
CNIH3	80.1821	CNIH3	23.8508
CNIH4	946.4286	CNIH4	679.5317
CNIH	1270.6583	CNIH	947.9618
CNKSR1	301.1204	CNKSR1	7.8057
removed	removed	CNKSR2	75.0217
CNKSR3	141.4566	CNKSR3	167.3894
CNN1	36.7647	CNN1	120.5551
CNN2	1222.6891	CNN2	2086.2966
CNN3	1218.4874	CNN3	5174.7615
removed	removed	CNNM1	7.3721
CNNM2	289.5658	CNNM2	151.3443
CNNM3	927.521	CNNM3	739.8092
CNNM4	1302.8711	CNNM4	269.2975
CNOT10	700.9804	CNOT10	392.4545
CNOT1	7260.5497	CNOT1	3989.3929
CNOT2	1578.4314	CNOT2	1251.9514
CNOT3	1222.6891	CNOT3	694.7095
CNOT4	595.2381	CNOT4	607.1119
CNOT6L	3406.1625	CNOT6L	1223.3304
CNOT6	1734.944	CNOT6	527.7537
CNOT7	1916.3165	CNOT7	1236.7736
CNOT8	1538.8655	CNOT8	1651.3443
CNO	219.5378	CNO	159.5837
CNPY2	826.3305	CNPY2	739.8092
CNPY3	923.6695	CNPY3	718.5603
CNPY4	348.0147	CNPY4	419.3408
CNP	1195.8964	CNP	1871.856
removed	removed	CNR1	344.3192
CNRIP1	58.1232	CNRIP1	1019.5143
CNST	2067.577	CNST	718.1266
CNTD1	55.8438	CNTD1	20.1605
CNTD2	10.5042	CNTD2	5.6375
removed	removed	CNTFR	1784.4753
CNTF	33.0672	CNTF	16.9124
CNTLN	669.4678	CNTLN	318.3001
CNTN1	27.6611	CNTN1	53.7728
removed	removed	CNTN2	8.2394
CNTN3	40.6162	CNTN3	200.3469
removed	removed	CNTN4	112.7493
removed	removed	CNTN6	5.2038
CNTNAP1	182.0728	CNTNAP1	349.0893
CNTNAP2	265.056	CNTNAP2	5.6375
removed	removed	CNTNAP3	155.6808
removed	removed	CNTNAP4	59.8439
CNTROB	453.0812	CNTROB	566.7823
COASY	1285.7143	COASY	956.6349
COBLL1	641.4566	COBLL1	4336.5134
COBL	441.1765	COBL	50.7372
COBRA1	1419.8179	COBRA1	1164.3539
COCH	155.0245	COCH	95.8933
COG1	1809.993	COG1	888.3435
COG2	1810.5742	COG2	572.8534
COG3	328.7815	COG3	608.4128
COG4	951.3305	COG4	1228.5343
COG5	1056.7647	COG5	988.9072
COG6	231.0924	COG6	618.8205
COG7	698.1793	COG7	483.0876
COG8	437.0448	COG8	433.8291
COIL	675.7703	COIL	311.7953
COL10A1	3117.2969	COL10A1	5.6375
COL11A1	2241.9468	COL11A1	8.673
removed	removed	COL11A2	9.5403
COL12A1	10303.2213	COL12A1	14871.2056
COL13A1	8.0532	removed	removed
COL14A1	381.6527	COL14A1	8264.961
COL15A1	1212.1849	COL15A1	10058.9766
COL16A1	655.8123	COL16A1	1703.8161
removed	removed	COL17A1	7.3721
COL18A1	1571.0784	COL18A1	4863.3998
COL1A1	61308.1232	COL1A1	29646.5742
COL1A2	45403.7115	COL1A2	52910.6678
removed	removed	COL21A1	58.1093
COL22A1	5.2521	COL22A1	10.4076
removed	removed	COL23A1	8.2394
COL24A1	27.3109	COL24A1	72.8534
removed	removed	COL25A1	145.7069
COL27A1	169.8179	COL27A1	87.1639
removed	removed	COL28A1	10.4076
COL3A1	48373.9496	COL3A1	62435.8196
COL4A1	3397.7591	COL4A1	32593.235
COL4A2	2769.2577	COL4A2	31179.098
COL4A3BP	1196.7787	COL4A3BP	2888.118
removed	removed	COL4A3	7.8057
COL4A4	10.8543	COL4A4	45.5334
COL4A5	2663.1653	COL4A5	222.0295
COL4A6	630.6022	COL4A6	34.2585
COL5A1	3968.8375	COL5A1	4241.1101
COL5A2	6297.619	COL5A2	8374.2411
COL5A3	627.8011	COL5A3	3137.0338
COL6A1	7671.9188	COL6A1	23045.0997
COL6A2	6771.7087	COL6A2	26682.1336
COL6A3	19629.902	COL6A3	26137.4675
removed	removed	COL6A6	50.7372
COL7A1	160.014	COL7A1	5.6375
COL8A1	721.9888	COL8A1	1321.3356
COL8A2	752.451	COL8A2	459.6704
COL9A2	87.8852	COL9A2	13.8768
COL9A3	12.605	COL9A3	8.2394
COLEC10	6.6527	removed	removed
removed	removed	COLEC11	87.5976
COLEC12	996.1485	COLEC12	1263.66
COLQ	52.9517	COLQ	64.3886
COMMD10	366.5966	COMMD10	323.5039
COMMD1	169.1176	COMMD1	271.8994
COMMD2	676.1204	COMMD2	618.8205
COMMD3	917.4195	COMMD3	504.4102
COMMD4	779.0616	COMMD4	498.699
COMMD5	696.7612	COMMD5	359.1717
COMMD6	391.8067	COMMD6	1290.5464
COMMD7	973.3894	COMMD7	1011.7086
COMMD8	242.9972	COMMD8	172.1596
COMMD9	516.4566	COMMD9	772.7667
COMP	1851.8908	COMP	566.7823
COMTD1	52.1709	COMTD1	27.7537
COMT	998.9496	COMT	1585.4293
COPA	4689.6604	COPA	5594.7615
COPB1	3294.1176	COPB1	2848.6687
COPB2	3154.4118	COPB2	3447.0945
COPE	1582.6331	COPE	1247.1813
COPG2	1173.6695	COPG2	633.9983
COPG	3690.8263	COPG	3240.6765
COPS2	1490.5462	COPS2	2018.2134
COPS3	366.2465	COPS3	761.0581
COPS4	957.9832	COPS4	848.222
COPS5	1206.9328	COPS5	977.4501
COPS6	2059.5238	COPS6	1561.1448
COPS7A	1078.0812	COPS7A	1557.6756
COPS7B	747.8992	COPS7B	554.6401
COPS8	1146.6982	COPS8	1113.5603
COPZ1	2919.4678	COPZ1	2154.3799
COPZ2	83.6835	COPZ2	1045.967
COQ10A	111.6947	COQ10A	142.2376
COQ10B	510.1541	COQ10B	660.0173
COQ2	382.3529	COQ2	142.2376
COQ3	134.1036	COQ3	150.0434
COQ4	520.3081	COQ4	469.2108
COQ5	982.493	COQ5	786.2099
COQ6	267.7626	COQ6	306.5395
COQ7	540.9664	COQ7	401.1275
COQ9	926.1204	COQ9	725.065
CORIN	40.9664	CORIN	5.2038
CORO1A	348.0392	CORO1A	405.0304
CORO1B	2155.8123	CORO1B	1247.1813
CORO1C	2370.4482	CORO1C	5455.7676
CORO2A	1085.084	CORO2A	217.693
CORO2B	20.6583	CORO2B	826.9731
CORO6	2816.1765	CORO6	103.209
CORO7	497.9342	CORO7	470.6678
CORT	6.1099	CORT	10.7025
COTL1	666.6667	COTL1	2926.2793
COX10	146.3585	COX10	287.5108
COX11	629.937	COX11	610.4597
COX15	1124.2087	COX15	1169.7615
COX16	672.619	COX16	477.4501
COX17	489.4958	COX17	367.7363
COX18	347.3389	COX18	367.7363
COX19	180.5392	COX19	199.1414
COX4I1	2561.9748	COX4I1	4208.5863
COX4I2	9.1036	COX4I2	136.1665
COX4NB	464.2857	COX4NB	324.8049
COX5A	1046.2185	COX5A	1013.4432
COX5B	818.2773	COX5B	1075.4553
COX6A1	2258.0532	COX6A1	1602.3417
COX6B1	1984.944	COX6B1	2358.6297
COX6C	14514.7059	COX6C	1588.8985
COX7A1	31.5126	COX7A1	1473.1136
COX7A2L	1872.8992	COX7A2L	1745.4467
COX7A2	1131.6527	COX7A2	1091.9341
COX7B	1041.6667	COX7B	1139.2021
COX7C	1986.6947	COX7C	1873.8075
COX8A	780.112	COX8A	1103.209
CP110	777.6611	CP110	480.4857
removed	removed	CPA1	99.3062
removed	removed	CPA2	17.7797
CPA3	43.7675	CPA3	238.5082
removed	removed	CPA4	35.5594
CPAMD8	29.7619	CPAMD8	299.2194
CPB1	2371.1485	CPB1	96.7042
CPD	10664.5658	CPD	4185.6028
CPEB1	28.0112	CPEB1	56.8083
CPEB2	799.3697	CPEB2	1000.4337
CPEB3	178.9216	CPEB3	203.8161
CPEB4	1403.7115	CPEB4	1441.4571
CPE	350.4902	CPE	2994.3625
CPLX1	75.2801	CPLX1	59.4102
CPM	314.7759	CPM	7347.7884
CPNE1	1707.584	CPNE1	1641.3747
CPNE2	253.5014	CPNE2	1774.0676
CPNE3	5196.0784	CPNE3	3471.379
CPNE5	13.6555	CPNE5	29.4883
CPNE7	543.4174	CPNE7	6.0711
CPNE8	32.9132	CPNE8	424.5447
CPOX	144.6078	CPOX	248.4822
CPO	8.0532	CPO	12.5759
CPPED1	508.7535	CPPED1	1256.2879
CPS1	1057.423	CPS1	300.954
CPSF1	3161.0644	CPSF1	1189.5056
CPSF2	2282.2129	CPSF2	1184.3018
CPSF3L	921.9188	CPSF3L	988.2914
CPSF3	1079.8319	CPSF3	640.0694
CPSF4	559.5238	CPSF4	486.1232
CPSF6	2293.7675	CPSF6	947.9618
CPSF7	2949.93	CPSF7	1795.3166
CPT1A	3163.5154	CPT1A	2145.7069
CPT1B	371.7087	CPT1B	176.0017
CPT1C	49.7199	CPT1C	57.6756
CPT2	1007.7031	CPT2	640.0694
CPVL	125	CPVL	471.379
CPXM1	154.0616	CPXM1	485.6895
CPXM2	134.1036	CPXM2	2376.843
CPZ	117.2969	CPZ	124.0243
CP	635.8648	CP	234.8526
CR1	8.7535	CR1	115.3513
removed	removed	CRABP1	11.2749
CRABP2	14175.7703	CRABP2	526.8864
CRADD	233.5434	CRADD	152.2116
CRAMP1L	792.7346	CRAMP1L	791.8517
CRAT	1753.1513	CRAT	2306.1578
removed	removed	CRB1	6.9384
CRB3	303.2213	CRB3	5.2038
CRBN	545.084	CRBN	1038.0876
CRCP	1344.1877	CRCP	783.608
CREB1	1692.577	CREB1	1210.7546
CREB3L1	283.9636	CREB3L1	284.0416
CREB3L2	1583.3333	CREB3L2	3184.7355
CREB3L4	1449.2297	CREB3L4	133.5646
CREB3	747.8992	CREB3	972.2463
CREB5	16.4566	CREB5	424.111
CREBBP	2978.6415	CREBBP	2990.8933
CREBL2	1387.605	CREBL2	3633.131
CREBZF	1123.9496	CREBZF	697.745
CREG1	1081.9328	CREG1	4167.8231
CRELD1	284.6639	CRELD1	1150.0434
CRELD2	551.8207	CRELD2	396.3573
CREM	220.2381	CREM	316.9991
removed	removed	CRHBP	190.8066
CRIM1	3158.9636	CRIM1	7864.7008
CRIP1	3032.2129	CRIP1	2192.1075
CRIP2	924.3697	CRIP2	2000
CRIP3	7.7031	removed	removed
CRIPAK	236.6947	CRIPAK	242.4111
CRIPT	226.5406	CRIPT	271.0321
CRISPLD1	342.7871	CRISPLD1	121.856
CRISPLD2	491.2465	CRISPLD2	973.9809
CRKL	2793.0672	CRKL	1873.3738
CRK	759.4538	CRK	1915.0043
removed	removed	CRLF1	38.1613
CRLF3	774.8599	CRLF3	326.9731
CRLS1	715.6863	CRLS1	1103.209
CRMP1	70.1751	CRMP1	210.503
CRNKL1	1580.8824	CRNKL1	686.9037
CROCCL1	230.8473	CROCCL1	280.2559
CROCCL2	44.1176	CROCCL2	48.569
CROCC	283.2633	CROCC	417.1726
CROT	2608.1933	CROT	284.4753
removed	removed	CRTAC1	72.8534
CRTAM	22.0588	removed	removed
CRTAP	3220.9384	CRTAP	18271.0321
CRTC1	391.8067	CRTC1	473.1136
CRTC2	887.605	CRTC2	941.0234
CRTC3	1733.5434	CRTC3	1860.3643
CRY1	647.7591	CRY1	374.6748
CRY2	316.8768	CRY2	3316.9991
CRYAB	49.3697	CRYAB	26564.1804
CRYBB1	5.6022	CRYBB1	13.0095
CRYBG3	65.9384	CRYBG3	1583.3044
CRYGS	7.7031	CRYGS	10.8413
CRYL1	147.409	CRYL1	653.0789
CRYZL1	220.0665	CRYZL1	492.307
CRYZ	772.8887	CRYZ	553.0269
CSAD	312.3249	CSAD	689.072
CSAG2	5.6968	removed	removed
CSAG3	35.6197	removed	removed
CSDAP1	10.5042	CSDAP1	40.3296
CSDA	669.8179	CSDA	3098.8725
CSDC2	18.9076	CSDC2	16.0451
CSDE1	9884.1036	CSDE1	34024.2845
CSE1L	4223.3894	CSE1L	1498.699
CSF1R	515.056	CSF1R	2164.3539
CSF1	309.1737	CSF1	2289.2454
CSF2RA	59.5238	CSF2RA	105.3773
CSF2RB	107.1429	CSF2RB	540.7632
CSF3R	260.1541	CSF3R	126.6262
removed	removed	CSF3	124.8916
CSGALNACT1	116.5966	CSGALNACT1	510.4076
CSGALNACT2	836.8347	CSGALNACT2	795.7502
CSK	900.2101	CSK	620.5551
removed	removed	CSMD1	71.9861
CSMD2	24.5098	CSMD2	18.2134
CSMD3	10.8543	removed	removed
CSNK1A1	5088.2353	CSNK1A1	3606.6782
CSNK1D	3687.6751	CSNK1D	2349.9566
CSNK1E	2144.0056	CSNK1E	1935.1691
CSNK1G1	1285.3641	CSNK1G1	526.0191
CSNK1G2	1143.9076	CSNK1G2	673.4605
CSNK1G3	1077.381	CSNK1G3	664.3539
CSNK2A1P	681.3725	CSNK2A1P	405.464
CSNK2A1	1693.9776	CSNK2A1	1055.0737
CSNK2A2	578.0812	CSNK2A2	703.3825
CSNK2B	1480.7773	CSNK2B	1627.0555
CSPG4	238.7955	CSPG4	4499.5663
CSPG5	18.2073	CSPG5	27.32
CSPP1	701.4286	CSPP1	222.7277
CSRNP1	319.3277	CSRNP1	4459.2368
CSRNP2	1169.1176	CSRNP2	802.6886
CSRNP3	8.4034	CSRNP3	25.5854
CSRP1	2459.7339	CSRP1	3435.8196
CSRP2BP	1059.5238	CSRP2BP	653.9462
CSRP2	79.8319	CSRP2	302.6886
CST1	109.5938	removed	removed
CST3	2916.3165	CST3	11666.0885
CST5	26.2605	removed	removed
CST6	42.3669	removed	removed
CST7	42.0168	CST7	51.1709
CST9L	7.3529	removed	removed
CST9	52.1709	removed	removed
CSTA	14.3557	CSTA	516.4788
CSTB	1134.8039	CSTB	2828.2741
CSTF1	797.619	CSTF1	389.8526
CSTF2T	1234.2437	CSTF2T	1057.242
CSTF2	507.3529	CSTF2	193.8422
CSTF3	1146.8978	CSTF3	339.5013
CS	4803.5714	CS	6839.1154
CT62	129.902	removed	removed
CTAGE1	6.6527	removed	removed
CTAGE4	86.1345	CTAGE4	17.3461
CTAGE5	1000.3501	CTAGE5	514.8526
CTAGE6	16.4566	removed	removed
CTAGE9	274.1597	CTAGE9	52.4718
CTBP1	1717.556	CTBP1	2114.1154
CTBP2	2642.1569	CTBP2	980.4857
CTBS	500.3466	CTBS	440.5854
CTCFL	10.6828	CTCFL	7.8057
CTCF	2250	CTCF	1245.4467
CTDP1	491.2465	CTDP1	384.2151
CTDSP1	1873.5994	CTDSP1	4050.7372
CTDSP2	4210.7843	CTDSP2	9881.6132
CTDSPL2	1072.1289	CTDSPL2	551.6045
CTDSPL	1278.0112	CTDSPL	1298.3521
CTF1	39.5658	CTF1	245.4467
CTGF	2336.1345	CTGF	5832.1769
CTHRC1	1721.6387	CTHRC1	539.0286
CTH	50.7703	CTH	90.1995
CTLA4	32.9132	CTLA4	5.2038
CTNNA1	10456.5826	CTNNA1	11333.4779
removed	removed	CTNNA3	6.5048
CTNNAL1	480.042	CTNNAL1	1016.9124
CTNNB1	10034.2857	CTNNB1	7368.9766
CTNNBIP1	674.7199	CTNNBIP1	1401.9948
CTNNBL1	717.437	CTNNBL1	827.8404
CTNND1	4979.3417	CTNND1	6835.8283
CTNND2	508.4034	CTNND2	18.647
CTNS	274.4258	CTNS	463.9376
CTPS2	1018.9076	CTPS2	434.9523
CTPS	1064.0756	CTPS	157.8491
CTR9	1612.7451	CTR9	1423.6774
CTRL	11.2045	CTRL	7.3721
CTSA	1848.4629	CTSA	3910.9974
CTSB	13976.8908	CTSB	20761.4918
CTSC	1337.8852	CTSC	2365.1344
CTSD	12280.8123	CTSD	14547.7016
CTSF	2629.902	CTSF	2877.2767
removed	removed	CTSG	101.9081
CTSH	1127.451	CTSH	1586.2966
CTSK	1804.972	CTSK	3108.4128
CTSL1	1402.6611	CTSL1	2718.1266
CTSL2	151.6106	CTSL2	5.2038
CTSO	1178.2213	CTSO	1375.9757
CTSS	872.8992	CTSS	1792.7147
CTSW	68.6275	CTSW	63.7467
CTSZ	2388.3053	CTSZ	5803.1223
CTTNBP2NL	578.0812	CTTNBP2NL	1247.1813
CTTNBP2	16.8067	CTTNBP2	349.9566
CTTN	15350.4902	CTTN	4087.5976
CTU1	46.5686	CTU1	11.2749
CTU2	232.8326	CTU2	142.8838
CTXN1	337.8852	CTXN1	19.0807
CUBN	16.8067	CUBN	221.1622
CUEDC1	1099.0896	CUEDC1	491.327
CUEDC2	993.3473	CUEDC2	838.6817
CUL1	1526.2605	CUL1	1575.4553
CUL2	908.2633	CUL2	873.3738
CUL3	2632.7031	CUL3	1525.5854
CUL4A	845.2381	CUL4A	1749.7832
CUL4B	2507.0028	CUL4B	1849.0893
CUL5	1009.4538	CUL5	981.7866
CUL7	1124.2262	CUL7	1085.3252
