gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
C14orf167	803.9444	C14orf167	734.4822
C14orf169	364.1802	C14orf169	171.9256
C14orf174	38.3533	C14orf174	15.7767
C14orf176	8.7966	C14orf176	25.0809
C14orf179	92.5405	C14orf179	172.3301
removed	removed	C14orf180	613.2686
removed	removed	C14orf181	14.1586
removed	removed	C14orf182	7.6861
C14orf1	439.1274	C14orf1	439.7249
C14orf21	330.0493	C14orf21	274.2718
C14orf28	99.5778	C14orf28	229.7735
C14orf2	431.7382	C14orf2	629.4498
C14orf33	115.7635	C14orf33	50.9709
C14orf37	88.3181	C14orf37	184.8706
C14orf43	623.1527	C14orf43	1398.0583
C14orf45	110.1478	C14orf45	266.2298
C14orf49	21.8156	C14orf49	832.5243
C14orf4	645.3202	C14orf4	1107.2006
removed	removed	C14orf50	67.5566
removed	removed	C14orf64	58.2524
C14orf79	525.6861	C14orf79	91.4239
C14orf80	88.3181	C14orf80	20.2265
C14orf93	157.9873	C14orf93	154.5307
C15orf17	795.2146	C15orf17	1636.3269
C15orf21	72.836	C15orf21	19.4175
C15orf23	430.6826	C15orf23	179.2071
C15orf24	879.3103	C15orf24	1055.4207
C15orf27	6.3336	C15orf27	8.0906
C15orf28	5.9817	C15orf28	12.1359
C15orf29	340.2533	C15orf29	425.9709
C15orf33	38.0718	C15orf33	13.7864
removed	removed	C15orf34	12.1359
C15orf37	36.2702	C15orf37	29.8786
C15orf38	228.4518	C15orf38	505.3155
C15orf39	459.5355	C15orf39	513.754
C15orf40	119.159	C15orf40	234.2233
C15orf41	133.7087	C15orf41	135.1133
C15orf42	97.171	C15orf42	24.1909
C15orf44	1568.2618	C15orf44	698.2201
C15orf48	2435.9606	C15orf48	14.9676
removed	removed	C15orf51	12.945
C15orf52	415.2006	C15orf52	373.3819
C15orf57	496.8297	C15orf57	432.1278
C15orf58	86.2069	C15orf58	25.89
C15orf59	52.4279	C15orf59	57.8479
C15orf61	75.651	C15orf61	72.8155
C15orf62	6.6854	C15orf62	39.644
C15orf63	669.5989	C15orf63	449.0291
C16orf13	245.9536	C16orf13	184.8706
C16orf42	482.7797	C16orf42	418.2322
C16orf45	275.8621	C16orf45	796.9256
C16orf46	47.8536	C16orf46	29.1262
C16orf48	10.2041	C16orf48	137.945
C16orf52	487.3329	C16orf52	451.4563
C16orf53	1723.7016	C16orf53	407.322
C16orf54	14.4265	C16orf54	76.0518
C16orf55	83.0401	C16orf55	50.1618
C16orf57	503.1668	C16orf57	735.0324
C16orf58	2464.4616	C16orf58	1109.9798
C16orf59	105.5595	removed	removed
C16orf5	70.7248	C16orf5	707.5243
C16orf61	194.3878	C16orf61	214.3042
C16orf62	2273.7509	C16orf62	1576.0518
C16orf63	1740.6756	C16orf63	898.0583
C16orf68	120.3378	C16orf68	145.6311
C16orf70	818.3322	C16orf70	421.7152
C16orf71	28.8529	C16orf71	9.7087
C16orf72	2272.3434	C16orf72	1427.9935
C16orf74	88.3181	C16orf74	25.89
C16orf75	214.6376	C16orf75	36.0032
removed	removed	C16orf79	5.271
C16orf7	74.0887	C16orf7	98.2605
C16orf80	262.1393	C16orf80	338.9968
removed	removed	C16orf86	52.1845
C16orf87	76.0028	C16orf87	97.8964
C16orf88	1305.0669	C16orf88	260.5178
removed	removed	C16orf89	266.1812
C16orf91	180.5067	C16orf91	78.0744
C16orf93	30.2604	C16orf93	8.4951
C17orf100	8.7966	C17orf100	18.2039
C17orf101	319.1414	C17orf101	225.3236
C17orf103	150.2463	C17orf103	1483.8188
C17orf104	47.8536	C17orf104	8.0906
C17orf106	214.6376	C17orf106	173.0704
C17orf107	72.0127	C17orf107	42.5607
C17orf108	270.936	C17orf108	338.9523
C17orf28	2664.6728	C17orf28	519.4175
C17orf37	1745.2498	C17orf37	381.4725
C17orf39	215.6932	C17orf39	930.0162
C17orf42	235.7495	C17orf42	133.8997
C17orf44	13.3709	C17orf44	55.0162
C17orf46	11.6115	removed	removed
C17orf48	66.1506	C17orf48	158.9806
C17orf49	400.4222	C17orf49	482.8681
C17orf51	57.0021	C17orf51	456.7152
C17orf53	81.2808	C17orf53	31.1489
removed	removed	C17orf55	14.1586
C17orf56	183.3146	C17orf56	173.1351
C17orf57	22.5194	C17orf57	82.1197
C17orf58	393.3849	C17orf58	615.2913
C17orf59	67.5581	C17orf59	159.7896
removed	removed	C17orf60	22.2492
C17orf61	203.6172	C17orf61	407.6294
C17orf62	1207.9521	C17orf62	614.0777
C17orf63	1515.1302	C17orf63	573.2201
C17orf65	319.2189	C17orf65	91.3794
C17orf67	31.316	C17orf67	32.3625
C17orf68	294.5109	C17orf68	612.4595
C17orf69	91.133	C17orf69	40.4531
C17orf70	596.0591	C17orf70	288.0259
C17orf71	1385.9958	C17orf71	474.5146
C17orf72	157.9381	C17orf72	44.5752
C17orf75	583.0401	C17orf75	144.822
C17orf76	22.1675	C17orf76	94.2557
C17orf77	5.9817	removed	removed
C17orf79	685.0809	C17orf79	842.233
C17orf80	1102.0408	C17orf80	614.0777
C17orf81	241.0274	C17orf81	381.068
C17orf85	344.4757	C17orf85	704.288
C17orf86	65.7987	C17orf86	49.7573
removed	removed	C17orf87	30.3398
C17orf89	314.5672	C17orf89	197.0065
C17orf90	304.0113	C17orf90	118.123
C17orf91	52.076	C17orf91	447.0065
C17orf95	538.3533	C17orf95	270.2265
C17orf96	178.0436	C17orf96	36.0032
C17orf97	48.9092	C17orf97	91.8285
C18orf10	976.0732	C18orf10	2055.0162
C18orf18	12.3153	C18orf18	59.8706
C18orf19	425.7565	C18orf19	262.5405
C18orf1	2518.297	C18orf1	1788.4304
C18orf21	191.7664	C18orf21	184.466
C18orf22	292.3997	C18orf22	316.7476
C18orf25	1223.0823	C18orf25	632.2816
C18orf32	2326.6502	C18orf32	1075.5299
C18orf34	5.278	C18orf34	125
C18orf45	510.5559	C18orf45	207.1197
C18orf54	101.3371	C18orf54	163.4304
C18orf55	328.9937	C18orf55	392.7994
C18orf56	13.7227	removed	removed
C18orf8	527.7657	C18orf8	344.9798
C19orf10	1507.741	C19orf10	665.8576
C19orf12	234.6939	C19orf12	2216.8285
C19orf18	28.5011	C19orf18	7.6861
C19orf20	26.7417	C19orf20	22.6537
C19orf21	1800.1407	C19orf21	16.9903
C19orf22	1576.0028	C19orf22	444.9838
C19orf23	19.7044	C19orf23	5.6634
C19orf24	315.9747	C19orf24	177.1845
C19orf25	406.7558	C19orf25	152.5081
C19orf26	9.1485	removed	removed
C19orf28	533.0753	C19orf28	361.6505
C19orf29	428.5714	C19orf29	256.068
C19orf2	1463.7579	C19orf2	1686.0841
C19orf33	89.2153	C19orf33	8.9927
removed	removed	C19orf35	6.877
C19orf36	5.6298	C19orf36	8.8997
C19orf38	5.278	C19orf38	12.1359
C19orf39	92.5405	C19orf39	26.2945
C19orf40	38.7051	C19orf40	23.8673
C19orf42	2327.2343	C19orf42	1233.8188
C19orf43	1648.487	C19orf43	977.3463
C19orf44	242.8431	C19orf44	174.2961
C19orf45	7.0373	removed	removed
C19orf46	87.2625	C19orf46	15.7767
C19orf47	100.2815	C19orf47	117.3139
C19orf48	192.4701	C19orf48	147.2492
C19orf50	1167.1358	C19orf50	978.9644
C19orf51	5.9817	removed	removed
C19orf52	245.9536	C19orf52	137.5405
C19orf53	752.2871	C19orf53	568.7702
C19orf54	109.7818	C19orf54	169.9029
C19orf55	48.2055	C19orf55	45.3074
C19orf56	1671.7101	C19orf56	1076.0518
C19orf57	15.8339	C19orf57	12.1359
C19orf60	88.3181	C19orf60	140.7767
C19orf61	273.399	C19orf61	372.9773
C19orf62	1380.7178	C19orf62	727.3463
C19orf63	1001.3125	C19orf63	864.4782
C19orf66	214.7748	C19orf66	334.4539
removed	removed	C19orf69	10.9223
C19orf6	1155.8761	C19orf6	932.4434
C19orf70	427.8677	C19orf70	311.8932
C19orf76	6.6854	C19orf76	37.6214
C1D	281.4919	C1D	139.1586
C1GALT1C1	552.076	C1GALT1C1	664.2395
C1GALT1	279.3807	C1GALT1	313.1068
C1QA	248.0647	C1QA	4259.7087
C1QBP	749.8241	C1QBP	930.3439
C1QB	280.7882	C1QB	4042.0712
C1QC	258.6207	C1QC	3358.0097
C1QL3	6.3336	removed	removed
C1QTNF1	103.0964	C1QTNF1	3715.6149
removed	removed	C1QTNF2	85.7605
C1QTNF3	65.7987	C1QTNF3	628.6408
C1QTNF4	6.3336	C1QTNF4	6.4725
C1QTNF6	290.9923	C1QTNF6	114.4822
C1QTNF7	30.2604	C1QTNF7	533.9806
removed	removed	C1QTNF9B	53.6408
removed	removed	C1QTNF9	59.8706
C1RL	815.9324	C1RL	1587.2492
C1R	864.8839	C1R	14965.2104
C1S	1989.7959	C1S	26074.8382
C1orf101	25.6861	C1orf101	14.1586
C1orf103	1003.1668	C1orf103	400.89
C1orf104	26.0767	C1orf104	50.6675
C1orf106	5139.6904	C1orf106	72.411
C1orf107	2492.6108	C1orf107	639.1586
C1orf109	274.4546	C1orf109	383.0906
C1orf112	503.1809	C1orf112	111.7557
C1orf113	288.3709	C1orf113	36.8285
C1orf114	6.3336	removed	removed
C1orf115	2864.1802	C1orf115	2923.5437
C1orf116	49.9648	C1orf116	394.4175
C1orf122	171.0063	C1orf122	269.4175
C1orf123	755.8058	C1orf123	882.2816
C1orf124	1282.5475	C1orf124	226.9417
C1orf126	65.2674	C1orf126	29.2638
C1orf128	610.1337	C1orf128	1069.9838
C1orf130	9.1485	C1orf130	59.466
C1orf131	958.8318	C1orf131	177.1845
C1orf133	17.2414	C1orf133	60.2751
C1orf135	28.1492	C1orf135	12.945
C1orf144	1679.0992	C1orf144	2535.5987
removed	removed	C1orf150	24.2718
C1orf151	733.2864	C1orf151	1036.4078
C1orf152	15.1302	C1orf152	18.2039
C1orf156	343.772	C1orf156	186.8932
C1orf157	15.8339	removed	removed
C1orf159	134.4124	C1orf159	46.9256
C1orf162	48.5574	C1orf162	323.2201
C1orf163	586.9106	C1orf163	210.356
C1orf168	61.5764	C1orf168	17.7994
C1orf170	17.5932	removed	removed
C1orf172	214.9894	C1orf172	44.9029
C1orf173	4240.6756	C1orf173	34.7896
C1orf174	662.9134	C1orf174	336.9741
removed	removed	C1orf175	18.9644
C1orf182	11.2597	removed	removed
C1orf183	16.5376	C1orf183	174.7573
removed	removed	C1orf186	23.0583
C1orf190	7.2027	C1orf190	77.9328
C1orf192	75.2991	C1orf192	38.4304
C1orf198	3856.4391	C1orf198	4490.6958
C1orf201	166.0802	C1orf201	205.0971
C1orf203	46.4532	C1orf203	50.979
C1orf204	15.9817	C1orf204	33.4304
C1orf210	631.5975	C1orf210	42.0712
C1orf212	534.4828	C1orf212	483.8188
C1orf213	9.905	C1orf213	108.394
C1orf216	277.6214	C1orf216	539.2395
C1orf21	236.8051	C1orf21	2819.5793
C1orf220	9.5004	C1orf220	6.877
C1orf226	1020.4082	C1orf226	375.4045
C1orf229	7.741	removed	removed
C1orf230	5.278	removed	removed
C1orf25	1415.5524	C1orf25	782.3625
C1orf26	216.7488	C1orf26	275.0809
C1orf27	3015.8339	C1orf27	805.4207
C1orf31	690.7108	C1orf31	157.3625
C1orf35	486.2773	C1orf35	108.4142
C1orf38	35.8902	C1orf38	418.2848
C1orf43	7776.9177	C1orf43	4024.2718
C1orf50	379.3103	C1orf50	144.4175
removed	removed	C1orf51	66.7476
C1orf52	144.6165	C1orf52	283.9806
C1orf53	97.8184	C1orf53	9.7087
C1orf54	43.6312	C1orf54	127.8317
C1orf55	3149.5426	C1orf55	584.1424
C1orf56	333.1633	C1orf56	95.2468
C1orf57	1374.3842	C1orf57	505.6634
C1orf58	3554.0816	C1orf58	550.5421
C1orf59	32.7234	C1orf59	170.712
C1orf63	187.8958	C1orf63	458.3333
C1orf64	126.3195	C1orf64	33.5761
C1orf65	27.7973	removed	removed
C1orf66	457.4243	C1orf66	262.1359
C1orf69	452.8501	C1orf69	278.3172
C1orf74	287.4736	C1orf74	46.1165
C1orf77	1668.1914	C1orf77	1229.7735
C1orf83	888.8107	C1orf83	350.3236
C1orf84	24.3702	C1orf84	16.0316
C1orf85	719.5637	C1orf85	707.9288
C1orf86	197.2977	C1orf86	115.5461
C1orf87	13.019	removed	removed
C1orf88	95.7072	C1orf88	90.2104
C1orf89	34.1309	C1orf89	31.9579
C1orf91	48.9092	C1orf91	98.2565
C1orf93	1150.5102	C1orf93	418.5639
C1orf95	162.9134	C1orf95	66.7476
C1orf96	1170.6545	C1orf96	370.1456
C1orf97	646.7277	C1orf97	87.3786
C1orf9	11850.1056	C1orf9	1233.4142
C20orf103	269.1766	C20orf103	6.4725
C20orf108	1054.1872	C20orf108	3859.2233
C20orf111	574.9472	C20orf111	798.1392
C20orf112	2008.0929	C20orf112	831.3107
C20orf114	449.6833	C20orf114	25.0809
C20orf117	884.5883	C20orf117	458.7379
removed	removed	C20orf118	39.6157
C20orf11	2550.3167	C20orf11	1354.7735
C20orf12	100.9852	C20orf12	80.5016
C20orf132	7.741	C20orf132	70.7929
C20orf134	17.9451	removed	removed
C20orf135	9.1485	C20orf135	28.3172
C20orf151	100.2815	removed	removed
C20orf160	37.6495	C20orf160	246.7638
C20orf177	981.0908	C20orf177	393.2039
C20orf194	515.4821	C20orf194	1899.6764
C20orf196	38.0014	C20orf196	44.4984
C20orf199	1398.6629	C20orf199	994.7411
removed	removed	C20orf200	5.2589
C20orf202	146.3758	C20orf202	8.0906
C20orf20	362.7727	C20orf20	156.1489
C20orf24	1480.3026	C20orf24	832.3382
C20orf26	23.2231	C20orf26	12.1359
C20orf27	413.4412	C20orf27	336.5696
C20orf29	235.7495	C20orf29	145.6311
C20orf30	2674.525	C20orf30	4083.7379
C20orf3	3811.7523	C20orf3	3917.0712
C20orf43	1744.5461	C20orf43	2259.3042
C20orf46	1823.012	C20orf46	18.6084
C20orf4	1117.8747	C20orf4	918.2848
C20orf54	482.7586	C20orf54	70.7929
C20orf72	380.0141	C20orf72	380.6634
C20orf7	137.5792	C20orf7	143.2039
C20orf94	93.9479	C20orf94	26.2945
C20orf96	146.7277	C20orf96	127.4272
C21orf119	22.5194	C21orf119	36.0032
C21orf122	11.9634	C21orf122	26.2945
removed	removed	C21orf130	7.2816
removed	removed	C21orf15	12.5405
C21orf29	32.7234	removed	removed
C21orf2	240.3237	C21orf2	225.7282
C21orf33	1539.4089	C21orf33	1843.8511
C21orf34	19.7044	C21orf34	184.0615
C21orf45	397.2555	C21orf45	124.1909
C21orf49	16.8895	C21orf49	13.3495
C21orf56	131.9493	C21orf56	31.9579
C21orf57	201.6186	C21orf57	177.589
C21orf58	45.3906	C21orf58	17.7994
C21orf59	882.5827	C21orf59	396.0356
removed	removed	C21orf62	8.8997
C21orf63	30.9641	C21orf63	400.89
C21orf67	81.9845	C21orf67	19.822
C21orf70	111.5412	C21orf70	63.5113
C21orf7	37.2977	C21orf7	71.6019
C21orf82	5.9817	C21orf82	29.1262
removed	removed	C21orf88	8.4951
C21orf91	311.7523	C21orf91	669.9029
C22orf13	3501.0943	C22orf13	1978.5518
C22orf23	55.9465	C22orf23	59.0615
C22orf25	408.1633	C22orf25	601.1327
C22orf26	6.3336	C22orf26	13.3495
C22orf27	64.0394	C22orf27	85.7605
C22orf28	1319.8452	C22orf28	1552.1845
C22orf29	462.6918	C22orf29	455.3843
C22orf30	1562.2801	C22orf30	1129.4498
C22orf32	449.6833	C22orf32	556.6343
removed	removed	C22orf34	8.8997
C22orf36	286.7699	C22orf36	63.1068
C22orf39	601.689	C22orf39	1099.11
C22orf40	89.3737	C22orf40	106.3916
C22orf41	30.2604	removed	removed
C22orf46	447.2203	C22orf46	887.5405
C22orf9	1885.6439	C22orf9	2157.3625
C2CD2L	201.9001	C2CD2L	246.335
C2CD2	1755.4539	C2CD2	6020.6311
C2CD3	1351.513	C2CD3	671.9256
removed	removed	C2CD4B	18.6084
C2CD4C	5.278	C2CD4C	59.0615
C2CD4D	5.9817	removed	removed
C2orf15	53.3322	C2orf15	21.9984
C2orf16	54.1872	C2orf16	41.2621
C2orf18	1231.1752	C2orf18	1468.4466
C2orf24	1214.9894	C2orf24	1530.7443
C2orf27A	106.6151	C2orf27A	10.5178
C2orf28	1284.5813	C2orf28	1891.7759
C2orf29	2488.0366	C2orf29	691.343
C2orf34	106.6151	C2orf34	96.2783
C2orf3	859.9578	C2orf3	560.6796
C2orf40	7.741	C2orf40	370.9547
C2orf42	287.4736	C2orf42	252.4272
C2orf43	625.6158	C2orf43	433.657
C2orf44	361.0134	C2orf44	292.8803
C2orf47	407.3962	C2orf47	248.3819
C2orf49	237.8607	C2orf49	187.2977
C2orf50	16.1858	removed	removed
C2orf54	110.1337	removed	removed
C2orf55	300.4926	C2orf55	134.7087
C2orf56	168.5433	C2orf56	187.2977
removed	removed	C2orf58	18.2039
C2orf60	322.0197	C2orf60	201.8608
C2orf63	115.7635	C2orf63	39.2395
C2orf64	623.8564	C2orf64	527.5081
C2orf65	83.392	C2orf65	33.9806
C2orf67	544.6763	C2orf67	724.3285
C2orf68	624.2083	C2orf68	756.877
C2orf69	687.1921	C2orf69	537.6214
removed	removed	C2orf71	9.7087
C2orf72	27.0936	C2orf72	32.3625
removed	removed	C2orf73	5.6634
C2orf74	26.3899	C2orf74	323.6246
C2orf76	72.4842	C2orf76	96.2783
C2orf77	79.5215	C2orf77	31.9579
C2orf79	296.974	C2orf79	173.5437
C2orf7	176.2843	C2orf7	305.8252
C2orf81	27.0373	C2orf81	30.3398
removed	removed	C2orf82	26.2945
removed	removed	C2orf84	13.754
C2orf86	126.3195	C2orf86	283.9806
C2orf88	25.6861	C2orf88	427.1845
removed	removed	C2orf89	101.9417
C2	121.9036	C2	1262.6254
C3AR1	64.7431	C3AR1	890.7767
C3orf10	2969.0359	C3orf10	3332.9288
C3orf14	257.917	C3orf14	97.8964
C3orf15	131.2456	C3orf15	67.1521
C3orf17	1021.4638	C3orf17	1104.7735
C3orf18	136.5236	C3orf18	207.5243
C3orf19	466.9247	C3orf19	525.4854
C3orf1	1273.399	C3orf1	1076.4563
C3orf21	328.2899	C3orf21	235.0324
C3orf23	260.0281	C3orf23	584.1424
C3orf26	267.7692	C3orf26	411.8123
C3orf31	90.7811	C3orf31	131.4725
removed	removed	C3orf32	6.877
C3orf33	228.3603	C3orf33	96.6828
C3orf34	100.2815	C3orf34	113.6731
C3orf36	5.278	removed	removed
C3orf37	858.1985	C3orf37	1067.5566
C3orf38	419.0676	C3orf38	489.021
C3orf39	190.7108	C3orf39	401.699
C3orf42	11.9634	C3orf42	8.4951
C3orf47	15.1302	C3orf47	61.0841
C3orf52	614.3561	C3orf52	44.9029
C3orf54	11.9634	C3orf54	45.712
C3orf55	29.5567	C3orf55	252.0227
C3orf57	149.1907	C3orf57	67.9612
C3orf58	672.7657	C3orf58	769.822
C3orf59	355.3835	C3orf59	166.6667
C3orf62	76.0028	C3orf62	151.699
C3orf63	2560.5419	C3orf63	2581.6424
C3orf64	479.9437	C3orf64	1195.7929
C3orf67	36.2421	C3orf67	9.7087
C3orf70	94.6517	C3orf70	205.9061
removed	removed	C3orf71	19.4741
C3orf75	196.6925	C3orf75	271.4401
C3	1607.6707	C3	44888.3495
C4A	3361.9916	C4A	2887.0429
removed	removed	C4BPA	34.3851
C4BPB	5.278	C4BPB	15.7767
C4orf10	96.988	C4orf10	279.5672
C4orf12	39.4089	C4orf12	92.233
C4orf14	510.5559	C4orf14	548.5437
C4orf19	74.9472	C4orf19	308.5922
C4orf21	71.7804	C4orf21	73.6246
C4orf23	232.9346	C4orf23	186.4887
C4orf27	307.8818	C4orf27	446.6019
C4orf29	274.8065	C4orf29	128.6408
C4orf31	318.7896	C4orf31	628.6408
C4orf32	537.2977	C4orf32	1577.6699
C4orf33	302.6038	C4orf33	173.1392
C4orf34	2403.2372	C4orf34	1293.6893
C4orf36	21.8156	C4orf36	9.3042
removed	removed	C4orf38	23.0583
removed	removed	C4orf39	12.1359
C4orf3	2165.3765	C4orf3	5042.4757
C4orf41	2321.6045	C4orf41	1226.1327
C4orf42	237.8607	C4orf42	279.5307
C4orf43	397.2555	C4orf43	347.0874
C4orf46	248.7685	C4orf46	186.8932
C4orf47	10.2041	removed	removed
C4orf48	33.0753	removed	removed
removed	removed	C4orf49	59.466
C4orf50	7.741	removed	removed
C4orf52	275.8621	C4orf52	463.9968
C4orf6	20.0563	removed	removed
removed	removed	C4orf7	55.4207
C5AR1	49.2611	C5AR1	389.1586
C5orf13	778.3251	C5orf13	573.6246
C5orf15	2808.9374	C5orf15	1417.8803
removed	removed	C5orf20	10.9223
C5orf22	1434.2013	C5orf22	476.9417
C5orf23	105.9113	C5orf23	3449.0291
C5orf24	1682.266	C5orf24	1612.4595
C5orf25	356.7065	C5orf25	215.6149
removed	removed	C5orf27	13.3495
C5orf28	818.0859	C5orf28	195.7929
C5orf30	1299.0852	C5orf30	934.0615
C5orf32	292.7516	C5orf32	1175.1618
C5orf33	1247.7129	C5orf33	763.3495
C5orf34	72.836	C5orf34	37.6214
C5orf35	117.171	C5orf35	138.754
C5orf36	123.8564	C5orf36	84.9515
C5orf38	17.5932	C5orf38	29.1262
C5orf39	12.6671	C5orf39	54.2071
C5orf41	358.9022	C5orf41	1443.7702
C5orf42	238.2125	C5orf42	648.4628
C5orf43	2203.3779	C5orf43	1040.0485
C5orf44	1028.8529	C5orf44	446.962
C5orf45	145.0211	C5orf45	168.3091
removed	removed	C5orf46	10.1133
C5orf49	51.0204	C5orf49	5.6634
C5orf4	270.5841	C5orf4	3258.4951
C5orf51	1023.9268	C5orf51	1122.9773
C5orf53	270.936	C5orf53	901.2945
C5orf54	98.5222	C5orf54	223.7055
C5orf55	19.7044	C5orf55	42.0712
C5orf56	26.4215	C5orf56	173.6812
C5orf62	133.3568	C5orf62	1383.0906
C5	214.6376	C5	247.1683
C6orf105	15.1302	C6orf105	42.8803
C6orf106	2729.064	C6orf106	4527.9126
C6orf108	220.2674	C6orf108	137.5405
C6orf114	13.7227	C6orf114	14.5631
C6orf115	741.7312	C6orf115	182.4434
C6orf120	1578.7227	C6orf120	1569.7735
removed	removed	C6orf122	11.6626
removed	removed	C6orf123	12.945
C6orf124	30.2604	C6orf124	15.7767
C6orf125	674.1414	C6orf125	288.6812
C6orf129	233.2864	C6orf129	49.7573
C6orf130	320.5102	C6orf130	466.4159
C6orf132	187.1921	C6orf132	76.8608
C6orf134	180.1548	C6orf134	103.9644
C6orf136	258.2688	C6orf136	138.3495
C6orf138	8.4448	C6orf138	30.3398
C6orf141	24.2787	C6orf141	73.2201
removed	removed	C6orf142	7.6861
C6orf145	90.7811	C6orf145	1391.5858
C6orf147	10.0774	removed	removed
C6orf150	173.1175	C6orf150	54.2071
C6orf153	796.6221	C6orf153	476.9417
C6orf154	16.1858	removed	removed
C6orf155	8.7966	C6orf155	38.4304
C6orf162	57.3047	C6orf162	114.8746
removed	removed	C6orf163	14.1586
C6orf164	6.031	C6orf164	14.1707
C6orf165	71.1612	C6orf165	14.2435
C6orf167	236.1013	C6orf167	235.4369
C6orf168	214.6376	C6orf168	94.6602
C6orf170	369.4581	C6orf170	112.4595
C6orf174	26.038	C6orf174	98.038
C6orf182	284.3068	C6orf182	191.343
removed	removed	C6orf186	12.945
C6orf192	51.7241	C6orf192	506.068
C6orf1	171.3582	C6orf1	155.3398
removed	removed	C6orf201	21.0437
C6orf203	339.5496	C6orf203	283.5761
C6orf204	45.0387	C6orf204	106.7961
C6orf211	8975.7213	C6orf211	824.4337
C6orf217	9.8522	C6orf217	6.068
C6orf225	178.0436	C6orf225	226.5372
C6orf226	15.4821	C6orf226	33.1715
C6orf26	18.297	C6orf26	12.0307
C6orf27	82.3364	C6orf27	17.7994
C6orf35	224.1379	C6orf35	571.6019
C6orf47	374.7361	C6orf47	484.2233
C6orf48	1404.9965	C6orf48	1150.89
C6orf52	7.0373	C6orf52	6.068
C6orf57	249.1203	C6orf57	108.8188
removed	removed	C6orf59	10.9223
C6orf62	8463.8177	C6orf62	3671.5291
C6orf64	631.2456	C6orf64	513.3495
C6orf70	877.551	C6orf70	281.9579
C6orf72	1967.6284	C6orf72	1291.2621
C6orf89	3426.8121	C6orf89	4442.1521
C6orf97	1019.7044	C6orf97	641.9903
C6	13.7227	C6	220.4693
C7orf10	14.7783	C7orf10	44.4984
C7orf11	328.2899	C7orf11	220.8738
C7orf13	57.7058	C7orf13	94.2557
C7orf23	220.2674	C7orf23	329.288
C7orf25	395.4363	C7orf25	343.5963
C7orf26	555.5947	C7orf26	354.7735
C7orf27	770.936	C7orf27	438.1068
C7orf28A	1962.7023	C7orf28A	935.2751
C7orf28B	1177.3399	C7orf28B	603.5599
C7orf29	133.0049	C7orf29	113.6731
C7orf30	243.4905	C7orf30	233.8188
C7orf31	99.9296	C7orf31	172.3301
C7orf36	216.3969	C7orf36	163.0259
C7orf40	179.4511	C7orf40	136.3269
C7orf41	1245.9536	C7orf41	12538.0259
C7orf42	2790.9923	C7orf42	3474.5146
C7orf43	212.5264	C7orf43	108.4142
C7orf44	747.361	C7orf44	512.5405
C7orf46	10.5559	C7orf46	80.5016
C7orf47	67.2062	C7orf47	44.9029
C7orf49	481.0134	C7orf49	518.7581
C7orf50	455.3132	C7orf50	344.2557
removed	removed	C7orf51	19.4175
C7orf53	18.297	C7orf53	42.4757
C7orf55	61.6397	C7orf55	129.4498
C7orf58	314.9191	C7orf58	4904.1262
C7orf59	448.2759	C7orf59	552.9935
C7orf60	230.8234	C7orf60	356.3916
C7orf63	102.0408	C7orf63	207.9288
C7orf64	296.974	C7orf64	391.1812
C7orf68	173.1175	C7orf68	348.301
C7orf70	732.5827	C7orf70	448.6246
C7	226.2491	C7	3267.7994
C8orf30A	633.7087	C8orf30A	243.5275
removed	removed	C8orf31	14.9676
C8orf33	1397.6073	C8orf33	1200.6472
removed	removed	C8orf34	52.589
C8orf37	312.1042	C8orf37	72.8155
C8orf38	1257.917	C8orf38	129.4498
removed	removed	C8orf39	5.6634
C8orf40	291.3441	C8orf40	642.7994
C8orf41	190.2463	C8orf41	217.6901
C8orf42	125.9676	C8orf42	355.5825
C8orf44	30.9184	C8orf44	40.627
removed	removed	C8orf45	52.1845
C8orf46	9.8522	C8orf46	48.1392
removed	removed	C8orf47	8.0906
C8orf48	27.0936	C8orf48	41.6667
C8orf4	125.2639	C8orf4	391.5858
C8orf51	64.7431	C8orf51	9.7087
C8orf55	882.829	C8orf55	393.2039
C8orf58	48.9092	C8orf58	166.2621
C8orf59	638.6805	C8orf59	476.1812
C8orf73	355.0317	C8orf73	33.1715
C8orf76	816.3688	C8orf76	319.5793
C8orf77	7.0373	C8orf77	5.2589
C8orf79	59.817	C8orf79	231.7961
removed	removed	C8orf80	18.2039
C8orf83	2146.3758	C8orf83	734.6278
C8orf84	42.5757	C8orf84	190.1294
C8orf85	1538.3533	C8orf85	88.5922
C9orf100	80.1619	C9orf100	38.1796
C9orf102	200.8339	C9orf102	259.2112
C9orf103	48.5574	C9orf103	146.4401
C9orf109	41.1682	C9orf109	38.0259
C9orf110	282.1956	C9orf110	252.4272
C9orf114	304.5109	C9orf114	186.873
C9orf116	130.5419	C9orf116	27.1036
C9orf117	11.2597	removed	removed
C9orf119	244.898	C9orf119	206.3107
C9orf122	27.0936	C9orf122	6.877
C9orf123	222.0267	C9orf123	571.1974
C9orf125	7.3892	C9orf125	188.5113
C9orf128	5.9817	removed	removed
C9orf129	103.9374	C9orf129	63.0138
C9orf130	123.962	C9orf130	142.4434
removed	removed	C9orf139	5.0769
C9orf140	308.5855	C9orf140	23.8673
C9orf142	137.5792	C9orf142	86.5696
C9orf150	213.582	C9orf150	413.0259
C9orf152	262.4912	C9orf152	110.4369
