gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
ACO2	2401.9141	ACO2	2656.1772
ACOT11	297.8571	ACOT11	19.4984
ACOT13	1174.1133	ACOT13	696.9984
ACOT1	491.2034	ACOT1	1089.8058
ACOT2	274.1027	ACOT2	666.2621
ACOT4	255.8058	ACOT4	182.8479
removed	removed	ACOT6	5.6634
ACOT7	152.7094	ACOT7	175.5663
ACOT8	149.1942	ACOT8	156.3592
ACOT9	361.7171	ACOT9	809.8706
ACOX1	2758.6207	ACOX1	4630.6634
ACOX2	920.1267	ACOX2	341.0194
ACOX3	1500	ACOX3	374.1909
ACP1	1588.67	ACP1	1040.0485
ACP2	964.8135	ACP2	786.4078
ACP5	2243.8424	ACP5	789.2395
ACP6	198.4518	ACP6	148.8673
ACPL2	423.6453	ACPL2	266.5858
ACPP	209.0077	ACPP	26.699
removed	removed	ACRBP	18.6084
ACRC	14.7783	ACRC	38.0259
removed	removed	ACR	5.2589
removed	removed	ACSBG1	15.7767
ACSF2	451.4426	ACSF2	804.6117
ACSF3	213.582	ACSF3	209.5469
ACSL1	2229.4159	ACSL1	17569.1748
ACSL3	3007.0373	ACSL3	2468.0421
ACSL4	279.7326	ACSL4	3779.5307
ACSL5	106.2632	ACSL5	1042.0712
ACSL6	66.8543	ACSL6	5.2589
ACSM1	17.5932	removed	removed
ACSM3	52.3118	ACSM3	54.3568
ACSM5	7.741	ACSM5	656.5534
ACSS1	2670.3026	ACSS1	537.6214
ACSS2	615.4117	ACSS2	3236.6505
ACSS3	621.0415	ACSS3	1379.4498
removed	removed	ACTA1	41.2621
ACTA2	1880.3976	ACTA2	15540.178
ACTB	41523.2231	ACTB	60875.4045
removed	removed	ACTC1	18.6084
ACTG1	36649.5426	ACTG1	29172.3301
ACTG2	20.76	ACTG2	4577.6699
ACTL6A	1704.7854	ACTL6A	602.3463
ACTN1	1951.0908	ACTN1	7156.9579
ACTN2	276.5658	removed	removed
ACTN4	5681.5693	ACTN4	8784.6683
ACTR10	1457.7762	ACTR10	1245.1456
ACTR1A	2233.2864	ACTR1A	2936.0841
ACTR1B	961.2949	ACTR1B	1023.8673
ACTR2	12785.7143	ACTR2	7288.4304
ACTR3B	238.9163	ACTR3B	93.4466
ACTR3C	26.7417	ACTR3C	26.2945
ACTR3	3863.4764	ACTR3	3788.4304
ACTR5	226.601	ACTR5	151.2945
ACTR6	758.6207	ACTR6	538.0259
ACTR8	497.5369	ACTR8	557.4434
ACVR1B	1872.6249	ACVR1B	804.2071
ACVR1C	56.6502	ACVR1C	2439.7249
ACVR1	1176.2843	ACVR1	1260.1133
ACVR2A	332.8642	ACVR2A	631.4725
ACVR2B	347.6425	ACVR2B	512.945
ACVRL1	218.1562	ACVRL1	1202.2654
ACY1	243.8424	ACY1	401.2338
ACYP1	50.6685	ACYP1	45.3074
ACYP2	95.0035	ACYP2	256.4725
ADAL	290.9923	ADAL	231.7961
ADAM10	4409.5707	ADAM10	1735.8414
ADAM11	6.6854	removed	removed
ADAM12	880.3659	ADAM12	1411.0032
ADAM15	2024.6552	ADAM15	2437.7023
ADAM17	963.7579	ADAM17	726.5372
ADAM19	103.8001	ADAM19	122.1683
ADAM21P1	6.3336	removed	removed
ADAM21	22.8712	ADAM21	5.6634
ADAM22	125.6158	ADAM22	358.4142
ADAM23	42.9275	ADAM23	117.7184
ADAM28	31.6678	ADAM28	54.2071
removed	removed	ADAM32	25.0809
ADAM33	14.4265	ADAM33	721.4482
ADAM6	6740.4856	ADAM6	16128.8673
ADAM8	275.5102	ADAM8	34.3851
ADAM9	5799.437	ADAM9	3232.2006
ADAMDEC1	7.3892	removed	removed
ADAMTS10	54.1872	ADAMTS10	270.6311
ADAMTS12	278.677	ADAMTS12	379.4498
ADAMTS13	65.4469	ADAMTS13	17.7994
ADAMTS14	28.8529	removed	removed
ADAMTS15	763.1949	ADAMTS15	302.9935
ADAMTS16	46.798	ADAMTS16	117.3139
ADAMTS17	38.3533	ADAMTS17	28.3172
removed	removed	ADAMTS18	304.2071
ADAMTS1	243.1386	ADAMTS1	2845.4693
ADAMTS2	242.4349	ADAMTS2	763.754
ADAMTS3	14.7783	ADAMTS3	497.1683
ADAMTS4	67.5581	ADAMTS4	173.1392
ADAMTS5	46.0943	ADAMTS5	3957.5243
ADAMTS6	44.335	ADAMTS6	56.6343
ADAMTS7	38.0014	ADAMTS7	97.8964
removed	removed	ADAMTS8	21.8447
ADAMTS9	133.0049	ADAMTS9	716.8285
ADAMTSL1	54.8909	ADAMTSL1	627.4272
ADAMTSL2	37.6495	ADAMTSL2	73.6246
ADAMTSL3	35.5384	ADAMTSL3	795.3074
ADAMTSL4	19.3526	ADAMTSL4	1234.6278
ADAMTSL5	122.449	ADAMTSL5	31.9579
ADAP1	294.9824	ADAP1	92.8236
ADAP2	82.6882	ADAP2	484.2233
ADARB1	609.0781	ADARB1	1085.7605
ADAR	8898.311	ADAR	6055.0162
ADAT1	447.2203	ADAT1	377.4272
ADAT2	84.0957	ADAT2	154.5307
ADAT3	43.2794	ADAT3	8.8997
ADA	26.3899	ADA	142.7994
ADCK1	131.5975	ADCK1	134.7087
ADCK2	680.5067	ADCK2	437.7023
ADCK4	237.8607	ADCK4	248.3819
ADCK5	72.836	ADCK5	28.7217
ADCY10	260.0281	removed	removed
ADCY1	14368.0507	ADCY1	378.6408
ADCY2	6.6854	ADCY2	92.233
ADCY3	463.9409	ADCY3	1548.3859
ADCY4	67.9099	ADCY4	609.2233
ADCY5	1112.5968	ADCY5	575.2427
ADCY6	1355.7354	ADCY6	2726.5372
ADCY7	218.1562	ADCY7	1375
ADCY9	854.6798	ADCY9	796.521
removed	removed	ADCYAP1R1	57.4434
ADC	108.7262	ADC	92.6375
ADD1	2789.9367	ADD1	8221.2783
ADD2	34.1309	ADD2	110.0324
ADD3	1078.8177	ADD3	5300.1618
removed	removed	ADH1A	404.4984
ADH1B	337.4384	ADH1B	52702.6699
removed	removed	ADH1C	467.233
removed	removed	ADH4	40.4531
ADH5	1672.7657	ADH5	5497.5728
