gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
ACOT11	30.9606	ACOT11	41.8818
ACOT13	1462.5839	ACOT13	471.8531
ACOT1	279.8032	ACOT1	466.4372
ACOT2	187.7894	ACOT2	335.0545
ACOT4	288.4838	ACOT4	88.9271
ACOT7	285.0116	ACOT7	263.3391
ACOT8	412.0081	ACOT8	200.2238
ACOT9	430.5556	ACOT9	520.9409
ACOX1	2621.7564	ACOX1	1629.3746
ACOX2	243.6343	ACOX2	222.6047
ACOX3	434.8958	ACOX3	509.4664
ACP1	4991.3194	ACP1	1405.0488
ACP2	405.0926	ACP2	790.0172
ACP5	578.125	ACP5	558.2329
ACP6	174.7685	ACP6	239.8164
ACPL2	670.4282	ACPL2	358.0034
ACPP	28.9352	ACPP	18.3592
ACRBP	16.4931	ACRBP	8.0321
ACRC	7.5231	ACRC	25.2438
removed	removed	ACR	9.7533
removed	removed	ACSBG1	24.0964
ACSF2	249.7106	ACSF2	549.6271
ACSF3	149.8843	ACSF3	287.4355
ACSL1	2128.7616	ACSL1	7750.4303
ACSL3	7551.5046	ACSL3	3523.2358
ACSL4	541.088	ACSL4	1760.1836
ACSL5	275.7523	ACSL5	1140.5622
ACSL6	32.4074	ACSL6	7.4584
ACSM1	111.1111	ACSM1	57.9461
ACSM3	36.8113	ACSM3	157.4756
removed	removed	ACSM5	147.4469
ACSS1	1688.6574	ACSS1	879.5181
ACSS2	1378.4722	ACSS2	1498.5657
ACSS3	699.9421	ACSS3	378.6575
ACTA1	13.8889	ACTA1	80.3213
ACTA2	3564.8119	ACTA2	33954.1824
removed	removed	ACTBL2	6.8847
ACTB	82944.4473	ACTB	82504.8766
ACTG1	79548.9005	ACTG1	56446.3569
ACTG2	123.2639	ACTG2	11530.1205
ACTL6A	1962.0949	ACTL6A	779.6902
ACTN1	3517.0718	ACTN1	7047.619
ACTN2	377.8935	removed	removed
ACTN4	7604.0828	ACTN4	9410.9524
ACTR10	1293.1134	ACTR10	1352.8399
ACTR1A	2120.3704	ACTR1A	2351.6925
ACTR1B	759.838	ACTR1B	1342.5129
ACTR2	17525.463	ACTR2	5718.8755
ACTR3B	106.4815	ACTR3B	231.2106
ACTR3C	111.4005	ACTR3C	41.3081
ACTR3	8794.8495	ACTR3	3308.6632
ACTR5	335.6481	ACTR5	184.739
ACTR6	1152.4884	ACTR6	629.3746
ACTR8	420.1389	ACTR8	563.9702
ACVR1B	1542.5347	ACVR1B	1037.292
ACVR1C	7.2338	ACVR1C	909.3517
ACVR1	1311.6319	ACVR1	1196.2134
ACVR2A	236.6898	ACVR2A	675.2725
ACVR2B	154.5139	ACVR2B	310.9581
ACVRL1	208.044	ACVRL1	1095.8118
ACY1	353.8773	ACY1	561.6695
removed	removed	ACY3	50.4877
ACYP1	37.9051	ACYP1	61.9621
ACYP2	176.5046	ACYP2	190.4762
ADAL	654.5139	ADAL	212.8514
ADAM10	3343.4606	ADAM10	2402.1801
removed	removed	ADAM11	8.6059
ADAM12	2149.5949	ADAM12	465.8635
ADAM15	2268.261	ADAM15	3764.7734
ADAM17	1395.8333	ADAM17	885.829
ADAM19	411.169	ADAM19	96.9593
ADAM21P1	5.4977	removed	removed
ADAM21	26.9097	ADAM21	7.4584
ADAM22	15.0463	ADAM22	41.8818
ADAM23	12.4421	ADAM23	33.276
ADAM28	33.8542	ADAM28	83.1899
ADAM32	989.0046	ADAM32	37.292
ADAM33	41.6667	ADAM33	821.7843
ADAM6	9533.6863	ADAM6	18711.9105
ADAM8	91.1458	ADAM8	47.619
ADAM9	7341.4352	ADAM9	2371.1991
ADAMDEC1	79.8611	removed	removed
ADAMTS10	29.8032	ADAMTS10	113.5972
ADAMTS12	236.1111	ADAMTS12	95.8118
removed	removed	ADAMTS13	45.3242
ADAMTS14	53.2407	ADAMTS14	15.4905
ADAMTS15	222.2222	ADAMTS15	143.4309
ADAMTS16	66.2616	ADAMTS16	164.6586
ADAMTS17	32.6968	ADAMTS17	21.2278
ADAMTS18	6.3657	ADAMTS18	82.0425
removed	removed	ADAMTS19	5.1635
ADAMTS1	158.2755	ADAMTS1	4343.6604
ADAMTS2	282.6968	ADAMTS2	617.9002
ADAMTS3	18.5185	ADAMTS3	190.4762
ADAMTS4	161.169	ADAMTS4	138.8411
ADAMTS5	148.7269	ADAMTS5	3031.5548
ADAMTS6	74.9421	ADAMTS6	31.5548
ADAMTS7	48.3218	ADAMTS7	69.9943
removed	removed	ADAMTS8	41.8818
ADAMTS9	79.5718	ADAMTS9	771.0843
ADAMTSL1	50.6366	ADAMTSL1	313.253
ADAMTSL2	33.2755	ADAMTSL2	55.0775
ADAMTSL3	129.0509	ADAMTSL3	273.0924
ADAMTSL4	29.8032	ADAMTSL4	802.0654
ADAMTSL5	18.5185	ADAMTSL5	34.9971
ADAP1	67.2222	ADAP1	77.0683
ADAP2	186.3426	ADAP2	254.7332
ADARB1	242.1875	ADARB1	632.2433
ADAR	19849.8264	ADAR	6706.2536
ADAT1	350.1157	ADAT1	278.2559
ADAT2	221.3542	ADAT2	184.1652
ADAT3	6.0764	ADAT3	23.5227
ADA	333.912	ADA	109.0075
ADCK1	168.4028	ADCK1	167.5273
ADCK2	736.6898	ADCK2	643.144
ADCK4	442.1296	ADCK4	441.7671
ADCK5	30.6713	ADCK5	53.3563
ADCY10	17.6505	removed	removed
ADCY1	73.4954	ADCY1	209.4091
ADCY2	9.838	ADCY2	97.533
ADCY3	525.7639	ADCY3	1419.0706
ADCY4	57.8704	ADCY4	659.782
removed	removed	ADCY5	317.2691
ADCY6	1099.8264	ADCY6	2222.031
removed	removed	ADCY7	433.7349
removed	removed	ADCY8	12.6219
ADCY9	741.3194	ADCY9	722.3178
removed	removed	ADCYAP1R1	8.6059
removed	removed	ADCYAP1	34.9971
ADC	44.2708	ADC	138.2674
ADD1	3261.8634	ADD1	5955.2496
ADD2	9.5486	ADD2	53.93
ADD3	589.6991	ADD3	3301.7785
removed	removed	ADH1A	144.0046
removed	removed	ADH1B	17830.1779
removed	removed	ADH1C	187.0338
removed	removed	ADH4	65.4045
ADH5	1803.5301	ADH5	3586.9191
removed	removed	ADH6	5.1635
ADHFE1	28.3565	ADHFE1	159.4951
ADI1	974.2477	ADI1	1442.3408
ADIPOQ	9.838	ADIPOQ	10542.1687
ADIPOR1	7001.7361	ADIPOR1	2007.4584
ADIPOR2	8629.919	ADIPOR2	2643.7177
ADK	429.3981	ADK	494.5496
ADM2	34.7222	ADM2	40.1606
ADM	19.9653	ADM	769.3632
removed	removed	ADNP2	781.9851
ADNP	6879.919	ADNP	2599.541
