gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
CCDC94	100.9838	CCDC94	298.9099
CCDC96	37.3264	CCDC96	63.6833
CCDC97	803.2407	CCDC97	774.5267
CCDC99	458.912	CCDC99	206.5404
CCDC9	76.6782	CCDC9	169.8221
CCHCR1	164.9306	CCHCR1	278.8296
CCIN	6.3657	CCIN	11.4745
CCL11	13.8889	removed	removed
CCL13	6.3657	CCL13	113.5972
CCL14	75.8796	CCL14	3761.7097
CCL15	94.4126	removed	removed
removed	removed	CCL18	18.3592
CCL19	15.0463	CCL19	119.3345
CCL20	20.544	CCL20	9.7533
CCL21	15.0463	CCL21	1261.0442
CCL22	250.5787	CCL22	54.5037
removed	removed	CCL23	7.4584
CCL28	27.7778	CCL28	2094.6644
CCL2	152.4884	CCL2	909.3517
removed	removed	CCL3L1	5.1635
CCL3	17.3611	CCL3	108.4337
CCL4L2	24.8843	CCL4L2	25.8176
CCL4	49.1898	CCL4	109.0075
CCL5	807.0023	CCL5	402.1801
CCL8	27.7778	CCL8	85.4848
CCM2	287.6157	CCM2	653.471
CCNA1	8.9699	CCNA1	12.6219
CCNA2	469.6644	CCNA2	122.7883
CCNB1IP1	243.6343	CCNB1IP1	1043.603
CCNB1	1581.8866	CCNB1	253.5858
CCNB2	539.6412	CCNB2	88.3534
CCNB3	55.5556	CCNB3	15.4905
CCNC	3843.75	CCNC	1340.7917
CCND1	10162.5868	CCND1	5306.3683
CCND2	438.0787	CCND2	1478.4854
CCND3	1475.4051	CCND3	1711.9908
CCNDBP1	1018.8079	CCNDBP1	1279.4033
CCNE1	220.7755	CCNE1	22.3752
CCNE2	767.3872	CCNE2	64.3373
CCNF	291.956	CCNF	129.6615
CCNG1	3162.6157	CCNG1	3472.1744
CCNG2	2054.1088	CCNG2	2101.5491
CCNH	1111.9184	CCNH	581.4687
CCNI2	13.1192	CCNI2	11.1417
CCNI	5019.3866	CCNI	6000
CCNJL	18.2292	CCNJL	114.171
CCNJ	224.537	CCNJ	195.066
CCNK	1219.1233	CCNK	840.5393
CCNL1	1000	CCNL1	1922.5473
CCNL2	522.8588	CCNL2	1456.1102
CCNO	5.4977	CCNO	39.5869
CCNT1	324.6528	CCNT1	200.8032
CCNT2	1574.3634	CCNT2	817.5559
CCNYL1	821.4699	CCNYL1	525.5307
CCNY	2472.8009	CCNY	2227.7682
CCPG1	3591.5972	CCPG1	2247.5387
removed	removed	CCR10	16.0643
CCR1	281.8287	CCR1	245.5536
CCR2	67.7083	CCR2	44.1767
CCR3	43.6921	removed	removed
CCR4	23.4375	removed	removed
CCR5	127.0255	CCR5	107.86
CCR6	36.4323	CCR6	31.899
CCR7	21.412	CCR7	9.1796
CCR8	15.3356	removed	removed
CCRL1	95.7755	CCRL1	455.5364
CCRL2	125.2894	CCRL2	57.9461
CCRN4L	164.0625	CCRN4L	122.2031
CCS	85.0694	CCS	253.5858
CCT2	7507.2338	CCT2	2892.14
CCT3	8014.7569	CCT3	4323.0063
CCT4	7652.7778	CCT4	3951.8072
CCT5	8036.169	CCT5	3363.167
CCT6A	4100.9838	CCT6A	3400.459
CCT6B	87.3843	CCT6B	104.9914
CCT6P1	90.2778	CCT6P1	87.7797
CCT7	6326.3889	CCT7	3720.0229
CCT8	9638.3102	CCT8	2911.0729
CD101	25.1736	CD101	20.654
CD109	1694.4444	CD109	1418.2444
CD14	320.8912	CD14	1877.2232
CD151	3308.1597	CD151	6103.2702
CD160	6.9444	CD160	24.6701
CD163L1	591.1458	CD163L1	110.7286
CD163	405.0926	CD163	503.1555
removed	removed	CD164L2	69.9943
CD164	27141.7824	CD164	11928.8583
CD177	5.787	removed	removed
CD180	76.3889	CD180	170.9696
CD1C	6.6551	CD1C	17.2117
CD1D	10.4167	CD1D	28.1124
CD1E	7.5231	CD1E	8.0321
CD200R1	17.3611	CD200R1	43.0293
CD200	172.1644	CD200	867.4699
CD207	8.6806	removed	removed
CD209	35.8796	CD209	437.1773
CD226	10.9954	CD226	21.8015
CD22	46.2963	CD22	13.1956
removed	removed	CD244	21.8015
CD247	19.9653	CD247	111.8761
CD248	341.7245	CD248	2716.0069
CD24	128809.8958	CD24	16698.7952
CD274	14.4676	CD274	20.0803
CD276	2829.2824	CD276	1818.7034
CD27	30.7552	CD27	41.9162
CD28	18.2292	CD28	32.7022
CD2AP	5816.8403	CD2AP	1833.6202
CD2BP2	862.2685	CD2BP2	1008.0321
CD2	107.3495	CD2	94.6644
CD300A	38.1944	CD300A	228.9157
CD300C	12.4421	CD300C	20.654
CD300LF	15.0463	CD300LF	13.7694
removed	removed	CD300LG	1652.3236
CD302	554.9769	CD302	2197.5273
CD320	156.8287	CD320	561.1015
CD33	23.7269	CD33	75.1578
CD34	711.2269	CD34	5895.5823
CD36	382.2338	CD36	15516.3511
CD37	133.1019	CD37	142.2834
CD38	35.8796	CD38	26.3913
CD3D	27.4884	CD3D	44.7504
CD3EAP	373.2639	CD3EAP	387.2633
CD3E	114.294	CD3E	117.0396
CD3G	25.1736	CD3G	21.2278
CD40	54.3981	CD40	335.6282
CD44	21626.7361	CD44	9177.2806
CD46	13748.2639	CD46	5429.7189
CD47	4079.5718	CD47	3520.3672
CD48	147.5694	CD48	110.1549
CD4	478.588	CD4	904.7619
CD52	94.6181	CD52	136.5462
CD53	413.7731	CD53	491.681
CD55	1993.9236	CD55	2266.7814
CD58	189.5255	CD58	281.6982
CD59	16681.1343	CD59	25092.3695
CD5	20.544	CD5	29.2599
CD63	6317.7083	CD63	10738.3821
CD68	1235.8218	CD68	1437.751
CD69	49.4792	CD69	113.5972
CD6	20.2546	CD6	44.7504
removed	removed	CD70	29.2599
CD72	18.5185	CD72	13.1956
CD74	12483.5069	CD74	27340.7917
CD79A	33.5648	CD79A	46.4716
CD79B	9.5486	CD79B	123.9243
CD7	9.5486	CD7	57.9461
CD80	24.8843	removed	removed
CD81	13546.5856	CD81	14512.9088
CD82	94.6181	CD82	1532.4154
CD83	153.9352	CD83	187.6076
CD84	107.9282	CD84	41.3081
CD86	145.8333	CD86	107.86
CD8A	176.794	CD8A	182.4441
CD8B	25.463	CD8B	60.241
CD93	1021.412	CD93	4730.35
CD96	56.713	CD96	86.0585
CD97	196.1806	CD97	738.9558
CD99L2	461.5162	CD99L2	1433.7349
CD99	2201.3889	CD99	2527.8256
CD9	23684.0278	CD9	4930.0057
CDADC1	193.287	CDADC1	208.2616
CDAN1	317.9977	CDAN1	289.1566
CDA	20.544	CDA	33.276
CDC123	1811.1545	CDC123	988.1124
CDC14A	89.4097	CDC14A	375.7889
CDC14B	131.6551	CDC14B	839.9312
removed	removed	CDC14C	6.8847
CDC16	1557.8704	CDC16	1569.1337
CDC20	121.5278	CDC20	92.3695
CDC23	1895.2546	CDC23	868.6173
CDC25A	88.831	CDC25A	40.7344
CDC25B	1870.081	CDC25B	888.6976
CDC25C	191.5509	CDC25C	11.4745
CDC26	47.3322	CDC26	70.7286
CDC27	4088.2523	CDC27	1708.5485
CDC34	179.9769	CDC34	335.6282
CDC37L1	265.625	CDC37L1	497.4182
CDC37	510.4167	CDC37	2082.6162
CDC40	1694.4444	CDC40	859.4378
CDC42BPA	1832.1759	CDC42BPA	2113.5972
CDC42BPB	1787.6157	CDC42BPB	3165.8061
CDC42BPG	87.6736	CDC42BPG	653.471
CDC42EP1	181.4236	CDC42EP1	1454.9627
CDC42EP2	77.8356	CDC42EP2	515.2037
CDC42EP3	266.7824	CDC42EP3	1293.1727
CDC42EP4	1586.2269	CDC42EP4	2586.9191
CDC42EP5	5.787	CDC42EP5	120.4819
CDC42SE1	4128.2784	CDC42SE1	2622.7022
CDC42SE2	1571.4699	CDC42SE2	1804.3603
CDC42	7934.3171	CDC42	6021.2278
CDC45	177.0833	CDC45	45.8979
CDC5L	1472.5116	CDC5L	1224.8996
CDC6	991.0301	CDC6	111.3024
CDC73	1976.2731	CDC73	1152.0367
CDC7	385.706	CDC7	114.7447
CDCA2	220.4861	CDCA2	21.8015
CDCA3	184.9769	CDCA3	47.619
CDCA4	157.9861	CDCA4	230.6368
CDCA5	347.8009	CDCA5	123.9243
CDCA7L	338.235	CDCA7L	856.9994
CDCA7	115.4514	CDCA7	121.6294
CDCA8	306.1343	CDCA8	98.1067
CDCP1	2024.8843	CDCP1	713.1383
removed	removed	CDH10	13.7694
CDH11	2638.8889	CDH11	967.2978
removed	removed	CDH12	53.93
CDH13	230.6134	CDH13	1202.5244
removed	removed	CDH19	12.0482
CDH1	22482.3495	CDH1	8518.0723
removed	removed	CDH20	11.4745
removed	removed	CDH22	6.8847
CDH23	29.5139	CDH23	183.5915
CDH24	46.0069	CDH24	123.3505
CDH26	17.9398	CDH26	18.9329
CDH2	62.5	CDH2	223.7522
CDH3	549.4792	CDH3	2241.5376
removed	removed	CDH4	51.0614
CDH5	417.2454	CDH5	3602.4096
CDH6	29.5139	CDH6	92.3695
CDH8	82.1759	CDH8	112.4498
removed	removed	CDHR1	7.4584
CDHR3	24.0943	CDHR3	31.1704
CDIPT	2021.7014	CDIPT	1915.6627
CDK10	88.2523	CDK10	514.0562
CDK11A	41.684	CDK11A	192.6506
CDK11B	222.7836	CDK11B	553.7636
CDK12	2772.8588	CDK12	1179.5754
CDK13	912.9051	CDK13	978.7722
CDK14	326.9676	CDK14	934.5955
CDK16	3632.8125	CDK16	1389.5582
CDK17	1462.6736	CDK17	977.0511
CDK18	577.5463	CDK18	384.3947
CDK19	1512.2656	CDK19	768.3764
CDK1	1946.1806	CDK1	185.8864
CDK20	105.0347	CDK20	160.6426
CDK2AP1	3476.5625	CDK2AP1	2921.3999
CDK2AP2	375.2894	CDK2AP2	527.2519
CDK2	1487.8472	CDK2	663.798
CDK3	26.4005	CDK3	80.1492
CDK4	2442.419	CDK4	1987.3781
CDK5R1	72.6273	CDK5R1	52.7826
CDK5RAP1	587.963	CDK5RAP1	452.0941
CDK5RAP2	638.3102	CDK5RAP2	1269.0763
CDK5RAP3	875.2894	CDK5RAP3	1328.7435
CDK5	468.75	CDK5	143.4309
CDK6	218.1713	CDK6	1162.9375
CDK7	933.1597	CDK7	464.1423
CDK8	209.7801	CDK8	123.9243
CDK9	533.5648	CDK9	1051.6351
CDKAL1	445.8912	CDKAL1	423.9816
CDKL1	12.1528	CDKL1	39.5869
CDKL2	96.3542	CDKL2	42.4555
removed	removed	CDKL3	35.72
CDKL5	43.9815	CDKL5	48.1928
CDKN1A	4927.9514	CDKN1A	2344.8078
CDKN1B	2117.4769	CDKN1B	1492.2547
CDKN1C	45.1389	CDKN1C	744.1193
CDKN2AIPNL	664.3519	CDKN2AIPNL	290.8778
CDKN2AIP	292.5347	CDKN2AIP	639.7017
CDKN2A	106.4815	CDKN2A	45.8979
CDKN2BAS	13.0208	removed	removed
CDKN2B	492.4769	CDKN2B	364.3144
CDKN2C	107.3495	CDKN2C	659.782
CDKN2D	31.5394	CDKN2D	80.3213
CDKN3	131.0764	CDKN3	44.1767
CDNF	32.6968	CDNF	55.6512
CDO1	21.1227	CDO1	506.5978
CDON	609.9537	CDON	699.3689
CDR1	16.3802	CDR1	50.9237
CDR2L	253.1829	CDR2L	464.1423
CDR2	638.3102	CDR2	546.7585
CDRT1	7.4711	removed	removed
CDRT4	113.1337	CDRT4	219.6615
CDS1	1306.4236	CDS1	722.8916
CDS2	2163.7731	CDS2	818.1297
CDSN	461.2269	CDSN	170.9696
CDT1	75.2315	CDT1	99.8279
CDV3	18986.4005	CDV3	4369.4779
CDYL2	145.2546	CDYL2	56.7986
CDYL	1577.5463	CDYL	647.1601
CEACAM19	63.6574	CEACAM19	65.9782
CEACAM1	561.6319	CEACAM1	784.28
CEACAM21	6.6551	CEACAM21	14.3431
CEACAM5	730.3241	CEACAM5	9.1796
CEACAM6	2299.1898	CEACAM6	163.5112
CEACAM7	43.9815	removed	removed
CEBPA	73.4954	CEBPA	1209.4091
CEBPB	733.2176	CEBPB	1054.5037
CEBPD	96.9329	CEBPD	1014.9168
CEBPG	1544.5602	CEBPG	1149.1681
CEBPZ	3091.1458	CEBPZ	1620.7688
CECR1	555.2662	CECR1	330.4647
CECR2	143.8079	CECR2	8.6059
CECR5	235.8218	CECR5	498.5657
CECR6	16.7824	CECR6	40.7344
CECR7	7.2338	CECR7	126.7929
CELF1	2456.3079	CELF1	1497.4182
CELF2	364.294	CELF2	1845.0947
CELF3	25.7523	removed	removed
CELF4	13.5995	CELF4	6.8847
CELF5	27.4884	CELF5	40.7344
CELF6	12.7604	CELF6	56.7986
CELSR1	1799.4792	CELSR1	1296.615
CELSR2	1001.4468	CELSR2	1396.4429
CELSR3	51.2153	CELSR3	39.0132
CEL	48.0324	CEL	25.8176
CEMP1	51.4178	CEMP1	96.3855
CENPA	160.5903	CENPA	20.0803
CENPBD1	161.4583	CENPBD1	251.8646
CENPB	1783.8542	CENPB	1822.1457
CENPC1	324.0741	CENPC1	534.1365
CENPE	541.3773	CENPE	78.0264
CENPF	1583.044	CENPF	444.062
CENPH	260.4167	CENPH	125.0717
CENPI	211.8056	CENPI	15.4905
CENPJ	170.7176	CENPJ	218.0149
CENPK	282.9861	CENPK	55.6512
CENPL	179.3981	CENPL	91.222
CENPM	72.6273	CENPM	44.7504
CENPN	358.125	CENPN	205.2266
CENPO	182.5694	CENPO	86.9535
CENPP	94.5804	CENPP	65.5422
CENPQ	350.4051	CENPQ	144.0046
CENPT	94.3287	CENPT	379.8049
CENPV	10.706	CENPV	156.0528
CENPW	229.456	CENPW	150.3155
CEP110	222.5116	CEP110	608.1469
CEP120	1019.3866	CEP120	679.8623
CEP135	289.0625	CEP135	244.4062
CEP152	191.2616	CEP152	136.5462
CEP164	172.4537	CEP164	471.6007
CEP170	817.419	CEP170	936.8904
CEP192	671.2963	CEP192	802.6391
CEP250	318.287	CEP250	366.0356
CEP290	1234.6962	CEP290	582.249
CEP350	1237.5579	CEP350	1258.1756
CEP55	811.9213	CEP55	77.4527
CEP57	596.9329	CEP57	1039.5869
CEP63	863.2755	CEP63	657.5731
CEP68	864.0046	CEP68	1603.58
CEP70	1272.8588	CEP70	281.1245
CEP72	50.3472	CEP72	42.4555
CEP76	134.838	CEP76	119.9082
CEP78	344.6181	CEP78	266.2077
CEP97	511.8634	CEP97	144.0046
CEPT1	484.0856	CEPT1	780.8376
CERCAM	1458.3333	CERCAM	1107.2863
CERKL	63.4983	CERKL	24.8078
CERK	169.2708	CERK	850.8319
CES1	58.4491	CES1	773.953
CES2	527.1991	CES2	1258.7493
CES3	130.787	CES3	81.4687
removed	removed	CES4	5.7372
removed	removed	CES8	65.4045
CETN2	2965.5671	CETN2	1164.6586
CETN3	414.3519	CETN3	390.132
CETN4P	6.0764	removed	removed
CETP	7.8125	CETP	40.7344
CFB	5167.1354	CFB	2022.5186
CFDP1	248.5532	CFDP1	804.3603
CFD	44.8495	CFD	2594.9512
CFH	1159.1435	CFH	3142.8571
CFI	235.5324	CFI	1243.2587
CFL1	10104.7454	CFL1	10881.813
CFL2	273.1481	CFL2	1292.599
CFLAR	824.9421	CFLAR	991.3827
removed	removed	CFP	37.292
removed	removed	CFTR	9.1796
CG030	19.3866	CG030	36.7183
CGA	21.7014	removed	removed
removed	removed	CGB7	6.0528
CGGBP1	4022.8617	CGGBP1	2540.459
CGNL1	948.206	CGNL1	1320.7114
CGN	1823.206	CGN	998.2788
CGREF1	14.8206	CGREF1	195.152
CGRRF1	243.6343	CGRRF1	294.3201
CH25H	17.3611	CH25H	68.8468
CHAC1	31.8287	CHAC1	13.7694
CHAC2	110.2431	CHAC2	32.7022
removed	removed	CHADL	125.0717
CHAD	10.1273	CHAD	45.8979
removed	removed	CHAF1A	193.3448
CHAF1B	500.5787	CHAF1B	231.2106
CHCHD10	202.2569	CHCHD10	631.0958
CHCHD1	1780.3819	CHCHD1	398.7378
CHCHD2	2902.1991	CHCHD2	3325.3012
CHCHD3	1118.6343	CHCHD3	699.9426
CHCHD4	253.1829	CHCHD4	216.2937
CHCHD5	294.8495	CHCHD5	294.3201
CHCHD6	75.5208	CHCHD6	129.6615
CHCHD7	577.2569	CHCHD7	508.319
CHCHD8	786.7477	CHCHD8	607.5731
CHD1L	690.1042	CHD1L	780.8376
CHD1	1883.1019	CHD1	1226.6208
CHD2	1220.1968	CHD2	2358.0034
CHD3	2116.0301	CHD3	3397.5904
CHD4	6147.1904	CHD4	4456.2364
CHD6	3096.0648	CHD6	1691.9105
CHD7	711.2269	CHD7	515.7774
CHD8	1436.3426	CHD8	1792.8858
CHD9	1756.3657	CHD9	1702.2375
CHDH	30.6713	CHDH	617.9002
CHEK1	234.9537	CHEK1	118.187
CHEK2	219.9074	CHEK2	176.1331
CHERP	584.4184	CHERP	1076.7355
CHFR	549.1898	CHFR	378.0838
removed	removed	CHGA	6.311
CHI3L1	111.1111	CHI3L1	1127.3666
CHI3L2	102.7199	CHI3L2	752.1515
CHIC1	776.9097	CHIC1	401.0327
CHIC2	127.8935	CHIC2	353.4137
CHID1	1015.9144	CHID1	1391.8531
CHKA	312.5	CHKA	1025.8176
CHKB-CPT1B	94.5284	CHKB-CPT1B	324.6988
CHKB	112.3264	CHKB	224.3029
CHL1	155.9606	CHL1	2056.7986
CHML	2059.3171	CHML	513.4825
CHMP1A	982.9282	CHMP1A	1458.405
CHMP1B	983.5069	CHMP1B	1867.4699
CHMP2A	1029.8032	CHMP2A	1491.681
CHMP2B	3358.2176	CHMP2B	1278.8296
CHMP4A	435.7726	CHMP4A	875.6512
CHMP4B	5564.8148	CHMP4B	2601.8359
CHMP4C	733.7963	CHMP4C	661.5032
CHMP5	1861.6898	CHMP5	1312.6793
CHMP6	149.0162	CHMP6	400.459
CHMP7	676.2153	CHMP7	830.1779
CHM	949.6528	CHM	608.7206
CHN1	309.8958	CHN1	397.0166
CHN2	57.2917	CHN2	78.0264
CHODL	28.0671	CHODL	52.2088
CHORDC1	1091.7245	CHORDC1	432.5875
CHPF2	743.6343	CHPF2	1019.5066
CHPF	2546.5856	CHPF	1121.0557
CHPT1	1475.1157	CHPT1	1923.1211
CHP	6212.0949	CHP	2821.572
CHRAC1	440.3935	CHRAC1	681.0098
CHRDL1	45.7176	CHRDL1	4501.4343
removed	removed	CHRDL2	16.0643
CHRD	146.1227	CHRD	180.1492
CHRFAM7A	6.9444	CHRFAM7A	24.6701
CHRM1	16.7824	CHRM1	174.9857
removed	removed	CHRM3	33.276
CHRNA10	7.2338	CHRNA10	8.0321
CHRNA1	27.4884	removed	removed
removed	removed	CHRNA3	8.0321
CHRNA5	37.9051	CHRNA5	75.1578
CHRNA6	6.9444	removed	removed
CHRNB1	116.8981	CHRNB1	223.1784
removed	removed	CHRNB2	31.5548
CHRNB4	7.2338	removed	removed
CHRNE	8.3333	CHRNE	14.8594
CHST10	229.7454	CHST10	281.1245
CHST11	80.7292	CHST11	72.2892
CHST12	89.1204	CHST12	267.3551
CHST14	459.7801	CHST14	531.8417
CHST15	1996.5278	CHST15	1154.3316
CHST1	70.8912	CHST1	40.1606
CHST2	34.4329	CHST2	367.183
CHST3	136.2847	CHST3	1003.4423
removed	removed	CHST4	9.1796
CHST6	27.1991	CHST6	16.638
CHST7	21.412	CHST7	130.809
CHST8	14.7569	CHST8	21.2278
CHST9	9.838	CHST9	456.1102
CHSY1	1291.088	CHSY1	1987.9518
CHSY3	114.8727	CHSY3	88.3534
CHTF18	75.5208	CHTF18	88.3534
CHTF8	1983.5069	CHTF8	2449.7992
CHUK	885.9954	CHUK	632.2433
CHURC1	2673.0556	CHURC1	2222.7768
CIAO1	2442.7083	CIAO1	1809.5238
CIAPIN1	1514.1782	CIAPIN1	684.4521
CIB1	3143.2292	CIB1	1048.7665
CIB2	50.0579	CIB2	131.3827
CIB3	6.0764	removed	removed
CIC	616.3194	CIC	1493.4022
removed	removed	CIDEA	498.5657
CIDEB	31.7188	CIDEB	304.2742
CIDECP	57.0023	CIDECP	83.7636
removed	removed	CIDEC	2611.0155
CIITA	37.037	CIITA	238.0952
CILP2	127.6042	CILP2	21.2278
CILP	738.7153	CILP	2259.323
CINP	340.5671	CINP	419.9656
CIR1	855.9028	CIR1	889.8451
CIRBP	1280.0926	CIRBP	6546.7585
CIRH1A	921.2963	CIRH1A	934.5955
CISD1	722.2222	CISD1	312.6793
CISD2	849.2477	CISD2	427.4125
CISD3	679.2969	CISD3	612.3408
CISH	517.0718	CISH	332.7596
removed	removed	CITED1	269.0763
CITED2	1062.7894	CITED2	2845.0947
CITED4	243.3449	CITED4	1106.7126
CIT	559.0278	CIT	144.5783
CIZ1	500.5787	CIZ1	1603.5571
CKAP2L	412.3264	CKAP2L	26.3913
CKAP2	1713.2523	CKAP2	311.5318
CKAP4	5682.8704	CKAP4	2069.9943
CKAP5	5800.0579	CKAP5	1618.4739
CKB	32.6968	CKB	452.0941
CKLF	239.0046	CKLF	296.615
CKMT1A	1031.8287	CKMT1A	60.8147
CKMT1B	1195.8912	CKMT1B	333.3333
CKMT2	19.0972	CKMT2	71.7154
CKS1B	763.3102	CKS1B	549.0534
CKS2	1033.2755	CKS2	136.5462
CLASP1	1640.3356	CLASP1	1368.3305
CLASP2	913.7731	CLASP2	1305.7946
CLCA2	67.9977	CLCA2	1845.0947
removed	removed	CLCA4	159.4951
CLCC1	775.3935	CLCC1	917.1429
CLCF1	33.5648	CLCF1	105.5651
CLCN2	98.9583	CLCN2	47.619
CLCN3	1420.4282	CLCN3	1662.6506
CLCN4	250	CLCN4	171.5433
CLCN5	233.5069	CLCN5	162.9375
CLCN6	230.3241	CLCN6	577.1658
CLCN7	919.5602	CLCN7	1083.1899
removed	removed	CLCNKA	10.9007
removed	removed	CLCNKB	17.7854
removed	removed	CLDN10	337.4814
CLDN11	32.1181	CLDN11	1561.6753
CLDN12	2193.5764	CLDN12	1487.6649
CLDN14	5.787	removed	removed
CLDN15	47.7431	CLDN15	115.8921
removed	removed	CLDN19	235.2266
CLDN1	94.0394	CLDN1	703.385
CLDN23	89.4097	CLDN23	166.9535
removed	removed	CLDN2	15.2668
CLDN3	602.1412	CLDN3	570.8548
CLDN4	3929.6875	CLDN4	3562.8227
CLDN5	15.625	CLDN5	2253.012
CLDN7	1118.6343	CLDN7	795.1807
CLDN8	91.4352	CLDN8	1461.2737
removed	removed	CLDN9	5.1635
CLDND1	1518.8079	CLDND1	1257.0281
removed	removed	CLDND2	9.7533
CLEC10A	5.4977	CLEC10A	79.7476
CLEC11A	103.2986	CLEC11A	115.3184
CLEC14A	206.0185	CLEC14A	1398.1641
CLEC16A	590.2778	CLEC16A	710.2697
CLEC1A	34.4329	CLEC1A	204.2456
CLEC2B	132.8125	CLEC2B	453.2415
CLEC2D	506.0764	CLEC2D	396.4429
removed	removed	CLEC3A	16.638
CLEC3B	27.4884	CLEC3B	2582.903
CLEC4A	37.3264	CLEC4A	30.4073
CLEC4E	15.625	removed	removed
removed	removed	CLEC4F	26.3913
removed	removed	CLEC4GP1	19.5066
removed	removed	CLEC4G	28.6862
CLEC5A	40.2199	CLEC5A	9.1796
CLEC7A	151.331	CLEC7A	71.7154
CLECL1	5.2083	removed	removed
CLGN	83.044	CLGN	35.5709
CLIC1	7521.1227	CLIC1	4395.2955
CLIC2	234.9537	CLIC2	972.4613
removed	removed	CLIC3	19.5066
CLIC4	8210.9375	CLIC4	7971.8876
CLIC5	34.7222	CLIC5	577.7395
CLIC6	39.3519	CLIC6	376.3626
CLINT1	3277.7778	CLINT1	1830.1779
CLIP1	2921.875	CLIP1	2160.0688
CLIP2	97.8009	CLIP2	500.8606
CLIP3	237.8472	CLIP3	543.3161
CLIP4	736.1111	CLIP4	1052.7826
CLK1	1208.912	CLK1	1820.4246
CLK2P	13.3102	CLK2P	6.8847
CLK2	557.581	CLK2	570.2811
CLK3	574.6528	CLK3	671.8302
CLK4	325.8102	CLK4	582.3293
removed	removed	CLMN	1607.5731
removed	removed	CLN3	810.6713
CLN5	1504.3403	CLN5	902.467
CLN6	1274.5949	CLN6	588.6403
CLN8	207.4653	CLN8	353.4137
CLNS1A	8205.4398	CLNS1A	1379.8049
CLOCK	646.9907	CLOCK	285.1406
CLP1	199.9421	CLP1	285.7143
CLPB	398.1481	CLPB	198.5083
CLPP	328.4144	CLPP	477.9116
CLPTM1L	2746.8171	CLPTM1L	1629.9484
CLPTM1	3224.8264	CLPTM1	1909.3517
CLPX	1298.9005	CLPX	877.2232
CLSPN	182.8704	CLSPN	27.5387
CLSTN1	4368.3449	CLSTN1	4968.4452
CLSTN2	1186.0532	CLSTN2	402.1801
CLSTN3	984.0856	CLSTN3	977.6248
CLTA	1221.3542	CLTA	2037.8657
CLTB	399.8843	CLTB	791.1647
CLTCL1	24.3056	CLTCL1	51.6351
CLTC	38426.2153	CLTC	8803.7866
CLUAP1	392.6157	CLUAP1	468.7321
CLUL1	79.5718	CLUL1	46.4716
CLU	13400.463	CLU	22904.7619
removed	removed	CLVS1	10.7114
CLYBL	39.9306	CLYBL	120.4819
removed	removed	CMA1	16.0643
CMAH	204.2824	CMAH	623.6374
CMAS	1918.4028	CMAS	894.4349
CMBL	2414.3519	CMBL	910.4991
CMC1	166.088	CMC1	153.1842
CMIP	936.3426	CMIP	1451.5204
CMKLR1	175.3472	CMKLR1	271.9449
CMPK1	4166.088	CMPK1	4492.8285
CMPK2	964.4097	CMPK2	258.7493
CMTM1	117.4769	CMTM1	106.1388
CMTM3	896.412	CMTM3	1203.0981
CMTM4	372.9745	CMTM4	1427.424
removed	removed	CMTM5	9.1796
CMTM6	3993.6343	CMTM6	3558.2329
CMTM7	146.1227	CMTM7	1395.2955
CMTM8	521.412	CMTM8	240.3901
CMYA5	1179.9769	CMYA5	1095.2381
CNBP	8968.75	CNBP	8203.0981
CNDP2	5155.3819	CNDP2	2736.6609
CNFN	44.5602	CNFN	51.6351
removed	removed	CNGA1	67.6994
CNGA2	32.4074	removed	removed
CNGA3	11.5741	removed	removed
CNGB3	6.6551	removed	removed
CNIH2	13.5995	CNIH2	19.5066
CNIH3	44.5602	CNIH3	47.619
CNIH4	1094.3287	CNIH4	792.8858
CNIH	1614.8727	CNIH	1146.2995
CNKSR1	81.0185	CNKSR1	198.5083
removed	removed	CNKSR2	37.8657
CNKSR3	28.6458	CNKSR3	212.2777
CNN1	56.4236	CNN1	6816.4085
CNN2	809.8958	CNN2	3029.2599
CNN3	2523.4375	CNN3	5605.852
removed	removed	CNNM1	63.1096
CNNM2	76.9676	CNNM2	123.3505
CNNM3	1129.6296	CNNM3	780.8376
CNNM4	1269.0972	CNNM4	827.3092
CNOT10	839.6991	CNOT10	616.7527
CNOT1	5430.7205	CNOT1	3699.1681
CNOT2	2120.081	CNOT2	1457.8313
removed	removed	CNOT3	795.7544
CNOT4	973.3796	CNOT4	486.5175
CNOT6L	1105.6134	CNOT6L	1733.2186
CNOT6	3846.0648	CNOT6	998.8526
CNOT7	2321.7593	CNOT7	1817.5559
CNOT8	1665.2199	CNOT8	1702.2375
CNO	192.419	CNO	265.0602
CNPY2	966.7245	CNPY2	1017.2117
CNPY3	654.2245	CNPY3	794.0333
CNPY4	181.5365	CNPY4	292.599
CNP	1357.4392	CNP	1632.6391
CNR1	11.2847	CNR1	143.4309
CNRIP1	113.7153	CNRIP1	506.5978
CNST	1191.5509	CNST	706.8273
CNTD1	103.0527	CNTD1	38.7665
CNTD2	15.0463	CNTD2	6.311
removed	removed	CNTFR	422.8342
removed	removed	CNTF	41.8818
CNTLN	114.0046	CNTLN	292.0252
CNTN1	160.0116	CNTN1	446.3569
removed	removed	CNTN2	8.0321
CNTN3	24.5949	CNTN3	67.6994
CNTN4	94.3287	CNTN4	248.996
removed	removed	CNTN6	12.6219
CNTNAP1	82.1759	CNTNAP1	289.7303
CNTNAP2	4629.6296	removed	removed
