gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
C8orf80	107.7535	C8orf80	22.9498
C8orf83	321.54	C8orf83	842.1053
C8orf84	190.343	C8orf84	379.437
C8orf85	1357.5653	C8orf85	306.3035
C9orf100	325.3834	C9orf100	39.1034
C9orf102	169.8484	C9orf102	166.224
C9orf103	57.4255	C9orf103	152.0808
C9orf109	19.3569	C9orf109	33.6597
C9orf110	115.4963	C9orf110	171.0526
C9orf114	292.9648	C9orf114	405.6151
C9orf116	13.5498	C9orf116	36.4137
C9orf117	10.3237	removed	removed
C9orf119	209.2698	C9orf119	236.8421
removed	removed	C9orf122	18.0539
C9orf123	1176.6857	C9orf123	758.2619
C9orf125	38.9289	C9orf125	148.1028
C9orf129	75.0683	C9orf129	63.9596
C9orf130	108.1062	C9orf130	229.9755
C9orf139	9.0096	removed	removed
C9orf140	494.2467	C9orf140	50.4896
C9orf142	209.2698	C9orf142	159.7307
C9orf150	760.2968	C9orf150	381.5789
C9orf152	113.5606	C9orf152	321.9094
C9orf156	206.6889	C9orf156	325.8874
C9orf163	6.0222	C9orf163	5.202
C9orf167	207.9794	C9orf167	126.377
C9orf16	454.8876	C9orf16	434.8225
C9orf170	7.5277	removed	removed
C9orf21	283.0412	C9orf21	317.9315
C9orf23	315.5178	C9orf23	268.9718
C9orf25	864.6091	C9orf25	498.776
C9orf30	306.7792	C9orf30	225.2907
C9orf37	114.2058	C9orf37	116.5851
C9orf3	300.2731	C9orf3	420.661
C9orf40	160.2323	C9orf40	149.3268
C9orf41	210.343	C9orf41	135.8629
C9orf43	5.592	removed	removed
removed	removed	C9orf44	5.202
C9orf45	99.3655	C9orf45	169.8286
C9orf46	702.226	C9orf46	438.1885
C9orf47	10.3366	C9orf47	20.2142
C9orf5	1906.0114	C9orf5	3156.9767
C9orf64	345.1984	C9orf64	416.4627
C9orf66	38.9289	C9orf66	44.3696
C9orf68	19.572	C9orf68	53.8556
C9orf69	663.2971	C9orf69	620.257
C9orf6	346.0587	C9orf6	483.4761
C9orf72	519.8408	C9orf72	305.3856
C9orf78	1292.8272	C9orf78	1506.4259
C9orf7	337.8858	C9orf7	402.3868
C9orf80	230.9926	C9orf80	290.3917
C9orf82	618.131	C9orf82	458.9963
C9orf85	163.2434	C9orf85	195.5324
C9orf86	1383.8047	C9orf86	1237.4541
C9orf89	187.9772	C9orf89	192.1665
C9orf91	935.3694	C9orf91	686.3525
C9orf93	30.9711	C9orf93	97.0012
C9orf95	324.551	C9orf95	518.3599
C9orf96	6.4523	C9orf96	12.2399
C9orf98	16.776	C9orf98	33.6597
C9orf9	91.6228	C9orf9	154.8348
CA11	98.5052	CA11	235.9241
CA12	266.6953	CA12	3977.6622
CA13	51.6658	CA13	148.9015
CA14	5.1618	CA14	8.8739
CA2	315.948	CA2	221.8482
CA3	16.7287	CA3	1552.1389
CA4	28.1751	CA4	661.2607
CA5BP	337.2406	CA5BP	193.0845
CA5B	300.1527	CA5B	465.4284
CA6	29.6806	removed	removed
CA8	291.8593	CA8	253.366
CA9	23.809	removed	removed
CAB39L	494.4618	CAB39L	2682.6805
CAB39	2407.1406	CAB39	2174.7246
CABC1	1786.063	CABC1	2802.7356
CABIN1	1076.2448	CABIN1	1096.0832
CABLES1	1075.1694	CABLES1	1267.4419
CABLES2	273.3627	CABLES2	177.4786
CABP1	7.0975	CABP1	49.8776
removed	removed	CABP4	6.12
CABYR	151.8443	CABYR	91.7993
CACHD1	513.8187	CACHD1	1573.4394
CACNA1A	30.1108	CACNA1A	32.4357
CACNA1C	205.3984	CACNA1C	361.6799
CACNA1D	7.7428	CACNA1D	221.2362
CACNA1E	5.592	removed	removed
removed	removed	CACNA1F	20.1958
CACNA1G	9.6785	CACNA1G	15.2999
CACNA1H	92.6981	CACNA1H	193.3905
CACNA1I	47.532	CACNA1I	18.3599
CACNA2D1	105.1726	CACNA2D1	204.1004
CACNA2D2	24.3037	CACNA2D2	113.5251
CACNA2D3	16.5609	CACNA2D3	5.202
CACNA2D4	78.7181	CACNA2D4	72.8274
CACNB1	105.6028	CACNB1	160.0367
CACNB2	88.8268	CACNB2	53.2436
CACNB3	476.1802	CACNB3	285.8017
CACNB4	104.3123	CACNB4	108.9351
CACNG4	91.8378	CACNG4	355.8752
CACYBP	2079.1483	CACYBP	1125.153
CADM1	1508.3342	CADM1	569.1554
CADM2	5.3769	CADM2	55.6916
CADM3	204.1531	CADM3	295.9486
CADM4	520.7012	CADM4	603.1212
CADPS2	478.9762	CADPS2	1363.5251
CAD	1801.9142	CAD	944.3084
CALB2	862.6734	CALB2	910.9547
CALCOCO1	1270.029	CALCOCO1	2982.5581
CALCOCO2	2164.3187	CALCOCO2	4338.7393
CALCRL	1309.8183	CALCRL	1472.7662
CALCR	9.0332	CALCR	27.2338
CALD1	10896.8706	CALD1	13922.5826
CALHM2	547.3707	CALHM2	716.6463
CALM1	6857.5116	CALM1	8457.1603
CALM2	20557.0534	CALM2	11396.8788
CALM3	4340.4667	CALM3	3283.0477
CALML3	6.2372	CALML3	60.5875
CALML4	406.9255	CALML4	363.8311
CALML5	850.6291	CALML5	20.1958
CALN1	24.3037	CALN1	31.8237
CALR	16856.006	CALR	8541.9217
CALU	9696.7416	CALU	3203.7944
CAMK1D	244.3273	CAMK1D	69.1554
CAMK1G	22.7982	removed	removed
CAMK1	262.6175	CAMK1	500.7069
removed	removed	CAMK2B	30.9058
CAMK2D	1583.6111	CAMK2D	1225.8262
CAMK2G	561.3507	CAMK2G	812.7295
CAMK2N1	365.4156	CAMK2N1	1396.2668
CAMK4	37.6385	CAMK4	5.202
CAMKK1	381.7615	CAMKK1	303.2436
CAMKK2	1385.7404	CAMKK2	1829.8654
CAMLG	614.0445	CAMLG	1104.3452
CAMSAP1L1	1364.6629	CAMSAP1L1	1418.9106
CAMSAP1	933.2186	CAMSAP1	872.705
CAMTA1	308.8504	CAMTA1	484.0881
CAMTA2	751.0485	CAMTA2	1253.672
CAND1	3267.6632	CAND1	2501.53
CAND2	92.6981	CAND2	136.7809
CANT1	2079.7935	CANT1	1275.3978
CANX	22423.2713	CANX	16617.8091
CAP1	8965.2651	CAP1	6291.9217
CAP2	211.8507	CAP2	634.3329
CAPG	4518.9805	CAPG	1915.2387
CAPN10	162.2497	CAPN10	198.8831
CAPN11	8.8182	CAPN11	72.5214
CAPN12	162.5637	CAPN12	73.6138
removed	removed	CAPN13	161.8727
removed	removed	CAPN14	6.12
CAPN1	3938.7031	CAPN1	3013.9137
CAPN2	6695.7737	CAPN2	4455.6304
CAPN3	168.203	CAPN3	146.7258
CAPN5	199.3763	CAPN5	330.4774
CAPN6	3252.1777	CAPN6	192.4725
CAPN7	774.2768	CAPN7	1154.8348
CAPN8	7.0975	CAPN8	204.4064
CAPNS1	6595.3328	CAPNS1	6322.5214
CAPRIN1	9203.1401	CAPRIN1	5805.3856
CAPRIN2	214.6467	CAPRIN2	340.8813
CAPS2	20.6474	CAPS2	68.2375
CAPS	276.3738	CAPS	151.4688
CAPZA1	5758.8988	CAPZA1	2294.6756
CAPZA2	3519.7333	CAPZA2	3350.6732
removed	removed	CAPZA3	7.0379
CAPZB	4160.4474	CAPZB	3833.5373
CARD10	236.3695	CARD10	585.9853
CARD11	304.5489	CARD11	98.8372
CARD14	208.8397	CARD14	141.0649
CARD16	337.8858	CARD16	160.6487
CARD6	922.6799	CARD6	527.8458
CARD8	1235.8318	CARD8	1059.3635
CARD9	149.0483	CARD9	47.7356
CARHSP1	1237.1502	CARHSP1	1085
CARKD	474.6747	CARKD	974.9082
CARM1	864.1789	CARM1	683.2925
CARNS1	16.3458	CARNS1	29.6818
CARS2	486.0996	CARS2	416.4474
CARS	925.6888	CARS	859.5471
removed	removed	CASC1	61.8115
CASC2	30.3258	CASC2	50.7956
CASC3	3710.5065	CASC3	2898.7148
CASC4	2530.5947	CASC4	3487.4541
CASC5	449.5107	CASC5	9.4859
CASD1	616.1953	CASD1	929.9266
CASKIN1	7.0266	CASKIN1	11.0159
CASKIN2	576.4018	CASKIN2	1074.9143
CASK	1476.5028	CASK	1410.9547
CASP10	648.887	CASP10	466.0343
removed	removed	CASP12	11.9339
CASP1	957.3072	CASP1	662.7907
CASP2	1504.0327	CASP2	862.6071
CASP3	1172.1691	CASP3	612.6071
CASP4	1066.7814	CASP4	990.2081
CASP5	7.5277	removed	removed
CASP6	1040.3269	CASP6	369.339
CASP7	760.2968	CASP7	678.3966
CASP8AP2	545.6501	CASP8AP2	638.0049
CASP8	1102.9143	CASP8	598.8372
CASP9	203.6778	CASP9	230.7222
removed	removed	CASQ1	31.8237
CASQ2	107.3234	CASQ2	191.2485
CASS4	72.0508	CASS4	24.7858
CAST	4556.8169	CAST	8492.4296
CASZ1	316.5932	CASZ1	685.7405
CATSPER1	9.4634	removed	removed
CATSPER2P1	12.7153	CATSPER2P1	24.8439
CATSPER2	9.0332	CATSPER2	34.5685
removed	removed	CATSPER3	5.2479
CATSPERB	26.0243	CATSPERB	28.7638
CATSPERG	8.1729	CATSPERG	16.8299
CAT	2542.4239	CAT	6350.6732
CAV1	5143.3487	CAV1	18907.8947
CAV2	1604.4736	CAV2	6033.9657
CBARA1	949.3494	CBARA1	1126.071
CBFA2T2	756.2103	CBFA2T2	821.9094
CBFA2T3	137.8643	CBFA2T3	195.8384
CBFB	1562.7487	CBFB	932.9865
CBLB	512.0981	CBLB	618.1151
CBLC	213.3563	CBLC	114.4431
CBLL1	877.2986	CBLL1	867.8091
CBLN1	19.572	CBLN1	26.0098
CBLN3	54.8446	CBLN3	73.1334
CBLN4	14.1951	CBLN4	42.8397
CBL	1446.8222	CBL	1029.3758
CBR1	994.7715	CBR1	689.7644
CBR3	391.0098	CBR3	363.5251
CBR4	295.3006	CBR4	683.5985
CBS	257.6621	CBS	72.2154
CBWD1	1538.6601	CBWD1	712.9743
CBWD2	529.7344	CBWD2	644.1248
CBWD3	256.3222	CBWD3	534.2717
CBWD5	9.943	removed	removed
CBWD6	133.1326	CBWD6	133.7209
CBX1	1794.3865	CBX1	1411.2607
CBX2	502.8498	CBX2	78.0294
CBX3	4402.1938	CBX3	3136.7809
CBX4	363.4799	CBX4	352.2032
CBX5	2903.538	CBX5	2723.3782
CBX6	411.0119	CBX6	632.1909
CBX7	665.0177	CBX7	2503.672
CBX8	98.2901	CBX8	83.5373
CBY1	480.185	CBY1	606.735
CC2D1A	477.6858	CC2D1A	726.4382
CC2D1B	863.1036	CC2D1B	698.5924
CC2D2A	231.4227	CC2D2A	473.6842
CC2D2B	7.874	CC2D2B	5.202
CCAR1	1445.7469	CCAR1	1236.5361
CCBE1	18.4966	CCBE1	110.7711
CCBL1	44.736	CCBL1	85.3733
CCBL2	418.8214	CCBL2	654.0881
CCBP2	299.6021	CCBP2	213.8923
CCDC101	157.0061	CCDC101	291.3097
CCDC102A	131.8421	CCDC102A	202.8764
CCDC102B	141.9507	CCDC102B	107.0991
CCDC103	54.4145	CCDC103	156.3647
CCDC104	476.1802	CCDC104	1042.2277
CCDC106	107.5384	CCDC106	175.9486
CCDC107	475.4124	CCDC107	713.0386
CCDC109A	411.227	CCDC109A	416.7687
CCDC109B	1119.9054	CCDC109B	264.0759
CCDC110	12.2594	CCDC110	74.0514
CCDC111	138.7138	CCDC111	298.1089
CCDC112	246.9083	CCDC112	232.5581
CCDC113	206.4738	CCDC113	294.9816
CCDC114	9.6785	CCDC114	10.0979
CCDC115	908.6999	CCDC115	949.8164
CCDC117	981.3958	CCDC117	881.8849
CCDC11	5.1618	CCDC11	16.5239
CCDC120	457.4685	CCDC120	271.7258
CCDC121	130.1215	CCDC121	195.5324
CCDC122	48.8225	CCDC122	112.6071
CCDC123	485.8587	CCDC123	417.3807
CCDC124	336.3803	CCDC124	546.2056
CCDC125	201.527	CCDC125	462.3623
CCDC126	176.7932	CCDC126	374.235
CCDC127	318.3138	CCDC127	357.0991
CCDC129	90.1172	CCDC129	7.0379
CCDC12	345.8436	CCDC12	421.9706
CCDC130	153.3498	CCDC130	272.3378
CCDC132	718.5719	CCDC132	685.1285
CCDC134	58.716	CCDC134	38.2497
CCDC136	21.7228	CCDC136	53.2436
CCDC137	653.8337	CCDC137	272.3378
CCDC138	119.3677	CCDC138	38.2497
CCDC13	6.4523	CCDC13	17.7479
CCDC141	34.8425	CCDC141	26.9278
CCDC142	237.8944	CCDC142	110.3029
CCDC144A	22.6971	CCDC144A	23.4486
CCDC144B	17.2062	CCDC144B	9.7919
CCDC146	187.7621	CCDC146	189.4125
CCDC147	10.7538	CCDC147	23.8678
CCDC148	9.6785	CCDC148	34.5777
CCDC149	373.5886	CCDC149	600.6732
CCDC14	866.5448	CCDC14	716.6463
CCDC150	44.0908	CCDC150	5.814
CCDC152	117.3976	CCDC152	201.5086
removed	removed	CCDC153	13.4639
CCDC157	13.5498	CCDC157	22.3623
removed	removed	CCDC158	26.0098
CCDC159	73.7714	CCDC159	155.4468
CCDC15	67.104	CCDC15	79.2534
CCDC160	5.1618	CCDC160	29.0698
CCDC163P	48.8225	CCDC163P	25.7038
CCDC17	6.0222	CCDC17	12.5459
CCDC18	149.4935	CCDC18	65.7895
CCDC19	27.96	CCDC19	14.9939
CCDC21	413.5929	CCDC21	212.0563
CCDC22	381.6453	CCDC22	365.5569
CCDC23	300.0323	CCDC23	318.2375
CCDC24	63.095	CCDC24	109.1034
CCDC25	752.7691	CCDC25	1278.7638
CCDC28A	335.0898	CCDC28A	548.9565
CCDC28B	71.4055	CCDC28B	35.8017
CCDC30	39.7892	CCDC30	73.1334
CCDC34	185.8264	CCDC34	312.7295
CCDC36	13.7649	CCDC36	43.7576
CCDC39	18.4966	CCDC39	28.8158
CCDC3	589.0956	CCDC3	4736.5361
CCDC40	16.9911	CCDC40	91.4933
CCDC41	158.2966	CCDC41	180.8446
CCDC43	520.9162	CCDC43	421.6646
CCDC45	316.163	CCDC45	585.9853
CCDC46	146.4674	CCDC46	486.2301
CCDC47	2095.4941	CCDC47	3157.8947
CCDC48	26.4545	CCDC48	72.5214
CCDC50	2140.2301	CCDC50	3654.8348
CCDC51	225.8307	CCDC51	191.5545
CCDC52	333.5843	CCDC52	374.235
CCDC53	329.9279	CCDC53	472.7662
CCDC55	1137.3266	CCDC55	1070.9914
CCDC56	1153.6294	CCDC56	688.2864
CCDC57	262.6089	CCDC57	344.2472
CCDC58	217.8729	CCDC58	164.9327
CCDC59	483.923	CCDC59	639.2289
CCDC61	92.6981	CCDC61	126.377
CCDC62	5.3769	CCDC62	6.4259
CCDC64B	309.2806	CCDC64B	198.5924
CCDC64	212.2809	CCDC64	65.7895
CCDC65	7.9578	CCDC65	15.6059
CCDC66	245.2973	CCDC66	371.3586
CCDC67	11.6142	removed	removed
CCDC68	44.736	CCDC68	165.2387
CCDC69	1572.6422	CCDC69	2608.6291
CCDC6	2754.0596	CCDC6	2683.5985
CCDC71	345.4135	CCDC71	435.1285
CCDC72	810.4097	CCDC72	953.4884
CCDC73	42.7487	CCDC73	56.533
CCDC74A	36.348	CCDC74A	168.6047
CCDC74B	5.8071	CCDC74B	44.6756
CCDC75	83.88	CCDC75	186.6585
CCDC76	265.9512	CCDC76	289.1585
CCDC77	248.4138	CCDC77	168.2987
CCDC78	7.3126	CCDC78	5.508
CCDC7	30.3086	CCDC7	37.3317
CCDC80	5782.5573	CCDC80	12692.4725
CCDC81	8.1729	CCDC81	8.2619
CCDC82	796.2146	CCDC82	729.8042
CCDC84	75.7071	CCDC84	99.7552
CCDC85A	84.5252	CCDC85A	473.6567
CCDC85B	94.6338	CCDC85B	175.6426
CCDC85C	582.7143	CCDC85C	539.5226
CCDC86	596.1802	CCDC86	574.9204
CCDC87	18.9268	CCDC87	17.7479
CCDC88A	1189.1601	CCDC88A	781.8237
CCDC88B	361.3292	CCDC88B	206.2424
CCDC88C	1036.8857	CCDC88C	802.9376
CCDC89	31.8314	CCDC89	32.4357
CCDC8	168.8354	CCDC8	1156.6707
CCDC90A	398.5375	CCDC90A	332.0073
CCDC90B	976.2276	CCDC90B	824.3543
CCDC91	475.7501	CCDC91	671.3586
CCDC92	615.1199	CCDC92	921.3586
CCDC93	938.1654	CCDC93	1086.5973
CCDC94	202.6024	CCDC94	339.0453
CCDC96	20.2172	CCDC96	87.5153
CCDC97	811.4851	CCDC97	934.5165
CCDC99	476.1802	CCDC99	165.2387
CCDC9	367.9966	CCDC9	371.175
CCHCR1	315.948	CCHCR1	336.2913
CCIN	18.4966	CCIN	7.3439
CCL11	15.2705	removed	removed
CCL13	300.6775	CCL13	74.6634
CCL14-CCL15	7.2868	removed	removed
CCL14	1408.6117	CCL14	3121.7748
CCL16	7.7428	CCL16	8.8739
CCL17	17.8514	removed	removed
CCL18	985.9125	CCL18	36.4137
CCL19	734.0574	CCL19	214.1983
CCL20	113.5606	removed	removed
CCL21	1131.0894	CCL21	1033.9657
CCL22	172.7067	CCL22	70.6854
CCL23	39.7892	CCL23	14.9939
CCL28	1189.8054	CCL28	1342.7173
CCL2	2800.7313	CCL2	1100.3672
CCL3L1	61.7249	CCL3L1	11.2271
CCL3L3	5.8092	removed	removed
CCL3	699.8602	CCL3	147.1848
CCL4L2	143.8864	CCL4L2	33.6597
CCL4	471.2335	CCL4	144.7368
CCL5	3080.7614	CCL5	513.7699
CCL7	180.6646	removed	removed
CCL8	1526.4007	CCL8	151.4688
CCM2	820.7334	CCM2	705.6304
CCNA1	32.0465	CCNA1	19.8898
CCNA2	713.2057	CCNA2	25.3213
CCNB1IP1	610.8184	CCNB1IP1	754.896
CCNB1	760.0817	CCNB1	137.3929
CCNB2	607.1621	CCNB2	14.3819
CCNB3	179.3741	CCNB3	18.3599
CCNC	1551.1345	CCNC	1422.8886
CCND1	2219.1634	CCND1	3413.161
CCND2	1395.6339	CCND2	1180.2326
CCND3	1723.196	CCND3	2050.4896
CCNDBP1	874.9328	CCNDBP1	1454.1004
CCNE1	231.4227	CCNE1	23.5618
CCNE2	137.974	CCNE2	36.0129
CCNF	572.7498	CCNF	149.3268
CCNG1	1822.7766	CCNG1	3362.6071
CCNG2	1874.8253	CCNG2	3208.3843
CCNH	422.0733	CCNH	695.9027
CCNI2	20.9141	CCNI2	6.8268
CCNI	5678.0299	CCNI	6684.5165
CCNJL	59.1461	CCNJL	81.7013
CCNJ	351.0055	CCNJ	203.4884
CCNK	1105.8544	CCNK	779.9388
CCNL1	1131.0894	CCNL1	1904.2228
CCNL2	756.4254	CCNL2	1580.4774
removed	removed	CCNO	23.5618
CCNT1	157.8664	CCNT1	166.1567
CCNT2	713.41	CCNT2	793.1457
CCNYL1	1466.3942	CCNYL1	605.2632
CCNY	2395.3113	CCNY	2163.4027
CCPG1	2170.7323	CCPG1	2875.1132
CCR10	5.8071	CCR10	13.4639
CCR1	2086.0308	CCR1	160.0367
CCR2	518.1202	CCR2	71.6034
CCR3	5.3769	removed	removed
CCR4	88.3966	CCR4	22.0318
CCR5	1257.7697	CCR5	143.5129
CCR6	207.5901	CCR6	55.9119
CCR7	449.5107	CCR7	44.6756
CCR8	38.4988	removed	removed
CCRL1	51.6185	CCRL1	292.5337
CCRL2	224.3252	CCRL2	84.1493
CCRN4L	489.9452	CCRN4L	165.2387
CCS	286.0523	CCS	352.5092
CCT2	2561.7808	CCT2	2330.4774
CCT3	7678.6751	CCT3	3744.186
CCT4	6352.9412	CCT4	3691.5545
CCT5	7442.5207	CCT5	3065.7895
CCT6A	3993.9778	CCT6A	2672.2766
CCT6B	73.3412	CCT6B	125.459
CCT6P1	70.5452	CCT6P1	66.7075
CCT7	4765.4587	CCT7	3415.5447
CCT8	4095.9243	CCT8	3182.6805
CD101	91.6228	CD101	29.3758
CD109	904.1832	CD109	979.489
CD14	3297.1287	CD14	1000
CD151	3062.4798	CD151	6226.7442
CD160	14.6252	CD160	11.0159
CD163L1	306.9147	CD163L1	165.5447
CD163	7770.513	CD163	632.4969
CD164L2	18.4966	CD164L2	50.7956
CD164	11169.158	CD164	11215.4223
CD180	635.9824	CD180	101.5912
CD19	136.7889	CD19	25.7038
CD1A	23.8735	removed	removed
CD1B	8.388	removed	removed
CD1C	87.3212	CD1C	23.5618
CD1D	135.0683	CD1D	26.0098
CD1E	43.4455	CD1E	9.7919
CD200R1	101.5163	CD200R1	38.5557
CD200	435.3156	CD200	563.0355
CD207	156.3609	CD207	33.0477
CD209	558.5547	CD209	217.5643
CD226	90.5474	CD226	17.4419
CD22	431.6593	CD22	78.9474
CD244	38.2837	CD244	20.1958
CD247	215.7221	CD247	60.5875
CD248	1180.557	CD248	1850.9792
CD24	121805.1403	CD24	13244.492
CD274	129.0461	CD274	33.3537
CD276	1960.2108	CD276	1295.8996
CD27	441.9594	CD27	135.8415
CD28	210.3452	CD28	47.1236
CD2AP	2143.6714	CD2AP	1528.4578
CD2BP2	1065.4909	CD2BP2	1137.6989
CD2	881.8152	CD2	178.0906
CD300A	688.4611	CD300A	144.1248
CD300C	115.7114	CD300C	19.5838
CD300E	35.0575	removed	removed
CD300LB	51.1883	CD300LB	6.7319
CD300LF	160.8775	CD300LF	11.0159
CD300LG	212.2809	CD300LG	2552.6316
CD302	1606.3362	CD302	2792.2552
CD320	203.4627	CD320	420.7466
CD33	200.8818	CD33	53.5496
CD34	2987.8482	CD34	5253.366
CD36	3457.5761	CD36	31269.8898
CD37	1053.0165	CD37	209.9143
CD38	495.107	CD38	33.3537
CD3D	239.5957	CD3D	56.3035
CD3EAP	626.4007	CD3EAP	373.623
CD3E	737.2836	CD3E	177.1726
CD3G	146.2523	CD3G	25.7038
CD40LG	66.4588	CD40LG	26.0098
CD40	545.0048	CD40	367.5031
CD44	17227.6589	CD44	8822.5214
CD46	5321.6475	CD46	5697.6744
CD47	3886.0092	CD47	3171.6646
CD48	1248.0912	CD48	223.3782
CD4	3525.1102	CD4	1047.1236
CD52	868.2654	CD52	198.8984
CD53	3013.2272	CD53	468.4823
CD55	2246.4781	CD55	2627.907
CD58	485.8587	CD58	263.7699
CD59	25355.1995	CD59	23113.5251
CD5	341.7572	CD5	70.6854
CD63	8055.92	CD63	10382.4969
CD68	6730.8313	CD68	1428.3966
CD69	599.6344	CD69	192.7785
CD6	370.1473	CD6	80.4774
CD70	10.3237	CD70	14.9939
CD72	305.8393	CD72	37.9437
CD74	65360.7915	CD74	27311.1995
CD79A	1137.5417	CD79A	285.8017
CD79B	402.6239	CD79B	179.3146
CD7	116.1415	CD7	40.0857
CD80	170.9861	removed	removed
CD81	9645.7684	CD81	13130.967
CD82	3748.36	CD82	1373.317
CD83	1027.2072	CD83	351.8972
CD84	553.6079	CD84	42.8397
CD86	1252.6078	CD86	108.0171
CD8A	635.3371	CD8A	202.5704
CD8B	225.1855	CD8B	44.0636
CD93	4640.0688	CD93	4185.4345
CD96	489.515	CD96	141.9829
CD97	1499.7312	CD97	897.7968
CD99L2	817.9374	CD99L2	1835.3733
CD99	2682.439	CD99	2190.6365
CD9	4188.6224	CD9	4458.3843
CDADC1	285.6221	CDADC1	315.7895
CDAN1	298.9569	CDAN1	332.3133
CDA	29.8957	CDA	23.8678
CDC123	2065.5124	CDC123	824.6144
CDC14A	182.1701	CDC14A	398.1028
CDC14B	257.232	CDC14B	1135.5569
removed	removed	CDC14C	15.6059
CDC16	1247.661	CDC16	1642.2889
CDC20	1214.3241	CDC20	20.8078
CDC23	690.3968	CDC23	829.2534
CDC25A	225.1855	CDC25A	24.7858
CDC25B	2377.8901	CDC25B	630.049
CDC25C	103.4563	removed	removed
CDC26	114.4209	CDC26	138.6812
CDC27	1932.0357	CDC27	1628.213
CDC34	381.5464	CDC34	500.918
CDC37L1	643.5101	CDC37L1	703.7944
CDC37	1988.816	CDC37	2565.7895
CDC40	1094.3112	CDC40	832.0073
CDC42BPA	2379.1806	CDC42BPA	2056.6095
CDC42BPB	2151.6292	CDC42BPB	3299.8776
CDC42BPG	348.8547	CDC42BPG	535.8017
CDC42EP1	1499.0859	CDC42EP1	1581.0894
CDC42EP2	236.7997	CDC42EP2	697.9804
CDC42EP3	917.3029	CDC42EP3	1275.3978
CDC42EP4	1470.0505	CDC42EP4	2848.2252
CDC42EP5	42.1551	CDC42EP5	120.257
CDC42SE1	3622.9659	CDC42SE1	2545.5263
CDC42SE2	2008.388	CDC42SE2	1812.1175
CDC42	6669.3193	CDC42	5889.5349
CDC45	214.6467	CDC45	5.202
CDC5L	1510.7001	CDC5L	1233.4761
CDC6	595.1178	CDC6	30.9058
CDC73	1615.2274	CDC73	1141.0649
CDC7	225.4006	CDC7	71.9094
CDCA2	356.5975	CDCA2	9.1799
CDCA3	280.185	CDCA3	16.1781
CDCA4	351.2206	CDCA4	187.5765
CDCA5	940.3162	CDCA5	37.3317
CDCA7L	959.3333	CDCA7L	611.6524
CDCA7	499.4085	CDCA7	62.7295
CDCA8	908.0546	CDCA8	37.9437
CDCP1	2644.3704	CDCP1	627.295
removed	removed	CDH10	16.5239
CDH11	1510.485	CDH11	519.5838
removed	removed	CDH12	40.6977
CDH13	607.5922	CDH13	1212.3623
removed	removed	CDH17	6.4259
removed	removed	CDH19	9.1799
CDH1	3956.1243	CDH1	6545.5936
removed	removed	CDH20	48.3476
removed	removed	CDH22	14.9939
CDH23	82.3744	CDH23	152.6928
CDH24	67.7492	CDH24	74.9694
CDH26	108.3988	CDH26	7.6499
CDH2	110.9797	CDH2	17.4419
CDH3	3826.4329	CDH3	1327.1114
removed	removed	CDH4	6.7319
CDH5	1801.484	CDH5	3533.9657
CDH6	121.0883	CDH6	80.1714
CDH8	8.8182	CDH8	8.8739
CDHR1	14.6252	CDHR1	11.9339
CDHR3	14.337	CDHR3	26.8452
CDIPT	1571.5668	CDIPT	1735.9241
CDK10	256.3717	CDK10	422.5826
CDK11A	254.6639	CDK11A	367.5092
CDK11B	586.2867	CDK11B	764.6818
CDK12	1873.9649	CDK12	1191.5545
CDK13	1093.0208	CDK13	1011.3219
CDK14	509.7322	CDK14	740.2081
removed	removed	CDK15	5.814
CDK16	5616.5179	CDK16	1384.0269
CDK17	869.7709	CDK17	927.7846
CDK18	551.027	CDK18	316.4015
CDK19	2229.6225	CDK19	808.3017
CDK1	921.1743	CDK1	66.7075
CDK20	55.0597	CDK20	134.3329
CDK2AP1	3219.2709	CDK2AP1	1935.1285
CDK2AP2	489.9452	CDK2AP2	458.9963
CDK2	603.0756	CDK2	487.1481
CDK3	51.8851	CDK3	108.0661
CDK4	2094.8489	CDK4	1584.4553
CDK5R1	570.599	CDK5R1	38.8617
CDK5RAP1	484.5682	CDK5RAP1	415.5447
CDK5RAP2	1483.8155	CDK5RAP2	1562.4235
CDK5RAP3	1025.7017	CDK5RAP3	1539.4737
CDK5	299.8172	CDK5	122.093
CDK6	3002.6885	CDK6	605.5692
CDK7	291.4292	CDK7	404.2228
CDK8	206.6889	CDK8	134.9449
CDK9	717.7116	CDK9	1006.7319
CDKAL1	363.695	CDKAL1	384.6389
CDKL1	67.7492	CDKL1	35.4957
CDKL2	259.1677	CDKL2	62.4235
CDKL3	21.5765	CDKL3	42.2613
CDKL5	86.4609	CDKL5	47.1236
CDKN1A	2051.4034	CDKN1A	3272.9498
CDKN1B	1417.3567	CDKN1B	1845.1652
CDKN1C	239.8107	CDKN1C	1820.0734
CDKN2AIPNL	169.2655	CDKN2AIPNL	317.0135
CDKN2AIP	343.6929	CDKN2AIP	621.787
CDKN2A	57.4255	CDKN2A	64.2595
CDKN2B	443.7036	CDKN2B	839.3513
CDKN2C	387.5686	CDKN2C	731.3341
CDKN2D	197.2255	CDKN2D	99.7552
CDKN3	153.9951	CDKN3	11.0159
CDNF	19.1418	CDNF	87.8213
CDO1	98.0751	CDO1	741.4321
CDON	547.8008	CDON	651.1628
CDR1	11.9755	CDR1	97.3011
