gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
ACOT1	298.5267	ACOT1	662.1787
removed	removed	ACOT2	478.2742
ACOT4	65.5985	ACOT4	130.967
ACOT7	543.4993	ACOT7	178.3966
ACOT8	178.9203	ACOT8	156.2882
ACOT9	924.4005	ACOT9	495.41
ACOX1	1679.1053	ACOX1	2115.8201
ACOX2	36.348	ACOX2	310.5875
ACOX3	308.6353	ACOX3	488.6781
ACOXL	10.1086	removed	removed
ACP1	1753.3068	ACP1	1307.2215
ACP2	1447.8976	ACP2	657.2827
ACP5	2084.7403	ACP5	421.3586
ACP6	139.3698	ACP6	131.5789
ACPL2	345.8436	ACPL2	331.7013
ACPP	27.0997	ACPP	24.4798
ACRBP	49.0375	ACRBP	8.5679
ACRC	25.164	ACRC	22.6438
ACR	9.4634	ACR	9.1799
ACSBG1	5.592	ACSBG1	12.5459
ACSF2	326.7018	ACSF2	800.1836
ACSF3	204.9683	ACSF3	295.8996
ACSL1	2969.9968	ACSL1	10733.7821
ACSL3	8304.3338	ACSL3	2477.9682
ACSL4	2394.2359	ACSL4	1803.8556
ACSL5	1004.4091	ACSL5	1152.3868
ACSL6	87.3212	ACSL6	6.7319
removed	removed	ACSM1	13.1579
ACSM3	112.7519	ACSM3	134.8592
ACSM5	45.3812	ACSM5	513.4639
ACSS1	844.822	ACSS1	879.437
ACSS2	681.3636	ACSS2	2498.776
ACSS3	87.9664	ACSS3	731.3341
ACTA1	145.1769	removed	removed
ACTA2	5021.7916	ACTA2	21265.0153
ACTBL2	10.3237	ACTBL2	10.4039
ACTB	96952.7906	ACTB	74092.4113
ACTC1	48.6074	ACTC1	34.8837
ACTG1	52943.1122	ACTG1	44130.049
ACTG2	2410.3667	ACTG2	3845.7772
ACTL6A	1473.0616	ACTL6A	828.3354
ACTL8	37.6385	removed	removed
ACTN1	5109.1515	ACTN1	7277.2338
ACTN2	5.3769	ACTN2	5.814
ACTN4	11594.1843	ACTN4	9797.5612
ACTR10	1020.97	ACTR10	1278.1518
ACTR1A	2291.2141	ACTR1A	2365.6671
ACTR1B	830.842	ACTR1B	1343.6353
ACTR2	13051.0808	ACTR2	5374.235
ACTR3B	313.152	ACTR3B	133.7209
ACTR3C	29.2505	ACTR3C	15.9119
ACTR3	6454.0273	ACTR3	2953.7944
ACTR5	245.1877	ACTR5	187.2705
ACTR6	672.9756	ACTR6	690.0245
ACTR8	464.5661	ACTR8	458.6903
ACVR1B	734.9177	ACVR1B	1010.0979
ACVR1C	161.0926	ACVR1C	2877.601
ACVR1	1084.4177	ACVR1	1281.2118
ACVR2A	403.0541	ACVR2A	505.202
ACVR2B	304.764	ACVR2B	345.1652
ACVRL1	886.9771	ACVRL1	1117.5031
ACY1	632.6938	ACY1	488.6781
ACY3	12.9046	ACY3	15.9119
ACYP1	80.4388	ACYP1	66.7075
ACYP2	158.2966	ACYP2	195.2264
ADAL	112.2701	ADAL	174.1126
ADAM10	2243.8972	ADAM10	2044.6756
ADAM11	7.5277	ADAM11	13.1579
ADAM12	1807.5062	ADAM12	237.7601
ADAM15	4714.7156	ADAM15	2364.1585
ADAM17	1505.9684	ADAM17	703.1824
ADAM19	806.9685	ADAM19	118.1151
ADAM21	6.6674	removed	removed
ADAM22	41.2948	ADAM22	64.8715
ADAM23	92.4831	ADAM23	55.0796
ADAM28	274.223	ADAM28	80.7834
ADAM32	47.3169	ADAM32	51.7136
ADAM33	177.2234	ADAM33	491.6004
ADAM6	140049.1408	ADAM6	48596.7289
ADAM8	586.2996	ADAM8	42.8397
ADAM9	5236.9072	ADAM9	2307.2215
ADAMDEC1	984.4069	ADAMDEC1	7.9559
ADAMTS10	80.8689	ADAMTS10	133.1089
ADAMTS12	272.2873	ADAMTS12	142.2889
ADAMTS13	43.4455	ADAMTS13	52.6316
ADAMTS14	58.9311	removed	removed
ADAMTS15	87.7514	ADAMTS15	180.8446
ADAMTS16	43.8757	ADAMTS16	143.8188
ADAMTS17	8.6031	ADAMTS17	21.7258
ADAMTS18	25.164	ADAMTS18	58.4455
ADAMTS1	2000.4302	ADAMTS1	7718.7882
ADAMTS20	7.5277	removed	removed
ADAMTS2	360.0387	ADAMTS2	416.7687
ADAMTS3	95.9243	ADAMTS3	112.6071
ADAMTS4	320.4646	ADAMTS4	220.9302
ADAMTS5	487.5793	ADAMTS5	2239.9021
ADAMTS6	59.7914	ADAMTS6	29.9878
ADAMTS7	100.656	ADAMTS7	72.5214
ADAMTS8	49.0375	ADAMTS8	18.9718
ADAMTS9	438.5418	ADAMTS9	533.0477
ADAMTSL1	138.2944	ADAMTSL1	220.3182
ADAMTSL2	60.4366	ADAMTSL2	45.2876
ADAMTSL3	315.5178	ADAMTSL3	247.858
ADAMTSL4	527.5836	ADAMTSL4	940.6365
ADAMTSL5	14.8403	ADAMTSL5	28.7638
ADAP1	81.8755	ADAP1	87.3807
ADAP2	733.1971	ADAP2	215.1163
ADARB1	590.6011	ADARB1	883.1089
removed	removed	ADARB2	6.12
ADAR	17120.9808	ADAR	6429.3146
ADAT1	313.7972	ADAT1	287.0257
ADAT2	190.343	ADAT2	140.7589
ADAT3	15.4855	ADAT3	20.1958
ADA	241.3163	ADA	85.6793
ADCK1	139.8	ADCK1	123.317
ADCK2	724.6134	ADCK2	583.2313
ADCK4	355.5221	ADCK4	426.8666
ADCK5	68.6095	ADCK5	67.0135
ADCY1	82.5895	ADCY1	118.1151
ADCY2	195.5049	ADCY2	110.1591
ADCY3	2242.0368	ADCY3	1369.8868
ADCY4	291.2141	ADCY4	573.7454
ADCY5	43.0154	ADCY5	492.9621
ADCY6	1172.3841	ADCY6	2648.7148
ADCY7	1334.9823	ADCY7	354.0392
ADCY9	640.0688	ADCY9	753.06
ADCYAP1R1	5.592	ADCYAP1R1	13.4639
ADCYAP1	188.8375	ADCYAP1	18.3599
ADC	69.4698	ADC	116.5851
ADD1	3247.8761	ADD1	6823.4394
ADD2	56.7803	ADD2	41.6157
ADD3	1659.7484	ADD3	3069.7674
ADH1A	43.6606	ADH1A	380.052
ADH1B	5208.517	ADH1B	48264.0728
ADH1C	78.5031	ADH1C	378.213
ADH4	24.7338	ADH4	52.9376
ADH5	3076.89	ADH5	4002.754
ADHFE1	53.5541	ADHFE1	282.4357
ADI1	1264.437	ADI1	1887.3929
ADIPOQ	1204.6457	ADIPOQ	19555.3856
ADIPOR1	3202.0647	ADIPOR1	2059.6695
ADIPOR2	1775.6748	ADIPOR2	3419.5226
ADK	434.0252	ADK	522.3378
ADM2	211.2055	ADM2	34.5777
ADM	351.2206	ADM	1200.4284
ADNP2	594.0424	ADNP2	716.6463
ADNP	3094.9564	ADNP	2570.6854
ADORA1	406.4953	ADORA1	198.5924
ADORA2A	200.2301	ADORA2A	83.2313
ADORA2B	104.0972	ADORA2B	65.7895
ADORA3	432.9498	ADORA3	106.7931
ADO	680.2882	ADO	731.6401
ADPGK	1387.3384	ADPGK	754.03
ADPRHL1	20.6474	ADPRHL1	78.0294
ADPRHL2	691.2571	ADPRHL2	537.6377
ADPRH	697.7094	ADPRH	529.9878
removed	removed	ADRA1A	12.8519
ADRA1B	16.1308	ADRA1B	36.1077
ADRA1D	6.6674	ADRA1D	8.8739
ADRA2A	309.0655	ADRA2A	1410.9547
ADRA2B	69.4698	ADRA2B	59.6695
ADRA2C	31.8314	ADRA2C	133.7209
ADRB1	9.6785	ADRB1	47.1236
ADRB2	161.0926	ADRB2	497.246
ADRBK1	2420.6904	ADRBK1	1337.8213
ADRBK2	988.2783	ADRBK2	2050.4896
ADRM1	1222.497	ADRM1	998.47
ADSL	924.6156	ADSL	705.6304
ADSSL1	34.4123	ADSSL1	257.0379
ADSS	2100.656	ADSS	1385.5569
AEBP1	7085.7081	AEBP1	7434.5165
AEBP2	629.315	AEBP2	969.0942
AEN	535.3264	AEN	506.4259
AES	3308.7429	AES	5138.9229
AFAP1L1	410.3667	AFAP1L1	1105.5692
AFAP1L2	367.7815	AFAP1L2	1209.6083
AFAP1	1138.0643	AFAP1	1231.9431
AFF1	2727.175	AFF1	3497.246
AFF2	33.1218	AFF2	46.8176
AFF3	222.3895	AFF3	1583.8433
AFF4	2307.1298	AFF4	3029.3758
AFG3L1	154.6403	AFG3L1	228.5802
AFG3L2	2098.088	AFG3L2	1335.5814
AFMID	320.4646	AFMID	518.9718
removed	removed	AFP	99.1432
AFTPH	2343.4778	AFTPH	1693.0845
AG2	339.1763	AG2	686.0465
AGAP11	27.96	AGAP11	239.9051
AGAP1	575.1156	AGAP1	608.6291
AGAP2	196.8685	AGAP2	67.2093
AGAP3	945.6931	AGAP3	1128.825
AGAP4	97.2148	AGAP4	183.2925
AGAP5	27.8761	AGAP5	48.4302
AGAP6	71.8357	AGAP6	119.033
removed	removed	AGAP7	6.12
AGAP8	36.348	AGAP8	48.6536
AGA	381.1162	AGA	577.1114
AGBL2	6.4523	AGBL2	9.4859
removed	removed	AGBL3	8.2619
removed	removed	AGBL4	7.0379
AGBL5	531.4636	AGBL5	761.6463
AGER	31.8314	AGER	26.6218
AGFG1	2872.5669	AGFG1	2019.5838
AGFG2	413.5929	AGFG2	577.4174
AGGF1	636.6276	AGGF1	985.6181
AGK	648.4568	AGK	522.0318
AGL	905.6888	AGL	947.0624
AGMAT	36.5631	AGMAT	9.7919
AGPAT1	1616.7631	AGPAT1	1582.0226
AGPAT2	852.7799	AGPAT2	2807.5275
AGPAT3	1558.4471	AGPAT3	1539.7797
AGPAT4	403.2692	AGPAT4	235.0061
AGPAT5	1109.5817	AGPAT5	633.4149
AGPAT6	2063.0175	AGPAT6	1935.4345
AGPAT9	411.6572	AGPAT9	531.8237
AGPHD1	20.6474	AGPHD1	69.1554
AGPS	1631.5733	AGPS	1055.9976
AGR2	11.184	AGR2	1061.5055
AGR3	6.4523	AGR3	390.1469
AGRN	3272.61	AGRN	3141.9829
AGTPBP1	794.279	AGTPBP1	435.7405
AGTR1	98.2901	AGTR1	477.6622
AGTRAP	723.0885	AGTRAP	516.8299
AGT	40.2194	AGT	36.1077
AGXT2L2	348.9816	AGXT2L2	493.9994
AHCTF1	2112.9154	AHCTF1	1713.8923
AHCYL1	3123.5617	AHCYL1	4003.978
AHCYL2	760.0817	AHCYL2	594.2472
AHCY	2650.1774	AHCY	1842.1053
AHDC1	381.9766	AHDC1	798.0416
AHI1	3275.1909	AHI1	386.4749
AHNAK2	1530.4871	AHNAK2	1403.3048
AHNAK	32680.5033	AHNAK	77645.6548
AHRR	93.5584	AHRR	10.4039
AHR	3631.3582	AHR	3058.4455
AHSA1	1508.3342	AHSA1	1326.1934
AHSA2	273.7929	AHSA2	426.5606
AICDA	11.3991	removed	removed
AIDA	1262.3336	AIDA	1688.2007
AIF1L	5354.9844	AIF1L	2449.2044
AIF1	1277.7718	AIF1	411.8727
AIFM1	1003.9789	AIFM1	647.1848
AIFM2	414.6682	AIFM2	1223.6842
AIFM3	31.8314	AIFM3	8.7638
AIG1	432.9498	AIG1	996.022
AIM1	4868.9106	AIM1	3541.9217
AIM2	216.1523	AIM2	17.7479
AIMP1	1709.8656	AIMP1	1308.5312
AIMP2	367.5191	AIMP2	253.7882
AIP	597.0534	AIP	721.8482
AJAP1	14.6252	AJAP1	10.4039
AK1	378.7504	AK1	535.4957
AK2	3195.3974	AK2	2157.2827
AK3L1	846.1125	AK3L1	465.7283
AK3	2106.4631	AK3	2485.0061
AK5	96.1394	AK5	2883.4149
removed	removed	AK7	25.0918
AKAP10	690.1817	AKAP10	531.8237
AKAP11	2056.3501	AKAP11	1850.9792
AKAP12	1533.0681	AKAP12	4816.4015
AKAP13	3929.4548	AKAP13	3474.6022
AKAP1	1660.1785	AKAP1	2911.5667
AKAP2	1422.9853	AKAP2	2237.1603
AKAP3	41.5098	AKAP3	56.6095
AKAP5	133.5627	AKAP5	79.8654
AKAP6	185.1812	AKAP6	213.8923
AKAP7	232.4981	AKAP7	252.448
AKAP8L	462.6304	AKAP8L	676.5606
AKAP8	604.151	AKAP8	775.3978
AKAP9	2399.3978	AKAP9	2422.8886
AKD1	129.9064	AKD1	149.0208
AKIRIN1	1814.1736	AKIRIN1	1910.9547
AKIRIN2	765.4587	AKIRIN2	813.6475
AKNA	1422.7336	AKNA	897.4908
AKR1A1	1617.8084	AKR1A1	1365.0551
AKR1B10	15.4855	AKR1B10	6.7319
AKR1B15	19.3569	AKR1B15	11.3219
AKR1B1	1413.7004	AKR1B1	825.5814
AKR1C1	297.718	AKR1C1	1553.2436
AKR1C2	153.78	AKR1C2	1917.0747
AKR1C3	730.186	AKR1C3	1401.1628
AKR1E2	76.9459	AKR1E2	29.6818
AKR7A2	845.4673	AKR7A2	894.7368
AKR7A3	14.8403	AKR7A3	87.8213
AKR7L	9.2483	AKR7L	14.6879
AKT1S1	736.2082	AKT1S1	742.6561
AKT1	2444.1338	AKT1	2661.8727
AKT2	2126.8954	AKT2	2510.7099
AKT3	685.45	AKT3	1270.1958
AKTIP	578.6278	AKTIP	807.4602
ALAD	734.2725	ALAD	2473.6842
ALAS1	1167.2223	ALAS1	889.2289
removed	removed	ALB	1011.3219
ALCAM	1052.1561	ALCAM	3083.5373
ALDH16A1	351.6507	ALDH16A1	408.2007
ALDH18A1	2443.0584	ALDH18A1	1177.1726
ALDH1A1	1173.4595	ALDH1A1	5086.2913
ALDH1A2	115.2812	ALDH1A2	379.743
ALDH1A3	7082.525	ALDH1A3	3355.9486
ALDH1B1	1703.1939	ALDH1B1	530.2938
ALDH1L1	152.0594	ALDH1L1	1083.5373
ALDH1L2	1198.4084	ALDH1L2	272.9498
ALDH2	2589.5258	ALDH2	10161.2607
ALDH3A1	9.8935	ALDH3A1	66.7075
ALDH3A2	3721.2604	ALDH3A2	2926.8666
ALDH3B1	366.0609	ALDH3B1	187.8825
ALDH3B2	223.2498	ALDH3B2	1649.0208
ALDH4A1	276.3738	ALDH4A1	1279.3758
ALDH5A1	681.3636	ALDH5A1	638.3109
ALDH6A1	154.1435	ALDH6A1	549.4308
ALDH7A1	852.1346	ALDH7A1	1627.295
ALDH8A1	89.2569	ALDH8A1	11.0159
ALDH9A1	5523.3896	ALDH9A1	3428.3966
ALDOA	11474.7822	ALDOA	11955.6304
ALDOC	316.8083	ALDOC	831.7013
ALG10B	196.5803	ALG10B	391.0649
ALG10	121.7335	ALG10	110.1591
ALG11	24.9489	ALG11	9.4859
ALG12	270.9969	ALG12	390.7589
ALG13	354.4467	ALG13	549.8776
ALG14	164.5338	ALG14	194.3084
ALG1L	5.1812	ALG1L	8.1059
ALG1	644.0779	ALG1	376.9951
ALG2	843.9617	ALG2	883.7209
ALG3	1142.0583	ALG3	387.0869
ALG5	696.419	ALG5	697.6744
ALG6	664.8027	ALG6	286.4137
ALG8	922.0346	ALG8	720.6242
ALG9	601.1399	ALG9	576.4994
ALKBH1	184.536	ALKBH1	240.5141
ALKBH2	200.4517	ALKBH2	247.246
ALKBH3	361.9744	ALKBH3	398.7148
ALKBH4	189.2784	ALKBH4	191.9553
ALKBH5	2618.0665	ALKBH5	2099.7277
ALKBH6	94.6338	ALKBH6	78.6414
ALKBH7	154.4252	ALKBH7	323.4394
ALKBH8	306.4846	ALKBH8	313.6475
ALK	31.4012	ALK	25.3978
ALMS1	1172.5992	ALMS1	662.1787
removed	removed	ALOX12P2	15.2999
removed	removed	ALOX12	5.2081
ALOX15B	166.8997	ALOX15B	100.9792
ALOX15	28.8203	ALOX15	9.7919
ALOX5AP	844.822	ALOX5AP	220.9302
ALOX5	670.8248	ALOX5	777.2338
removed	removed	ALOXE3	9.1799
ALPK1	646.9513	ALPK1	715.7283
ALPK2	46.8868	ALPK2	23.2558
ALPK3	229.487	ALPK3	321.2974
ALPL	1676.7394	ALPL	648.1028
ALS2CL	230.1323	ALS2CL	350.0612
ALS2CR11	21.2926	ALS2CR11	6.4259
ALS2CR4	575.9759	ALS2CR4	1289.1677
ALS2CR8	122.8089	ALS2CR8	218.4823
ALS2	805.0328	ALS2	665.2387
ALX3	21.7228	ALX3	29.9878
ALX4	128.4009	ALX4	7.9559
AMACR	222.1744	AMACR	178.3966
AMBRA1	1059.8989	AMBRA1	840.2693
AMD1	5901.7099	AMD1	2141.6769
AMDHD1	32.9068	AMDHD1	23.2558
AMDHD2	208.6504	AMDHD2	176.7472
AMFR	1701.6884	AMFR	3244.798
AMH	9.6785	removed	removed
AMICA1	434.8855	AMICA1	69.4614
AMIGO1	76.7824	AMIGO1	145.6548
AMIGO2	580.0624	AMIGO2	1678.3966
AMIGO3	60.6517	AMIGO3	39.4737
AMMECR1L	812.3454	AMMECR1L	887.0869
AMMECR1	435.1005	AMMECR1	246.022
AMN1	125.3898	AMN1	247.552
AMOTL1	1166.7921	AMOTL1	2188.8005
AMOTL2	1829.2289	AMOTL2	5359.2411
AMOT	1042.9078	AMOT	875.459
AMPD1	39.5741	AMPD1	42.8397
AMPD2	807.1836	AMPD2	533.0477
AMPD3	553.3928	AMPD3	200.4284
AMPH	59.3612	AMPH	67.6255
AMTN	32.6917	removed	removed
AMT	41.7679	AMT	160.9455
AMY1A	7.0975	AMY1A	21.7258
AMY2B	94.5973	AMY2B	321.989
AMZ1	12.2594	removed	removed
AMZ2P1	104.3123	AMZ2P1	225.8262
AMZ2	1272.825	AMZ2	1272.6438
ANAPC10	168.8354	ANAPC10	172.5826
ANAPC11	746.1017	ANAPC11	548.0416
ANAPC13	1065.5834	ANAPC13	1401.0343
ANAPC16	1641.4668	ANAPC16	3187.8825
ANAPC1	1291.3216	ANAPC1	731.6401
ANAPC2	441.5529	ANAPC2	566.0955
ANAPC4	417.2492	ANAPC4	594.5532
ANAPC5	2306.2695	ANAPC5	2102.8152
ANAPC7	934.0789	ANAPC7	747.246
ANGEL1	593.3971	ANGEL1	607.0991
ANGEL2	628.2396	ANGEL2	705.0184
ANGPT1	146.6824	ANGPT1	689.1065
ANGPT2	874.7177	ANGPT2	827.1114
ANGPT4	7.3126	ANGPT4	33.0477
ANGPTL1	233.5735	ANGPTL1	795.2876
ANGPTL2	1704.9145	ANGPTL2	5166.4627
ANGPTL4	240.2409	ANGPTL4	1970.6242
removed	removed	ANGPTL5	11.9339
ANGPTL6	5.6221	removed	removed
ANGPTL7	7.7428	ANGPTL7	258.5679
ANG	123.3789	ANG	526.3984
ANK1	49.8978	ANK1	30.5998
ANK2	628.2396	ANK2	997.858
ANK3	1016.6685	ANK3	1000.918
ANKAR	34.4123	ANKAR	53.8556
ANKDD1A	88.1815	ANKDD1A	207.7723
ANKFY1	2047.9621	ANKFY1	2052.6316
ANKHD1-EIF4EBP3	370.5818	ANKHD1-EIF4EBP3	867.5581
ANKHD1	1903.3982	ANKHD1	2115.0826
ANKH	1645.3382	ANKH	1673.8066
ANKIB1	2375.5242	ANKIB1	1341.4933
removed	removed	ANKK1	45.8996
ANKLE1	96.3544	ANKLE1	11.6279
ANKLE2	1087.8589	ANKLE2	1641.6769
ANKMY1	90.1172	ANKMY1	224.2962
ANKMY2	421.5507	ANKMY2	764.3819
ANKRA2	184.9661	ANKRA2	375.765
ANKRD10	829.5516	ANKRD10	1249.8042
ANKRD11	2029.6957	ANKRD11	2322.7448
ANKRD12	1573.0724	ANKRD12	1978.8862
ANKRD13A	1452.6293	ANKRD13A	1514.6879
ANKRD13B	134.8532	ANKRD13B	74.6634
ANKRD13C	878.8042	ANKRD13C	669.5226
ANKRD13D	515.3242	ANKRD13D	393.8188
ANKRD16	195.6748	ANKRD16	140.7038
ANKRD17	4591.6765	ANKRD17	2466.6463
ANKRD19	26.6695	ANKRD19	42.2277
ANKRD1	84.3101	removed	removed
ANKRD20A3	12.2594	ANKRD20A3	13.4639
ANKRD20B	8.388	ANKRD20B	11.6279
ANKRD22	437.4664	ANKRD22	60.5875
ANKRD23	38.7138	ANKRD23	30.2938
removed	removed	ANKRD24	26.9278
ANKRD26	183.0304	ANKRD26	291.9217
ANKRD27	1236.0469	ANKRD27	825.2754
ANKRD28	1496.0748	ANKRD28	1390.7589
ANKRD29	122.3788	ANKRD29	345.1652
removed	removed	ANKRD30A	216.0343
removed	removed	ANKRD30B	41.3097
ANKRD32	149.4784	ANKRD32	162.7907
ANKRD34A	15.2705	ANKRD34A	15.9119
ANKRD35	26.8846	ANKRD35	207.7723
ANKRD36BP1	636.6276	ANKRD36BP1	123.011
ANKRD36B	84.5252	ANKRD36B	26.6218
ANKRD36	187.547	ANKRD36	216.9523
ANKRD37	64.4413	ANKRD37	252.7479
ANKRD39	124.5295	ANKRD39	92.7173
ANKRD40	1260.9958	ANKRD40	2641.3709
ANKRD42	255.9415	ANKRD42	286.4137
removed	removed	ANKRD43	59.0575
ANKRD44	192.0637	ANKRD44	67.9315
ANKRD45	40.2194	ANKRD45	13.1579
ANKRD46	331.9196	ANKRD46	637.4204
ANKRD49	417.0341	ANKRD49	312.7295
ANKRD50	1795.4619	ANKRD50	1061.5055
ANKRD52	1257.5546	ANKRD52	1081.3953
ANKRD53	34.4123	ANKRD53	113.8311
ANKRD54	227.3363	ANKRD54	291.6157
ANKRD55	9.0332	removed	removed
ANKRD56	51.8335	ANKRD56	143.2069
ANKRD57	660.7162	ANKRD57	839.9633
ANKRD58	26.4545	removed	removed
ANKRD5	200.4517	ANKRD5	213.8923
ANKRD6	261.2066	ANKRD6	354.6787
ANKRD9	29.8957	ANKRD9	32.1297
ANKS1A	1496.505	ANKS1A	1513.4639
