gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ACO1	940.9473	ACO1	2597.4813
ACO2	1785.4413	ACO2	3658.9179
ACOT11	26.5604	ACOT11	25.1166
ACOT13	775.1465	ACOT13	584.3983
ACOT1	1391.058	ACOT1	1340.4851
ACOT2	645.2413	ACOT2	835.3545
ACOT4	442.3196	ACOT4	109.6082
ACOT6	12.0407	ACOT6	6.9963
ACOT7	369.7211	ACOT7	244.8694
ACOT8	618.4613	ACOT8	238.666
ACOT9	592.4745	ACOT9	361.0075
ACOX1	1148.6109	ACOX1	2156.7164
ACOX2	155.1129	ACOX2	335.8209
ACOX3	718.1939	ACOX3	894.5896
ACP1	1532.0053	ACP1	1070.8955
ACP2	1983.1784	ACP2	674.4403
ACP5	1815.3165	ACP5	392.7239
ACP6	463.9221	ACP6	403.4515
ACPL2	776.6268	ACPL2	530.3172
ACPP	23.019	ACPP	31.7164
ACRBP	23.019	ACRBP	21.4552
ACRC	10.6242	ACRC	33.1157
ACRV1	13.4573	removed	removed
removed	removed	ACSBG1	21.4552
ACSF2	579.3714	ACSF2	1625.4664
ACSF3	337.8486	ACSF3	399.2537
ACSL1	3196.4586	ACSL1	19071.3619
ACSL3	3736.8747	ACSL3	4567.1642
ACSL4	639.2209	ACSL4	1692.6306
ACSL5	210.7127	ACSL5	594.2164
removed	removed	ACSL6	6.5299
ACSM1	14.5197	ACSM1	109.6082
ACSM3	22.6047	ACSM3	201.4552
ACSM5	24.0815	ACSM5	225.7463
ACSS1	1654.8915	ACSS1	706.1567
ACSS2	725.9849	ACSS2	5422.5746
ACSS3	144.8429	ACSS3	843.2836
ACTA1	74.0151	removed	removed
ACTA2	12326.5976	ACTA2	20177.0616
ACTB	129192.386	ACTB	40263.0597
removed	removed	ACTC1	8.8619
ACTG1	76418.2382	ACTG1	45539.6455
ACTG2	603.4529	ACTG2	4060.6343
ACTL6A	1029.8362	ACTL6A	661.3806
ACTL8	71.5361	removed	removed
ACTN1	7525.4537	ACTN1	9343.75
ACTN2	25.498	removed	removed
ACTN4	7618.5498	ACTN4	10331.0588
ACTR10	1692.0761	ACTR10	958.0224
ACTR1A	3879.9469	ACTR1A	2111.9403
ACTR1B	1273.4838	ACTR1B	1429.5709
ACTR2	9507.2156	ACTR2	4375.9328
ACTR3B	234.44	ACTR3B	215.4851
ACTR3C	77.9106	ACTR3C	30.7836
ACTR3	4894.9093	ACTR3	2334.4216
ACTR5	306.3302	ACTR5	202.4254
ACTR6	825.1439	ACTR6	592.3507
ACTR8	417.5299	ACTR8	608.209
ACVR1B	1114.4754	ACVR1B	1225.7463
ACVR1C	43.205	ACVR1C	1491.6045
ACVR1	1043.2935	ACVR1	1219.2164
ACVR2A	216.3789	ACVR2A	840.9515
ACVR2B	278.3533	ACVR2B	729.4776
ACVRL1	558.1231	ACVRL1	590.4851
ACY1	1104.5595	ACY1	827.7332
