gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
C16orf42	1115.9416	C16orf42	492.7892
C16orf45	213.5458	C16orf45	594.2164
C16orf46	78.6189	C16orf46	65.7649
C16orf48	214.2541	C16orf48	282.6493
C16orf52	256.0425	C16orf52	374.5336
C16orf53	1477.7548	C16orf53	716.9823
C16orf54	24.7897	C16orf54	34.9813
C16orf55	134.5728	C16orf55	109.1418
C16orf57	881.0978	C16orf57	552.2388
C16orf58	3216.2231	C16orf58	1791.8284
C16orf59	176.3612	C16orf59	13.9925
C16orf5	383.1784	C16orf5	706.1567
C16orf61	422.0841	C16orf61	131.847
C16orf62	1140.6817	C16orf62	1180.9701
C16orf63	566.9765	C16orf63	800.3731
C16orf68	241.8769	C16orf68	216.8843
C16orf70	700.1895	C16orf70	555.2845
C16orf71	46.0381	C16orf71	17.2575
C16orf72	1405.2236	C16orf72	1078.8246
C16orf74	77.9106	C16orf74	51.306
C16orf75	236.2107	C16orf75	20.9888
C16orf79	23.398	C16orf79	11.6791
C16orf7	220.3984	C16orf7	254.7155
C16orf80	535.8123	C16orf80	458.0224
C16orf86	19.8318	C16orf86	74.6269
C16orf87	117.22	C16orf87	69.9627
C16orf88	441.9655	C16orf88	365.2052
C16orf89	57.0164	C16orf89	300.3731
C16orf91	358.0345	C16orf91	114.7388
C16orf93	89.5972	C16orf93	41.0448
C17orf100	61.6202	C17orf100	69.4963
C17orf101	299.9557	C17orf101	301.7724
C17orf103	314.1213	C17orf103	1479.944
C17orf104	11.6866	C17orf104	15.8582
C17orf106	211.8849	C17orf106	229.7808
C17orf107	62.4382	C17orf107	118.8899
C17orf108	193.714	C17orf108	313.8993
C17orf28	3729.0837	C17orf28	1377.7985
C17orf37	869.7654	C17orf37	368.9366
C17orf39	383.5325	C17orf39	578.8246
C17orf42	219.9203	C17orf42	133.3955
C17orf44	108.7207	C17orf44	102.1455
removed	removed	C17orf46	6.0634
removed	removed	C17orf47	12.1269
C17orf48	146.6135	C17orf48	165.5784
C17orf49	1527.0863	C17orf49	527.5233
C17orf51	108.0124	C17orf51	283.1157
C17orf53	90.6596	C17orf53	53.6381
removed	removed	C17orf55	17.2575
C17orf56	322.2027	C17orf56	362.0849
C17orf57	32.5808	C17orf57	55.5037
C17orf58	413.9885	C17orf58	405.3172
C17orf59	241.1687	C17orf59	191.6978
C17orf60	21.2483	C17orf60	6.0634
C17orf61	1044.88	C17orf61	422.5653
C17orf62	1332.9792	C17orf62	794.3097
C17orf63	1117.3085	C17orf63	634.7948
C17orf65	185.0766	C17orf65	169.2304
C17orf67	20.5401	C17orf67	27.5187
C17orf68	918.6366	C17orf68	1222.0149
C17orf69	50.2877	C17orf69	128.7313
C17orf70	892.0761	C17orf70	659.5149
C17orf71	567.3307	C17orf71	538.2463
C17orf72	66.7127	C17orf72	29.3144
C17orf75	302.4347	C17orf75	205.2239
C17orf76	180.2568	C17orf76	33.5821
C17orf79	721.027	C17orf79	528.9179
C17orf80	535.8123	C17orf80	607.2761
C17orf81	659.0527	C17orf81	532.1828
C17orf85	657.6361	C17orf85	869.403
C17orf86	83.5768	C17orf86	123.6007
C17orf87	11.7503	C17orf87	13.5261
C17orf89	237.9814	C17orf89	124.5336
C17orf90	356.618	C17orf90	230.4104
C17orf91	169.6326	C17orf91	140.3918
C17orf93	7.4369	removed	removed
C17orf95	475.2545	C17orf95	256.0634
C17orf96	59.1412	C17orf96	88.6194
C17orf97	352.3683	C17orf97	150.1866
C18orf10	1048.9597	C18orf10	879.6642
C18orf18	25.498	C18orf18	56.903
C18orf19	271.9788	C18orf19	275.1866
C18orf1	1062.0629	C18orf1	2143.6567
C18orf21	311.6423	C18orf21	189.3657
C18orf22	350.2435	C18orf22	416.9776
C18orf25	443.0279	C18orf25	743.9366
C18orf32	1667.2156	C18orf32	787.2481
removed	removed	C18orf34	18.6567
C18orf45	588.579	C18orf45	404.3843
C18orf54	74.3692	C18orf54	122.2015
C18orf55	363.7008	C18orf55	364.2724
C18orf56	13.475	removed	removed
C18orf8	397.7618	C18orf8	323.0271
C19orf10	1235.591	C19orf10	658.5821
C19orf12	554.2275	C19orf12	641.3246
C19orf18	63.0367	C19orf18	8.8619
C19orf20	25.1439	C19orf20	18.1903
C19orf21	1007.5255	C19orf21	158.1157
C19orf22	1853.2094	C19orf22	652.9851
C19orf23	8.4993	C19orf23	10.7276
C19orf24	456.8393	C19orf24	299.9067
C19orf25	322.2665	C19orf25	405.7836
C19orf28	974.2364	C19orf28	486.4739
C19orf29	263.1253	C19orf29	387.5933
C19orf2	3083.8424	C19orf2	1309.7015
C19orf33	567.9681	C19orf33	13.9412
C19orf35	5.6662	C19orf35	7.9291
C19orf36	24.7897	C19orf36	44.3097
C19orf38	9.2076	removed	removed
C19orf39	76.494	C19orf39	61.1007
C19orf40	218.1496	C19orf40	54.5709
C19orf42	1490.571	C19orf42	1057.8358
C19orf43	2023.1961	C19orf43	1000
C19orf44	158.0983	C19orf44	270.6203
C19orf46	521.6467	C19orf46	187.9664
C19orf47	299.2475	C19orf47	238.806
C19orf48	1592.9172	C19orf48	584.8881
C19orf50	1343.6034	C19orf50	1009.7948
C19orf51	281.1864	C19orf51	22.8545
C19orf52	222.7534	C19orf52	193.097
C19orf53	1549.7123	C19orf53	787.7799
C19orf54	241.8769	C19orf54	280.7836
C19orf55	115.8035	C19orf55	132.9291
C19orf56	2714.4754	C19orf56	1496.2687
C19orf57	38.9553	C19orf57	50.8396
C19orf60	150.8632	C19orf60	190.7649
C19orf61	742.6295	C19orf61	500
C19orf62	1031.6069	C19orf62	844.6828
C19orf63	4546.3798	C19orf63	1802.5793
C19orf66	458.2984	C19orf66	520.7323
removed	removed	C19orf69	6.9963
C19orf6	903.7627	C19orf6	1364.2724
C19orf70	621.5139	C19orf70	429.1045
removed	removed	C19orf71	12.1269
C19orf73	72.5985	C19orf73	15.3918
C19orf76	9.5618	C19orf76	15.3918
C1D	214.6082	C1D	128.7313
C1GALT1C1	790.0841	C1GALT1C1	404.8507
C1GALT1	81.8061	C1GALT1	268.6567
C1QA	842.8508	C1QA	972.9478
C1QBP	2328.2585	C1QBP	1054.8741
C1QB	923.5945	C1QB	976.2127
C1QC	1158.3887	C1QC	1022.3881
removed	removed	C1QL1	36.847
removed	removed	C1QL2	5.1306
C1QL3	14.8738	C1QL3	25.653
removed	removed	C1QL4	8.8619
C1QTNF1	813.1031	C1QTNF1	951.0261
C1QTNF2	25.8521	C1QTNF2	23.3209
C1QTNF3	1175.3873	C1QTNF3	109.1418
C1QTNF6	1438.5126	C1QTNF6	304.5709
C1QTNF7	33.9973	C1QTNF7	119.8694
removed	removed	C1QTNF9B	6.3899
removed	removed	C1QTNF9	30.7836
C1RL	742.5657	C1RL	1311.7071
C1R	4080.0354	C1R	4632.9291
C1S	7003.4529	C1S	6085.8209
C1orf101	12.749	C1orf101	21.9216
C1orf103	501.815	C1orf103	397.8545
C1orf104	111.5361	C1orf104	78.6381
C1orf106	267.3749	C1orf106	128.2649
C1orf107	1116.9544	C1orf107	777.0522
C1orf109	321.5582	C1orf109	366.1381
C1orf111	6.7286	C1orf111	8.3955
C1orf112	378.3904	C1orf112	138.195
C1orf113	244.3417	C1orf113	166.3666
C1orf114	18.4152	C1orf114	5.1306
C1orf115	785.4803	C1orf115	1884.7948
C1orf116	1387.1625	C1orf116	1728.5448
C1orf122	761.7317	C1orf122	254.6642
C1orf123	704.0283	C1orf123	562.5
C1orf124	503.9398	C1orf124	255.597
C1orf125	58.4861	removed	removed
C1orf126	22.4028	C1orf126	114.4496
C1orf127	11.6866	removed	removed
C1orf128	802.8331	C1orf128	748.6007
C1orf130	16.2904	C1orf130	731.3433
C1orf131	539.7078	C1orf131	176.7724
C1orf133	31.8725	C1orf133	38.2463
C1orf135	64.8074	C1orf135	15.3918
C1orf144	2605.7548	C1orf144	2682.6586
C1orf150	16.6445	C1orf150	6.9963
C1orf151	1171.3324	C1orf151	674.9067
C1orf152	7.0828	C1orf152	34.0485
C1orf156	337.4874	C1orf156	132.4627
C1orf158	6.3745	removed	removed
C1orf159	182.0274	C1orf159	133.3955
C1orf162	140.9473	C1orf162	43.8433
C1orf163	175.2988	C1orf163	222.4813
C1orf168	123.2404	C1orf168	174.9067
C1orf170	29.7477	C1orf170	17.2575
C1orf172	325.8079	C1orf172	335.3545
C1orf173	12.0407	C1orf173	6.0634
C1orf174	339.2652	C1orf174	375.9328
C1orf175	8.8429	C1orf175	29.8507
C1orf182	12.3949	removed	removed
C1orf183	15.9363	C1orf183	122.6679
removed	removed	C1orf186	12.1269
C1orf190	22.116	C1orf190	67.2901
C1orf192	69.7654	C1orf192	36.847
C1orf194	19.1235	removed	removed
C1orf198	2256.5737	C1orf198	1667.9104
C1orf201	212.1293	C1orf201	204.291
C1orf203	78.2718	C1orf203	111.5019
C1orf204	22.5622	C1orf204	51.6185
C1orf210	455.7769	C1orf210	232.2761
C1orf212	443.7362	C1orf212	500
C1orf213	25.0022	C1orf213	131.5578
C1orf216	436.2992	C1orf216	354.0112
C1orf21	4773.4396	C1orf21	3290.5784
C1orf220	27.2687	C1orf220	17.2575
C1orf226	1800.7968	C1orf226	1465.4851
C1orf228	7.7911	C1orf228	11.6604
C1orf229	7.7911	C1orf229	19.5896
C1orf230	63.0367	removed	removed
C1orf25	949.0925	C1orf25	648.7873
C1orf26	212.1293	C1orf26	250.4664
C1orf27	1543.3378	C1orf27	758.3955
C1orf31	751.1288	C1orf31	174.4403
C1orf35	576.1842	C1orf35	180.5037
C1orf38	153.3422	C1orf38	131.0634
C1orf43	6889.4201	C1orf43	3358.6754
C1orf50	214.9624	C1orf50	115.2052
C1orf51	178.4861	C1orf51	112.8731
C1orf52	236.2107	C1orf52	314.3657
C1orf53	56.3081	C1orf53	6.9963
C1orf54	163.6122	C1orf54	67.6306
C1orf55	897.7424	C1orf55	561.5672
C1orf56	299.8884	C1orf56	82.0896
C1orf57	1281.2749	C1orf57	376.3993
C1orf58	470.9022	C1orf58	521.791
C1orf59	302.0806	C1orf59	207.0896
removed	removed	C1orf61	48.041
C1orf63	385.3032	C1orf63	644.5896
C1orf64	1189.5529	C1orf64	122.2015
C1orf66	946.9677	C1orf66	554.1045
C1orf69	262.417	C1orf69	338.6194
C1orf70	7.4369	C1orf70	18.6567
C1orf74	187.6937	C1orf74	80.6903
C1orf77	2302.2576	C1orf77	1418.3769
C1orf83	162.5498	C1orf83	251.8657
C1orf84	33.4591	C1orf84	16.2966
C1orf85	1852.8552	C1orf85	660.9142
C1orf86	333.2944	C1orf86	240.4897
C1orf88	231.961	C1orf88	176.7724
C1orf89	40.3718	C1orf89	66.6978
C1orf91	207.0792	C1orf91	174.7528
C1orf92	6.3745	removed	removed
C1orf93	956.8127	C1orf93	656.1987
C1orf95	27.2687	C1orf95	124.0672
C1orf96	486.9411	C1orf96	424.9067
C1orf97	232.3152	C1orf97	90.9515
C1orf9	3185.8344	C1orf9	1730.4104
C20orf103	386.3656	C20orf103	108.209
C20orf108	3128.4639	C20orf108	5708.9552
C20orf111	802.1248	C20orf111	770.056
C20orf112	1488.8004	C20orf112	945.4291
C20orf114	3693.6698	C20orf114	87.6866
C20orf117	336.432	C20orf117	797.1082
C20orf118	12.0938	C20orf118	21.0914
C20orf11	2285.6131	C20orf11	1941.2313
C20orf12	201.5051	C20orf12	200.0933
C20orf132	8.4993	C20orf132	39.6642
C20orf134	65.1616	C20orf134	24.7201
C20orf135	78.6189	C20orf135	45.2425
C20orf151	208.942	C20orf151	130.597
C20orf160	68.703	C20orf160	148.7873
removed	removed	C20orf165	9.7948
C20orf177	134.2258	C20orf177	440.7649
C20orf194	391.6777	C20orf194	944.9627
C20orf196	64.8074	C20orf196	57.8358
removed	removed	C20orf197	9.3284
C20orf199	2871.7131	C20orf199	1534.9813
C20orf202	7.7911	removed	removed
removed	removed	C20orf203	7.9291
C20orf20	396.9898	C20orf20	187.0336
C20orf24	2145.2572	C20orf24	577.6772
C20orf26	7.0828	C20orf26	6.9963
C20orf27	577.6007	C20orf27	569.9627
C20orf29	280.4781	C20orf29	169.3097
C20orf30	3404.3382	C20orf30	1981.3433
C20orf3	6683.3112	C20orf3	3988.3396
C20orf43	2381.2306	C20orf43	1746.7351
C20orf46	60.2036	C20orf46	25.1866
C20orf4	1566.3568	C20orf4	1132.4627
C20orf54	511.7309	C20orf54	61.5672
C20orf70	15.9363	removed	removed
C20orf72	732.7136	C20orf72	768.1903
C20orf7	216.0248	C20orf7	132.4627
C20orf85	105.1793	removed	removed
C20orf94	24.7897	C20orf94	56.903
C20orf96	518.8136	C20orf96	341.4179
C21orf119	83.5768	C21orf119	81.1567
C21orf122	45.6839	C21orf122	48.9739
removed	removed	C21orf125	5.1306
C21orf128	6.0204	removed	removed
C21orf15	111.5538	C21orf15	41.0448
C21orf29	5.3121	removed	removed
C21orf2	243.6476	C21orf2	394.1231
C21orf33	1862.7711	C21orf33	2180.9701
C21orf34	20.8942	C21orf34	203.3582
C21orf45	412.5719	C21orf45	147.8545
removed	removed	C21orf49	7.4627
C21orf56	176.3612	C21orf56	69.4963
C21orf57	73.6609	C21orf57	81.1567
C21orf58	151.2174	C21orf58	86.7537
C21orf59	1133.5989	C21orf59	539.1931
removed	removed	C21orf62	6.0634
C21orf63	182.7357	C21orf63	388.9925
C21orf67	59.1412	C21orf67	64.3657
C21orf70	84.9934	C21orf70	84.4216
C21orf7	139.1766	C21orf7	88.153
C21orf81	16.6445	removed	removed
C21orf82	10.9783	C21orf82	7.9291
C21orf88	37.1846	C21orf88	23.7873
C21orf91	301.7264	C21orf91	619.403
C22orf13	3831.6954	C22orf13	2343.8433
C22orf15	5.6662	C22orf15	6.5299
C22orf23	11.3324	C22orf23	104.944
C22orf25	661.1775	C22orf25	403.4515
C22orf26	8.4993	C22orf26	13.0597
C22orf27	204.6923	C22orf27	101.6791
C22orf28	991.5892	C22orf28	1549.4403
C22orf29	920.4108	C22orf29	916.8657
C22orf30	651.6158	C22orf30	1608.209
C22orf32	681.0093	C22orf32	760.2612
removed	removed	C22orf34	8.3955
C22orf36	235.5024	C22orf36	215.4851
C22orf39	432.0496	C22orf39	718.2836
C22orf40	151.5715	C22orf40	133.3955
C22orf41	7.4369	removed	removed
removed	removed	C22orf45	9.3284
C22orf46	216.3789	C22orf46	919.7761
C22orf9	2131.5626	C22orf9	1722.0149
C2CD2L	995.0173	C2CD2L	287.9431
C2CD2	1017.4413	C2CD2	1295.2425
C2CD3	626.4719	C2CD3	965.0187
C2CD4A	19.4776	C2CD4A	17.7239
C2CD4B	14.5197	removed	removed
C2CD4C	7.0828	C2CD4C	20.056
C2CD4D	14.5197	C2CD4D	12.1269
C2orf14	15.9363	C2orf14	6.9963
C2orf15	106.4506	C2orf15	120.3871
C2orf16	30.1018	C2orf16	64.3657
C2orf18	2022.842	C2orf18	956.6231
C2orf24	1129.3493	C2orf24	1308.3022
C2orf27A	101.992	C2orf27A	17.7239
C2orf28	2960.6977	C2orf28	1597.1968
C2orf29	1477.1138	C2orf29	613.806
C2orf34	183.7981	C2orf34	83.9552
removed	removed	C2orf39	5.1306
C2orf3	432.0496	C2orf3	492.5373
C2orf40	23.019	C2orf40	1154.8507
C2orf42	242.9394	C2orf42	237.8731
C2orf43	245.4183	C2orf43	315.2985
C2orf44	190.5268	C2orf44	292.9104
C2orf47	312.7047	C2orf47	281.25
C2orf49	182.7357	C2orf49	192.6306
C2orf50	26.9146	C2orf50	7.9291
removed	removed	C2orf52	8.3955
C2orf54	259.5839	C2orf54	29.3843
C2orf55	288.2691	C2orf55	236.9403
C2orf56	244.3559	C2orf56	246.7351
removed	removed	C2orf58	14.459
C2orf60	165.0288	C2orf60	284.0485
C2orf62	6.3745	removed	removed
C2orf63	59.4954	C2orf63	87.2201
C2orf64	544.3116	C2orf64	546.6418
C2orf65	75.4316	C2orf65	25.653
C2orf67	336.7614	C2orf67	602.6772
C2orf68	933.1563	C2orf68	1110.0746
C2orf69	390.6153	C2orf69	329.291
removed	removed	C2orf71	12.1269
C2orf72	90.6596	C2orf72	139.459
C2orf74	84.6392	C2orf74	260.2612
C2orf76	181.6733	C2orf76	63.8993
C2orf77	207.8796	C2orf77	87.6866
C2orf79	289.6857	C2orf79	162.3134
C2orf7	508.8977	C2orf7	230.8769
C2orf81	164.5542	C2orf81	93.8106
removed	removed	C2orf82	10.2612
C2orf84	5.3121	C2orf84	28.9179
C2orf86	67.9947	C2orf86	116.1381
C2orf88	30.456	C2orf88	277.5187
C2orf89	7.7911	C2orf89	25.1866
C2	1515.4458	C2	162.514
C3AR1	214.6082	C3AR1	131.9963
C3orf10	3680.5666	C3orf10	2379.6642
C3orf14	548.5613	C3orf14	335.8209
C3orf15	39.6636	C3orf15	173.5075
C3orf17	859.4954	C3orf17	992.0709
C3orf18	118.9907	C3orf18	255.1959
C3orf19	419.6547	C3orf19	605.4104
C3orf1	1106.3302	C3orf1	873.6007
C3orf21	506.0646	C3orf21	197.2948
C3orf23	659.0527	C3orf23	452.8918
C3orf26	417.1757	C3orf26	267.2575
C3orf31	213.9	C3orf31	180.9701
C3orf32	8.4993	C3orf32	13.5261
C3orf33	105.1793	C3orf33	71.8284
C3orf34	59.1412	C3orf34	74.6269
C3orf36	12.3949	removed	removed
C3orf37	938.8225	C3orf37	794.3097
C3orf38	536.5206	C3orf38	392.2575
C3orf39	438.0699	C3orf39	457.556
C3orf42	12.3949	C3orf42	20.5224
C3orf47	26.2063	C3orf47	60.1679
C3orf52	645.9495	C3orf52	159.0485
C3orf54	29.3935	C3orf54	60.1679
C3orf55	14.8738	C3orf55	73.694
C3orf57	264.1877	C3orf57	213.153
C3orf58	245.4183	C3orf58	815.7649
C3orf59	253.2094	C3orf59	253.2649
C3orf62	109.0748	C3orf62	158.5821
C3orf63	1713.2749	C3orf63	2399.2491
C3orf64	366.5339	C3orf64	1125
C3orf67	59.1412	C3orf67	6.0634
C3orf70	68.703	C3orf70	145.9888
C3orf71	32.5808	C3orf71	44.3097
removed	removed	C3orf72	63.4328
C3orf75	410.093	C3orf75	303.6381
C3	3433.0235	C3	6707.0896
C4A	49533.9779	C4A	11593.764
removed	removed	C4BPA	34.0485
C4BPB	37.5387	removed	removed
C4orf10	353.1368	C4orf10	389.0998
C4orf12	6.7286	C4orf12	74.1604
C4orf14	819.1235	C4orf14	757.4627
C4orf19	328.1664	C4orf19	155.4431
C4orf21	159.3625	C4orf21	109.1418
C4orf23	210.7127	C4orf23	366.1381
C4orf27	467.4635	C4orf27	273.3209
C4orf29	117.5741	C4orf29	135.2612
C4orf31	231.961	C4orf31	57.8358
C4orf32	956.8836	C4orf32	990.6716
C4orf33	404.7809	C4orf33	199.1604
C4orf34	1484.9048	C4orf34	1434.2351
C4orf36	6.0204	C4orf36	15.3918
C4orf38	12.3949	C4orf38	16.791
C4orf39	18.0611	C4orf39	41.0448
C4orf3	2084.4622	C4orf3	2918.8433
C4orf41	950.8632	C4orf41	1152.9851
C4orf42	570.5179	C4orf42	418.3769
C4orf43	316.9544	C4orf43	260.7276
C4orf46	237.6273	C4orf46	159.0485
C4orf47	12.3949	C4orf47	9.3284
C4orf48	35.4139	removed	removed
removed	removed	C4orf49	23.3209
C4orf52	253.2094	C4orf52	337.2201
removed	removed	C4orf7	10.2612
C5AR1	162.1957	C5AR1	33.1157
C5orf13	3168.1275	C5orf13	693.5634
C5orf15	2757.3263	C5orf15	1260.7276
C5orf20	12.0407	C5orf20	9.7948
C5orf22	786.8969	C5orf22	472.0149
C5orf23	33.6432	C5orf23	121.7351
C5orf24	1289.7742	C5orf24	1520.9888
C5orf25	198.3178	C5orf25	196.3619
removed	removed	C5orf27	24.7201
C5orf28	363.3466	C5orf28	225.2799
C5orf30	1214.6968	C5orf30	1120.3358
C5orf32	1359.1855	C5orf32	662.3134
C5orf33	1023.1076	C5orf33	795.709
C5orf34	67.9947	C5orf34	42.9104
C5orf35	141.6556	C5orf35	128.2649
C5orf36	99.8672	C5orf36	104.0112
C5orf38	48.8712	C5orf38	56.903
C5orf39	24.0815	C5orf39	45.709
C5orf41	257.1049	C5orf41	1404.3843
C5orf42	554.9358	C5orf42	957.556
C5orf43	2273.5724	C5orf43	994.8694
C5orf44	689.6184	C5orf44	430.4524
C5orf45	232.432	C5orf45	250.0886
C5orf46	80.0354	C5orf46	6.5299
C5orf49	135.2811	C5orf49	7.4627
C5orf4	675.3431	C5orf4	2152.5187
C5orf51	1195.2191	C5orf51	1157.6493
C5orf53	334.3072	C5orf53	515.8582
C5orf54	199.3803	C5orf54	213.6194
C5orf55	42.4967	C5orf55	53.6381
C5orf56	80.0992	C5orf56	95.7323
C5orf62	562.7269	C5orf62	899.7201
C5	206.1089	C5	232.7425
C6orf105	83.9309	C6orf105	101.6791
C6orf106	2235.3254	C6orf106	3154.8507
C6orf108	416.1133	C6orf108	159.9813
C6orf114	5.6662	C6orf114	7.9291
C6orf115	518.4595	C6orf115	219.2164
C6orf120	1056.3825	C6orf120	1049.6175
C6orf122	8.1452	C6orf122	13.2276
removed	removed	C6orf123	6.0634
C6orf124	11.3324	C6orf124	28.4515
C6orf125	1604.2638	C6orf125	391.25
C6orf126	10.6242	removed	removed
C6orf127	9.9159	removed	removed
C6orf129	506.7729	C6orf129	44.7761
C6orf130	543.575	C6orf130	428.097
C6orf132	304.5595	C6orf132	187.0336
C6orf134	372.9084	C6orf134	264.459
C6orf136	324.7455	C6orf136	152.0522
C6orf138	23.7273	C6orf138	13.5261
C6orf141	44.6215	C6orf141	44.3097
C6orf145	547.4989	C6orf145	486.0075
removed	removed	C6orf147	5.1306
C6orf150	53.8291	C6orf150	29.8507
C6orf153	1138.2027	C6orf153	416.5112
C6orf154	98.8048	C6orf154	24.7201
C6orf155	16.9987	C6orf155	128.7313
removed	removed	C6orf15	6.5299
C6orf162	51.7043	C6orf162	108.209
removed	removed	C6orf163	7.9291
C6orf164	7.0828	C6orf164	24.2537
C6orf165	71.9646	C6orf165	19.8554
C6orf167	174.9447	C6orf167	283.1157
C6orf168	100.5755	C6orf168	194.9627
C6orf170	47.4546	C6orf170	178.1716
C6orf174	24.5454	C6orf174	145.8815
C6orf182	179.5485	C6orf182	159.0485
removed	removed	C6orf186	6.9963
C6orf192	93.8468	C6orf192	311.1007
C6orf1	647.3661	C6orf1	184.7015
C6orf201	9.5759	C6orf201	32.6866
C6orf203	368.6587	C6orf203	201.4925
C6orf204	16.2904	C6orf204	75.5597
removed	removed	C6orf208	6.3619
C6orf211	1053.9177	C6orf211	1483.6754
C6orf217	6.7286	C6orf217	8.3955
C6orf222	8.4993	removed	removed
removed	removed	C6orf223	48.5075
C6orf225	231.961	C6orf225	182.8358
C6orf226	82.5144	C6orf226	44.7761
C6orf26	24.8853	C6orf26	23.3209
removed	removed	C6orf27	69.4963
C6orf35	299.9557	C6orf35	492.5373
removed	removed	C6orf41	12.5933
C6orf47	776.981	C6orf47	663.7127
C6orf48	3710.3143	C6orf48	1335.3545
C6orf52	18.7694	C6orf52	9.7948
C6orf57	65.8699	C6orf57	101.2127
C6orf59	6.0204	C6orf59	9.7948
C6orf62	5400.6835	C6orf62	3121.7584
C6orf64	1264.6304	C6orf64	587.6866
C6orf70	585.3918	C6orf70	382.9291
C6orf72	725.2767	C6orf72	777.0522
C6orf81	7.4369	removed	removed
C6orf89	2526.0735	C6orf89	3542.9104
C6orf97	284.0195	C6orf97	604.0112
C6	26.2063	C6	125
C7orf10	128.1983	C7orf10	50.3731
C7orf11	438.7782	C7orf11	220.1493
C7orf13	319.7875	C7orf13	189.8321
C7orf23	255.3378	C7orf23	235.0746
C7orf25	568.3683	C7orf25	293.1343
C7orf26	574.4135	C7orf26	428.1716
C7orf27	1115.892	C7orf27	804.1045
C7orf28A	1756.8836	C7orf28A	792.9104
C7orf28B	708.278	C7orf28B	250.9328
C7orf29	105.5334	C7orf29	131.9963
C7orf30	348.4728	C7orf30	237.4067
C7orf31	64.8074	C7orf31	119.8694
C7orf36	326.8703	C7orf36	167.9104
C7orf40	373.2625	C7orf40	221.5485
C7orf41	728.1098	C7orf41	3160.9142
C7orf42	3718.4595	C7orf42	2942.6306
C7orf43	628.5967	C7orf43	216.4179
C7orf44	740.8588	C7orf44	599.347
C7orf46	106.2417	C7orf46	115.6716
C7orf47	337.1403	C7orf47	114.2724
C7orf49	537.8132	C7orf49	507.1735
C7orf50	1298.9819	C7orf50	420.709
removed	removed	C7orf51	48.5075
C7orf53	24.4356	C7orf53	17.2575
C7orf55	173.8822	C7orf55	204.1231
C7orf57	11.3324	removed	removed
C7orf58	123.5945	C7orf58	978.0784
C7orf59	1037.9814	C7orf59	656.7164
C7orf60	247.5432	C7orf60	417.444
removed	removed	C7orf61	16.791
C7orf63	172.8198	C7orf63	196.3619
C7orf64	296.4143	C7orf64	362.4067
C7orf68	689.1545	C7orf68	325.5597
C7orf70	641.3457	C7orf70	385.2612
C7	178.4861	C7	557.8358
C8orf30A	1239.8406	C8orf30A	408.1157
removed	removed	C8orf31	6.9963
C8orf33	999.0261	C8orf33	1088.6194
C8orf34	5.6662	C8orf34	40.5784
C8orf37	54.8915	C8orf37	120.8022
C8orf38	279.7698	C8orf38	182.8358
removed	removed	C8orf39	12.5933
C8orf40	389.5529	C8orf40	510.7276
C8orf41	224.4887	C8orf41	239.445
C8orf42	155.8212	C8orf42	427.7052
C8orf44	34.8189	C8orf44	58.139
C8orf45	46.3922	C8orf45	45.2425
C8orf46	10.9783	C8orf46	37.3134
removed	removed	C8orf47	6.0634
C8orf48	34.7056	C8orf48	33.5821
C8orf4	784.772	C8orf4	2226.6791
C8orf51	61.6202	C8orf51	45.709
C8orf55	1320.5843	C8orf55	868.0037
C8orf58	190.5268	C8orf58	213.153
C8orf59	997.0075	C8orf59	347.3974
C8orf73	169.6326	C8orf73	74.1604
C8orf76	463.2138	C8orf76	226.32
C8orf77	7.4369	C8orf77	14.9254
C8orf79	35.4139	C8orf79	797.1082
removed	removed	C8orf80	6.5299
C8orf83	731.6512	C8orf83	602.1455
C8orf84	154.0505	C8orf84	906.25
C8orf85	121.1155	C8orf85	211.7537
C9orf100	131.6476	C9orf100	26.0728
C9orf102	64.2585	C9orf102	237.8405
C9orf103	121.8238	C9orf103	88.153
C9orf109	47.8088	C9orf109	16.3246
C9orf110	167.8619	C9orf110	106.8097
C9orf114	413.1952	C9orf114	539.0578
C9orf116	254.6259	C9orf116	36.847
C9orf117	37.5387	C9orf117	8.8619
C9orf119	468.88	C9orf119	263.9925
C9orf122	8.1452	C9orf122	38.7127
C9orf123	707.9239	C9orf123	587.2201
C9orf125	30.456	C9orf125	50.8396
C9orf128	8.8535	removed	removed
C9orf129	60.5188	C9orf129	86.7677
C9orf130	72.1487	C9orf130	262.4347
removed	removed	C9orf139	5.1306
C9orf140	248.9597	C9orf140	89.0858
C9orf142	381.4077	C9orf142	142.2575
C9orf150	547.1448	C9orf150	577.4254
C9orf152	737.3174	C9orf152	1075.0933
C9orf156	147.3218	C9orf156	270.056
C9orf163	17.7069	C9orf163	14.9254
C9orf167	88.5347	C9orf167	71.8284
C9orf169	74.9216	removed	removed
C9orf16	784.4179	C9orf16	363.806
removed	removed	C9orf170	5.597
C9orf171	7.0828	C9orf171	6.5299
C9orf172	9.2076	removed	removed
removed	removed	C9orf173	6.0634
C9orf21	177.4236	C9orf21	173.041
C9orf23	439.1324	C9orf23	365.2052
C9orf25	277.9991	C9orf25	396.4552
C9orf30	246.9093	C9orf30	154.93
C9orf37	129.969	C9orf37	109.1418
C9orf3	335.9681	C9orf3	395.2146
C9orf40	118.6366	C9orf40	98.8806
C9orf41	115.4493	C9orf41	224.8088
C9orf43	9.5618	C9orf43	8.3955
