gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
CSPP1	371.4608	CSPP1	328.5696
CSRNP1	222.3595	CSRNP1	786.7045
CSRNP2	902.7177	CSRNP2	992.1235
CSRNP3	6.1767	CSRNP3	55.7656
CSRP1	2412.2915	CSRP1	15679.2691
CSRP2BP	806.0531	CSRP2BP	733.4594
CSRP2	317.4799	CSRP2	439.8236
CST1	218.9623	removed	removed
CST3	3123.8419	CST3	4910.2079
CST4	8.0296	removed	removed
CST6	519.7653	CST6	22.0542
CST7	115.5034	CST7	105.8601
removed	removed	CST9	25.5198
CSTA	4470.3521	CSTA	139.5715
CSTB	11912.9092	CSTB	1756.1437
CSTF1	806.362	CSTF1	543.7933
CSTF2T	827.3626	CSTF2T	1155.9546
CSTF2	693.9469	CSTF2	264.0202
CSTF3	552.4521	CSTF3	510.0819
CS	3284.4348	CS	4083.8059
removed	removed	CT62	24.2596
CTAGE4	64.2372	CTAGE4	75.6144
CTAGE5	1059.0611	CTAGE5	723.431
CTAGE6	6.1767	CTAGE6	6.6163
CTAGE9	193.9469	CTAGE9	235.3497
CTBP1	2871.7881	CTBP1	2003.4814
CTBP2	940.0865	CTBP2	1595.7782
CTBS	531.4824	CTBS	424.6597
CTCFL	14.6757	CTCFL	15.7309
CTCF	1844.966	CTCF	1677.3787
CTDP1	626.3125	CTDP1	516.0681
CTDSP1	2322.1124	CTDSP1	2989.288
CTDSP2	4671.0933	CTDSP2	8322.3062
CTDSPL2	804.509	CTDSPL2	761.8147
CTDSPL	922.1742	CTDSPL	1691.8715
CTF1	16.0593	CTF1	204.1588
CTGF	1821.1859	CTGF	2957.1519
CTHRC1	2641.1365	CTHRC1	513.8626
CTH	18.2211	CTH	79.3951
CTLA4	201.3589	CTLA4	79.7101
CTNNA1	7390.3644	CTNNA1	9109.6408
CTNNAL1	72.5757	CTNNAL1	912.7284
CTNNB1	9712.1155	CTNNB1	13271.9156
CTNNBIP1	2176.6523	CTNNBIP1	887.8387
CTNNBL1	1069.4873	CTNNBL1	835.8538
CTNND1	74776.0964	CTNND1	10556.528
removed	removed	CTNND2	104.2848
CTNS	426.8808	CTNS	421.7517
CTPS2	197.9617	CTPS2	555.4505
CTPS	1561.7665	CTPS	361.3737
CTR9	902.1001	CTR9	1659.7353
CTRL	18.5979	CTRL	9.4518
CTSA	3426.362	CTSA	1930.2489
CTSB	38180.9759	CTSB	12545.0536
CTSC	16191.1674	CTSC	2266.2256
CTSD	32260.3459	CTSD	9070.2583
CTSF	352.6868	CTSF	2143.6673
removed	removed	CTSG	125.0788
CTSH	2996.6028	CTSH	1378.702
CTSK	1502.1618	CTSK	6019.5337
CTSL1	3178.5053	CTSL1	1771.2665
CTSL2	2186.2261	CTSL2	52.2999
CTSO	846.5102	CTSO	1818.2105
CTSS	4496.9117	CTSS	1917.1393
CTSW	163.0636	CTSW	153.7492
CTSZ	6738.1099	CTSZ	4441.3989
CTTNBP2NL	2025.9419	CTTNBP2NL	1033.7114
CTTNBP2	6.4855	CTTNBP2	224.0076
CTTN	10081.8406	CTTN	3899.811
CTU1	45.3984	CTU1	59.5463
CTU2	253.9994	CTU2	153.3522
CTXN1	34.2804	CTXN1	51.9849
CUBN	21.0006	CUBN	123.1884
CUEDC1	172.6374	CUEDC1	288.2798
CUEDC2	510.1915	CUEDC2	666.9817
CUL1	1517.2946	CUL1	1482.9899
CUL2	843.113	CUL2	767.1708
CUL3	2241.8159	CUL3	1917.1393
CUL4A	1252.9339	CUL4A	1893.8248
CUL4B	2194.5645	CUL4B	2348.4562
CUL5	910.4385	CUL5	1310.649
CUL7	697.5973	CUL7	1200.9452
CUL9	483.323	CUL9	870.8255
CUTA	1257.5664	CUTA	1449.2754
CUTC	175.7566	CUTC	288.5129
CUX1	525.3243	CUX1	974.4802
removed	removed	CUX2	41.2728
CUZD1	26.2539	CUZD1	30.1229
CWC15	748.9191	CWC15	665.7215
CWC22	735.6393	CWC22	746.3768
CWC25	490.4262	CWC25	502.2054
CWC27	474.3669	CWC27	445.1796
CWF19L1	546.6337	CWF19L1	486.7675
CWF19L2	411.6739	CWF19L2	544.1084
CWH43	877.3935	removed	removed
CX3CL1	1775.7875	CX3CL1	7887.2086
CX3CR1	54.0457	CX3CR1	715.1859
removed	removed	CXADRP3	12.6024
CXADR	1224.5213	CXADR	364.5243
CXCL10	3518.53	CXCL10	655.0095
CXCL11	332.3039	CXCL11	162.8859
CXCL12	1511.118	CXCL12	13417.4543
CXCL13	882.6436	CXCL13	46.9439
CXCL14	161.5195	CXCL14	7354.4423
CXCL16	2247.3749	CXCL16	1454.9464
CXCL17	24.7066	CXCL17	81.9156
CXCL1	1092.9586	CXCL1	66.4776
CXCL2	41.6924	CXCL2	686.2004
CXCL3	39.8394	CXCL3	46.9439
CXCL5	148.2397	CXCL5	43.7933
CXCL6	273.3169	CXCL6	11.0271
CXCL9	4294.9351	CXCL9	1153.4342
removed	removed	CXCR1	6.3012
CXCR2P1	145.1513	CXCR2P1	21.109
CXCR2	236.8746	CXCR2	26.465
CXCR3	84.6201	CXCR3	78.4499
CXCR4	1491.9704	CXCR4	1296.4713
CXCR5	28.7276	CXCR5	20.8223
CXCR6	250.7721	CXCR6	210.1449
CXCR7	168.3138	CXCR7	1211.0901
CXXC1	715.2563	CXXC1	737.2401
removed	removed	CXXC4	14.8078
CXXC5	587.3996	CXXC5	408.9477
CXorf21	117.9741	CXorf21	83.8059
CXorf23	76.8993	CXorf23	296.4713
CXorf26	286.5967	CXorf26	472.5898
CXorf36	151.6368	CXorf36	2063.327
CXorf38	185.6084	CXorf38	252.3629
CXorf40A	542.3101	CXorf40A	335.2237
CXorf40B	659.0488	CXorf40B	377.1267
CXorf42	16.677	CXorf42	27.0951
CXorf49B	11.7356	removed	removed
removed	removed	CXorf50B	7.8765
CXorf56	421.8653	CXorf56	274.4171
CXorf57	236.5658	CXorf57	66.7927
CXorf61	6.4855	removed	removed
CYB561D1	367.8196	CYB561D1	575.2993
CYB561D2	252.0074	CYB561D2	242.1046
CYB561	2240.8894	CYB561	1986.7675
CYB5A	774.2434	CYB5A	1246.6919
CYB5B	1104.0766	CYB5B	1442.9742
CYB5D1	266.8314	CYB5D1	764.0202
CYB5D2	191.7851	CYB5D2	517.0132
CYB5R1	2407.3502	CYB5R1	1131.38
CYB5R2	845.5837	CYB5R2	252.0479
CYB5R3	4113.0327	CYB5R3	5328.6074
CYB5R4	325.5096	CYB5R4	250.4726
CYB5RL	182.2112	CYB5RL	125.0788
CYBASC3	899.6294	CYBASC3	1017.3283
CYBA	1766.2137	CYBA	748.2672
CYBB	4252.0074	CYBB	1824.1966
CYBRD1	542.3101	CYBRD1	10558.9162
CYC1	2471.2786	CYC1	915.564
CYCS	2979.3082	CYCS	1458.097
CYFIP1	4049.7221	CYFIP1	3788.9099
CYFIP2	352.0692	CYFIP2	535.9168
CYGB	120.1359	CYGB	693.4468
CYHR1	1037.0599	CYHR1	533.7114
CYLD	2268.3755	CYLD	1770.9515
removed	removed	CYP11A1	57.656
CYP19A1	12.6621	CYP19A1	10.0819
removed	removed	CYP1A1	74.9842
CYP1B1	1667.3873	CYP1B1	4063.327
CYP20A1	471.8962	CYP20A1	789.54
CYP21A2	5.9728	CYP21A2	267.6213
CYP24A1	127.5479	CYP24A1	22.0542
removed	removed	CYP26A1	9.7669
CYP26B1	215.874	CYP26B1	285.1292
CYP27A1	1418.1594	CYP27A1	1051.6698
CYP27B1	139.2835	CYP27B1	25.2048
CYP27C1	224.8301	CYP27C1	19.2187
removed	removed	CYP2A6	118.4625
removed	removed	CYP2B7P1	67.7379
removed	removed	CYP2C8	9.1367
CYP2D6	46.0161	CYP2D6	9.1367
CYP2D7P1	61.1489	CYP2D7P1	15.1229
CYP2E1	98.8264	CYP2E1	32.6497
CYP2J2	53.428	CYP2J2	246.3768
CYP2R1	260.3459	CYP2R1	252.3629
CYP2S1	104.0766	CYP2S1	59.5463
CYP2U1	62.693	CYP2U1	659.4171
CYP39A1	152.8721	CYP39A1	202.2684
removed	removed	CYP3A5	7.2464
CYP3A7	5.559	removed	removed
removed	removed	CYP46A1	38.1222
CYP4B1	60.5312	CYP4B1	229.3636
CYP4F11	200.4324	CYP4F11	71.2035
CYP4F12	33.0451	CYP4F12	58.2861
CYP4F22	68.5608	CYP4F22	270.9515
CYP4F3	97.5911	removed	removed
CYP4F8	22.8536	CYP4F8	143.6673
CYP4V2	417.5417	CYP4V2	779.7732
CYP4X1	1487.029	CYP4X1	1180.8444
CYP4Z1	158.4311	CYP4Z1	1004.4108
CYP4Z2P	463.5578	CYP4Z2P	171.3926
CYP51A1	1506.4855	CYP51A1	950.5356
CYP7B1	578.1347	CYP7B1	318.2105
CYP8B1	5.8678	CYP8B1	19.2187
CYR61	521.6183	CYR61	1900.7561
CYS1	15.4416	CYS1	165.4064
CYSLTR1	39.8394	CYSLTR1	116.8872
CYSLTR2	19.7653	CYSLTR2	34.9716
CYTH1	1036.4422	CYTH1	1140.5167
CYTH2	904.2619	CYTH2	1319.1556
CYTH3	411.365	CYTH3	1308.4436
CYTH4	639.9012	CYTH4	431.317
CYTIP	358.8635	CYTIP	240.3907
CYTL1	7.412	CYTL1	92.9427
CYTSA	1234.7128	CYTSA	2155.0095
CYTSB	273.6257	CYTSB	331.1279
CYYR1	155.6516	CYYR1	1603.6547
D2HGDH	570.4138	D2HGDH	346.2508
D4S234E	292.4645	D4S234E	404.5369
DAAM1	1773.008	DAAM1	914.6188
DAAM2	84.9691	DAAM2	1146.6383
removed	removed	DAB1	5.9861
DAB2IP	1117.0476	DAB2IP	2909.8929
DAB2	1021.9271	DAB2	3711.0901
DACH1	40.4571	DACH1	448.6452
removed	removed	DACH2	5.6711
DACT1	121.9889	DACT1	310.649
DACT2	19.4565	DACT2	83.8059
DACT3	36.1334	DACT3	86.6415
DAD1	2112.1062	DAD1	1835.8538
DAG1	3580.2965	DAG1	4138.3113
DAGLA	34.8981	DAGLA	247.0069
DAGLB	579.6788	DAGLB	371.7706
DAK	357.6282	DAK	676.1185
DALRD3	399.8703	DALRD3	528.2861
DAP3	3092.341	DAP3	1685.2552
DAPK1	1141.7542	DAPK1	720.2268
DAPK2	299.2588	DAPK2	408.0025
DAPK3	513.2798	DAPK3	656.8998
removed	removed	DAPL1	15.753
DAPP1	658.1223	DAPP1	355.3875
DAP	2296.4793	DAP	2798.3617
DARC	92.341	DARC	2243.5413
DARS2	1173.5639	DARS2	454.9464
DARS	2213.0945	DARS	1889.729
DAXX	1134.0334	DAXX	1260.8696
DAZAP1	1877.0846	DAZAP1	1044.7385
DAZAP2	4793.6998	DAZAP2	6360.1134
DBC1	104.0766	DBC1	285.1292
DBF4B	179.7406	DBF4B	143.6673
DBF4	441.6306	DBF4	147.7631
DBH	8.9561	DBH	7.8765
DBI	3587.3996	DBI	2319.7858
DBN1	611.4886	DBN1	1252.9931
DBNDD1	570.105	DBNDD1	249.5274
DBNDD2	270.1297	DBNDD2	695.9546
DBNL	2972.5139	DBNL	1695.3371
DBP	309.0982	DBP	175.4883
DBR1	388.8203	DBR1	401.7013
DBT	1038.9129	DBT	960.3025
removed	removed	DBX2	22.6843
DCAF10	820.8771	DCAF10	1297.1014
DCAF11	1816.4515	DCAF11	2030.5419
DCAF12	1195.7999	DCAF12	1370.5104
DCAF13	1850.3521	DCAF13	603.6704
DCAF15	691.7851	DCAF15	335.2237
DCAF16	735.0216	DCAF16	1106.8053
DCAF17	484.8672	DCAF17	581.6005
DCAF4L1	20.383	DCAF4L1	14.1777
DCAF4	357.3193	DCAF4	404.2218
DCAF5	1871.5256	DCAF5	2051.9849
DCAF6	2076.2817	DCAF6	1824.1966
DCAF7	2753.5516	DCAF7	2859.7984
DCAF8	2492.2236	DCAF8	2767.656
DCAKD	391.9086	DCAKD	778.828
DCBLD1	1006.8345	DCBLD1	242.9112
DCBLD2	311.3033	DCBLD2	1207.9395
removed	removed	DCC	5.356
removed	removed	DCDC2	526.6383
removed	removed	DCD	152.489
DCHS1	231.9333	DCHS1	1727.4732
DCHS2	96.3558	DCHS2	166.9817
DCI	799.8765	DCI	472.9049
DCK	509.5738	DCK	437.6181
DCLK1	37.0599	DCLK1	1654.6944
DCLK2	18.2211	DCLK2	125.3938
removed	removed	DCLK3	11.0271
DCLRE1A	467.5726	DCLRE1A	309.0737
DCLRE1B	551.8839	DCLRE1B	247.9521
DCLRE1C	635.2687	DCLRE1C	333.3333
DCN	3415.6887	DCN	47895.7152
DCP1A	573.5022	DCP1A	1013.8626
DCP1B	346.5102	DCP1B	389.0989
DCP2	913.8357	DCP2	1450.8507
DCPS	617.0476	DCPS	269.0611
DCST2	40.4571	DCST2	28.3554
DCTD	1012.3533	DCTD	1534.3415
DCTN1	4722.1186	DCTN1	3380.7215
DCTN2	2074.4287	DCTN2	2370.5104
DCTN3	359.1723	DCTN3	686.2004
DCTN4	1733.4775	DCTN4	2004.0958
DCTN5	1458.9253	DCTN5	1285.1292
DCTN6	315.6269	DCTN6	505.356
DCTPP1	1041.3805	DCTPP1	510.0819
removed	removed	DCT	6.9313
DCUN1D1	638.357	DCUN1D1	595.1481
DCUN1D2	132.4892	DCUN1D2	242.281
DCUN1D3	177.2699	DCUN1D3	325.4568
DCUN1D4	747.3749	DCUN1D4	1066.7927
DCUN1D5	501.5442	DCUN1D5	275.3623
DCXR	835.0834	DCXR	555.1355
DCX	61.7665	DCX	42.8481
DDA1	487.029	DDA1	536.5469
DDAH1	107.4737	DDAH1	959.0422
DDAH2	444.1013	DDAH2	1651.8589
DDB1	3353.6133	DDB1	5487.0825
DDB2	242.1248	DDB2	645.8727
DDHD1	316.2446	DDHD1	566.1626
DDHD2	458.9253	DDHD2	1384.373
DDI2	220.9481	DDI2	187.4449
DDIT3	273.9561	DDIT3	196.8463
DDIT4L	16.3681	DDIT4L	95.7782
DDIT4	6668.0049	DDIT4	4021.109
DDN	8.6473	removed	removed
DDOST	7135.5775	DDOST	3597.9836
DDO	18.2211	DDO	82.8607
DDR1	8396.8499	DDR1	4929.7417
DDR2	63.9284	DDR2	1345.9357
DDRGK1	1447.8073	DDRGK1	787.9647
DDTL	324.6047	DDTL	264.3258
DDT	988.2705	DDT	393.5948
DDX10	460.1606	DDX10	584.436
DDX11L2	6.1767	removed	removed
DDX11	725.139	DDX11	153.1191
DDX12	158.1223	DDX12	71.8336
DDX17	8645.4602	DDX17	15272.2117
DDX18	2177.2699	DDX18	1834.2785
DDX19A	1329.3638	DDX19A	1038.7524
DDX19B	614.2742	DDX19B	668.1884
DDX1	3063.3107	DDX1	2127.5992
DDX20	819.0241	DDX20	511.9723
DDX21	2349.9074	DDX21	1912.4134
DDX23	2578.4435	DDX23	2437.6181
DDX24	3176.0346	DDX24	3668.557
DDX26B	477.4552	DDX26B	422.1802
DDX27	1566.7078	DDX27	1007.2464
DDX28	435.1452	DDX28	246.3768
DDX31	362.8783	DDX31	325.1418
DDX39	1557.4429	DDX39	421.235
DDX3X	9248.3014	DDX3X	9827.6623
DDX41	1496.294	DDX41	902.3314
DDX42	2760.0371	DDX42	3682.4197
DDX43	28.882	DDX43	9.3037
DDX46	1613.6504	DDX46	1587.5866
DDX47	981.5318	DDX47	1013.5476
DDX49	821.8036	DDX49	570.2583
DDX50	736.8746	DDX50	1033.0813
DDX51	433.601	DDX51	533.7114
DDX52	585.2378	DDX52	580.0252
DDX54	1215.2316	DDX54	1276.0901
DDX55	619.8271	DDX55	495.2741
DDX56	1846.2014	DDX56	1067.7379
DDX58	1024.0889	DDX58	1154.0643
DDX59	336.3187	DDX59	405.167
DDX5	10756.0222	DDX5	12460.3025
DDX60L	812.8474	DDX60L	854.4423
DDX60	2472.5139	DDX60	1383.1128
DDX6	4372.1433	DDX6	4994.644
DEAF1	396.5411	DEAF1	510.0819
DECR1	1472.2051	DECR1	1235.6648
DECR2	239.3453	DECR2	271.8967
DEDD2	398.7029	DEDD2	399.811
DEDD	1745.559	DEDD	723.6452
DEF6	663.0636	DEF6	360.7435
DEF8	839.0982	DEF8	866.0996
removed	removed	DEFB132	62.3819
DEFB1	5.8678	DEFB1	38.7524
DEFB4A	35.5158	removed	removed
DEGS1	4947.4985	DEGS1	1824.1966
DEGS2	185.2996	DEGS2	256.1437
DEK	3214.6387	DEK	2960.9326
DEM1	202.903	DEM1	184.31
DENND1A	848.0544	DENND1A	594.2029
DENND1B	301.7295	DENND1B	173.2829
DENND1C	316.2446	DENND1C	195.3371
DENND2A	7.1032	DENND2A	295.8412
DENND2C	377.8135	DENND2C	88.3428
DENND2D	832.3039	DENND2D	737.8702
DENND3	732.551	DENND3	534.0265
DENND4A	725.9543	DENND4A	847.0164
DENND4B	1328.5238	DENND4B	898.1632
DENND4C	694.8734	DENND4C	2149.0233
DENND5A	530.8833	DENND5A	2393.5098
DENND5B	63.3107	DENND5B	454.3163
DENR	1479.9259	DENR	1320.7309
DEPDC1B	249.2279	DEPDC1B	17.0132
DEPDC1	780.7288	DEPDC1	34.6566
DEPDC4	5.2502	DEPDC4	10.712
DEPDC5	360.7165	DEPDC5	291.1153
DEPDC6	879.2464	DEPDC6	983.6169
DEPDC7	11.118	DEPDC7	14.4928
DERA	631.2539	DERA	413.9887
DERL1	2586.782	DERL1	1841.8399
DERL2	467.2637	DERL2	484.5621
DERL3	663.3725	DERL3	264.9653
removed	removed	DES	28.6704
DET1	152.5633	DET1	183.995
DEXI	480.5435	DEXI	626.339
DFFA	985.4849	DFFA	524.2596
DFFB	109.6356	DFFB	112.7914
DFNA5	112.4151	DFNA5	247.6371
DFNB31	324.2742	DFNB31	261.4997
DFNB59	29.3391	DFNB59	63.9572
DGAT1	897.449	DGAT1	688.1159
DGAT2	2471.2786	DGAT2	5660.9956
DGCR11	26.2508	DGCR11	20.794
DGCR14	305.1266	DGCR14	358.5381
DGCR2	2643.2983	DGCR2	3022.6843
DGCR5	14.2063	DGCR5	27.7253
DGCR6L	365.9666	DGCR6L	448.6452
DGCR6	218.9623	DGCR6	280.7183
DGCR8	804.509	DGCR8	973.2199
removed	removed	DGCR9	8.1916
DGKA	996.6028	DGKA	578.1348
removed	removed	DGKB	6.6163
DGKD	242.4336	DGKD	790.4852
DGKE	186.8437	DGKE	309.7038
DGKG	19.1476	DGKG	24.8897
DGKH	22.8536	DGKH	101.1342
removed	removed	DGKI	14.8078
DGKQ	441.6306	DGKQ	316.005
DGKZ	549.1044	DGKZ	754.2533
DGUOK	809.4503	DGUOK	501.2602
DHCR24	17969.4256	DHCR24	7603.3396
DHCR7	3285.3613	DHCR7	551.3548
DHDDS	1232.8598	DHDDS	1187.4606
DHDH	10.1915	DHDH	7.5614
removed	removed	DHDPSL	32.3693
DHFRL1	310.3768	DHFRL1	348.4562
DHFR	480.4602	DHFR	293.7114
removed	removed	DHH	12.2873
DHODH	128.4744	DHODH	130.7498
DHPS	580.5003	DHPS	648.0781
DHRS11	155.6516	DHRS11	218.3365
DHRS12	76.5905	DHRS12	269.0611
DHRS13	252.9432	DHRS13	128.1853
DHRS1	847.4367	DHRS1	515.4379
DHRS2	17.6035	DHRS2	47.8891
DHRS3	4231.0068	DHRS3	1645.2426
DHRS4L1	12.0445	DHRS4L1	12.6024
DHRS4L2	260.8863	DHRS4L2	316.5911
DHRS4	490.4107	DHRS4	716.8526
DHRS7B	401.7912	DHRS7B	484.8771
DHRS7	747.3749	DHRS7	1058.9162
DHRS9	53.428	DHRS9	58.9162
DHRSX	182.2112	DHRSX	236.1878
DHTKD1	1175.1081	DHTKD1	718.6515
DHX15	4301.7295	DHX15	2599.2439
DHX16	922.7918	DHX16	801.5123
DHX29	1009.8826	DHX29	1071.2035
DHX30	1030.2656	DHX30	1380.5923
DHX32	999.2125	DHX32	818.3837
DHX33	285.6702	DHX33	462.1928
DHX34	542.6189	DHX34	326.087
DHX35	266.2137	DHX35	276.3075
DHX36	1460.1606	DHX36	992.7536
DHX37	359.1723	DHX37	432.5772
DHX38	1583.3848	DHX38	1382.4827
DHX40	1040.7659	DHX40	1609.6408
DHX57	1054.6634	DHX57	642.4071
DHX58	603.7678	DHX58	470.0693
DHX8	1352.9957	DHX8	1308.7587
DHX9	5564.8548	DHX9	4271.2665
DIABLO	914.4657	DIABLO	637.6528
DIAPH1	3644.8425	DIAPH1	3125.3938
DIAPH2	512.971	DIAPH2	356.9628
DIAPH3	126.6214	DIAPH3	33.7114
DICER1	2587.3996	DICER1	2896.0302
DIDO1	1579.0611	DIDO1	2330.1827
DIMT1L	307.2884	DIMT1L	563.6421
removed	removed	DIO1	13.5476
DIO2	323.6566	DIO2	259.9244
removed	removed	DIO3OS	6.3012
DIO3	8.3385	DIO3	24.5747
DIP2A	504.9413	DIP2A	875.5514
DIP2B	2028.7214	DIP2B	1868.9351
DIP2C	481.47	DIP2C	1212.3503
DIRAS1	8.6473	DIRAS1	135.4757
removed	removed	DIRAS2	44.7385
DIRAS3	21.0006	DIRAS3	120.983
DIRC2	730.386	DIRC2	295.0473
removed	removed	DIRC3	15.4379
DIS3L2	493.5145	DIS3L2	424.0706
DIS3L	727.3008	DIS3L	770.3214
DIS3	714.0828	DIS3	1189.3919
DISC1	82.1495	DISC1	260.5514
DISP1	155.6516	DISP1	286.7045
DISP2	48.1779	DISP2	18.2735
DIXDC1	200.1235	DIXDC1	1880.5923
DKC1	3650.4015	DKC1	1155.9546
DKFZP586I1420	338.1717	DKFZP586I1420	319.1556
DKFZP686I15217	46.9426	DKFZP686I15217	66.1626
DKFZp434L192	26.2508	removed	removed
removed	removed	DKFZp566F0947	7.2464
DKFZp686O24166	5.8678	DKFZp686O24166	43.4783
DKFZp761E198	415.3799	DKFZp761E198	418.7146
removed	removed	DKFZp779M0652	5.9861
DKK1	211.5503	DKK1	15.1229
DKK2	102.5324	DKK2	151.8589
DKK3	250.1544	DKK3	3987.0825
DKK4	14.2063	removed	removed
removed	removed	DKKL1	5.9861
DLAT	1061.1489	DLAT	890.0441
DLC1	197.344	DLC1	1915.564
DLD	1728.2273	DLD	1719.5967
removed	removed	DLEC1	28.6704
DLEU1	88.777	DLEU1	61.1216
DLEU2L	9.5738	DLEU2L	9.4518
DLEU2	88.9654	DLEU2	16.6068
DLEU7	8.3385	removed	removed
DLG1	1313.4651	DLG1	1559.5463
DLG2	5.8678	DLG2	129.4896
DLG3	1322.4212	DLG3	982.0416
DLG4	74.4287	DLG4	338.1096
DLG5	1947.1896	DLG5	2799.3069
removed	removed	DLGAP1	22.9994
removed	removed	DLGAP2	11.3422
DLGAP4	1745.5219	DLGAP4	1720.2268
DLGAP5	826.4361	DLGAP5	41.903
removed	removed	DLK1	22.9994
removed	removed	DLK2	98.9288
DLL1	67.3255	DLL1	278.1979
DLL4	127.8567	DLL4	390.3592
DLST	2605.3119	DLST	2310.649
removed	removed	DLX1	6.6163
removed	removed	DLX2	25.2048
DLX3	33.3539	DLX3	34.0265
DLX5	209.3885	DLX5	16.0681
DLX6AS	9.265	removed	removed
DLX6	12.3533	removed	removed
DMAP1	630.0185	DMAP1	550.0945
removed	removed	DMBT1	26.465
DMBX1	30.8833	removed	removed
DMC1	32.4274	DMC1	8.5066
DMD	195.7999	DMD	2800.8822
removed	removed	DMGDH	123.5035
DMKN	3411.9827	DMKN	348.4562
DMPK	157.8135	DMPK	585.3812
removed	removed	DMRT2	77.1897
removed	removed	DMRT3	39.0674
removed	removed	DMRTA1	28.0403
removed	removed	DMRTC1B	16.0681
DMTF1	1098.1779	DMTF1	1271.5753
DMWD	287.2143	DMWD	394.77
DMXL1	709.3885	DMXL1	1445.1796
DMXL2	1051.575	DMXL2	673.913
DNA2	187.4614	DNA2	48.8343
removed	removed	DNAH10	14.1777
DNAH11	63.6658	DNAH11	11.5816
removed	removed	DNAH12	5.6711
DNAH14	61.7665	DNAH14	58.6011
DNAH17	1865.1328	DNAH17	51.6352
DNAH1	77.8258	DNAH1	400.4411
removed	removed	DNAH2	61.4367
DNAH3	32.1186	removed	removed
removed	removed	DNAH5	195.6522
removed	removed	DNAH6	45.6837
DNAH7	5.8678	DNAH7	93.5728
removed	removed	DNAH9	27.4102
removed	removed	DNAI1	6.3012
DNAJA1	2469.4256	DNAJA1	3019.5337
DNAJA2	1929.5862	DNAJA2	1794.581
DNAJA3	1586.782	DNAJA3	850.0315
DNAJA4	1542.3101	DNAJA4	766.8557
DNAJB11	1594.8116	DNAJB11	950.8507
DNAJB12	1161.5195	DNAJB12	1289.225
DNAJB14	277.6405	DNAJB14	502.8355
DNAJB1	8086.782	DNAJB1	3246.3768
DNAJB2	2518.2211	DNAJB2	1857.908
DNAJB4	257.5664	DNAJB4	767.8009
DNAJB5	115.1946	DNAJB5	198.4877
DNAJB6	3775.1699	DNAJB6	1776.6226
DNAJB9	695.1822	DNAJB9	910.2079
DNAJC10	2026.5596	DNAJC10	2942.029
DNAJC11	1630.1606	DNAJC11	886.903
DNAJC12	28.1038	DNAJC12	155.9546
DNAJC13	1736.2569	DNAJC13	1841.2098
DNAJC14	832.3193	DNAJC14	1165.0095
DNAJC15	133.4157	DNAJC15	548.8343
DNAJC16	1063.6195	DNAJC16	843.4152
DNAJC17	272.3904	DNAJC17	231.2035
DNAJC18	46.3249	DNAJC18	256.7738
DNAJC19	242.4336	DNAJC19	334.5936
DNAJC1	331.3774	DNAJC1	558.2861
DNAJC21	739.3453	DNAJC21	1198.1727
removed	removed	DNAJC22	48.8343
DNAJC24	196.2137	DNAJC24	385.4631
DNAJC25	172.6374	DNAJC25	237.8702
DNAJC27	128.4744	DNAJC27	270.9515
DNAJC28	28.4126	DNAJC28	39.3825
DNAJC2	964.5429	DNAJC2	549.1336
DNAJC30	425.8802	DNAJC30	281.3485
DNAJC3	1839.7159	DNAJC3	2740.7057
DNAJC4	360.874	DNAJC4	505.5293
DNAJC5B	54.0457	DNAJC5B	6.6163
DNAJC5	3136.8128	DNAJC5	2053.2451
DNAJC6	204.1384	DNAJC6	78.9603
DNAJC7	1942.6189	DNAJC7	1295.564
DNAJC8	2051.8839	DNAJC8	1801.1972
DNAJC9	980.2347	DNAJC9	533.0813
DNAL1	299.5676	DNAL1	500.6301
DNAL4	410.1297	DNAL4	409.8929
DNALI1	9.5738	DNALI1	450.5356
DNASE1L1	689.3051	DNASE1L1	346.4461
DNASE1L2	10.1915	removed	removed
DNASE1L3	17.9123	DNASE1L3	138.9414
DNASE1	83.6936	DNASE1	70.5734
DNASE2	1435.1452	DNASE2	996.2193
DND1	48.0019	DND1	55.4505
DNER	173.5639	DNER	10.0819
DNHD1	176.6523	DNHD1	272.5268
DNLZ	75.3552	DNLZ	59.2313
DNM1L	1096.3558	DNM1L	1647.133
DNM1P35	27.1773	DNM1P35	24.8897
DNM1	589.5615	DNM1	432.5772
DNM2	2858.4002	DNM2	1976.7076
DNM3	25.9419	DNM3	101.4493
DNMBP	335.6516	DNMBP	934.1588
DNMT1	2465.4107	DNMT1	1321.046
DNMT3A	791.2292	DNMT3A	493.3837
DNMT3B	284.4348	DNMT3B	78.765
DNPEP	1342.1865	DNPEP	1106.8053
DNTTIP1	482.3965	DNTTIP1	373.9761
DNTTIP2	2433.2922	DNTTIP2	1218.0214
removed	removed	DOC2A	21.799
DOC2B	30.8833	DOC2B	105.23
DOCK10	507.1032	DOCK10	798.0466
DOCK11	286.9055	DOCK11	1386.2634
DOCK1	1095.1204	DOCK1	3218.0214
DOCK2	717.1093	DOCK2	564.9023
DOCK3	16.3681	DOCK3	20.1638
DOCK4	329.8332	DOCK4	832.3882
DOCK5	96.6646	DOCK5	484.247
DOCK6	523.1624	DOCK6	909.5117
DOCK7	761.8901	DOCK7	1271.2665
DOCK8	836.3187	DOCK8	1398.201
DOCK9	1172.6374	DOCK9	2966.6037
