gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
ACOT11	409.512	ACOT11	61.0113
ACOT13	594.3298	ACOT13	490.2993
ACOT1	187.4614	ACOT1	772.2117
ACOT2	134.3422	ACOT2	470.6994
ACOT4	61.7665	ACOT4	88.2168
ACOT7	1056.5164	ACOT7	238.5003
ACOT8	282.1526	ACOT8	213.2105
ACOT9	260.9636	ACOT9	483.6169
ACOX1	1693.1532	ACOX1	2455.293
ACOX2	6.7943	ACOX2	266.8557
ACOX3	1226.3743	ACOX3	634.2155
ACP1	1548.1779	ACP1	1086.9565
ACP2	1650.4015	ACP2	864.8393
ACP5	2634.3422	ACP5	642.7221
ACP6	690.5497	ACP6	310.0189
ACPL2	411.9827	ACPL2	435.0977
ACPP	253.5516	ACPP	29.3006
ACRBP	52.8104	ACRBP	25.5198
ACRC	25.0154	ACRC	34.3415
removed	removed	ACSBG1	12.6024
ACSF2	364.1137	ACSF2	784.184
ACSF3	386.3496	ACSF3	310.649
ACSL1	7064.546	ACSL1	8758.9792
ACSL3	2910.7474	ACSL3	2996.2193
ACSL4	875.5405	ACSL4	2393.5098
ACSL5	569.1785	ACSL5	1203.2136
ACSL6	9.8826	ACSL6	15.1229
removed	removed	ACSM1	9.7669
ACSM3	18.811	ACSM3	145.3151
ACSM5	7.7208	ACSM5	144.2974
ACSS1	363.1872	ACSS1	842.4701
ACSS2	543.8542	ACSS2	1518.9036
ACSS3	9.5738	ACSS3	466.2886
removed	removed	ACTA1	5.6711
ACTA2	1381.8406	ACTA2	26331.1468
removed	removed	ACTBL2	6.3012
ACTB	102235.9481	ACTB	71587.9017
removed	removed	ACTC1	5.041
ACTG1	59876.7758	ACTG1	43550.4096
ACTG2	19.1476	ACTG2	6329.8677
ACTL6A	3061.1489	ACTL6A	717.3913
ACTL8	40.1482	removed	removed
ACTN1	7408.8944	ACTN1	9703.5287
ACTN4	8971.1427	ACTN4	10614.6723
ACTR10	1204.4472	ACTR10	954.0013
ACTR1A	2283.1995	ACTR1A	2457.4669
ACTR1B	985.7937	ACTR1B	1363.8941
ACTR2	7157.8135	ACTR2	5822.9364
ACTR3B	119.8271	ACTR3B	170.7624
ACTR3C	56.8252	ACTR3C	34.0265
ACTR3	5347.1279	ACTR3	3547.259
ACTR5	284.4348	ACTR5	182.4197
ACTR6	664.6078	ACTR6	511.0271
ACTR8	306.0531	ACTR8	534.3415
ACVR1B	1835.7011	ACVR1B	1089.1619
ACVR1C	428.6597	ACVR1C	725.5829
ACVR1	1740.8894	ACVR1	1152.1739
ACVR2A	793.391	ACVR2A	777.2527
ACVR2B	202.2854	ACVR2B	579.3951
ACVRL1	284.4348	ACVRL1	1010.397
ACY1	280.1112	ACY1	441.0838
ACY3	21.6183	ACY3	11.3422
ACYP1	185.6084	ACYP1	67.4228
ACYP2	123.8419	ACYP2	160.9956
ADAD2	5.3768	removed	removed
ADAL	235.9481	ADAL	170.1323
ADAM10	2458.9253	ADAM10	2128.2294
removed	removed	ADAM11	9.7669
ADAM12	796.7881	ADAM12	1034.9716
ADAM15	12375.0649	ADAM15	2636.8084
ADAM17	2270.5374	ADAM17	886.8935
ADAM19	966.9549	ADAM19	372.7158
removed	removed	ADAM21P1	5.041
removed	removed	ADAM21	5.9861
ADAM22	12.0445	ADAM22	101.4493
ADAM23	35.2069	ADAM23	35.6018
ADAM28	239.3453	ADAM28	164.4612
removed	removed	ADAM29	6.6163
removed	removed	ADAM32	30.5608
ADAM33	20.6918	ADAM33	929.0044
ADAM6	90696.8283	ADAM6	43174.8708
ADAM8	707.8443	ADAM8	166.3516
ADAM9	1885.7319	ADAM9	2139.2565
ADAMDEC1	1027.7949	ADAMDEC1	64.5873
ADAMTS10	36.7511	ADAMTS10	244.1714
ADAMTS12	68.252	ADAMTS12	193.7618
ADAMTS13	53.428	ADAMTS13	77.5047
ADAMTS14	46.3249	ADAMTS14	19.8488
ADAMTS15	47.8691	ADAMTS15	266.8557
ADAMTS16	5.559	ADAMTS16	392.5646
ADAMTS17	72.5757	ADAMTS17	29.3006
ADAMTS18	12.0445	ADAMTS18	189.666
ADAMTS1	440.3953	ADAMTS1	1879.9622
ADAMTS20	18.8388	removed	removed
ADAMTS2	227.9185	ADAMTS2	703.8437
ADAMTS3	21.9271	ADAMTS3	117.8324
ADAMTS4	374.9228	ADAMTS4	153.7492
ADAMTS5	155.9605	ADAMTS5	2412.0983
ADAMTS6	20.6918	ADAMTS6	49.7795
ADAMTS7	82.7671	ADAMTS7	86.0113
removed	removed	ADAMTS8	36.2319
ADAMTS9	218.3447	ADAMTS9	1282.6087
ADAMTSL1	44.4719	ADAMTSL1	273.787
ADAMTSL2	33.3539	ADAMTSL2	53.8752
ADAMTSL3	123.2242	ADAMTSL3	206.6793
ADAMTSL4	357.937	ADAMTSL4	685.2552
ADAMTSL5	6.4855	ADAMTSL5	38.4373
ADAP1	175.6794	ADAP1	131.4304
ADAP2	481.7789	ADAP2	388.4688
ADARB1	483.6319	ADARB1	1063.6421
ADAR	16995.3675	ADAR	9221.4871
ADAT1	402.4089	ADAT1	354.4423
ADAT2	213.7122	ADAT2	248.5822
ADAT3	60.2224	ADAT3	40.6427
ADA	231.6245	ADA	156.2697
ADCK1	175.1081	ADCK1	186.2004
ADCK2	711.2415	ADCK2	649.0233
ADCK4	452.7486	ADCK4	444.2344
ADCK5	247.3749	ADCK5	92.9427
ADCY1	45.0896	ADCY1	507.8765
ADCY2	29.6479	ADCY2	83.1758
ADCY3	1155.6763	ADCY3	1942.1582
ADCY4	60.84	ADCY4	466.2886
removed	removed	ADCY5	550.4096
ADCY6	1255.7134	ADCY6	2669.8173
ADCY7	950.2779	ADCY7	718.9666
removed	removed	ADCY8	6.3012
ADCY9	836.9364	ADCY9	946.1248
removed	removed	ADCYAP1R1	24.5747
ADCYAP1	33.9716	ADCYAP1	27.7253
ADC	260.6547	ADC	123.1884
ADD1	5441.9395	ADD1	6347.511
ADD2	10.8091	ADD2	77.8198
ADD3	1773.008	ADD3	3196.9124
removed	removed	ADH1A	48.5192
ADH1B	39.5306	ADH1B	7557.971
removed	removed	ADH1C	175.4883
removed	removed	ADH4	40.3277
ADH5	1206.9179	ADH5	3080.0252
ADHFE1	34.8981	ADHFE1	209.1997
ADI1	1460.4694	ADI1	1576.8746
ADIPOQ	65.7813	ADIPOQ	13743.8563
ADIPOR1	4489.1909	ADIPOR1	1839.9496
ADIPOR2	2709.0797	ADIPOR2	2619.7227
ADK	390.0556	ADK	331.1279
ADM2	81.5318	ADM2	109.3258
ADM	388.2026	ADM	1109.9559
ADNP2	656.5781	ADNP2	606.8053
ADNP	3272.6992	ADNP	2814.1147
ADORA1	265.596	ADORA1	359.4833
ADORA2A	174.4842	ADORA2A	118.4468
ADORA2B	246.7573	ADORA2B	121.6131
ADORA3	114.8857	ADORA3	174.5432
ADO	870.908	ADO	732.8292
ADPGK	1610.5899	ADPGK	922.489
ADPRHL1	26.2508	ADPRHL1	51.3548
ADPRHL2	1857.3193	ADPRHL2	543.1632
ADPRH	253.2427	ADPRH	549.7795
removed	removed	ADRA1A	34.6566
removed	removed	ADRA1B	22.3693
removed	removed	ADRA1D	12.6024
ADRA2A	111.4886	ADRA2A	947.385
ADRA2B	7.7208	ADRA2B	47.259
ADRA2C	28.7214	ADRA2C	85.0662
ADRB1	33.9716	ADRB1	32.4512
ADRB2	203.2119	ADRB2	236.925
ADRBK1	5449.6603	ADRBK1	1681.4745
ADRBK2	563.6195	ADRBK2	1901.0712
ADRM1	2208.7708	ADRM1	899.811
ADSL	1209.0797	ADSL	731.8841
ADSSL1	172.6374	ADSSL1	160.0504
ADSS	3024.3978	ADSS	1361.0586
AEBP1	3646.6955	AEBP1	10722.1172
AEBP2	881.7171	AEBP2	804.0328
AEN	570.7227	AEN	435.7278
AES	3126.6214	AES	5426.9061
AFAP1L1	149.7838	AFAP1L1	446.4398
AFAP1L2	721.433	AFAP1L2	1406.7423
AFAP1	1126.2477	AFAP1	1506.8967
AFF1	1537.9864	AFF1	3114.3667
AFF2	155.9605	AFF2	75.2993
AFF3	27.4861	AFF3	1082.5457
AFF4	2483.0142	AFF4	3871.4556
AFG3L1	515.1328	AFG3L1	305.293
AFG3L2	1496.9704	AFG3L2	1169.2092
AFMID	367.5108	AFMID	476.6856
removed	removed	AFP	12.6024
AFTPH	2914.7622	AFTPH	1467.2338
AG2	71.3403	AG2	185.5703
AGAP11	12.3873	AGAP11	184.0044
AGAP1	507.1032	AGAP1	527.7253
AGAP2	200.1822	AGAP2	111.7297
AGAP3	1260.9636	AGAP3	1296.4713
AGAP4	212.4768	AGAP4	323.5665
AGAP5	49.5893	AGAP5	62.0384
AGAP6	131.2539	AGAP6	146.1878
AGAP7	12.971	AGAP7	12.2873
AGAP8	47.2514	AGAP8	42.5331
AGA	568.252	AGA	402.6465
removed	removed	AGBL2	21.109
AGBL3	9.8826	AGBL3	7.2464
removed	removed	AGBL4	10.397
AGBL5	797.7733	AGBL5	611.2382
AGER	33.0451	AGER	53.2451
AGFG1	4152.8721	AGFG1	1959.0422
AGFG2	462.0136	AGFG2	499.6849
AGGF1	985.7937	AGGF1	977.3157
AGK	578.7523	AGK	539.0674
AGL	1038.6041	AGL	1251.1027
AGMAT	22.2359	AGMAT	12.9175
AGPAT1	1102.7424	AGPAT1	1617.8607
AGPAT2	542.6189	AGPAT2	1832.0731
AGPAT3	2510.1915	AGPAT3	2109.3258
AGPAT4	144.2248	AGPAT4	394.77
AGPAT5	608.0914	AGPAT5	665.7215
AGPAT6	1932.0568	AGPAT6	1694.3919
AGPAT9	67.9432	AGPAT9	161.9408
AGPHD1	27.4861	AGPHD1	56.7108
AGPS	981.7789	AGPS	1370.8255
AGR2	848.672	AGR2	866.0996
removed	removed	AGR3	215.1859
AGRN	4733.4775	AGRN	4351.2917
AGTPBP1	337.2452	AGTPBP1	430.6868
AGTR1	10.5003	AGTR1	307.8135
AGTRAP	3394.9969	AGTRAP	559.2313
AGT	5.8678	AGT	84.7511
removed	removed	AGXT2L1	10.712
AGXT2L2	432.2174	AGXT2L2	623.2451
AHCTF1	2281.6553	AHCTF1	1519.5337
AHCYL1	4203.2119	AHCYL1	4077.5047
AHCYL2	957.0723	AHCYL2	709.8299
AHCY	3125.386	AHCY	2253.3081
AHDC1	1518.2211	AHDC1	1153.7492
AHI1	218.0358	AHI1	510.397
AHNAK2	10182.8289	AHNAK2	1304.9779
AHNAK	41366.5843	AHNAK	101000.6301
AHRR	10.1915	AHRR	24.2596
AHR	8705.3737	AHR	4331.758
AHSA1	2107.7826	AHSA1	1526.15
AHSA2	484.2495	AHSA2	920.6049
AIDA	1108.8882	AIDA	1130.1985
AIF1L	322.1124	AIF1L	2491.1783
AIF1	1081.5318	AIF1	574.9842
AIFM1	1337.8629	AIFM1	742.5961
AIFM2	224.8301	AIFM2	1024.5747
AIFM3	18.2211	AIFM3	13.1758
AIG1	652.8721	AIG1	795.5261
AIM1L	548.7956	removed	removed
AIM1	2868.7461	AIM1	3068.0529
AIM2	568.252	AIM2	33.0813
AIMP1	1189.3484	AIMP1	960.3781
AIMP2	471.6152	AIMP2	266.8084
AIP	868.7461	AIP	748.8973
removed	removed	AJAP1	22.6843
AK1	600.3706	AK1	525.5198
AK2	8404.5707	AK2	2032.7662
AK3L1	345.5837	AK3L1	503.4657
AK3	1054.3545	AK3	1905.7971
AK5	8.6473	AK5	2001.2602
removed	removed	AK7	31.821
AKAP10	267.1402	AKAP10	527.4102
AKAP11	554.3545	AKAP11	2431.317
AKAP12	109.9444	AKAP12	3323.8815
AKAP13	6031.8098	AKAP13	4515.4379
AKAP1	1260.9636	AKAP1	2368.9351
AKAP2	388.3416	AKAP2	2266.8021
AKAP3	20.383	AKAP3	43.4783
AKAP5	68.5608	AKAP5	141.4619
AKAP6	52.5015	AKAP6	223.3774
AKAP7	62.3842	AKAP7	229.9937
AKAP8L	816.2446	AKAP8L	691.5564
AKAP8	703.2119	AKAP8	625.7089
AKAP9	1684.0642	AKAP9	2811.5942
AKD1	78.7523	AKD1	137.9962
AKIRIN1	1649.475	AKIRIN1	1241.0208
AKIRIN2	841.26	AKIRIN2	751.1027
AKNA	638.9747	AKNA	1009.1367
AKR1A1	4067.6343	AKR1A1	1419.3447
AKR1B10	3224.2125	removed	removed
AKR1B15	433.2922	AKR1B15	8.1916
AKR1B1	840.0247	AKR1B1	952.426
AKR1C1	1090.7968	AKR1C1	1625.7089
AKR1C2	320.5683	AKR1C2	1958.097
AKR1C3	121.0624	AKR1C3	1423.7555
AKR1D1	10.5003	removed	removed
AKR1E2	31.1921	AKR1E2	31.1909
AKR7A2	664.9166	AKR7A2	789.8551
AKR7A3	7.1032	AKR7A3	54.1903
AKR7L	12.0445	AKR7L	13.8626
AKT1S1	606.2384	AKT1S1	714.2407
AKT1	3146.0778	AKT1	2886.8935
AKT2	1943.1748	AKT2	2258.3491
AKT3	156.5781	AKT3	1529.6156
AKTIP	808.8048	AKTIP	589.6944
ALAD	624.1507	ALAD	2206.6793
ALAS1	726.6831	ALAS1	920.6049
removed	removed	ALB	105.8601
ALCAM	4884.4966	ALCAM	2313.4846
ALDH16A1	619.2094	ALDH16A1	655.0095
ALDH18A1	1154.7251	ALDH18A1	1512.9175
ALDH1A1	432.6745	ALDH1A1	1757.719
ALDH1A2	25.6331	ALDH1A2	355.7026
ALDH1A3	2211.6553	ALDH1A3	1730.9011
ALDH1B1	231.3156	ALDH1B1	632.0101
ALDH1L1	6.1767	ALDH1L1	385.3182
ALDH1L2	104.0766	ALDH1L2	354.4423
ALDH2	4956.4546	ALDH2	7469.7543
ALDH3A1	29.3391	ALDH3A1	18.5885
ALDH3A2	1911.365	ALDH3A2	2599.5589
ALDH3B1	221.7418	ALDH3B1	194.707
ALDH3B2	3741.5071	ALDH3B2	870.8255
ALDH4A1	359.79	ALDH4A1	1030.8759
ALDH5A1	518.2211	ALDH5A1	581.2854
ALDH6A1	184.9815	ALDH6A1	502.5079
ALDH7A1	1022.2359	ALDH7A1	2445.1796
ALDH8A1	8.3385	ALDH8A1	17.9584
ALDH9A1	3049.1044	ALDH9A1	4252.0479
ALDOA	25295.244	ALDOA	12311.2791
ALDOC	287.5232	ALDOC	640.8318
ALG10B	218.0358	ALG10B	404.8519
ALG10	167.3873	ALG10	144.2974
ALG11	19.4565	ALG11	20.794
ALG12	209.6973	ALG12	412.0983
ALG13	453.6751	ALG13	521.109
ALG14	122.2977	ALG14	142.092
ALG1L2	9.4565	removed	removed
ALG1L	204.5182	ALG1L	5.1607
ALG1	543.2767	ALG1	430.9704
ALG2	764.6695	ALG2	901.7013
ALG3	909.8209	ALG3	437.3031
ALG5	270.2285	ALG5	473.535
ALG6	542.9277	ALG6	261.8147
ALG8	572.2668	ALG8	619.4077
ALG9	438.2335	ALG9	645.5577
