gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
CES1	8.3758	CES1	728.1106
CES2	589.5849	CES2	466.2757
CES3	11.2891	CES3	5.0272
removed	removed	CES4	5.0272
CES8	102.3307	CES8	87.9765
CETN2	2552.4399	CETN2	2837.8718
CETN3	524.3991	CETN3	538.3326
removed	removed	CETN4P	7.5408
removed	removed	CETP	10.4734
CFB	12780.2331	CFB	629.2417
CFDP1	323.0153	CFDP1	435.2744
CFD	1016.0233	CFD	1079.5978
CFH	485.4334	CFH	2027.6498
CFI	164.9672	CFI	780.0587
CFL1	15182.8114	CFL1	10115.6263
CFL2	175.1639	CFL2	3086.7197
CFLAR	386.016	CFLAR	625.0524
CFP	11.6533	CFP	5.0272
removed	removed	CFTR	37.2853
CG030	14.2025	CG030	32.677
CGGBP1	2766.5696	CGGBP1	5143.2761
CGNL1	127.094	CGNL1	994.1349
CGN	1986.5259	CGN	459.5727
CGREF1	41.5149	CGREF1	57.721
CGRRF1	353.2411	CGRRF1	629.6607
CH25H	33.5033	CH25H	234.6041
removed	removed	CHAC1	24.2983
CHAC2	24.035	CHAC2	62.4214
CHADL	146.3948	CHADL	30.5823
CHAD	1237.0721	CHAD	291.5794
CHAF1A	223.598	CHAF1A	65.7729
CHAF1B	360.8886	CHAF1B	122.7482
CHCHD10	622.724	CHCHD10	369.5015
CHCHD1	735.9796	CHCHD1	494.3444
CHCHD2	6297.8878	CHCHD2	3144.5329
CHCHD3	899.4902	CHCHD3	637.2015
CHCHD4	390.0218	CHCHD4	327.6079
CHCHD5	962.1267	CHCHD5	147.4654
CHCHD6	107.0648	CHCHD6	46.0829
CHCHD7	1528.405	CHCHD7	632.5932
CHCHD8	1100.5098	CHCHD8	521.1563
CHD1L	586.6715	CHD1L	619.1873
CHD1	2127.4581	CHD1	1063.2593
CHD2	1560.8157	CHD2	1079.5978
CHD3	1434.0859	CHD3	1142.4382
CHD4	4874.1588	CHD4	1942.4214
CHD6	891.8427	CHD6	1356.9334
CHD7	1048.4341	CHD7	398.408
CHD8	1880.5535	CHD8	1059.4889
CHD9	465.4042	CHD9	2207.7922
CHDH	338.3103	CHDH	288.6468
CHEK1	142.3889	CHEK1	58.2321
CHEK2	215.2221	CHEK2	155.4252
CHERP	1459.512	CHERP	596.7114
CHFR	227.968	CHFR	207.3733
removed	removed	CHGB	206.5354
CHI3L1	404.9527	CHI3L1	1249.6858
CHI3L2	605.244	CHI3L2	635.5258
CHIC1	161.3256	CHIC1	528.2782
CHIC2	194.1005	CHIC2	759.5308
CHID1	1346.3219	CHID1	413.9087
CHIT1	22.5783	CHIT1	11.3113
CHKA	436.2709	CHKA	733.1378
CHKB-CPT1B	85.9432	CHKB-CPT1B	105.6263
CHKB	130.9869	CHKB	214.4407
CHL1	34.9599	CHL1	2210.3058
CHML	984.705	CHML	459.1537
CHMP1A	1207.5747	CHMP1A	627.9849
CHMP1B	1836.8536	CHMP1B	2879.7654
CHMP2A	2527.6766	CHMP2A	473.3976
CHMP2B	1799.7087	CHMP2B	2563.8877
CHMP4A	1487.1668	CHMP4A	542.3586
CHMP4B	4187.9097	CHMP4B	3640.9719
CHMP4C	1747.6329	CHMP4C	636.3636
CHMP5	3733.3212	CHMP5	2145.7897
CHMP6	465.0401	CHMP6	112.6938
CHMP7	486.89	CHMP7	723.5023
CHM	540.4224	CHM	714.2857
CHN1	85.2149	CHN1	884.3737
CHN2	26.22	CHN2	105.1529
CHODL	20.7575	CHODL	62.4214
CHORDC1	592.8623	CHORDC1	733.5568
CHPF2	1160.2331	CHPF2	299.9581
CHPF	2954.8434	CHPF	456.2212
CHPT1	12016.0233	CHPT1	9713.0289
CHP	4739.6213	CHP	3727.2727
CHRAC1	1677.713	CHRAC1	1337.6623
CHRDL1	25.4916	CHRDL1	2571.8475
CHRD	145.3023	CHRD	37.2853
CHRFAM7A	5.0983	CHRFAM7A	14.6628
removed	removed	CHRM1	98.031
removed	removed	CHRM3	13.4059
removed	removed	CHRM5	5.4462
CHRNA1	20.0291	removed	removed
CHRNA5	16.3875	CHRNA5	80.4357
CHRNA6	10.5608	removed	removed
CHRNA9	173.7072	removed	removed
CHRNB1	98.689	CHRNB1	103.8961
CHRNB2	21.85	CHRNB2	11.7302
CHRNE	8.4304	CHRNE	27.9095
CHST10	306.992	CHST10	165.0607
CHST11	62.2724	CHST11	38.5421
CHST12	185.7247	CHST12	180.9803
CHST13	6.555	removed	removed
CHST14	498.9075	CHST14	429.8282
CHST15	975.2367	CHST15	809.8031
CHST1	3392.9352	CHST1	46.0829
CHST2	40.0583	CHST2	261.416
CHST3	93.5907	CHST3	719.7319
CHST4	9.8325	CHST4	8.7977
removed	removed	CHST5	5.4629
CHST6	7.2833	CHST6	5.8651
CHST7	29.1333	CHST7	96.7742
CHST8	878.3685	CHST8	28.4876
CHST9	8.3758	CHST9	383.3264
CHSY1	2201.748	CHSY1	2333.473
CHSY3	58.6307	CHSY3	48.5966
CHTF18	187.5455	CHTF18	11.3113
CHTF8	2020.7575	CHTF8	2486.8035
CHUK	760.0146	CHUK	826.9795
CHURC1	1595.4661	CHURC1	2093.7956
CIAO1	2265.1129	CIAO1	1259.3213
CIAPIN1	608.8857	CIAPIN1	640.1341
CIB1	3359.4319	CIB1	1162.5471
CIB2	16.7516	CIB2	80.4357
CIB3	11.2891	removed	removed
CIC	793.1537	CIC	478.4248
removed	removed	CIDEA	158.7767
CIDEB	424.9053	CIDEB	423.1253
CIDECP	124.2571	CIDECP	78.341
CIDEC	14.4902	CIDEC	2679.514
CIITA	74.654	CIITA	58.2321
CILP2	158.4122	CILP2	8.7977
CILP	1027.6766	CILP	1150.8169
CINP	631.4639	CINP	215.752
CIR1	904.9527	CIR1	992.4592
CIRBP	5532.4108	CIRBP	7356.9334
CIRH1A	587.764	CIRH1A	1635.9447
CISD1	425.346	CISD1	646.837
CISD2	775.6737	CISD2	1261.416
CISD3	1848.5361	CISD3	384.5413
CISH	720.6846	CISH	300.377
CITED1	16.0233	CITED1	461.6674
CITED2	3926.8026	CITED2	12211.5626
CITED4	893.2993	CITED4	1418.098
CIT	128.9148	CIT	66.6108
CIZ1	1164.6031	CIZ1	811.0599
CKAP2L	83.394	CKAP2L	8.3787
CKAP2	802.2578	CKAP2	404.6921
CKAP4	1850.6919	CKAP4	842.4801
CKAP5	2885.2877	CKAP5	1211.9816
CKB	32.0466	CKB	439.8827
CKLF	250.5462	CKLF	427.7336
CKMT1A	101.6023	CKMT1A	41.4747
CKMT1B	152.2214	CKMT1B	117.3021
CKMT2	7.6475	CKMT2	44.8261
CKS1B	686.0889	CKS1B	1056.9753
CKS2	747.6329	CKS2	297.0256
CLASP1	809.177	CLASP1	940.93
CLASP2	1268.7546	CLASP2	2490.155
removed	removed	CLCA2	1009.2166
removed	removed	CLCA4	279.0113
CLCC1	1164.7742	CLCC1	751.1018
CLCF1	58.2666	CLCF1	65.7729
CLCN2	120.9031	CLCN2	8.7977
CLCN3	1593.9548	CLCN3	803.5191
CLCN4	24.035	CLCN4	187.2643
CLCN5	124.5448	CLCN5	116.4642
CLCN6	187.9097	CLCN6	338.9191
CLCN7	3528.7691	CLCN7	219.5224
CLCNKA	5.8267	removed	removed
removed	removed	CLDN10	94.4575
CLDN11	92.4982	CLDN11	1297.0256
CLDN12	1008.3758	CLDN12	2844.1558
CLDN14	7.2833	removed	removed
CLDN15	59.3591	CLDN15	72.057
removed	removed	CLDN19	17.5953
CLDN1	146.3948	CLDN1	1764.977
CLDN23	198.8347	CLDN23	218.2656
CLDN3	2240.3496	CLDN3	198.5756
CLDN4	5607.0648	CLDN4	2988.6887
CLDN5	104.1515	CLDN5	552.1575
CLDN7	1911.1435	CLDN7	572.6854
CLDN8	124.1806	CLDN8	3482.1952
CLDN9	10.1966	removed	removed
CLDND1	755.6446	CLDND1	3260.1592
removed	removed	CLDND2	28.4876
CLEC10A	24.7633	CLEC10A	20.1089
CLEC11A	195.5572	CLEC11A	68.7055
CLEC12A	7.2833	CLEC12A	6.703
CLEC14A	319.7378	CLEC14A	812.7357
CLEC16A	911.5076	CLEC16A	420.1927
CLEC1A	27.6766	CLEC1A	249.6858
CLEC2B	191.5513	CLEC2B	760.3687
CLEC2D	306.6278	CLEC2D	558.8605
CLEC3A	16867.0794	CLEC3A	385.421
CLEC3B	49.8908	CLEC3B	687.8928
CLEC4A	28.7691	CLEC4A	43.9883
CLEC4E	10.925	removed	removed
CLEC4F	7.6475	CLEC4F	12.1491
removed	removed	CLEC4GP1	6.284
removed	removed	CLEC4G	12.987
CLEC4M	41.1508	removed	removed
CLEC5A	123.8165	CLEC5A	17.1764
CLEC7A	89.5849	CLEC7A	94.2606
removed	removed	CLEC9A	9.6355
CLGN	1245.0838	CLGN	52.367
CLIC1	5745.0838	CLIC1	3715.5425
CLIC2	143.1173	CLIC2	945.9573
CLIC3	83.0299	CLIC3	9.6355
CLIC4	3407.866	CLIC4	13994.5538
CLIC5	54.2607	CLIC5	514.0344
CLIC6	6016.7516	CLIC6	555.0901
CLINT1	2101.6023	CLINT1	2346.46
CLIP1	2027.6766	CLIP1	3022.6225
CLIP2	85.9432	CLIP2	152.9116
CLIP3	101.6023	CLIP3	656.0536
CLIP4	101.6023	CLIP4	1969.8366
CLK1	1316.0961	CLK1	3692.501
CLK2P	10.5608	CLK2P	7.1219
CLK2	498.5433	CLK2	625.8902
CLK3	600.1457	CLK3	434.0176
CLK4	375.8194	CLK4	763.3012
CLMN	1171.5222	CLMN	1824.8848
CLN3	3147.4873	CLN3	718.0561
CLN5	1445.0109	CLN5	1511.9397
CLN6	985.7975	CLN6	485.5467
CLN8	128.1865	CLN8	201.0892
CLNS1A	1889.6577	CLNS1A	1974.4449
CLOCK	315.732	CLOCK	211.1437
CLP1	323.0153	CLP1	291.5794
CLPB	211.9446	CLPB	83.3682
CLPP	651.4931	CLPP	150.8169
CLPTM1L	2643.1173	CLPTM1L	1232.9284
CLPTM1	3981.0634	CLPTM1	1507.3314
CLPX	859.0677	CLPX	662.3377
removed	removed	CLRN3	5.8651
CLSPN	41.1508	removed	removed
CLSTN1	3267.6621	CLSTN1	2692.501
CLSTN2	473.4159	CLSTN2	343.5274
CLSTN3	549.8908	CLSTN3	232.0905
CLTA	2196.6497	CLTA	2018.4332
CLTB	572.1049	CLTB	261.416
CLTCL1	11.6533	CLTCL1	32.677
CLTC	21667.5164	CLTC	10132.8027
CLUAP1	1005.0109	CLUAP1	462.5052
CLUL1	64.4574	CLUL1	65.354
CLU	19065.9141	CLU	10366.5689
CLVS1	22.6111	CLVS1	53.7076
CLYBL	184.268	CLYBL	179.7235
CMA1	61.5441	CMA1	84.6251
CMAH	71.0124	CMAH	468.7893
CMAS	744.3554	CMAS	974.026
CMBL	4335.7611	CMBL	636.7826
CMC1	251.2746	CMC1	231.2526
CMIP	590.6773	CMIP	1492.6686
CMKLR1	139.8398	CMKLR1	178.4667
CMPK1	4986.89	CMPK1	8906.9962
CMPK2	549.1624	CMPK2	235.023
CMTM1	64.0932	CMTM1	65.354
CMTM3	595.0473	CMTM3	869.7109
CMTM4	417.6985	CMTM4	1166.7365
removed	removed	CMTM5	10.0545
CMTM6	9686.453	CMTM6	4588.6049
CMTM7	2045.8849	CMTM7	2315.4587
CMTM8	578.2957	CMTM8	472.1408
CMYA5	687.9097	CMYA5	722.6644
CN5H6.4	13.4741	CN5H6.4	10.8923
CNBP	8295.7028	CNBP	12491.4118
CNDP2	4498.9075	CNDP2	1496.439
CNFN	197.7422	CNFN	93.0038
removed	removed	CNGA1	160.4525
CNIH2	9.8325	removed	removed
CNIH3	35.6883	CNIH3	46.0829
CNIH4	795.7028	CNIH4	1680.3519
CNIH	1709.7597	CNIH	2870.1299
CNKSR1	677.3489	CNKSR1	245.4964
removed	removed	CNKSR2	16.3385
CNKSR3	25.8558	CNKSR3	224.1307
CNN1	80.4807	CNN1	4153.3305
CNN2	1680.9905	CNN2	1297.0256
CNN3	1743.6271	CNN3	8892.7524
removed	removed	CNNM1	41.0557
CNNM2	135.8339	CNNM2	131.1269
CNNM3	1530.9541	CNNM3	708.0017
CNNM4	1713.7655	CNNM4	728.9485
CNOT10	1038.6016	CNOT10	682.4466
CNOT1	2278.5033	CNOT1	3738.8186
CNOT2	1584.8507	CNOT2	2324.2564
CNOT3	875.091	CNOT3	361.9606
CNOT4	573.9257	CNOT4	1064.5161
CNOT6L	1228.3321	CNOT6L	2415.1655
CNOT6	1060.8157	CNOT6	1239.2124
CNOT7	1402.0393	CNOT7	3480.1005
CNOT8	1132.9206	CNOT8	2826.1416
CNO	350.3277	CNO	432.3419
CNPY2	1482.52	CNPY2	866.3594
CNPY3	1247.6329	CNPY3	387.5157
CNPY4	222.8696	CNPY4	134.8974
CNP	2218.2957	CNP	733.6657
CNR1	6.555	CNR1	164.6418
CNRIP1	107.0648	CNRIP1	929.1998
CNST	885.2877	CNST	891.4956
CNTD1	129.8143	CNTD1	146.2757
CNTD2	87.764	CNTD2	6.284
CNTFR	7.2833	CNTFR	424.3821
CNTF	7.6475	CNTF	32.2581
CNTLN	34.2316	CNTLN	345.6221
CNTN1	23.3066	CNTN1	126.5186
CNTN3	24.035	CNTN3	114.7884
CNTN4	32.0466	CNTN4	382.4885
CNTNAP1	127.4581	CNTNAP1	70.3812
CNTNAP2	191.1872	CNTNAP2	7.5408
CNTNAP3	8.3758	CNTNAP3	199.4135
CNTROB	323.3795	CNTROB	277.3356
COASY	3089.5849	COASY	457.478
COBLL1	874.3627	COBLL1	1404.2731
COBL	88.8565	COBL	576.4558
COBRA1	1168.6089	COBRA1	395.8944
removed	removed	COCH	36.0285
COG1	1290.0218	COG1	602.6938
COG2	1260.0146	COG2	661.9187
COG3	1183.1755	COG3	956.0117
COG4	662.4181	COG4	427.3146
COG5	1090.8485	COG5	1434.1642
COG6	915.8776	COG6	875.1571
COG7	1713.7655	COG7	393.3808
COG8	319.4501	COG8	368.739
COIL	871.0852	COIL	778.8018
COL10A1	1132.1923	COL10A1	8.3787
COL11A1	1021.1216	COL11A1	16.7574
COL12A1	2490.5317	COL12A1	2454.9644
COL13A1	6.555	removed	removed
COL14A1	903.1318	COL14A1	3748.6385
COL15A1	793.882	COL15A1	2839.9665
COL16A1	226.1471	COL16A1	312.5262
COL17A1	92.8623	COL17A1	3260.9971
COL18A1	1138.7473	COL18A1	643.0666
COL1A1	38884.5594	COL1A1	2306.6611
COL1A2	29682.4472	COL1A2	8463.762
COL21A1	8.0117	COL21A1	57.3942
COL22A1	11.6533	removed	removed
COL24A1	24.3991	COL24A1	13.8249
COL25A1	5.0983	COL25A1	21.3657
COL27A1	59.3591	COL27A1	79.1789
COL28A1	7.2833	COL28A1	6.284
COL2A1	161.3256	COL2A1	36.8664
COL3A1	26144.9381	COL3A1	4377.0423
COL4A1	2660.2331	COL4A1	5095.9363
COL4A2	2001.4567	COL4A2	2577.7126
COL4A3BP	449.0168	COL4A3BP	1762.4633
removed	removed	COL4A3	41.0557
COL4A4	6.9192	COL4A4	44.4072
COL4A5	179.898	COL4A5	855.4671
removed	removed	COL4A6	213.2384
COL5A1	1954.1151	COL5A1	390.8672
COL5A2	3017.8441	COL5A2	1145.3708
COL5A3	162.0539	COL5A3	113.1127
COL6A1	4656.2272	COL6A1	3191.4537
COL6A2	3259.2862	COL6A2	1482.1952
COL6A3	7909.3227	COL6A3	6154.5873
COL6A6	9.1042	COL6A6	87.5576
COL7A1	14.5666	COL7A1	41.0557
COL8A1	167.5164	COL8A1	38.961
COL8A2	473.0517	COL8A2	930.0377
removed	removed	COL9A1	6.284
COL9A2	37.8733	COL9A2	136.5731
COL9A3	10.925	COL9A3	6.284
COLEC12	221.413	COLEC12	480.1005
COLQ	13.11	COLQ	33.9338
COMMD10	486.5259	COMMD10	759.9497
COMMD1	312.0903	COMMD1	336.4055
COMMD2	682.083	COMMD2	1516.548
COMMD3	917.1741	COMMD3	1066.6778
COMMD4	1104.1515	COMMD4	279.8492
COMMD5	1378.0808	COMMD5	241.9355
COMMD6	1473.78	COMMD6	5630.4985
COMMD7	1602.3307	COMMD7	1628.8228
COMMD8	293.1537	COMMD8	640.1341
COMMD9	883.1027	COMMD9	772.9367
COMP	707.2105	removed	removed
COMTD1	87.764	COMTD1	26.393
COMT	1715.9505	COMT	760.3687
COPA	6707.2105	COPA	3860.0754
COPB1	5815.0036	COPB1	3953.4772
COPB2	6113.6198	COPB2	2488.4793
COPE	2431.1726	COPE	405.9489
COPG2	584.1224	COPG2	393.7997
COPG	6961.7626	COPG	1576.4558
COPS2	2106.3365	COPS2	3795.5593
COPS3	701.0197	COPS3	1387.5157
COPS4	1257.1012	COPS4	1797.654
COPS5	3615.0765	COPS5	1381.6506
COPS6	2102.3307	COPS6	1067.8676
COPS7A	2154.7706	COPS7A	1572.2664
COPS7B	601.2382	COPS7B	617.5115
COPS8	1558.2047	COPS8	2050.2639
COPZ1	7673.343	COPZ1	5806.0327
COPZ2	123.0881	COPZ2	356.5145
COQ10A	127.8223	COQ10A	198.5756
COQ10B	1066.6424	COQ10B	1208.2111
COQ2	272.032	COQ2	201.5082
COQ3	101.9665	COQ3	206.9543
COQ4	1155.4989	COQ4	255.5509
COQ5	1038.6016	COQ5	672.3921
COQ6	432.043	COQ6	280.0796
COQ7	1411.1435	COQ7	579.8073
COQ9	470.1384	COQ9	531.2107
CORIN	52.8041	CORIN	21.7847
CORO1A	276.402	CORO1A	117.721
CORO1B	1316.4603	CORO1B	216.5899
CORO1C	990.8958	CORO1C	2461.2484
CORO2A	623.4523	CORO2A	334.3109
CORO2B	11.6533	CORO2B	186.4265
removed	removed	CORO6	17.1764
CORO7	808.8383	CORO7	91.747
CORT	9.7087	CORT	6.703
COTL1	695.193	COTL1	1104.734
COX10	192.6438	COX10	370.7583
COX11	1122.1777	COX11	2505.2953
COX15	1231.8755	COX15	1335.7855
COX16	1731.9738	COX16	1686.217
COX17	754.9162	COX17	260.9971
COX18	616.169	COX18	436.1123
COX19	161.1799	COX19	140.2765
COX4I1	2415.1493	COX4I1	1671.5543
COX4I2	10.1966	COX4I2	15.0817
COX4NB	433.7218	COX4NB	334.7298
COX5A	1863.0736	COX5A	1788.0184
COX5B	1614.7123	COX5B	870.5488
COX6A1	5288.7837	COX6A1	1881.0222
COX6B1	3933.3576	COX6B1	2486.8035
removed	removed	COX6B2	7.5408
COX6C	45792.0612	COX6C	2434.8555
COX7A1	55.3532	COX7A1	360.7038
COX7A2L	2975.6009	COX7A2L	3394.6376
COX7A2	2648.5798	COX7A2	2020.5279
COX7B	1649.3081	COX7B	3273.9841
COX7C	3557.9024	COX7C	6205.2786
COX8A	3263.6562	COX8A	1366.5689
CP110	901.6752	CP110	887.3062
removed	removed	CPA1	26.8119
CPA3	1179.5339	CPA3	706.3259
CPA4	14.9308	CPA4	128.6133
CPAMD8	196.6497	CPAMD8	201.5082
CPB1	274.5812	CPB1	1436.9501
CPD	4885.2877	CPD	3646.4181
CPEB1	7.2833	CPEB1	21.7847
CPEB2	1320.8303	CPEB2	1224.5496
CPEB3	233.0663	CPEB3	382.9074
CPEB4	1198.1063	CPEB4	1498.1148
CPE	620.539	CPE	4110.5991
CPLX1	64.8216	CPLX1	48.1776
CPM	265.8412	CPM	1454.9644
CPN2	34.2316	CPN2	5.8651
CPNE1	1072.9497	CPNE1	1491.793
CPNE2	169.3372	CPNE2	786.3427
CPNE3	11319.7378	CPNE3	5200.2514
removed	removed	CPNE4	6.284
CPNE5	84.8507	CPNE5	27.6498
CPNE7	24.035	CPNE7	5.0272
CPNE8	46.9774	CPNE8	464.181
CPOX	160.2331	CPOX	568.0771
CPO	7.2833	CPO	5.0272
CPPED1	1651.8572	CPPED1	598.6594
CPS1	7.6475	CPS1	287.39
CPSF1	1493.445	CPSF1	206.9543
CPSF2	1810.9978	CPSF2	1036.8664
CPSF3L	1235.6154	CPSF3L	387.9346
CPSF3	1057.5382	CPSF3	766.6527
CPSF4	246.9046	CPSF4	224.9686
CPSF6	1665.6956	CPSF6	2005.8651
CPSF7	1817.5528	CPSF7	2407.2057
CPT1A	2222.8696	CPT1A	1522.4131
CPT1B	168.2047	CPT1B	123.1588
CPT1C	12.3816	CPT1C	15.0817
CPT2	1070.284	CPT2	547.1303
CPVL	183.1755	CPVL	258.0645
CPXM1	100.1457	CPXM1	17.1764
CPXM2	279.6795	CPXM2	713.0289
CPZ	77.5674	CPZ	62.0025
CP	231.657	CP	4687.5241
removed	removed	CR1	13.8249
removed	removed	CR2	12.987
CRABP1	370.3569	CRABP1	188.5212
CRABP2	15123.4523	CRABP2	2925.8483
CRADD	215.2221	CRADD	165.0607
CRAMP1L	1051.402	CRAMP1L	396.3134
CRAT	1630.3714	CRAT	374.5287
CRB1	14.5666	CRB1	5.8651
removed	removed	CRB2	12.5681
CRB3	562.6366	CRB3	72.8948
CRBN	923.6235	CRBN	1657.7545
CRCP	1461.0342	CRCP	832.0067
CREB1	1043.6999	CREB1	1817.7629
CREB3L1	224.3263	CREB3L1	178.8856
CREB3L2	3334.6686	CREB3L2	3667.7838
CREB3L4	2020.8012	CREB3L4	633.85
CREB3	2125.1602	CREB3	564.4575
CREB5	22.5783	CREB5	804.3569
CREBBP	3239.9854	CREBBP	2148.7222
CREBL2	2409.6868	CREBL2	5062.8404
CREBZF	1368.5361	CREBZF	1769.1663
CREG1	2172.9789	CREG1	6255.5509
CRELD1	656.2272	CRELD1	316.2966
CRELD2	674.7997	CRELD2	75.8274
CREM	405.681	CREM	591.1186
CRHBP	6.555	CRHBP	79.1789
removed	removed	CRHR1	34.9895
CRIM1	4560.0874	CRIM1	10718.0561
CRIP1	26526.9483	CRIP1	520.3184
CRIP2	8899.126	CRIP2	2038.1232
CRIPAK	214.1296	CRIPAK	162.9661
CRIPT	370.721	CRIPT	1038.5421
removed	removed	CRISP2	32.2581
CRISP3	130.3714	CRISP3	30.1634
CRISPLD1	137.6548	CRISPLD1	1993.716
CRISPLD2	572.8332	CRISPLD2	766.2338
CRKL	2191.5513	CRKL	2058.651
CRK	538.2374	CRK	744.0302
CRLF1	8.74	CRLF1	13.4059
CRLF3	307.7203	CRLF3	379.137
CRLS1	1033.8674	CRLS1	2222.455
CRMP1	43.5761	CRMP1	39.8324
CRNKL1	1465.0401	CRNKL1	1142.0193
CROCCL1	107.6184	CROCCL1	278.1734
CROCCL2	19.665	CROCCL2	41.4747
CROCC	159.8689	CROCC	16.3385
CROT	1187.5455	CROT	706.3259
removed	removed	CRTAC1	89.6523
CRTAM	10.5608	CRTAM	5.8651
CRTAP	2616.5331	CRTAP	7134.4784
CRTC1	234.8871	CRTC1	82.1114
CRTC2	775.3095	CRTC2	668.6217
CRTC3	856.1544	CRTC3	1472.9786
CRY1	528.7691	CRY1	571.8475
CRY2	904.2243	CRY2	1087.9765
CRYAB	192.2797	CRYAB	11744.868
CRYBG3	83.8383	CRYBG3	801.0264
CRYGS	8.0117	CRYGS	11.7302
CRYL1	841.9519	CRYL1	446.1667
removed	removed	CRYM	5.0272
CRYZL1	454.4683	CRYZL1	749.4135
CRYZ	1135.193	CRYZ	1059.3129
CSAD	299.3445	CSAD	212.4005
CSAG3	7.2833	removed	removed
CSDAP1	21.1216	CSDAP1	62.4214
CSDA	1446.4676	CSDA	7016.7574
CSDC2	5.4625	removed	removed
CSDE1	13320.8303	CSDE1	20998.7432
CSE1L	2668.9731	CSE1L	3615.4168
CSF1R	594.6832	CSF1R	552.9954
CSF1	436.2709	CSF1	342.2706
CSF2RA	213.0371	CSF2RA	212.8194
CSF2RB	116.169	CSF2RB	397.9891
CSF3R	313.547	CSF3R	42.3125
CSGALNACT1	151.4931	CSGALNACT1	889.4009
CSGALNACT2	510.1966	CSGALNACT2	663.5945
CSK	859.0677	CSK	253.4562
removed	removed	CSMD1	14.2438
CSMD2	7.6475	removed	removed
removed	removed	CSN1S1	41.4747
removed	removed	CSN3	15.0817
CSNK1A1	6923.161	CSNK1A1	12156.2631
CSNK1D	4026.22	CSNK1D	1076.2463
CSNK1E	1155.8631	CSNK1E	2114.3695
CSNK1G1	751.6387	CSNK1G1	651.4453
CSNK1G2	621.6315	CSNK1G2	198.9946
CSNK1G3	1004.7342	CSNK1G3	1506.4935
CSNK2A1P	439.1843	CSNK2A1P	225.8065
CSNK2A1	1361.2527	CSNK2A1	1395.0566
CSNK2A2	253.0954	CSNK2A2	495.1822
CSNK2B	3745.0838	CSNK2B	3443.2342
CSPG4	180.6264	CSPG4	157.101
CSPG5	6.1908	CSPG5	16.7574
CSPP1	880.3678	CSPP1	311.6883
CSRNP1	637.2906	CSRNP1	3428.9904
CSRNP2	1015.6591	CSRNP2	1107.6665
removed	removed	CSRNP3	7.9598
CSRP1	2206.4822	CSRP1	20800.1676
CSRP2BP	866.7152	CSRP2BP	612.0654
CSRP2	65.5499	CSRP2	519.8995
CST1	679.898	removed	removed
CST2	51.3474	CST2	22.6225
CST3	9608.1573	CST3	4594.889
CST4	10.1966	removed	removed
CST5	1639.4756	CST5	21.7847
CST6	290.2403	CST6	15.0817
CST7	54.2607	CST7	57.8132
CST9L	41.5149	CST9L	5.4462
CST9	1092.134	CST9	138.2488
CSTA	37.8733	CSTA	375.7855
CSTB	2675.1639	CSTB	3084.6251
CSTF1	770.9395	CSTF1	1047.3398
CSTF2T	1091.0415	CSTF2T	1084.6251
CSTF2	293.882	CSTF2	104.315
CSTF3	841.9519	CSTF3	724.2606
CS	3691.9155	CS	5263.9296
CT62	73.9257	CT62	24.2983
removed	removed	CTAG1B	35.6096
removed	removed	CTAG2	113.9506
CTAGE1	5.8267	removed	removed
CTAGE4	70.6482	CTAGE4	108.5044
CTAGE5	1355.0692	CTAGE5	1061.6087
CTAGE6	6.1908	removed	removed
CTAGE9	155.1347	CTAGE9	253.0373
CTBP1	1748.5761	CTBP1	1445.2912
CTBP2	2604.8798	CTBP2	2311.2694
CTBS	1554.9563	CTBS	1021.7847
CTCFL	11.3729	removed	removed
CTCF	1416.606	CTCF	1771.6799
CTDP1	395.8485	CTDP1	183.4939
CTDSP1	2283.6854	CTDSP1	1304.9853
CTDSP2	4575.7465	CTDSP2	5948.4709
CTDSPL2	602.6948	CTDSPL2	945.1194
CTDSPL	1272.7604	CTDSPL	2461.6674
CTF1	414.7851	CTF1	771.261
CTGF	1675.8922	CTGF	21403.8542
CTHRC1	975.6009	CTHRC1	545.4545
CTH	113.2556	CTH	77.0842
CTLA4	7.6475	CTLA4	7.5408
CTNNA1	9797.8878	CTNNA1	6442.3963
CTNNAL1	195.5572	CTNNAL1	1372.853
CTNNB1	9691.1544	CTNNB1	10222.0193
CTNNBIP1	934.8143	CTNNBIP1	812.3167
CTNNBL1	853.6052	CTNNBL1	413.9087
CTNND1	7395.8485	CTNND1	8790.951
CTNND2	872.5419	CTNND2	121.9103
CTNS	318.8237	CTNS	354.1098
CTPS2	1129.279	CTPS2	607.876
CTPS	397.3052	CTPS	325.0943
CTR9	2051.7116	CTR9	1764.558
CTSA	2272.3562	CTSA	1231.6716
CTSB	12578.2957	CTSB	7149.1412
CTSC	533.5033	CTSC	1688.3117
CTSD	94057.1741	CTSD	2963.1336
CTSF	2023.3066	CTSF	1095.5174
CTSG	153.3139	CTSG	62.8404
CTSH	1301.8937	CTSH	883.5358
CTSK	1862.3452	CTSK	4278.1734
CTSL1	1730.1529	CTSL1	426.0578
CTSL2	35.6883	CTSL2	231.6716
CTSO	1223.598	CTSO	2915.7939
CTSS	826.2928	CTSS	1306.2421
CTSW	26.22	CTSW	35.6096
CTSZ	2189.0022	CTSZ	927.5241
CTTNBP2NL	482.52	CTTNBP2NL	1285.2953
CTTNBP2	15.295	CTTNBP2	124.005
CTTN	3580.1165	CTTN	1423.5442
