gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
ACOT2	663.5106	ACOT2	241.3071
ACOT4	916.606	ACOT4	152.0737
ACOT6	12.7458	ACOT6	7.9598
ACOT7	396.2127	ACOT7	153.7495
ACOT8	329.461	ACOT8	161.1353
ACOT9	127.094	ACOT9	455.3833
ACOX1	2253.8092	ACOX1	1857.9807
ACOX2	831.3911	ACOX2	201.0892
ACOX3	495.2658	ACOX3	358.6091
ACP1	2355.4261	ACP1	2167.5744
ACP2	1435.1784	ACP2	599.0783
ACP5	1625.2731	ACP5	329.7026
ACP6	186.453	ACP6	171.7637
ACPL2	272.3962	ACPL2	574.7801
ACPP	49.1624	ACPP	25.1362
ACRBP	21.4858	ACRBP	5.0272
removed	removed	ACRC	21.7847
ACR	5.8267	removed	removed
removed	removed	ACSBG1	15.9196
removed	removed	ACSBG2	5.4462
ACSF2	983.9767	ACSF2	463.3431
ACSF3	203.2047	ACSF3	81.2736
ACSL1	458.4851	ACSL1	7581.483
ACSL3	2993.0808	ACSL3	3174.2773
ACSL4	369.6286	ACSL4	2550.0628
ACSL5	204.2972	ACSL5	1173.4395
ACSM1	61.5441	ACSM1	20.9468
removed	removed	ACSM2A	5.8651
ACSM3	104.2862	ACSM3	189.8659
ACSM5	16.0233	ACSM5	62.4214
ACSS1	564.0932	ACSS1	408.0436
ACSS2	845.2294	ACSS2	1490.5739
ACSS3	327.0211	ACSS3	269.3758
ACTA1	8.3758	ACTA1	12.987
ACTA2	2831.0342	ACTA2	38065.3582
removed	removed	ACTBL2	14.2438
ACTB	66726.8755	ACTB	129068.2866
removed	removed	ACTC1	27.2308
ACTG1	68122.3598	ACTG1	57344.3653
ACTG2	103.7873	ACTG2	8959.3632
ACTL6A	1223.9621	ACTL6A	1002.0947
ACTN1	3068.4632	ACTN1	7086.7197
ACTN4	9207.2724	ACTN4	4851.9229
ACTR10	1388.9294	ACTR10	2411.814
ACTR1A	2396.941	ACTR1A	1649.3506
ACTR1B	1032.4108	ACTR1B	471.7218
ACTR2	7879.461	ACTR2	6782.5723
ACTR3B	211.5805	ACTR3B	152.9116
ACTR3C	19.3008	ACTR3C	51.9481
ACTR3	2902.0393	ACTR3	4118.9778
ACTR5	240.7138	ACTR5	126.5186
ACTR6	704.6613	ACTR6	1295.3498
ACTR8	551.7116	ACTR8	354.4198
ACVR1B	1149.6723	ACVR1B	945.9573
removed	removed	ACVR1C	780.4776
ACVR1	642.3889	ACVR1	1583.1588
ACVR2A	261.1071	ACVR2A	913.2803
ACVR2B	239.6213	ACVR2B	542.1031
ACVRL1	221.7771	ACVRL1	405.111
ACY1	1033.3394	ACY1	260.5781
removed	removed	ACY3	20.5279
ACYP1	82.3015	ACYP1	87.5576
ACYP2	133.2848	ACYP2	441.5584
ADAL	293.1537	ADAL	224.5496
ADAM10	1628.1865	ADAM10	1578.1315
removed	removed	ADAM11	5.8651
ADAM12	700.2913	ADAM12	178.4667
ADAM15	2292.815	ADAM15	1289.4847
ADAM17	875.8194	ADAM17	496.0201
ADAM19	113.6198	ADAM19	56.1374
ADAM21	9.1042	removed	removed
removed	removed	ADAM22	5.4462
ADAM23	6.1908	ADAM23	5.0272
ADAM28	45.8849	ADAM28	111.018
ADAM32	19.665	ADAM32	18.0142
ADAM33	23.3066	ADAM33	180.5614
ADAM6	10725.579	ADAM6	8310.9342
ADAM8	143.4814	ADAM8	9.2166
ADAM9	3821.5586	ADAM9	2619.1873
ADAMDEC1	18.5725	removed	removed
ADAMTS10	39.6941	ADAMTS10	9.6355
ADAMTS12	42.6074	ADAMTS12	54.4617
ADAMTS13	45.8849	ADAMTS13	11.7302
ADAMTS14	15.6591	removed	removed
ADAMTS15	740.7138	ADAMTS15	10.8923
ADAMTS16	29.8616	ADAMTS16	5.0272
ADAMTS17	44.0641	ADAMTS17	30.1634
ADAMTS18	8.3758	ADAMTS18	23.8793
ADAMTS19	22.2141	removed	removed
ADAMTS1	345.9578	ADAMTS1	5142.8571
ADAMTS2	134.7414	ADAMTS2	86.3008
ADAMTS3	6.9192	ADAMTS3	180.1424
ADAMTS4	100.5098	ADAMTS4	33.5149
ADAMTS5	49.8908	ADAMTS5	3127.7755
ADAMTS6	21.1216	ADAMTS6	10.8923
ADAMTS7	38.2374	ADAMTS7	9.6355
ADAMTS8	14.5666	ADAMTS8	12.5681
ADAMTS9	90.3132	ADAMTS9	365.3121
ADAMTSL1	30.5899	ADAMTSL1	55.2995
ADAMTSL2	34.2316	ADAMTSL2	15.0817
ADAMTSL3	164.9672	ADAMTSL3	57.8132
ADAMTSL4	66.6424	ADAMTSL4	521.1563
ADAMTSL5	342.6803	ADAMTSL5	47.3398
