gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
C1orf53	32.5301	C1orf53	12.573
C1orf54	102.8112	C1orf54	180.5119
C1orf55	608.0321	C1orf55	622.3619
C1orf56	342.5703	C1orf56	131.4145
C1orf57	333.3333	C1orf57	308.9358
C1orf58	654.8956	C1orf58	368.1904
C1orf59	488.3534	C1orf59	198.0242
C1orf63	82.3293	C1orf63	378.9852
C1orf64	183.5341	C1orf64	30.0853
C1orf65	25.7028	removed	removed
C1orf66	585.5422	C1orf66	505.1639
C1orf69	89.1566	C1orf69	262.6852
removed	removed	C1orf70	7.6336
C1orf74	121.6867	C1orf74	68.2533
C1orf77	1746.5863	C1orf77	1332.7346
C1orf83	200.4016	C1orf83	247.4181
C1orf84	16.0482	C1orf84	17.2968
C1orf85	1782.3293	C1orf85	847.3282
C1orf86	261.8635	C1orf86	228.0198
C1orf88	428.9157	C1orf88	90.2559
C1orf89	24.498	C1orf89	42.2093
C1orf91	112.0321	C1orf91	158.2757
C1orf93	981.0723	C1orf93	493.4845
removed	removed	C1orf95	84.8675
C1orf96	691.1647	C1orf96	356.0844
C1orf97	254.2169	C1orf97	110.4625
C1orf9	1810.4418	C1orf9	976.6502
C20orf103	153.4137	C20orf103	28.7382
C20orf107	5.2209	removed	removed
C20orf108	10731.3253	C20orf108	3747.6426
C20orf111	625.7028	C20orf111	762.0117
C20orf112	1230.5221	C20orf112	970.8128
C20orf114	2909.6386	C20orf114	36.8208
C20orf117	644.9799	C20orf117	405.4782
removed	removed	C20orf118	37.9569
C20orf11	1313.6546	C20orf11	1427.0319
C20orf12	84.3373	C20orf12	96.0934
C20orf132	10.8434	C20orf132	57.0364
C20orf134	26.9076	C20orf134	13.471
C20orf135	32.5301	C20orf135	52.537
C20orf151	45.3815	C20orf151	39.9641
C20orf160	68.6747	C20orf160	286.4841
C20orf165	6.4257	C20orf165	6.2865
C20orf177	265.1245	C20orf177	222.7211
C20orf194	180.3213	C20orf194	1293.6686
removed	removed	C20orf195	5.3884
C20orf196	29.7189	C20orf196	78.5811
C20orf199	920.0803	C20orf199	1964.9753
C20orf202	5.6225	C20orf202	8.0826
removed	removed	C20orf203	16.1652
C20orf20	291.1647	C20orf20	199.3714
C20orf24	2348.0964	C20orf24	864.4095
removed	removed	C20orf26	8.0826
C20orf27	163.4538	C20orf27	707.6785
C20orf29	205.2209	C20orf29	231.7018
C20orf30	3393.5743	C20orf30	3004.4903
C20orf3	3479.1165	C20orf3	4470.5882
C20orf43	5048.996	C20orf43	2190.3907
C20orf46	7.6305	C20orf46	36.3718
C20orf4	1316.8675	C20orf4	1313.8752
C20orf54	330.1205	C20orf54	138.7517
C20orf72	541.7671	C20orf72	431.5222
C20orf7	86.747	C20orf7	229.4567
C20orf94	25.3012	C20orf94	16.6143
C20orf96	244.9799	C20orf96	191.7378
C21orf119	78.7149	C21orf119	102.3799
removed	removed	C21orf121	5.8374
C21orf122	14.4578	C21orf122	44.0054
C21orf15	11.6466	C21orf15	29.1872
C21orf2	188.755	C21orf2	315.6713
C21orf33	1851.8072	C21orf33	2185.9003
removed	removed	C21orf34	180.9609
C21orf45	491.9679	C21orf45	117.6471
removed	removed	C21orf49	9.4297
C21orf56	112.4498	C21orf56	94.2973
C21orf57	94.7791	C21orf57	136.9555
C21orf58	133.7349	C21orf58	54.3332
C21orf59	927.6145	C21orf59	461.1585
C21orf63	65.0602	C21orf63	735.0696
C21orf67	45.7831	C21orf67	55.2313
C21orf70	100.8032	C21orf70	114.0548
C21orf7	60.241	C21orf7	101.4818
C21orf82	6.0241	C21orf82	12.1239
removed	removed	C21orf88	29.6363
C21orf91	211.245	C21orf91	466.5469
C22orf13	4337.9839	C22orf13	2391.5043
C22orf23	20.8835	C22orf23	77.683
C22orf25	477.9116	C22orf25	527.1666
C22orf26	7.6305	C22orf26	23.3498
C22orf27	121.6867	C22orf27	118.0961
C22orf28	2167.4699	C22orf28	1523.1253
C22orf29	497.4498	C22orf29	774.6161
C22orf30	1325.7028	C22orf30	1044.0054
C22orf32	704.0161	C22orf32	834.7553
removed	removed	C22orf34	8.9807
C22orf36	153.4137	C22orf36	246.969
C22orf39	502.8032	C22orf39	762.0117
C22orf40	169.8795	C22orf40	163.8976
C22orf41	26.9076	removed	removed
C22orf45	13.6627	C22orf45	6.2865
C22orf46	439.759	C22orf46	476.8747
C22orf9	2036.5462	C22orf9	2133.8123
C2CD2L	636.8795	C2CD2L	262.1913
C2CD2	219.6787	C2CD2	2472.8334
C2CD3	782.7309	C2CD3	731.9264
removed	removed	C2CD4B	87.1127
C2CD4C	9.2369	C2CD4C	43.5564
C2CD4D	10.0402	C2CD4D	6.2865
C2orf15	130.5221	C2orf15	64.441
C2orf16	31.7269	C2orf16	51.639
C2orf18	1870.6827	C2orf18	1297.7099
C2orf24	1134.9398	C2orf24	1471.9353
C2orf27A	28.1124	C2orf27A	28.2892
C2orf28	2532.5582	C2orf28	2296.8792
C2orf29	744.5783	C2orf29	691.5132
C2orf34	54.2169	C2orf34	89.3579
C2orf3	443.3735	C2orf3	555.4558
C2orf40	12.4498	C2orf40	414.9079
C2orf42	132.5301	C2orf42	246.52
C2orf43	357.8313	C2orf43	339.9192
C2orf44	238.5542	C2orf44	285.586
C2orf47	273.494	C2orf47	259.093
C2orf49	73.0924	C2orf49	115.8509
C2orf50	22.0884	removed	removed
C2orf52	8.8353	removed	removed
C2orf54	30.9237	C2orf54	8.0826
C2orf55	481.9277	C2orf55	379.4342
C2orf56	262.6506	C2orf56	244.7238
removed	removed	C2orf58	23.3498
C2orf60	136.1446	C2orf60	215.5366
C2orf63	71.0843	C2orf63	107.3193
C2orf64	410.0402	C2orf64	513.2465
C2orf65	242.1687	C2orf65	47.1486
C2orf67	134.7149	C2orf67	428.6484
C2orf68	593.1727	C2orf68	870.229
C2orf69	528.1124	C2orf69	327.3462
removed	removed	C2orf71	6.2865
C2orf72	217.6707	C2orf72	147.2833
C2orf74	168.6747	C2orf74	408.1724
C2orf76	59.8394	C2orf76	88.4598
C2orf77	144.5783	C2orf77	62.4158
C2orf79	298.3936	C2orf79	252.3574
C2orf7	413.253	C2orf7	427.93
C2orf81	30.1526	C2orf81	65.6309
removed	removed	C2orf82	13.471
removed	removed	C2orf84	33.2286
C2orf86	92.7711	C2orf86	220.0269
C2orf88	22.49	C2orf88	532.106
removed	removed	C2orf89	47.5977
C2	331.3253	C2	792.3709
C3AR1	273.494	C3AR1	491.2438
C3orf10	4288.3534	C3orf10	3187.2474
C3orf14	563.8554	C3orf14	110.9115
C3orf15	82.3293	C3orf15	168.837
C3orf17	730.1205	C3orf17	968.5676
C3orf18	257.8313	C3orf18	279.2995
C3orf19	338.5542	C3orf19	470.1392
C3orf1	1509.2369	C3orf1	1060.1706
C3orf21	434.1365	C3orf21	264.9304
C3orf23	496.7871	C3orf23	450.3817
C3orf26	781.5261	C3orf26	361.9219
C3orf31	124.8996	C3orf31	205.6578
C3orf32	7.2289	C3orf32	22.9008
C3orf33	112.4498	C3orf33	126.6278
C3orf34	95.1807	C3orf34	50.7409
removed	removed	C3orf35	11.6749
C3orf36	12.0482	removed	removed
C3orf37	1214.0562	C3orf37	1026.493
C3orf38	381.9277	C3orf38	339.4701
C3orf39	1699.5984	C3orf39	611.1361
removed	removed	C3orf42	29.1872
C3orf47	16.8675	C3orf47	49.3938
removed	removed	C3orf50	9.4297
C3orf52	191.9679	C3orf52	37.2699
C3orf54	20.0803	C3orf54	45.8015
C3orf55	49.7992	C3orf55	195.33
C3orf57	55.8233	C3orf57	126.1787
C3orf58	117.2691	C3orf58	774.1356
C3orf59	48.1928	C3orf59	176.4706
C3orf62	150.6024	C3orf62	158.9582
C3orf63	1785.2651	C3orf63	1964.634
C3orf64	398.3936	C3orf64	848.6753
C3orf67	161.8474	C3orf67	13.9201
C3orf70	46.988	C3orf70	113.1567
C3orf71	30.5221	C3orf71	44.4544
C3orf75	579.5181	C3orf75	408.1724
C3	2215.6627	C3	21532.555
C4A	8000.6627	C4A	3976.9735
C4BPA	11.6466	C4BPA	102.8289
C4BPB	126.1044	C4BPB	14.8181
C4orf10	261.2289	C4orf10	340.714
C4orf12	11.245	C4orf12	47.1486
C4orf14	573.8956	C4orf14	796.5873
C4orf19	1094.7831	C4orf19	281.1405
C4orf21	107.2289	C4orf21	85.3166
C4orf23	158.6345	C4orf23	281.9937
C4orf27	378.3133	C4orf27	348.0018
C4orf29	110.8434	C4orf29	122.5864
C4orf31	14.4578	C4orf31	251.4594
C4orf32	649.3976	C4orf32	703.1881
C4orf33	144.5783	C4orf33	147.2833
C4orf34	1157.0281	C4orf34	650.2021
C4orf36	6.0241	C4orf36	11.2259
removed	removed	C4orf38	15.7162
removed	removed	C4orf39	28.2892
C4orf3	2136.5462	C4orf3	2985.1819
C4orf41	881.5261	C4orf41	1077.683
C4orf42	487.5502	C4orf42	362.8199
C4orf43	398.3936	C4orf43	255.5007
C4orf46	294.3775	C4orf46	105.0741
C4orf47	10.0402	C4orf47	12.573
C4orf48	127.3092	C4orf48	11.2259
removed	removed	C4orf49	36.8208
C4orf52	272.6908	C4orf52	444.0952
C4orf7	46.1847	C4orf7	125.2806
C5AR1	325.3012	C5AR1	374.9439
C5orf13	1009.2369	C5orf13	612.4832
C5orf15	2324.0964	C5orf15	1245.6219
C5orf22	659.8394	C5orf22	430.1751
C5orf23	63.0522	C5orf23	414.4589
C5orf24	1474.2972	C5orf24	1094.7463
C5orf25	44.1767	C5orf25	235.2941
removed	removed	C5orf27	26.044
C5orf28	431.7269	C5orf28	227.2115
C5orf30	1181.5261	C5orf30	496.1832
C5orf32	1478.7149	C5orf32	1654.2434
C5orf33	649.7992	C5orf33	634.9349
C5orf34	126.506	C5orf34	43.1073
C5orf35	153.4137	C5orf35	170.6331
C5orf36	90.3614	C5orf36	47.5977
C5orf38	161.8474	C5orf38	47.1486
C5orf39	8.4337	C5orf39	57.4764
C5orf41	255.0201	C5orf41	688.37
C5orf42	842.1687	C5orf42	606.1967
C5orf43	1412.8514	C5orf43	811.4055
C5orf44	512.7791	C5orf44	391.5581
C5orf45	87.1687	C5orf45	186.5649
C5orf46	14.0562	C5orf46	18.4104
C5orf49	19.2771	removed	removed
C5orf4	122.0884	C5orf4	3144.1401
C5orf51	960.6426	C5orf51	751.2348
C5orf53	114.0562	C5orf53	524.9214
C5orf54	102.8112	C5orf54	140.0988
C5orf55	98.3936	C5orf55	82.1733
C5orf56	12.0683	C5orf56	159.542
C5orf62	442.1687	C5orf62	2554.1087
C5	162.249	C5	216.4347
C6orf105	12.4498	C6orf105	72.2946
C6orf106	3589.5582	C6orf106	3820.3862
C6orf108	57.4297	C6orf108	194.432
C6orf114	20.0803	C6orf114	12.573
C6orf115	501.6064	C6orf115	260.8891
C6orf120	631.8956	C6orf120	1126.7265
removed	removed	C6orf122	16.7625
C6orf123	5.2209	C6orf123	8.9807
removed	removed	C6orf124	24.6969
C6orf125	1206.2771	C6orf125	436.3808
C6orf126	51.004	removed	removed
C6orf127	14.4578	removed	removed
C6orf129	510.0402	C6orf129	136.0575
C6orf130	489.1486	C6orf130	440.8981
C6orf132	148.5944	C6orf132	101.0328
C6orf134	428.1124	C6orf134	229.9057
C6orf136	310.4418	C6orf136	218.6798
C6orf138	6.4257	C6orf138	22.4517
C6orf141	93.1727	C6orf141	60.6197
removed	removed	C6orf142	5.8374
C6orf145	166.6667	C6orf145	2203.4127
C6orf147	16.0643	C6orf147	8.6574
C6orf150	55.0201	C6orf150	40.8621
C6orf153	947.7912	C6orf153	559.048
C6orf154	44.9799	C6orf154	7.6336
removed	removed	C6orf155	54.3332
removed	removed	C6orf15	17.0633
C6orf162	60.6265	C6orf162	127.8985
removed	removed	C6orf163	15.2672
removed	removed	C6orf164	13.9964
C6orf165	18.5422	C6orf165	9.4567
C6orf167	377.51	C6orf167	248.3161
C6orf168	163.0522	C6orf168	107.7683
C6orf170	82.3293	C6orf170	114.5038
C6orf174	20.4819	C6orf174	184.185
C6orf176	57.6506	removed	removed
C6orf182	81.5261	C6orf182	118.9942
removed	removed	C6orf186	12.1419
C6orf192	314.4578	C6orf192	470.5882
C6orf1	539.759	C6orf1	285.137
C6orf201	7.2289	C6orf201	12.1284
C6orf203	126.506	C6orf203	231.7018
C6orf204	7.2289	C6orf204	65.11
removed	removed	C6orf208	7.9344
C6orf211	1301.6064	C6orf211	634.9349
removed	removed	C6orf217	7.1846
C6orf223	14.0562	removed	removed
C6orf225	100.8032	C6orf225	246.52
C6orf226	120.0803	C6orf226	77.2339
C6orf26	48.1928	C6orf26	18.8864
C6orf27	424.0964	C6orf27	41.7602
C6orf35	184.739	C6orf35	476.4257
removed	removed	C6orf41	7.6336
C6orf47	554.2169	C6orf47	427.0319
C6orf48	791.5663	C6orf48	1533.4531
C6orf52	24.0964	removed	removed
C6orf57	34.5382	C6orf57	123.4845
removed	removed	C6orf59	7.6336
C6orf62	2385.6827	C6orf62	2524.5532
C6orf64	1217.6707	C6orf64	607.5438
C6orf70	196.7871	C6orf70	345.3076
C6orf72	730.9237	C6orf72	1030.9834
C6orf89	3067.8715	C6orf89	3860.3502
C6orf97	224.8996	C6orf97	276.1563
removed	removed	C6	91.154
C7orf10	36.5462	C7orf10	28.2892
C7orf11	305.2209	C7orf11	267.1756
C7orf13	68.2731	C7orf13	94.7463
C7orf23	305.996	C7orf23	282.8918
C7orf25	406.0241	C7orf25	351.145
C7orf26	489.9598	C7orf26	484.0593
C7orf27	1248.1928	C7orf27	682.5326
C7orf28A	1018.4739	C7orf28A	903.9066
C7orf28B	552.2088	C7orf28B	254.6026
C7orf29	174.6988	C7orf29	165.2447
C7orf30	242.1687	C7orf30	307.5887
C7orf31	86.747	C7orf31	115.8509
C7orf36	157.8313	C7orf36	165.6938
C7orf40	182.7309	C7orf40	311.181
C7orf41	638.5542	C7orf41	6090.705
C7orf42	3003.2129	C7orf42	2835.6533
C7orf43	520.8835	C7orf43	183.6551
C7orf44	1253.012	C7orf44	664.1221
C7orf46	47.7912	C7orf46	74.5397
C7orf47	189.5582	C7orf47	105.5231
C7orf49	443.7108	C7orf49	534.6924
C7orf50	1237.751	C7orf50	679.8383
removed	removed	C7orf51	35.9228
removed	removed	C7orf53	20.2066
C7orf55	147.3896	C7orf55	220.925
C7orf58	79.1165	C7orf58	2153.1208
C7orf59	926.1044	C7orf59	798.3835
C7orf60	205.6225	C7orf60	256.8478
C7orf61	5.6225	C7orf61	6.7355
C7orf63	31.3253	C7orf63	144.5891
C7orf64	161.8474	C7orf64	264.0323
C7orf68	242.9719	C7orf68	488.1006
C7orf70	506.0241	C7orf70	377.189
C7	61.0442	C7	986.0799
C8ORFK29	9.2369	removed	removed
C8orf30A	1032.5301	C8orf30A	382.1284
removed	removed	C8orf31	10.7768
C8orf33	1755.8233	C8orf33	1174.2254
removed	removed	C8orf34	54.3332
C8orf37	70.6827	C8orf37	69.6004
C8orf38	366.2651	C8orf38	150.4266
C8orf39	6.0241	removed	removed
C8orf40	810.0402	C8orf40	656.4885
C8orf41	453.1124	C8orf41	242.2317
C8orf42	544.9799	C8orf42	374.0458
C8orf44	23.2932	C8orf44	39.0795
C8orf45	81.1245	C8orf45	30.9834
C8orf46	7.2289	C8orf46	27.3911
removed	removed	C8orf47	19.3085
C8orf48	32.5301	C8orf48	30.0853
C8orf4	1240.5622	C8orf4	1383.9246
C8orf51	96.3855	C8orf51	26.044
C8orf55	1072.2892	C8orf55	725.6399
C8orf58	170.2811	C8orf58	254.1536
C8orf59	657.5703	C8orf59	497.7818
C8orf73	228.5141	C8orf73	74.0907
C8orf76	388.755	C8orf76	285.137
C8orf79	150.2008	C8orf79	350.696
removed	removed	C8orf80	16.1652
C8orf83	636.5462	C8orf83	563.5384
C8orf84	36.1446	C8orf84	161.6524
C8orf85	173.494	C8orf85	256.3987
C9orf100	160.5181	C9orf100	51.9443
C9orf102	73.0884	C9orf102	164.6834
C9orf103	212.0482	C9orf103	115.4019
C9orf109	5.6225	C9orf109	29.1872
C9orf110	50.2008	C9orf110	265.8285
C9orf114	389.2289	C9orf114	358.6215
C9orf116	225.7028	C9orf116	41.7602
C9orf117	5.6225	removed	removed
C9orf119	396.3855	C9orf119	282.8918
C9orf122	24.0964	C9orf122	24.6969
C9orf123	535.743	C9orf123	713.5159
C9orf125	33.7349	C9orf125	164.3467
C9orf129	133.1084	C9orf129	72.6987
C9orf130	10.0281	C9orf130	106.3179
C9orf140	494.7791	C9orf140	82.1733
C9orf142	322.8916	C9orf142	166.1428
C9orf150	576.3052	C9orf150	511.0013
C9orf152	465.4618	C9orf152	171.5312
C9orf156	165.8635	C9orf156	301.7512
C9orf167	59.4378	C9orf167	95.6444
C9orf169	65.9076	C9orf169	5.357
C9orf16	544.1767	C9orf16	603.0534
C9orf171	18.0723	removed	removed
C9orf172	10.4418	removed	removed
C9orf21	106.4257	C9orf21	195.33
C9orf23	267.0683	C9orf23	359.2277
removed	removed	C9orf24	8.9807
C9orf25	320.0803	C9orf25	547.3731
C9orf30	261.0763	C9orf30	173.1747
C9orf37	114.8594	C9orf37	122.1374
C9orf3	150.4177	C9orf3	352.7436
C9orf40	83.5341	C9orf40	135.1594
C9orf41	154.6185	C9orf41	146.8343
C9orf43	19.6787	C9orf43	10.7768
C9orf45	31.7269	C9orf45	190.3907
C9orf46	587.9518	C9orf46	229.9057
C9orf47	26.5622	C9orf47	6.2865
C9orf5	1055.8233	C9orf5	3226.3134
C9orf64	563.0522	C9orf64	322.4068
C9orf66	46.1847	C9orf66	29.1872
C9orf68	11.245	C9orf68	50.2919
C9orf69	509.2369	C9orf69	546.4751
C9orf6	285.9438	C9orf6	412.2137
C9orf72	126.506	C9orf72	312.5281
C9orf78	1147.7912	C9orf78	1105.0741
C9orf7	753.4137	C9orf7	311.63
C9orf80	131.3253	C9orf80	183.2061
C9orf82	307.2289	C9orf82	239.3354
C9orf84	18.0723	removed	removed
C9orf85	80.7229	C9orf85	164.3467
C9orf86	1379.9197	C9orf86	1212.8424
C9orf89	351.4056	C9orf89	236.1922
C9orf91	865.0602	C9orf91	1050.7409
C9orf93	93.9759	C9orf93	80.3772
C9orf95	450.6024	C9orf95	603.0534
C9orf96	9.2369	C9orf96	11.2259
C9orf98	47.3896	C9orf98	12.573
C9orf9	219.2771	C9orf9	200.2694
CA11	5.6225	CA11	194.432
CA12	58565.0602	CA12	1801.0777
CA13	10.4418	CA13	112.8469
CA14	21.6867	CA14	17.0633
CA2	102.008	CA2	193.5339
removed	removed	CA3	237.8491
removed	removed	CA4	722.9457
CA5BP	268.2731	CA5BP	188.1455
CA5B	358	CA5B	386.5065
removed	removed	CA6	7.6336
CA8	8.8353	CA8	167.9389
CA9	17.0964	removed	removed
CAB39L	175.1004	CAB39L	1345.3076
CAB39	1602.8112	CAB39	1917.3776
CABC1	1239.0683	CABC1	2075.7701
CABIN1	1670.6827	CABIN1	1312.079
CABLES1	423.6948	CABLES1	1217.7818
CABLES2	591.9679	CABLES2	169.286
removed	removed	CABP1	41.7602
removed	removed	CABP4	8.6215
removed	removed	CABP7	5.7476
CABYR	178.7149	CABYR	78.5811
CACHD1	168.6747	CACHD1	1635.833
CACNA1A	55.0201	CACNA1A	35.0247
CACNA1C	118.4659	CACNA1C	358.7696
CACNA1D	350.2008	CACNA1D	42.6583
removed	removed	CACNA1F	13.9201
CACNA1G	8.4337	CACNA1G	66.4571
CACNA1H	60.241	CACNA1H	122.5864
CACNA1I	6.0241	CACNA1I	5.8374
CACNA2D1	16.8675	CACNA2D1	273.4621
CACNA2D2	1550.2008	CACNA2D2	105.0741
CACNA2D3	8.8353	CACNA2D3	9.4297
CACNA2D4	28.1124	CACNA2D4	123.4845
CACNB1	44.1767	CACNB1	123.4845
CACNB2	12.0482	CACNB2	32.3305
CACNB3	591.1647	CACNB3	395.5995
CACNB4	7.2289	CACNB4	92.5011
CACNG1	123.2932	removed	removed
CACNG4	5610.8434	CACNG4	196.2281
CACYBP	2427.3092	CACYBP	938.0332
CADM1	1015.6627	CADM1	759.7665
CADM2	104.4177	CADM2	58.3745
CADM3	37.2651	CADM3	231.4145
CADM4	451.004	CADM4	304.8945
CADPS2	152.6104	CADPS2	697.7997
CAD	1064.257	CAD	1065.11
CALB2	171.8876	CALB2	2176.0216
CALCOCO1	1075.1004	CALCOCO1	3266.2775
CALCOCO2	3385.5422	CALCOCO2	2955.5456
CALCRL	836.1446	CALCRL	1044.9035
removed	removed	CALCR	11.6749
CALD1	4330.1205	CALD1	7536.1473
CALHM2	877.51	CALHM2	866.6367
CALM1	3417.6707	CALM1	9342.6134
CALM2	7940.5622	CALM2	10023.7988
CALM3	6052.2088	CALM3	3417.1531
CALML3	89.5582	CALML3	148.1814
CALML4	184.739	CALML4	269.4207
CALML5	10.4418	CALML5	48.4957
removed	removed	CALN1	19.7575
CALR	27448.5944	CALR	7759.7665
CALU	5077.1084	CALU	3393.3543
CAMK1D	94.7791	CAMK1D	100.5837
CAMK1	196.4458	CAMK1	680.6691
CAMK2A	8.0321	CAMK2A	5.8374
CAMK2B	57.8313	CAMK2B	57.0274
CAMK2D	309.6386	CAMK2D	1251.0103
CAMK2G	513.253	CAMK2G	912.8873
CAMK2N1	1016.8675	CAMK2N1	722.9457
CAMK2N2	49.7992	removed	removed
removed	removed	CAMKK1	379.4342
CAMKK2	1389.5582	CAMKK2	2268.5227
CAMLG	1171.4859	CAMLG	1061.0687
CAMP	22.0884	removed	removed
CAMSAP1L1	1187.9518	CAMSAP1L1	1364.6161
CAMSAP1	463.8554	CAMSAP1	1022.9008
CAMTA1	366.6667	CAMTA1	452.6269
CAMTA2	776.7068	CAMTA2	1496.1832
CAND1	4412.0482	CAND1	2350.696
CAND2	105.2209	CAND2	121.6884
CANT1	3324.498	CANT1	1057.4764
CANX	26747.3896	CANX	14108.2173
CAP1	8277.9116	CAP1	6055.6803
CAP2	813.6546	CAP2	916.9286
CAPG	4782.3293	CAPG	1247.4181
CAPN10	81.9357	CAPN10	146.511
CAPN11	15.6627	CAPN11	116.749
CAPN12	59.1767	CAPN12	72.3215
CAPN13	1041.7671	CAPN13	72.7436
CAPN1	5495.9839	CAPN1	2686.1248
CAPN2	1605.2209	CAPN2	5974.8541
CAPN3	9.6386	CAPN3	183.0175
CAPN5	118.0723	CAPN5	437.3597
CAPN6	572.2892	CAPN6	447.2384
CAPN7	1187.9518	CAPN7	1041.3112
CAPN8	882.7309	CAPN8	92.0521
CAPN9	28.5141	CAPN9	5.8374
CAPNS1	9582.3293	CAPNS1	8501.5716
CAPRIN1	7019.2771	CAPRIN1	5431.5222
CAPRIN2	313.6546	CAPRIN2	489.8967
CAPS2	19.6787	CAPS2	46.6996
CAPS	680.3213	CAPS	83.9695
CAPZA1	3571.4859	CAPZA1	2176.0216
CAPZA2	2126.1044	CAPZA2	2211.0463
removed	removed	CAPZA3	10.3278
CAPZB	3289.9598	CAPZB	3641.2214
CARD10	1269.8795	CARD10	458.0153
CARD11	42.9719	CARD11	61.5177
CARD14	23.2932	CARD14	68.7023
CARD16	44.9799	CARD16	181.41
CARD6	116.8675	CARD6	559.048
CARD8	516.4659	CARD8	993.7135
CARD9	21.2851	CARD9	60.6197
CARHSP1	1429.7871	CARHSP1	1516.4975
CARKD	598.3936	CARKD	1134.7104
CARM1	1058.2329	CARM1	768.2982
CARNS1	5.2209	CARNS1	35.9228
CARS2	700.2369	CARS2	659.8249
CARS	936.5462	CARS	1211.0463
CASC1	61.0442	CASC1	29.1872
CASC2	53.8153	CASC2	55.6803
CASC3	3729.7189	CASC3	3007.6336
CASC4	4772.2892	CASC4	2469.6902
CASC5	577.51	CASC5	15.7162
CASD1	1445.7831	CASD1	580.1527
removed	removed	CASKIN1	7.1711
CASKIN2	1203.0522	CASKIN2	1094.4589
CASK	1916.4659	CASK	1074.5397
CASP10	113.253	CASP10	455.7701
removed	removed	CASP12	12.1239
CASP1	162.249	CASP1	700.943
CASP2	2108.0321	CASP2	798.8325
CASP3	717.6707	CASP3	500.6736
CASP4	462.249	CASP4	1012.573
CASP6	773.494	CASP6	273.013
CASP7	1081.9277	CASP7	606.1967
CASP8AP2	341.3655	CASP8AP2	533.9021
CASP8	345.7831	CASP8	490.7948
CASP9	253.8153	CASP9	260.8891
removed	removed	CASQ1	7.1846
CASQ2	27.7108	CASQ2	315.6713
CASS4	36.9478	CASS4	48.0467
CAST	7099.4337	CAST	5822.6134
CASZ1	608.8353	CASZ1	521.7782
CATSPER2P1	58.1084	CATSPER2P1	37.8985
CATSPER2	21.2851	CATSPER2	44.4544
CATSPER3	6.8273	CATSPER3	9.9551
removed	removed	CATSPERB	31.8815
CATSPERG	92.7711	CATSPERG	24.2479
CAT	3261.8474	CAT	8579.7036
CAV1	854.2169	CAV1	26252.3574
CAV2	261.4458	CAV2	6830.714
CBARA1	1028.5141	CBARA1	1333.1837
CBFA2T2	526.506	CBFA2T2	773.2375
CBFA2T3	192.7711	CBFA2T3	228.1096
CBFB	1053.8153	CBFB	639.4252
CBLB	345.3815	CBLB	570.2739
CBLC	289.1566	CBLC	110.9115
CBLL1	801.6064	CBLL1	625.9542
CBLN1	16.0643	CBLN1	37.2699
CBLN3	40.1606	CBLN3	104.6251
CBLN4	6.4257	CBLN4	42.2093
CBL	604.4177	CBL	1205.2088
CBR1	83.4498	CBR1	586.7984
CBR3	118.4739	CBR3	183.2061
CBR4	492.7711	CBR4	481.3651
CBS	17.6707	CBS	98.7876
CBWD1	1509.2369	CBWD1	521.3291
CBWD2	536.1446	CBWD2	404.5802
CBWD3	981.5261	CBWD3	283.7899
CBWD6	146.5863	CBWD6	74.5397
CBX1	2345.3815	CBX1	1404.1311
CBX2	113.6546	CBX2	48.4957
CBX3	5215.6627	CBX3	2023.7988
CBX4	730.1205	CBX4	211.4953
CBX5	3091.1647	CBX5	2582.8469
CBX6	166.2651	CBX6	587.7863
CBX7	411.6466	CBX7	2090.2559
CBX8	89.1566	CBX8	55.2313
CBY1	553.3936	CBY1	609.2411
CC2D1A	1353.4137	CC2D1A	871.1271
CC2D1B	872.2892	CC2D1B	732.8244
CC2D2A	94.7791	CC2D2A	597.216
removed	removed	CC2D2B	10.7768
CCAR1	1595.1807	CCAR1	909.295
CCBE1	10.0402	CCBE1	123.4845
CCBL1	130.5221	CCBL1	106.8702
CCBL2	605.245	CCBL2	678.1096
CCBP2	13.253	CCBP2	121.2393
CCDC101	216.4659	CCDC101	257.7458
CCDC102A	65.0602	CCDC102A	122.5864
CCDC102B	69.4779	CCDC102B	67.8042
CCDC103	216.8675	CCDC103	80.8262
CCDC104	779.1165	CCDC104	732.8244
CCDC106	295.9839	CCDC106	193.5339
CCDC107	326.8072	CCDC107	748.6843
CCDC109A	475.502	CCDC109A	533.004
CCDC109B	597.1888	CCDC109B	260.4401
CCDC110	34.1365	CCDC110	34.1266
CCDC111	193.8594	CCDC111	243.1388
CCDC112	245.3815	CCDC112	163.4486
CCDC113	293.1727	CCDC113	195.33
CCDC114	7.6305	CCDC114	11.2259
CCDC115	803.2129	CCDC115	1006.2865
removed	removed	CCDC116	6.2865
CCDC117	1114.0562	CCDC117	695.5546
CCDC11	41.7671	CCDC11	19.7575
CCDC120	364.257	CCDC120	369.1064
CCDC121	68.6747	CCDC121	163.4486
CCDC122	10.4418	CCDC122	89.8069
CCDC123	469.4779	CCDC123	384.8226
CCDC124	762.249	CCDC124	513.6956
CCDC125	716.0643	CCDC125	288.2802
CCDC126	434.5382	CCDC126	149.0795
CCDC127	386.3454	CCDC127	395.5995
removed	removed	CCDC129	34.1266
CCDC12	280.3213	CCDC12	339.0211
CCDC130	272.2892	CCDC130	332.2856
CCDC132	568.6747	CCDC132	543.7809
