gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
ACOT1	456.6265	ACOT1	1471.9353
ACOT2	251.004	ACOT2	806.4661
ACOT4	489.9598	ACOT4	212.8424
removed	removed	ACOT6	13.022
ACOT7	424.8996	ACOT7	198.9223
ACOT8	665.5984	ACOT8	249.771
ACOT9	148.996	ACOT9	629.0974
ACOX1	1246.988	ACOX1	3013.471
ACOX2	644.5783	ACOX2	351.145
ACOX3	435.743	ACOX3	502.9187
ACP1	1491.9679	ACP1	1136.0575
ACP2	567.8715	ACP2	1071.8455
ACP5	2003.6145	ACP5	543.7809
ACP6	940.1606	ACP6	322.8559
ACPL2	253.012	ACPL2	297.2609
ACPP	18.0723	ACPP	10.3278
ACRBP	19.2771	ACRBP	27.8401
removed	removed	ACRC	14.3691
removed	removed	ACR	7.6336
removed	removed	ACSBG1	14.3691
ACSF2	2046.5863	ACSF2	1478.2218
ACSF3	400	ACSF3	314.3242
ACSL1	823.2932	ACSL1	35066.4571
ACSL3	6420.8835	ACSL3	2409.9686
ACSL4	404.0161	ACSL4	1862.1464
ACSL5	99.5984	ACSL5	882.3529
ACSL6	181.1245	ACSL6	5.8374
ACSM1	38.9558	ACSM1	23.3498
ACSM3	10.245	ACSM3	64.9798
removed	removed	ACSM5	158.5092
ACSS1	455.8233	ACSS1	729.6812
ACSS2	1017.2691	ACSS2	3129.322
ACSS3	351.004	ACSS3	249.6632
ACTA1	12.0482	removed	removed
ACTA2	4278.8313	ACTA2	16951.3606
ACTBL2	9.6386	removed	removed
ACTB	104388.755	ACTB	70203.8617
ACTG1	80738.1526	ACTG1	47939.3803
ACTG2	59.0361	ACTG2	3226.7625
ACTL6A	1163.4538	ACTL6A	562.6403
ACTN1	7823.2932	ACTN1	8806.0171
ACTN4	10640.8233	ACTN4	9910.1661
ACTR10	703.6145	ACTR10	1011.6749
ACTR1A	2587.5502	ACTR1A	3226.7625
ACTR1B	1085.9438	ACTR1B	1475.9767
ACTR2	6274.6988	ACTR2	3940.2784
ACTR3B	112.0482	ACTR3B	122.5864
ACTR3C	62.249	ACTR3C	17.0633
ACTR3	3154.6185	ACTR3	2167.9389
ACTR5	361.4458	ACTR5	164.7957
ACTR6	502.008	ACTR6	521.3291
ACTR8	442.1687	ACTR8	469.6902
ACVR1B	999.5984	ACVR1B	1210.1482
removed	removed	ACVR1C	1602.6044
ACVR1	686.3454	ACVR1	991.4683
ACVR2A	95.1807	ACVR2A	501.1226
ACVR2B	245.3815	ACVR2B	384.8226
ACVRL1	387.1486	ACVRL1	1063.7629
ACY1	1302.4739	ACY1	794.6385
removed	removed	ACY3	12.573
ACYP1	31.3253	ACYP1	74.0907
ACYP2	97.1888	ACYP2	209.2501
removed	removed	ADAD2	6.7355
ADAL	411.6466	ADAL	197.5752
ADAM10	1273.8956	ADAM10	1327.7952
removed	removed	ADAM11	16.6143
ADAM12	1396.7871	ADAM12	1548.7203
ADAM15	6822.0884	ADAM15	3078.6125
ADAM17	653.8153	ADAM17	697.3507
ADAM19	492.7711	ADAM19	91.6031
ADAM22	93.5743	ADAM22	67.8042
ADAM23	9.6386	ADAM23	9.8788
ADAM28	56.2249	ADAM28	64.661
ADAM32	129.3173	ADAM32	40.4131
ADAM33	44.9799	ADAM33	886.3943
ADAM6	2954.008	ADAM6	68355.8689
ADAM8	254.6185	ADAM8	59.2726
ADAM9	601.6064	ADAM9	1535.6982
ADAMDEC1	21.6867	removed	removed
ADAMTS10	30.1205	ADAMTS10	331.8366
ADAMTS12	326.1044	ADAMTS12	338.123
ADAMTS13	32.1285	ADAMTS13	62.8648
ADAMTS14	65.8635	ADAMTS14	7.1846
ADAMTS15	899.5984	ADAMTS15	369.1064
ADAMTS16	7.6305	ADAMTS16	115.4019
ADAMTS17	7.2289	ADAMTS17	26.493
ADAMTS18	10.4418	ADAMTS18	104.6251
ADAMTS19	159.4378	removed	removed
ADAMTS1	783.5341	ADAMTS1	4845.0831
ADAMTS2	335.3414	ADAMTS2	1216.8837
ADAMTS3	22.8916	ADAMTS3	67.3552
ADAMTS4	2317.6707	ADAMTS4	332.7346
ADAMTS5	166.6667	ADAMTS5	3348.0018
ADAMTS6	50.2008	ADAMTS6	28.2892
ADAMTS7	120.0803	ADAMTS7	140.0988
ADAMTS8	6.0241	ADAMTS8	19.3085
ADAMTS9	285.1406	ADAMTS9	627.7503
ADAMTSL1	122.0884	ADAMTSL1	151.3247
ADAMTSL2	85.5422	ADAMTSL2	65.559
ADAMTSL3	39.3574	ADAMTSL3	321.5088
ADAMTSL4	463.4538	ADAMTSL4	782.6673
ADAMTSL5	197.992	ADAMTSL5	21.1046
ADAP1	336.9076	ADAP1	84.1311
ADAP2	353.4137	ADAP2	386.1697
ADARB1	251.8072	ADARB1	818.59
ADARB2	5.2209	ADARB2	8.0826
ADAR	11183.1325	ADAR	5691.9623
ADAT1	459.8394	ADAT1	325.101
ADAT2	36.1446	ADAT2	175.1235
ADAT3	7.6305	ADAT3	15.7162
ADA	98.3936	ADA	150.4266
ADCK1	144.5783	ADCK1	210.1482
ADCK2	1692.7711	ADCK2	760.6646
ADCK4	542.5703	ADCK4	482.2631
ADCK5	114.8594	ADCK5	65.559
ADCY1	678.3133	ADCY1	257.7458
ADCY2	47.3896	ADCY2	57.4764
ADCY3	1419.7831	ADCY3	1506.1159
ADCY4	77.51	ADCY4	679.8383
ADCY5	71.4859	ADCY5	919.6228
ADCY6	1488.755	ADCY6	3002.2452
ADCY7	277.1084	ADCY7	806.4661
ADCY9	655.4217	ADCY9	807.3642
removed	removed	ADCYAP1R1	42.2093
ADC	100.8032	ADC	111.8096
ADD1	4510.4418	ADD1	7096.9915
ADD2	25.3012	ADD2	63.7629
ADD3	355.0201	ADD3	2514.1446
removed	removed	ADH1A	249.6632
ADH1B	17.6707	ADH1B	25471.0373
ADH1C	40.1606	ADH1C	356.9825
removed	removed	ADH4	40.8621
ADH5	1349.3976	ADH5	3442.2991
ADH7	9.2369	removed	removed
ADHFE1	33.3333	ADHFE1	366.8612
ADI1	1108.4337	ADI1	1929.5016
removed	removed	ADIPOQ	29523.1253
ADIPOR1	5287.1486	ADIPOR1	2346.6547
ADIPOR2	3581.5261	ADIPOR2	6460.2604
ADK	450.2008	ADK	355.1863
ADM2	255.0201	ADM2	59.7216
ADM	52.2088	ADM	1556.8029
ADNP2	494.7791	ADNP2	655.5905
ADNP	6194.3775	ADNP	2486.3044
ADORA1	3779.5181	ADORA1	471.0373
ADORA2A	1810.0321	ADORA2A	71.3965
ADORA2B	159.0361	ADORA2B	79.0301
ADORA3	338.9558	ADORA3	264.0323
ADO	528.5141	ADO	591.8276
ADPGK	1209.0241	ADPGK	872.537
