gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
ACOT2	351.4506	ACOT2	252.7463
ACOT4	133.8264	ACOT4	66.7383
ACOT7	406.8989	ACOT7	158.9163
ACOT8	203.4745	ACOT8	194.7171
ACOT9	497.3672	ACOT9	338.6471
ACOX1	4629.7011	ACOX1	1703.6359
ACOX2	150.9195	ACOX2	208.144
ACOX3	1063.9407	ACOX3	703.7251
ACOXL	7.5043	removed	removed
ACP1	1637.6015	ACP1	1398.1994
ACP2	1434.9858	ACP2	647.5593
ACP5	1400.7996	ACP5	772.4457
ACP6	465.2656	ACP6	164.5329
ACPL2	611.5991	ACPL2	479.7225
ACPP	112.9812	ACPP	27.4222
ACRBP	17.51	ACRBP	12.8851
ACRC	12.5071	ACRC	33.0387
removed	removed	ACR	5.6166
ACSBG1	6.2536	ACSBG1	8.5901
removed	removed	ACSBG2	7.9293
ACSF2	3602.5106	ACSF2	733.46
ACSF3	402.313	ACSF3	367.7212
ACSL1	3372.7586	ACSL1	2662.9223
ACSL3	2236.6934	ACSL3	4330.3874
ACSL4	710.4055	ACSL4	1188.7338
ACSL5	390.2228	ACSL5	781.0358
removed	removed	ACSL6	13.2155
ACSM1	74.209	ACSM1	144.3793
ACSM3	22.542	ACSM3	211.9898
ACSM5	32.5186	ACSM5	54.5139
ACSS1	2234.192	ACSS1	1022.5489
ACSS2	851.3193	ACSS2	1234.988
ACSS3	260.1485	ACSS3	602.2962
ACTA1	27.5157	removed	removed
ACTA2	13254.9122	ACTA2	19724.262
removed	removed	ACTBL2	13.8763
ACTB	113526.4714	ACTB	43672.9165
ACTG1	125883.9421	ACTG1	45347.9805
ACTG2	756.265	ACTG2	3748.5752
ACTL6A	1158.1611	ACTL6A	917.8161
ACTN1	7602.6732	ACTN1	7947.7988
ACTN2	251.3935	removed	removed
ACTN4	9355.6822	ACTN4	9065.2614
ACTR10	944.7059	ACTR10	1101.8419
ACTR1A	4042.7244	ACTR1A	1761.6255
ACTR1B	947.6243	ACTR1B	1268.3571
ACTR2	6072.6331	ACTR2	5033.4517
ACTR3B	133.4095	ACTR3B	291.4017
ACTR3C	50.0286	ACTR3C	42.2896
ACTR3	4214.0722	ACTR3	2739.9025
ACTR5	242.2216	ACTR5	192.9462
ACTR6	356.4535	ACTR6	785.6612
ACTR8	358.538	ACTR8	634.6742
ACVR1B	990.5654	ACVR1B	1252.4986
ACVR1C	74.209	ACVR1C	383.5797
ACVR1	1358.6923	ACVR1	1163.294
ACVR2A	342.2787	ACVR2A	839.8447
ACVR2B	452.7584	ACVR2B	801.1894
ACVRL1	678.3039	ACVRL1	612.5382
ACY1	314.517	ACY1	459.5688
removed	removed	ACY3	8.9205
ACYP1	51.2793	ACYP1	62.4432
ACYP2	89.6345	ACYP2	167.5064
ADAL	114.6488	ADAL	125.2168
ADAM10	1745.5798	ADAM10	3479.6399
ADAM11	5.4198	ADAM11	17.8409
ADAM12	4163.2098	ADAM12	610.5559
ADAM15	4843.1813	ADAM15	1796.977
ADAM17	828.8064	ADAM17	993.1445
ADAM19	1016.4135	ADAM19	143.0577
removed	removed	ADAM21	6.6077
ADAM22	27.9326	ADAM22	84.5792
