gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
removed	removed	CASP12	12.5547
CASP1	302.2559	CASP1	577.1868
CASP2	1128.5609	CASP2	1326.5053
CASP3	850.0686	CASP3	539.1922
CASP4	760.851	CASP4	877.8393
CASP6	567.4072	CASP6	431.1555
CASP7	1003.0726	CASP7	865.2845
CASP8AP2	463.1811	CASP8AP2	841.4967
CASP8	557.4015	CASP8	656.1493
CASP9	258.4809	CASP9	351.8626
CASQ2	13.3409	CASQ2	62.1128
CASS4	31.2678	CASS4	26.1006
CAST	4299.0082	CAST	6923.8754
CASZ1	1460.417	CASZ1	1056.5788
CATSPER2P1	14.6709	CATSPER2P1	25.8297
CATSPER2	8.755	CATSPER2	42.8512
CATSPER3	24.1805	CATSPER3	11.3191
CATSPERB	71.2907	CATSPERB	50.8797
CATSPERG	56.699	CATSPERG	42.2896
CAT	1949.863	CAT	2869.7448
CAV1	2382.1932	CAV1	7497.1504
CAV2	581.9989	CAV2	2073.8416
CBARA1	1602.9984	CBARA1	1211.5305
CBFA2T2	813.7979	CBFA2T2	1210.209
CBFA2T3	830.891	CBFA2T3	164.2025
CBFB	906.7676	CBFB	946.5598
CBLB	750.8453	CBLB	662.4267
CBLC	388.5551	CBLC	169.1583
CBLL1	637.4472	CBLL1	1122.9867
CBLN1	6.6705	CBLN1	8.9205
CBLN2	55.8652	removed	removed
CBLN3	109.229	CBLN3	86.5384
CBLN4	24.1805	CBLN4	25.4398
CBL	871.7476	CBL	1431.8989
CBR1	581.928	CBR1	605.2697
CBR3	125.0714	CBR3	238.2093
CBR4	501.9532	CBR4	767.4932
CBS	51.6962	CBS	110.3494
CBWD1	314.3461	CBWD1	347.5675
CBWD2	301.4221	CBWD2	897.6625
CBWD3	240.7041	CBWD3	316.9472
CBWD6	75.0428	CBWD6	106.3847
CBX1	1298.2411	CBX1	2084.0836
CBX2	116.3164	CBX2	52.5316
CBX3	2620.2457	CBX3	3317.0893
CBX4	301.839	CBX4	264.9707
CBX5	1975.2942	CBX5	5012.9677
CBX6	329.7716	CBX6	733.1296
CBX7	491.5306	CBX7	1943.0082
CBX8	84.2147	CBX8	71.6941
CBY1	567.2113	CBY1	658.809
CC2D1A	664.9629	CC2D1A	671.0168
CC2D1B	592.0046	CC2D1B	562.6497
CC2D2A	356.8704	CC2D2A	781.0358
removed	removed	CC2D2B	15.8586
CCAR1	1443.7408	CCAR1	1673.4121
CCBE1	30.8509	CCBE1	77.641
CCBL1	92.5528	CCBL1	113.6533
CCBL2	533.3128	CCBL2	887.1
CCBP2	53.7807	CCBP2	87.883
CCDC101	366.4592	CCDC101	277.5254
CCDC102A	157.1731	CCDC102A	153.9605
CCDC102B	65.8709	CCDC102B	89.8654
CCDC103	83.3809	CCDC103	196.5805
CCDC104	476.9389	CCDC104	1148.0961
CCDC106	90.4683	CCDC106	144.7097
CCDC107	276.6162	CCDC107	190.6137
CCDC108	7.0874	CCDC108	5.6166
CCDC109A	529.8858	CCDC109A	478.0705
CCDC109B	329.7716	CCDC109B	226.9761
CCDC110	64.2033	CCDC110	99.777
CCDC111	125.1756	CCDC111	336.265
CCDC112	200.5311	CCDC112	258.6933
CCDC113	256.3964	CCDC113	361.4438
CCDC114	22.9298	CCDC114	9.9116
CCDC115	814.2148	CCDC115	1024.2009
CCDC117	881.7533	CCDC117	1244.2389
CCDC11	15.8424	CCDC11	47.2454
CCDC120	515.2941	CCDC120	469.8109
CCDC121	89.6345	CCDC121	200.8755
CCDC122	27.0988	CCDC122	91.1869
CCDC123	566.5734	CCDC123	467.8285
CCDC124	436.9161	CCDC124	241.5132
CCDC125	479.4403	CCDC125	619.1459
CCDC126	184.6888	CCDC126	368.3819
CCDC127	634.5289	CCDC127	417.6096
removed	removed	CCDC129	18.5017
CCDC12	212.6214	CCDC12	332.0393
CCDC130	238.0526	CCDC130	293.384
CCDC132	596.5906	CCDC132	876.8481
CCDC134	29.6002	CCDC134	77.641
CCDC136	17.0931	CCDC136	124.556
CCDC137	411.4849	CCDC137	217.7253
CCDC138	35.4369	CCDC138	78.6322
CCDC13	7.9212	CCDC13	12.5547
CCDC141	5.8367	CCDC141	12.8851
CCDC142	143.5403	CCDC142	120.5451
CCDC144A	20.7577	CCDC144A	98.1217
CCDC144B	101.4788	CCDC144B	367.4767
removed	removed	CCDC144C	8.2597
CCDC146	46.2764	CCDC146	152.639
removed	removed	CCDC147	12.8851
CCDC148	12.924	CCDC148	61.1217
CCDC149	997.2359	CCDC149	701.4124
CCDC14	661.6277	CCDC14	1512.5134
CCDC150	11.2564	CCDC150	11.2332
CCDC151	5.0029	CCDC151	8.2597
CCDC152	61.9562	CCDC152	174.9137
CCDC157	19.6279	CCDC157	27.0951
removed	removed	CCDC158	60.1305
CCDC159	152.1702	CCDC159	161.229
CCDC15	38.3552	CCDC15	123.8953
CCDC160	35.8538	CCDC160	73.6764
CCDC163P	7.0874	CCDC163P	9.5812
CCDC17	7.5043	CCDC17	5.2862
CCDC18	38.7721	CCDC18	60.4609
CCDC19	27.9326	CCDC19	13.5459
CCDC21	264.7345	CCDC21	350.8714
CCDC22	550.2808	CCDC22	371.4512
CCDC23	313.9292	CCDC23	253.4071
CCDC24	205.0837	CCDC24	129.1815
CCDC25	561.9875	CCDC25	1438.1763
CCDC28A	244.723	CCDC28A	592.0509
CCDC28B	43.775	CCDC28B	50.2189
CCDC30	52.1131	CCDC30	152.9694
CCDC34	183.855	CCDC34	508.4662
CCDC36	19.5945	CCDC36	20.484
CCDC39	11.6733	CCDC39	45.1739
CCDC3	328.5209	CCDC3	516.3955
CCDC40	85.0485	CCDC40	175.1053
CCDC41	135.0771	CCDC41	270.9177
CCDC43	266.819	CCDC43	466.8374
CCDC45	1004.7402	CCDC45	781.6965
CCDC46	190.5254	CCDC46	289.3401
CCDC47	5199.6348	CCDC47	3458.8255
CCDC48	43.775	CCDC48	85.2399
CCDC50	1287.4016	CCDC50	2742.2152
CCDC51	166.7619	CCDC51	174.1141
CCDC52	414.8201	CCDC52	584.1249
CCDC53	316.0137	CCDC53	394.8129
CCDC55	421.4906	CCDC55	1098.538
CCDC56	1227.0129	CCDC56	664.0291
CCDC57	342.2787	CCDC57	527.959
CCDC58	150.5026	CCDC58	149.0047
CCDC59	311.0109	CCDC59	486.3302
CCDC61	112.5643	CCDC61	87.5527
CCDC62	5.0029	CCDC62	6.2774
CCDC64B	144.249	CCDC64B	316.8415
CCDC64	449.0063	CCDC64	56.8266
CCDC65	9.1719	CCDC65	39.6465
CCDC66	162.4511	CCDC66	551.2249
CCDC68	134.6602	CCDC68	60.4609
CCDC69	557.4015	CCDC69	1029.1567
CCDC6	3015.8882	CCDC6	3480.9614
CCDC71	324.3518	CCDC71	450.6484
CCDC72	610.7653	CCDC72	755.5959
CCDC73	17.56	CCDC73	66.2262
CCDC74A	334.7744	CCDC74A	410.6715
CCDC74B	156.3392	CCDC74B	64.0952
CCDC75	69.2062	CCDC75	136.45
CCDC76	160.7709	CCDC76	407.0273
CCDC77	106.7276	CCDC77	259.0237
CCDC78	11.6733	CCDC78	11.5636
CCDC7	33.8902	CCDC7	49.5581
CCDC80	6210.2117	CCDC80	3695.7132
CCDC81	7.9212	CCDC81	7.9293
CCDC82	187.1902	CCDC82	620.4675
CCDC83	8.755	removed	removed
CCDC84	52.1131	CCDC84	83.588
CCDC85A	51.9797	CCDC85A	109.6622
CCDC85B	115.0657	CCDC85B	42.62
CCDC85C	532.0621	CCDC85C	696.222
CCDC86	409.3712	CCDC86	381.5181
CCDC87	71.2907	CCDC87	15.8586
CCDC88A	500.7025	CCDC88A	880.8128
CCDC88B	136.3278	CCDC88B	261.6668
CCDC88C	2275.8825	CCDC88C	1138.8453
CCDC89	22.5129	CCDC89	57.4874
CCDC8	311.8447	CCDC8	1255.1417
CCDC90A	363.5409	CCDC90A	308.9122
CCDC90B	1547.3791	CCDC90B	768.4315
CCDC91	296.4192	CCDC91	662.4267
CCDC92	1244.8773	CCDC92	688.8577
CCDC93	760.4341	CCDC93	1566.697
CCDC94	298.9206	CCDC94	306.2691
CCDC96	68.3724	CCDC96	48.2366
CCDC97	1291.9875	CCDC97	944.5775
CCDC99	195.5283	CCDC99	226.6457
CCDC9	330.1885	CCDC9	244.4867
CCHCR1	187.6071	CCHCR1	397.7864
CCIN	17.51	removed	removed
CCL11	25.4312	removed	removed
CCL13	13.7579	CCL13	18.8321
CCL14	403.1426	CCL14	1337.3784
removed	removed	CCL16	11.2332
CCL17	8.755	removed	removed
CCL18	162.1759	CCL18	143.0577
CCL19	634.112	CCL19	117.6179
CCL21	707.0703	CCL21	945.8991
CCL22	133.4095	CCL22	103.7416
CCL26	7.5043	removed	removed
CCL28	177.6014	CCL28	2489.1385
CCL2	258.4809	CCL2	207.4833
CCL3L1	36.179	removed	removed
CCL3	104.6431	CCL3	25.1094
CCL4L2	80.8795	CCL4L2	12.2243
CCL4	67.5386	CCL4	24.7791
CCL5	625.357	CCL5	790.617
CCL8	34.6031	CCL8	20.484
CCM2	797.5386	CCM2	477.0794
removed	removed	CCNA1	8.2597
CCNA2	275.2946	CCNA2	107.0885
CCNB1IP1	551.5649	CCNB1IP1	1190.7161
CCNB1	921.7762	CCNB1	256.711
CCNB2	409.8173	CCNB2	74.3372
CCNB3	15.8424	CCNB3	20.1536
CCNC	974.7231	CCNC	1329.4788
CCND1	6759.0916	CCND1	6285.2168
CCND2	1090.2057	CCND2	1454.6956
CCND3	1045.5969	CCND3	1103.4938
CCNDBP1	813.381	CCNDBP1	1299.0832
CCNE1	50.8624	CCNE1	17.5105
CCNE2	121.436	CCNE2	40.0694
CCNF	675.8024	CCNF	227.9673
CCNG1	1229.0349	CCNG1	3734.6989
CCNG2	2309.6518	CCNG2	4524.6552
CCNH	388.822	CCNH	553.8482
CCNI2	13.2284	CCNI2	11.0052
CCNI	6432.8387	CCNI	10187.1645
CCNJL	76.7105	CCNJL	112.6621
CCNJ	235.1342	CCNJ	264.3099
CCNK	1344.8427	CCNK	908.1391
CCNL1	676.6362	CCNL1	1548.856
CCNL2	4366.2424	CCNL2	2027.5873
CCNO	42.9412	CCNO	12.5547
CCNT1	244.723	CCNT1	450.9788
CCNT2	648.7036	CCNT2	1271.0002
CCNYL1	454.0092	CCNYL1	353.1841
CCNY	1507.5272	CCNY	1989.5928
CCPG1	2369.4359	CCPG1	2702.9091
CCR10	7.0874	removed	removed
CCR1	308.0925	CCR1	135.1284
CCR2	116.7333	CCR2	140.0842
CCR4	87.1331	CCR4	14.2067
CCR5	243.4723	CCR5	197.902
CCR6	82.9265	CCR6	105.4927
CCR7	222.6271	CCR7	42.9504
CCR8	19.1776	removed	removed
CCRL1	108.8121	CCRL1	61.4521
CCRL2	67.5386	CCRL2	32.0476
CCRN4L	141.3307	CCRN4L	86.2311
CCS	386.0537	CCS	253.4071
CCT2	2556.0424	CCT2	2589.2459
CCT3	10631.0686	CCT3	4606.2608
CCT4	2576.0538	CCT4	4116.2964
CCT5	3727.1276	CCT5	2722.0616
CCT6A	3051.742	CCT6A	3349.4673
CCT6B	51.6962	CCT6B	147.6832
CCT6P1	49.6117	CCT6P1	89.8654
CCT7	3890.1373	CCT7	3301.8915
CCT8	3027.9785	CCT8	3194.5156
CD101	54.1976	CD101	65.0863
CD109	1088.9424	CD109	1620.5501
CD14	1520.0344	CD14	1191.0465
CD151	4513.4097	CD151	4534.5668
CD160	16.2593	CD160	47.2454
CD163L1	204.7002	CD163L1	226.3154
CD163	1048.9321	CD163	538.8618
removed	removed	CD164L2	49.8885
CD164	9370.7658	CD164	11102.0071
CD177	122.1531	removed	removed
CD180	221.3764	CD180	134.4677
CD19	42.1074	removed	removed
CD1A	17.0931	removed	removed
CD1B	5.4198	removed	removed
CD1C	71.2907	CD1C	74.0068
CD1D	50.0286	CD1D	44.9327
CD1E	57.1159	CD1E	34.6907
CD200R1	20.8452	CD200R1	33.3691
CD200	353.952	CD200	546.7911
CD207	24.5974	CD207	15.8586
CD209	143.4152	CD209	219.7076
CD226	22.0959	CD226	52.862
CD22	264.7345	CD22	47.5758
CD244	18.7607	CD244	34.6907
CD247	100.8909	CD247	95.1516
CD248	1508.7779	CD248	931.0316
CD24	9912.325	CD24	21007.6815
CD274	10.8395	CD274	33.0387
CD276	3839.6918	CD276	1227.0587
CD27	174.4871	CD27	74.9979
CD28	81.7133	CD28	43.9415
CD2AP	1269.0578	CD2AP	2274.3867
CD2BP2	1246.128	CD2BP2	1084.6618
CD2	386.8875	CD2	348.2283
CD300A	230.5483	CD300A	119.6002
CD300C	47.1102	CD300C	15.1978
CD300LB	44.1919	CD300LB	9.2508
CD300LF	83.7978	CD300LF	26.1006
CD300LG	82.1302	CD300LG	532.2541
CD302	562.025	CD302	1897.5006
CD320	250.1428	CD320	324.7708
CD33	102.9754	CD33	68.3902
CD34	2515.1858	CD34	3882.0517
CD36	3397.356	CD36	6884.9426
CD37	662.0446	CD37	192.6158
CD38	28.7664	CD38	13.2155
CD3D	131.7419	CD3D	78.9626
CD3EAP	516.2322	CD3EAP	495.0359
CD3E	436.4992	CD3E	299.0006
CD3G	67.5386	CD3G	74.9979
CD40LG	48.7778	CD40LG	57.157
CD40	311.4278	CD40	223.3419
CD44	3833.8552	CD44	10517.8822
CD46	5642.8044	CD46	6510.6137
CD47	1643.4381	CD47	4714.6279
CD48	422.7413	CD48	233.9143
CD4	2202.5073	CD4	1204.262
CD52	486.1108	CD52	189.9727
CD53	1003.9064	CD53	510.1181
CD55	3115.1115	CD55	2266.4574
CD58	113.815	CD58	181.7131
CD59	7794.8662	CD59	17501.941
CD5	207.6185	CD5	82.9272
CD63	12961.9825	CD63	6153.4649
CD68	4272.4389	CD68	1322.8711
CD69	102.1416	CD69	116.6267
CD6	242.2216	CD6	126.8688
CD70	10.0057	removed	removed
CD72	56.699	CD72	37.0034
CD74	44731.3675	CD74	21050.6319
CD79A	265.9852	CD79A	110.3494
CD79B	141.7476	CD79B	102.0897
CD7	129.2404	CD7	39.9769
CD80	52.1131	removed	removed
CD81	12395.409	CD81	7515.9825
CD82	694.5631	CD82	1421.9873
CD83	400.2285	CD83	236.5574
CD84	226.3792	CD84	115.3052
CD86	316.4306	CD86	120.5914
CD8A	182.6042	CD8A	343.9333
CD8B	60.4512	CD8B	106.0543
CD93	2858.7152	CD93	2120.7566
CD96	188.8578	CD96	251.4248
CD97	946.3736	CD97	696.1262
CD99L2	1043.0954	CD99L2	1037.7468
CD99	2198.3382	CD99	1575.9478
CD9	4920.3087	CD9	5417.3619
CDADC1	99.6402	CDADC1	249.7729
CDAN1	420.6568	CDAN1	388.5356
CDA	20.4283	removed	removed
CDC123	869.3713	CDC123	804.4999
CDC14A	125.9052	CDC14A	933.6747
CDC14B	373.1297	CDC14B	903.6095
CDC14C	9.1719	CDC14C	17.8409
CDC16	1321.5877	CDC16	1539.6052
CDC20B	5.0029	removed	removed
CDC20	556.5677	CDC20	91.1869
CDC23	737.0874	CDC23	1027.8351
CDC25A	57.5328	CDC25A	39.6465
CDC25B	1298.2411	CDC25B	546.1303
CDC25C	90.8852	CDC25C	18.1713
CDC26	66.4838	CDC26	114.694
CDC27	1025.5854	CDC27	1600.7269
CDC34	579.9144	CDC34	307.5907
CDC37L1	296.4192	CDC37L1	471.7932
CDC37	1998.224	CDC37	1757.9912
CDC40	591.1708	CDC40	1061.5346
CDC42BPA	2855.7969	CDC42BPA	2379.4499
CDC42BPB	4487.5616	CDC42BPB	3242.0914
CDC42BPG	260.9823	CDC42BPG	649.5416
CDC42EP1	1435.4027	CDC42EP1	1094.9038
CDC42EP2	199.6973	CDC42EP2	215.0822
CDC42EP3	345.614	CDC42EP3	965.0615
CDC42EP4	4326.6365	CDC42EP4	2131.6594
CDC42EP5	55.4483	CDC42EP5	73.6764
CDC42SE1	3566.5317	CDC42SE1	3028.747
CDC42SE2	1122.7242	CDC42SE2	2072.52
CDC42	4071.9077	CDC42	4948.2118
CDC45	184.2719	CDC45	26.431
CDC5L	989.7316	CDC5L	1398.1994
CDC6	180.1028	CDC6	85.5703
CDC73	1056.0195	CDC73	1290.1627
CDC7	184.2719	CDC7	79.293
CDCA2	294.7516	CDCA2	48.5669
CDCA3	313.2205	CDCA3	32.4209
CDCA4	328.5209	CDCA4	184.0258
CDCA5	436.4992	CDCA5	101.0985
CDCA7L	629.9346	CDCA7L	1831.8824
CDCA7	46.2764	CDCA7	104.7328
CDCA8	635.3627	CDCA8	86.2311
CDCP1	729.1662	CDCP1	1325.1838
CDH11	4553.0157	CDH11	895.3498
removed	removed	CDH12	34.0299
CDH13	633.6951	CDH13	732.1384
CDH17	9.5888	CDH17	21.1448
removed	removed	CDH19	16.5194
CDH1	24599.8758	CDH1	14647.0637
removed	removed	CDH20	10.9028
removed	removed	CDH22	22.4663
CDH23	56.699	CDH23	137.798
CDH24	182.6042	CDH24	82.5968
CDH26	5.4198	CDH26	15.5282
CDH2	142.9983	CDH2	21.4752
CDH3	569.0748	CDH3	2402.2466
CDH4	5.8367	CDH4	31.7172
CDH5	1665.1172	CDH5	1437.1851
CDH6	110.4797	CDH6	86.2311
CDH8	10.0057	removed	removed
CDHR1	13.7579	CDHR1	17.1801
CDHR3	28.0827	CDHR3	57.7583
CDIPT	2523.9407	CDIPT	1614.9335
CDK10	478.6065	CDK10	514.4131
CDK11A	605.8834	CDK11A	393.6136
CDK11B	2184.0426	CDK11B	731.025
CDK12	1138.5666	CDK12	1905.344
CDK13	1140.2342	CDK13	1413.3972
CDK14	860.4912	CDK14	939.6217
CDK16	2322.5758	CDK16	1308.9948
CDK17	801.7076	CDK17	1020.897
CDK18	240.1371	CDK18	389.5267
CDK19	868.3665	CDK19	1165.6562
CDK1	504.0377	CDK1	112.0013
CDK20	170.514	CDK20	190.9639
CDK2AP1	2566.8819	CDK2AP1	2084.7444
CDK2AP2	1131.8961	CDK2AP2	267.9442
CDK2	723.3296	CDK2	614.8509
CDK3	139.7923	CDK3	103.0214
CDK4	2445.1458	CDK4	1649.2938
CDK5R1	94.6374	CDK5R1	90.5261
CDK5RAP1	462.3473	CDK5RAP1	426.5301
CDK5RAP2	1118.9721	CDK5RAP2	2146.5268
CDK5RAP3	857.5729	CDK5RAP3	1794.3339
CDK5	447.7556	CDK5	130.1726
CDK6	522.3815	CDK6	1504.5841
CDK7	425.2427	CDK7	461.8816
CDK8	168.4295	CDK8	168.828
CDK9	1199.4347	CDK9	857.0249
CDKAL1	256.3964	CDKAL1	341.9509
CDKL1	21.679	CDKL1	25.7702
CDKL2	42.1074	CDKL2	78.6322
CDKL3	20.666	CDKL3	46.9348
CDKL5	109.229	CDKL5	142.7273
CDKN1A	1034.3404	CDKN1A	531.9237
CDKN1B	1051.4335	CDKN1B	2042.7852
CDKN1C	203.0326	CDKN1C	411.3323
CDKN2AIPNL	326.8532	CDKN2AIPNL	288.4282
CDKN2AIP	363.1239	CDKN2AIP	714.9583
CDKN2A	56.699	CDKN2A	20.484
CDKN2BAS	5.0029	removed	removed
CDKN2B	520.297	CDKN2B	225.6546
CDKN2C	204.2833	CDKN2C	464.5247
CDKN2D	125.9052	CDKN2D	65.7471
CDKN3	133.4095	CDKN3	18.1713
CDNF	11.6733	CDNF	90.8565
CDO1	88.3838	CDO1	215.4126
CDON	654.1234	CDON	865.2845
CDR1	15.2545	CDR1	17.6592
CDR2L	2682.7814	CDR2L	321.4669
CDR2	1048.5152	CDR2	480.3832
CDRT15P	13.3409	CDRT15P	5.2862
CDRT4	228.8807	CDRT4	377.8607
CDS1	937.2017	CDS1	937.309
CDS2	1257.8013	CDS2	1047.328
CDSN	50.0286	CDSN	37.3338
CDT1	284.329	CDT1	62.7736
CDV3	4565.9397	CDV3	6132.3201
CDX1	9.1719	CDX1	6.2774
CDYL2	153.8378	CDYL2	149.0047
CDYL	655.791	CDYL	737.4246
CEACAM19	7.5043	CEACAM19	33.0387
CEACAM1	502.787	CEACAM1	1073.4286
CEACAM21	9.1719	CEACAM21	6.9381
CEACAM5	4177.8015	removed	removed
CEACAM6	17414.1072	CEACAM6	120.9218
CEACAM7	110.0628	removed	removed
CEBPA	624.9401	CEBPA	410.3411
CEBPB	346.4478	CEBPB	599.9835
CEBPD	218.458	CEBPD	392.1698
CEBPG	847.9841	CEBPG	988.8494
CEBPZ	1033.9235	CEBPZ	1703.8077
CECR1	1925.6826	CECR1	1779.136
removed	removed	CECR2	11.2332
CECR5	517.3787	CECR5	507.475
CECR6	18.3438	CECR6	40.6376
CECR7	22.5129	CECR7	91.1869
CELF1	1776.0138	CELF1	2272.7348
CELF2	803.7922	CELF2	1107.7889
removed	removed	CELF4	9.5812
CELF5	51.6962	CELF5	93.1692
CELF6	16.5469	CELF6	72.7976
CELSR1	2486.4193	CELSR1	2454.1175
CELSR2	1653.0269	CELSR2	2695.3002
CELSR3	73.3752	CELSR3	50.8797
CEL	9.5888	CEL	11.2332
CEMP1	113.815	CEMP1	118.2126
CENPA	97.1388	CENPA	12.8851
CENPBD1	290.1656	CENPBD1	394.4825
CENPB	2700.2914	CENPB	1213.5128
CENPC1	310.594	CENPC1	681.2588
CENPE	267.2359	CENPE	95.482
CENPF	1804.3633	CENPF	502.1888
CENPH	72.1245	CENPH	136.7804
CENPI	47.944	CENPI	15.5282
CENPJ	180.5197	CENPJ	311.2249
CENPK	41.2736	CENPK	34.3603
CENPL	253.0611	CENPL	108.6974
CENPM	72.5414	CENPM	29.4045
CENPN	218.4289	CENPN	134.6329
CENPO	138.2206	CENPO	97.5766
CENPP	166.5242	CENPP	97.5898
CENPQ	53.7807	CENPQ	130.8334
CENPT	371.462	CENPT	435.781
CENPV	26.265	CENPV	121.5826
CENPW	158.0069	CENPW	72.0244
CEP110	485.277	CEP110	981.9113
CEP120	423.992	CEP120	823.6557
CEP135	203.4495	CEP135	278.5166
CEP152	84.6316	CEP152	137.1108
CEP164	332.273	CEP164	730.1561
CEP170	942.6214	CEP170	1118.3613
CEP192	496.5334	CEP192	1029.1567
CEP250	930.9481	CEP250	1024.5313
CEP290	456.1771	CEP290	808.6264
CEP350	2159.5661	CEP350	3046.1716
CEP55	341.4449	CEP55	57.157
CEP57	470.2684	CEP57	1520.4427
CEP63	427.3981	CEP63	703.735
CEP68	942.6214	CEP68	1907.6567
CEP70	326.4363	CEP70	431.1555
CEP72	41.2736	CEP72	82.9272
CEP76	136.3278	CEP76	177.7484
CEP78	331.8561	CEP78	388.8659
CEP97	155.9223	CEP97	263.6491
CEPT1	355.6197	CEPT1	939.9521
CERCAM	2448.8979	CERCAM	648.8808
CERKL	72.9416	CERKL	46.3236
CERK	975.5569	CERK	977.2859
CES1	118.4009	CES1	192.9462
CES2	848.8179	CES2	1446.4359
CES3	68.7893	CES3	196.2501
CES8	22.9298	CES8	120.9218
CETN1	8.3381	removed	removed
CETN2	1064.3576	CETN2	1000.0826
CETN3	284.329	CETN3	380.9366
CETP	40.0228	removed	removed
CFB	2548.8091	CFB	2716.934
CFDP1	590.337	CFDP1	1010.3246
CFD	280.5768	CFD	472.7843
CFH	1577.1503	CFH	1780.788
CFI	330.1885	CFI	494.5899
CFL1	19896.7744	CFL1	5949.6159
CFL2	290.9994	CFL2	681.9196
CFLAR	679.1377	CFLAR	1124.969
removed	removed	CFLP1	5.947
CFP	64.6202	CFP	27.4222
CFTR	60.8681	removed	removed
CG030	27.0988	CG030	69.051
CGA	47.1102	removed	removed
removed	removed	CGB7	7.2421
CGGBP1	2235.8763	CGGBP1	3181.6305
CGNL1	428.9949	CGNL1	3296.6053
CGN	1120.6397	CGN	2380.7715
CGREF1	119.1472	CGREF1	253.3972
CGRRF1	233.8835	CGRRF1	270.9177
CH25H	35.02	CH25H	30.0653
CHAC1	67.5386	CHAC1	15.1978
CHAC2	37.5214	CHAC2	13.2155
CHADL	50.4455	CHADL	42.2896
CHAD	19637.0053	CHAD	230.6104
CHAF1A	349.3661	CHAF1A	262.9884
CHAF1B	341.4449	CHAF1B	191.2943
CHCHD10	212.6214	CHCHD10	223.0115
CHCHD1	527.8013	CHCHD1	346.9067
CHCHD2	4491.3138	CHCHD2	1955.5629
CHCHD3	789.2005	CHCHD3	642.6035
CHCHD4	252.6442	CHCHD4	223.0115
CHCHD5	446.5049	CHCHD5	172.4622
CHCHD6	97.9726	CHCHD6	120.261
CHCHD7	300.5883	CHCHD7	440.4064
CHCHD8	655.791	CHCHD8	418.6008
CHD1L	1033.5066	CHD1L	838.1928
CHD1	1007.6585	CHD1	1752.705
CHD2	1968.2069	CHD2	4539.1922
CHD3	4342.0619	CHD3	5120.0132
CHD4	9683.0607	CHD4	7387.323
CHD6	1854.8088	CHD6	3449.2442
CHD7	635.3627	CHD7	949.8637
CHD8	3288.127	CHD8	2876.3525
CHD9	1174.0035	CHD9	2927.5626
CHDH	569.9087	CHDH	1070.7855
CHEK1	150.5026	CHEK1	137.4411
CHEK2	151.3364	CHEK2	172.4622
CHERP	1382.9811	CHERP	1014.0646
CHFR	574.4946	CHFR	293.0536
removed	removed	CHGA	8.2597
CHI3L1	445.2542	CHI3L1	1275.2953
CHI3L2	71.7076	CHI3L2	453.2915
CHIC1	202.6157	CHIC1	410.3411
CHIC2	162.1759	CHIC2	284.1331
CHID1	1463.7522	CHID1	1243.5781
CHIT1	1153.5752	CHIT1	612.5382
CHKA	569.4918	CHKA	1003.7169
CHKB-CPT1B	173.0404	CHKB-CPT1B	352.2954
CHKB	257.176	CHKB	164.001
CHL1	269.3204	CHL1	1702.4862
CHML	858.8236	CHML	635.6653
CHMP1A	2879.1435	CHMP1A	1295.1185
CHMP1B	1298.658	CHMP1B	1797.9681
CHMP2A	1568.8122	CHMP2A	1172.5448
CHMP2B	587.4187	CHMP2B	1031.139
CHMP4A	1225.8914	CHMP4A	808.6991
CHMP4B	2354.2606	CHMP4B	2549.9298
CHMP4C	402.313	CHMP4C	877.8393
CHMP5	1372.0332	CHMP5	1362.6398
CHMP6	402.313	CHMP6	273.8911
CHMP7	861.325	CHMP7	903.6095
CHM	398.1439	CHM	826.2988
CHN1	223.4609	CHN1	402.4118
CHN2	105.06	CHN2	90.5261
removed	removed	CHODL	55.1747
CHORDC1	303.0897	CHORDC1	408.3588
CHPF2	1871.485	CHPF2	752.2921
CHPF	4175.3001	CHPF	770.4634
CHPT1	667.8812	CHPT1	2126.6672
CHP	3280.6227	CHP	2835.0541
CHRAC1	381.0508	CHRAC1	521.3513
CHRDL1	684.9743	CHRDL1	2773.2717
removed	removed	CHRDL2	15.1978
CHRD	164.2604	CHRD	171.1407
CHRFAM7A	19.336	CHRFAM7A	15.3168
CHRM1	68.7893	CHRM1	365.4084
CHRM3	15.8424	CHRM3	43.6111
CHRM4	12.924	removed	removed
removed	removed	CHRM5	7.5989
CHRNA10	34.6031	CHRNA10	8.9205
CHRNA1	35.4369	removed	removed
CHRNA3	15.0086	removed	removed
CHRNA4	1444.1577	removed	removed
CHRNA5	56.2821	CHRNA5	23.4575
CHRNA6	15.0086	removed	removed
removed	removed	CHRNA7	9.9116
CHRNB1	115.4826	CHRNB1	251.4248
CHRNB2	66.7047	CHRNB2	118.6091
CHRNE	11.7901	CHRNE	17.1108
CHST10	245.1399	CHST10	289.7497
CHST11	170.9309	CHST11	52.5316
CHST12	214.7059	CHST12	128.5207
CHST13	13.3409	removed	removed
CHST14	518.6294	CHST14	436.4417
CHST15	2855.3799	CHST15	1130.916
CHST1	329.7716	CHST1	55.8355
CHST2	125.0714	CHST2	422.5655
CHST3	503.2039	CHST3	951.1853
removed	removed	CHST4	8.2597
CHST5	5.4239	CHST5	7.6286
CHST6	70.4569	removed	removed
CHST7	49.1947	CHST7	58.1482
CHST8	182.6042	CHST8	6.9381
CHST9	57.1159	CHST9	1010.655
