gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ACN9	48.8808	ACN9	168.6784
ACO1	799.4518	ACO1	1048.9013
ACO2	3337.9306	ACO2	1992.9774
ACOT11	30.1508	ACOT11	36.3943
ACOT13	407.1905	ACOT13	508.3596
ACOT1	428.5062	ACOT1	456.515
ACOT2	323.4354	ACOT2	304.2402
ACOT4	224.3033	ACOT4	134.9427
ACOT7	995.8885	ACOT7	139.8948
ACOT8	345.8977	ACOT8	225.4472
ACOT9	499.7716	ACOT9	371.0925
ACOX1	2803.0882	ACOX1	1592.77
ACOX2	486.9804	ACOX2	344.7849
ACOX3	433.9881	ACOX3	799.1334
removed	removed	ACOXL	5.2615
ACP1	2359.9817	ACP1	1277.004
ACP2	1310.1873	ACP2	680.2847
ACP5	2582.0009	ACP5	579.3872
ACP6	145.2718	ACP6	250.3869
ACPL2	707.1722	ACPL2	541.628
ACPP	66.2403	ACPP	64.0669
ACRBP	62.1288	ACRBP	18.5701
ACRC	19.1868	ACRC	24.7601
removed	removed	ACSBG1	14.8561
ACSF2	1419.3696	ACSF2	892.2934
ACSF3	619.0041	ACSF3	313.5252
ACSL1	2268.159	ACSL1	2695.7598
ACSL3	5477.3869	ACSL3	4337.0474
ACSL4	1056.6469	ACSL4	1310.1207
ACSL5	544.9977	ACSL5	1068.0904
ACSL6	6.3956	ACSL6	8.3565
removed	removed	ACSM1	26.9266
removed	removed	ACSM3	223.8409
ACSM5	23.7551	ACSM5	77.9944
ACSS1	775.2398	ACSS1	1223.4602
ACSS2	942.8963	ACSS2	1199.6286
ACSS3	14.1617	ACSS3	429.8979
removed	removed	ACTA1	25.3791
ACTA2	1991.8136	ACTA2	42934.0792
ACTB	111238.7757	ACTB	54697.9263
ACTC1	10.9639	removed	removed
ACTG1	88528.095	ACTG1	47321.2628
ACTG2	51.1649	ACTG2	10064.9954
ACTL6A	2201.4619	ACTL6A	878.3658
ACTL8	100.5025	removed	removed
ACTN1	4211.0553	ACTN1	11312.5967
ACTN2	89.0818	removed	removed
ACTN4	5723.7277	ACTN4	13883.3055
ACTR10	1026.9529	ACTR10	1068.0904
ACTR1A	2675.651	ACTR1A	1828.8456
ACTR1B	989.9497	ACTR1B	1416.5893
ACTR2	9789.8584	ACTR2	4719.282
ACTR3B	306.5327	ACTR3B	315.6917
ACTR3C	26.9529	ACTR3C	22.5936
ACTR3	5776.1535	ACTR3	2759.2077
ACTR5	483.7825	ACTR5	223.4602
ACTR6	436.7291	ACTR6	559.2696
ACTR8	362.2659	ACTR8	603.5283
ACVR1B	1205.1165	ACVR1B	1416.8988
ACVR1C	5.482	ACVR1C	357.165
ACVR1	511.6492	ACVR1	1114.5156
ACVR2A	198.264	ACVR2A	780.2538
ACVR2B	171.7679	ACVR2B	705.6639
ACVRL1	390.5893	ACVRL1	498.6072
ACY1	523.5267	ACY1	576.6976
removed	removed	ACY3	57.2578
ACYP1	120.603	ACYP1	72.4234
ACYP2	87.2545	ACYP2	141.1328
ADAL	104.1571	ADAL	149.4893
ADAM10	1228.8716	ADAM10	2165.2739
ADAM11	14.1617	ADAM11	23.5221
ADAM12	533.1201	ADAM12	338.5949
ADAM15	4324.8789	ADAM15	2244.822
ADAM17	1005.0251	ADAM17	776.5398
ADAM19	744.6323	ADAM19	116.9916
ADAM21	6.8524	ADAM21	9.9041
ADAM22	37.46	ADAM22	115.7536
ADAM23	52.5354	ADAM23	19.8081
ADAM28	207.4006	ADAM28	105.2306
removed	removed	ADAM32	56.9483
ADAM33	10.0503	ADAM33	465.8093
ADAM6	42470.265	ADAM6	33576.6914
ADAM8	623.1156	ADAM8	73.3519
ADAM9	1079.4884	ADAM9	1480.6561
ADAMDEC1	1318.4102	removed	removed
ADAMTS10	63.4993	ADAMTS10	89.446
ADAMTS12	105.9845	ADAMTS12	102.4451
ADAMTS13	113.7506	ADAMTS13	117.6106
ADAMTS14	32.8917	ADAMTS14	7.1185
ADAMTS15	584.2851	ADAMTS15	223.7697
ADAMTS16	7.7661	removed	removed
ADAMTS17	26.0393	ADAMTS17	90.065
removed	removed	ADAMTS18	48.5918
ADAMTS19	6.8524	removed	removed
ADAMTS1	333.0288	ADAMTS1	2405.4472
ADAMTS2	422.1106	ADAMTS2	355.6175
ADAMTS3	17.8164	ADAMTS3	58.4958
ADAMTS4	890.3609	ADAMTS4	79.5419
ADAMTS5	90.4523	ADAMTS5	2963.7883
ADAMTS6	30.1508	ADAMTS6	10.2136
ADAMTS7	110.5528	ADAMTS7	35.5927
removed	removed	ADAMTS8	62.8288
ADAMTS9	173.5952	ADAMTS9	557.1031
ADAMTSL1	115.1211	ADAMTSL1	120.7057
ADAMTSL2	62.5857	ADAMTSL2	30.0217
ADAMTSL3	38.8305	ADAMTSL3	125.6577
ADAMTSL4	310.1873	ADAMTSL4	324.3578
ADAMTSL5	142.9877	ADAMTSL5	34.6642
ADAP1	563.0836	ADAP1	108.7651
ADAP2	360.4386	ADAP2	133.7047
ADARB1	466.8799	ADARB1	790.7768
ADARB2	17.3595	removed	removed
ADAR	10514.847	ADAR	9452.4915
ADAT1	233.8968	ADAT1	301.1452
ADAT2	277.7524	ADAT2	213.2467
ADAT3	190.0411	ADAT3	29.7122
ADA	316.1261	ADA	72.7329
ADCK1	161.2608	ADCK1	130.9192
ADCK2	930.6304	ADCK2	790.7768
ADCK4	326.1763	ADCK4	447.849
ADCK5	578.8031	ADCK5	90.684
ADCY1	102.3298	ADCY1	630.455
ADCY2	151.2106	ADCY2	351.2844
ADCY3	933.4354	ADCY3	1223.4448
ADCY4	69.8949	ADCY4	274.8375
ADCY5	412.0603	ADCY5	549.9845
ADCY6	631.3385	ADCY6	2349.7369
ADCY7	990.4066	ADCY7	421.5413
ADCY9	1569.2097	ADCY9	1137.1093
removed	removed	ADCYAP1R1	32.1882
ADCYAP1	5.0251	removed	removed
ADC	133.8511	ADC	184.7725
ADD1	2253.5404	ADD1	6376.3541
ADD2	21.0142	ADD2	49.8298
ADD3	2240.7492	ADD3	3564.5311
removed	removed	ADH1A	46.2024
ADH1B	102.7867	ADH1B	5358.403
ADH1C	100.9593	ADH1C	128.7527
removed	removed	ADH4	25.0696
ADH5	2184.1023	ADH5	3168.9879
ADH7	254.9109	ADH7	21.3556
ADHFE1	131.5669	ADHFE1	244.8158
ADI1	1106.4413	ADI1	1411.9468
ADIPOQ	83.143	ADIPOQ	3887.0319
