gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
removed	removed	CITED1	133.3952
CITED2	4199.1777	CITED2	3628.2885
CITED4	1032.8917	CITED4	580.6252
CIT	424.3947	CIT	71.4949
CIZ1	2610.7812	CIZ1	2179.2015
CKAP2L	287.8026	CKAP2L	9.2851
removed	removed	CKAP2	314.4537
CKAP4	2899.0407	CKAP4	1546.8895
CKAP5	2582.9146	CKAP5	2276.0755
CKB	1991.7771	CKB	601.6713
CKLF	508.4513	CKLF	187.8675
CKMT1A	31.5212	CKMT1A	157.2269
CKMT1B	66.6971	CKMT1B	237.0783
removed	removed	CKMT2	57.8768
CKM	5.0251	removed	removed
CKS1B	840.1096	CKS1B	480.3466
CKS2	696.2083	CKS2	123.8007
CLASP1	1167.1996	CLASP1	1694.8313
CLASP2	694.381	CLASP2	1592.6958
CLCA2	140.7035	CLCA2	1886.4129
removed	removed	CLCA4	46.1158
CLCC1	538.7483	CLCC1	982.9588
CLCF1	47.0534	CLCF1	51.9963
CLCN2	263.5907	CLCN2	64.3764
CLCN3	1026.9529	CLCN3	2055.0913
CLCN4	25.1256	CLCN4	103.9926
CLCN5	326.1763	CLCN5	143.9183
CLCN6	201.4619	CLCN6	734.757
CLCN7	2615.8063	CLCN7	1055.7103
removed	removed	CLCNKA	14.8561
removed	removed	CLCNKB	8.047
CLDN10	7.0672	CLDN10	48.502
CLDN11	13.7049	CLDN11	1220.5416
CLDN12	857.4692	CLDN12	1195.5153
CLDN14	6.3956	removed	removed
CLDN15	116.4915	CLDN15	133.3952
removed	removed	CLDN18	7.7375
CLDN19	9.1366	CLDN19	468.8951
CLDN1	1046.5966	CLDN1	271.7425
CLDN23	37.0032	CLDN23	172.0829
removed	removed	CLDN2	5.8805
CLDN3	1764.7328	CLDN3	634.788
CLDN4	4657.8346	CLDN4	2789.2293
CLDN5	84.0566	CLDN5	510.6778
CLDN7	2074.4632	CLDN7	1052.9248
CLDN8	37.46	CLDN8	1045.1872
CLDN9	11.8776	CLDN9	5.571
CLDND1	802.1928	CLDND1	1284.4321
CLEC10A	313.8419	CLEC10A	103.9926
CLEC11A	225.217	CLEC11A	140.5138
CLEC12A	116.4915	CLEC12A	9.2851
CLEC14A	282.7775	CLEC14A	616.5274
CLEC16A	666.5144	CLEC16A	782.7298
CLEC17A	10.9639	CLEC17A	5.2615
CLEC1A	33.3486	CLEC1A	93.16
CLEC2B	260.8497	CLEC2B	195.9146
CLEC2D	839.196	CLEC2D	468.5856
removed	removed	CLEC3A	63.7574
CLEC3B	82.2293	CLEC3B	424.9458
CLEC4A	151.2106	CLEC4A	39.6162
CLEC4C	15.989	removed	removed
CLEC4D	15.989	removed	removed
CLEC4E	225.217	removed	removed
removed	removed	CLEC4F	33.7357
CLEC5A	111.0096	CLEC5A	20.4271
CLEC6A	24.6688	removed	removed
CLEC7A	616.72	CLEC7A	112.0396
CLEC9A	12.3344	CLEC9A	29.4027
CLECL1	18.73	removed	removed
CLGN	236.6377	CLGN	242.6493
CLIC1	4901.3248	CLIC1	3439.8019
CLIC2	423.0242	CLIC2	346.9514
CLIC3	306.9895	CLIC3	30.0217
CLIC4	3966.6514	CLIC4	5312.5967
CLIC5	214.7099	CLIC5	286.2891
CLIC6	1598.4468	CLIC6	391.8292
CLINT1	1420.7401	CLINT1	1698.5453
CLIP1	1262.2202	CLIP1	2408.8517
CLIP2	329.3741	CLIP2	562.3646
CLIP3	317.0397	CLIP3	984.2123
CLIP4	192.7821	CLIP4	1095.636
CLK1	877.5697	CLK1	3339.5234
CLK2P	6.3956	CLK2P	21.9746
CLK2	550.9365	CLK2	773.7543
CLK3	532.6633	CLK3	801.6094
CLK4	254.9109	CLK4	839.6781
removed	removed	CLLU1	8.047
CLMN	1062.1288	CLMN	3074.8994
CLN3	3031.9781	CLN3	1117.2114
CLN5	747.3732	CLN5	789.8483
CLN6	850.1599	CLN6	516.2488
CLN8	246.688	CLN8	418.4463
CLNS1A	1442.6679	CLNS1A	1324.9768
CLOCK	414.8013	CLOCK	593.6243
CLP1	454.5455	CLP1	337.0474
CLPB	502.0557	CLPB	247.9109
CLPP	1275.0114	CLPP	436.0879
CLPTM1L	2246.688	CLPTM1L	1541.628
CLPTM1	2658.2915	CLPTM1	2295.8836
CLPX	501.1421	CLPX	883.6274
CLRN1OS	11.4207	removed	removed
CLSPN	248.5153	removed	removed
CLSTN1	3692.5537	CLSTN1	7371.0925
CLSTN2	446.3225	CLSTN2	382.2346
CLSTN3	1862.4943	CLSTN3	1194.6766
CLTA	1697.122	CLTA	1892.2934
CLTB	780.7218	CLTB	774.3733
CLTCL1	92.2796	CLTCL1	68.3999
CLTC	27269.5295	CLTC	8502.0118
CLUAP1	328.4239	CLUAP1	611.8849
CLUL1	23.7551	CLUL1	185.701
CLU	5645.9571	CLU	18404.8282
CLVS1	5.2535	CLVS1	6.7255
CLYBL	25.5825	CLYBL	80.7799
removed	removed	CMA1	7.428
CMAH	273.6409	CMAH	226.2457
CMAS	498.4011	CMAS	695.4503
CMBL	1440.3837	CMBL	1159.7029
CMC1	145.7286	CMC1	104.9211
CMIP	1135.2216	CMIP	1174.559
CMKLR1	1009.5934	CMKLR1	134.3237
CMPK1	2174.5089	CMPK1	4040.2352
CMPK2	637.7341	CMPK2	211.6992
CMTM1	131.1101	CMTM1	118.8487
CMTM3	850.6167	CMTM3	840.2971
CMTM4	835.5413	CMTM4	1932.8381
removed	removed	CMTM5	34.6642
CMTM6	2534.0338	CMTM6	2576.6017
CMTM7	384.6505	CMTM7	910.2445
CMTM8	264.5043	CMTM8	193.7481
CMYA5	408.4057	CMYA5	2358.403
CN5H6.4	19.6437	CN5H6.4	13.6181
CNBP	6018.2732	CNBP	8579.0777
CNDP2	3909.5477	CNDP2	3137.1093
CNFN	54.3627	CNFN	45.4968
CNGA1	99.5889	CNGA1	63.7574
CNGA2	45.2261	removed	removed
CNGA3	5.9388	removed	removed
CNGA4	6.8524	CNGA4	6.4995
CNIH2	66.6971	CNIH2	7.1185
CNIH3	15.0754	CNIH3	50.4488
CNIH4	1176.7931	CNIH4	703.8069
CNIH	1378.2549	CNIH	887.3414
CNKSR1	394.7008	CNKSR1	529.5574
removed	removed	CNKSR2	41.1637
CNKSR3	37.0032	CNKSR3	279.1705
CNN1	57.5605	CNN1	7309.1922
CNN2	2947.4646	CNN2	3666.9762
CNN3	2621.7451	CNN3	5194.3671
CNNM1	5.9388	CNNM1	78.6134
CNNM2	111.4664	CNNM2	195.2956
CNNM3	619.9178	CNNM3	1073.6614
CNNM4	947.0078	CNNM4	1072.1139
CNOT10	592.9648	CNOT10	564.8406
CNOT1	2861.2152	CNOT1	5253.7016
CNOT2	1176.7931	CNOT2	1556.7936
CNOT3	854.2714	CNOT3	875.5803
CNOT4	550.0228	CNOT4	730.424
CNOT6L	1153.4947	CNOT6L	2013.9276
CNOT6	982.6405	CNOT6	1325.5958
CNOT7	1493.376	CNOT7	1948.0037
CNOT8	999.0863	CNOT8	1447.23
CNO	169.9406	CNO	256.5769
CNPY2	1214.2531	CNPY2	1153.8223
CNPY3	1567.3824	CNPY3	1030.9502
CNPY4	400.1827	CNPY4	328.0718
CNP	2903.0196	CNP	2086.8183
CNR1	21.9278	CNR1	104.6116
CNR2	12.3344	removed	removed
CNRIP1	83.5998	CNRIP1	261.5289
CNST	717.2225	CNST	826.679
CNTD1	89.6345	CNTD1	74.5373
CNTD2	26.9529	CNTD2	24.1411
removed	removed	CNTFR	285.0511
CNTF	31.6217	CNTF	9.2851
CNTLN	78.1179	CNTLN	173.94
CNTN1	10.0503	CNTN1	926.3386
removed	removed	CNTN2	24.1411
removed	removed	CNTN3	100.2786
CNTN4	74.0064	CNTN4	277.3135
removed	removed	CNTN6	7.7375
CNTNAP1	397.4418	CNTNAP1	119.7772
CNTNAP2	11.8776	CNTNAP2	22.9031
CNTNAP3	11.8776	CNTNAP3	329.0003
CNTROB	661.0324	CNTROB	797.2764
COASY	2451.3476	COASY	1377.2826
COBLL1	366.3773	COBLL1	1552.4605
COBL	248.0585	COBL	2591.7673
COBRA1	2732.2979	COBRA1	1211.6992
COCH	25.0982	COCH	19.1891
COG1	1461.1055	COG1	875.7413
COG2	621.7451	COG2	794.1814
COG3	520.7857	COG3	1143.2993
COG4	949.7487	COG4	1012.6896
COG5	798.1361	COG5	1009.2758
COG6	529.4655	COG6	753.9461
COG7	527.6382	COG7	614.0514
COG8	357.4372	COG8	426.2984
COIL	903.609	COIL	544.104
COL10A1	603.9287	COL10A1	8.666
COL11A1	800.8223	COL11A1	78.3039
removed	removed	COL11A2	35.2832
COL12A1	3619.9178	COL12A1	4236.4593
COL13A1	7.3093	COL13A1	12.9991
COL14A1	321.608	COL14A1	4350.0464
COL15A1	2032.4349	COL15A1	2045.1872
COL16A1	342.1654	COL16A1	1805.3234
COL17A1	43.8556	COL17A1	11312.5967
COL18A1	2167.6565	COL18A1	3096.5645
COL1A1	30684.7876	COL1A1	4560.5076
COL1A2	21468.7072	COL1A2	7698.8548
COL21A1	10.5071	COL21A1	92.8505
COL22A1	165.3723	COL22A1	10.2136
COL23A1	5.0251	COL23A1	90.065
COL24A1	26.4961	COL24A1	14.2371
removed	removed	COL25A1	67.1619
COL27A1	113.7506	COL27A1	439.4924
removed	removed	COL28A1	71.4949
COL29A1	9.5934	removed	removed
removed	removed	COL2A1	168.6784
COL3A1	20383.28	COL3A1	6190.034
removed	removed	COL4A1	3419.0653
COL4A2	6211.5121	COL4A2	6026.6171
COL4A3BP	770.2147	COL4A3BP	1678.7372
COL4A3	9.1366	COL4A3	144.8468
COL4A4	82.2293	COL4A4	200.5571
COL4A5	930.1051	COL4A5	1621.1699
COL4A6	29.2371	COL4A6	609.0994
COL5A1	2601.1878	COL5A1	888.2699
COL5A2	3181.3614	COL5A2	1124.1102
COL5A3	283.6912	COL5A3	251.6249
COL6A1	5620.8314	COL6A1	5637.264
COL6A2	6325.2627	COL6A2	7579.0777
COL6A3	8258.5656	COL6A3	5014.5466
COL6A6	18.73	COL6A6	298.3596
COL7A1	47.0534	COL7A1	897.8644
COL8A1	206.0302	COL8A1	135.2522
COL8A2	529.4655	COL8A2	1330.2383
COL9A2	836.455	COL9A2	695.1408
COL9A3	105.5276	COL9A3	118.2297
COLEC11	6.3956	COLEC11	18.2606
COLEC12	115.5779	COLEC12	932.5286
COLQ	33.8054	COLQ	46.4253
COMMD10	299.2234	COMMD10	405.1377
COMMD1	347.6473	COMMD1	274.8375
COMMD2	1108.2686	COMMD2	959.1458
COMMD3	633.8282	COMMD3	684.9458
COMMD4	880.7675	COMMD4	533.8904
COMMD5	910.3243	COMMD5	366.6388
COMMD6	971.2197	COMMD6	1720.8295
COMMD7	1444.0384	COMMD7	988.2389
COMMD8	525.8109	COMMD8	203.6521
COMMD9	1256.7382	COMMD9	573.1972
COMP	1119.6894	removed	removed
COMTD1	279.5797	COMTD1	48.2823
COMT	1910.4614	COMT	1861.6527
COPA	7376.4276	COPA	5973.8688
COPB1	2334.6734	COPB1	3210.6716
COPB2	6561.9004	COPB2	3534.1999
COPE	4329.9269	COPE	1176.7255
COPG2	565.555	COPG2	668.8332
COPG	5444.952	COPG	3132.1572
COPS2	1174.0521	COPS2	2072.7329
COPS3	936.5007	COPS3	859.1767
COPS4	851.5304	COPS4	898.4834
COPS5	2278.6661	COPS5	948.0037
COPS6	1573.778	COPS6	1293.7171
COPS7A	1302.4212	COPS7A	1256.5769
COPS7B	528.5519	COPS7B	695.4503
COPS8	809.0452	COPS8	926.8369
COPZ1	3437.1859	COPZ1	3177.654
COPZ2	74.9201	COPZ2	193.1291
COQ10A	79.9452	COQ10A	141.4423
COQ10B	613.0653	COQ10B	458.991
COQ2	256.2814	COQ2	96.255
COQ3	140.7035	COQ3	150.1083
COQ4	1277.7524	COQ4	748.3751
COQ5	601.1878	COQ5	565.1501
COQ6	287.0534	COQ6	382.996
COQ7	515.3038	COQ7	603.8378
COQ9	496.5738	COQ9	655.2151
CORIN	17.8164	CORIN	18.8796
CORO1A	2645.5002	CORO1A	388.4246
CORO1B	3748.7437	CORO1B	1451.2535
CORO1C	2572.8643	CORO1C	1656.1436
CORO2A	1709.9132	CORO2A	822.346
CORO2B	24.212	CORO2B	230.8883
CORO6	127.4555	CORO6	35.9022
CORO7	1064.1115	CORO7	260.783
CORT	7.2407	removed	removed
COTL1	4474.1891	COTL1	946.4562
COX10	280.9502	COX10	274.2185
COX11	1136.1307	COX11	773.8069
COX15	1013.9744	COX15	1261.4144
COX16	994.518	COX16	664.8097
COX17	346.7337	COX17	268.6475
COX18	344.4495	COX18	344.1659
COX19	195.2535	COX19	326.0848
COX4I1	3493.8328	COX4I1	3737.2331
COX4I2	20.5573	COX4I2	33.1167
COX4NB	503.4262	COX4NB	317.8582
COX5A	1619.0041	COX5A	770.9687
COX5B	1342.1654	COX5B	1260.6004
COX6A1	1798.5381	COX6A1	1086.0415
COX6B1	2013.7049	COX6B1	1540.6995
removed	removed	COX6B2	18.8796
COX6C	3977.1585	COX6C	1124.4197
COX7A1	25.1256	COX7A1	215.7227
COX7A2L	2339.4244	COX7A2L	1734.757
COX7A2	2030.6076	COX7A2	852.3677
COX7B	1361.809	COX7B	958.5268
COX7C	2091.8228	COX7C	2387.8056
COX8A	4499.7716	COX8A	1118.5392
CP110	874.8287	CP110	839.9876
removed	removed	CPA1	12.9991
CPA3	575.6053	CPA3	56.3293
CPA4	44.7693	CPA4	62.2098
removed	removed	CPA6	11.1421
CPAMD8	262.2202	CPAMD8	530.4859
CPB1	58.0174	CPB1	1105.8496
CPD	4797.1677	CPD	3366.45
removed	removed	CPEB1	45.8063
CPEB2	218.3646	CPEB2	767.2547
CPEB3	163.545	CPEB3	381.6156
CPEB4	676.5646	CPEB4	1153.2033
CPE	301.9644	CPE	5249.7679
CPLX1	39.7442	CPLX1	139.2758
CPLX2	5.9388	removed	removed
CPM	596.6195	CPM	460.848
CPNE1	2253.8556	CPNE1	1738.8332
CPNE2	355.8703	CPNE2	522.7484
CPNE3	6598.4468	CPNE3	3653.9771
CPNE5	135.2216	CPNE5	47.0443
CPNE7	157.6062	CPNE7	25.6886
CPNE8	95.0206	CPNE8	241.1018
CPOX	218.8214	CPOX	375.7351
CPPED1	1276.3819	CPPED1	466.4191
removed	removed	CPS1	88.208
CPSF1	3422.5674	CPSF1	1392.4482
CPSF2	1464.1389	CPSF2	1049.5203
CPSF3L	2246.8616	CPSF3L	1306.4067
CPSF3	1339.4244	CPSF3	595.4813
CPSF4	369.5751	CPSF4	406.9947
CPSF6	2040.6578	CPSF6	2028.4742
CPSF7	1505.7104	CPSF7	2249.7679
CPT1A	2369.5751	CPT1A	2672.5472
CPT1B	186.5327	CPT1B	355.5277
CPT1C	6.8524	CPT1C	48.5918
CPT2	636.8205	CPT2	541.3185
CPVL	849.7031	CPVL	318.1677
CPXM1	208.3143	CPXM1	410.7088
CPXM2	294.1983	CPXM2	794.8004
CPZ	51.6217	CPZ	114.5156
CP	1772.106	CP	120.0588
CR1	80.402	CR1	9.5946
CR2	8.6798	CR2	7.1185
CRABP1	6.3956	CRABP1	377.5921
CRABP2	8896.7565	CRABP2	3664.1907
CRADD	79.4884	CRADD	148.8703
CRAMP1L	922.3801	CRAMP1L	1407.3661
CRAT	2026.4961	CRAT	1561.4361
removed	removed	CRB1	10.8326
CRB2	6.8524	CRB2	27.2361
CRB3	510.2787	CRB3	142.3708
CRBN	572.4258	CRBN	1072.5874
CRCP	1448.6067	CRCP	894.7694
CREB1	1136.1352	CREB1	1675.9517
CREB3L1	930.5619	CREB3L1	171.7734
removed	removed	CREB3L2	4295.2646
CREB3L4	1001.3705	CREB3L4	1577.2207
CREB3	575.884	CREB3	1074.5621
CREB5	38.8305	CREB5	242.3398
CREBBP	2408.4057	CREBBP	4232.4358
CREBL2	1243.4902	CREBL2	2482.5132
CREBZF	925.9936	CREBZF	1726.091
CREG1	2492.9191	CREG1	2746.8276
CRELD1	579.7168	CRELD1	538.8425
CRELD2	730.0137	CRELD2	386.8771
CREM	508.9082	CREM	266.7905
removed	removed	CRHBP	11.7611
removed	removed	CRHR1	44.7509
CRIM1	2285.0617	CRIM1	8769.4212
CRIP1	6190.0411	CRIP1	549.675
CRIP2	2448.6067	CRIP2	2018.2606
removed	removed	CRIP3	6.809
CRIPAK	90.4523	CRIPAK	293.4076
CRIPT	303.3349	CRIPT	423.7078
removed	removed	CRISP2	6.809
CRISP3	738.2366	CRISP3	87.2795
CRISPLD1	10.9639	CRISPLD1	2513.7728
CRISPLD2	714.0247	CRISPLD2	1047.9728
CRKL	3568.7529	CRKL	2779.3253
CRK	1073.0927	CRK	1228.7218
CRLF1	41.5715	CRLF1	20.7366
CRLF3	783.4628	CRLF3	400.4952
CRLS1	474.646	CRLS1	687.7128
CRMP1	18.73	CRMP1	155.0851
CRNKL1	1331.6583	CRNKL1	1172.7019
CRNN	5.9388	removed	removed
CROCCL1	207.1357	CROCCL1	462.5534
CROCCL2	32.8917	CROCCL2	134.3237
CROCC	355.4134	CROCC	614.0514
CROT	635.9068	CROT	1170.2259
CRTAC1	92.2796	CRTAC1	439.4924
CRTAM	91.8228	CRTAM	6.809
CRTAP	1993.1476	CRTAP	5372.64
CRTC1	658.2915	CRTC1	489.3222
CRTC2	707.1722	CRTC2	818.3225
CRTC3	1752.8552	CRTC3	1414.4228
CRY1	510.7355	CRY1	482.5132
CRY2	636.3636	CRY2	1466.4191
CRYAB	74.4632	CRYAB	3248.2204
CRYBB2	6.3956	removed	removed
CRYBB3	9.5934	removed	removed
CRYBG3	1280.3426	CRYBG3	648.8022
removed	removed	CRYGN	5.2615
CRYGS	22.8415	CRYGS	18.5701
CRYL1	705.8017	CRYL1	442.5874
CRYM	280.9502	CRYM	17.3321
CRYZL1	215.0799	CRYZL1	388.1708
CRYZ	491.873	CRYZ	896.4841
CSAD	456.3728	CSAD	691.7363
CSAG3	6.8524	removed	removed
CSDAP1	24.6688	CSDAP1	76.7564
CSDA	1467.3367	CSDA	3536.3665
CSDC2	8.2229	CSDC2	47.6633
CSDE1	9171.7679	CSDE1	19321.5723
CSE1L	5300.5939	CSE1L	2194.6766
CSF1R	1774.783	CSF1R	825.441
CSF1	707.6291	CSF1	629.217
CSF2RA	273.1841	CSF2RA	87.2795
CSF2RB	797.6245	CSF2RB	225.6267
CSF3R	1379.1686	CSF3R	102.7546
CSGALNACT1	155.3221	CSGALNACT1	467.0381
CSGALNACT2	755.1393	CSGALNACT2	559.2696
CSK	1794.8835	CSK	946.1467
removed	removed	CSMD1	102.4451
CSMD2	7.7661	removed	removed
CSNK1A1	4376.4276	CSNK1A1	6036.8307
CSNK1D	5814.5272	CSNK1D	2970.2878
CSNK1E	1513.9333	CSNK1E	1985.1099
CSNK1G1	625.3997	CSNK1G1	788.6103
CSNK1G2	1783.0059	CSNK1G2	898.4834
CSNK1G3	613.5222	CSNK1G3	852.9867
CSNK2A1P	460.0274	CSNK2A1P	527.3909
CSNK2A1	1155.7789	CSNK2A1	1240.7923
CSNK2A2	260.8497	CSNK2A2	685.5463
CSNK2B	1753.7688	CSNK2B	1754.5218
CSPG4	330.7446	CSPG4	415.6608
CSPG5	6.3956	CSPG5	20.1176
CSPP1	796.6697	CSPP1	418.1616
CSRNP1	336.2266	CSRNP1	557.7221
CSRNP2	1079.4884	CSRNP2	837.2021
removed	removed	CSRNP3	91.922
CSRP1	2593.8785	CSRP1	25679.9752
CSRP2BP	738.6935	CSRP2BP	755.1842
CSRP2	41.5715	CSRP2	467.3476
CST1	813.6135	removed	removed
CST3	3845.1348	CST3	3348.8084
CST4	14.6185	removed	removed
CST6	407.9488	CST6	19.4986
CST7	366.8342	CST7	39.6162
removed	removed	CST9	22.5936
CSTA	326.6332	CSTA	193.4386
CSTB	2912.2887	CSTB	1474.7756
CSTF1	978.9858	CSTF1	649.3346
CSTF2T	1176.3362	CSTF2T	1238.0068
CSTF2	610.7812	CSTF2	326.2148
CSTF3	961.6263	CSTF3	483.1817
CS	5853.8145	CS	3550.6035
CT62	48.4239	CT62	64.9954
CTAGE4	31.9781	CTAGE4	106.4686
CTAGE5	843.9516	CTAGE5	821.2813
removed	removed	CTAGE6	18.8796
CTAGE9	96.391	CTAGE9	359.641
CTBP1	1171.206	CTBP1	1838.8332
CTBP2	2488.3508	CTBP2	2106.4686
CTBS	312.4669	CTBS	501.6806
CTCFL	23.8191	CTCFL	8.1554
CTCF	1356.3271	CTCF	1776.8493
CTDP1	434.9018	CTDP1	452.801
CTDSP1	1848.3326	CTDSP1	3225.9362
CTDSP2	4293.7414	CTDSP2	9109.2541
CTDSPL2	570.1233	CTDSPL2	886.7224
CTDSPL	629.0544	CTDSPL	3033.7357
CTF1	105.9845	CTF1	262.7669
CTGF	1229.3285	CTGF	1899.7214
CTHRC1	1004.1115	CTHRC1	77.6849
CTH	127.9123	CTH	81.3989
CTLA4	180.9045	CTLA4	10.2136
CTNNA1	6010.5071	CTNNA1	8554.3175
CTNNAL1	391.503	CTNNAL1	703.1879
CTNNB1	5257.1402	CTNNB1	17767.3538
CTNNBIP1	674.2805	CTNNBIP1	1082.637
CTNNBL1	1332.572	CTNNBL1	856.7007
CTNND1	6665.1439	CTNND1	11393.0672
CTNND2	153.9516	CTNND2	166.5119
CTNS	469.7487	CTNS	376.4655
CTPS2	1127.9123	CTPS2	895.6979
CTPS	843.7643	CTPS	253.1724
CTR9	1308.36	CTR9	1969.3593
CTRL	13.2481	CTRL	7.1742
CTSA	4379.3604	CTSA	992.9279
CTSB	34409.7762	CTSB	8258.4339
CTSC	9347.6473	CTSC	859.1767
CTSD	27055.7332	CTSD	7384.7106
CTSE	9.1366	removed	removed
CTSF	802.1928	CTSF	2649.6441
CTSG	10.0503	CTSG	20.1176
CTSH	4487.894	CTSH	1775.3018
CTSK	2023.7551	CTSK	2404.8282
CTSL1	2774.783	CTSL1	1120.3962
CTSL2	167.1996	CTSL2	46.7348
CTSO	815.4408	CTSO	1576.2922
CTSS	7332.572	CTSS	1066.2334
CTSW	484.2394	CTSW	83.5655
CTSZ	10293.7414	CTSZ	3273.909
CTTNBP2NL	514.847	CTTNBP2NL	926.9576
CTTNBP2	8.2229	CTTNBP2	325.5958
CTTN	3183.6455	CTTN	3348.1894
CTU1	57.5605	CTU1	46.7348
CTU2	488.127	CTU2	160.1424
CTXN1	635.45	CTXN1	34.3547
CUBN	15.5322	CUBN	83.256
CUEDC1	1275.0114	CUEDC1	335.1903
CUEDC2	676.5646	CUEDC2	640.978
CUL1	1627.227	CUL1	1492.77
CUL2	1139.7899	CUL2	787.6818
CUL3	1441.2974	CUL3	2212.6277
CUL4A	1194.6094	CUL4A	2148.2513
CUL4B	2090.4523	CUL4B	2615.5989
CUL5	1520.3289	CUL5	1336.1188
CUL7	893.4399	CUL7	1492.5812
CUL9	566.0119	CUL9	993.191
CUTA	1389.2188	CUTA	1628.2885
CUTC	174.7967	CUTC	245.4565
CUX1	1246.2312	CUX1	1028.1647
CUX2	9.1366	CUX2	283.1941
CUZD1	12.7364	CUZD1	38.7187
CWC15	737.323	CWC15	800.6809
CWC22	541.7999	CWC22	763.8502
CWC25	530.836	CWC25	489.3222
CWC27	359.5249	CWC27	435.7784
CWF19L1	751.0279	CWF19L1	520.5819
CWF19L2	456.8296	CWF19L2	610.6469
removed	removed	CWH43	12.3801
CX3CL1	710.8269	CX3CL1	5878.6753
CX3CR1	71.7222	CX3CR1	894.7694
CXADRP3	84.5135	CXADRP3	11.7611
CXADR	40.201	CXADR	359.9505
CXCL10	3517.5879	CXCL10	85.4225
CXCL11	1794.8835	CXCL11	17.6416
CXCL12	1523.5267	CXCL12	5646.5491
CXCL13	2513.9333	CXCL13	47.0443
CXCL14	482.8689	CXCL14	11263.6955
CXCL16	1124.2577	CXCL16	1243.2683
CXCL17	26.4961	CXCL17	116.6821
CXCL1	39.2873	CXCL1	43.3302
CXCL2	18.73	CXCL2	259.3624
removed	removed	CXCL3	30.6407
CXCL5	6.3956	CXCL5	94.7075
CXCL6	8.2229	CXCL6	6.809
CXCL9	13866.6058	CXCL9	226.5552
CXCR2P1	429.8767	removed	removed
CXCR2	5.482	CXCR2	19.1891
CXCR3	438.0996	CXCR3	35.2832
CXCR4	3566.9255	CXCR4	803.7759
CXCR5	76.3682	CXCR5	7.7375
CXCR6	399.2691	CXCR6	50.7583
CXCR7	368.6615	CXCR7	299.9071
CXXC1	870.2604	CXXC1	864.7478
removed	removed	CXXC4	24.4506
CXXC5	917.3138	CXXC5	474.1566
CXorf21	143.9013	CXorf21	50.7583
CXorf23	175.4226	CXorf23	321.8818
CXorf26	634.9931	CXorf26	385.3296
CXorf36	185.9296	CXorf36	886.7224
CXorf38	195.9799	CXorf38	257.1959
CXorf40A	693.0105	CXorf40A	505.7258
CXorf40B	648.698	CXorf40B	594.5528
CXorf42	15.989	CXorf42	33.1167
CXorf56	332.572	CXorf56	341.0709
CXorf57	35.6327	CXorf57	121.9437
CXorf65	6.3956	removed	removed
CYB561D1	185.9296	CYB561D1	610.3374
CYB561D2	535.4637	CYB561D2	234.8406
CYB561	4463.2252	CYB561	2463.324
CYB5A	2730.4705	CYB5A	1073.9709
CYB5B	1158.5199	CYB5B	1229.0313
CYB5D1	634.5363	CYB5D1	1120.7057
CYB5D2	346.7337	CYB5D2	627.6695
CYB5R1	1904.9794	CYB5R1	1479.7276
CYB5R2	35.6327	CYB5R2	264.005
CYB5R3	3482.8689	CYB5R3	3765.3977
CYB5R4	624.4861	CYB5R4	201.7951
CYB5RL	60.3015	CYB5RL	154.4413
CYBASC3	1657.3778	CYBASC3	883.3179
CYBA	3304.2485	CYBA	466.7286
CYBB	4489.7213	CYBB	561.4361
CYBRD1	4063.0425	CYBRD1	10107.3971
CYC1	4554.1343	CYC1	1113.8966
CYCS	2462.7684	CYCS	1308.5732
CYFIP1	2467.7935	CYFIP1	4328.6908
CYFIP2	619.4609	CYFIP2	381.3061
CYGB	189.5843	CYGB	481.2751
CYHR1	1454.5455	CYHR1	576.9112
CYLD	1186.8433	CYLD	1539.4615
CYP11A1	5.482	CYP11A1	48.2823
CYP1B1	682.9603	CYP1B1	1056.0198
CYP20A1	393.3303	CYP20A1	799.4429
CYP21A2	9.6985	CYP21A2	39.8638
CYP24A1	5.482	CYP24A1	11.1421
CYP26A1	6.8524	CYP26A1	85.113
CYP26B1	60.7583	CYP26B1	118.2297
CYP27A1	2263.1339	CYP27A1	848.9632
CYP27B1	105.0708	CYP27B1	35.5927
removed	removed	CYP27C1	8.666
removed	removed	CYP2A6	30.9502
CYP2B7P1	1653.2663	CYP2B7P1	53.5438
CYP2C18	12.7912	removed	removed
removed	removed	CYP2C8	12.0706
CYP2D6	12.7912	CYP2D6	14.5466
removed	removed	CYP2D7P1	15.1656
CYP2E1	11.2243	CYP2E1	34.5125
CYP2J2	195.0662	CYP2J2	618.0749
CYP2R1	181.3614	CYP2R1	274.2185
CYP2S1	312.0146	CYP2S1	69.6379
CYP2U1	217.9077	CYP2U1	647.4776
CYP39A1	40.201	CYP39A1	225.9362
CYP3A5	8.2229	CYP3A5	9.9041
CYP46A1	5.9388	CYP46A1	34.6642
CYP4B1	2146.6423	CYP4B1	135.8712
CYP4F11	472.8186	CYP4F11	175.178
CYP4F12	14.1617	CYP4F12	36.2117
CYP4F22	26.9529	CYP4F22	547.199
CYP4F3	156.2357	CYP4F3	14.8561
removed	removed	CYP4F8	355.6175
CYP4V2	159.8904	CYP4V2	637.883
CYP4X1	733.6683	CYP4X1	3822.965
CYP4Z1	10606.6697	CYP4Z1	3264.9335
CYP4Z2P	1810.8725	CYP4Z2P	966.8833
CYP51A1	1290.5436	CYP51A1	1499.2262
