gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
C7orf47	139.8305	C7orf47	261.0816
C7orf49	314.5424	C7orf49	628.8076
C7orf50	1428.8136	C7orf50	1438.3865
removed	removed	C7orf51	35.9043
removed	removed	C7orf53	5.7624
C7orf55	254.7712	C7orf55	359.0426
C7orf58	188.1356	C7orf58	113.0319
C7orf59	1491.5254	C7orf59	1526.5957
C7orf60	415.2542	C7orf60	210.5496
C7orf61	8.4746	C7orf61	26.5957
C7orf63	21.1864	C7orf63	116.1348
C7orf64	212.7119	C7orf64	211.4362
C7orf68	2283.0508	C7orf68	301.4184
C7orf70	888.9831	C7orf70	440.1596
C7	64.4068	C7	232.7128
C8orf30A	523.7288	C8orf30A	728.7234
C8orf31	5.0847	removed	removed
C8orf33	955.0847	C8orf33	1045.2128
C8orf37	77.1186	C8orf37	82.0035
C8orf38	369.4915	C8orf38	240.6915
C8orf40	573.7288	C8orf40	660.461
C8orf41	452.3051	C8orf41	305.297
C8orf42	300	C8orf42	434.8404
C8orf44	8.9153	C8orf44	25.7092
C8orf45	44.0678	C8orf45	27.4823
C8orf46	11.8644	C8orf46	14.6277
C8orf47	6.7797	C8orf47	33.6879
C8orf48	11.0169	C8orf48	31.9149
C8orf4	978.8136	C8orf4	1443.2624
C8orf51	57.6271	C8orf51	51.4184
C8orf55	894.9153	C8orf55	1545.656
C8orf58	171.1864	C8orf58	350.1773
C8orf59	867.2881	C8orf59	585.1817
C8orf73	130.5085	C8orf73	93.9716
removed	removed	C8orf75	7.9787
C8orf76	550	C8orf76	250
C8orf79	16.9492	C8orf79	320.0355
C8orf80	5.0847	C8orf80	5.3191
C8orf83	1447.4576	C8orf83	445.4787
C8orf84	148.3051	C8orf84	652.4823
C8orf85	243.2203	C8orf85	616.1348
C9orf100	43.1017	C9orf100	52.8191
C9orf102	55.3644	C9orf102	34.8715
C9orf103	166.9492	C9orf103	105.0532
C9orf109	5.0847	C9orf109	30.5851
C9orf110	103.3898	C9orf110	126.773
C9orf114	425.7881	C9orf114	904.6587
C9orf116	94.0678	C9orf116	113.4752
removed	removed	C9orf117	14.6277
C9orf119	242.3729	C9orf119	316.9326
C9orf122	5.0847	C9orf122	36.3475
C9orf123	809.322	C9orf123	1011.5248
C9orf125	42.3729	C9orf125	76.6844
C9orf128	6.7797	removed	removed
C9orf129	73.7288	C9orf129	67.4202
C9orf130	69.1441	C9orf130	208.7012
C9orf140	727.9661	C9orf140	400.7092
C9orf142	388.9831	C9orf142	649.3794
C9orf150	839.8305	C9orf150	690.1596
C9orf152	933.0508	C9orf152	803.1915
C9orf156	187.2881	C9orf156	285.9043
removed	removed	C9orf163	5.3191
C9orf167	146.6102	C9orf167	85.1064
removed	removed	C9orf169	8.3466
C9orf16	555.0847	C9orf16	1419.3262
C9orf21	173.7288	C9orf21	141.844
C9orf23	314.4068	C9orf23	612.5887
C9orf25	390.678	C9orf25	463.2092
C9orf30	412.339	C9orf30	196.8395
C9orf37	66.9492	C9orf37	144.9468
C9orf3	317.2034	C9orf3	309.6277
C9orf40	52.5424	C9orf40	114.3617
C9orf41	135.5932	C9orf41	107.2695
removed	removed	C9orf43	7.9787
C9orf44	5.9322	removed	removed
C9orf45	45.7627	C9orf45	267.2872
C9orf46	799.1525	C9orf46	599.734
C9orf47	17.1695	C9orf47	13.7766
removed	removed	C9orf50	5.3191
C9orf5	1607.6271	C9orf5	1479.1667
C9orf64	448.3051	C9orf64	366.1348
removed	removed	C9orf66	59.3972
removed	removed	C9orf68	62.0567
C9orf69	712.7119	C9orf69	1294.7695
C9orf6	464.4068	C9orf6	397.1631
C9orf72	80.5085	C9orf72	125.8865
C9orf78	1227.1186	C9orf78	1311.1702
C9orf7	716.1017	C9orf7	1263.7411
C9orf80	370.339	C9orf80	191.0461
C9orf82	388.9831	C9orf82	317.3759
C9orf85	155.0847	C9orf85	166.6667
C9orf86	1651.6949	C9orf86	2557.6241
C9orf89	1085.5932	C9orf89	675.5319
C9orf91	642.3729	C9orf91	910.461
C9orf93	39.8305	C9orf93	60.2837
C9orf95	300	C9orf95	331.117
removed	removed	C9orf96	11.0816
C9orf98	57.6271	C9orf98	83.3333
C9orf9	61.8644	C9orf9	253.1028
CA10	5.0847	removed	removed
CA11	31.3559	CA11	381.6489
CA12	4661.0169	CA12	4282.8014
CA13	73.7288	CA13	125.7447
removed	removed	CA14	11.9681
CA2	436.4407	CA2	675.0887
removed	removed	CA3	411.9326
removed	removed	CA4	72.695
CA5BP	265.2542	CA5BP	246.0106
CA5B	94.0678	CA5B	210.297
removed	removed	CA6	38.5638
CA8	277.9661	CA8	524.3794
CA9	487.1102	removed	removed
CAB39L	1016.1017	CAB39L	1167.1099
CAB39	1932.2034	CAB39	1479.1667
CABC1	661.0169	CABC1	1360.9752
removed	removed	CABIN1	1907.8014
CABLES1	731.3559	CABLES1	801.8617
CABLES2	277.9661	CABLES2	238.9184
removed	removed	CABP1	20.8333
removed	removed	CABP4	31.0239
removed	removed	CABP7	6.7021
CABYR	49.1525	CABYR	199.9113
CACHD1	215.2542	CACHD1	813.8298
CACNA1A	16.9492	CACNA1A	38.1206
CACNA1C	162.7119	CACNA1C	382.5355
CACNA1D	13.5593	CACNA1D	209.6631
removed	removed	CACNA1F	7.0922
CACNA1G	5.0847	CACNA1G	222.0745
removed	removed	CACNA1H	61.1702
removed	removed	CACNA1I	13.7411
CACNA2D1	30.5085	CACNA2D1	9.7518
CACNA2D2	45.7627	CACNA2D2	237.1454
CACNA2D3	5.9322	CACNA2D3	6.2057
CACNA2D4	17.7966	CACNA2D4	34.5745
CACNB1	31.3559	CACNB1	132.0922
CACNB2	5.0847	CACNB2	32.3582
CACNB3	493.2203	CACNB3	640.9574
CACNB4	368.6441	CACNB4	135.195
CACNG1	83.8983	CACNG1	12.8546
CACNG4	2755.0847	CACNG4	3115.6915
CACYBP	1794.9153	CACYBP	1202.5709
CADM1	803.3898	CADM1	954.344
removed	removed	CADM2	18.617
CADM3	10.1695	CADM3	680.3768
CADM4	803.3898	CADM4	1301.4184
CADPS2	167.7966	CADPS2	1169.3262
CADPS	14.4068	removed	removed
CAD	778.8136	CAD	1852.8369
CALB2	245.7627	CALB2	207.0035
CALCOCO1	1083.0508	CALCOCO1	2270.8333
CALCOCO2	16177.9661	CALCOCO2	2935.2837
CALCRL	514.4068	CALCRL	194.5922
removed	removed	CALCR	5.3191
CALD1	7586.4407	CALD1	4567.8191
CALHM2	680.5085	CALHM2	681.2943
CALHM3	6.7797	removed	removed
CALM1	5908.4746	CALM1	4899.3794
CALM2	20534.7458	CALM2	9515.0709
CALM3	5910.1695	CALM3	5802.305
CALML3	546.6102	CALML3	1073.1383
CALML4	238.9831	CALML4	220.3014
CALML5	26.2712	CALML5	937.5
CALR	15943.2203	CALR	15753.1028
CALU	6481.3559	CALU	2329.7872
CAMK1D	60.1695	CAMK1D	30.1418
CAMK1G	8.4746	removed	removed
CAMK1	161.0169	CAMK1	327.8369
removed	removed	CAMK2A	9.3085
CAMK2B	14.4068	CAMK2B	611.2589
CAMK2D	955.9322	CAMK2D	742.0213
CAMK2G	518.6441	CAMK2G	712.766
CAMK2N1	2320.339	CAMK2N1	1916.6667
CAMK2N2	40.678	CAMK2N2	17.7305
CAMK4	53.3898	removed	removed
CAMKK1	212.7119	CAMKK1	273.9362
CAMKK2	1072.0339	CAMKK2	1717.6418
CAMLG	1260.1695	CAMLG	896.2766
removed	removed	CAMP	7.9787
CAMSAP1L1	722.0339	CAMSAP1L1	619.6809
CAMSAP1	791.5254	CAMSAP1	954.7872
CAMTA1	851.6949	CAMTA1	626.773
CAMTA2	442.3729	CAMTA2	1324.4681
CAND1	4859.322	CAND1	2395.3901
CAND2	17.7966	CAND2	102.8369
CANT1	2037.2881	CANT1	2316.0461
CANX	21841.5254	CANX	14232.2695
CAP1	8018.6441	CAP1	6742.0213
CAP2	264.4068	CAP2	343.9716
CAPG	4795.7627	CAPG	4634.7518
CAPN10	46.8729	CAPN10	271.2766
removed	removed	CAPN11	170.2128
CAPN12	52.3475	CAPN12	88.0053
CAPN13	1416.9492	CAPN13	728.2801
CAPN1	4527.9661	CAPN1	6834.0691
CAPN2	4977.1186	CAPN2	4714.0957
CAPN3	6.7797	CAPN3	82.5754
CAPN5	234.7458	CAPN5	527.9255
CAPN6	61.0169	CAPN6	1157.8014
CAPN7	811.0169	CAPN7	634.7518
CAPN8	592.3729	CAPN8	742.4645
CAPN9	238.1356	CAPN9	185.2837
CAPNS1	8700	CAPNS1	10692.3759
CAPRIN1	7616.9492	CAPRIN1	6011.0816
CAPRIN2	69.4915	CAPRIN2	195.0355
removed	removed	CAPS2	24.8227
CAPSL	8.4746	removed	removed
CAPS	1005.0847	CAPS	1085.9929
CAPZA1	5120.339	CAPZA1	2562.0567
CAPZA2	2565.2542	CAPZA2	1636.5248
removed	removed	CAPZA3	10.6383
CAPZB	7734.7458	CAPZB	4755.7624
CARD10	326.2712	CARD10	841.3121
CARD11	60.1695	CARD11	97.5177
CARD14	50.8475	CARD14	217.1986
CARD16	116.1017	CARD16	152.039
removed	removed	CARD18	7.5355
CARD6	94.0678	CARD6	224.2908
CARD8	397.4576	CARD8	403.8121
CARD9	22.8814	CARD9	298.3156
CARHSP1	2660.0847	CARHSP1	1644.7252
CARKD	1054.2373	CARKD	1539.8936
CARM1	1124.5763	CARM1	1240.2482
CARNS1	8.4746	CARNS1	37.6817
CARS2	419.4915	CARS2	932.2163
CARS	811.0169	CARS	1046.9858
removed	removed	CASC1	22.6064
CASC2	19.4915	CASC2	38.1206
CASC3	1030.5085	CASC3	2428.1915
CASC4	2697.4576	CASC4	1735.8156
CASC5	212.7119	CASC5	23.4929
CASD1	400	CASD1	550.9752
CASKIN1	22.1864	CASKIN1	16.7199
CASKIN2	352.5424	CASKIN2	1216.6933
CASK	1632.2034	CASK	1540.3369
CASP10	462.7119	CASP10	137.8546
CASP14	74.5763	removed	removed
CASP1	275.4237	CASP1	678.1915
CASP2	709.322	CASP2	1162.6773
CASP3	1061.8644	CASP3	632.5355
CASP4	1275.4237	CASP4	932.6241
CASP5	5.0847	removed	removed
CASP6	587.2881	CASP6	550.5319
CASP7	1387.2881	CASP7	727.3936
CASP8AP2	323.7288	CASP8AP2	246.4539
CASP8	488.1356	CASP8	490.2482
CASP9	364.4068	CASP9	355.4965
removed	removed	CASQ1	6.2057
CASQ2	30.5085	CASQ2	39.8936
CASS4	74.5763	CASS4	15.9574
CAST	3382.1695	CAST	4440.0355
CASZ1	299.1525	CASZ1	985.8156
CATSPER1	16.1017	removed	removed
CATSPER2P1	12.7966	CATSPER2P1	22.2917
CATSPER2	9.322	CATSPER2	33.6879
CATSPER3	18.6441	CATSPER3	5.8777
CATSPERB	105.0847	CATSPERB	48.7589
CATSPERG	11.0169	CATSPERG	36.7908
CAT	1347.4576	CAT	1952.1277
CAV1	1266.1017	CAV1	3263.2979
CAV2	517.7966	CAV2	996.0106
CBARA1	1246.6102	CBARA1	1123.227
CBFA2T2	311.8644	CBFA2T2	786.7908
CBFA2T3	117.7966	CBFA2T3	169.7695
CBFB	813.5593	CBFB	700.3546
CBLB	460.1695	CBLB	333.7766
CBLC	367.7966	CBLC	390.5142
CBLL1	652.5424	CBLL1	534.5745
removed	removed	CBLN1	12.4113
CBLN2	705.0847	removed	removed
CBLN3	43.2203	CBLN3	59.3972
removed	removed	CBLN4	5.7624
CBL	404.2373	CBL	699.9113
CBR1	647.4576	CBR1	1069.9379
CBR3	754.8475	CBR3	627.1853
CBR4	988.9831	CBR4	558.5106
CBS	100.8475	CBS	282.8014
CBWD1	661.8644	CBWD1	843.0851
CBWD2	450	CBWD2	619.2376
CBWD3	295.0932	CBWD3	265.6294
CBWD5	9.9915	CBWD5	6.977
CBWD6	126.2712	CBWD6	145.8333
CBX1	6069.4915	CBX1	2233.5993
CBX2	731.3559	CBX2	201.2411
CBX3	5419.4915	CBX3	2820.0355
CBX4	374.5763	CBX4	757.5355
CBX5	1595.7627	CBX5	3153.3688
CBX6	192.3729	CBX6	820.0355
CBX7	197.4576	CBX7	1240.2482
CBX8	148.3051	CBX8	191.9326
CBY1	772.822	CBY1	930.5585
removed	removed	CC2D1A	1665.3369
CC2D1B	287.2881	CC2D1B	746.0106
CC2D2A	88.1356	CC2D2A	294.7695
CC2D2B	5.9322	removed	removed
CCAR1	1115.2542	CCAR1	938.8298
CCBE1	13.5593	CCBE1	14.6277
CCBL1	76.2712	CCBL1	115.6915
CCBL2	286.339	CCBL2	708.289
CCBP2	13.5593	CCBP2	818.7057
CCDC101	254.2373	CCDC101	430.4078
CCDC102A	113.5593	CCDC102A	344.4149
CCDC102B	83.8983	CCDC102B	53.1915
CCDC103	32.2034	CCDC103	192.3759
CCDC104	822.0339	CCDC104	944.1489
CCDC106	193.2203	CCDC106	417.1099
CCDC107	468.1017	CCDC107	446.7642
removed	removed	CCDC108	9.7518
CCDC109A	626.2712	CCDC109A	370.1241
CCDC109B	658.4746	CCDC109B	198.1383
CCDC110	90.678	CCDC110	50.0887
CCDC111	138.9831	CCDC111	216.7243
CCDC112	315.2542	CCDC112	141.844
CCDC113	31.2797	CCDC113	252.6596
CCDC114	15.2542	CCDC114	17.2872
CCDC115	738.1356	CCDC115	1033.2447
removed	removed	CCDC116	7.0922
CCDC117	1197.4576	CCDC117	636.5248
CCDC11	9.322	CCDC11	35.461
CCDC120	249.1525	CCDC120	681.7376
CCDC121	94.9153	CCDC121	93.5284
CCDC122	33.0508	CCDC122	70.4787
CCDC123	411.8644	CCDC123	465.4255
CCDC124	1005.9322	CCDC124	1152.4823
CCDC125	272.8814	CCDC125	395.3901
CCDC126	223.7288	CCDC126	145.3901
CCDC127	482.2034	CCDC127	429.5213
removed	removed	CCDC129	10.6383
CCDC12	364.4068	CCDC12	728.7234
CCDC130	228.8136	CCDC130	427.7482
CCDC132	205.0847	CCDC132	463.2092
CCDC134	51.6949	CCDC134	62.5
CCDC136	22.0339	CCDC136	121.4539
CCDC137	220.339	CCDC137	464.0957
CCDC138	28.8136	CCDC138	36.3475
removed	removed	CCDC13	6.6489
CCDC142	22.0339	CCDC142	112.5931
CCDC144A	7.2542	CCDC144A	5.8466
CCDC144B	14.4068	removed	removed
CCDC146	36.4407	CCDC146	69.5922
removed	removed	CCDC147	10.6383
removed	removed	CCDC148	29.2553
CCDC149	551.6949	CCDC149	717.1986
CCDC14	311.8644	CCDC14	573.5816
removed	removed	CCDC151	10.195
CCDC152	40.1525	CCDC152	106.3785
removed	removed	CCDC153	9.3085
CCDC157	10.178	CCDC157	73.3112
removed	removed	CCDC158	15.0709
CCDC159	85.5932	CCDC159	274.8227
CCDC15	50	CCDC15	64.7163
CCDC160	12.7119	CCDC160	58.0674
removed	removed	CCDC163P	15.0709
CCDC17	5.0847	removed	removed
CCDC18	7.6271	CCDC18	33.2535
removed	removed	CCDC19	31.4716
CCDC21	215.2542	CCDC21	284.5745
CCDC22	296.4492	CCDC22	671.4761
CCDC23	386.4407	CCDC23	340.8688
CCDC24	74.5763	CCDC24	321.5913
CCDC25	1100.8475	CCDC25	1147.6064
CCDC28A	383.0508	CCDC28A	402.9211
CCDC28B	27.1186	CCDC28B	134.7518
CCDC30	20.339	CCDC30	78.0142
CCDC34	151.6949	CCDC34	298.7589
CCDC36	6.7797	CCDC36	6.2057
removed	removed	CCDC39	6.5603
CCDC3	172.0339	CCDC3	460.9929
CCDC40	11.0169	CCDC40	134.7518
CCDC41	57.6271	CCDC41	131.6489
removed	removed	CCDC42B	6.4096
CCDC43	320.339	CCDC43	401.5957
CCDC45	4764.4068	CCDC45	1028.8121
CCDC46	66.9492	CCDC46	144.0603
CCDC47	11122.8814	CCDC47	3567.3759
CCDC48	294.9153	CCDC48	236.2589
CCDC50	1011.8644	CCDC50	1316.0461
CCDC51	164.4068	CCDC51	353.2801
CCDC52	424.5763	CCDC52	238.0319
CCDC53	434.7458	CCDC53	446.3652
CCDC55	412.7119	CCDC55	631.6489
CCDC56	521.3983	CCDC56	1126.9193
CCDC57	241.5254	CCDC57	570.922
CCDC58	140.678	CCDC58	179.078
CCDC59	468.6441	CCDC59	344.8582
CCDC61	106.7797	CCDC61	230.0532
CCDC62	5.9322	removed	removed
CCDC64B	180.5085	CCDC64B	701.6844
CCDC64	278.8136	CCDC64	461.4362
CCDC65	11.0169	CCDC65	18.1738
CCDC66	80.839	CCDC66	210.492
CCDC68	5.0847	CCDC68	9.3085
CCDC69	142.3729	CCDC69	522.1631
CCDC6	4199.1525	CCDC6	2652.039
CCDC71	305.0847	CCDC71	747.7837
CCDC72	1444.0678	CCDC72	1339.9823
CCDC73	183.0593	CCDC73	21.8262
CCDC74A	86.4407	CCDC74A	310.727
removed	removed	CCDC74B	78.4574
CCDC75	59.322	CCDC75	22.1631
CCDC76	215.2542	CCDC76	148.7012
CCDC77	107.6271	CCDC77	148.4929
CCDC78	10.1695	CCDC78	11.9681
CCDC7	53.3898	CCDC7	22.1631
CCDC80	3416.1017	CCDC80	1216.3121
CCDC81	6.7797	CCDC81	6.6489
CCDC82	135.5932	CCDC82	230.9397
CCDC84	11.8644	CCDC84	94.4149
CCDC85A	5.9322	CCDC85A	41.2234
CCDC85B	194.9153	CCDC85B	490.2482
CCDC85C	312.4068	CCDC85C	1121.3608
CCDC86	434.7458	CCDC86	876.3121
CCDC87	16.1017	CCDC87	24.8227
removed	removed	CCDC88A	257.0922
CCDC88B	61.0169	CCDC88B	396.2766
CCDC88C	584.7458	CCDC88C	1317.3759
CCDC89	9.322	CCDC89	25.7092
CCDC8	488.1356	CCDC8	2270.3901
CCDC90A	466.1017	CCDC90A	361.2589
CCDC90B	548.3051	CCDC90B	672.4113
CCDC91	274.5763	CCDC91	347.0745
CCDC92	766.9492	CCDC92	1100.6206
CCDC93	302.5424	CCDC93	805.4078
CCDC94	377.9661	CCDC94	616.1348
CCDC96	31.3559	CCDC96	140.0709
CCDC97	770.339	CCDC97	1300.0887
CCDC99	265.2542	CCDC99	119.6809
CCDC9	542.3729	CCDC9	585.5496
CCHCR1	288.1356	CCHCR1	684.3972
CCIN	11.8644	CCIN	5.3191
CCL11	7.6271	removed	removed
CCL13	75.4237	CCL13	9.7518
CCL14	85.5932	CCL14	1523.0186
CCL18	31.3559	CCL18	14.1844
CCL19	55.0847	CCL19	99.2908
CCL20	17.7966	CCL20	5.7624
removed	removed	CCL21	713.6525
CCL22	124.5763	CCL22	217.6418
removed	removed	CCL23	7.0922
CCL28	53.3898	CCL28	1435.2837
CCL2	418.6441	CCL2	468.9716
CCL3L1	9.322	removed	removed
CCL3	72.0339	CCL3	26.1525
CCL4L2	45.7627	CCL4L2	16.4007
CCL4	155.0847	CCL4	33.6879
CCL5	639.8305	CCL5	696.3652
CCL8	70.339	CCL8	18.1738
CCM2	910.1695	CCM2	1187.0567
CCNA1	22.8814	CCNA1	15.5142
CCNA2	1015.9407	CCNA2	120.2527
CCNB1IP1	535.5932	CCNB1IP1	1038.1206
CCNB1	2409.322	CCNB1	379.4326
CCNB2	856.7797	CCNB2	111.7021
CCNB3	5.9322	CCNB3	11.9681
CCNC	1555.0847	CCNC	1164.8936
CCND1	8002.822	CCND1	5780.43
CCND2	977.9661	CCND2	1367.9078
CCND3	800.8475	CCND3	1925.0887
CCNDBP1	980.5085	CCNDBP1	1007.5355
CCNE1	61.0169	CCNE1	46.0993
CCNE2	420.8051	CCNE2	57.6241
CCNF	639.8305	CCNF	216.7553
CCNG1	816.1017	CCNG1	1947.2518
CCNG2	5101.6949	CCNG2	2031.0284
CCNH	467.8305	CCNH	501.2278
CCNI2	12.6356	CCNI2	8.6658
CCNI	7946.6102	CCNI	5482.2695
CCNJL	59.322	CCNJL	217.6418
CCNJ	122.0339	CCNJ	156.9149
CCNK	1140.1356	CCNK	889.2775
CCNL1	300.8475	CCNL1	854.1667
CCNL2	1022.8814	CCNL2	1355.9397
CCNO	50	CCNO	160.9043
CCNT1	79.661	CCNT1	49.6454
CCNT2	685.5932	CCNT2	362.1454
CCNYL1	267.7966	CCNYL1	279.2553
CCNY	1622.8814	CCNY	1750.4433
CCPG1	2062.5085	CCPG1	1472.695
CCR10	11.0169	CCR10	16.4007
CCR1	331.3559	CCR1	95.3014
CCR2	58.4746	CCR2	55.4078
CCR4	11.0169	removed	removed
CCR5	137.2881	CCR5	128.9894
CCR6	84.2458	CCR6	323.4929
CCR7	30.5085	CCR7	29.2553
CCRL1	72.0339	CCRL1	33.6879
CCRL2	43.2203	CCRL2	43.4397
CCRN4L	206.7797	CCRN4L	89.539
CCS	388.1356	CCS	593.0851
CCT2	4890.678	CCT2	3635.6383
CCT3	8483.8983	CCT3	8266.844
CCT4	4584.7458	CCT4	5046.0993
CCT5	6403.3898	CCT5	4106.8262
CCT6A	4778.8136	CCT6A	4152.039
removed	removed	CCT6B	94.4149
CCT6P1	30.5085	CCT6P1	57.1809
CCT7	6062.7119	CCT7	6203.9007
CCT8	5242.3729	CCT8	4007.5355
CD101	18.6441	CD101	48.3156
CD109	902.5424	CD109	456.5603
CD14	1557.6271	CD14	2575.7979
CD151	5579.661	CD151	11184.8404
removed	removed	CD160	17.7305
CD163L1	96.6102	CD163L1	258.422
CD163	1216.9492	CD163	295.656
removed	removed	CD164L2	116.578
CD164	14027.9661	CD164	5852.8369
CD180	137.2881	CD180	236.7021
CD1A	19.4915	removed	removed
removed	removed	CD1C	49.6454
CD1D	14.4068	CD1D	35.9043
CD1E	5.0847	CD1E	27.9255
CD200R1	11.0169	CD200R1	7.0922
CD200	199.1525	CD200	689.7163
CD207	16.1017	CD207	46.5426
CD209	42.3729	CD209	213.6525
CD226	45.7627	CD226	6.2057
CD22	33.8983	CD22	51.4184
CD244	7.6271	CD244	29.6986
CD247	41.5254	CD247	67.8191
CD248	1287.2881	CD248	2302.305
CD24	121200	CD24	23034.5745
CD274	39.8305	CD274	7.5355
CD276	3848.3051	CD276	2320.0355
CD27	96.2627	CD27	79.4814
CD28	44.9153	CD28	13.7411
CD2AP	1613.5593	CD2AP	907.3582
CD2BP2	1616.1017	CD2BP2	2086.4362
CD2	193.2203	CD2	177.7482
CD300A	382.2034	CD300A	142.2872
CD300C	55.0847	CD300C	20.8333
CD300E	6.7797	removed	removed
CD300LB	13.5593	CD300LB	9.7518
CD300LF	25.4237	CD300LF	24.3794
removed	removed	CD300LG	275.266
CD302	553.3898	CD302	809.8404
CD320	133.8983	CD320	632.0922
CD33	75.4237	CD33	42.1099
CD34	871.1864	CD34	2642.2872
CD36	617.7966	CD36	1572.2518
CD37	222.0339	CD37	208.3333
CD38	33.8983	CD38	8.8652
CD3D	116.9492	CD3D	103.7234
CD3EAP	311.8644	CD3EAP	635.4122
CD3E	146.6102	CD3E	257.5355
CD3G	13.5593	CD3G	14.1844
CD40LG	6.7797	CD40LG	9.7518
CD40	469.4915	CD40	354.1667
CD44	10016.9492	CD44	7486.7021
CD46	5783.8983	CD46	3906.9149
CD47	3263.5593	CD47	2408.6879
CD48	278.8136	CD48	164.0071
CD4	1500.8475	CD4	909.1312
CD52	240.678	CD52	181.7376
CD53	840.678	CD53	373.6702
CD55	2089.8305	CD55	1418.883
CD58	185.5932	CD58	152.039
CD59	98059.322	CD59	21449.9113
CD5	45.7627	CD5	59.8404
CD63	22435.5932	CD63	15751.773
CD68	3194.9153	CD68	1167.5532
CD69	91.5254	CD69	30.5851
CD6	81.3559	CD6	104.6099
CD70	5.0847	removed	removed
CD72	127.1186	CD72	25.7092
CD74	40998.3051	CD74	36625.8865
CD79A	51.6949	CD79A	78.0142
CD79B	23.7288	CD79B	196.8085
CD7	55.0847	CD7	152.4823
CD80	30.5085	removed	removed
CD81	7190.678	CD81	16911.7908
CD82	890.678	CD82	2207.8901
CD83	302.5424	CD83	145.3901
CD84	81.3559	CD84	18.1738
CD86	388.9831	CD86	88.2092
CD8A	152.5424	CD8A	264.1844
CD8B	48.3051	CD8B	108.156
CD93	2166.9492	CD93	1391.844
CD96	77.1186	CD96	77.5709
CD97	705.0847	CD97	774.8227
CD99L2	847.4576	CD99L2	1030.5851
CD99	8114.4068	CD99	2116.1348
CD9	10455.9322	CD9	6400.266
CDADC1	118.6441	CDADC1	154.6986
CDAN1	211.0169	CDAN1	460.5496
CDA	37.2881	CDA	25.7092
CDC123	1292.3814	CDC123	1002.2961
CDC14A	126.2712	CDC14A	230.0532
CDC14B	125.4237	CDC14B	299.6454
CDC16	1316.9492	CDC16	1547.8723
removed	removed	CDC20B	7.5355
CDC20	518.6441	CDC20	167.9965
CDC23	776.2712	CDC23	718.9716
CDC25A	63.5593	CDC25A	90.8688
CDC25B	943.2203	CDC25B	684.3972
CDC25C	311.8644	CDC25C	21.2766
CDC26	182.2034	CDC26	149.3794
CDC27	898.3051	CDC27	860.8156
CDC34	892.3729	CDC34	990.6915
CDC37L1	360.1695	CDC37L1	452.1277
CDC37	3909.322	CDC37	4135.6383
CDC40	1100.8475	CDC40	534.5745
CDC42BPA	1387.2881	CDC42BPA	847.961
CDC42BPB	2141.5254	CDC42BPB	3049.2021
CDC42BPG	217.7966	CDC42BPG	1363.0319
CDC42EP1	2170.339	CDC42EP1	4281.9149
CDC42EP2	238.9831	CDC42EP2	420.2128
CDC42EP3	281.3559	CDC42EP3	417.9965
CDC42EP4	1132.2034	CDC42EP4	2995.5674
CDC42EP5	700.8475	CDC42EP5	326.6844
CDC42SE1	1791.8136	CDC42SE1	2526.2633
CDC42SE2	1390.678	CDC42SE2	1212.766
CDC42	25673.7288	CDC42	5826.2411
CDC45	383.0508	CDC45	109.4858
CDC5L	1125.4237	CDC5L	878.5461
CDC6	300	CDC6	201.2411
CDC73	979.661	CDC73	592.6418
CDC7	39.8305	CDC7	66.9326
CDCA2	239.8305	CDCA2	44.3262
CDCA3	266.9915	CDCA3	65.195
CDCA4	673.7288	CDCA4	346.1879
CDCA5	876.2712	CDCA5	218.0851
CDCA7L	404.1864	CDCA7L	829.211
CDCA7	192.3729	CDCA7	90.8688
CDCA8	334.7458	CDCA8	113.0319
CDCP1	1507.6271	CDCP1	1230.9397
CDH11	4078.8136	CDH11	918.883
removed	removed	CDH12	35.9043
CDH13	527.9661	CDH13	222.5177
CDH15	13.5593	removed	removed
removed	removed	CDH17	22.6064
removed	removed	CDH19	6.6489
CDH1	10471.1864	CDH1	12962.766
removed	removed	CDH22	32.3582
CDH23	66.9492	CDH23	234.0426
CDH24	68.6441	CDH24	125.4433
removed	removed	CDH26	7.0922
CDH2	5173.7288	CDH2	35.461
CDH3	2021.1864	CDH3	5009.3085
CDH4	5.0847	CDH4	38.5638
CDH5	532.2034	CDH5	898.4929
CDH6	28.8136	CDH6	30.1418
CDH7	26.2712	removed	removed
CDHR1	8.4746	CDHR1	14.6277
removed	removed	CDHR3	38.3599
CDIPT	1573.7288	CDIPT	2378.5461
CDK10	252.5424	CDK10	854.6099
CDK11A	638.7203	CDK11A	385.9973
CDK11B	1096.8729	CDK11B	1063.0275
CDK12	1015.2542	CDK12	775.7092
CDK13	809.322	CDK13	801.4184
CDK14	840.678	CDK14	502.6596
CDK15	13.5593	removed	removed
CDK16	1391.5254	CDK16	2044.3262
CDK17	891.5254	CDK17	433.0674
CDK18	139.8305	CDK18	517.2872
CDK19	2444.1864	CDK19	576.9193
CDK1	1768.6441	CDK1	183.0674
CDK20	124.5763	CDK20	204.7872
CDK2AP1	3259.322	CDK2AP1	3685.727
CDK2AP2	938.9831	CDK2AP2	1110.3723
CDK2	713.5593	CDK2	605.0532
CDK3	44.2034	CDK3	94.9379
CDK4	3087.2881	CDK4	2781.0284
CDK5R1	44.9153	CDK5R1	111.2589
CDK5RAP1	449.1525	CDK5RAP1	496.0106
