gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
ACOT7	366.1017	ACOT7	632.0922
ACOT8	205.5763	ACOT8	385.266
ACOT9	566.1017	ACOT9	426.4184
ACOX1	683.8983	ACOX1	1070.0355
ACOX2	68.6441	ACOX2	296.5426
ACOX3	475.4237	ACOX3	1024.3794
ACP1	2211.0169	ACP1	1578.4574
ACP2	1336.4407	ACP2	1210.9929
ACP5	992.3729	ACP5	893.1738
ACP6	442.3729	ACP6	508.422
ACPL2	246.6102	ACPL2	479.6099
ACPP	61.0169	ACPP	42.9965
ACRBP	18.6441	ACRBP	7.9787
ACRC	5.9322	ACRC	10.6383
removed	removed	ACR	5.3191
removed	removed	ACSBG1	13.2979
ACSF2	1007.6271	ACSF2	1621.0106
ACSF3	258.4746	ACSF3	487.1454
ACSL1	918.6441	ACSL1	2028.8121
ACSL3	5677.1186	ACSL3	4488.4752
ACSL4	942.3729	ACSL4	558.9539
ACSL5	301.6949	ACSL5	597.0745
removed	removed	ACSL6	8.422
ACSM1	6.7797	ACSM1	148.0496
ACSM3	16.0763	ACSM3	123.0718
removed	removed	ACSM5	11.9681
ACSS1	272.8814	ACSS1	1397.1631
ACSS2	455.9322	ACSS2	1616.578
ACSS3	591.5254	ACSS3	150.7092
ACTA1	16.1017	ACTA1	6.2057
ACTA2	11416.8729	ACTA2	30527.6995
ACTB	112065.2542	ACTB	104422.8723
ACTC1	14.4068	removed	removed
ACTG1	63869.4915	ACTG1	90246.4539
ACTG2	724.5763	ACTG2	6106.8262
ACTL6A	2232.2034	ACTL6A	928.6348
ACTN1	12085.5932	ACTN1	11483.5993
ACTN4	8190.0254	ACTN4	14408.4486
ACTR10	1301.6949	ACTR10	1097.5177
ACTR1A	2783.8983	ACTR1A	3270.8333
ACTR1B	1159.322	ACTR1B	2070.922
ACTR2	7684.7458	ACTR2	3425.9752
ACTR3B	53.3898	ACTR3B	273.4929
ACTR3C	6.7797	ACTR3C	41.6667
ACTR3	7377.9661	ACTR3	2990.6915
ACTR5	197.4576	ACTR5	230.9397
ACTR6	679.661	ACTR6	558.9539
ACTR8	350	ACTR8	466.3121
ACVR1B	1327.1186	ACVR1B	1258.8652
ACVR1C	14.4068	ACVR1C	55.8511
ACVR1	1510.1695	ACVR1	1079.7872
ACVR2A	522.0339	ACVR2A	595.3014
ACVR2B	233.8983	ACVR2B	269.9468
ACVRL1	428.8136	ACVRL1	643.1738
ACY1	244.9153	ACY1	1199.0248
ACY3	5.0847	ACY3	43.883
ACYP1	65.2542	ACYP1	61.6135
ACYP2	122.8814	ACYP2	206.5603
removed	removed	ADAD2	5.0798
ADAL	101.6949	ADAL	160.0177
ADAM10	2502.5424	ADAM10	1212.766
ADAM11	5.9322	ADAM11	16.4007
ADAM12	3893.2203	ADAM12	1093.0851
ADAM15	1225.4237	ADAM15	4326.2411
ADAM17	737.2881	ADAM17	635.6383
ADAM19	876.2712	ADAM19	99.734
ADAM21	51.6949	ADAM21	5.3191
ADAM22	22.8814	ADAM22	9.3085
ADAM23	10.1695	ADAM23	16.4007
ADAM28	139.8305	ADAM28	101.0638
removed	removed	ADAM32	60.2837
ADAM33	46.6102	ADAM33	316.9326
ADAM6	19836.8475	ADAM6	30271.0727
ADAM8	540.678	ADAM8	98.4043
ADAM9	3121.1864	ADAM9	1647.1631
ADAMDEC1	26.2712	ADAMDEC1	28.8121
ADAMTS10	46.6102	ADAMTS10	135.6383
ADAMTS12	807.6271	ADAMTS12	57.6241
ADAMTS13	14.4068	ADAMTS13	89.9823
ADAMTS14	177.1186	ADAMTS14	18.617
ADAMTS15	105.0847	ADAMTS15	349.2908
ADAMTS16	122.8814	ADAMTS16	139.1844
ADAMTS17	31.3559	ADAMTS17	141.844
ADAMTS18	50	ADAMTS18	124.5567
removed	removed	ADAMTS19	5.7624
ADAMTS1	474.5763	ADAMTS1	1838.6525
ADAMTS2	1155.9322	ADAMTS2	253.5461
ADAMTS3	11.0169	ADAMTS3	39.0071
ADAMTS4	1345.7627	ADAMTS4	257.0922
ADAMTS5	289.8305	ADAMTS5	941.4894
ADAMTS6	46.6102	ADAMTS6	5.3191
ADAMTS7	255.9322	ADAMTS7	103.7234
ADAMTS8	38.1356	ADAMTS8	242.4645
ADAMTS9	226.2712	ADAMTS9	921.0993
ADAMTSL1	82.2034	ADAMTSL1	62.9433
ADAMTSL2	230.5085	ADAMTSL2	36.3475
ADAMTSL3	118.6441	ADAMTSL3	47.8723
ADAMTSL4	129.661	ADAMTSL4	159.5745
ADAMTSL5	16.9492	ADAMTSL5	76.6844
ADAP1	96.2458	ADAP1	187.7926
ADAP2	312.7119	ADAP2	161.3475
ADARB1	437.2881	ADARB1	623.227
removed	removed	ADARB2	9.3085
ADAR	6455.0847	ADAR	5984.4858
ADAT1	128.8136	ADAT1	157.8014
ADAT2	26.2712	ADAT2	122.3404
ADAT3	37.2881	ADAT3	51.4184
ADA	111.8644	ADA	103.2801
ADCK1	39.8305	ADCK1	252.2163
ADCK2	664.4068	ADCK2	1152.4823
ADCK4	416.9492	ADCK4	950.3546
ADCK5	116.9492	ADCK5	181.7376
ADCY1	135.5932	ADCY1	135.6383
ADCY2	36.4407	ADCY2	144.9468
ADCY3	455.9407	ADCY3	1275.2704
ADCY4	61.0169	ADCY4	233.156
ADCY5	16.9492	ADCY5	305.8511
ADCY6	730.5085	ADCY6	2197.2518
ADCY7	566.1017	ADCY7	254.4326
ADCY9	479.661	ADCY9	602.3936
removed	removed	ADCYAP1R1	5.7624
removed	removed	ADCYAP1	317.8191
ADC	285.5932	ADC	175.0887
ADD1	5072.8814	ADD1	5896.7199
ADD2	5.0847	ADD2	21.7199
