gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
ACOT2	173.8875	ACOT2	471.0059
ACOT4	41.7801	ACOT4	135.503
ACOT7	837.3667	ACOT7	218.3432
ACOT8	228.8135	ACOT8	217.6391
ACOT9	556.0868	ACOT9	561.5385
ACOX1	1137.3564	ACOX1	2264.2485
ACOX2	7.6499	ACOX2	311.8343
ACOX3	396.3222	ACOX3	529.5858
ACOXL	46.4877	removed	removed
ACP1	3101.7286	ACP1	1275.1479
ACP2	763.2218	ACP2	1018.9349
ACP5	1062.7437	ACP5	730.7692
ACP6	204.4869	ACP6	129.5858
ACPL2	366.8996	ACPL2	413.0178
ACPP	8.5325	ACPP	54.4379
ACRBP	28.5399	ACRBP	10.0592
ACRC	5.5903	ACRC	20.1183
ACRV1	8.8268	removed	removed
removed	removed	ACR	13.0178
removed	removed	ACSBG1	16.568
removed	removed	ACSBG2	5.3254
ACSF2	271.5704	ACSF2	959.7633
ACSF3	129.7536	ACSF3	256.213
ACSL1	2300.8459	ACSL1	7262.7219
ACSL3	1750.0552	ACSL3	3134.3195
ACSL4	598.7495	ACSL4	1860.355
ACSL5	926.5171	ACSL5	1466.8639
ACSL6	217.4329	ACSL6	10.6509
removed	removed	ACSM1	411.8343
ACSM3	363.2335	ACSM3	74.9349
ACSM5	7.9441	ACSM5	261.5385
ACSS1	718.7937	ACSS1	802.3669
ACSS2	251.2688	ACSS2	1743.1953
ACSS3	128.5767	ACSS3	471.0059
removed	removed	ACTA1	380.4734
ACTA2	2494.829	ACTA2	25101.8166
ACTB	70249.6506	ACTB	87601.1834
removed	removed	ACTC1	13.0178
ACTG1	131996.7635	ACTG1	54306.5089
ACTG2	541.3755	ACTG2	9495.858
ACTL6A	2522.6922	ACTL6A	801.1834
ACTL8	1915.1159	removed	removed
ACTN1	7327.9882	ACTN1	7238.4615
ACTN2	12.6517	ACTN2	8.284
ACTN4	25894.9025	ACTN4	10911.2308
ACTR10	925.3402	ACTR10	1244.9704
ACTR1A	2793.9684	ACTR1A	2771.0059
ACTR1B	1669.4373	ACTR1B	1290.5325
ACTR2	6938.139	ACTR2	6097.0414
ACTR3B	455.1673	ACTR3B	185.2071
ACTR3C	27.363	ACTR3C	34.3195
ACTR3	5198.9702	ACTR3	3314.2012
ACTR5	268.9224	ACTR5	198.2249
ACTR6	969.7683	ACTR6	542.0118
ACTR8	524.0162	ACTR8	488.7574
ACVR1B	1000.0736	ACVR1B	1162.7219
ACVR1C	13.2402	ACVR1C	646.1538
ACVR1	332.4752	ACVR1	1054.4379
ACVR2A	158.5877	ACVR2A	523.0769
ACVR2B	654.6524	ACVR2B	253.2544
ACVRL1	196.5428	ACVRL1	1611.8343
ACY1	408.9739	ACY1	624.8521
ACY3	120.0441	ACY3	65.0888
ACYP1	224.7885	ACYP1	47.3373
ACYP2	138.2861	ACYP2	206.5089
ADAL	26.4803	ADAL	126.6272
ADAM10	774.4024	ADAM10	1829.5858
ADAM11	50.0184	ADAM11	9.4675
ADAM12	607.8705	ADAM12	515.3846
ADAM15	9204.5899	ADAM15	5610.8343
ADAM17	1282.8246	ADAM17	726.6272
ADAM19	923.2806	ADAM19	198.2249
ADAM22	6.7672	ADAM22	37.8698
ADAM23	70.6142	ADAM23	55.0296
ADAM28	228.025	ADAM28	91.716
ADAM32	51.7837	ADAM32	5.9172
ADAM33	5.8845	ADAM33	749.0118
ADAM6	201338.6981	ADAM6	16578.8402
ADAM8	438.9849	ADAM8	128.9941
ADAM9	2041.3387	ADAM9	2343.787
ADAMDEC1	421.3314	ADAMDEC1	38.4615
ADAMTS10	6.473	ADAMTS10	166.2722
ADAMTS12	129.1651	ADAMTS12	94.0828
ADAMTS13	62.3759	ADAMTS13	50.8876
ADAMTS14	32.6591	ADAMTS14	8.284
removed	removed	ADAMTS15	221.3018
ADAMTS16	40.6032	ADAMTS16	50.2959
ADAMTS17	21.4785	ADAMTS17	52.6627
removed	removed	ADAMTS18	251.4793
removed	removed	ADAMTS19	7.6923
ADAMTS1	584.9209	ADAMTS1	5591.1243
ADAMTS2	330.4156	ADAMTS2	360.355
ADAMTS3	20.0074	ADAMTS3	94.6746
ADAMTS4	1143.0673	ADAMTS4	568.0473
ADAMTS5	195.0717	ADAMTS5	1353.8462
ADAMTS6	21.4785	ADAMTS6	46.1538
ADAMTS7	53.2549	ADAMTS7	91.1243
removed	removed	ADAMTS8	97.0414
ADAMTS9	236.5576	ADAMTS9	1245.5621
ADAMTSL1	26.7745	ADAMTSL1	111.8343
ADAMTSL2	37.6609	ADAMTSL2	69.2308
ADAMTSL3	35.3071	ADAMTSL3	186.3905
ADAMTSL4	1058.6245	ADAMTSL4	837.8698
ADAMTSL5	9.4152	ADAMTSL5	41.4201
ADAP1	59.0452	ADAP1	88.1479
ADAP2	375.1379	ADAP2	384.6154
ADARB1	861.7874	ADARB1	838.4615
ADAR	18804.5605	ADAR	7253.2544
ADAT1	140.0515	ADAT1	210.0592
ADAT2	170.3567	ADAT2	169.8225
ADAT3	22.3612	ADAT3	36.0947
ADA	208.9003	ADA	123.0769
ADCK1	77.0872	ADCK1	196.4497
ADCK2	1026.2597	ADCK2	675.7396
ADCK4	534.6083	ADCK4	426.6272
ADCK5	163.8838	ADCK5	66.2722
ADCY1	16.1824	ADCY1	294.0828
ADCY2	18.8305	ADCY2	158.5799
ADCY3	1825.0975	ADCY3	1583.2308
ADCY4	52.078	ADCY4	1048.5207
removed	removed	ADCY5	308.8757
ADCY6	1295.1821	ADCY6	2069.8225
ADCY7	854.1376	ADCY7	466.8639
removed	removed	ADCY8	7.1006
ADCY9	481.3534	ADCY9	726.0355
removed	removed	ADCYAP1R1	11.2426
ADCYAP1	1858.036	ADCYAP1	62.7219
ADC	66.495	ADC	103.5503
ADD1	3471.2762	ADD1	5863.3136
ADD2	569.0327	ADD2	63.9053
ADD3	572.5634	ADD3	2875.1479
removed	removed	ADH1A	53.8462
removed	removed	ADH1B	13394.6746
removed	removed	ADH1C	343.1953
removed	removed	ADH4	59.1716
ADH5	1848.6208	ADH5	3307.6923
ADHFE1	28.5399	ADHFE1	224.2604
ADI1	3275.616	ADI1	2198.2249
removed	removed	ADIPOQ	15976.3314
