gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
CHST7	28.5399	CHST7	107.1006
removed	removed	CHST8	43.1953
CHST9	6.1787	CHST9	87.574
CHSY1	1210.1508	CHSY1	2014.7929
CHSY3	44.1339	CHSY3	114.2012
CHTF18	280.3972	CHTF18	94.0828
CHTF8	1863.6263	CHTF8	2503.5503
CHUK	690.8422	CHUK	743.787
CHURC1	1146.8393	CHURC1	2436.0947
CIAO1	1404.6341	CIAO1	1905.9172
CIAPIN1	653.1813	CIAPIN1	774.5562
CIB1	966.2376	CIB1	1492.8994
CIB2	153.2917	CIB2	284.6154
CIC	1448.4737	CIC	1707.1006
removed	removed	CIDEA	273.9645
CIDEB	476.4075	CIDEB	376.0888
CIDECP	115.6307	CIDECP	100
removed	removed	CIDEC	4033.1361
CIITA	848.253	CIITA	454.4379
CILP2	17.3593	CILP2	31.3609
removed	removed	CILP	1238.4615
CINP	472.5267	CINP	382.8402
CIR1	719.9706	CIR1	893.4911
CIRBP	1855.9765	CIRBP	6102.9586
CIRH1A	997.7197	CIRH1A	924.8521
CISD1	383.9647	CISD1	309.4675
CISD2	757.9257	CISD2	419.5266
CISD3	721.9978	CISD3	839.645
CISH	222.7289	CISH	607.1006
removed	removed	CITED1	245.5621
CITED2	982.1258	CITED2	2113.0178
CITED4	262.7437	CITED4	472.1893
CIT	1582.3465	CIT	78.1065
CIZ1	6775.7264	CIZ1	1494.0828
CKAP2L	722.0302	CKAP2L	9.4675
CKAP2	1059.5072	CKAP2	339.645
CKAP4	2620.9636	CKAP4	1807.1006
CKAP5	4696.1383	CKAP5	1493.4911
CKB	2464.7297	CKB	534.9112
CKLF	382.1993	CKLF	314.2012
CKMT1A	114.1596	CKMT1A	171.5976
CKMT1B	1288.7091	CKMT1B	165.6805
removed	removed	CKMT2	100
CKS1B	5840.3825	CKS1B	485.7988
CKS2	3802.8687	CKS2	136.0947
CLASP1	1230.7466	CLASP1	1218.3432
CLASP2	1057.1534	CLASP2	1150.2959
removed	removed	CLCA2	3384.0237
removed	removed	CLCA4	14.2012
CLCC1	1536.765	CLCC1	986.8698
CLCF1	67.3777	CLCF1	263.3136
CLCN2	112.9827	CLCN2	41.4201
CLCN3	1111.5851	CLCN3	1125.4438
CLCN4	315.7043	CLCN4	151.4793
CLCN5	374.8437	CLCN5	156.213
CLCN6	280.6914	CLCN6	585.7988
CLCN7	1255.4616	CLCN7	1336.0947
removed	removed	CLCNKA	15.3846
removed	removed	CLCNKB	6.5089
removed	removed	CLDN10	27.4438
CLDN11	13.5344	CLDN11	670.4142
CLDN12	739.9779	CLDN12	888.4083
removed	removed	CLDN14	11.2426
CLDN15	70.6142	CLDN15	326.0355
removed	removed	CLDN19	57.9882
CLDN1	58.5509	CLDN1	662.7219
CLDN23	118.8672	CLDN23	164.497
removed	removed	CLDN2	30.4675
CLDN3	1578.2273	CLDN3	847.929
CLDN4	6260.2427	CLDN4	2895.2663
CLDN5	10.5921	CLDN5	1653.2544
CLDN7	2828.3928	CLDN7	1155.6213
CLDN8	72.3796	CLDN8	703.5503
CLDN9	33.2475	CLDN9	8.284
CLDND1	1559.9853	CLDND1	1221.8935
removed	removed	CLDND2	5.3254
CLEC10A	13.8286	CLEC10A	291.716
CLEC11A	35.6013	CLEC11A	150.8876
CLEC12A	31.1879	CLEC12A	51.4793
removed	removed	CLEC12B	5.3254
CLEC14A	119.4557	CLEC14A	1817.1598
CLEC16A	576.6826	CLEC16A	595.2663
CLEC17A	14.1228	CLEC17A	8.284
removed	removed	CLEC18A	5.3254
CLEC1A	14.1228	CLEC1A	264.497
CLEC2B	190.3641	CLEC2B	594.6746
CLEC2D	703.7882	CLEC2D	415.9763
removed	removed	CLEC3A	31.3609
CLEC3B	29.4226	CLEC3B	2914.2012
CLEC4A	69.4373	CLEC4A	62.7219
CLEC4E	70.9084	CLEC4E	29.5858
removed	removed	CLEC4F	17.7515
removed	removed	CLEC4GP1	16.568
removed	removed	CLEC4G	27.2189
removed	removed	CLEC4M	41.4201
CLEC5A	191.2468	CLEC5A	13.0178
CLEC7A	260.6841	CLEC7A	134.3195
removed	removed	CLEC9A	14.7929
CLECL1	14.7113	CLECL1	7.6923
CLGN	15.594	CLGN	304.142
CLIC1	7223.8323	CLIC1	5765.0888
CLIC2	272.1589	CLIC2	1068.0473
CLIC3	26.4803	CLIC3	30.1775
CLIC4	4769.1063	CLIC4	7498.8166
CLIC5	107.0982	CLIC5	889.3491
CLIC6	21.7727	CLIC6	624.8521
CLINT1	1756.5281	CLINT1	1669.8225
CLIP1	2288.7826	CLIP1	2602.9586
CLIP2	379.5513	CLIP2	301.1834
CLIP3	227.4366	CLIP3	683.432
CLIP4	116.2192	CLIP4	656.8047
CLK1	763.2218	CLK1	2482.2485
CLK2P	25.8919	CLK2P	10.6509
CLK2	1502.0228	CLK2	567.4556
CLK3	481.9419	CLK3	683.432
CLK4	347.4807	CLK4	694.6746
CLMN	1256.05	CLMN	2340.2367
CLN3	1019.5896	CLN3	1272.7811
CLN5	214.1964	CLN5	734.9112
CLN6	1165.4285	CLN6	617.7515
CLN8	164.7665	CLN8	477.5148
CLNS1A	2471.7911	CLNS1A	1374.5562
CLOCK	383.082	CLOCK	207.1006
CLP1	482.5303	CLP1	302.3669
CLPB	506.9511	CLPB	195.2663
CLPP	1142.4789	CLPP	571.0059
CLPTM1L	1926.8849	CLPTM1L	2007.1006
CLPTM1	5737.9919	CLPTM1	2353.2544
CLPX	764.9871	CLPX	686.9822
CLSPN	516.9548	CLSPN	5.3254
CLSTN1	2083.1188	CLSTN1	4052.6627
CLSTN2	22.6554	CLSTN2	506.5089
CLSTN3	841.7801	CLSTN3	1186.9822
CLTA	3224.1265	CLTA	1946.7456
CLTB	907.0982	CLTB	850.2959
CLTCL1	33.836	CLTCL1	121.3018
removed	removed	CLTC	8627.2189
CLUAP1	826.7745	CLUAP1	399.8994
CLUL1	27.6572	CLUL1	84.6154
CLU	1603.8249	CLU	30356.8047
removed	removed	CLVS1	9.6331
CLYBL	65.9066	CLYBL	153.8462
removed	removed	CMA1	137.2781
CMAH	147.4071	CMAH	539.0533
CMAS	743.5086	CMAS	684.0237
CMBL	23.5381	CMBL	895.2663
CMC1	195.6602	CMC1	118.3432
CMIP	521.9566	CMIP	1587.574
CMKLR1	218.3156	CMKLR1	378.6982
CMPK1	2826.9217	CMPK1	4474.5562
CMPK2	606.9879	CMPK2	340.8284
CMTM1	66.495	CMTM1	92.8994
removed	removed	CMTM2	5.3254
CMTM3	630.5259	CMTM3	1397.6331
CMTM4	1336.3737	CMTM4	1481.0651
CMTM6	1893.9316	CMTM6	2648.5207
removed	removed	CMTM7	614.7929
CMTM8	103.8617	CMTM8	168.6391
CMYA5	19.1247	CMYA5	588.7574
CNBP	9774.7701	CNBP	8200.5917
CNDP2	5908.3487	CNDP2	3327.8107
CNFN	163.5896	CNFN	46.1538
CNGA1	8.5325	CNGA1	37.2781
removed	removed	CNGA3	9.4675
CNIH2	30.011	removed	removed
CNIH3	16.4766	CNIH3	59.7633
CNIH4	812.9459	CNIH4	791.716
CNIH	1119.5292	CNIH	1176.3314
CNKSR1	637.8816	CNKSR1	320.1183
CNKSR2	107.6866	CNKSR2	24.2604
CNKSR3	1024.2001	CNKSR3	400.5917
CNN1	83.5601	CNN1	4320.7101
CNN2	927.1056	CNN2	3261.5385
CNN3	4653.4755	CNN3	7581.0651
CNNM1	205.0754	CNNM1	27.8107
CNNM2	146.8187	CNNM2	109.4675
CNNM3	574.0346	CNNM3	693.4911
CNNM4	535.1968	CNNM4	720.7101
CNOT10	1203.0894	CNOT10	497.0414
CNOT1	3817.6447	CNOT1	3151.7574
CNOT2	1493.7845	CNOT2	1407.1006
CNOT3	1113.6447	CNOT3	768.6391
CNOT4	412.2104	CNOT4	484.6154
CNOT6L	1488.1942	CNOT6L	1219.5266
CNOT6	857.374	CNOT6	949.1124
CNOT7	1412.2839	CNOT7	1651.4793
CNOT8	1502.317	CNOT8	1455.6213
CNO	211.2541	CNO	248.5207
CNPY2	1062.7437	CNPY2	907.1006
CNPY3	1315.7779	CNPY3	917.7515
CNPY4	189.7374	CNPY4	265.6805
CNP	2282.3656	CNP	1843.0237
removed	removed	CNR1	165.6805
CNRIP1	53.5491	CNRIP1	578.6982
CNST	885.3255	CNST	873.3728
CNTD1	11.4572	CNTD1	62.7396
CNTD2	54.726	CNTD2	15.9763
CNTFR	476.0574	CNTFR	592.3077
CNTF	13.9963	CNTF	14.9822
CNTLN	667.0099	CNTLN	206.5089
CNTN1	9.4152	CNTN1	168.6391
CNTN3	10.0037	CNTN3	118.3432
CNTN4	135.3439	CNTN4	147.929
removed	removed	CNTN6	11.2426
CNTNAP1	54.4318	CNTNAP1	265.0888
CNTNAP2	309.2313	CNTNAP2	22.4852
CNTNAP3	95.0349	CNTNAP3	174.5562
CNTROB	704.3766	CNTROB	539.0533
COASY	1514.0861	COASY	1289.9408
COBLL1	423.9794	COBLL1	1615.9763
COBL	986.8334	COBL	790.5325
COBRA1	3958.2199	COBRA1	965.0888
COCH	987.0776	COCH	58.9053
COG1	733.9522	COG1	939.1775
COG2	349.8345	COG2	814.2012
COG3	258.9187	COG3	910.0592
COG4	647.591	COG4	871.0059
COG5	726.9879	COG5	865.6805
COG6	430.7466	COG6	696.4497
COG7	565.502	COG7	634.3195
COG8	296.9298	COG8	414.0178
COIL	891.7985	COIL	463.9053
COL10A1	528.1353	COL10A1	40.2367
COL11A1	1388.4516	COL11A1	10.0592
COL11A2	10.0037	COL11A2	15.9763
removed	removed	COL12A1	3972.1893
COL13A1	6.473	removed	removed
COL14A1	45.0166	COL14A1	3960.355
COL15A1	1443.1776	COL15A1	4359.1716
COL16A1	214.4906	COL16A1	902.9586
removed	removed	COL17A1	2689.3491
COL18A1	1331.6661	COL18A1	3292.8994
COL1A1	37967.488	COL1A1	18353.8462
COL1A2	28906.2155	COL1A2	23706.5089
COL21A1	11.4748	COL21A1	134.9112
removed	removed	COL22A1	11.8343
COL23A1	7.6499	COL23A1	29.5858
COL24A1	21.7727	COL24A1	19.5266
removed	removed	COL25A1	53.2544
COL27A1	1168.665	COL27A1	119.5266
removed	removed	COL28A1	33.1361
COL29A1	28.8341	removed	removed
removed	removed	COL2A1	22.4852
COL3A1	30047.2232	COL3A1	18421.3018
COL4A1	3620.7429	COL4A1	8939.0533
COL4A2	3346.2302	COL4A2	8055.6213
COL4A3BP	541.6697	COL4A3BP	1410.0592
COL4A3	11.4748	COL4A3	48.5207
COL4A4	76.7929	COL4A4	97.0414
COL4A5	105.0386	COL4A5	920.1183
removed	removed	COL4A6	168.6391
COL5A1	2267.5984	COL5A1	1486.3905
COL5A2	3552.1883	COL5A2	2059.7633
COL5A3	345.7153	COL5A3	464.497
COL6A1	5075.3954	COL6A1	8028.9941
COL6A2	5488.7826	COL6A2	10579.8817
COL6A3	4914.7481	COL6A3	8210.0592
COL6A6	136.815	COL6A6	186.3905
COL7A1	50.9011	COL7A1	101.1834
COL8A1	133.5785	COL8A1	292.3077
COL8A2	1886.5759	COL8A2	597.0414
COL9A2	55.9029	COL9A2	228.4024
COL9A3	5.0018	COL9A3	8.8757
COLEC11	31.4822	COLEC11	46.7456
COLEC12	349.5403	COLEC12	776.9231
COLQ	24.3825	COLQ	94.6746
COMMD10	244.7959	COMMD10	464.497
COMMD1	285.399	COMMD1	302.9586
COMMD2	1366.0905	COMMD2	943.1953
COMMD3	953.8889	COMMD3	738.5207
COMMD4	479.2939	COMMD4	764.497
COMMD5	838.5377	COMMD5	457.0237
COMMD6	800	COMMD6	1551.4793
COMMD7	1203.0894	COMMD7	1303.5503
COMMD8	287.7529	COMMD8	278.6982
COMMD9	476.0574	COMMD9	776.3314
COMP	9.4152	COMP	121.8935
COMTD1	225.0828	COMTD1	64.497
COMT	864.1412	COMT	1939.0533
COPA	10642.8187	COPA	4431.9527
COPB1	2097.6947	COPB1	3258.5799
COPB2	2866.9364	COPB2	3515.9763
COPE	1876.4869	COPE	1407.6923
COPG2	617.58	COPG2	629.5858
COPG	4084.4428	COPG	3478.6982
COPS2	1300.4781	COPS2	1680.4734
COPS3	3513.3505	COPS3	947.3373
COPS4	886.7966	COPS4	1052.6627
COPS5	2546.2302	COPS5	1095.2663
COPS6	1572.9312	COPS6	1392.3077
COPS7A	880.6179	COPS7A	1396.4497
COPS7B	1197.7933	COPS7B	614.7929
COPS8	808.2383	COPS8	1214.1893
COPZ1	3375.947	COPZ1	3126.0355
COPZ2	65.0239	COPZ2	424.2604
COQ10A	97.3887	COQ10A	156.213
COQ10B	511.0702	COQ10B	812.426
COQ2	807.0614	COQ2	145.5621
COQ3	185.3623	COQ3	178.6982
COQ4	583.4498	COQ4	784.0237
COQ5	644.0603	COQ5	446.1538
COQ6	273.2004	COQ6	418.8817
COQ7	244.2074	COQ7	517.7515
COQ9	490.1802	COQ9	653.2544
CORIN	32.0706	CORIN	10.6509
CORO1A	1729.4594	CORO1A	797.6331
CORO1B	1465.2446	CORO1B	1292.8994
CORO1C	4784.406	CORO1C	3250.2959
CORO2A	1683.5601	CORO2A	611.8343
removed	removed	CORO2B	182.2485
removed	removed	CORO6	23.6686
CORO7	630.1493	CORO7	505.2604
removed	removed	CORT	7.6923
COTL1	2835.16	COTL1	2330.7692
COX10	657.3005	COX10	258.5799
COX11	1122.0508	COX11	765.0059
COX15	851.7426	COX15	1204.1361
COX16	529.6065	COX16	880.4734
COX17	554.6157	COX17	448.5207
COX18	366.6054	COX18	468.0473
COX19	195.1659	COX19	239.071
COX4I1	2565.0607	COX4I1	4017.7515
COX4I2	5.8845	COX4I2	69.8225
COX4NB	585.5094	COX4NB	531.3609
COX5A	1354.0272	COX5A	1047.3373
COX5B	998.8967	COX5B	1255.0296
COX6A1	3633.3946	COX6A1	1781.6568
COX6B1	4130.9305	COX6B1	2205.3254
removed	removed	COX6B2	11.8343
COX6C	4781.758	COX6C	1553.8462
COX7A1	23.5381	COX7A1	548.5207
COX7A2L	2365.5756	COX7A2L	1768.6391
COX7A2	1429.0548	COX7A2	1266.2722
COX7B	1815.6675	COX7B	1305.9172
COX7C	2105.48	COX7C	2546.1538
COX8A	2379.11	COX8A	1844.3787
CP110	893.858	CP110	536.6864
removed	removed	CPA1	18.9349
removed	removed	CPA2	9.4675
CPA3	12.0633	CPA3	203.5503
CPA4	29.1284	CPA4	66.8639
CPAMD8	52.3722	CPAMD8	292.8994
removed	removed	CPB1	338.4615
CPD	1162.7804	CPD	3252.071
removed	removed	CPEB1	34.3195
removed	removed	CPEB2	988.1657
CPEB3	33.5417	CPEB3	242.0118
CPEB4	421.3314	CPEB4	995.2663
CPE	199.7793	CPE	5109.4675
CPLX1	16.1824	CPLX1	147.3373
CPM	939.1688	CPM	1251.4793
removed	removed	CPN2	8.284
CPNE1	1350.4112	CPNE1	951.8521
CPNE2	370.7245	CPNE2	997.6331
CPNE3	6167.5616	CPNE3	3024.8521
CPNE5	353.6594	CPNE5	92.3077
CPNE7	155.6455	CPNE7	23.6686
CPNE8	215.0791	CPNE8	434.9112
CPOX	310.9967	CPOX	263.3136
removed	removed	CPO	5.3254
CPPED1	160.6473	CPPED1	740.2367
removed	removed	CPS1	105.3254
CPSF1	3534.2405	CPSF1	884.6154
CPSF2	1308.7164	CPSF2	1064.497
CPSF3L	1469.658	CPSF3L	1146.1538
CPSF3	1412.5782	CPSF3	672.1893
CPSF4	604.9283	CPSF4	430.1775
CPSF6	2765.1342	CPSF6	1454.4379
CPSF7	2576.2413	CPSF7	1987.574
CPT1A	1845.3843	CPT1A	2880.4734
CPT1B	152.459	CPT1B	355.5503
CPT1C	137.1092	CPT1C	73.9645
CPT2	568.4443	CPT2	636.6864
CPVL	364.5458	CPVL	792.8994
CPXM1	258.036	CPXM1	1108.284
CPXM2	342.1846	CPXM2	2640.8284
CPZ	338.0655	CPZ	882.8402
CP	49.0004	CP	2342.1183
CR1L	5.2961	removed	removed
CR1	12.6517	CR1	84.6154
CR2	42.957	CR2	40.2367
CRABP1	1344.0235	CRABP1	68.6391
CRABP2	213.6079	CRABP2	2847.929
CRADD	94.7407	CRADD	144.3787
CRAMP1L	974.7937	CRAMP1L	884.6391
CRAT	1476.4252	CRAT	2023.6686
removed	removed	CRB1	6.5089
removed	removed	CRB2	23.6686
CRB3	229.7904	CRB3	134.3195
CRBN	768.6326	CRBN	973.6272
CRCP	796.7635	CRCP	1094.0828
CREB1	1205.149	CREB1	1383.432
CREB3L1	175.0644	CREB3L1	582.2485
CREB3L2	4067.6719	CREB3L2	2949.1124
CREB3L4	826.7745	CREB3L4	1363.9053
CREB3	1095.438	CREB3	1077.5148
CREB5	23.8323	CREB5	504.7337
CREBBP	3122.6186	CREBBP	1961.5385
CREBL2	837.9551	CREBL2	2486.9822
CREBZF	1211.9161	CREBZF	1155.0296
CREG1	5104.5237	CREG1	3626.6272
CRELD1	235.0864	CRELD1	617.1598
CRELD2	380.1398	CRELD2	458.5799
CREM	555.7926	CREM	552.071
removed	removed	CRHBP	157.9882
CRHR1	760.1206	CRHR1	20.6272
CRIM1	2178.7422	CRIM1	8389.9408
CRIP1	544.3178	CRIP1	1960.355
CRIP2	925.9287	CRIP2	3862.1302
CRIPAK	122.3979	CRIPAK	281.6568
CRIPT	484.2957	CRIPT	339.645
removed	removed	CRISP2	6.5089
removed	removed	CRISP3	20.1183
CRISPLD1	295.9912	CRISPLD1	532.5444
CRISPLD2	688.1942	CRISPLD2	3224.2604
CRKL	1566.7525	CRKL	2021.3018
CRK	1046.5612	CRK	1221.3018
removed	removed	CRLF1	89.3491
CRLF3	1024.7885	CRLF3	380.4734
CRLS1	478.7054	CRLS1	828.4024
CRMP1	55.8764	CRMP1	99.3077
CRNKL1	571.3865	CRNKL1	828.9941
CROCCL1	897.6271	CROCCL1	537.9053
CROCCL2	82.3832	CROCCL2	54.4379
CROCC	496.9474	CROCC	217.1598
CROT	113.2769	CROT	1027.8107
removed	removed	CRTAC1	153.2544
CRTAM	57.6683	CRTAM	17.1598
CRTAP	2947.5542	CRTAP	6613.0178
CRTC1	137.9919	CRTC1	359.7633
CRTC2	3106.7304	CRTC2	824.2604
CRTC3	1369.6212	CRTC3	1451.4793
CRY1	1379.3306	CRY1	933.1361
CRY2	355.4248	CRY2	2401.7751
CRYAB	1837.146	CRYAB	5519.5266
CRYBB1	9.4152	CRYBB1	7.6923
CRYBG3	135.6616	CRYBG3	1072.3254
removed	removed	CRYGS	14.7929
CRYL1	257.1534	CRYL1	636.0947
CRYZL1	290.5245	CRYZL1	382.2485
CRYZ	382.8761	CRYZ	763.4734
CSAD	102.979	CSAD	486.3905
CSDAP1	43.5454	CSDAP1	44.9704
CSDA	2727.4733	CSDA	3794.6746
removed	removed	CSDC2	24.8521
CSDE1	8640.8238	CSDE1	17330.1775
CSE1L	3856.712	CSE1L	1645.5621
CSF1R	1098.6392	CSF1R	1381.6568
CSF1	891.21	CSF1	1386.3905
CSF2RA	179.1835	CSF2RA	380.4734
CSF2RB	282.1626	CSF2RB	617.7515
CSF3R	139.463	CSF3R	275.7396
removed	removed	CSF3	73.3728
CSGALNACT1	147.1129	CSGALNACT1	752.071
CSGALNACT2	829.1284	CSGALNACT2	633.7278
CSK	1267.8191	CSK	921.3018
removed	removed	CSMD1	34.3195
CSMD2	15.594	CSMD2	9.4675
removed	removed	CSN1S1	5.3254
CSN3	13.2402	CSN3	8.8757
CSNK1A1	3257.0798	CSNK1A1	7831.3609
CSNK1D	3668.7017	CSNK1D	2945.5621
CSNK1E	2435.8249	CSNK1E	1895.8935
CSNK1G1	425.1563	CSNK1G1	479.8817
CSNK1G2	747.3336	CSNK1G2	757.9882
CSNK1G3	517.249	CSNK1G3	760.355
CSNK2A1P	442.2214	CSNK2A1P	329.5858
CSNK2A1	1260.7576	CSNK2A1	1049.1124
CSNK2A2	474.292	CSNK2A2	459.7633
CSNK2B	4587.4689	CSNK2B	2270.4142
CSPG4	140.6399	CSPG4	703.5503
CSPG5	35.6013	CSPG5	17.1598
CSPP1	965.2284	CSPP1	385.2071
CSRNP1	420.7429	CSRNP1	1737.8698
CSRNP2	2273.1887	CSRNP2	1121.3018
removed	removed	CSRNP3	7.6923
CSRP1	1070.3935	CSRP1	13736.6864
CSRP2BP	405.149	CSRP2BP	555.6213
CSRP2	603.7514	CSRP2	546.7456
removed	removed	CST2	5.3254
CST3	1361.9713	CST3	7488.7574
removed	removed	CST6	19.5266
CST7	239.794	CST7	153.8462
removed	removed	CST9	7.6923
CSTA	50.6068	CSTA	195.858
CSTB	3508.9371	CSTB	2010.6509
CSTF1	632.2913	CSTF1	582.2485
CSTF2T	819.4189	CSTF2T	1084.0237
CSTF2	500.4781	CSTF2	219.5266
CSTF3	530.5127	CSTF3	470.8935
CS	5590.879	CS	4068.6391
removed	removed	CT62	52.071
CTAGE4	67.3777	CTAGE4	60.355
CTAGE5	708.2015	CTAGE5	729.432
CTAGE6	8.2383	CTAGE6	7.6923
CTAGE9	205.3696	CTAGE9	170.4142
CTBP1	2967.3321	CTBP1	1801.5976
CTBP2	2019.2718	CTBP2	1751.4793
CTBS	245.0725	CTBS	627.8107
CTCFL	9.9389	CTCFL	16.568
CTCF	1511.1438	CTCF	1439.645
CTDP1	664.6561	CTDP1	389.9408
CTDSP1	1133.3579	CTDSP1	3280.4734
CTDSP2	3003.4572	CTDSP2	7524.2604
CTDSPL2	786.7598	CTDSPL2	643.787
CTDSPL	1330.4892	CTDSPL	1723.6686
CTF1	133.8727	CTF1	204.7337
CTGF	3582.7878	CTGF	6813.6095
CTHRC1	1453.4755	CTHRC1	483.432
CTH	81.2063	CTH	62.7219
CTLA4	110.3347	CTLA4	77.5148
CTNNA1	6033.1004	CTNNA1	8849.1124
CTNNA2	5.5903	removed	removed
CTNNAL1	608.1648	CTNNAL1	1298.8166
CTNNB1	8237.6962	CTNNB1	10640.7692
CTNNBIP1	1391.6881	CTNNBIP1	1218.9349
CTNNBL1	842.0743	CTNNBL1	784.0237
CTNND1	4075.0276	CTNND1	8929.5858
CTNND2	139.1688	CTNND2	138.4615
CTNS	335.9117	CTNS	368.6213
CTPS2	677.8963	CTPS2	524.8521
CTPS	1085.6933	CTPS	421.3018
CTR9	749.6874	CTR9	1513.6095
CTRL	8.2383	CTRL	15.9763
CTSA	1623.5381	CTSA	2251.9704
CTSB	22353.8065	CTSB	14030.1775
CTSC	2317.3225	CTSC	2573.3728
CTSD	11986.1714	CTSD	12757.3964
CTSF	1055.9765	CTSF	1992.3077
removed	removed	CTSG	165.0888
CTSH	1510.5554	CTSH	2739.0533
CTSK	2412.6517	CTSK	5945.5621
CTSL1	2931.0776	CTSL1	1983.432
CTSL2	66.2008	CTSL2	71.0059
CTSO	915.3365	CTSO	1644.3787
CTSS	3356.2339	CTSS	2084.0237
CTSW	247.1497	CTSW	180.4734
CTSZ	3903.1997	CTSZ	3589.9408
CTTNBP2NL	1396.3957	CTTNBP2NL	1137.8698
removed	removed	CTTNBP2	104.142
CTTN	3670.7613	CTTN	3821.3018
CTU1	55.0202	CTU1	23.0769
CTU2	201.3534	CTU2	158.4438
CTXN1	676.1309	CTXN1	95.858
CUBN	8.2383	CUBN	59.7633
CUEDC1	315.9985	CUEDC1	356.213
CUEDC2	1028.9077	CUEDC2	597.6331
CUL1	2201.1033	CUL1	1711.2426
CUL2	1682.6775	CUL2	708.284
CUL3	1806.2523	CUL3	2085.2071
CUL4A	1697.0945	CUL4A	1946.1538
CUL4B	2037.5138	CUL4B	1575.1479
CUL5	649.3564	CUL5	1128.4024
CUL7	2097.786	CUL7	805.8402
CUL9	869.4373	CUL9	675.7396
CUTA	4145.6418	CUTA	1720.7101
CUTC	256.253	CUTC	420.1716
CUX1	587.8632	CUX1	1028.9941
removed	removed	CUX2	47.3373
CUZD1	13.4314	CUZD1	14.8047
CWC15	944.7591	CWC15	797.6331
CWC22	594.6304	CWC22	727.8107
CWC25	621.9934	CWC25	460.355
CWC27	439.8676	CWC27	398.2249
CWF19L1	456.05	CWF19L1	507.1006
CWF19L2	269.8051	CWF19L2	532.5444
CWH43	56.7856	CWH43	5.3254
CX3CL1	447.5175	CX3CL1	6175.7396
CX3CR1	43.8396	CX3CR1	564.497
removed	removed	CXADRP3	14.7929
CXADR	459.2865	CXADR	192.3077
CXCL10	8988.5987	CXCL10	234.9112
CXCL11	1096.5796	CXCL11	81.0651
CXCL12	1201.324	CXCL12	17434.9112
CXCL13	2578.0066	CXCL13	129.5858
CXCL14	181.2431	CXCL14	10894.6746
CXCL16	2173.4461	CXCL16	1660.9467
CXCL17	24.4207	CXCL17	101.7751
CXCL1	28.2457	CXCL1	262.7219
CXCL2	10.0037	CXCL2	669.2308
CXCL3	5.2961	CXCL3	55.6213
CXCL5	12.0633	CXCL5	17.1598
CXCL6	5.0018	CXCL6	19.5266
CXCL9	5488.4884	CXCL9	668.6391
removed	removed	CXCR1	10.0592
CXCR2P1	129.7536	CXCR2P1	8.8757
removed	removed	CXCR2	23.6686
CXCR3	246.5612	CXCR3	76.9231
CXCR4	1987.7896	CXCR4	546.7456
CXCR5	53.8904	CXCR5	27.2189
CXCR6	337.7712	CXCR6	79.2899
CXCR7	118.2788	CXCR7	2371.5976
CXXC1	732.3281	CXXC1	684.6154
removed	removed	CXXC4	5.3254
CXXC5	141.5226	CXXC5	535.503
CXorf21	93.5638	CXorf21	63.9053
CXorf23	146.2302	CXorf23	220.1183
CXorf26	779.6984	CXorf26	521.8935
CXorf36	117.6903	CXorf36	2849.1124
CXorf38	175.947	CXorf38	206.5089
CXorf40A	480.4708	CXorf40A	428.4024
CXorf40B	708.2015	CXorf40B	551.4793
CXorf42	15.0055	CXorf42	27.2189
CXorf49B	1414.0493	removed	removed
CXorf56	398.3818	CXorf56	318.3432
CXorf57	166.2376	CXorf57	39.645
CYB561D1	195.3659	CYB561D1	463.3136
CYB561D2	309.8463	CYB561D2	357.5266
CYB561	3097.9036	CYB561	2015.3846
CYB5A	337.7712	CYB5A	2185.2071
CYB5B	698.4921	CYB5B	1590.5325
CYB5D1	424.2736	CYB5D1	744.3787
CYB5D2	213.9022	CYB5D2	894.6746
CYB5R1	445.1637	CYB5R1	1653.2544
CYB5R2	327.4733	CYB5R2	171.0059
CYB5R3	1935.7117	CYB5R3	8728.4024
CYB5R4	430.4524	CYB5R4	280.4734
CYB5RL	49.4299	CYB5RL	73.9645
CYBASC3	796.4693	CYBASC3	1208.284
CYBA	1099.2277	CYBA	752.071
CYBB	1450.8275	CYBB	1191.716
CYBRD1	862.3759	CYBRD1	16415.9763
CYC1	4845.605	CYC1	1301.7751
CYCS	2553.5859	CYCS	2113.6095
CYFIP1	3089.0769	CYFIP1	3271.0059
CYFIP2	434.5715	CYFIP2	378.1065
CYGB	73.8507	CYGB	755.6213
CYHR1	1163.3689	CYHR1	613.0178
CYLD	1097.1681	CYLD	1368.6391
removed	removed	CYP11A1	100
removed	removed	CYP19A1	46.1538
removed	removed	CYP1A1	20.7101
CYP1B1	391.0261	CYP1B1	2369.2308
CYP20A1	315.7043	CYP20A1	1064.497
CYP21A2	23.8088	CYP21A2	174.355
CYP24A1	8.2383	CYP24A1	14.7929
CYP26A1	31.4822	removed	removed
CYP26B1	314.5274	CYP26B1	208.8757
CYP27A1	1156.0132	CYP27A1	820.1183
CYP27B1	27.363	CYP27B1	28.9941
removed	removed	CYP27C1	21.3018
removed	removed	CYP2A6	31.9527
removed	removed	CYP2B7P1	108.284
removed	removed	CYP2C8	8.284
removed	removed	CYP2D6	7.6923
removed	removed	CYP2D7P1	7.6923
removed	removed	CYP2E1	22.6036
CYP2J2	54.4318	CYP2J2	217.1598
CYP2R1	167.7087	CYP2R1	221.8935
