gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
CYLD	942.619	CYLD	1102.0619
CYP11A1	27.972	CYP11A1	52.0619
CYP19A1	7.6636	CYP19A1	44.3299
removed	removed	CYP1A2	5.1546
CYP1B1	1582.1439	CYP1B1	3253.0928
CYP20A1	607.3379	CYP20A1	670.1031
CYP21A2	172.9706	CYP21A2	282.0773
CYP26A1	86.5983	removed	removed
CYP26B1	82.3834	CYP26B1	928.3505
CYP27A1	2402.9122	CYP27A1	1249.4845
CYP27B1	11.8785	removed	removed
removed	removed	CYP27C1	45.3608
removed	removed	CYP2A6	26.8041
CYP2B6	6.1309	removed	removed
CYP2B7P1	3788.1023	CYP2B7P1	19.5876
removed	removed	CYP2C18	7.732
removed	removed	CYP2E1	11.8247
CYP2J2	313.8232	removed	removed
CYP2R1	186.9911	CYP2R1	154.1237
CYP2S1	85.0656	CYP2S1	101.0309
CYP2U1	396.5897	CYP2U1	732.9897
CYP39A1	36.7851	CYP39A1	77.8351
removed	removed	CYP3A4	5.6701
removed	removed	CYP3A5	19.0722
CYP46A1	18.7757	CYP46A1	34.5361
removed	removed	CYP4A11	5.1546
CYP4B1	297.7297	CYP4B1	2161.3402
CYP4F11	73.1871	CYP4F11	106.1856
CYP4F12	17.6262	CYP4F12	61.8557
CYP4F22	95.7946	removed	removed
removed	removed	CYP4F3	25.2577
CYP4F8	18.3926	removed	removed
CYP4V2	357.8887	CYP4V2	569.0722
CYP4X1	5471.7885	CYP4X1	93.299
CYP4Z1	17446.4987	CYP4Z1	8.7629
CYP4Z2P	1923.5559	removed	removed
CYP51A1	3025.194	CYP51A1	820.6186
CYP7B1	41.0001	CYP7B1	155.6701
CYP8B1	6.8972	CYP8B1	46.3918
CYR61	2577.6415	CYR61	6061.8557
CYS1	125.2994	CYS1	67.5258
CYSLTR1	78.9348	CYSLTR1	107.2165
CYSLTR2	8.8131	CYSLTR2	27.3196
CYTH1	739.9176	CYTH1	1112.8866
CYTH2	1865.6959	CYTH2	772.6804
CYTH3	686.6558	CYTH3	1759.2784
CYTH4	352.9074	CYTH4	832.9897
CYTIP	114.9535	CYTIP	357.732
CYTL1	29.1216	CYTL1	14.9485
CYTSA	965.9929	CYTSA	1826.2887
CYTSB	248.6828	CYTSB	419.0722
CYYR1	345.627	CYYR1	1534.5361
D2HGDH	314.2063	D2HGDH	212.8866
D4S234E	49.8132	D4S234E	27.8351
DAAM1	646.0389	DAAM1	592.268
DAAM2	284.0579	DAAM2	2496.8041
DAB1	6.514	removed	removed
DAB2IP	765.5906	DAB2IP	1137.1134
DAB2	1440.751	DAB2	8750.5155
DACH1	562.8892	DACH1	147.9381
DACT1	283.5521	DACT1	160.8247
DACT2	6.8972	DACT2	256.1856
DACT3	114.5704	DACT3	94.8454
DAD1	5241.115	DAD1	2459.7938
DAG1	7206.8206	DAG1	2632.4742
DAGLA	188.1406	DAGLA	186.0825
DAGLB	605.422	DAGLB	393.8144
DAK	783.6	DAK	324.2268
DALRD3	1322.7091	DALRD3	476.9948
DAP3	3875.8502	DAP3	1751.5464
DAPK1	336.4307	DAPK1	784.5361
DAPK2	137.5611	DAPK2	745.8763
DAPK3	911.1984	DAPK3	447.9381
removed	removed	DAPL1	9.2784
DAPP1	142.5424	DAPP1	120.1031
DAP	4519.9732	DAP	2358.7629
DARC	662.5156	DARC	2658.2474
DARS2	865.217	DARS2	478.866
DARS	1488.6483	DARS	1772.1649
DAXX	1301.6572	DAXX	1140.2062
DAZAP1	1238.0496	DAZAP1	992.268
DAZAP2	6135.4536	DAZAP2	5396.3918
DBC1	15.3271	removed	removed
DBF4B	94.6451	DBF4B	73.1959
DBF4	241.4024	DBF4	80.9278
DBI	5753.0415	DBI	3359.2784
DBN1	1963.4065	DBN1	3584.0206
DBNDD1	382.7953	DBNDD1	25.2577
DBNDD2	858.906	DBNDD2	865.4639
DBNL	2549.2863	DBNL	2189.6907
DBP	370.342	DBP	164.4381
DBR1	549.8611	DBR1	322.6804
DBT	978.2546	DBT	830.4124
removed	removed	DBX2	26.8041
DCAF10	3006.8014	DCAF10	887.6289
DCAF11	2958.7815	DCAF11	1294.3299
removed	removed	DCAF12L2	7.732
DCAF12	1483.667	DCAF12	1333.5052
DCAF13	772.9514	DCAF13	522.0309
DCAF15	407.7019	DCAF15	254.6392
DCAF16	569.4032	DCAF16	507.2165
DCAF17	462.4964	DCAF17	315.9794
removed	removed	DCAF4L1	7.2165
DCAF4	351.7578	DCAF4	173.1959
DCAF5	2135.4536	DCAF5	1827.8351
DCAF6	2938.9788	DCAF6	1904.6392
DCAF7	2302.1362	DCAF7	2041.7526
DCAF8	3541.9523	DCAF8	2667.4124
DCAKD	728.4223	DCAKD	667.0103
DCBLD1	177.4116	DCBLD1	321.2268
DCBLD2	615.7678	DCBLD2	1453.0928
DCDC1	18.3466	removed	removed
DCDC2	187.9222	removed	removed
DCHS1	902.7685	DCHS1	1979.3814
DCHS2	16.4767	DCHS2	10.8247
DCI	988.2173	DCI	510.3093
DCK	495.4498	DCK	485.567
DCLK1	877.0955	DCLK1	3502.5773
DCLK2	52.4954	DCLK2	70.6186
DCLK3	8.0467	DCLK3	15.4639
DCLRE1A	362.4868	DCLRE1A	205.6701
DCLRE1B	282.0194	DCLRE1B	312.3711
DCLRE1C	182.0098	DCLRE1C	243.299
DCN	18973.4649	DCN	88788.6598
DCP1A	948.7499	DCP1A	857.732
DCP1B	396.5897	DCP1B	234.5361
DCP2	1406.265	DCP2	1037.1134
DCPS	264.3931	DCPS	247.4227
DCST2	20.6916	DCST2	5.1546
DCTD	1649.2001	DCTD	1704.6392
DCTN1	4564.4219	DCTN1	4263.3247
DCTN2	2032.7618	DCTN2	2600
DCTN3	970.5911	DCTN3	705.6701
DCTN4	3127.1195	DCTN4	2027.3196
DCTN5	1922.0232	DCTN5	1133.5052
DCTN6	581.6649	DCTN6	628.866
DCTPP1	1683.2838	DCTPP1	395.866
removed	removed	DCT	15.4639
DCUN1D1	708.497	DCUN1D1	589.1753
DCUN1D2	231.0566	DCUN1D2	247.4227
DCUN1D3	210.7482	DCUN1D3	725.7732
DCUN1D4	724.2073	DCUN1D4	878.866
DCUN1D5	476.2908	DCUN1D5	295.8763
DCXR	1567.5831	DCXR	1036.0825
DDA1	516.1414	DDA1	427.3196
DDAH1	2031.229	DDAH1	427.8351
DDAH2	1762.6209	DDAH2	2254.1237
DDB1	7080.7549	DDB1	5206.701
DDB2	306.5428	DDB2	395.8763
DDHD1	278.9539	DDHD1	697.4227
DDHD2	840.3104	DDHD2	1908.7629
DDI2	143.0482	DDI2	133.1546
DDIT3	107.9222	DDIT3	177.0309
DDIT4L	31.8038	DDIT4L	127.3196
DDIT4	2816.7449	DDIT4	3773.7113
DDOST	4632.2445	DDOST	3648.9691
DDO	113.804	DDO	93.8144
DDR1	4714.2447	DDR1	937.1134
DDR2	226.0753	DDR2	2317.5258
DDRGK1	1694.4152	DDRGK1	698.9691
DDTL	117.2028	DDTL	130.1907
DDT	418.4615	DDT	604.933
DDX10	407.3187	DDX10	371.6495
DDX11	310.3746	DDX11	287.6289
DDX12	28.3552	DDX12	32.4742
DDX17	7688.8591	DDX17	8092.268
DDX18	1470.2558	DDX18	1425.7732
DDX19A	541.4312	DDX19A	960.1082
DDX19B	448.6943	DDX19B	820.7371
DDX1	2256.1548	DDX1	2700.5155
DDX20	531.4685	DDX20	269.5876
DDX21	1153.7504	DDX21	1189.6907
DDX23	2157.6779	DDX23	1907.732
DDX24	3784.2705	DDX24	3237.1134
DDX26B	63.2244	DDX26B	119.0722
DDX27	1098.9558	DDX27	695.3608
DDX28	207.6827	DDX28	143.299
DDX31	348.6924	DDX31	164.9485
DDX39	566.721	DDX39	500.5155
DDX3X	6115.5283	DDX3X	8813.9175
DDX41	1480.6016	DDX41	808.2474
DDX42	2760.0345	DDX42	3163.9175
DDX43	45.2074	DDX43	10.6392
DDX46	1687.518	DDX46	1077.8351
DDX47	973.6565	DDX47	848.9691
DDX49	864.0674	DDX49	475.2577
DDX50	947.9835	DDX50	1052.0619
DDX51	259.4118	DDX51	237.1134
DDX52	455.9824	DDX52	422.6804
DDX54	1121.8393	DDX54	931.799
DDX55	324.169	DDX55	344.8454
DDX56	1720.4713	DDX56	904.1237
DDX58	655.6184	DDX58	545.3608
DDX59	382.7953	DDX59	323.7113
DDX5	6236.2295	DDX5	8287.6289
DDX60L	368.2345	DDX60L	647.4227
DDX60	697.768	DDX60	617.5258
DDX6	3800.364	DDX6	4013.9175
DEAF1	481.4369	DEAF1	347.4227
DECR1	1226.1711	DECR1	2096.3918
DECR2	385.0944	DECR2	194.3299
DEDD2	543.7302	DEDD2	348.4536
DEDD	1141.4503	DEDD	955.5155
DEF6	252.5146	DEF6	160.3093
DEF8	508.861	DEF8	888.1443
DEFB132	34.4861	DEFB132	163.9175
DEFB1	10.729	DEFB1	93.8144
DEGS1	2689.9128	DEGS1	1934.5361
DEGS2	4203.8509	removed	removed
DEK	1814.35	DEK	2684.0206
DEM1	204.6173	DEM1	108.2474
DENND1A	750.6466	DENND1A	701.5464
DENND1B	13.0281	DENND1B	32.4742
DENND1C	210.7482	DENND1C	106.1856
DENND2A	76.6357	DENND2A	1187.1134
DENND2C	16.8139	DENND2C	85.1804
DENND2D	1544.5924	DENND2D	539.1753
DENND3	185.0752	DENND3	654.6392
DENND4A	365.5523	DENND4A	633.5052
DENND4B	639.1302	DENND4B	973.6701
DENND4C	1705.9105	DENND4C	2215.9794
DENND5A	1077.881	DENND5A	3527.8351
DENND5B	157.4863	DENND5B	563.9175
DENR	1553.4055	DENR	1091.2371
DEPDC1B	86.5983	DEPDC1B	30.9278
DEPDC1	124.1498	DEPDC1	90.7216
DEPDC4	5.7477	DEPDC4	6.701
DEPDC5	123.7666	DEPDC5	193.8144
DEPDC6	1148.0027	DEPDC6	344.3299
DEPDC7	29.5047	DEPDC7	29.3814
DERA	372.4495	DERA	643.8144
DERL1	2156.9116	DERL1	2350
DERL2	910.432	DERL2	656.701
DERL3	89.2806	DERL3	8.7629
DES	6.1309	DES	308.7629
DET1	168.5985	DET1	191.7526
DEXI	750.2634	DEXI	765.9794
DFFA	397.3561	DFFA	410.3093
DFFB	83.1497	DFFB	80.4124
DFNA5	219.1781	DFNA5	396.9072
DFNB31	311.1409	DFNB31	34.0206
DFNB59	23.7571	DFNB59	43.299
DGAT1	754.555	DGAT1	1320.866
DGAT2	1358.3677	DGAT2	11294.3299
DGCR11	13.7944	DGCR11	26.8041
DGCR14	218.7949	DGCR14	276.2887
DGCR2	1885.238	DGCR2	1710.3093
DGCR5	9.5795	removed	removed
DGCR6L	404.6365	DGCR6L	416.4948
DGCR6	296.9633	DGCR6	245.8763
DGCR8	545.6461	DGCR8	547.4227
DGCR9	7.2804	removed	removed
DGKA	235.2716	DGKA	301.0309
DGKD	1326.1807	DGKD	454.1237
DGKE	124.533	DGKE	274.7423
DGKG	8.0467	DGKG	62.3711
DGKH	59.0095	DGKH	30.9278
DGKI	6.8972	DGKI	20.1031
DGKQ	253.281	DGKQ	167.0103
DGKZ	470.16	DGKZ	519.5876
DGUOK	690.4876	DGUOK	482.9897
DHCR24	24751.413	DHCR24	4436.5979
DHCR7	1035.7314	DHCR7	441.7526
DHDDS	935.3386	DHDDS	1926.8041
DHDH	61.3086	DHDH	14.433
DHDPSL	22.9332	DHDPSL	95.3763
DHFRL1	266.6999	DHFRL1	235.0515
DHFR	281.4561	DHFR	396.9639
DHH	7.6636	DHH	17.0103
DHODH	99.2432	DHODH	180.4124
DHPS	981.9983	DHPS	584.8763
DHRS11	181.2434	DHRS11	211.8557
DHRS12	182.3929	DHRS12	447.4227
DHRS13	107.2478	DHRS13	59.4381
DHRS1	1000.0958	DHRS1	376.8041
DHRS2	42.5328	removed	removed
DHRS3	987.0677	DHRS3	3027.3196
DHRS4L1	33.7197	DHRS4L1	5.6701
DHRS4L2	531.913	DHRS4L2	419.1856
DHRS4	969.8937	DHRS4	747.0979
DHRS7B	713.0951	DHRS7B	709.7938
DHRS7	1134.9746	DHRS7	1135.567
DHRS9	348.3092	DHRS9	601.5464
DHRSX	355.2064	DHRSX	359.7938
DHTKD1	1131.1428	DHTKD1	740.7216
DHX15	2861.5768	DHX15	1943.299
DHX16	600.4407	DHX16	630.4124
DHX29	2051.9207	DHX29	937.1134
DHX30	1733.4994	DHX30	1001.0309
DHX32	956.9077	DHX32	556.7835
DHX33	227.2248	DHX33	212.3711
DHX34	451.0011	DHX34	156.1856
DHX35	254.0473	DHX35	220.6186
DHX36	1116.9652	DHX36	857.2165
DHX37	485.4871	DHX37	286.5979
DHX38	623.8145	DHX38	1275.2577
DHX40	1596.7047	DHX40	1429.8969
DHX57	529.1695	DHX57	542.7835
DHX58	335.6643	DHX58	315.4639
DHX8	1179.0401	DHX8	1017.0103
DHX9	4931.5068	DHX9	3259.2784
DIABLO	1007.0696	DIABLO	383.2938
DIAPH1	3402.6248	DIAPH1	2609.7938
DIAPH2	183.5425	DIAPH2	613.4021
DIAPH3	124.9162	DIAPH3	103.6082
DICER1	2591.8191	DICER1	2329.8969
DIDO1	1895.2007	DIDO1	1400
DIMT1L	476.2908	DIMT1L	381.9588
DIO1	12.6449	DIO1	6.701
DIO2	384.328	DIO2	142.7835
DIO3	6.8972	DIO3	51.0309
DIP2A	572.4686	DIP2A	785.0515
DIP2B	1455.695	DIP2B	1113.9175
DIP2C	785.5159	DIP2C	1387.1134
DIRAS1	239.1034	DIRAS1	11.3402
removed	removed	DIRAS2	5.6701
DIRAS3	69.3553	DIRAS3	10.8247
DIRC1	7.6636	removed	removed
DIRC2	522.6899	DIRC2	472.2371
DIRC3	5.7477	DIRC3	38.1443
DIS3L2	335.6643	DIS3L2	304.1237
DIS3L	689.3381	DIS3L	1051.0309
DIS3	885.9354	DIS3	1038.7577
DISC1	85.0656	DISC1	232.4691
DISP1	353.2905	DISP1	468.5567
DISP2	14.1776	DISP2	6.701
DIXDC1	973.6565	DIXDC1	1897.4227
DKC1	1001.2453	DKC1	722.6804
DKFZP586I1420	341.412	DKFZP586I1420	186.0825
DKFZP686I15217	47.5141	DKFZP686I15217	54.1237
DKFZp686O24166	31.0375	DKFZp686O24166	44.8454
DKFZp761E198	323.4026	DKFZp761E198	448.4536
removed	removed	DKFZp779M0652	11.8557
DKK1	9.1963	DKK1	55.1546
DKK2	50.1964	DKK2	85.0515
DKK3	1153.3672	DKK3	519.0722
DLAT	923.0769	DLAT	962.3711
DLC1	568.2537	DLC1	3730.9278
DLD	2419.3888	DLD	2575.2577
DLEC1	6.1309	DLEC1	23.7113
DLEU1	51.7291	DLEU1	43.8144
DLEU2L	8.0467	DLEU2L	7.732
DLEU2	43.2149	DLEU2	19.701
DLG1	1655.3233	DLG1	1597.9381
DLG2	62.0749	DLG2	45.3608
DLG3	1040.3295	DLG3	177.8351
DLG4	167.8858	DLG4	232.4742
DLG5	1992.528	DLG5	1069.5876
DLGAP1	51.7291	DLGAP1	9.7938
removed	removed	DLGAP2	19.5876
removed	removed	DLGAP3	7.2165
DLGAP4	1909.7615	DLGAP4	2498.9691
DLGAP5	244.0847	DLGAP5	121.6495
DLK1	12.2617	DLK1	9.7938
DLK2	12.6449	removed	removed
DLL1	68.5889	DLL1	171.6495
DLL4	139.477	DLL4	322.1649
DLST	2625.1557	DLST	3648.4536
DLX1	6.8972	removed	removed
DLX2	140.6265	removed	removed
DLX3	18.7757	DLX3	21.134
DLX4	8.4299	DLX4	10.8247
DLX5	26.4393	DLX5	7.732
DMAP1	494.3002	DMAP1	456.1856
removed	removed	DMC1	10.8247
DMD	289.2997	DMD	2420.6186
DMGDH	23.7571	DMGDH	279.3814
DMKN	228.3744	DMKN	22.1649
DMPK	557.1415	DMPK	362.8866
DMRT2	21.458	DMRT2	433.5052
DMRT3	12.6449	DMRT3	109.2784
DMRTA1	16.4767	DMRTA1	51.5464
DMTF1	796.2947	DMTF1	804.9381
DMWD	480.889	DMWD	350
DMXL1	899.3199	DMXL1	1311.8557
DMXL2	608.8706	DMXL2	1065.9794
DNA2	124.533	DNA2	37.6289
DNAH10	22.2244	DNAH10	17.5258
DNAH11	8.2882	removed	removed
DNAH12	20.3085	removed	removed
DNAH14	134.1125	DNAH14	9.2784
DNAH17	29.1216	DNAH17	30.8918
DNAH1	95.0283	DNAH1	201.0309
DNAH2	22.9907	DNAH2	7.2165
DNAH5	200.4023	DNAH5	17.0103
DNAH6	58.6263	DNAH6	19.5876
DNAH7	79.3179	DNAH7	6.1856
DNAH9	54.4113	DNAH9	121.6495
DNAI1	14.1776	removed	removed
DNAJA1	3798.4481	DNAJA1	2588.6598
DNAJA2	908.5161	DNAJA2	1680.4124
DNAJA3	1338.0592	DNAJA3	719.0722
DNAJA4	843.3758	DNAJA4	610.3093
DNAJB11	1388.2556	DNAJB11	1013.4021
DNAJB12	1305.8722	DNAJB12	1150.5155
DNAJB14	388.9261	DNAJB14	408.7629
DNAJB1	5608.2	DNAJB1	3345.3608
DNAJB2	2156.1452	DNAJB2	1522.6804
DNAJB4	363.2532	DNAJB4	1043.8144
DNAJB5	170.8976	DNAJB5	154.6392
DNAJB6	2003.257	DNAJB6	1757.732
DNAJB9	1223.872	DNAJB9	776.8041
DNAJC10	2366.127	DNAJC10	2353.0928
DNAJC11	919.4904	DNAJC11	803.8196
DNAJC12	231.4398	DNAJC12	10.3093
DNAJC13	1844.238	DNAJC13	2093.299
DNAJC14	1178.0477	DNAJC14	979.7835
DNAJC15	757.5438	DNAJC15	994.8454
DNAJC16	1055.6567	DNAJC16	608.7629
DNAJC17	270.1408	DNAJC17	196.799
DNAJC18	101.9255	DNAJC18	204.6392
DNAJC19	715.011	DNAJC19	298.9691
DNAJC1	1582.1439	DNAJC1	637.1134
DNAJC21	1333.8442	DNAJC21	1058.7629
DNAJC22	306.5428	removed	removed
DNAJC24	237.6358	DNAJC24	332.0361
DNAJC25	341.412	DNAJC25	257.2165
DNAJC27	115.3367	DNAJC27	169.0722
DNAJC28	30.6543	DNAJC28	26.2887
DNAJC2	624.4813	DNAJC2	388.6495
DNAJC30	421.4963	DNAJC30	298.4536
DNAJC3	2259.9866	DNAJC3	2410.8247
DNAJC4	619.8525	DNAJC4	344.0567
DNAJC5B	32.9533	DNAJC5B	9.2784
DNAJC5	2745.4737	DNAJC5	1854.1237
DNAJC6	53.645	DNAJC6	36.5979
DNAJC7	1528.3188	DNAJC7	1436.567
DNAJC8	1719.3218	DNAJC8	2215.4639
DNAJC9	645.3645	DNAJC9	317.0103
DNAL1	524.9545	DNAL1	330.4124
DNAL4	426.8608	DNAL4	241.2371
DNALI1	523.4218	DNALI1	134.0206
DNASE1L1	342.711	DNASE1L1	525.3454
DNASE1L2	6.514	removed	removed
DNASE1L3	18.3926	DNASE1L3	139.1753
DNASE1	49.8132	DNASE1	24.2268
DNASE2B	57.4768	DNASE2B	16.4948
DNASE2	2299.454	DNASE2	1196.3918
DND1	77.4519	DND1	41.6649
removed	removed	DNER	54.1237
DNHD1	78.5516	DNHD1	182.9897
DNLZ	218.0285	DNLZ	155.6701
DNM1L	1037.6473	DNM1L	1391.2371
DNM1P35	7.6636	DNM1P35	11.8557
DNM1	236.4211	DNM1	1494.8454
DNM2	2277.2105	DNM2	1917.3814
DNM3	85.0656	DNM3	108.7629
DNMBP	482.6478	DNMBP	975.5258
DNMT1	1748.0602	DNMT1	916.4948
DNMT3A	361.7205	DNMT3A	323.7113
DNMT3B	93.8787	DNMT3B	32.4742
DNPEP	1375.9939	DNPEP	978.3505
DNTTIP1	495.0666	DNTTIP1	288.6598
DNTTIP2	1288.6292	DNTTIP2	1078.866
DOC2A	43.6479	removed	removed
DOC2B	11.4954	DOC2B	78.866
DOCK10	922.3106	DOCK10	397.4227
DOCK11	441.0384	DOCK11	4342.268
DOCK1	1756.4901	DOCK1	2571.6495
DOCK2	362.1036	DOCK2	1277.3196
DOCK3	26.0561	DOCK3	13.9175
DOCK4	217.2622	DOCK4	1009.7938
DOCK5	359.8046	DOCK5	150
DOCK6	459.0478	DOCK6	1277.3196
DOCK7	731.1045	DOCK7	1203.6082
DOCK8	770.5719	DOCK8	1108.7629
DOCK9	1587.5084	DOCK9	2081.9588
DOHH	255.9632	DOHH	107.2165
DOK1	761.3756	DOK1	792.268
DOK2	225.6921	DOK2	661.3402
DOK3	201.5519	DOK3	182.9897
DOK4	177.0285	DOK4	429.3814
DOK5	34.4861	DOK5	135.567
DOK6	25.673	DOK6	39.1753
DOK7	14.1776	removed	removed
DOLK	632.2445	DOLK	438.6598
DOLPP1	648.338	DOLPP1	267.0103
DOM3Z	177.0285	DOM3Z	115.3351
DONSON	154.5665	DONSON	150
DOPEY1	562.3642	DOPEY1	679.9588
DOPEY2	2051.9207	DOPEY2	611.8557
DOT1L	564.418	DOT1L	304.0206
DPAGT1	1169.5028	DPAGT1	832.9897
DPCD	446.1922	DPCD	137.3505
DPEP1	20.3085	removed	removed
DPEP2	126.8321	DPEP2	200
DPF2	1011.9743	DPF2	970.1031
removed	removed	DPF3	19.0722
DPH1	566.6596	DPH1	318.2062
DPH2	495.4498	DPH2	225.7732
DPH3B	19.5421	DPH3B	27.3196
DPH3	849.1235	DPH3	989.6907
DPH5	540.4157	DPH5	417.5258
DPM1	560.5901	DPM1	458.7629
DPM2	963.6938	DPM2	409.7938
DPM3	343.7111	DPM3	176.2887
DPP10	32.5702	removed	removed
DPP3	1125.3952	DPP3	558.7629
DPP4	132.9629	DPP4	2048.4536
DPP6	9.9626	DPP6	86.5979
DPP7	2779.1934	DPP7	1466.4948
DPP8	471.6927	DPP8	650.5155
DPP9	1648.8169	DPP9	1014.433
DPT	1103.9372	DPT	12121.6495
DPY19L1	593.9266	DPY19L1	828.866
DPY19L2P1	6.8972	removed	removed
DPY19L2P4	16.0935	removed	removed
DPY19L2	11.8785	DPY19L2	113.4021
DPY19L3	752.1793	DPY19L3	404.6392
DPY19L4	849.1235	DPY19L4	1039.6907
DPY30	677.8427	DPY30	411.7474
DPYD	419.1972	DPYD	1421.6495
DPYSL2	1412.3958	DPYSL2	6470.6186
DPYSL3	3171.5682	DPYSL3	10361.3402
DPYSL4	66.2899	DPYSL4	8.7629
DQX1	16.0935	removed	removed
DR1	1470.2558	DR1	1214.9485
DRAM1	419.5804	DRAM1	1435.0515
DRAM2	2419.7184	DRAM2	2170.1031
DRAP1	1235.3674	DRAP1	943.8144
removed	removed	DRD1	13.9175
DRD2	9.1963	DRD2	7.732
DRD4	21.8412	removed	removed
DRG1	851.0394	DRG1	1250.5155
DRG2	616.151	DRG2	591.2371
DRP2	15.7103	DRP2	5.6701
DSC2	1026.9183	DSC2	387.6289
DSC3	237.9538	DSC3	80.4124
removed	removed	DSCAML1	41.7526
DSCC1	106.1404	DSCC1	109.7938
DSCR3	792.7962	DSCR3	1184.5361
DSCR6	14.5608	removed	removed
DSEL	206.9164	DSEL	958.7629
DSE	579.9981	DSE	1992.9897
removed	removed	DSG1	5.1546
DSG2	3837.517	DSG2	1848.4381
DSG3	212.2809	DSG3	91.7526
DSN1	549.8611	DSN1	230.9278
DSP	18130.0891	DSP	321.6495
DSTN	18082.9581	DSTN	6906.701
DSTYK	866.7497	DSTYK	992.7835
DST	4132.1966	DST	8186.5979
DTD1	520.3564	DTD1	495.3608
DTL	460.5805	DTL	84.5361
DTNA	52.4954	DTNA	319.5876
DTNBP1	348.6924	DTNBP1	368.5567
DTNB	584.3472	DTNB	82.4742
DTWD1	342.1784	DTWD1	472.6804
DTWD2	319.5708	DTWD2	169.0722
DTX1	139.0938	DTX1	1007.2165
DTX2	704.282	DTX2	249.4845
DTX3L	2451.3268	DTX3L	1425.732
DTX3	546.0293	DTX3	125.2577
DTX4	688.9549	DTX4	862.3711
DTYMK	502.347	DTYMK	308.7629
DULLARD	2028.93	DULLARD	2200
DUOX1	85.832	DUOX1	40.2062
removed	removed	DUOX2	8.7629
DUOXA1	8.0467	removed	removed
DUS1L	1105.0867	DUS1L	762.3711
DUS2L	144.0751	DUS2L	154.6392
DUS3L	275.8885	DUS3L	159.2784
DUS4L	194.9727	DUS4L	103.6082
DUSP10	134.1125	DUSP10	279.8969
DUSP11	545.6461	DUSP11	401.0309
DUSP12	301.1783	DUSP12	173.1959
DUSP14	296.9633	DUSP14	396.3918
DUSP15	78.9348	removed	removed
DUSP16	1945.0139	DUSP16	575.2577
DUSP18	99.6264	DUSP18	143.299
DUSP19	61.6917	DUSP19	87.6289
DUSP1	1731.5835	DUSP1	14565.4639
DUSP22	480.889	DUSP22	1743.299
DUSP23	724.9737	DUSP23	437.6289
DUSP27	11.1122	DUSP27	20.6186
DUSP28	94.2619	DUSP28	37.1134
DUSP2	36.402	DUSP2	13.9175
DUSP3	1544.5924	DUSP3	2440.7216
DUSP4	2533.9592	DUSP4	195.3608
DUSP5	862.9179	DUSP5	155.1546
DUSP6	1130.3765	DUSP6	3458.7629
DUSP7	347.1597	DUSP7	611.8557
DUSP8	148.2901	DUSP8	128.3505
DUT	999.1877	DUT	882.8608
DVL1	582.8144	DVL1	635.0515
DVL2	416.8982	DVL2	400
DVL3	2166.1079	DVL3	1574.7423
DYDC2	17.6262	removed	removed
DYM	831.8804	DYM	822.1649
DYNC1H1	10549.6695	DYNC1H1	12098.9691
DYNC1I1	18.7757	DYNC1I1	55.6701
DYNC1I2	2739.3428	DYNC1I2	2063.9175
DYNC1LI1	1364.1153	DYNC1LI1	647.9381
DYNC1LI2	1731.5835	DYNC1LI2	4430.4124
DYNC2H1	451.7674	DYNC2H1	559.7938
DYNC2LI1	356.7392	DYNC2LI1	296.9072
DYNLL1	5284.4142	DYNLL1	3327.8351
DYNLL2	1876.4249	DYNLL2	1480.9278
DYNLRB1	2319.7624	DYNLRB1	1622.1649
DYNLRB2	16.8599	DYNLRB2	5.1546
DYNLT1	1646.5179	DYNLT1	774.2268
DYNLT3	643.7398	DYNLT3	692.7835
DYRK1A	1344.9564	DYRK1A	1308.7629
DYRK1B	650.2539	DYRK1B	297.4227
DYRK2	589.3285	DYRK2	744.3299
DYRK3	186.6079	DYRK3	126.8041
DYRK4	277.8044	DYRK4	168.0412
DYSF	416.1318	DYSF	1010.3093
DYX1C1	126.4489	DYX1C1	17.5258
DZIP1L	24.1402	DZIP1L	96.3918
DZIP1	139.3543	DZIP1	428.9278
DZIP3	527.2536	DZIP3	417.5258
E2F1	177.0285	E2F1	103.6082
E2F2	82.7665	E2F2	54.1237
E2F3	479.7394	E2F3	333.5052
E2F4	438.7393	E2F4	927.8351
E2F5	76.5935	E2F5	25.0155
E2F6	277.038	E2F6	268.0412
E2F7	58.2431	E2F7	16.4948
E2F8	19.9253	E2F8	14.433
E4F1	377.0476	E4F1	162.3711
EAF1	1403.1995	EAF1	629.8969
EAF2	60.9254	EAF2	42.268
EAPP	1120.797	EAPP	589.6907
EARS2	1257.2085	EARS2	341.2371
EBAG9	401.571	EBAG9	438.1443
EBF1	288.5334	EBF1	3756.701
EBF2	15.3271	EBF2	389.6907
EBF3	72.4207	EBF3	970.1031
EBF4	219.5613	EBF4	63.9175
EBI3	8.0467	EBI3	9.2784
EBNA1BP2	1111.2597	EBNA1BP2	556.701
EBPL	676.6932	EBPL	246.3918
EBP	563.6555	EBP	302.5773
ECD	726.8895	ECD	489.1753
ECE1	6094.0703	ECE1	6417.0103
ECE2	184.3088	ECE2	48.9691
removed	removed	ECEL1	5.6701
ECH1	4508.8725	ECH1	3848.4536
ECHDC1	401.571	ECHDC1	1690.2062
ECHDC2	761.3756	ECHDC2	1094.3299
ECHDC3	340.2625	ECHDC3	1713.9175
ECHS1	3594.9804	ECHS1	4429.8969
ECM1	985.1518	ECM1	3734.0206
