gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
ACOT13	399.59	ACOT13	825.0567
ACOT1	1099.339	ACOT1	1508.7629
ACOT2	637.9921	ACOT2	930.4124
ACOT4	512.3096	ACOT4	158.2474
removed	removed	ACOT6	9.7938
ACOT7	204.2341	ACOT7	353.0928
ACOT8	451.2463	ACOT8	197.6237
ACOT9	412.6832	ACOT9	808.2474
ACOX1	1314.8616	ACOX1	3326.2887
ACOX2	205.3837	ACOX2	355.6701
ACOX3	778.2355	ACOX3	381.4433
ACP1	1501.6764	ACP1	954.1237
ACP2	1581.7607	ACP2	1552.0619
ACP5	3316.0264	ACP5	2448.4536
ACP6	457.5151	ACP6	113.9175
ACPL2	908.133	ACPL2	331.9588
ACPP	72.0376	ACPP	51.5464
ACRBP	16.0935	ACRBP	56.701
ACRC	16.8599	ACRC	26.8041
removed	removed	ACR	9.2784
removed	removed	ACSBG1	12.8866
ACSF2	1309.704	ACSF2	1087.1134
ACSF3	246.7669	ACSF3	267.0103
ACSL1	4066.6731	ACSL1	28717.0103
ACSL3	4665.581	ACSL3	2411.3402
ACSL4	770.1887	ACSL4	3653.0928
ACSL5	511.9264	ACSL5	1175.2577
ACSL6	8.4299	removed	removed
ACSM1	79.3179	removed	removed
removed	removed	ACSM2A	15.4639
removed	removed	ACSM2B	9.7938
ACSM3	69.1369	ACSM3	5.4536
ACSM5	101.5423	ACSM5	1585.0515
ACSS1	1033.8155	ACSS1	559.7938
ACSS2	990.5163	ACSS2	5257.732
ACSS3	286.2343	ACSS3	1074.7423
ACTA1	14.944	removed	removed
ACTA2	8002.8738	ACTA2	4907.3711
ACTB	100255.1969	ACTB	83073.1959
ACTG1	78003.257	ACTG1	41863.9175
ACTG2	833.4132	ACTG2	215.9794
ACTL6A	1237.2833	ACTL6A	577.8351
ACTN1	5099.7222	ACTN1	3022.6804
ACTN4	10707.2861	ACTN4	7088.1031
ACTR10	1352.62	ACTR10	1159.2784
ACTR1A	2676.1184	ACTR1A	3491.2371
ACTR1B	931.89	ACTR1B	1221.134
ACTR2	6867.7076	ACTR2	7565.4639
ACTR3B	310.3746	ACTR3B	56.1856
ACTR3C	20.6916	ACTR3C	23.7113
ACTR3	3898.0745	ACTR3	4159.7938
ACTR5	247.1501	ACTR5	125.7732
ACTR6	527.2536	ACTR6	362.8866
ACTR8	520.7395	ACTR8	373.7113
ACVR1B	995.4977	ACVR1B	776.8041
ACVR1C	147.1405	ACVR1C	2986.0825
ACVR1	804.6748	ACVR1	1519.5876
ACVR2A	246.7669	ACVR2A	514.9485
ACVR2B	487.0198	ACVR2B	333.5052
ACVRL1	460.1973	ACVRL1	2409.2784
ACY1	899.6494	ACY1	505.5876
ACY3	27.972	removed	removed
ACYP1	74.3366	ACYP1	56.701
ACYP2	151.3555	ACYP2	215.4639
ADAL	202.7014	ADAL	271.134
ADAM10	1492.0969	ADAM10	1762.3711
ADAM11	6.1309	removed	removed
ADAM12	2042.3412	ADAM12	1125.2577
ADAM15	8672.1257	ADAM15	3077.8351
ADAM17	632.2445	ADAM17	792.7835
ADAM19	155.5705	ADAM19	180.9278
removed	removed	ADAM20	6.701
ADAM21P1	17.243	removed	removed
ADAM21	49.8132	removed	removed
ADAM22	65.5235	ADAM22	82.4742
ADAM23	21.458	ADAM23	106.1856
ADAM28	74.3366	ADAM28	7.732
ADAM32	38.3178	ADAM32	26.8041
ADAM33	99.7528	ADAM33	648.2938
ADAM6	6543.5655	ADAM6	410.0567
ADAM8	126.4489	ADAM8	31.9588
ADAM9	2333.1737	ADAM9	4081.9588
ADAMDEC1	21.0748	removed	removed
ADAMTS10	85.0656	ADAMTS10	150
ADAMTS12	239.1034	ADAMTS12	363.9175
ADAMTS13	70.1217	ADAMTS13	25.2577
ADAMTS14	106.1404	ADAMTS14	132.4742
ADAMTS15	1072.1333	ADAMTS15	411.8557
ADAMTS16	362.1036	ADAMTS16	538.1443
ADAMTS17	73.9534	ADAMTS17	55.1546
ADAMTS18	42.916	ADAMTS18	211.8557
ADAMTS19	32.5702	ADAMTS19	36.0825
ADAMTS1	471.3095	ADAMTS1	4331.9588
ADAMTS2	470.9263	ADAMTS2	1796.9072
ADAMTS3	30.6543	ADAMTS3	81.4433
ADAMTS4	421.8795	ADAMTS4	240.2062
ADAMTS5	353.2905	ADAMTS5	8410.8247
ADAMTS6	47.8973	ADAMTS6	117.5258
ADAMTS7	98.4769	ADAMTS7	195.8763
ADAMTS8	6.8972	ADAMTS8	13.9175
ADAMTS9	155.1873	ADAMTS9	784.0206
ADAMTSL1	124.1498	ADAMTSL1	688.6598
ADAMTSL2	132.1966	ADAMTSL2	63.4021
ADAMTSL3	103.075	ADAMTSL3	827.3196
ADAMTSL4	189.2902	ADAMTSL4	2386.0825
ADAMTSL5	60.9254	ADAMTSL5	52.5773
ADAP1	208.1042	ADAP1	167.3247
ADAP2	317.2718	ADAP2	855.1546
ADARB1	444.8702	ADARB1	789.1753
removed	removed	ADARB2	7.2165
ADAR	11895.7755	ADAR	5496.9072
ADAT1	229.5239	ADAT1	348.9691
ADAT2	50.1964	ADAT2	132.4742
ADAT3	40.6169	ADAT3	14.433
ADA	127.5984	ADA	263.9175
ADCK1	223.0099	ADCK1	217.5258
ADCK2	1475.2371	ADCK2	560.3093
ADCK4	628.4127	ADCK4	312.3711
ADCK5	87.3647	ADCK5	53.6082
ADCY1	297.3465	ADCY1	212.8866
ADCY2	623.4314	ADCY2	85.0515
ADCY3	539.4885	ADCY3	2383.5
ADCY4	100.0096	ADCY4	577.3196
ADCY5	102.6918	ADCY5	601.0309
ADCY6	1621.6113	ADCY6	3053.6082
ADCY7	402.7206	ADCY7	1377.8351
removed	removed	ADCY8	48.4536
ADCY9	1291.3114	ADCY9	944.8454
removed	removed	ADCYAP1R1	34.0206
ADC	151.7387	ADC	53.6082
ADD1	4959.8621	ADD1	8071.134
ADD2	23.3739	ADD2	76.8041
ADD3	1682.5366	ADD3	5347.4227
ADH1A	32.187	ADH1A	848.6598
ADH1B	5025.7688	ADH1B	91436.5979
ADH1C	19.9253	ADH1C	295.8763
removed	removed	ADH4	16.4948
ADH5	2109.3975	ADH5	4385.0515
removed	removed	ADH6	13.9175
removed	removed	ADH7	53.6082
ADHFE1	93.8787	ADHFE1	563.9175
ADI1	1192.0682	ADI1	2818.5567
ADIPOQ	2924.418	ADIPOQ	51822.6804
ADIPOR1	3369.6714	ADIPOR1	2174.2268
ADIPOR2	2272.6315	ADIPOR2	3523.1959
ADK	432.9917	ADK	402.5773
ADM2	84.6824	ADM2	6.1856
ADM	100.3928	ADM	582.4742
removed	removed	ADNP2	486.0825
ADNP	4416.1318	ADNP	1913.9175
ADORA1	77.0189	ADORA1	140.7216
ADORA2A	67.0562	ADORA2A	45.3608
ADORA2B	41.7665	ADORA2B	71.134
ADORA3	257.8791	ADORA3	501.0309
ADO	618.8332	ADO	517.5258
ADPGK	1161.0308	ADPGK	998.5052
ADPRHL1	78.9348	ADPRHL1	39.6907
ADPRHL2	672.095	ADPRHL2	464.9485
ADPRH	309.9914	ADPRH	782.9897
removed	removed	ADRA1A	80.4124
ADRA1B	42.1496	ADRA1B	189.1753
removed	removed	ADRA1D	12.3711
ADRA2A	781.6841	ADRA2A	1233.5052
ADRA2B	18.3926	ADRA2B	55.6701
ADRA2C	25.2898	ADRA2C	106.1856
removed	removed	ADRB1	74.7423
ADRB2	50.5796	ADRB2	466.4948
ADRBK1	1255.6758	ADRBK1	1469.5876
ADRBK2	678.6091	ADRBK2	4501.0309
ADRM1	1349.1714	ADRM1	987.6289
ADSL	516.9077	ADSL	734.0206
ADSSL1	137.9442	ADSSL1	451.0309
ADSS	2705.24	ADSS	764.433
AEBP1	19440.9426	AEBP1	8602.0619
AEBP2	567.4873	AEBP2	557.732
AEN	361.7205	AEN	188.6598
AES	9250.3113	AES	4892.268
AFAP1L1	193.8883	AFAP1L1	1143.8144
AFAP1L2	416.515	AFAP1L2	591.2371
AFAP1	1221.5538	AFAP1	1718.0206
AFF1	2418.2393	AFF1	4071.6495
AFF2	22.9907	AFF2	35.0515
AFF3	1308.5545	AFF3	168.0412
AFF4	4989.75	AFF4	2510.8247
AFG3L1	92.346	AFG3L1	184.0206
AFG3L2	1352.0759	AFG3L2	989.9021
AFMID	732.6372	AFMID	213.4021
AFP	5.3645	removed	removed
AFTPH	1915.126	AFTPH	904.1237
AG2	88.8974	AG2	481.9588
AGAP11	21.0748	AGAP11	261.3454
AGAP1	537.9826	AGAP1	557.732
AGAP2	39.0037	AGAP2	60.5206
AGAP3	975.5724	AGAP3	1176.2887
AGAP4	122.2339	AGAP4	147.4227
AGAP5	42.2952	AGAP5	39.8093
AGAP6	90.8133	AGAP6	106.701
AGAP7	6.8972	AGAP7	9.7938
AGAP8	33.3365	AGAP8	17.0103
AGA	416.8982	AGA	234.0206
AGBL3	6.8972	AGBL3	5.1546
AGBL4	17.6262	AGBL4	7.732
AGBL5	552.9495	AGBL5	507.268
AGER	7.6636	AGER	30.9278
AGFG1	1347.2555	AGFG1	2302.0619
AGFG2	624.9641	AGFG2	341.2371
AGGF1	1254.5263	AGGF1	935.567
AGK	798.5439	AGK	490.2062
AGL	2183.7341	AGL	1056.1856
AGMAT	37.5515	AGMAT	10.3093
AGPAT1	1608.2767	AGPAT1	1711.3454
AGPAT2	1441.9006	AGPAT2	5748.9691
AGPAT3	2463.0712	AGPAT3	2006.701
AGPAT4	192.7388	AGPAT4	385.567
AGPAT5	756.3943	AGPAT5	362.3711
AGPAT6	1787.1444	AGPAT6	1573.1959
AGPAT9	121.4676	AGPAT9	214.433
AGPHD1	36.7851	AGPHD1	49.4845
AGPS	464.0291	AGPS	2052.0619
AGR2	14578.0247	AGR2	16.4948
AGR3	1972.6027	removed	removed
AGRN	11789.635	AGRN	836.5979
AGTPBP1	209.9818	AGTPBP1	668.0412
AGTR1	75.8693	AGTR1	1150
AGTRAP	939.9368	AGTRAP	667.0103
AGT	321.8699	AGT	108.2474
AGXT2L2	318.1378	AGXT2L2	691.1546
AHCTF1	1515.0877	AHCTF1	1417.0103
AHCYL1	4013.7944	AHCYL1	5145.3608
AHCYL2	780.9177	AHCYL2	654.6392
AHCY	4441.4216	AHCY	1737.1134
AHDC1	657.5342	AHDC1	652.0619
AHI1	222.2435	AHI1	309.2784
AHNAK2	1195.9	AHNAK2	3235.567
AHNAK	46385.6691	AHNAK	142264.9485
AHRR	21.8412	AHRR	11.3402
AHR	2745.0905	AHR	2336.5979
AHSA1	1950.7616	AHSA1	1382.4742
AHSA2	217.6454	AHSA2	383.5052
AIDA	1560.7664	AIDA	2144.1701
AIF1L	347.926	AIF1L	3273.7113
AIF1	454.4497	AIF1	1444.3299
AIFM1	1087.4605	AIFM1	899.4845
AIFM2	322.6363	AIFM2	2673.1959
AIFM3	23.9601	AIFM3	12.8866
AIG1	1109.3017	AIG1	896.3918
AIM1	1703.9946	AIM1	1809.7938
removed	removed	AIM2	6.701
AIMP1	894.4688	AIMP1	712.8144
AIMP2	493.3921	AIMP2	266.9227
AIP	815.787	AIP	980.4124
removed	removed	AJAP1	17.5258
AK1	581.2817	AK1	772.6804
AK2	2163.4256	AK2	1691.7526
AK3L1	116.4863	AK3L1	531.4433
AK3	1423.8912	AK3	3184.5361
AK5	254.8137	AK5	5.1546
AK7	27.2057	AK7	10.3093
AKAP10	355.2064	AKAP10	473.7113
