gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
DENND4A	318.095	DENND4A	699.9836
DENND4B	444.7175	DENND4B	819.6559
DENND4C	710.3224	DENND4C	2030.3154
DENND5A	718.4095	DENND5A	1823.0234
DENND5B	95.6981	DENND5B	210.9791
DENR	2710.547	DENR	1612.8636
DEPDC1B	95.2488	DEPDC1B	31.1348
DEPDC1	240.8177	DEPDC1	52.4375
DEPDC4	11.6815	DEPDC4	11.061
DEPDC5	249.3542	DEPDC5	352.7243
DEPDC6	1045.041	DEPDC6	1303.1544
DEPDC7	8.9857	DEPDC7	5.3257
DERA	539.5934	DERA	382.2204
DERL1	1847.9164	DERL1	1425.2356
DERL2	1919.353	DERL2	412.5358
DERL3	261.4849	DERL3	141.3355
DES	5.3914	DES	19.2544
DET1	137.0325	DET1	203.1954
DEXI	417.3874	DEXI	619.4183
DFFA	250.2527	DFFA	673.0848
DFFB	33.6965	DFFB	181.483
DFNA5	139.2789	DFNA5	237.6075
DFNB31	303.7178	DFNB31	387.1364
DFNB59	13.4786	DFNB59	54.0762
DGAT1	389.7023	DGAT1	504.4449
DGAT2	52.1173	DGAT2	486.2761
DGCR11	34.1458	DGCR11	19.6641
DGCR14	419.1845	DGCR14	425.2356
DGCR2	3274.8512	DGCR2	4041.7862
removed	removed	DGCR5	18.0254
DGCR6L	884.6456	DGCR6L	772.2245
DGCR6	543.637	DGCR6	1347.8083
DGCR8	655.9587	DGCR8	1008.603
DGKA	177.9176	DGKA	354.363
DGKD	1282.7137	DGKD	1006.9644
DGKE	84.0166	DGKE	235.1495
DGKG	34.1458	DGKG	16.7964
DGKH	70.0887	DGKH	48.3408
DGKI	6.29	DGKI	5.7354
DGKQ	301.9207	DGKQ	292.0934
DGKZ	840.6155	DGKZ	986.481
DGUOK	965.9665	DGUOK	643.5887
DHCR24	50609.4575	DHCR24	5356.821
DHCR7	2616.1968	DHCR7	1366.2433
DHDDS	1079.1868	DHDDS	651.7821
removed	removed	DHDPSL	19.6641
DHFRL1	498.259	DHFRL1	334.3179
DHFR	544.9893	DHFR	299.1192
DHH	10.7829	DHH	6.5547
DHODH	251.6006	DHODH	217.1241
DHPS	735.415	DHPS	1007.3208
DHRS11	61.103	DHRS11	243.3429
DHRS12	403.4595	DHRS12	325.6862
DHRS13	463.4618	DHRS13	280.6309
DHRS1	1233.2921	DHRS1	737.4027
DHRS2	30511.513	DHRS2	272.4293
DHRS3	1119.1733	DHRS3	657.5174
DHRS4L1	22.4643	DHRS4L1	6.9644
DHRS4L2	1314.0335	DHRS4L2	406.485
DHRS4	1664.877	DHRS4	814.6784
DHRS7B	927.3279	DHRS7B	387.5461
DHRS7	1492.9799	DHRS7	847.1938
DHRSX	817.4458	DHRSX	263.8263
DHTKD1	2158.8229	DHTKD1	887.7509
DHX15	3665.2814	DHX15	2762.3925
DHX16	733.236	DHX16	927.4887
DHX29	1457.9355	DHX29	954.9365
DHX30	1649.781	DHX30	1877.9189
DHX32	1951.1131	DHX32	1075.6698
DHX33	357.183	DHX33	621.0569
DHX34	457.3739	DHX34	603.8509
DHX35	217.4548	DHX35	287.5871
DHX36	952.9372	DHX36	988.5293
DHX37	930.0236	DHX37	635.805
DHX38	1211.7264	DHX38	1470.2991
DHX40P1	37.7401	removed	removed
DHX40	1038.751	DHX40	2100.3687
DHX57	522.0712	DHX57	662.4334
DHX58	240.3684	DHX58	315.0348
DHX8	637.0886	DHX8	1263.4166
DHX9	4362.5744	DHX9	4723.8837
DIABLO	2031.8275	DIABLO	798.2425
DIAPH1	5244.5243	DIAPH1	2294.1417
DIAPH2	83.5673	DIAPH2	317.0832
DIAPH3	136.1339	DIAPH3	53.2569
DICER1	1364.0346	DICER1	2025.8091
DIDO1	1497.4728	DIDO1	2284.3097
DIMT1L	302.37	DIMT1L	765.2601
DIO2	5458.8341	DIO2	199.9181
DIO3	451.0839	removed	removed
DIP2A	914.2986	DIP2A	1070.8726
DIP2B	1297.0909	DIP2B	1730.848
DIP2C	437.6053	DIP2C	1088.898
DIRAS1	16.1743	DIRAS1	326.9152
removed	removed	DIRAS2	65.9566
DIRAS3	499.6069	DIRAS3	65.5469
DIRC2	686.0429	DIRC2	267.8492
DIRC3	6.7393	DIRC3	7.374
DIS3L2	722.4531	DIS3L2	494.4695
DIS3L	518.9262	DIS3L	1034.4121
DIS3	1230.9109	DIS3	1221.2454
DISC1	322.7766	DISC1	310.934
DISP1	247.1077	DISP1	262.5973
DISP2	22.0151	DISP2	14.7481
DIXDC1	561.1592	DIXDC1	1120.4424
DKC1	1369.8753	DKC1	1962.3105
removed	removed	DKFZP434L187	6.0508
DKFZP586I1420	191.8454	DKFZP586I1420	255.6329
DKFZP686I15217	49.4215	DKFZP686I15217	88.0787
removed	removed	DKFZp434J0226	9.0127
DKFZp686O24166	30.1022	DKFZp686O24166	12.6997
DKFZp761E198	481.1861	DKFZp761E198	439.1643
DKFZp779M0652	11.6815	removed	removed
DKK1	28.7544	DKK1	26.2188
DKK2	116.3653	DKK2	12.6997
DKK3	1297.9894	DKK3	3371.1594
removed	removed	DKKL1	6.5547
DLAT	1062.4014	DLAT	878.3286
DLC1	553.5213	DLC1	1048.7505
DLD	1658.7667	DLD	1480.9504
removed	removed	DLEC1	22.1221
DLEU1	58.4702	DLEU1	78.2466
DLEU2	6.1777	DLEU2	11.4502
DLEU7	12.1307	removed	removed
DLG1	1216.2193	DLG1	1504.3015
DLG2	21.5658	DLG2	82.753
DLG3	2050.994	DLG3	1319.9508
DLG4	80.8941	DLG4	480.213
DLG5	1446.2541	DLG5	2745.5961
removed	removed	DLGAP1	52.8472
DLGAP2	5.8407	DLGAP2	16.3867
DLGAP4	1421.9926	DLGAP4	1833.6747
DLGAP5	213.8605	DLGAP5	76.1983
removed	removed	DLK1	959.8525
removed	removed	DLK2	147.0709
DLL1	70.0887	DLL1	195.8214
DLL4	376.053	DLL4	240.4752
DLST	2387.9591	DLST	2253.9943
DLX1	786.2518	removed	removed
DLX2	24.2615	removed	removed
DLX3	272.7171	DLX3	68.0049
DLX4	58.4073	DLX4	6.145
DLX5	17.9715	DLX5	9.832
DMAP1	533.7527	DMAP1	672.6751
removed	removed	DMBT1	180.254
DMC1	13.9279	DMC1	13.519
DMD	109.626	DMD	3474.8054
DMGDH	13.0293	DMGDH	23.7608
DMKN	15.725	DMKN	530.9299
DMPK	314.0514	DMPK	482.9988
removed	removed	DMRT2	12.6997
DMRT3	6.7393	DMRT3	7.7837
DMRTA1	5.8407	DMRTA1	34.0025
removed	removed	DMRTC1B	22.1221
DMRTC2	27.8558	removed	removed
DMTF1	349.1183	DMTF1	936.1368
DMWD	279.9056	DMWD	422.3679
DMXL1	772.3239	DMXL1	1395.3298
DMXL2	175.2218	DMXL2	472.3474
DNA2	72.3352	DNA2	75.3789
DNAH10	18.87	DNAH10	21.3027
DNAH11	7.3369	DNAH11	14.5883
removed	removed	DNAH12	9.4224
DNAH14	93.9009	DNAH14	113.0684
DNAH17	10.7829	DNAH17	30.3154
DNAH1	69.1902	DNAH1	310.9381
DNAH2	6.7393	DNAH2	72.5113
DNAH5	84.9152	DNAH5	134.7808
DNAH6	22.9136	DNAH6	68.8243
DNAH7	31.0008	DNAH7	67.5952
DNAH8	70.538	removed	removed
DNAH9	6.29	DNAH9	9.4224
DNAJA1	3465.798	DNAJA1	2853.7485
DNAJA2	3139.1666	DNAJA2	1732.4867
DNAJA3	1883.8594	DNAJA3	1229.4142
DNAJA4	3280.2426	DNAJA4	703.4002
DNAJB11	1490.2842	DNAJB11	827.5297
DNAJB12	1262.0465	DNAJB12	1479.7214
DNAJB14	386.8359	DNAJB14	351.905
DNAJB1	4528.3612	DNAJB1	3108.5621
DNAJB2	3396.1586	DNAJB2	2289.6354
DNAJB4	312.7036	DNAJB4	436.2966
DNAJB5	176.1204	DNAJB5	142.1549
DNAJB6	1252.1622	DNAJB6	1824.662
DNAJB9	1042.7946	DNAJB9	605.8992
DNAJC10	3667.5278	DNAJC10	2255.2233
DNAJC11	747.8468	DNAJC11	1124.1745
DNAJC12	630.7986	DNAJC12	594.8382
DNAJC13	1812.8721	DNAJC13	1434.2483
DNAJC14	1351.5624	DNAJC14	1301.4297
DNAJC15	2394.2491	DNAJC15	561.2454
DNAJC16	833.4269	DNAJC16	871.3642
DNAJC17	314.95	DNAJC17	306.4318
DNAJC18	53.0158	DNAJC18	272.4293
DNAJC19	463.6639	DNAJC19	482.9988
DNAJC1	1757.6098	DNAJC1	804.1786
DNAJC21	1792.6542	DNAJC21	1355.1823
DNAJC22	161.7432	DNAJC22	111.0201
DNAJC24	240.966	DNAJC24	313.3429
DNAJC25	211.6141	DNAJC25	197.8697
DNAJC27	101.9881	DNAJC27	224.9078
DNAJC28	57.5087	DNAJC28	48.7505
DNAJC2	361.2041	DNAJC2	535.1413
DNAJC30	589.9135	DNAJC30	332.6506
DNAJC3	4579.1306	DNAJC3	2029.0864
DNAJC4	558.8768	DNAJC4	1005.297
DNAJC5B	29.6529	removed	removed
DNAJC5	2423.4528	DNAJC5	2149.1192
DNAJC6	17.9715	DNAJC6	61.4502
DNAJC7	1273.4135	DNAJC7	1357.6034
DNAJC8	1607.9973	DNAJC8	1287.9967
DNAJC9	618.1107	DNAJC9	550.2253
DNAL1	279.9056	DNAL1	373.2077
DNAL4	586.7685	DNAL4	619.4183
DNALI1	10.7829	DNALI1	398.1975
DNASE1L1	409.8663	DNASE1L1	317.3658
DNASE1L2	9.8843	DNASE1L2	7.7837
removed	removed	DNASE1L3	32.3638
DNASE1	163.0911	DNASE1	53.6665
DNASE2B	9.435	removed	removed
DNASE2	2713.2427	DNASE2	1056.9439
DND1	144.2929	DND1	76.5465
removed	removed	DNER	34.8218
DNHD1	126.6989	DNHD1	229.0045
DNLZ	211.6141	DNLZ	102.0074
DNM1L	1836.6843	DNM1L	1417.8615
removed	removed	DNM1P35	34.4121
DNM1	141.076	DNM1	253.1749
DNM2	7120.7503	DNM2	1981.61
DNM3	38.6387	DNM3	62.6792
DNMBP	1011.7758	DNMBP	1061.8886
DNMT1	1760.3055	DNMT1	1657.5174
DNMT3A	685.1623	DNMT3A	601.3929
DNMT3B	265.0792	DNMT3B	124.9488
DNPEP	1736.9426	DNPEP	1609.5862
DNTTIP1	393.5752	DNTTIP1	401.8845
DNTTIP2	1267.4379	DNTTIP2	1444.0803
removed	removed	DOC2A	48.222
DOC2B	44.4794	DOC2B	12.29
DOCK10	158.1489	DOCK10	261.3683
DOCK11	231.3827	DOCK11	130.2745
DOCK1	1046.8381	DOCK1	3031.9541
DOCK2	164.439	DOCK2	132.3228
DOCK3	183.7583	DOCK3	32.3638
DOCK4	384.1402	DOCK4	369.111
DOCK5	616.4214	DOCK5	412.9455
DOCK6	459.6204	DOCK6	778.3695
DOCK7	569.6956	DOCK7	1565.7517
DOCK8	711.2209	DOCK8	809.914
DOCK9	899.0228	DOCK9	2446.1286
DOHH	290.6885	DOHH	199.0987
DOK1	150.9604	DOK1	150.3482
DOK2	13.0293	DOK2	31.1348
DOK3	151.4096	DOK3	54.8955
DOK4	359.4294	DOK4	558.7874
DOK5	41.3344	DOK5	42.1958
DOK6	28.3051	DOK6	23.3511
removed	removed	DOK7	38.0991
DOLK	549.0284	DOLK	312.5768
DOLPP1	571.942	DOLPP1	362.1467
DOM3Z	290.8952	DOM3Z	273.7075
DONSON	330.7514	DONSON	107.5912
DOPEY1	834.8197	DOPEY1	1121.315
DOPEY2	2627.429	DOPEY2	838.1811
DOT1L	444.3446	DOT1L	758.7054
DPAGT1	2210.7739	DPAGT1	941.5158
DPCD	271.1176	DPCD	229.2872
DPEP1	10.7829	removed	removed
DPEP2	64.6973	DPEP2	10.2417
DPF2	710.7717	DPF2	1419.0905
DPF3	8.5364	DPF3	62.2696
DPH1	935.0781	DPH1	1016.6776
DPH2	777.2661	DPH2	645.637
DPH3B	9.435	DPH3B	24.9898
DPH3	506.7955	DPH3	431.7902
DPH5	451.5691	DPH5	672.9005
DPM1	655.5094	DPM1	376.485
DPM2	968.6622	DPM2	687.0135
DPM3	299.6743	DPM3	249.4879
DPP3	1843.4236	DPP3	518.6399
DPP4	67.8423	DPP4	105.2847
removed	removed	DPP6	27.0381
DPP7	1196.4506	DPP7	1564.9324
DPP8	386.3866	DPP8	587.4642
DPP9	980.3437	DPP9	800.4916
DPT	2337.639	DPT	392.4621
DPY19L1	400.3145	DPY19L1	424.0066
removed	removed	DPY19L2P2	32.3638
DPY19L2	7.1886	DPY19L2	107.7427
DPY19L3	755.251	DPY19L3	533.388
DPY19L4	741.7724	DPY19L4	997.1323
DPY30	733.0922	DPY30	454.2483
DPYD	315.8486	DPYD	585.4158
DPYSL2	739.526	DPYSL2	3256.0426
DPYSL3	3112.6587	DPYSL3	2018.0254
DPYSL4	78.6252	DPYSL4	98.3204
removed	removed	DPYS	7.374
DR1	770.9761	DR1	1328.5539
DRAM1	380.0966	DRAM1	620.6473
DRAM2	791.194	DRAM2	975.8296
DRAP1	932.7193	DRAP1	786.1532
removed	removed	DRD2	111.0201
DRG1	1628.2152	DRG1	1031.1348
DRG2	840.1662	DRG2	682.9168
removed	removed	DSC1	66.9152
DSC2	1798.0456	DSC2	4319.1315
DSC3	71.8859	DSC3	672.6751
removed	removed	DSCAML1	22.9414
removed	removed	DSCAM	9.0127
DSCC1	87.1616	DSCC1	92.1753
DSCR3	1344.7153	DSCR3	693.9779
DSCR6	8.5364	DSCR6	11.8804
DSEL	216.1069	DSEL	413.3552
DSE	453.537	DSE	562.3761
removed	removed	DSG1	117.1651
DSG2	1581.9207	DSG2	6314.6006
removed	removed	DSG3	602.2122
DSN1	816.354	DSN1	266.694
DSP	1658.3174	DSP	15926.2597
DSTN	10001.1232	DSTN	7912.331
DSTYK	380.9952	DSTYK	936.0918
DST	3279.7933	DST	18759.5248
DTD1	439.4024	DTD1	542.4007
DTL	340.5594	DTL	113.8878
DTNA	484.3311	DTNA	869.3159
DTNBP1	415.5903	DTNBP1	317.4928
DTNB	1099.4047	DTNB	1655.0594
DTWD1	265.9778	DTWD1	455.1413
DTWD2	367.5166	DTWD2	254.8136
DTX1	46.2765	DTX1	166.7349
DTX2	763.7695	DTX2	253.9943
DTX3L	1367.0987	DTX3L	1386.4236
DTX3	248.4556	DTX3	763.2118
DTX4	509.4912	DTX4	1067.5952
DTYMK	521.6219	DTYMK	310.5285
DULLARD	1549.1407	DULLARD	2042.1958
DUOX1	89.4081	DUOX1	350.676
DUOX2	8.0872	DUOX2	45.8828
DUOXA1	45.9575	DUOXA1	56.9439
DUS1L	3853.0832	DUS1L	1657.1077
DUS2L	240.8177	DUS2L	215.8951
DUS3L	202.6283	DUS3L	335.9279
DUS4L	80.6155	DUS4L	169.1069
DUSP10	848.7027	DUSP10	160.5899
DUSP11	411.5467	DUSP11	452.2737
DUSP12	207.1212	DUSP12	244.9816
DUSP14	309.1093	DUSP14	485.8664
removed	removed	DUSP15	36.4605
DUSP16	4961.4737	DUSP16	2376.8947
DUSP18	74.5816	DUSP18	104.8546
DUSP19	66.0452	DUSP19	120.0328
DUSP1	1495.2263	DUSP1	3766.4891
DUSP22	538.6948	DUSP22	955.7558
DUSP23	488.824	DUSP23	344.5309
removed	removed	DUSP27	9.4224
DUSP28	97.4952	DUSP28	86.8497
DUSP2	48.523	DUSP2	225.7272
DUSP3	984.3873	DUSP3	1486.6858
DUSP4	294.2828	DUSP4	755.0184
removed	removed	DUSP5P	8.1934
DUSP5	1075.5925	DUSP5	572.3064
DUSP6	2872.2902	DUSP6	4459.238
DUSP7	260.5863	DUSP7	903.728
DUSP8	190.4976	DUSP8	538.304
removed	removed	DUSP9	86.8497
DUT	680.4178	DUT	826.4523
DVL1	407.5031	DVL1	1200.7374
DVL2	637.9872	DVL2	796.3949
DVL3	1810.1763	DVL3	2275.7067
DYM	660.0022	DYM	1197.0504
DYNC1H1	11623.4977	DYNC1H1	11045.8828
DYNC1I1	12.1307	DYNC1I1	41.3765
DYNC1I2	2072.5598	DYNC1I2	1730.848
DYNC1LI1	1061.2153	DYNC1LI1	730.0287
DYNC1LI2	3553.8583	DYNC1LI2	3256.0426
DYNC2H1	172.0768	DYNC2H1	843.0971
DYNC2LI1	451.9825	DYNC2LI1	447.7673
DYNLL1	5328.5409	DYNLL1	2594.0188
DYNLL2	2130.5178	DYNLL2	1543.22
DYNLRB1	1606.2002	DYNLRB1	1200.7374
DYNLRB2	33.2472	DYNLRB2	20.4834
DYNLT1	867.1234	DYNLT1	847.6034
DYNLT3	351.7915	DYNLT3	439.9836
DYRK1A	1419.2969	DYRK1A	2099.1397
DYRK1B	371.5601	DYRK1B	558.3777
DYRK2	417.3874	DYRK2	662.4334
DYRK3	45.8272	DYRK3	250.7169
DYRK4	283.9492	DYRK4	357.6403
DYSF	444.3446	DYSF	308.0705
DYX1C1	63.3494	DYX1C1	63.4986
DZIP1L	31.4501	DZIP1L	40.9668
DZIP1	112.6766	DZIP1	358.7628
DZIP3	1071.5489	DZIP3	404.3425
E2F1	235.4263	E2F1	120.8521
E2F2	109.1767	E2F2	97.9107
E2F3	275.8621	E2F3	503.4822
E2F4	748.5117	E2F4	748.8734
E2F5	51.9465	E2F5	185.6084
E2F6	260.5863	E2F6	344.5309
E2F7	37.7401	E2F7	28.6768
E2F8	35.0444	E2F8	27.4478
E4F1	517.1291	E4F1	510.0369
EAF1	739.9753	EAF1	751.3314
EAF2	616.4214	EAF2	42.6055
EAPP	1268.7858	EAPP	862.3515
EARS2	913.4	EARS2	1117.1651
EBAG9	612.3779	EBAG9	563.2937
EBF1	128.496	EBF1	296.5998
EBF2	70.9873	EBF2	19.6641
EBF3	54.813	EBF3	148.2999
EBF4	593.0585	EBF4	296.5998
EBI3	31.8994	EBI3	14.3384
EBNA1BP2	1228.35	EBNA1BP2	1013.1094
EBPL	581.3771	EBPL	770.1762
EBP	1035.1567	EBP	358.05
ECD	915.6464	ECD	626.3826
ECE1	9778.277	ECE1	8218.7628
ECE2	234.5277	ECE2	119.6231
ECEL1	10.3336	ECEL1	436.7063
ECH1	4992.0252	ECH1	2557.968
ECHDC1	141.076	ECHDC1	1161.8189
ECHDC2	3334.157	ECHDC2	1233.5109
ECHDC3	117.2638	ECHDC3	396.5588
ECHS1	2016.399	ECHS1	2026.2188
ECM1	460.5189	ECM1	96.272
ECM2	516.6798	ECM2	215.8951
ECSCR	61.5523	ECSCR	102.0074
ECSIT	573.2899	ECSIT	950.4302
removed	removed	ECT2L	9.0127
ECT2	904.8635	ECT2	430.1516
EDA2R	50.7694	EDA2R	120.8521
EDARADD	1673.1439	EDARADD	415.4035
removed	removed	EDAR	90.5367
EDA	56.6101	EDA	100.7784
EDC3	730.9896	EDC3	1016.3867
EDC4	1383.5741	EDC4	1352.6546
EDDM3B	17.0729	removed	removed
EDEM1	1715.3768	EDEM1	1339.6149
EDEM2	1212.625	EDEM2	446.1286
EDEM3	1490.2842	EDEM3	1248.2589
EDF1	5085.9261	EDF1	3689.4715
EDIL3	318.9936	EDIL3	253.5846
EDN1	188.7004	EDN1	320.7702
EDN2	22.0151	removed	removed
removed	removed	EDN3	828.7587
EDNRA	357.6323	EDNRA	314.6252
EDNRB	66.9437	EDNRB	627.202
EEA1	697.7423	EEA1	854.1581
EED	321.24	EED	422.3679
EEF1A1P9	5532.9664	EEF1A1P9	11600.1639
EEF1A1	92499.1576	EEF1A1	199876.6899
EEF1A2	387.2852	EEF1A2	241.2946
EEF1B2	3712.0072	EEF1B2	8213.8468
EEF1D	4769.1789	EEF1D	8677.5912
EEF1E1	379.6473	EEF1E1	208.1114
EEF1G	14743.3449	EEF1G	51598.5252
EEF2K	979.4451	EEF2K	2145.0225
EEF2	55712.9058	EEF2	139640.3113
EEFSEC	276.9943	EEFSEC	444.6948
EEPD1	83.1181	EEPD1	1092.1753
removed	removed	EFCAB1	111.8394
EFCAB2	118.1624	EFCAB2	78.2466
EFCAB4A	1968.3253	EFCAB4A	2328.1442
EFCAB4B	50.3201	EFCAB4B	913.56
EFCAB5	5.3914	EFCAB5	5.7354
EFCAB6	38.6387	EFCAB6	139.6968
EFCAB7	83.1181	EFCAB7	192.1344
EFEMP1	824.8905	EFEMP1	4618.5989
EFEMP2	856.3406	EFEMP2	970.0942
EFHA1	1404.9197	EFHA1	727.5707
EFHA2	13.4786	EFHA2	110.6104
EFHB	13.0293	EFHB	39.3281
EFHC1	266.427	EFHC1	476.0344
removed	removed	EFHC2	7.7837
EFHD1	1683.9268	EFHD1	3845.5551
EFHD2	703.1338	EFHD2	577.6321
EFNA1	1667.3032	EFNA1	1829.9877
EFNA3	926.5416	EFNA3	452.6833
EFNA4	558.8004	EFNA4	531.7493
EFNA5	217.0055	EFNA5	319.9508
EFNB1	307.3121	EFNB1	967.6362
EFNB2	1189.7113	EFNB2	1703.4002
EFNB3	13.0293	EFNB3	641.5404
EFR3A	2049.1969	EFR3A	1444.0803
EFR3B	33.2472	EFR3B	122.4908
EFS	1766.1462	EFS	1552.2327
EFTUD1	838.8184	EFTUD1	716.1
EFTUD2	1312.3666	EFTUD2	2060.2212
EGFL6	39.5372	EGFL6	146.2515
EGFL7	243.9627	EGFL7	384.6784
EGFL8	30.5425	EGFL8	137.5215
EGFLAM	128.496	EGFLAM	384.6784
EGFR	841.5096	EGFR	1624.7276
EGF	1549.59	EGF	2671.8558
EGLN1	1121.869	EGLN1	1231.8722
EGLN2	1508.2556	EGLN2	1137.0012
EGLN3	1973.7167	EGLN3	132.3228
removed	removed	EGOT	20.0737
EGR1	1602.6059	EGR1	11501.8435
EGR2	83.5673	EGR2	1555.1004
EGR3	52.5666	EGR3	1326.9152
EHBP1L1	611.4793	EHBP1L1	1041.7862
EHBP1	502.3026	EHBP1	944.6948
EHD1	1408.514	EHD1	1210.5694
EHD2	1040.9974	EHD2	2503.0725
EHD3	201.2805	EHD3	773.8632
EHD4	2106.7056	EHD4	1200.3277
EHF	3087.9479	EHF	11647.2757
EHHADH	491.5197	EHHADH	336.7472
EHMT1	2241.4916	EHMT1	1737.4027
EHMT2	1277.3223	EHMT2	1981.5649
EI24	2527.6873	EI24	2854.5678
EID1	3142.7609	EID1	3390.8234
EID2B	10.3336	EID2B	43.0152
EID2	584.5221	EID2	259.7296
EID3	8.0872	EID3	38.5088
EIF1AD	603.3921	EIF1AD	496.1082
EIF1AX	1135.3476	EIF1AX	1977.8779
EIF1B	436.2574	EIF1B	677.1815
EIF1	5905.4251	EIF1	9037.6895
EIF2AK1	6517.2009	EIF2AK1	3497.6895
EIF2AK2	457.8232	EIF2AK2	358.8693
EIF2AK3	1235.5386	EIF2AK3	948.7915
EIF2AK4	2840.3909	EIF2AK4	1796.8046
EIF2A	1778.7263	EIF2A	3825.891
EIF2B1	1937.3245	EIF2B1	1129.0455
EIF2B2	741.7724	EIF2B2	515.7722
EIF2B3	703.5831	EIF2B3	593.1995
EIF2B4	1444.9062	EIF2B4	854.1581
EIF2B5	1846.5686	EIF2B5	1351.0856
EIF2C1	949.7922	EIF2C1	1361.3273
EIF2C2	157.2504	EIF2C2	184.3507
EIF2C3	154.5546	EIF2C3	129.0455
removed	removed	EIF2C4	569.0291
EIF2S1	2083.792	EIF2S1	1511.2659
EIF2S2	3096.4843	EIF2S2	1284.3097
EIF2S3	4959.6765	EIF2S3	7399.4265
EIF3A	7250.1404	EIF3A	9503.4822
EIF3B	4473.5482	EIF3B	5395.7395
EIF3CL	10057.5671	EIF3CL	12428.7136
EIF3C	559.079	EIF3C	164.8955
EIF3D	4255.1949	EIF3D	10070.4629
EIF3E	3505.7846	EIF3E	13181.483
EIF3F	2235.6509	EIF3F	4282.671
EIF3G	2178.0928	EIF3G	3745.0881
EIF3H	3245.1982	EIF3H	5078.2466
EIF3I	6224.0638	EIF3I	4600.6227
EIF3J	2000.2246	EIF3J	1764.4408
EIF3K	3140.9637	EIF3K	3301.5158
EIF3L	5938.6724	EIF3L	18474.3957
EIF3M	2664.1626	EIF3M	3576.6735
EIF4A1	16898.1152	EIF4A1	12985.551
EIF4A2	5544.6119	EIF4A2	10145.8419
EIF4A3	2329.5518	EIF4A3	1572.7161
EIF4B	6236.9673	EIF4B	18910.1393
EIF4E2	1562.6193	EIF4E2	1049.5698
EIF4E3	901.7185	EIF4E3	881.6059
EIF4EBP1	2011.4568	EIF4EBP1	419.5002
EIF4EBP2	2990.0034	EIF4EBP2	4920.934
EIF4EBP3	403.0057	EIF4EBP3	551.4175
EIF4ENIF1	518.4769	EIF4ENIF1	902.9086
EIF4E	584.0728	EIF4E	433.8386
EIF4G1	14416.7135	EIF4G1	9214.2565
EIF4G2	24171.1783	EIF4G2	15645.2274
EIF4G3	1949.006	EIF4G3	1457.1897
EIF4H	3638.3242	EIF4H	5365.8337
EIF5A2	66.4944	EIF5A2	95.4527
EIF5AL1	1402.6733	EIF5AL1	1102.417
EIF5A	5895.0915	EIF5A	4539.9426
EIF5B	4586.3192	EIF5B	2678.8202
EIF5	5346.9617	EIF5	5501.8435
EIF6	2364.5962	EIF6	1868.0868
ELAC1	31.2928	ELAC1	153.4535
ELAC2	2642.2554	ELAC2	1667.3494
ELAVL1	1924.7445	ELAVL1	1638.263
ELF1	2744.6928	ELF1	1562.4744
ELF2	765.1353	ELF2	1052.8472
ELF3	3097.3829	ELF3	3489.9631
ELF4	264.1806	ELF4	349.4469
ELF5	184.2076	ELF5	7040.9668
ELFN1	54.813	ELFN1	38.5088
ELFN2	66.0452	removed	removed
ELK1	832.0791	ELK1	766.0795
ELK3	372.4587	ELK3	387.9558
ELK4	68.7409	ELK4	169.193
ELL2	1207.6828	ELL2	959.4429
ELL3	521.1097	ELL3	508.6686
ELL	520.2741	ELL	499.7952
ELMO1	214.3098	ELMO1	319.1315
ELMO2	1467.8198	ELMO2	1009.0127
ELMO3	853.6448	ELMO3	790.6596
ELMOD2	376.5023	ELMOD2	170.422
ELMOD3	695.9452	ELMOD3	388.3654
ELN	554.4199	ELN	331.8312
ELOF1	1176.2327	ELOF1	688.6522
ELOVL1	2606.7618	ELOVL1	1742.3187
ELOVL2	25.6093	ELOVL2	142.9742
removed	removed	ELOVL3	6.9644
ELOVL4	22.9136	ELOVL4	38.0991
ELOVL5	26113.8942	ELOVL5	2302.7448
ELOVL6	530.1584	ELOVL6	151.5772
ELOVL7	2429.7428	ELOVL7	156.4932
ELP2P	12.58	ELP2P	18.8447
ELP2	1802.9878	ELP2	2206.4728
ELP3	930.4729	ELP3	1186.399
ELP4	181.9611	ELP4	232.6915
ELTD1	445.6925	ELTD1	609.9959
EMB	394.9231	EMB	417.4519
removed	removed	EMCN	571.4871
EMD	818.1512	EMD	744.7767
EME1	312.7305	EME1	28.3654
EME2	13.0293	EME2	11.4707
EMG1	596.8056	EMG1	512.8349
removed	removed	EMID1	251.5363
removed	removed	EMID2	42.1958
EMILIN1	1746.3776	EMILIN1	1497.3372
EMILIN2	150.0618	EMILIN2	351.905
EMILIN3	212.7328	EMILIN3	629.2667
EML1	186.9033	EML1	290.4547
EML2	625.834	EML2	784.5227
EML3	788.4983	EML3	777.5502
EML4	1426.9347	EML4	2509.2175
EML5	126.2496	EML5	154.0352
EML6	22.9136	EML6	91.356
EMP1	5873.5258	EMP1	1711.5936
EMP2	1677.6368	EMP2	2127.8165
EMP3	252.9484	EMP3	119.6231
EMR1	12.1307	EMR1	6.9644
EMR2	41.7837	EMR2	79.8853
EMX2OS	104.2345	EMX2OS	32.7735
EMX2	48.523	EMX2	21.3027
EN1	62.9001	EN1	16.3867
ENAH	3405.5936	ENAH	3407.6198
ENC1	1481.1412	ENC1	1052.4785
ENDOD1	1927.4402	ENDOD1	1995.9033
ENDOG	174.5569	ENDOG	80.7087
