gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
ACOT4	640.2336	ACOT4	66.3662
ACOT7	146.9168	ACOT7	209.3404
ACOT8	335.8104	ACOT8	268.2343
ACOT9	519.3755	ACOT9	188.4474
ACOX1	4413.1192	ACOX1	1460.0778
ACOX2	1244.9736	ACOX2	159.7706
ACOX3	1071.9982	ACOX3	715.2806
ACOXL	45.8272	removed	removed
ACP1	1914.8602	ACP1	1572.7161
ACP2	1142.5362	ACP2	730.0287
ACP5	817.2526	ACP5	359.279
ACP6	370.2123	ACP6	344.9406
ACPL2	164.439	ACPL2	554.281
ACPP	487.0268	ACPP	13.9287
ACRBP	15.725	ACRBP	11.4707
ACRC	8.0872	ACRC	24.1704
removed	removed	ACR	6.5547
removed	removed	ACSBG1	7.7837
removed	removed	ACSBG2	6.5547
ACSF2	23699.4272	ACSF2	651.3724
ACSF3	608.7836	ACSF3	451.0447
ACSL1	10942.8283	ACSL1	1149.5289
ACSL3	43686.8471	ACSL3	5616.1409
ACSL4	260.137	ACSL4	899.2216
ACSL5	1364.4839	ACSL5	710.3646
removed	removed	ACSL6	9.0127
ACSM1	34724.0256	ACSM1	244.5719
ACSM3	140.0696	ACSM3	272.4293
ACSM5	23.8122	ACSM5	19.2544
ACSS1	8907.5592	ACSS1	1024.5801
ACSS2	1031.5624	ACSS2	1304.7931
ACSS3	4135.2353	ACSS3	280.6227
ACTA2	10327.6334	ACTA2	31337.2962
ACTB	86573.0653	ACTB	52983.6133
ACTC1	18.4208	removed	removed
ACTG1	65971.021	ACTG1	55715.6903
ACTG2	103.7852	ACTG2	5131.5035
ACTL6A	1076.0418	ACTL6A	837.3617
ACTN1	4438.0546	ACTN1	8891.0283
ACTN4	9151.212	ACTN4	11982.6096
ACTR10	1135.7969	ACTR10	988.939
ACTR1A	4015.2757	ACTR1A	1652.1917
ACTR1B	1325.3959	ACTR1B	1607.5379
ACTR2	8078.6252	ACTR2	3912.331
ACTR3B	52.1173	ACTR3B	512.0852
ACTR3C	83.5673	ACTR3C	27.4478
ACTR3	3695.3836	ACTR3	2333.8796
ACTR5	290.6885	ACTR5	202.7857
ACTR6	670.3358	ACTR6	650.1434
ACTR8	435.8082	ACTR8	619.4183
ACVR1B	1631.8095	ACVR1B	1385.4977
ACVR1C	31.8994	ACVR1C	19.6641
ACVR1	2390.6548	ACVR1	1027.8574
ACVR2A	602.0443	ACVR2A	827.12
ACVR2B	195.889	ACVR2B	560.0164
ACVRL1	373.8066	ACVRL1	424.8259
ACY1	1201.8421	ACY1	1065.5469
ACY3	66.0452	ACY3	34.0025
ACYP1	37.7401	ACYP1	68.8243
ACYP2	220.5998	ACYP2	261.778
ADAL	185.1061	ADAL	172.0606
ADAM10	1892.8451	ADAM10	2038.5088
removed	removed	ADAM11	15.5674
ADAM12	2021.3411	ADAM12	1017.6157
ADAM15	4618.2994	ADAM15	2665.8132
ADAM17	823.5426	ADAM17	965.9975
ADAM19	310.0079	ADAM19	88.0787
ADAM21P1	6.29	removed	removed
ADAM21	14.3772	removed	removed
ADAM22	7.1886	ADAM22	40.5571
ADAM23	5.3914	ADAM23	5.3257
ADAM28	103.7852	ADAM28	92.585
ADAM2	16.6236	removed	removed
removed	removed	ADAM32	121.2618
ADAM33	20.2179	ADAM33	256.9562
ADAM6	29172.589	ADAM6	23234.6784
ADAM8	103.7852	ADAM8	58.9922
ADAM9	5897.7873	ADAM9	1245.3912
ADAMDEC1	85.3645	removed	removed
ADAMTS10	85.8138	ADAMTS10	135.1905
ADAMTS12	215.6576	ADAMTS12	169.193
ADAMTS13	17.5222	ADAMTS13	126.9971
ADAMTS14	76.828	ADAMTS14	42.1958
ADAMTS15	57.958	ADAMTS15	184.3507
ADAMTS16	289.79	ADAMTS16	556.3294
ADAMTS17	252.4992	ADAMTS17	43.4248
ADAMTS18	9.435	ADAMTS18	320.3605
removed	removed	ADAMTS19	6.9644
ADAMTS1	312.7036	ADAMTS1	2008.1934
ADAMTS2	450.1853	ADAMTS2	383.0397
ADAMTS3	23.8122	ADAMTS3	104.0557
ADAMTS4	375.6037	ADAMTS4	84.8013
ADAMTS5	389.5316	ADAMTS5	2088.4883
ADAMTS6	127.1482	ADAMTS6	10.6514
ADAMTS7	277.2099	ADAMTS7	73.3306
ADAMTS8	75.0309	ADAMTS8	205.2438
ADAMTS9	206.2226	ADAMTS9	1537.8943
ADAMTSL1	133.4382	ADAMTSL1	31.9541
ADAMTSL2	850.9491	ADAMTSL2	26.6284
ADAMTSL3	131.641	ADAMTSL3	52.4375
ADAMTSL4	150.0618	ADAMTSL4	156.0836
ADAMTSL5	26.9572	ADAMTSL5	36.0508
ADAP1	30.7896	ADAP1	65.3093
ADAP2	224.1941	ADAP2	75.3789
ADARB1	682.0173	ADARB1	754.1991
removed	removed	ADARB2	12.6997
ADAR	5990.3403	ADAR	6977.4683
ADAT1	381.8937	ADAT1	344.9406
ADAT2	67.8423	ADAT2	261.3683
ADAT3	70.0887	ADAT3	50.3892
ADA	62.0016	ADA	107.3331
ADCK1	236.7741	ADCK1	187.2184
ADCK2	341.4579	ADCK2	870.9545
ADCK4	591.2614	ADCK4	563.2937
ADCK5	58.4073	ADCK5	104.4654
ADCY10	8.9857	removed	removed
ADCY1	105.5824	ADCY1	391.2331
ADCY2	193.6426	ADCY2	41.7862
ADCY3	243.1495	ADCY3	918.3286
ADCY4	104.2345	ADCY4	229.8238
ADCY5	5.8407	ADCY5	355.592
ADCY6	2405.9306	ADCY6	2893.4863
ADCY7	330.6751	ADCY7	670.6268
ADCY9	442.9967	ADCY9	637.034
removed	removed	ADCYAP1R1	13.519
removed	removed	ADCYAP1	13.1094
ADC	137.4817	ADC	130.6841
ADD1	3755.588	ADD1	5102.8267
removed	removed	ADD2	27.0381
ADD3	1302.033	ADD3	2050.3892
ADH1B	15.725	ADH1B	582.1385
ADH1C	691.4523	ADH1C	50.3892
ADH5	2096.372	ADH5	2737.8124
ADHFE1	364.3716	ADHFE1	169.6026
ADI1	5434.5726	ADI1	1720.1966
ADIPOQ	11.6815	ADIPOQ	214.2565
ADIPOR1	3150.3987	ADIPOR1	2439.9836
ADIPOR2	2202.4037	ADIPOR2	1870.1352
ADK	542.7384	ADK	300.2868
ADM2	1318.2073	ADM2	148.2999
ADM	157.6997	ADM	143.7935
ADNP2	544.0863	ADNP2	879.1479
ADNP	2799.0565	ADNP	3746.0057
ADORA1	67.8423	ADORA1	2078.2466
ADORA2A	71.8859	ADORA2A	79.0537
ADORA2B	14.3772	ADORA2B	122.9005
ADORA3	268.2242	ADORA3	31.5444
