gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
CASD1	1851.2007	CASD1	928.4787
removed	removed	CASKIN1	6.7567
CASKIN2	203.0014	CASKIN2	1097.5956
CASK	1608.6996	CASK	1281.1236
CASP10	94.9705	CASP10	403.9386
removed	removed	CASP12	11.2968
CASP1	190.6661	CASP1	607.2819
CASP2	1164.2954	CASP2	916.8766
CASP3	1692.7957	CASP3	527.5933
CASP4	954.7802	CASP4	796.5804
CASP6	597.7345	CASP6	265.3233
CASP7	772.8138	CASP7	909.8542
CASP8AP2	607.5215	CASP8AP2	810.6251
CASP8	585.4101	CASP8	442.7143
CASP9	162.0299	CASP9	380.429
CASQ1	5.0748	CASQ1	65.6438
removed	removed	CASQ2	158.4612
CASS4	10.8745	CASS4	22.2884
CAST	5385.3376	CAST	5616.8689
CASZ1	773.5387	CASZ1	753.8356
CATSPER1	16.6742	removed	removed
CATSPER2P1	37.633	CATSPER2P1	26.3339
CATSPER2	33.7109	CATSPER2	56.4201
removed	removed	CATSPER3	10.8053
removed	removed	CATSPERB	14.9607
removed	removed	CATSPERG	18.9299
CAT	2742.5464	CAT	4977.9406
CAV1	1490.1676	CAV1	12791.0847
CAV2	828.9986	CAV2	4246.3934
CBARA1	1411.8713	CBARA1	1037.4781
CBFA2T2	500.9515	CBFA2T2	1053.3547
CBFA2T3	921.7943	CBFA2T3	164.5676
CBFB	2479.7463	CBFB	892.1456
CBLB	565.111	CBLB	523.3188
CBLC	130.8564	CBLC	118.4642
CBLL1	1552.8772	CBLL1	751.6983
CBLN1	5.0748	CBLN1	6.1064
CBLN3	115.6321	CBLN3	85.1843
CBLN4	5.7997	CBLN4	84.5737
CBL	1727.2315	CBL	1358.6749
CBR1	1223.6738	CBR1	565.9202
CBR3	132.3063	CBR3	188.0345
CBR4	971.4545	CBR4	599.3436
CBS	176.1667	CBS	66.5598
CBWD1	707.5668	CBWD1	859.4764
CBWD2	1277.0276	CBWD2	459.2016
CBWD3	187.0412	CBWD3	354.7821
CBWD6	161.3049	CBWD6	86.4056
CBX1	7611.0557	CBX1	1829.1733
CBX2	299.7734	CBX2	55.8736
CBX3	7890.8926	CBX3	2574.46
CBX4	1009.8777	CBX4	206.0911
CBX5	2786.4069	CBX5	3744.1417
CBX6	131.2188	CBX6	915.35
CBX7	101.8577	CBX7	3215.3271
CBX8	44.2229	CBX8	41.5235
CBY1	189.5786	CBY1	540.948
CC2D1A	295.7861	CC2D1A	621.3266
CC2D1B	384.5945	CC2D1B	698.8779
CC2D2A	404.531	CC2D2A	551.7136
CC2D2B	5.4372	CC2D2B	7.633
removed	removed	CCAR1	1441.722
CCBE1	21.749	CCBE1	77.8567
CCBL1	18.1242	CCBL1	101.3663
CCBL2	867.3675	CCBL2	753.5913
CCBP2	8.6996	CCBP2	106.2514
CCDC101	172.9044	CCDC101	297.9925
CCDC102A	47.4853	CCDC102A	131.593
CCDC102B	89.1708	CCDC102B	98.6184
CCDC103	59.0847	CCDC103	130.3717
CCDC104	771.0014	CCDC104	997.1758
CCDC106	137.7435	CCDC106	134.6462
CCDC107	28.7014	CCDC107	317.3681
CCDC109A	813.4119	CCDC109A	413.4036
CCDC109B	500.9515	CCDC109B	230.2114
CCDC110	260.2628	CCDC110	87.9322
CCDC111	266.2039	CCDC111	379.0642
CCDC112	379.8822	CCDC112	217.6933
CCDC113	291.4363	CCDC113	249.1413
CCDC114	17.3992	CCDC114	11.6022
CCDC115	610.4214	CCDC115	905.2744
removed	removed	CCDC116	11.2968
CCDC117	873.9465	CCDC117	831.6922
CCDC11	7.9746	CCDC11	20.7618
CCDC120	275.1246	CCDC120	393.2524
CCDC121	90.9832	CCDC121	168.2314
CCDC122	69.5967	CCDC122	94.9546
CCDC123	296.5111	CCDC123	513.8539
CCDC124	126.1441	CCDC124	327.6086
CCDC125	593.3847	CCDC125	489.4283
CCDC126	993.5659	CCDC126	373.1013
CCDC127	535.0249	CCDC127	350.5076
removed	removed	CCDC129	6.717
CCDC12	98.5954	CCDC12	303.7936
CCDC130	79.0213	CCDC130	272.0403
CCDC132	710.1042	CCDC132	672.6204
CCDC134	24.6488	CCDC134	40.9129
removed	removed	CCDC136	83.9631
CCDC137	88.8083	CCDC137	197.5422
CCDC138	54.01	CCDC138	56.4842
removed	removed	CCDC13	11.2968
removed	removed	CCDC141	42.7448
CCDC142	64.522	CCDC142	120.8518
CCDC144A	11.237	CCDC144A	40.7694
CCDC144B	7.2497	CCDC144B	66.8407
removed	removed	CCDC144C	5.4958
CCDC146	53.6475	CCDC146	220.4412
removed	removed	CCDC147	26.8682
CCDC148	15.5868	CCDC148	29.6161
CCDC149	252.6507	CCDC149	682.696
CCDC14	660.0816	CCDC14	1115.64
CCDC150	5.7997	CCDC150	14.0447
CCDC151	6.1622	removed	removed
CCDC152	58.338	CCDC152	165.624
CCDC153	7.6121	CCDC153	5.8011
CCDC155	7.6121	removed	removed
removed	removed	CCDC157	25.3721
CCDC158	6.1622	CCDC158	56.1789
CCDC159	58.3598	CCDC159	145.9431
CCDC15	106.9325	CCDC15	140.7526
CCDC160	17.3992	CCDC160	26.8682
CCDC163P	27.9112	CCDC163P	31.1427
CCDC17	11.237	CCDC17	11.2968
CCDC18	25.3738	CCDC18	60.1481
CCDC19	6.1622	CCDC19	10.0756
CCDC21	472.6778	CCDC21	263.186
CCDC22	147.3348	CCDC22	316.669
CCDC23	139.1935	CCDC23	277.5361
CCDC24	91.7082	CCDC24	117.7773
CCDC25	1382.8727	CCDC25	1231.967
CCDC28A	310.2855	CCDC28A	379.8183
CCDC28B	10.8745	CCDC28B	39.9969
CCDC30	26.4613	CCDC30	114.1898
CCDC34	357.7707	CCDC34	377.0705
CCDC36	9.0621	CCDC36	45.798
CCDC39	32.261	CCDC39	48.4696
CCDC3	103.3077	CCDC3	854.5913
CCDC40	21.749	CCDC40	177.391
CCDC41	259.5378	CCDC41	226.8529
CCDC43	892.4332	CCDC43	367.3002
CCDC45	970.367	CCDC45	763.3005
CCDC46	108.0199	CCDC46	357.6918
CCDC47	11270.3217	CCDC47	3190.2908
CCDC48	65.6094	CCDC48	76.6354
CCDC50	1573.9012	CCDC50	3953.5913
CCDC51	69.5967	CCDC51	129.1504
CCDC52	1693.1581	CCDC52	480.2687
CCDC53	895.6955	CCDC53	395.3897
CCDC55	362.1205	CCDC55	1134.5699
CCDC56	868.8718	CCDC56	718.1253
CCDC57	146.8056	CCDC57	530.0359
CCDC58	370.8201	CCDC58	138.0047
CCDC59	942.4558	CCDC59	606.3659
CCDC61	54.01	CCDC61	116.0217
CCDC64B	88.4459	CCDC64B	186.5506
CCDC64	137.3811	CCDC64	41.8289
removed	removed	CCDC65	14.9607
CCDC66	157.9411	CCDC66	504.3401
CCDC68	28.2737	CCDC68	112.3578
CCDC69	86.6334	CCDC69	2196.4736
CCDC6	3712.9135	CCDC6	2492.6342
CCDC71	177.6167	CCDC71	502.8624
CCDC72	672.0435	CCDC72	685.4439
CCDC73	53.4336	CCDC73	41.3312
CCDC74A	61.9846	CCDC74A	265.6286
CCDC74B	13.4119	CCDC74B	141.9739
CCDC75	84.4585	CCDC75	147.1643
CCDC76	357.4807	CCDC76	392.08
CCDC77	106.9325	CCDC77	150.5229
removed	removed	CCDC78	12.8234
CCDC7	41.6348	CCDC7	35.4477
CCDC80	1708.3824	CCDC80	7200.977
CCDC81	6.8872	CCDC81	9.7702
CCDC82	271.1373	CCDC82	711.7014
CCDC84	72.4966	CCDC84	106.5568
CCDC85A	138.0843	CCDC85A	172.0601
CCDC85B	40.2356	CCDC85B	65.3385
CCDC85C	1016.116	CCDC85C	520.8641
CCDC86	529.2216	CCDC86	403.902
CCDC87	74.309	CCDC87	12.8234
CCDC88A	1001.5406	CCDC88A	1018.2429
CCDC88B	12.3244	CCDC88B	96.7865
CCDC88C	260.2628	CCDC88C	850.0114
CCDC89	28.9986	CCDC89	40.3023
CCDC8	108.0199	CCDC8	1383.7112
CCDC90A	546.9869	CCDC90A	255.8583
CCDC90B	1359.3113	CCDC90B	710.4649
CCDC91	910.1948	CCDC91	521.4869
CCDC92	653.1944	CCDC92	880.8488
CCDC93	344.3589	CCDC93	1287.8406
CCDC94	106.9325	CCDC94	328.2192
CCDC96	29.7236	CCDC96	51.5991
CCDC97	879.7463	CCDC97	1097.0155
CCDC99	425.1926	CCDC99	165.1782
CCDC9	51.4726	CCDC9	236.3178
CCHCR1	71.4092	CCHCR1	305.9308
CCIN	7.6121	CCIN	8.8543
CCL11	18.4866	removed	removed
removed	removed	CCL13	39.9969
CCL14	68.1468	CCL14	2678.22
removed	removed	CCL16	9.1596
CCL18	34.7984	CCL18	148.6909
removed	removed	CCL19	174.3378
CCL20	10.8745	removed	removed
CCL21	5.7997	CCL21	2036.4858
CCL22	7.6121	CCL22	42.1342
removed	removed	CCL23	11.9075
removed	removed	CCL24	8.8543
CCL28	141.3684	CCL28	1016.7163
CCL2	182.6914	CCL2	1326.311
CCL3L1	12.3244	CCL3L1	14.0478
CCL3	143.9058	CCL3	67.4758
CCL4L2	46.3978	CCL4L2	42.1342
CCL4	97.5079	CCL4	81.5205
CCL5	92.0707	CCL5	569.7275
CCL7	5.0748	removed	removed
CCL8	18.8491	CCL8	88.8482
CCM2	229.0893	CCM2	626.5171
CCNA1	13.7744	CCNA1	17.0979
CCNA2	1295.6919	CCNA2	50.8908
CCNB1IP1	421.2053	CCNB1IP1	844.821
CCNB1	1988.9443	CCNB1	182.8868
CCNB2	967.8296	CCNB2	38.7757
CCNB3	38.7857	CCNB3	12.5181
CCNC	3182.9633	CCNC	1052.7441
CCND1	9574.9887	CCND1	2714.0737
CCND2	1187.8568	CCND2	1686.5888
CCND3	658.6316	CCND3	1260.9724
CCNDBP1	1210.6932	CCNDBP1	1271.6587
CCNE1	127.9565	CCNE1	13.4341
CCNE2	1093.7707	CCNE2	47.7154
CCNF	291.0739	CCNF	199.3741
CCNG1	3840.5075	CCNG1	2793.3746
CCNG2	4026.4613	CCNG2	1965.6515
CCNH	1290.6534	CCNH	590.8038
CCNI2	7.7644	CCNI2	11.7304
CCNI	11973.9012	CCNI	7725.5171
CCNJL	119.2569	CCNJL	126.0972
CCNJ	160.9425	CCNJ	217.6933
CCNK	6166.8473	CCNK	919.3313
CCNL1	1114.6353	CCNL1	2833.9821
CCNL2	919.6194	CCNL2	2137.5468
CCNO	53.285	CCNO	16.4873
CCNT1	340.734	CCNT1	322.4181
CCNT2	1055.913	CCNT2	1066.1782
CCNYL1	478.4776	CCNYL1	443.9356
CCNY	2323.8786	CCNY	1990.6877
CCPG1	3323.4255	CCPG1	2780.1328
removed	removed	CCR10	8.8543
CCR1	328.7721	CCR1	188.0772
removed	removed	CCR2	81.5205
CCR4	23.9239	removed	removed
CCR5	27.9112	CCR5	112.6632
CCR6	14.0752	CCR6	78.9008
removed	removed	CCR7	30.532
CCRL1	81.1962	CCRL1	485.4591
CCRL2	39.8731	CCRL2	65.9492
CCRN4L	173.2669	CCRN4L	176.7804
CCS	76.4839	CCS	241.8136
CCT2	6970.9107	CCT2	2407.1445
CCT3	6594.2909	CCT3	3764.9034
CCT4	7085.0929	CCT4	3601.5571
CCT5	6800.5437	CCT5	2609.8771
CCT6A	5581.1509	CCT6A	2686.5125
CCT6B	61.2596	CCT6B	72.9715
CCT6P1	82.2836	CCT6P1	93.428
CCT7	4079.0213	CCT7	3324.937
CCT8	7794.1097	CCT8	2506.0682
CD101	14.1368	CD101	45.4927
CD109	2537.3629	CD109	1277.7651
CD14	330.5845	CD14	965.4225
CD151	4200.8156	CD151	4341.348
CD160	11.9619	CD160	20.1511
CD163L1	26.4613	CD163L1	108.3887
CD163	277.662	CD163	409.7397
removed	removed	CD164L2	36.9437
CD164	12961.6674	CD164	10299.6718
CD180	118.5319	CD180	90.6801
removed	removed	CD1C	46.1034
CD1D	14.8618	CD1D	32.0586
removed	removed	CD1E	17.7086
CD200R1	5.0748	CD200R1	22.899
CD200	270.4123	CD200	919.9298
removed	removed	CD207	57.7055
CD209	54.01	CD209	315.7011
CD226	8.6996	CD226	25.3416
CD22	19.2116	CD22	19.5405
removed	removed	CD244	22.2884
CD247	18.1242	CD247	84.5737
CD248	965.6547	CD248	1256.3926
CD24	48656.0942	CD24	9193.1914
CD274	10.1495	CD274	42.1342
CD276	1985.6819	CD276	1247.5384
removed	removed	CD27	85.9476
CD28	83.3711	CD28	49.4619
CD2AP	3163.0267	CD2AP	1664.6058
CD2BP2	550.2492	CD2BP2	1012.1365
CD2	36.9733	CD2	169.758
CD300A	124.6942	CD300A	146.2484
CD300C	11.5995	CD300C	14.0447
CD300LB	6.8872	CD300LB	13.4341
CD300LF	10.512	CD300LF	22.2884
removed	removed	CD300LG	1242.3479
CD302	668.7812	CD302	2436.4766
CD320	109.4699	CD320	465.9186
CD33	27.9112	CD33	37.2491
CD34	1139.6466	CD34	5800.7786
CD36	744.5401	CD36	19229.0665
CD37	100.0453	CD37	141.0579
removed	removed	CD38	43.0501
CD3D	5.7997	CD3D	56.4842
CD3EAP	288.899	CD3EAP	459.2077
CD3E	34.7984	CD3E	209.1443
CD3G	6.5247	CD3G	40.9129
removed	removed	CD40LG	17.0979
CD40	100.7703	CD40	463.1708
CD44	18348.8899	CD44	8146.5537
CD46	16831.536	CD46	5334.5546
CD47	4416.8555	CD47	3817.4185
CD48	50.0227	CD48	133.4249
CD4	500.589	CD4	788.3368
CD52	138.106	CD52	142.8899
CD53	529.9502	CD53	405.7706
CD55	4719.8913	CD55	2081.3678
CD58	295.0612	CD58	205.4805
CD59	10849.8414	CD59	18204.4119
CD5	6.1622	CD5	45.798
CD63	6306.8419	CD63	7532.2494
CD68	2031.7173	CD68	1392.8708
CD69	14.8618	CD69	70.2236
removed	removed	CD6	72.3609
CD72	14.4993	CD72	27.7841
CD74	12398.0063	CD74	23910.8465
removed	removed	CD79A	104.1142
CD79B	6.1622	CD79B	96.1759
CD7	7.6121	CD7	47.63
CD80	26.8237	CD80	9.4649
CD81	4775.7136	CD81	12387.146
CD82	167.8296	CD82	891.2297
CD83	216.0399	CD83	313.8692
CD84	90.6208	CD84	56.7896
CD86	185.2288	CD86	97.0918
CD8A	31.536	CD8A	275.3988
removed	removed	CD8B	76.0247
CD93	2008.1559	CD93	4058.0108
CD96	39.5106	CD96	126.0972
CD97	217.8523	CD97	608.8085
CD99L2	376.2574	CD99L2	1566.2926
CD99	2418.8491	CD99	1253.6448
CD9	8725.3285	CD9	5412.7166
CDADC1	104.0326	CDADC1	268.6818
CDAN1	231.9891	CDAN1	356.9193
CDA	16.3117	CDA	16.7926
CDC123	1541.9628	CDC123	759.3863
CDC14A	209.8777	CDC14A	709.8695
CDC14B	106.57	CDC14B	1034.1195
removed	removed	CDC14C	18.0139
CDC16	3654.9162	CDC16	1732.0815
CDC20	399.4563	CDC20	24.7309
CDC23	1876.5745	CDC23	855.5072
CDC25A	108.0199	CDC25A	23.2043
CDC25B	509.2886	CDC25B	590.7946
CDC25C	185.9538	CDC25C	8.2436
removed	removed	CDC26	98.4261
CDC27	10321.7037	CDC27	1702.1601
CDC34	139.9184	CDC34	339.2107
CDC37L1	398.7313	CDC37L1	553.5455
CDC37	640.145	CDC37	1966.2621
CDC40	1156.3208	CDC40	854.2859
CDC42BPA	3296.058	CDC42BPA	2485.3065
CDC42BPB	6258.9941	CDC42BPB	3670.5595
CDC42BPG	118.8944	CDC42BPG	560.5679
CDC42EP1	578.1604	CDC42EP1	1433.7837
CDC42EP2	97.1454	CDC42EP2	526.9827
CDC42EP3	338.5591	CDC42EP3	1519.2733
CDC42EP4	1701.4952	CDC42EP4	2470.0405
CDC42EP5	10.8745	CDC42EP5	62.2853
CDC42SE1	3434.4178	CDC42SE1	2890.6954
CDC42SE2	2623.2895	CDC42SE2	1831.0053
CDC42	9708.0199	CDC42	5420.9602
CDC45	134.8437	CDC45	5.8011
CDC5L	1434.7077	CDC5L	1403.2517
CDC6	465.0657	CDC6	42.4395
CDC73	3132.2157	CDC73	1253.0341
CDC7	512.9135	CDC7	92.512
CDCA2	308.8355	CDCA2	26.2575
CDCA3	125.7816	CDCA3	22.9265
CDCA4	230.1767	CDCA4	193.573
CDCA5	435.7046	CDCA5	42.4395
CDCA7L	745.2397	CDCA7L	932.5975
CDCA7	94.9705	CDCA7	143.5005
CDCA8	448.754	CDCA8	54.347
CDCP1	824.6488	CDCP1	615.2202
CDH11	4318.985	CDH11	886.9552
removed	removed	CDH12	32.0586
CDH13	522.338	CDH13	708.6482
removed	removed	CDH17	6.717
removed	removed	CDH19	15.8767
CDH1	14022.6552	CDH1	8219.5252
removed	removed	CDH20	23.815
removed	removed	CDH22	12.8234
CDH23	21.3865	CDH23	383.7875
CDH24	69.9592	CDH24	130.3717
CDH26	5.0748	CDH26	16.4873
CDH2	351.971	CDH2	98.3131
CDH3	201.5406	CDH3	2503.931
removed	removed	CDH4	14.35
CDH5	599.9094	CDH5	2282.2685
CDH6	56.9098	CDH6	127.3185
removed	removed	CDH8	92.2067
removed	removed	CDHR1	18.9299
removed	removed	CDHR3	39.31
CDIPT	1811.3276	CDIPT	1716.2049
CDK10	111.2823	CDK10	544.6912
CDK11A	25.0802	CDK11A	372.6861
CDK11B	148.1867	CDK11B	674.2569
CDK12	1728.6815	CDK12	1618.1971
CDK13	1381.7852	CDK13	1282.9555
CDK14	587.585	CDK14	1101.29
CDK15	7.9746	CDK15	16.4873
CDK16	1624.2864	CDK16	1350.4313
CDK17	2621.4771	CDK17	954.1256
CDK18	397.2814	CDK18	321.5022
CDK19	721.8342	CDK19	859.8153
CDK1	1587.6756	CDK1	86.1003
CDK20	104.3951	CDK20	172.5059
CDK2AP1	5048.3009	CDK2AP1	1785.2072
CDK2AP2	475.2152	CDK2AP2	402.412
CDK2	1391.5723	CDK2	592.9318
CDK3	23.8006	CDK3	116.4613
CDK4	1849.3883	CDK4	1628.2727
CDK5R1	71.4092	CDK5R1	36.6384
CDK5RAP1	364.2954	CDK5RAP1	414.6248
CDK5RAP2	428.0924	CDK5RAP2	1872.2235
CDK5RAP3	988.4912	CDK5RAP3	1653.9195
CDK5	290.7114	CDK5	108.0834
CDK6	703.5795	CDK6	912.6021
CDK7	864.8845	CDK7	366.9949
CDK8	277.662	CDK8	153.8814
CDK9	467.6031	CDK9	1060.3771
CDKAL1	359.2207	CDKAL1	344.0959
CDKL1	7.9746	CDKL1	35.1118
CDKL2	14.1368	CDKL2	107.4727
CDKL3	57.8088	CDKL3	45.5385
CDKL5	76.8464	CDKL5	129.4558
CDKN1A	2445.6729	CDKN1A	2885.2759
CDKN1B	2322.4286	CDKN1B	1498.5116
CDKN1C	157.6801	CDKN1C	1004.8088
CDKN2AIPNL	667.6937	CDKN2AIPNL	240.5923
CDKN2AIP	773.1763	CDKN2AIP	670.1778
CDKN2A	26.8237	CDKN2A	27.4788
CDKN2B	310.2855	CDKN2B	682.696
CDKN2C	257.7254	CDKN2C	1096.7102
CDKN2D	46.3978	CDKN2D	81.5205
CDKN3	220.7522	CDKN3	18.6245
CDNF	33.3484	CDNF	86.1003
CDO1	197.1908	CDO1	661.0182
CDON	725.3285	CDON	1168.4604
CDR1	71.5723	CDR1	82.4731
CDR2L	248.3009	CDR2L	400.5801
CDR2	673.8559	CDR2	755.0569
CDRT4	86.985	CDRT4	297.1804
CDS1	2931.4001	CDS1	721.777
CDS2	962.7549	CDS2	1043.8898
CDSN	43.1355	CDSN	18.3192
CDT1	78.2963	CDT1	26.2575
CDV3	5889.6239	CDV3	5202.6563
CDYL2	495.1518	CDYL2	80.6045
CDYL	794.9252	CDYL	618.2734
CEACAM19	52.1976	CEACAM19	58.0108
CEACAM1	131.2188	CEACAM1	739.1802
CEACAM21	13.0494	CEACAM21	17.4033
CEACAM5	73.9465	removed	removed
CEACAM6	128.6815	CEACAM6	75.7194
CEBPA	64.522	CEBPA	1502.4807
CEBPB	1371.6357	CEBPB	664.0714
CEBPD	228.7268	CEBPD	458.5909
CEBPG	1014.5899	CEBPG	1173.3455
CEBPZ	2448.9352	CEBPZ	2050.5305
CECR1	1507.9293	CECR1	988.9321
CECR2	89.8958	CECR2	49.4619
CECR5	143.1808	CECR5	360.5832
CECR6	9.4246	CECR6	14.6554
CECR7	5.0748	CECR7	104.1142
CELF1	2725.8722	CELF1	2033.7379
CELF2	647.0322	CELF2	1795.2828
CELF4	6.1622	CELF4	10.3809
CELF5	40.5981	CELF5	31.1427
CELF6	10.512	CELF6	95.9652
CELSR1	2942.9995	CELSR1	2101.2136
CELSR2	1623.9239	CELSR2	1965.9568
CELSR3	47.1228	CELSR3	39.0199
CEL	23.5614	CEL	14.0447
CEMP1	21.024	CEMP1	99.9802
CENPA	131.2188	CENPA	10.3809
CENPBD1	238.1513	CENPBD1	263.4913
CENPB	657.5442	CENPB	1326.6163
CENPC1	791.6629	CENPC1	666.2087
CENPE	724.6035	CENPE	61.6747
CENPF	2211.8713	CENPF	242.4242
CENPH	356.3208	CENPH	127.9292
CENPI	195.7408	CENPI	14.6554
CENPJ	199.3657	CENPJ	402.1067
CENPK	197.5532	CENPK	20.4565
CENPL	295.4237	CENPL	78.7726
CENPM	84.4585	CENPM	13.4341
CENPN	624.812	CENPN	133.1196
CENPO	115.7444	CENPO	46.7506
CENPP	65.903	CENPP	70.6328
CENPQ	344.3589	CENPQ	126.0972
CENPT	144.9932	CENPT	532.1731
CENPV	11.9619	CENPV	117.5483
CENPW	122.1568	CENPW	111.4419
CEP110	145.7182	CEP110	878.4062
CEP120	745.99	CEP120	1045.4164
CEP135	482.4649	CEP135	331.5777
CEP152	138.4685	CEP152	172.2006
CEP164	164.2048	CEP164	697.046
CEP170L	6.8872	removed	removed
CEP170	2048.754	CEP170	1089.3825
CEP192	518.3507	CEP192	1087.5506
CEP250	105.1201	CEP250	643.9203
CEP290	697.5913	CEP290	838.2963
CEP350	2927.4128	CEP350	1905.1981
CEP55	564.0236	CEP55	23.815
CEP57	1440.145	CEP57	1123.8837
CEP63	542.0063	CEP63	737.9559
CEP68	756.5129	CEP68	2119.8565
CEP70	540.8246	CEP70	370.3534
CEP72	48.9352	CEP72	83.3524
CEP76	218.9397	CEP76	152.3548
CEP78	248.6633	CEP78	322.7235
CEP97	365.3829	CEP97	193.8783
CEPT1	1135.6593	CEPT1	880.5435
CERCAM	1354.599	CERCAM	700.7099
CERKL	61.4989	CERKL	42.0365
CERK	678.5682	CERK	1101.29
CES1	7.9746	CES1	658.5757
CES2	537.9248	CES2	1414.8538
CES3	54.01	CES3	14.9607
CES8	91.3457	CES8	64.7279
CETN2	2398.5501	CETN2	968.781
CETN3	578.1604	CETN3	344.4012
CETP	9.787	CETP	25.6469
CFB	2244.8573	CFB	1483.2517
CFDP1	388.2193	CFDP1	843.2944
CFD	143.1808	CFD	1493.6264
CFHR3	19.5741	removed	removed
CFH	1103.3983	CFH	1231.967
CFI	197.1908	CFI	875.9637
CFL1	14349.9773	CFL1	7237.0048
CFL2	901.1328	CFL2	1331.1961
CFLAR	339.2841	CFLAR	1259.7512
removed	removed	CFP	34.1959
removed	removed	CFTR	37.5544
CG030	43.8604	CG030	61.064
removed	removed	CGB7	6.2011
CGGBP1	3252.1976	CGGBP1	2859.3237
CGNL1	76.4839	CGNL1	1509.1978
CGN	1530.7657	CGN	1197.4658
CGREF1	42.425	CGREF1	75.9545
CGRRF1	297.961	CGRRF1	347.1491
CH25H	19.2116	CH25H	48.8512
CHAC1	46.7603	CHAC1	12.8234
CHAC2	177.6167	CHAC2	20.1511
CHADL	8.3371	CHADL	64.1172
CHAD	50.3851	CHAD	277.5361
CHAF1A	100.7703	CHAF1A	182.2762
CHAF1B	311.7354	CHAF1B	175.8644
CHCHD10	164.9298	CHCHD10	298.2978
CHCHD1	335.2968	CHCHD1	281.8105
CHCHD2	2965.836	CHCHD2	2081.9785
CHCHD3	1169.0077	CHCHD3	632.6235
CHCHD4	448.029	CHCHD4	208.2284
CHCHD5	275.8496	CHCHD5	183.8028
CHCHD6	40.2356	CHCHD6	111.1366
CHCHD7	1356.0489	CHCHD7	529.1199
CHCHD8	728.9533	CHCHD8	399.3588
CHD1L	499.1391	CHD1L	615.8309
CHD1	4186.3163	CHD1	1643.844
CHD2	1195.8314	CHD2	3452.8662
CHD3	2441.3231	CHD3	4095.2599
CHD4	5003.9293	CHD4	5972.7105
removed	removed	CHD5	7.9383
CHD6	2479.3838	CHD6	2837.9513
CHD7	1104.8482	CHD7	704.3737
CHD8	1886.7241	CHD8	2485.3065
CHD9	2129.9502	CHD9	2372.9486
CHDH	70.3217	CHDH	883.902
CHEK1	520.1631	CHEK1	87.6269
CHEK2	32.6235	CHEK2	126.0972
CHERP	922.3634	CHERP	1110.2298
CHFR	288.5365	CHFR	291.8861
removed	removed	CHGA	7.3277
CHI3L1	281.6493	CHI3L1	649.4161
CHI3L2	56.1849	CHI3L2	310.5106
CHIC1	611.5088	CHIC1	477.5208
CHIC2	233.4391	CHIC2	217.0827
CHID1	557.8614	CHID1	1073.2005
removed	removed	CHIT1	24.7309
CHKA	390.0317	CHKA	747.1185
CHKB-CPT1B	114.6425	CHKB-CPT1B	493.0127
CHKB	135.3149	CHKB	271.7594
CHL1	38.7857	CHL1	2161.3617
CHML	2216.9461	CHML	635.6767
CHMP1A	966.3797	CHMP1A	1438.3635
CHMP1B	1365.4735	CHMP1B	1586.7491
CHMP2A	735.478	CHMP2A	1303.1066
CHMP2B	2927.0503	CHMP2B	1184.3371
CHMP4A	790.3616	CHMP4A	755.1973
CHMP4B	2603.353	CHMP4B	2630.9442
CHMP4C	660.444	CHMP4C	432.3334
CHMP5	2322.7911	CHMP5	1352.1716
CHMP6	170.367	CHMP6	337.3788
CHMP7	573.4481	CHMP7	915.35
CHM	1870.4123	CHM	781.6197
CHN1	707.5668	CHN1	266.2392
CHN2	30.8111	CHN2	98.9237
removed	removed	CHODL	30.8373
CHORDC1	1109.5605	CHORDC1	490.0389
CHPF2	678.5682	CHPF2	839.3252
CHPF	855.0974	CHPF	797.8017
CHPT1	1344.087	CHPT1	2057.1834
CHP	5820.0272	CHP	2893.5196
CHRAC1	1385.0476	CHRAC1	567.2849
removed	removed	CHRDL1	5562.3235
CHRD	50.3851	CHRD	181.0549
CHRFAM7A	7.9746	CHRFAM7A	29.6222
removed	removed	CHRM1	67.4758
removed	removed	CHRM3	20.7618
CHRM4	5.4372	removed	removed
removed	removed	CHRM5	8.8543
removed	removed	CHRNA10	10.0756
CHRNA1	103.3077	CHRNA1	20.7618
removed	removed	CHRNA2	21.3724
CHRNA3	9.4246	removed	removed
CHRNA5	306.2981	CHRNA5	25.0363
CHRNA6	10.512	removed	removed
removed	removed	CHRNA7	8.8543
CHRNB1	117.082	CHRNB1	181.3602
CHRNB2	9.0621	CHRNB2	50.0725
CHRNE	33.1599	CHRNE	30.816
CHST10	389.3068	CHST10	261.3541
CHST11	188.8536	CHST11	77.246
CHST12	115.6321	CHST12	164.5676
CHST14	573.4481	CHST14	494.3134
CHST15	1730.8564	CHST15	1480.4977
CHST1	264.9751	CHST1	47.0193
CHST2	73.9465	CHST2	229.9061
CHST3	293.2488	CHST3	1098.8474
removed	removed	CHST4	11.6022
removed	removed	CHST5	8.8573
CHST6	44.5854	CHST6	12.5181
CHST7	19.5741	CHST7	76.0247
CHST8	17.0367	CHST8	19.8458
removed	removed	CHST9	348.065
CHSY1	2323.8786	CHSY1	1935.1195
CHSY3	231.9891	CHSY3	77.8567
CHTF18	73.2216	CHTF18	97.3971
CHTF8	2220.2084	CHTF8	2416.9147
CHUK	702.8546	CHUK	624.9905
CHURC1	1177.613	CHURC1	1662.1907
CIAO1	1665.6094	CIAO1	1606.5949
