gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
ACOT13	1187.4653	ACOT13	510.932
ACOT1	384.957	ACOT1	679.0321
ACOT2	204.4404	ACOT2	387.4513
ACOT4	274.0372	ACOT4	91.2907
ACOT7	198.6407	ACOT7	186.5506
ACOT8	182.7929	ACOT8	175.1836
ACOT9	317.1726	ACOT9	540.4168
ACOX1	3259.0847	ACOX1	1947.1979
ACOX2	4485.3647	ACOX2	288.8329
ACOX3	470.1405	ACOX3	499.8092
ACP1	3076.7558	ACP1	1123.273
ACP2	2154.2365	ACP2	680.8641
ACP5	991.7535	ACP5	553.2402
ACP6	266.425	ACP6	207.0071
ACPL2	293.2488	ACPL2	468.0559
ACPP	63.797	ACPP	38.7757
ACRBP	76.4839	ACRBP	20.7618
ACRC	6.8872	ACRC	25.9522
removed	removed	ACR	7.0224
removed	removed	ACSBG1	17.0979
removed	removed	ACSBG2	14.0447
ACSF2	126.1441	ACSF2	811.8464
ACSF3	123.2442	ACSF3	304.4042
ACSL1	1495.9674	ACSL1	8645.4469
ACSL3	4319.71	ACSL3	3289.5199
ACSL4	1427.4581	ACSL4	2017.2506
ACSL5	108.0199	ACSL5	887.8712
ACSL6	9.4246	ACSL6	7.0224
ACSM1	6.8872	ACSM1	798.4123
ACSM3	37.0023	ACSM3	178.8077
ACSM5	5.4372	ACSM5	195.0996
ACSS1	124.3317	ACSS1	601.7861
ACSS2	683.2805	ACSS2	2197.3895
ACSS3	1225.5551	ACSS3	693.3822
ACTA1	216.0399	ACTA1	7.633
ACTA2	11078.126	ACTA2	32781.4426
removed	removed	ACTBL2	12.5181
ACTB	167950.7023	ACTB	80691.8556
ACTG1	77522.4286	ACTG1	52838.7146
ACTG2	318.6226	ACTG2	7130.7534
ACTL6A	1769.2796	ACTL6A	865.8881
ACTN1	4144.9932	ACTN1	9623.9982
ACTN2	192.841	removed	removed
ACTN4	5716.4477	ACTN4	10829.9733
ACTR10	2590.6661	ACTR10	1110.1443
ACTR1A	1754.4178	ACTR1A	2119.2275
ACTR1B	478.1151	ACTR1B	1288.4513
ACTR2	17353.5116	ACTR2	4717.1972
ACTR3B	138.4685	ACTR3B	134.0356
ACTR3C	75.034	ACTR3C	23.2043
ACTR3	8964.9298	ACTR3	2929.8527
ACTR5	165.2923	ACTR5	233.57
ACTR6	2013.5931	ACTR6	628.0437
ACTR8	511.101	ACTR8	490.6496
ACVR1B	1111.3729	ACVR1B	1078.0856
ACVR1C	10.512	ACVR1C	2517.0598
ACVR1	1181.3321	ACVR1	1422.7922
ACVR2A	266.7875	ACVR2A	568.5062
ACVR2B	532.85	ACVR2B	389.8939
ACVRL1	225.4644	ACVRL1	883.902
ACY1	220.7522	ACY1	413.7089
removed	removed	ACY3	10.3809
ACYP1	55.4599	ACYP1	58.6215
ACYP2	183.4164	ACYP2	123.3494
ADAL	549.1618	ADAL	210.0603
ADAM10	2668.5999	ADAM10	2308.5261
removed	removed	ADAM11	21.0671
ADAM12	8008.3371	ADAM12	361.8044
ADAM15	1870.7821	ADAM15	2383.0242
ADAM17	711.1917	ADAM17	876.8796
ADAM19	952.6053	ADAM19	133.1196
removed	removed	ADAM21	7.3277
ADAM22	16.6742	ADAM22	77.5513
ADAM23	15.2243	ADAM23	28.0895
ADAM28	46.3978	ADAM28	88.8482
ADAM32	14.1368	ADAM32	14.6554
ADAM33	18.1242	ADAM33	730.5213
ADAM6	473.3303	ADAM6	44447.233
ADAM8	236.7014	ADAM8	84.2684
ADAM9	2020.8428	ADAM9	1916.4949
ADAMDEC1	55.0974	ADAMDEC1	12.8234
ADAMTS10	14.8618	ADAMTS10	79.6886
ADAMTS12	595.9221	ADAMTS12	192.0464
ADAMTS13	12.6869	ADAMTS13	72.0556
ADAMTS14	149.343	ADAMTS14	6.1064
removed	removed	ADAMTS15	195.0996
ADAMTS16	133.7562	ADAMTS16	148.0803
ADAMTS17	9.787	ADAMTS17	43.0501
ADAMTS18	6.5247	ADAMTS18	70.2236
ADAMTS1	906.2075	ADAMTS1	5404.4729
ADAMTS2	408.8808	ADAMTS2	313.8692
ADAMTS3	24.6488	ADAMTS3	102.8929
ADAMTS4	455.6411	ADAMTS4	320.8915
ADAMTS5	362.483	ADAMTS5	2832.4555
ADAMTS6	202.2655	ADAMTS6	34.1959
ADAMTS7	80.4712	ADAMTS7	39.6916
removed	removed	ADAMTS8	42.4395
ADAMTS9	131.9438	ADAMTS9	646.9735
ADAMTSL1	35.8858	ADAMTSL1	337.6841
ADAMTSL2	14.1368	ADAMTSL2	18.9299
ADAMTSL3	9.787	ADAMTSL3	250.9732
ADAMTSL4	40.5981	ADAMTSL4	905.2744
ADAMTSL5	134.4812	ADAMTSL5	33.5852
ADAP1	138.5301	ADAP1	78.4215
ADAP2	230.9017	ADAP2	201.5113
ADARB1	245.0385	ADARB1	753.5303
ADAR	9633.7109	ADAR	8311.4266
ADAT1	293.6112	ADAT1	319.9756
ADAT2	110.5573	ADAT2	184.7187
ADAT3	11.9619	ADAT3	12.8234
ADA	76.8464	ADA	75.1088
ADCK1	131.5813	ADCK1	121.5174
ADCK2	304.1232	ADCK2	576.1392
ADCK4	266.0625	ADCK4	386.2301
ADCK5	10.1495	ADCK5	47.3246
ADCY1	1152.3335	ADCY1	394.4737
ADCY2	17.0367	ADCY2	180.4442
ADCY3	245.2886	ADCY3	1416.0385
ADCY4	28.9986	ADCY4	663.4608
ADCY5	6.1622	ADCY5	400.8854
ADCY6	514.0009	ADCY6	2976.872
ADCY7	394.744	ADCY7	361.4991
ADCY9	499.5016	ADCY9	933.9745
removed	removed	ADCYAP1R1	34.8065
removed	removed	ADCYAP1	8.8543
ADC	50.0227	ADC	145.3324
ADD1	4109.4699	ADD1	7256.5453
ADD2	14.4993	ADD2	75.7194
ADD3	1125.5097	ADD3	3739.5619
removed	removed	ADH1A	263.3753
removed	removed	ADH1B	30850.7748
removed	removed	ADH1C	337.3788
removed	removed	ADH4	13.7394
ADH5	2693.9737	ADH5	3605.8316
ADHFE1	54.01	ADHFE1	414.3195
ADI1	1526.0535	ADI1	1480.803
removed	removed	ADIPOQ	33722.9219
ADIPOR1	8313.9103	ADIPOR1	2081.6732
ADIPOR2	9072.2247	ADIPOR2	2577.5132
ADK	648.1196	ADK	282.4212
ADM2	67.7843	ADM2	61.98
ADM	430.2673	ADM	399.3588
ADNP2	534.6624	ADNP2	1012.1365
ADNP	5843.5886	ADNP	3328.2955
ADORA1	26.4613	ADORA1	165.4836
ADORA2A	29.3611	ADORA2A	63.8119
ADORA2B	38.7857	ADORA2B	59.8428
ADORA3	393.2941	ADORA3	64.7279
ADO	1114.6353	ADO	585.6042
ADPGK	908.6507	ADPGK	825.2408
ADPRHL1	158.4051	ADPRHL1	54.347
ADPRHL2	272.2247	ADPRHL2	516.9071
ADPRH	139.9184	ADPRH	361.8044
removed	removed	ADRA1A	39.3863
removed	removed	ADRA1B	13.7394
removed	removed	ADRA1D	8.2436
ADRA2A	194.6534	ADRA2A	982.2151
removed	removed	ADRA2B	18.0139
ADRA2C	10.512	ADRA2C	39.6916
removed	removed	ADRB1	47.3246
ADRB2	11.9619	ADRB2	428.3642
removed	removed	ADRB3	5.8011
ADRBK1	601.7218	ADRBK1	1249.6756
ADRBK2	364.6579	ADRBK2	1707.0453
ADRM1	591.5723	ADRM1	786.5048
ADSL	787.6756	ADSL	690.329
ADSSL1	31.536	ADSSL1	176.1698
ADSS	3273.2216	ADSS	1199.2978
AEBP1	6423.5614	AEBP1	10012.0601
AEBP2	1414.0462	AEBP2	1047.8589
AEN	292.1613	AEN	430.8068
AES	4821.3865	AES	4576.7499
AFAP1L1	153.3303	AFAP1L1	481.1846
AFAP1L2	277.662	AFAP1L2	1282.9555
AFAP1	914.9071	AFAP1	1447.5139
AFF1	2999.5469	AFF1	3542.0197
AFF2	30.0861	AFF2	99.5344
AFF3	1473.4934	AFF3	1968.094
AFF4	6863.6158	AFF4	4294.0234
AFG3L1	209.5152	AFG3L1	372.4906
AFG3L2	764.3969	AFG3L2	1228.7764
AFMID	383.1445	AFMID	591.0999
removed	removed	AFP	152.0495
AFTPH	3778.5229	AFTPH	2019.0825
AG2	183.4164	AG2	364.247
AGAP11	5.0748	AGAP11	271.1366
AGAP1	315.3602	AGAP1	589.5733
AGAP2	84.2012	AGAP2	61.1404
AGAP3	324.0598	AGAP3	1373.9409
AGAP4	69.9592	AGAP4	246.0881
AGAP5	5.7997	AGAP5	88.2253
AGAP6	24.2864	AGAP6	139.8367
AGAP7	15.5868	AGAP7	40.3023
removed	removed	AGAP8	35.7225
AGA	558.5863	AGA	367.9108
AGBL2	18.1242	AGBL2	20.7618
removed	removed	AGBL3	5.1904
removed	removed	AGBL4	7.633
AGBL5	378.4468	AGBL5	772.7807
