gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
CAND1	4486.5587	CAND1	2675.7875
CAND2	254.1326	CAND2	173.083
CANT1	1984.3046	CANT1	1209.6723
CANX	26480.5477	CANX	14017.4992
CAP1	8850.8933	CAP1	6009.8632
CAP2	183.0022	CAP2	375.7556
CAPG	3844.0474	CAPG	1012.7267
CAPN10	213.3912	CAPN10	312.2908
removed	removed	CAPN11	94.8139
CAPN12	79.3288	CAPN12	57.1492
CAPN13	72.8001	CAPN13	98.6319
CAPN14	22.3744	CAPN14	6.3633
CAPN1	4171.648	CAPN1	3415.8447
CAPN2	10565.0359	CAPN2	5695.1957
CAPN3	39.3822	CAPN3	260.0891
CAPN5	180.9985	CAPN5	434.6166
CAPN6	976.7908	CAPN6	492.5231
CAPN7	654.1994	CAPN7	1065.5425
CAPN8	24.712	CAPN8	155.5838
CAPN9	6.345	CAPN9	32.4531
CAPNS1	5080.9818	CAPNS1	4899.4591
CAPRIN1	7609.2837	CAPRIN1	5264.3971
CAPRIN2	488.5624	CAPRIN2	346.4843
CAPS2	54.0992	CAPS2	59.4973
CAPS	2019.7028	CAPS	274.8966
CAPZA1	4530.6395	CAPZA1	2505.5679
CAPZA2	2194.3563	CAPZA2	2815.4629
CAPZA3	8.3486	CAPZA3	12.0904
CAPZB	5235.9325	CAPZB	4062.9971
CARD10	336.6171	CARD10	989.1823
CARD11	115.2112	CARD11	132.994
CARD14	329.2703	CARD14	147.3115
CARD16	90.8332	CARD16	193.7639
CARD6	138.9214	CARD6	561.2472
CARD8	704.2912	CARD8	1056.952
CARD9	86.8258	CARD9	131.085
CARHSP1	1002.8051	CARHSP1	1310.9768
CARKD	1173.1508	CARKD	918.8673
CARM1	2042.745	CARM1	799.2364
CARNS1	24.0441	CARNS1	35.6347
CARS2	1353.9823	CARS2	570.3341
CARS	1307.3969	CARS	784.6007
CASC1	9.3505	CASC1	29.2714
CASC2	10.0184	CASC2	23.2262
CASC3	2207.7141	CASC3	2744.5116
CASC4	3231.9252	CASC4	3428.5714
CASC5	96.5103	CASC5	16.5447
CASD1	440.4742	CASD1	833.2803
CASKIN1	10.2288	CASKIN1	12.959
CASKIN2	792.2591	CASKIN2	1569.79
CASK	2121.2222	CASK	1355.3929
CASP10	72.1322	CASP10	524.658
removed	removed	CASP12	55.043
CASP1	257.1381	CASP1	617.881
CASP2	1601.269	CASP2	851.734
CASP3	573.7185	CASP3	698.3773
CASP4	490.566	CASP4	1161.9472
CASP6	605.4433	CASP6	314.9857
CASP7	703.9573	CASP7	1014.6357
CASP8AP2	543.3294	CASP8AP2	613.1085
CASP8	486.8926	CASP8	504.9316
CASP9	310.9033	CASP9	345.8479
removed	removed	CASQ1	5.727
removed	removed	CASQ2	201.7181
CASR	18.701	removed	removed
CASS4	24.712	CASS4	52.1794
CAST	3893.832	CAST	7302.8317
CASZ1	371.3475	CASZ1	879.4146
CATSPER2P1	22.8218	CATSPER2P1	22.9558
CATSPER2	20.3707	CATSPER2	57.5533
CATSPER3	7.3468	CATSPER3	5.0907
CATSPERB	5.3431	CATSPERB	36.2711
CATSPERG	14.3597	CATSPERG	18.7719
CAT	3102.3543	CAT	4122.4944
CAV1	1170.1453	CAV1	12334.7121
CAV2	1319.7529	CAV2	3607.0633
CBARA1	1276.34	CBARA1	987.2733
CBFA2T2	489.8981	CBFA2T2	773.4648
CBFA2T3	30.0551	CBFA2T3	265.9879
CBFB	1685.7572	CBFB	1077.951
CBLB	385.7071	CBLB	568.5651
CBLC	484.2211	CBLC	137.1301
CBLL1	598.7644	CBLL1	539.6118
removed	removed	CBLN1	8.5905
CBLN3	34.3964	CBLN3	47.0888
CBLN4	6.6789	CBLN4	28.3169
CBL	1287.0262	CBL	1087.8142
CBR1	1345.1528	CBR1	903.0099
CBR3	179.6627	CBR3	258.6701
CBR4	369.0099	CBR4	547.251
CBS	2274.5033	CBS	109.4496
CBWD1	1043.9138	CBWD1	493.1594
CBWD2	432.1256	CBWD2	760.7381
CBWD3	328.4555	CBWD3	316.7706
CBWD6	73.802	CBWD6	76.6783
CBX1	2425.7806	CBX1	1542.4753
CBX2	749.7078	CBX2	74.7693
CBX3	3792.2859	CBX3	2901.3681
CBX4	934.3797	CBX4	510.3404
CBX5	1432.2925	CBX5	2669.7423
CBX6	504.2578	CBX6	675.4693
CBX7	770.4124	CBX7	2533.2485
CBX8	181.3324	CBX8	64.2698
CBY1	577.3151	CBY1	600.2259
CC2D1A	1292.0354	CC2D1A	1197.5819
CC2D1B	1193.8554	CC2D1B	712.0585
CC2D2A	361.997	CC2D2A	565.0652
removed	removed	CC2D2B	11.7308
CCAR1	1570.2121	CCAR1	1543.748
CCBE1	14.3597	CCBE1	57.2701
CCBL1	104.191	CCBL1	90.3595
CCBL2	433.5749	CCBL2	501.7913
CCBP2	7.0129	CCBP2	304.4862
CCDC101	121.2222	CCDC101	250.0795
CCDC102A	336.9511	CCDC102A	242.1254
CCDC102B	32.3927	CCDC102B	83.3598
CCDC103	67.791	CCDC103	101.1772
CCDC104	984.1376	CCDC104	908.686
CCDC106	224.0775	CCDC106	208.0815
CCDC107	386.0077	CCDC107	463.4839
CCDC109A	686.5921	CCDC109A	423.7989
CCDC109B	473.8688	CCDC109B	382.119
CCDC110	41.0753	CCDC110	95.7684
CCDC111	147.7475	CCDC111	268.5651
CCDC112	267.4904	CCDC112	261.8517
CCDC113	447.1531	CCDC113	173.4012
CCDC114	43.4129	CCDC114	17.181
CCDC115	1129.7379	CCDC115	824.0535
CCDC117	1271.6647	CCDC117	801.1454
CCDC11	5.6771	CCDC11	23.8626
CCDC120	331.9419	CCDC120	377.3465
CCDC121	113.2075	CCDC121	151.4477
CCDC122	97.1782	CCDC122	109.1314
CCDC123	393.7218	CCDC123	403.4362
CCDC124	1379.5291	CCDC124	699.0137
CCDC125	213.3912	CCDC125	372.8921
CCDC126	236.4335	CCDC126	427.2988
CCDC127	424.7788	CCDC127	365.8925
CCDC129	10.0184	CCDC129	103.0862
CCDC12	376.3567	CCDC12	523.7035
CCDC130	505.9275	CCDC130	389.4368
CCDC132	405.4099	CCDC132	536.112
CCDC134	139.9232	CCDC134	32.1349
CCDC136	83.8203	CCDC136	107.8587
CCDC137	476.2064	CCDC137	265.0334
CCDC138	56.4368	CCDC138	51.8613
CCDC13	9.0165	CCDC13	12.7267
removed	removed	CCDC141	76.3602
CCDC142	152.9905	CCDC142	125.5297
CCDC144A	80.3807	CCDC144A	46.7706
CCDC144B	141.643	CCDC144B	106.0165
CCDC144C	41.0753	removed	removed
CCDC146	131.9085	CCDC146	155.902
CCDC147	12.6899	CCDC147	12.4085
CCDC148	11.3541	CCDC148	24.8171
CCDC149	460.177	CCDC149	569.8377
CCDC14	883.62	CCDC14	1211.2631
CCDC150	53.4313	CCDC150	10.8177
CCDC151	8.0147	removed	removed
CCDC152	35.2513	CCDC152	136.392
CCDC153	31.3909	CCDC153	9.8632
removed	removed	CCDC154	5.0907
CCDC155	5.6771	removed	removed
CCDC157	29.444	CCDC157	35.3357
CCDC158	28.3854	CCDC158	39.7709
CCDC159	153.615	CCDC159	200.7636
CCDC15	69.1267	CCDC15	49.9523
CCDC160	13.3578	CCDC160	20.999
CCDC163P	38.7377	CCDC163P	19.4082
removed	removed	CCDC17	20.0445
CCDC18	145.6303	CCDC18	69.6787
CCDC19	18.701	CCDC19	28.3169
CCDC21	577.3919	CCDC21	287.9415
CCDC22	448.6826	CCDC22	349.9936
CCDC23	351.6447	CCDC23	296.8501
CCDC24	125.1528	CCDC24	123.5189
CCDC25	756.7207	CCDC25	983.4553
CCDC28A	499.9165	CCDC28A	526.567
CCDC28B	128.569	CCDC28B	73.8148
CCDC30	43.079	CCDC30	86.2234
CCDC34	367.3401	CCDC34	369.3923
CCDC36	9.0165	CCDC36	48.0433
CCDC39	22.0404	CCDC39	32.3608
CCDC3	760.3941	CCDC3	1517.3401
CCDC40	82.1506	CCDC40	136.4938
CCDC41	142.5948	CCDC41	174.992
removed	removed	CCDC42B	6.6242
CCDC43	606.4451	CCDC43	393.2549
CCDC45	610.1186	CCDC45	615.6538
CCDC46	91.4209	CCDC46	431.7531
CCDC47	5450.3256	CCDC47	3074.4512
CCDC48	22.3744	CCDC48	121.2218
CCDC50	3035.5652	CCDC50	3475.342
CCDC51	305.8941	CCDC51	187.4006
CCDC52	315.2446	CCDC52	462.2972
CCDC53	369.0099	CCDC53	454.0248
CCDC55	754.383	CCDC55	1066.1788
CCDC56	556.6138	CCDC56	619.1791
CCDC57	272.8335	CCDC57	458.161
CCDC58	191.3508	CCDC58	167.6742
CCDC59	550.6762	CCDC59	575.8829
CCDC61	81.1488	CCDC61	164.1744
removed	removed	CCDC62	6.9997
CCDC64B	719.9866	CCDC64B	545.9752
CCDC64	190.015	CCDC64	54.7248
removed	removed	CCDC65	7.9542
CCDC66	207.103	CCDC66	386.9074
CCDC67	52.0955	removed	removed
CCDC68	45.0827	CCDC68	101.4954
CCDC69	143.2626	CCDC69	1645.8797
CCDC6	2951.4109	CCDC6	2292.714
CCDC71	270.162	CCDC71	434.6166
CCDC72	881.2824	CCDC72	1002.2272
CCDC73	43.1725	CCDC73	43.3758
CCDC74A	94.8405	CCDC74A	111.0404
CCDC74B	73.1341	CCDC74B	68.406
CCDC75	99.1818	CCDC75	89.405
CCDC76	297.6624	CCDC76	331.7308
CCDC77	612.1222	CCDC77	168.9469
CCDC78	33.0606	CCDC78	12.0904
CCDC7	48.6492	CCDC7	38.2724
CCDC80	876.6071	CCDC80	15812.5994
CCDC81	5.0092	CCDC81	10.8177
CCDC82	759.7262	CCDC82	781.1009
CCDC84	109.8681	CCDC84	98.3137
CCDC85A	10.6863	CCDC85A	262.9367
CCDC85B	163.2994	CCDC85B	243.0799
CCDC85C	518.1833	CCDC85C	602.0235
CCDC86	774.0791	CCDC86	515.4184
CCDC87	5.6771	CCDC87	14.6357
CCDC88A	2259.4757	CCDC88A	902.959
CCDC88B	164.6352	CCDC88B	354.7566
CCDC88C	751.3775	CCDC88C	763.6017
CCDC89	13.0239	CCDC89	47.0888
CCDC8	152.6131	CCDC8	1193.7639
CCDC90A	306.2281	CCDC90A	221.4445
CCDC90B	649.1568	CCDC90B	689.1091
CCDC91	1239.9399	CCDC91	476.9329
CCDC92	997.4954	CCDC92	796.0547
CCDC93	630.1553	CCDC93	966.5924
CCDC94	307.5639	CCDC94	337.2574
CCDC96	14.6936	CCDC96	100.8591
CCDC97	831.8584	CCDC97	1065.5425
CCDC99	202.0371	CCDC99	143.8116
CCDC9	439.4724	CCDC9	453.7066
CCHCR1	517.6156	CCHCR1	380.8463
CCIN	12.356	CCIN	5.0907
CCKBR	78.4772	removed	removed
CCK	25.3799	removed	removed
CCL13	254.4665	CCL13	106.5861
CCL14	18.0331	CCL14	2829.4273
removed	removed	CCL16	10.8177
CCL17	36.4001	removed	removed
CCL18	95.5084	CCL18	584.1553
removed	removed	CCL19	165.7652
CCL20	28.7193	CCL20	33.7257
removed	removed	CCL21	3752.784
CCL22	280.1803	CCL22	147.3115
removed	removed	CCL23	16.2265
removed	removed	CCL26	7.9542
CCL28	89.1635	CCL28	1787.4642
CCL2	977.1247	CCL2	5968.1833
CCL3L1	130.6963	CCL3L1	542.364
removed	removed	CCL3L3	45.2911
CCL3	167.3067	CCL3	751.8295
CCL4L2	260.8115	CCL4L2	1020.6809
CCL4	149.2737	CCL4	753.1021
CCL5	718.9848	CCL5	421.5717
CCL7	14.0257	removed	removed
CCL8	355.652	CCL8	465.797
CCM2	644.181	CCM2	794.7821
CCNA1	366.0043	CCNA1	25.4534
CCNA2	733.0105	CCNA2	56.971
CCNB1IP1	778.0932	CCNB1IP1	703.468
CCNB1	1184.8389	CCNB1	200.7636
CCNB2	599.7662	CCNB2	49.6341
CCNB3	20.0367	CCNB3	11.454
CCNC	2097.8461	CCNC	1053.4521
CCND1	11698.1466	CCND1	4362.6376
CCND2	304.8923	CCND2	2258.0337
CCND3	1562.5313	CCND3	2047.0888
CCNDBP1	403.0723	CCNDBP1	1176.5829
CCNE1	131.9085	CCNE1	20.0445
CCNE2	118.2535	CCNE2	28.1069
CCNF	347.9713	CCNF	120.5854
CCNG1	903.3228	CCNG1	1954.8202
CCNG2	1286.6923	CCNG2	1612.154
CCNH	392.4996	CCNH	654.7598
CCNI2	156.1997	CCNI2	16.7515
CCNI	5682.4178	CCNI	5217.3083
CCNJL	112.8736	CCNJL	98.3137
CCNJ	219.7362	CCNJ	219.2173
CCNK	839.9733	CCNK	886.9997
CCNL1	1188.8462	CCNL1	4190.2641
CCNL2	1943.5632	CCNL2	2217.6265
CCNO	65.1194	CCNO	43.9071
CCNT1	128.903	CCNT1	210.6268
CCNT2	709.6343	CCNT2	870.8241
CCNYL1	512.6064	CCNYL1	545.9752
CCNY	3523.7936	CCNY	1936.6847
CCPG1	4762.1139	CCPG1	2917.5597
removed	removed	CCR10	14.3175
CCR1	408.4154	CCR1	291.4413
CCR2	32.3927	CCR2	51.5431
CCR3	5.0092	removed	removed
CCR4	6.345	CCR4	13.6812
CCR5	149.6076	CCR5	136.812
CCR6	61.1354	CCR6	88.6446
CCR7	19.3688	CCR7	53.7703
CCR8	6.6789	removed	removed
CCR9	10.3523	CCR9	5.0907
CCRL1	98.18	CCRL1	290.1686
CCRL2	37.4019	CCRL2	79.5418
CCRN4L	171.648	CCRN4L	258.0337
CCS	642.8452	CCS	433.6621
CCT2	3889.1301	CCT2	2640.7891
CCT3	9073.635	CCT3	4262.1699
CCT4	5255.9693	CCT4	3207.1269
CCT5	4920.354	CCT5	2924.9125
CCT6A	3475.0376	CCT6A	3032.1349
CCT6B	45.4166	CCT6B	76.3602
CCT6P1	57.1047	CCT6P1	65.5425
CCT7	5114.0424	CCT7	3571.7467
CCT8	3562.5313	CCT8	2721.9217
CD101	22.3744	CD101	36.9074
CD109	4134.2261	CD109	1211.8995
CD14	1941.8935	CD14	3011.1359
CD151	6336.9511	CD151	6775.692
CD160	7.0129	CD160	15.5902
CD163L1	180.9985	CD163L1	187.7187
CD163	1887.7943	CD163	1235.1257
removed	removed	CD164L2	44.2253
CD164	8893.9723	CD164	9174.6739
CD177	48.7561	removed	removed
CD180	331.6079	CD180	132.6758
CD1A	580.7313	removed	removed
CD1B	94.8405	CD1B	6.0452
CD1C	116.547	CD1C	63.3153
CD1D	15.6954	CD1D	38.1801
CD1E	205.3765	CD1E	40.4073
CD200R1	39.4056	CD200R1	91.6322
CD200	219.7362	CD200	721.6036
CD207	1391.8851	CD207	13.9994
CD209	245.45	CD209	627.426
CD226	16.0294	CD226	21.9535
CD22	15.6954	CD22	26.0897
CD244	18.0331	CD244	18.7719
CD247	38.7377	CD247	96.7229
CD248	475.2045	CD248	3787.7824
CD24	37007.1798	CD24	11974.8648
CD274	28.7193	CD274	38.8164
CD276	2650.526	CD276	1768.056
CD27	32.6064	CD27	91.1549
CD28	110.202	CD28	90.9959
CD2AP	2769.0766	CD2AP	1476.9329
CD2BP2	828.8529	CD2BP2	1221.1263
CD2	67.457	CD2	176.5829
CD300A	195.6921	CD300A	197.5819
CD300C	25.0459	CD300C	20.0445
CD300E	12.022	removed	removed
CD300LB	10.0184	CD300LB	27.0442
CD300LF	29.0533	CD300LF	23.5444
removed	removed	CD300LG	1010.4995
CD302	1666.8325	CD302	2060.4518
CD320	970.4458	CD320	386.5733
CD33	93.8387	CD33	104.6771
CD34	469.1935	CD34	8403.118
CD36	93.1708	CD36	9671.3331
CD37	258.8078	CD37	198.5364
CD38	24.712	CD38	48.9978
CD3D	21.7065	CD3D	81.1327
CD3EAP	595.7589	CD3EAP	461.979
CD3E	75.1378	CD3E	238.6255
CD3G	7.0129	CD3G	23.2262
removed	removed	CD40LG	66.1788
CD40	172.3159	CD40	395.8002
CD44	22252.7968	CD44	9950.0477
CD46	4765.7372	CD46	5010.4995
CD47	2689.2637	CD47	3874.6421
CD48	106.1947	CD48	164.4925
CD4	1591.9185	CD4	1243.398
CD52	117.5488	CD52	193.7639
removed	removed	CD53	655.4248
CD55	2547.0028	CD55	5283.4871
CD58	372.6833	CD58	279.6691
CD59	32187.3435	CD59	20431.1168
CD5	25.0459	CD5	102.1317
CD63	16923.6934	CD63	10846.9615
CD68	1968.9431	CD68	2108.8132
CD69	40.4074	CD69	552.3385
CD6	192.0187	CD6	127.5851
CD70	36.734	CD70	34.0439
CD72	45.4166	CD72	31.4986
CD74	41014.5266	CD74	34705.377
CD79A	7.6807	CD79A	81.769
CD79B	167.9746	CD79B	177.2192
removed	removed	CD7	73.4967
CD80	65.7873	CD80	14.3175
CD81	8667.8911	CD81	11723.8307
CD82	1713.1408	CD82	1716.1947
CD83	823.1758	CD83	870.1877
CD84	120.2204	CD84	85.9052
CD86	338.9548	CD86	224.308
CD8A	66.1212	CD8A	189.9459
CD8B	58.1065	CD8B	49.3159
CD93	1232.5931	CD93	5436.5256
CD96	33.3946	CD96	136.4938
CD97	1123.0589	CD97	1170.5377
CD99L2	468.8596	CD99L2	1502.7044
CD99	2589.08	CD99	2788.1005
CD9	25624.6452	CD9	6282.8508
CDADC1	212.0554	CDADC1	253.2612
CDAN1	124.8956	CDAN1	290.4868
CDA	98.8479	CDA	73.4967
CDC123	2843.7936	CDC123	904.957
CDC14A	134.914	CDC14A	391.9822
CDC14B	366.6722	CDC14B	621.0627
CDC14C	12.356	CDC14C	8.2724
CDC16	1666.3884	CDC16	1559.9745
CDC20	1306.0611	CDC20	51.8613
CDC23	608.1149	CDC23	774.7375
CDC25A	132.9103	CDC25A	33.0894
CDC25B	1279.0115	CDC25B	1146.9933
CDC25C	76.4735	CDC25C	6.3633
CDC26	111.5078	CDC26	125.9943
CDC27	1740.8582	CDC27	1564.4289
CDC34	977.1247	CDC34	556.4747
CDC37L1	608.1149	CDC37L1	567.6106
CDC37	2941.3926	CDC37	3094.4957
CDC40	906.3283	CDC40	832.3258
CDC42BPA	2912.0053	CDC42BPA	2223.9898
CDC42BPB	2256.1362	CDC42BPB	3476.9329
CDC42BPG	610.4525	CDC42BPG	746.7388
CDC42EP1	3631.3241	CDC42EP1	2320.7127
CDC42EP2	104.8589	CDC42EP2	831.0531
CDC42EP3	1761.8968	CDC42EP3	928.7305
CDC42EP4	4399.7328	CDC42EP4	2444.798
CDC42EP5	198.6976	CDC42EP5	210.3086
CDC42SE1	3419.4857	CDC42SE1	3549.7836
CDC42SE2	1241.2757	CDC42SE2	1526.8851
CDC42	4880.9484	CDC42	5547.2479
CDC45	259.1418	CDC45	16.5447
CDC5L	1440.9751	CDC5L	1197.2638
CDC6	376.6906	CDC6	86.5415
CDC73	1297.3785	CDC73	1106.5861
CDC7	236.4335	CDC7	115.8129
CDCA2	436.8008	CDCA2	16.2265
CDCA3	631.5679	CDCA3	21.2727
CDCA4	338.9548	CDCA4	247.5342
CDCA5	598.4305	CDCA5	59.4973
CDCA7L	467.7676	CDCA7L	776.9201
CDCA7	443.4797	CDCA7	84.9507
CDCA8	639.8397	CDCA8	35.6347
CDCP1	2122.2241	CDCP1	713.6494
CDH11	3373.5181	CDH11	785.8734
removed	removed	CDH12	41.0436
CDH13	211.3875	CDH13	890.5504
CDH15	7.3468	removed	removed
CDH16	70.7965	removed	removed
CDH19	252.1289	CDH19	9.545
CDH1	9561.8634	CDH1	6509.3859
CDH20	30.723	removed	removed
removed	removed	CDH22	43.9071
CDH23	37.068	CDH23	229.3987
CDH24	125.8975	CDH24	91.6322
CDH26	5.0092	CDH26	26.0897
CDH2	464.8522	CDH2	24.4989
CDH3	6907.6641	CDH3	2246.5797
removed	removed	CDH4	14.9539
CDH5	321.9235	CDH5	2905.1861
CDH6	50.7597	CDH6	100.8591
removed	removed	CDH8	12.7267
CDHR1	137.2516	CDHR1	28.3169
CDHR3	26.6989	CDHR3	92.224
CDIPT	1561.8634	CDIPT	1770.9195
CDK10	545.6671	CDK10	611.5177
CDK11A	744.161	CDK11A	716.4588
CDK11B	998.367	CDK11B	801.8358
CDK12	1240.9417	CDK12	1324.5307
CDK13	732.0087	CDK13	1177.8556
CDK14	671.2306	CDK14	607.6997
removed	removed	CDK15	8.2724
CDK16	3604.6084	CDK16	1560.6109
CDK17	341.6263	CDK17	895.0048
CDK18	1103.3562	CDK18	483.2962
CDK19	1514.7704	CDK19	713.4521
CDK1	1167.4737	CDK1	96.4047
CDK20	200.0334	CDK20	161.629
CDK2AP1	4394.7237	CDK2AP1	2328.6669
CDK2AP2	903.9906	CDK2AP2	505.2498
CDK2	994.8238	CDK2	628.0624
CDK3	122.5313	CDK3	141.9663
CDK4	3678.4104	CDK4	1654.1521
CDK5R1	66.4552	CDK5R1	27.0442
CDK5RAP1	385.0392	CDK5RAP1	410.4359
CDK5RAP2	1023.8771	CDK5RAP2	1322.9399
CDK5RAP3	1892.1356	CDK5RAP3	1840.5982
CDK5	215.3949	CDK5	134.5848
CDK6	2218.7343	CDK6	1053.7703
CDK7	547.3368	CDK7	395.482
CDK8	227.7509	CDK8	106.9042
CDK9	522.2909	CDK9	1231.3077
CDKAL1	468.1917	CDKAL1	265.6697
CDKL1	57.4386	CDKL1	28.6351
CDKL2	11.6881	CDKL2	37.5437
CDKL3	14.1125	CDKL3	33.5762
CDKL5	91.5011	CDKL5	64.9061
CDKN1A	908.6659	CDKN1A	12650.9704
CDKN1B	2913.0072	CDKN1B	1326.4397
CDKN1C	191.3508	CDKN1C	826.2806
CDKN2AIPNL	225.0793	CDKN2AIPNL	271.7149
CDKN2AIP	301.8868	CDKN2AIP	466.4333
CDKN2A	354.3162	CDKN2A	72.8603
CDKN2BAS	12.6899	removed	removed
CDKN2B	435.1311	CDKN2B	558.0655
CDKN2C	795.1244	CDKN2C	426.3443
CDKN2D	454.8339	CDKN2D	128.8578
CDKN3	152.6131	CDKN3	26.0897
CDNF	34.3964	CDNF	45.4979
CDO1	8.6826	CDO1	384.3462
CDON	882.9521	CDON	1148.9023
CDR1	44.9758	CDR1	10.2259
CDR2L	1039.9065	CDR2L	943.3662
CDR2	821.1721	CDR2	846.007
CDRT4	325.0326	CDRT4	281.3077
CDS1	1122.3911	CDS1	796.0547
CDS2	749.7078	CDS2	717.1492
CDSN	29.3872	CDSN	25.1352
CDT1	393.0539	CDT1	62.3608
CDV3	3231.2573	CDV3	4679.9236
CDX2	11.0202	removed	removed
CDYL2	18.0331	CDYL2	45.4979
CDYL	421.4393	CDYL	631.244
CEACAM19	46.0845	CEACAM19	94.8139
CEACAM1	1134.747	CEACAM1	1124.0853
removed	removed	CEACAM21	15.5902
CEACAM5	44.4148	removed	removed
CEACAM6	211.3875	CEACAM6	261.5336
CEBPA	114.2094	CEBPA	908.0496
CEBPB	1355.1511	CEBPB	1624.2444
CEBPD	477.5422	CEBPD	2227.4897
CEBPG	2032.3927	CEBPG	1339.1664
CEBPZ	1722.1573	CEBPZ	1824.6898
CECR1	650.192	CECR1	665.2879
CECR2	27.7175	CECR2	11.454
CECR5	1242.9454	CECR5	559.3382
CECR6	12.356	CECR6	21.9535
CECR7	135.5819	CECR7	97.041
CELF1	1887.1264	CELF1	2088.1324
CELF2	1553.5148	CELF2	2184.2189
CELF4	9.3505	CELF4	12.0904
removed	removed	CELF5	42.9526
CELF6	22.361	CELF6	101.7913
CELSR1	2436.1329	CELSR1	1711.4222
CELSR2	1343.1291	CELSR2	1826.5988
CELSR3	142.2608	CELSR3	56.952
CEL	28.7193	CEL	12.0904
CEMP1	168.706	CEMP1	148.1642
CENPA	252.1289	CENPA	10.8177
CENPBD1	468.1917	CENPBD1	208.0815
CENPB	1877.442	CENPB	1788.4187
CENPC1	481.8835	CENPC1	572.7012
removed	removed	CENPE	55.3611
CENPF	3557.1882	CENPF	212.5358
CENPH	155.9526	CENPH	87.496
removed	removed	CENPI	5.4088
CENPJ	187.3435	CENPJ	277.1238
CENPK	104.191	CENPK	26.4079
CENPL	203.3729	CENPL	62.679
CENPM	238.4371	CENPM	31.4986
CENPN	694.3263	CENPN	178.2087
CENPO	175.7455	CENPO	43.3694
CENPP	80.9184	CENPP	53.7226
CENPQ	102.8552	CENPQ	126.3124
CENPT	320.2538	CENPT	565.7016
CENPV	128.2351	CENPV	68.0878
CENPW	235.0977	CENPW	79.2237
CEP110	373.6851	CEP110	689.1505
CEP120	331.274	CEP120	856.5065
CEP135	199.0316	CEP135	285.3961
CEP152	137.5856	CEP152	182.9462
CEP164	862.5814	CEP164	715.8766
CEP170	1842.3777	CEP170	1144.448
CEP192	901.653	CEP192	755.3293
CEP250	779.7629	CEP250	712.6949
CEP290	391.982	CEP290	658.4696
CEP350	1460.6779	CEP350	1428.2533
CEP55	707.2967	CEP55	37.8619
CEP57	958.0898	CEP57	885.1416
CEP63	652.4194	CEP63	679.0487
CEP68	457.5088	CEP68	1498.6414
CEP70	420.4375	CEP70	261.8517
CEP72	38.4037	CEP72	51.5431
CEP76	202.371	CEP76	124.4034
CEP78	266.1546	CEP78	233.2167
CEP97	165.3031	CEP97	188.3551
CEPT1	1023.5432	CEPT1	885.7779
CERCAM	1219.9032	CERCAM	1524.658
CERKL	71.5378	CERKL	41.9154
CERK	2256.1362	CERK	1024.8171
CES1	48.7561	CES1	2445.1161
CES2	703.6233	CES2	1085.9052
CES3	15.6954	CES3	105.6316
removed	removed	CES4	74.4512
CES8	53.0973	CES8	78.9055
CETN2	1084.6552	CETN2	939.5482
CETN3	198.3637	CETN3	348.3933
CETP	9.0165	CETP	38.8164
CFB	2777.6858	CFB	2297.3338
CFDP1	1254.6335	CFDP1	824.6898
CFD	129.9048	CFD	7273.9421
removed	removed	CFHR3	11.7722
CFH	1020.5377	CFH	7746.1024
CFI	93.8387	CFI	952.9112
CFL1	17147.103	CFL1	10045.1798
CFL2	306.562	CFL2	944.3207
CFLAR	1314.0758	CFLAR	1355.7111
CFP	8.3486	CFP	116.1311
removed	removed	CFTR	8.9087
CG030	44.4148	CG030	52.8158
CGB7	5.9008	CGB7	16.0356
CGGBP1	2421.1287	CGGBP1	2536.112
CGNL1	888.6292	CGNL1	1555.5202
CGN	1154.1159	CGN	1551.384
CGREF1	947.477	CGREF1	269.0741
CGRRF1	209.3839	CGRRF1	339.4846
CH25H	54.0992	CH25H	310.5313
CHAC1	104.8589	CHAC1	20.0445
CHAC2	57.1047	CHAC2	30.8622
CHADL	98.8479	CHADL	90.9959
CHAD	199.0316	CHAD	62.0426
CHAF1A	629.1534	CHAF1A	263.4426
CHAF1B	249.4573	CHAF1B	122.1763
CHCHD10	636.1663	CHCHD10	213.8085
CHCHD1	439.1384	CHCHD1	372.574
CHCHD2	2493.5715	CHCHD2	2453.3885
CHCHD3	1339.7896	CHCHD3	543.1117
CHCHD4	244.4482	CHCHD4	232.5803
CHCHD5	174.3196	CHCHD5	187.0824
CHCHD6	113.2075	CHCHD6	99.9045
CHCHD7	409.7512	CHCHD7	370.665
CHCHD8	835.1979	CHCHD8	532.294
CHD1L	1249.2904	CHD1L	692.014
CHD1	716.6472	CHD1	2192.1731
CHD2	1932.209	CHD2	2950.3659
CHD3	2704.6251	CHD3	4455.2975
CHD4	6966.572	CHD4	5281.3299
CHD5	6.011	CHD5	9.545
CHD6	1050.9267	CHD6	2007.3178
CHD7	941.7265	CHD7	650.3341
CHD8	1419.2687	CHD8	2023.2262
CHD9	1544.8322	CHD9	2148.9023
CHDH	775.0877	CHDH	580.0191
CHEK1	496.5771	CHEK1	92.5867
CHEK2	338.6208	CHEK2	162.9017
CHERP	1325.9042	CHERP	1115.5711
CHFR	341.9603	CHFR	412.0267
CHI3L1	6810.4859	CHI3L1	1110.4041
CHI3L2	881.2824	CHI3L2	845.0525
CHIC1	328.6024	CHIC1	418.0719
CHIC2	273.1675	CHIC2	395.1639
