gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
ACOT1	311.2373	ACOT1	345.2116
ACOT2	213.3912	ACOT2	228.4442
ACOT4	62.7818	ACOT4	42.6344
ACOT7	967.4403	ACOT7	220.1718
ACOT8	326.8192	ACOT8	224.1871
ACOT9	641.1755	ACOT9	508.1133
ACOX1	1839.8931	ACOX1	1322.9749
ACOX2	24.0441	ACOX2	308.6223
ACOX3	262.4812	ACOX3	557.7474
ACOXL	5.0092	removed	removed
ACP1	1836.0327	ACP1	1046.1343
ACP2	921.0219	ACP2	683.7321
ACP5	883.62	ACP5	622.9717
ACP6	293.2042	ACP6	187.0824
ACPL2	703.2894	ACPL2	380.21
removed	removed	ACPP	29.9077
ACRBP	18.701	ACRBP	23.2262
ACRC	18.0331	ACRC	28.6351
ACR	21.3725	ACR	9.8632
ACSBG1	7.3468	ACSBG1	19.7264
ACSF2	477.8761	ACSF2	591.7913
ACSF3	398.731	ACSF3	378.9373
ACSL1	2875.9392	ACSL1	3657.3338
ACSL3	2192.0187	ACSL3	2596.2456
ACSL4	4313.2409	ACSL4	1733.3758
ACSL5	186.6756	ACSL5	1045.1798
ACSL6	250.1252	ACSL6	15.272
ACSM1	5.3431	ACSM1	46.7706
ACSM2A	28.0514	removed	removed
ACSM2B	13.6918	removed	removed
ACSM3	23.296	ACSM3	115.5743
removed	removed	ACSM5	124.4034
ACSS1	987.1431	ACSS1	862.8699
ACSS2	588.746	ACSS2	1117.0856
ACSS3	259.8097	ACSS3	304.168
ACTA1	45.0827	ACTA1	32.1349
ACTA2	9446.8693	ACTA2	19654.3112
removed	removed	ACTBL2	9.2269
ACTB	92465.1862	ACTB	82267.5787
ACTG1	85305.3932	ACTG1	56124.0853
ACTG2	1718.8178	ACTG2	6069.3605
ACTL6A	2447.4871	ACTL6A	884.8234
ACTL8	314.5767	removed	removed
ACTN1	8945.7338	ACTN1	8576.5192
