gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
CAPN8	347.9082	CAPN8	65.1089
CAPN9	83.1556	removed	removed
CAPNS1	8672.6368	CAPNS1	5749.2585
CAPRIN1	11875.0435	CAPRIN1	5671.4172
CAPRIN2	322.2278	CAPRIN2	451.7109
CAPS2	23.8461	CAPS2	82.1819
CAPS	564.9687	CAPS	92.0205
CAPZA1	5439.3526	CAPZA1	1989.7273
CAPZA2	3431.6959	CAPZA2	2340.4471
removed	removed	CAPZA3	6.3662
CAPZB	2955.0799	CAPZB	3282.9342
CARD10	176.7056	CARD10	710.4102
CARD11	12.2288	CARD11	52.0871
CARD14	154.9995	CARD14	107.6467
CARD16	44.0235	CARD16	141.7927
CARD6	246.7152	CARD6	449.9747
CARD8	716.9111	CARD8	1237.6474
CARD9	26.5976	CARD9	36.1716
CARHSP1	1258.0368	CARHSP1	1128.0648
CARKD	584.5347	CARKD	844.6792
CARM1	1181.9097	CARM1	724.8788
CARNS1	7.0315	CARNS1	37.0397
CARS2	420.8314	CARS2	574.2863
CARS	879.5536	CARS	917.0195
CASC1	19.2603	CASC1	37.9078
CASC2	28.7376	CASC2	54.9808
CASC3	1799.1564	CASC3	2766.1144
CASC4	4955.7051	CASC4	2789.5536
CASC5	303.8847	CASC5	24.8861
CASD1	1042.8075	CASD1	830.2105
removed	removed	CASKIN1	8.2847
CASKIN2	451.4583	CASKIN2	1505.0279
CASK	2308.1785	CASK	1195.399
CASP10	507.4936	CASP10	512.4792
removed	removed	CASP12	8.9706
CASP1	192.603	CASP1	516.241
CASP2	1628.5652	CASP2	895.03
CASP3	1531.958	CASP3	487.5931
CASP4	586.9805	CASP4	814.8738
CASP6	590.6491	CASP6	227.447
CASP7	627.9468	CASP7	621.8621
CASP8AP2	509.0222	CASP8AP2	726.0363
CASP8	1023.853	CASP8	432.0336
CASP9	154.3881	CASP9	304.9989
CASQ2	155.9167	CASQ2	629.6752
CASS4	24.4575	CASS4	25.4648
CAST	4898.6366	CAST	6816.8791
CASZ1	198.1059	CASZ1	618.679
CATSPER2P1	24.9956	CATSPER2P1	30.7777
CATSPER2	12.5345	CATSPER2	37.6185
removed	removed	CATSPER3	9.8387
CATSPERB	141.2422	CATSPERB	19.9667
CATSPERG	11.923	CATSPERG	19.9667
CAT	2732.2108	CAT	8777.834
CAV1	4702.8755	CAV1	21562.9024
CAV2	1779.2846	CAV2	7634.5222
CBARA1	1544.1867	CBARA1	1291.1814
CBFA2T2	885.668	CBFA2T2	925.1248
CBFA2T3	369.6143	CBFA2T3	261.0143
CBFB	1575.3701	CBFB	684.3666
CBLB	577.5032	CBLB	657.1656
removed	removed	CBLC	70.8963
CBLL1	1012.8471	CBLL1	655.14
CBLN1	25.3747	CBLN1	108.2254
CBLN3	88.9642	CBLN3	122.1153
CBLN4	5.1972	CBLN4	10.128
CBL	687.8678	CBL	1447.1533
CBR1	1247.1807	CBR1	618.3028
CBR3	324.533	CBR3	271.721
CBR4	1152.5607	CBR4	525.501
CBS	507.7993	CBS	96.0718
CBWD1	845.0073	CBWD1	341.7493
CBWD2	573.8346	CBWD2	538.8121
CBWD3	403.5613	CBWD3	141.5033
CBWD6	75.5126	CBWD6	52.3765
CBX1	14202.1766	CBX1	1364.3927
CBX2	424.9494	CBX2	107.936
CBX3	5622.4783	CBX3	2178.9771
CBX4	514.2194	CBX4	343.4855
CBX5	2946.2141	CBX5	3129.856
CBX6	151.6366	CBX6	789.6983
CBX7	200.8574	CBX7	2596.542
CBX8	43.7178	CBX8	59.9002
CBY1	311.1975	CBY1	520.8131
CC2D1A	280.6501	CC2D1A	741.0837
CC2D1B	353.7169	CC2D1B	822.6868
CC2D2A	199.9402	CC2D2A	587.1374
removed	removed	CC2D2B	5.9003
CCAR1	2072.1634	CCAR1	1102.7997
CCBE1	12.8402	CCBE1	123.2728
CCBL1	37.2977	CCBL1	92.3099
CCBL2	1936.8216	CCBL2	789.6636
CCBP2	1490.6859	CCBP2	115.1704
CCDC101	170.8969	CCDC101	264.7761
CCDC102A	37.6034	CCDC102A	143.2395
CCDC102B	76.7355	CCDC102B	102.1486
CCDC103	109.7531	CCDC103	136.0052
CCDC104	597.3749	CCDC104	680.026
CCDC106	75.5126	CCDC106	208.3484
CCDC107	77.087	CCDC107	529.8821
CCDC109A	1025.6873	CCDC109A	364.6097
CCDC109B	590.6491	CCDC109B	164.0744
CCDC110	162.9482	CCDC110	42.2484
CCDC111	336.5752	CCDC111	278.9322
CCDC112	220.4234	CCDC112	206.6122
CCDC113	394.0718	CCDC113	244.2306
CCDC114	12.8402	CCDC114	9.8387
CCDC115	904.9283	CCDC115	866.6715
CCDC117	3655.7879	CCDC117	781.5959
CCDC11	13.1459	CCDC11	16.4942
CCDC120	395.9061	CCDC120	289.3728
CCDC121	200.8574	CCDC121	192.7223
CCDC122	119.8419	CCDC122	60.1895
CCDC123	360.7484	CCDC123	431.1654
CCDC124	130.8477	CCDC124	527.5266
CCDC125	562.523	CCDC125	392.1001
CCDC126	499.5449	CCDC126	265.0655
CCDC127	330.788	CCDC127	348.9836
removed	removed	CCDC129	47.4571
CCDC12	146.7451	CCDC12	316.8632
CCDC130	97.2186	CCDC130	319.1782
CCDC132	1189.8584	CCDC132	529.8416
CCDC134	20.1775	CCDC134	46.589
CCDC136	11.6173	CCDC136	78.42
CCDC137	121.0647	CCDC137	226.5789
CCDC138	92.3271	CCDC138	34.146
removed	removed	CCDC13	8.3918
CCDC141	5.8087	CCDC141	43.4059
CCDC142	116.2833	CCDC142	123.8139
CCDC144A	10.0887	CCDC144A	86.6556
removed	removed	CCDC144B	101.1821
removed	removed	CCDC144C	7.8131
CCDC146	134.8221	CCDC146	209.5059
CCDC147	5.5029	CCDC147	20.2561
CCDC148	18.0374	CCDC148	21.4136
CCDC149	306.6362	CCDC149	508.428
CCDC14	715.9939	CCDC14	801.852
removed	removed	CCDC150	7.8131
removed	removed	CCDC151	5.7875
CCDC152	98.4568	CCDC152	222.7794
removed	removed	CCDC153	6.6556
CCDC157	13.1459	CCDC157	25.7773
CCDC158	12.8402	CCDC158	94.9143
CCDC159	67.5639	CCDC159	115.4597
CCDC15	95.69	CCDC15	76.105
CCDC160	102.7216	CCDC160	15.0474
CCDC163P	15.286	CCDC163P	30.3841
CCDC17	6.7258	CCDC17	22.8604
CCDC18	137.8793	CCDC18	77.8471
CCDC19	25.6804	CCDC19	7.2343
CCDC21	321.9221	CCDC21	196.7735
CCDC22	259.0571	CCDC22	345.5256
CCDC23	161.7254	CCDC23	259.278
CCDC24	90.4684	CCDC24	81.852
CCDC25	631.3098	CCDC25	1096.7229
CCDC28A	295.0188	CCDC28A	484.6994
CCDC28B	13.4516	CCDC28B	40.5122
CCDC30	70.9268	CCDC30	90.5737
CCDC34	367.4742	CCDC34	203.4291
CCDC36	22.0118	CCDC36	87.68
CCDC39	17.7317	CCDC39	34.2415
CCDC3	387.6517	CCDC3	1226.9406
CCDC40	63.8953	CCDC40	55.8489
CCDC41	199.9402	CCDC41	148.7376
CCDC43	787.5322	CCDC43	341.4599
CCDC45	617.5524	CCDC45	594.3717
CCDC46	140.9365	CCDC46	453.3256
CCDC47	3951.7239	CCDC47	2736.0197
CCDC48	160.5025	CCDC48	93.4674
CCDC50	1570.4785	CCDC50	4340.3024
CCDC51	170.5912	CCDC51	222.817
CCDC52	649.3472	CCDC52	356.2179
CCDC53	766.1318	CCDC53	374.159
CCDC55	415.7779	CCDC55	1067.4962
CCDC56	1149.2803	CCDC56	609.2049
CCDC57	127.4848	CCDC57	405.7006
CCDC58	279.1215	CCDC58	117.7747
CCDC59	501.9906	CCDC59	503.2193
CCDC61	22.3175	CCDC61	111.1191
CCDC62	5.8087	removed	removed
CCDC64B	139.1021	CCDC64B	171.0193
CCDC64	263.5298	CCDC64	40.5122
removed	removed	CCDC65	10.9962
CCDC66	335.0038	CCDC66	307.7827
CCDC68	70.9268	CCDC68	156.84
CCDC69	453.3813	CCDC69	3705.7079
CCDC6	4844.4234	CCDC6	2284.0194
CCDC71	292.5731	CCDC71	423.6418
CCDC72	809.5439	CCDC72	692.7584
CCDC73	48.4014	CCDC73	31.6198
CCDC74A	376.3401	CCDC74A	118.9322
CCDC74B	142.7708	CCDC74B	42.2484
CCDC75	75.2069	CCDC75	387.4702
CCDC76	291.6926	CCDC76	228.6711
CCDC77	124.1219	CCDC77	140.0564
CCDC78	11.3116	removed	removed
CCDC7	53.8065	CCDC7	33.8566
CCDC80	5266.6214	CCDC80	12757.5779
removed	removed	CCDC81	5.2087
CCDC82	325.5907	CCDC82	780.4384
CCDC84	29.0433	CCDC84	87.9693
CCDC85A	60.2266	CCDC85A	511.4317
CCDC85B	39.132	CCDC85B	123.8516
CCDC85C	179.9218	CCDC85C	411.0454
CCDC86	348.8193	CCDC86	428.237
CCDC87	77.0412	CCDC87	15.9155
CCDC88A	800.0666	CCDC88A	1070.6793
CCDC88B	13.7574	CCDC88B	118.9322
CCDC88C	379.0916	CCDC88C	865.514
CCDC89	15.5917	CCDC89	37.6185
CCDC8	135.1278	CCDC8	1334.5873
CCDC90A	411.4978	CCDC90A	336.5405
CCDC90B	832.1641	CCDC90B	665.4648
CCDC91	486.3989	CCDC91	549.5189
CCDC92	864.5734	CCDC92	1622.2238
CCDC93	553.0457	CCDC93	1143.0225
CCDC94	128.402	CCDC94	316.5738
CCDC96	41.5778	CCDC96	73.5007
CCDC97	915.017	CCDC97	999.2042
CCDC99	407.8292	CCDC99	150.7632
CCDC9	55.6409	CCDC9	311.9439
CCHCR1	107.9188	CCHCR1	325.5444
CCIN	11.6173	removed	removed
CCL11	7.643	removed	removed
CCL13	37.2977	CCL13	87.1012
CCL14	604.7061	CCL14	2997.5519
removed	removed	CCL16	14.1793
removed	removed	CCL17	5.7875
CCL18	135.1278	CCL18	11.2855
CCL19	25.9861	CCL19	128.7709
CCL21	175.4827	CCL21	1125.9495
CCL22	79.7927	CCL22	62.7939
removed	removed	CCL23	15.3368
removed	removed	CCL24	18.2305
CCL28	206.0546	CCL28	751.2117
CCL2	1693.0719	CCL2	1738.2623
CCL3L1	105.4089	CCL3L1	30.0745
CCL3	305.1076	CCL3	165.8106
CCL4L2	251.6067	CCL4L2	129.639
CCL4	231.1236	CCL4	189.8285
CCL5	137.5736	CCL5	216.1615
CCL8	122.2876	CCL8	275.1935
CCM2	313.362	CCM2	761.0504
CCNA1	8.8659	CCNA1	19.0986
CCNA2	1032.3061	CCNA2	43.1628
CCNB1IP1	771.0233	CCNB1IP1	708.9633
CCNB1	1285.5484	CCNB1	150.1845
CCNB2	560.0772	CCNB2	25.1754
CCNB3	26.5976	CCNB3	25.7542
CCNC	1863.0516	CCNC	1074.7305
CCND1	3533.1487	CCND1	2510.8877
CCND2	959.652	CCND2	1399.9855
CCND3	945.5889	CCND3	1532.5183
CCNDBP1	641.3985	CCNDBP1	1236.4899
CCNE1	100.2758	CCNE1	25.4648
CCNE2	680.0261	CCNE2	38.8396
CCNF	386.7345	CCNF	269.9848
CCNG1	1546.021	CCNG1	3605.0061
CCNG2	5790.9295	CCNG2	2737.7559
CCNH	691.4661	CCNH	752.132
CCNI2	9.2633	CCNI2	16.529
CCNI	6080.7511	CCNI	7898.1408
CCNJL	44.3293	CCNJL	83.3394
CCNJ	264.1412	CCNJ	156.2613
CCNK	1251.4546	CCNK	879.8466
CCNL1	1041.5847	CCNL1	2979.9609
CCNL2	498.9334	CCNL2	1765.4634
CCNO	135.4335	CCNO	15.9155
CCNT1	155.9167	CCNT1	303.8414
CCNT2	1188.6355	CCNT2	859.1478
CCNYL1	848.0645	CCNYL1	493.0912
CCNY	2198.1197	CCNY	1897.9961
CCPG1	3014.8388	CCPG1	2806.9536
CCR10	5.1972	CCR10	30.3841
CCR1	284.013	CCR1	128.7709
CCR2	28.7376	CCR2	56.7171
CCR4	13.1459	CCR4	10.4174
CCR5	47.6922	CCR5	60.4789
CCR6	9.7555	CCR6	47.1562
CCR7	12.2288	CCR7	36.461
CCRL1	132.0706	CCRL1	288.5047
CCRL2	97.5244	CCRL2	97.808
CCRN4L	309.3876	CCRN4L	210.9528
CCS	105.4731	CCS	335.3831
CCT2	4325.6183	CCT2	1807.4224
CCT3	4964.2653	CCT3	2933.0825
CCT4	4547.2645	CCT4	2995.5871
CCT5	6192.6442	CCT5	2406.7134
CCT6A	4653.6548	CCT6A	2227.8811
CCT6B	95.0786	CCT6B	85.365
CCT6P1	38.8263	CCT6P1	54.9808
CCT7	2637.7436	CCT7	3169.2107
CCT8	6177.9697	CCT8	2497.8659
CD101	51.9722	CD101	35.0141
CD109	1481.2086	CD109	1871.6371
CD14	608.9923	CD14	1540.3313
CD151	3852.3652	CD151	5739.4198
CD160	7.0315	CD160	16.2049
CD163L1	134.5164	CD163L1	139.4777
CD163	663.716	CD163	592.0567
removed	removed	CD164L2	34.7247
CD164	13331.4888	CD164	13052.1594
CD180	112.5046	CD180	82.1819
removed	removed	CD1A	6.0768
CD1C	8.5601	CD1C	72.0538
CD1D	20.4832	CD1D	44.5634
CD1E	7.3373	CD1E	24.3073
CD200R1	26.9033	CD200R1	46.589
CD200	603.795	CD200	576.1412
removed	removed	CD207	68.0026
CD209	249.161	CD209	366.6353
CD226	7.643	CD226	13.3111
CD22	43.4121	CD22	43.4059
removed	removed	CD244	15.9155
CD247	9.4773	CD247	94.0462
CD248	1125.3517	CD248	2241.771
CD24	25262.4789	CD24	7212.3273
CD274	5.8087	CD274	36.7503
CD276	3256.8246	CD276	1463.3582
CD27	10.6665	CD27	57.1511
CD28	60.5324	CD28	56.1383
CD2AP	3049.5471	CD2AP	1409.2455
CD2BP2	799.1495	CD2BP2	1030.4565
CD2	55.0294	CD2	75.8157
CD300A	76.4298	CD300A	94.0462
CD300C	34.5462	CD300C	12.7324
CD300LB	14.0631	CD300LB	19.9667
CD300LF	23.8461	CD300LF	17.9411
CD300LG	84.0727	CD300LG	3026.55
CD302	1492.2145	CD302	3490.9007
CD320	112.1989	CD320	573.5369
CD33	55.3351	CD33	61.9258
CD34	2419.1545	CD34	6225.2767
CD36	7406.6544	CD36	49010.4898
CD37	147.968	CD37	130.2178
removed	removed	CD38	28.0692
CD3D	7.643	CD3D	29.8054
CD3EAP	280.0386	CD3EAP	364.9917
CD3E	37.6034	CD3E	83.3394
removed	removed	CD3G	13.6005
CD40LG	5.1972	CD40LG	17.6517
CD40	129.6249	CD40	553.5701
CD44	3505.3742	CD44	6061.7811
CD46	10150.4825	CD46	5051.5807
CD47	4026.6251	CD47	2558.0554
CD48	94.4672	CD48	118.0641
CD4	695.8165	CD4	919.3373
CD52	118.0075	CD52	85.365
CD53	639.8699	CD53	331.3318
CD55	4624.6115	CD55	1551.3275
CD58	295.6303	CD58	203.7184
CD59	9987.5343	CD59	14507.4152
CD5	6.4201	CD5	24.0179
CD63	5901.5998	CD63	8883.7445
CD68	2435.3576	CD68	1382.3338
CD69	310.9162	CD69	423.6418
CD6	24.7632	CD6	47.1678
CD70	40.6606	removed	removed
CD72	18.9546	CD72	15.3368
CD74	14134.0012	CD74	26080.3009
removed	removed	CD79A	80.735
removed	removed	CD79B	98.3867
removed	removed	CD7	31.831
CD80	31.7948	CD80	6.3662
CD81	7681.4958	CD81	16790.8558
CD82	475.6988	CD82	1026.984
CD83	512.3851	CD83	537.3653
CD84	171.8141	CD84	62.7939
CD86	216.1433	CD86	105.0423
CD8A	51.6665	CD8A	89.7056
CD8B	8.5601	CD8B	72.9219
CD93	2937.3482	CD93	6069.0154
CD96	55.0294	CD96	149.027
CD97	228.0664	CD97	740.7943
CD99L2	614.4952	CD99L2	2348.5495
CD99	1836.1484	CD99	3585.0394
CD9	11524.9952	CD9	2989.2209
CDADC1	186.1829	CDADC1	293.424
CDAN1	139.7136	CDAN1	346.3792
CDA	28.7376	CDA	29.516
CDC123	1714.7688	CDC123	690.047
CDC14A	120.759	CDC14A	434.6379
CDC14B	577.8089	CDC14B	1177.7472
CDC14C	10.3944	CDC14C	17.073
CDC16	1755.4386	CDC16	1547.2763
CDC20	352.1883	CDC20	30.9629
CDC23	985.6381	CDC23	776.6766
CDC25A	108.5302	CDC25A	24.8861
CDC25B	1021.4072	CDC25B	574.9837
CDC25C	61.7552	removed	removed
CDC26	83.2565	CDC26	106.1998
CDC27	2402.6457	CDC27	1696.0139
CDC34	213.0861	CDC34	579.9031
CDC37L1	398.3519	CDC37L1	479.2013
CDC37	832.4729	CDC37	2552.8467
CDC40	674.1104	CDC40	806.1926
CDC42BPA	2087.1437	CDC42BPA	2560.9491
CDC42BPB	2036.0886	CDC42BPB	4500.0362
CDC42BPG	199.9402	CDC42BPG	479.2013
CDC42EP1	803.7353	CDC42EP1	1392.4618
CDC42EP2	180.9857	CDC42EP2	813.1375
CDC42EP3	538.9826	CDC42EP3	1153.4399
CDC42EP4	1277.294	CDC42EP4	3037.8355
CDC42EP5	18.3431	CDC42EP5	72.9219
CDC42SE1	3276.1185	CDC42SE1	2326.5717
CDC42SE2	1059.0106	CDC42SE2	1304.7819
CDC42	5779.6179	CDC42	4702.5971
CDC45	138.4907	CDC45	9.2599
CDC5L	1654.857	CDC5L	1210.4464
CDC6	345.1568	CDC6	38.1972
CDC73	2116.4927	CDC73	1373.942
CDC7	609.298	CDC7	113.4341
CDCA2	72.1497	CDCA2	12.1537
CDCA3	212.6337	CDCA3	18.0424
CDCA4	344.2396	CDCA4	160.0231
CDCA5	500.1563	CDCA5	41.9591
CDCA7L	101.4987	CDCA7L	587.693
CDCA7	180.6799	CDCA7	86.2331
CDCA8	332.3166	CDCA8	40.5122
CDCP1	1750.2413	CDCP1	421.9055
CDH11	5024.4919	CDH11	772.9147
removed	removed	CDH12	12.7324
CDH13	531.3396	CDH13	976.3438
CDH19	7.9487	CDH19	11.8643
CDH1	9350.7216	CDH1	5169.3554
removed	removed	CDH20	226.2895
removed	removed	CDH22	25.1754
CDH23	46.4693	CDH23	927.4137
CDH24	50.7494	CDH24	111.9873
CDH26	184.6543	CDH26	10.7068
CDH2	93.8557	CDH2	5.7875
CDH3	260.4726	CDH3	1897.128
removed	removed	CDH4	9.2599
CDH5	1123.2116	CDH5	3992.1869
CDH6	78.5698	CDH6	123.5622
CDH7	29.9605	removed	removed
removed	removed	CDH8	26.0436
removed	removed	CDHR1	16.7836
CDHR3	6.4843	CDHR3	63.6157
CDIPT	1524.6207	CDIPT	1854.3008
CDK10	83.4613	CDK10	473.7032
CDK11A	37.3803	CDK11A	360.0839
CDK11B	176.3173	CDK11B	772.2318
CDK12	11567.1844	CDK12	1469.435
CDK13	1298.3886	CDK13	1274.3977
CDK14	1606.2477	CDK14	855.386
removed	removed	CDK15	15.9155
CDK16	1830.9511	CDK16	1783.1151
CDK17	1065.125	CDK17	821.24
CDK18	89.27	CDK18	285.6109
CDK19	746.2968	CDK19	795.8446
CDK1	2043.4259	CDK1	75.8157
CDK20	130.542	CDK20	125.2984
CDK2AP1	2738.3252	CDK2AP1	1547.5657
CDK2AP2	562.2173	CDK2AP2	428.2717
CDK2	1164.178	CDK2	447.3703
CDK3	37.047	CDK3	103.2251
CDK4	1712.3322	CDK4	1475.8012
CDK5R1	58.3923	CDK5R1	32.9885
CDK5RAP1	614.1895	CDK5RAP1	395.2832
CDK5RAP2	1413.0333	CDK5RAP2	1523.2583
CDK5RAP3	6562.5642	CDK5RAP3	1592.4184
CDK5	228.6778	CDK5	124.4303
CDK6	1938.87	CDK6	849.8879
CDK7	453.0756	CDK7	297.7646
CDK8	274.8414	CDK8	169.8618
CDK9	715.6882	CDK9	1119.8727
CDKAL1	417.0007	CDKAL1	313.6801
CDKL1	26.9033	CDKL1	42.5378
removed	removed	CDKL2	54.6915
CDKL3	34.5493	CDKL3	50.8168
CDKL5	76.124	CDKL5	131.954
CDKN1A	2623.3748	CDKN1A	5797.8731
CDKN1B	1932.4499	CDKN1B	1954.4238
CDKN1C	277.2871	CDKN1C	1302.4669
CDKN2AIPNL	324.3679	CDKN2AIPNL	282.4278
CDKN2AIP	481.5074	CDKN2AIP	556.1745
CDKN2A	94.7729	CDKN2A	25.7542
CDKN2BAS	9.4773	removed	removed
CDKN2B	1179.1582	CDKN2B	858.5691
CDKN2C	386.4288	CDKN2C	3085.582
CDKN2D	53.1951	CDKN2D	130.5071
CDKN3	312.7505	CDKN3	8.9706
CDNF	44.0235	CDNF	88.2587
CDO1	576.2803	CDO1	2498.734
CDON	656.9902	CDON	1217.6807
CDR1	291.2065	CDR1	210.429
CDR2L	647.5129	CDR2L	389.2064
CDR2	936.723	CDR2	537.0759
CDRT4	145.2165	CDRT4	257.6054
CDS1	2328.6617	CDS1	394.7045
CDS2	1061.1507	CDS2	982.1312
CDSN	7.3373	CDSN	26.9117
CDT1	55.9466	CDT1	25.1754
CDV3	3711.1231	CDV3	4918.4692
CDYL2	89.27	CDYL2	85.9437
CDYL	804.9582	CDYL	601.0273
CEACAM19	11.6173	CEACAM19	54.9808
CEACAM1	329.2594	CEACAM1	570.3538
CEACAM21	6.7258	CEACAM21	12.7324
CEACAM5	1954.1559	removed	removed
CEACAM6	5036.7207	CEACAM6	97.2293
CEACAM7	32.7119	CEACAM7	6.6556
CEBPA	455.5213	CEBPA	4304.4202
CEBPB	1434.4336	CEBPB	1497.2148
CEBPD	526.7539	CEBPD	918.4692
CEBPG	1074.2966	CEBPG	1124.2133
CEBPZ	2055.3489	CEBPZ	1523.2583
CECR1	693.3707	CECR1	950.0109
removed	removed	CECR2	111.1191
CECR5	840.4216	CECR5	456.9196
CECR6	11.3116	CECR6	19.388
CECR7	34.2405	CECR7	85.6543
CELF1	2216.7685	CELF1	2300.2243
CELF2	933.9716	CELF2	4005.2087
removed	removed	CELF4	6.9449
removed	removed	CELF5	21.9923
CELF6	27.5422	CELF6	76.597
removed	removed	CELP	29.8054
CELSR1	2739.548	CELSR1	1019.4603
CELSR2	291.0445	CELSR2	1269.4784
CELSR3	379.0702	CELSR3	39.6441
removed	removed	CEL	3060.4066
CEMP1	43.1064	CEMP1	119.6875
CENPA	296.2417	removed	removed
CENPBD1	178.2342	CENPBD1	269.6954
CENPB	1279.4341	CENPB	1609.7808
CENPC1	453.3813	CENPC1	736.4537
CENPE	718.134	CENPE	35.0141
CENPF	2573.5426	CENPF	183.173
CENPH	194.743	CENPH	84.4969
CENPI	112.5046	CENPI	15.9155
CENPJ	176.0941	CENPJ	275.1935
CENPK	75.8183	CENPK	8.6812
CENPL	174.8713	CENPL	90.2843
CENPM	52.278	removed	removed
CENPN	363.3593	CENPN	128.441
CENPO	97.2034	CENPO	52.3938
CENPP	98.1725	CENPP	28.8476
CENPQ	306.0247	CENPQ	142.3714
CENPT	87.4356	CENPT	489.3294
CENPV	98.7472	CENPV	109.0935
CENPW	68.1753	CENPW	55.2702
CEP110	535.314	CEP110	739.6368
CEP120	513.9137	CEP120	964.1901
CEP135	240.6009	CEP135	244.8094
CEP152	68.7868	CEP152	113.1448
CEP164	117.0904	CEP164	585.1118
CEP170	1405.696	CEP170	1184.4028
CEP192	992.6696	CEP192	721.4064
CEP250	249.4667	CEP250	827.0274
CEP290	708.7942	CEP290	607.2488
CEP350	2010.4082	CEP350	1913.0435
CEP55	535.6197	CEP55	28.3585
CEP57	751.1516	CEP57	1028.4309
CEP63	481.8132	CEP63	782.9965
CEP68	708.9624	CEP68	2445.5704
CEP70	468.6672	CEP70	331.6212
CEP72	23.2346	CEP72	68.292
CEP76	296.8532	CEP76	174.2024
CEP78	465.9158	CEP78	237.8644
CEP97	261.6955	CEP97	190.1179
CEPT1	978.3008	CEPT1	1134.9201
CERCAM	1778.3675	CERCAM	752.948
CERKL	43.7851	CERKL	37.06
CERK	841.6444	CERK	918.1798
CES1	452.7699	CES1	2995.8764
CES2	471.7244	CES2	1575.3454
CES3	5.1972	CES3	64.8195
removed	removed	CES4	20.5455
CES8	67.8696	CES8	59.3214
CETN2	2367.7937	CETN2	706.9377
CETN3	382.7602	CETN3	324.6763
removed	removed	CETN4P	8.6812
CETP	21.4003	CETP	238.7325
CFB	14782.578	CFB	878.0554
CFDP1	323.7564	CFDP1	715.9083
CFD	268.1156	CFD	5307.965
removed	removed	CFHR1	42.5378
removed	removed	CFH	1972.0755
CFI	376.3401	CFI	784.779
CFL1	16795.2852	CFL1	7153.5846
CFL2	503.8249	CFL2	1594.7334
CFLAR	645.6785	CFLAR	2300.5136
removed	removed	CFP	56.1383
removed	removed	CFTR	8.3918
CG030	33.3234	CG030	40.2228
removed	removed	CGB7	9.312
CGGBP1	3977.0986	CGGBP1	2750.2163
CGNL1	115.8675	CGNL1	908.0518
CGN	797.6209	CGN	821.5293
CGREF1	57.359	CGREF1	99.9031
CGRRF1	417.0007	CGRRF1	275.7723
CH25H	215.2262	CH25H	196.1947
CHAC1	40.6606	CHAC1	13.8899
CHAC2	85.2956	CHAC2	30.0948
CHADL	12.8402	CHADL	80.1765
CHAD	2176.967	CHAD	121.5366
CHAF1A	197.4945	CHAF1A	333.3574
CHAF1B	438.7068	CHAF1B	117.4854
CHCHD10	163.8654	CHCHD10	807.6394
CHCHD1	492.819	CHCHD1	289.9515
CHCHD2	2838.601	CHCHD2	2346.2345
CHCHD3	900.0368	CHCHD3	902.5537
CHCHD4	213.0861	CHCHD4	224.8427
CHCHD5	228.3721	CHCHD5	168.1256
CHCHD6	40.6606	CHCHD6	87.3906
CHCHD7	306.6362	CHCHD7	439.5573
CHCHD8	401.7148	CHCHD8	389.2064
CHD1L	674.1104	CHD1L	603.0529
CHD1	1110.0657	CHD1	1165.0148
CHD2	1346.3865	CHD2	3221.2978
CHD3	1763.9987	CHD3	3868.3354
CHD4	4436.8786	CHD4	5519.7106
CHD6	1572.6186	CHD6	2353.1795
CHD7	750.2344	CHD7	709.8314
CHD8	1919.3039	CHD8	2324.821
CHD9	1019.2672	CHD9	2502.4958
CHDH	149.4966	CHDH	453.7365
CHEK1	216.4491	CHEK1	89.1268
CHEK2	199.9402	CHEK2	106.4892
CHERP	797.1409	CHERP	1031.3333
CHFR	383.6774	CHFR	320.3357
removed	removed	CHGB	33.5672
CHI3L1	178.5399	CHI3L1	653.9825
CHI3L2	206.0546	CHI3L2	497.1424
CHIA	6.1144	CHIA	11.5749
CHIC1	255.8868	CHIC1	399.3344
CHIC2	255.5811	CHIC2	244.2306
CHID1	574.446	CHID1	1132.6051
CHIT1	191.9915	CHIT1	19.0986
CHKA	417.0007	CHKA	570.0644
CHKB-CPT1B	84.9746	CHKB-CPT1B	301.3673
CHKB	122.5628	CHKB	244.6763
CHL1	225.6206	CHL1	1369.8908
CHML	1444.5223	CHML	476.3076
CHMP1A	892.6995	CHMP1A	1388.7
CHMP1B	3186.2035	CHMP1B	1562.613
CHMP2A	545.4027	CHMP2A	1409.8242
CHMP2B	2538.3849	CHMP2B	1059.3938
CHMP4A	410.8619	CHMP4A	855.2847
CHMP4B	3553.9835	CHMP4B	2212.5443
CHMP4C	389.1803	CHMP4C	252.0437
CHMP5	1619.3936	CHMP5	1270.9426
CHMP6	173.9541	CHMP6	391.5214
CHMP7	431.6752	CHMP7	934.0953
CHM	1033.9417	CHM	794.0389
CHN1	280.3443	CHN1	212.9784
CHN2	80.4041	CHN2	118.3535
removed	removed	CHODL	33.5672
CHORDC1	563.4401	CHORDC1	315.9951
CHPF2	564.0516	CHPF2	754.6842
CHPF	1402.3331	CHPF	872.7483
CHPT1	1422.2048	CHPT1	1689.9371
CHP	4429.257	CHP	5566.6643
CHRAC1	1351.5837	CHRAC1	552.9914
CHRDL1	1310.006	CHRDL1	12253.7799
removed	removed	CHRDL2	298.3433
CHRD	50.1379	CHRD	200.8247
CHRFAM7A	32.7119	CHRFAM7A	46.7916
