gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
ACO1	1652.4112	ACO1	6169.4278
ACO2	1561.8114	ACO2	4620.3834
ACOT11	14.0631	ACOT11	33.4428
ACOT13	1166.2905	ACOT13	568.2066
ACOT1	451.8527	ACOT1	1527.0202
ACOT2	387.346	ACOT2	1217.3913
ACOT4	467.4444	ACOT4	147.8695
ACOT6	8.5601	ACOT6	17.9411
ACOT7	127.4848	ACOT7	180.5686
ACOT8	249.0326	ACOT8	196.6722
ACOT9	570.4717	ACOT9	482.0951
ACOX1	4471.1405	ACOX1	3607.6105
ACOX2	450.3241	ACOX2	488.4613
ACOX3	299.6046	ACOX3	588.2949
ACOXL	20.7889	removed	removed
ACP1	3106.4109	ACP1	980.6844
ACP2	1186.4955	ACP2	833.9724
ACP5	1049.5334	ACP5	359.1116
ACP6	195.9659	ACP6	204.8759
ACPL2	642.6214	ACPL2	281.2703
ACPP	94.7729	ACPP	32.9885
ACRBP	26.9033	ACRBP	19.6773
ACRC	13.1459	ACRC	33.2779
removed	removed	ACR	10.9962
ACSBG1	6.7258	ACSBG1	8.9706
ACSF2	2091.7875	ACSF2	1130.2901
ACSF3	125.6505	ACSF3	356.2179
ACSL1	7899.7792	ACSL1	44150.1845
ACSL3	6530.158	ACSL3	2414.8159
ACSL4	1421.8991	ACSL4	1957.8963
ACSL5	239.378	ACSL5	970.5563
ACSL6	5.1972	ACSL6	10.128
ACSM1	42.4949	ACSM1	35.8822
removed	removed	ACSM2A	17.9411
ACSM3	24.1579	ACSM3	103.1093
ACSM5	35.4634	ACSM5	692.4691
ACSS1	1898.2093	ACSS1	717.6445
ACSS2	1317.3432	ACSS2	6253.9246
ACSS3	395.9061	ACSS3	2178.3983
ACTA1	26.2918	removed	removed
ACTA2	8943.3908	ACTA2	20929.4278
removed	removed	ACTBL2	8.6812
ACTB	103526.5452	ACTB	69195.1096
ACTC1	31.7948	ACTC1	7.5237
ACTG1	76385.1173	ACTG1	43992.1869
ACTG2	573.2231	ACTG2	3341.3875
ACTL6A	1475.7057	ACTL6A	579.6137
ACTL8	37.9092	removed	removed
ACTN1	3669.5453	ACTN1	7996.8169
ACTN4	4628.1089	ACTN4	10073.0985
ACTR10	2625.8206	ACTR10	1071.258
ACTR1A	1928.7812	ACTR1A	2200.9694
ACTR1B	545.097	ACTR1B	1270.9253
ACTR2	11014.1387	ACTR2	4941.3297
ACTR3B	141.2422	ACTR3B	134.269
ACTR3C	93.8557	ACTR3C	34.146
ACTR3	7674.1586	ACTR3	2430.442
ACTR5	315.502	ACTR5	171.5981
ACTR6	1105.4799	ACTR6	553.2808
ACTR8	483.6475	ACTR8	550.6764
ACVR1B	1005.2041	ACVR1B	956.0877
ACVR1C	678.3905	ACVR1C	6217.1743
ACVR1	1601.6619	ACVR1	1579.1073
removed	removed	ACVR2A	582.5074
ACVR2B	300.2161	ACVR2B	458.3665
ACVRL1	326.5079	ACVRL1	1180.9303
ACY1	427.3952	ACY1	986.6917
ACY3	25.3747	ACY3	6.6556
ACYP1	46.1636	ACYP1	43.4059
ACYP2	121.0647	ACYP2	168.7043
ADAL	251.301	ADAL	274.036
ADAM10	2386.4426	ADAM10	1855.4583
removed	removed	ADAM11	17.9411
ADAM12	4691.8696	ADAM12	665.268
ADAM15	1553.0526	ADAM15	2773.6381
ADAM17	1158.9808	ADAM17	695.6522
ADAM19	486.0932	ADAM19	148.4482
ADAM21	17.7317	removed	removed
ADAM22	118.619	ADAM22	76.6838
ADAM23	37.9092	ADAM23	36.1716
ADAM28	40.0492	ADAM28	83.9181
removed	removed	ADAM32	6.0768
ADAM33	33.9348	ADAM33	825.3838
ADAM6	319.8127	ADAM6	33163.3625
ADAM8	220.4234	ADAM8	76.9732
ADAM9	6780.8476	ADAM9	1641.9012
ADAMDEC1	17.7317	removed	removed
ADAMTS10	54.1123	ADAMTS10	138.3202
ADAMTS12	249.7724	ADAMTS12	386.3127
ADAMTS13	10.0887	ADAMTS13	78.7094
ADAMTS14	104.8616	ADAMTS14	6.9449
ADAMTS15	21.0946	ADAMTS15	250.3075
ADAMTS16	1166.0123	ADAMTS16	95.2036
ADAMTS17	77.0412	ADAMTS17	24.3073
ADAMTS18	32.7119	ADAMTS18	63.662
ADAMTS19	64.5067	ADAMTS19	9.2599
ADAMTS1	2217.6857	ADAMTS1	8184.9092
ADAMTS2	911.3484	ADAMTS2	615.4959
ADAMTS3	82.2384	ADAMTS3	68.8707
ADAMTS4	833.0843	ADAMTS4	427.1142
ADAMTS5	1069.4051	ADAMTS5	3317.659
ADAMTS6	150.7195	ADAMTS6	25.7542
ADAMTS7	76.124	ADAMTS7	128.4815
removed	removed	ADAMTS8	25.1754
ADAMTS9	276.37	ADAMTS9	1055.3425
ADAMTSL1	88.9642	ADAMTSL1	767.9954
ADAMTSL2	71.5382	ADAMTSL2	32.1204
ADAMTSL3	193.8259	ADAMTSL3	279.2447
ADAMTSL4	317.9478	ADAMTSL4	1057.6575
ADAMTSL5	120.4533	ADAMTSL5	28.9373
ADAP1	24.1121	ADAP1	79.9306
ADAP2	222.5634	ADAP2	154.2357
ADARB1	499.2391	ADARB1	920.2055
removed	removed	ADARB2	9.2599
ADAR	9099.1149	ADAR	6691.4563
ADAT1	291.9617	ADAT1	282.4278
ADAT2	85.2956	ADAT2	150.7632
ADAT3	21.0946	ADAT3	14.1793
ADA	131.1535	ADA	96.9399
ADCK1	152.2481	ADCK1	138.6096
ADCK2	517.888	ADCK2	603.921
ADCK4	193.5201	ADCK4	461.5496
ADCK5	23.2346	ADCK5	64.5301
ADCY1	73.6783	ADCY1	336.8299
ADCY2	364.4171	ADCY2	149.6057
ADCY3	413.9588	ADCY3	1480.7032
ADCY4	131.7649	ADCY4	746.003
ADCY5	189.2401	ADCY5	697.3884
ADCY6	1292.58	ADCY6	4793.7495
ADCY7	466.2215	ADCY7	391.5214
ADCY9	832.1671	ADCY9	897.345
removed	removed	ADCYAP1R1	95.7824
ADCYAP1	45.8579	ADCYAP1	52.3765
