gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
EPHX1	3475.3566	EPHX1	952.5547
EPHX2	1059.4921	EPHX2	1464.7202
EPHX3	9.7414	EPHX3	12.571
EPHX4	12.9885	EPHX4	56.7721
EPM2AIP1	1085.4691	EPM2AIP1	1998.3779
EPM2A	108.5469	EPM2A	210.4623
EPN1	2401.9483	EPN1	1085.9692
EPN2	802.0411	EPN2	1290.3487
EPN3	616.9547	EPN3	351.5815
EPOR	30.6158	EPOR	117.9927
EPPK1	335.846	EPPK1	525.953
EPR1	167.6911	EPR1	21.9586
EPRS	2495.6512	EPRS	3771.6951
EPS15L1	2080.9463	EPS15L1	845.9043
EPS15	1519.1929	EPS15	1622.4655
EPS8L1	923.5765	EPS8L1	572.9927
EPS8L2	998.7243	EPS8L2	1598.5401
EPS8	525.5711	EPS8	1491.0787
EPSTI1	629.4793	EPSTI1	39.7405
EPT1	1534.4915	EPT1	1105.0162
EPYC	229.1546	removed	removed
ERAL1	1206.5406	ERAL1	876.7234
ERAP1	1100.0348	ERAP1	1804.0673
ERAP2	2941.8996	ERAP2	1617.5994
ERBB2IP	2222.4284	ERBB2IP	2645.1744
ERBB2	7116.3168	ERBB2	4873.4793
ERBB3	10531.3696	ERBB3	5568.9376
ERBB4	4361.823	ERBB4	773.3171
ERC1	1243.1868	ERC1	1734.3877
removed	removed	ERC2	8.9213
ERCC1	1521.4612	ERCC1	1057.0357
ERCC2	355.8158	ERCC2	375.3163
ERCC3	659.1673	ERCC3	1314.6796
ERCC4	210.1357	ERCC4	414.0308
ERCC5	1646.7587	ERCC5	2317.9238
ERCC6L	94.6306	ERCC6L	35.6853
ERCC6	268.4541	ERCC6	577.0641
ERCC8	141.4821	ERCC8	207.6237
ERF	903.166	ERF	1000.4055
ERGIC1	5805.4042	ERGIC1	3447.6886
ERGIC2	813.1741	ERGIC2	623.6821
ERGIC3	5557.2307	ERGIC3	4345.4988
ERG	523.2518	ERG	577.0479
ERH	3964.7454	ERH	1232.7656
ERI1	324.713	ERI1	323.601
ERI2	362.2034	ERI2	541.0178
ERI3	1181.4914	ERI3	753.0414
ERICH1	170.2424	ERICH1	350.7705
ERLEC1	1975.1827	ERLEC1	1467.9643
ERLIN1	671.692	ERLIN1	1216.9505
ERLIN2	1784.9936	ERLIN2	2235.6042
ERMAP	342.8041	ERMAP	573.3982
ERMN	54.7373	ERMN	10.5434
ERMP1	1205.1954	ERMP1	1116.1192
ERN1	40.8211	ERN1	395.7826
ERO1LB	195.7555	ERO1LB	474.4526
ERO1L	489.8527	ERO1L	398.2157
ERP27	175.345	ERP27	68.532
ERP29	4710.6575	ERP29	2584.7526
ERP44	1821.6398	ERP44	1376.3179
ERRFI1	1925.548	ERRFI1	11721.4112
ERVFRDE1	8.3498	removed	removed
ESAM	995.9411	ESAM	476.0746
ESCO1	533.9209	ESCO1	914.8418
ESCO2	46.8514	ESCO2	21.8978
ESD	2165.8356	ESD	2495.9448
ESF1	345.5874	ESF1	758.3131
ESM1	328.8879	ESM1	59.2052
ESPL1	118.7522	ESPL1	95.296
ESPNL	5.1026	removed	removed
ESPN	430.0128	ESPN	79.8865
ESR1	3531.9494	ESR1	1719.7891
ESR2	5.1026	ESR2	12.571
ESRP1	1066.4502	ESRP1	2037.7129
ESRP2	1739.5338	ESRP2	1053.528
ESRRA	584.4834	ESRRA	453.7713
removed	removed	ESRRB	7.7048
ESRRG	151.6873	ESRRG	342.6602
ESYT1	2696.5093	ESYT1	3302.5142
ESYT2	2446.4803	ESYT2	4074.6148
removed	removed	ESYT3	159.7729
ETAA1	366.4618	ETAA1	499.5945
ETF1	2008.5817	ETF1	3185.7259
ETFA	1036.7621	ETFA	821.1679
ETFB	1316.4792	ETFB	778.1833
ETFDH	248.6374	ETFDH	496.3504
ETHE1	420.2714	ETHE1	491.0787
ETNK1	1241.7952	ETNK1	1663.017
ETNK2	1027.0208	ETNK2	372.6683
ETS1	3318.5666	ETS1	2931.468
ETS2	1358.6919	ETS2	2123.2766
ETV1	436.9709	ETV1	1700.7299
ETV2	15.7718	ETV2	6.0827
removed	removed	ETV3L	120.438
ETV3	54.2735	ETV3	341.4436
ETV4	83.9615	ETV4	289.9432
ETV5	353.4733	ETV5	2471.6139
ETV6	1365.65	ETV6	4785.077
ETV7	226.3713	ETV7	19.8702
EVC2	103.9082	EVC2	249.3917
EVC	874.2387	EVC	1205.223
EVI2A	443.0013	EVI2A	127.7372
EVI2B	617.4185	EVI2B	328.8727
EVI5L	340.4848	EVI5L	204.7851
EVI5	269.0479	EVI5	420.9246
EVL	10641.772	EVL	1885.2393
EVPLL	7.422	removed	removed
EVPL	1083.1497	EVPL	597.7291
EWSR1	3816.7691	EWSR1	3971.2084
EXD2	1082.222	EXD2	1024.3309
EXD3	141.946	EXD3	237.6318
EXO1	47.3153	EXO1	38.1184
EXOC1	673.5475	EXOC1	1066.91
EXOC2	3454.9461	EXOC2	927.8183
EXOC3L2	108.5469	EXOC3L2	15.8151
EXOC3L	98.838	EXOC3L	49.8621
EXOC3	886.0026	EXOC3	1235.1987
EXOC4	1463.9917	EXOC4	1817.1127
EXOC5	1061.3476	EXOC5	1205.5961
EXOC6B	49.6347	EXOC6B	283.8605
EXOC6	732.4597	EXOC6	504.4607
EXOC7	3531.4856	EXOC7	3253.6375
EXOC8	479.6475	EXOC8	572.5872
EXOG	100.661	EXOG	117.1938
EXOSC10	1614.2874	EXOSC10	2242.9035
EXOSC1	497.2747	EXOSC1	265.2068
EXOSC2	330.7434	EXOSC2	667.8832
EXOSC3	689.3193	EXOSC3	258.7186
EXOSC4	500.9857	EXOSC4	197.4858
EXOSC5	483.3585	EXOSC5	456.6099
EXOSC6	452.2788	EXOSC6	242.498
EXOSC7	506.0884	EXOSC7	547.8508
EXOSC8	425.1606	EXOSC8	338.1468
EXOSC9	633.5939	EXOSC9	580.0324
EXPH5	137.7711	EXPH5	427.0073
EXT1	1034.9066	EXT1	1098.9457
EXT2	2082.8018	EXT2	1681.2652
EXTL1	22.266	EXTL1	171.1273
EXTL2	338.1654	EXTL2	529.6026
EXTL3	493.0998	EXTL3	990.2676
EYA1	127.5658	EYA1	10.9489
EYA2	119.2161	EYA2	1200.7299
EYA3	30.1519	EYA3	230.3325
EYA4	22.266	removed	removed
EYS	5.1026	EYS	18.2482
EZH1	581.2362	EZH1	1886.8613
EZH2	195.7555	EZH2	196.2693
EZR	3644.6712	EZR	3642.3358
F10	28.2964	F10	22.7088
F11R	3508.2918	F11R	2974.0633
F12	11.5969	F12	26.3585
F13A1	2754.4938	F13A1	45.0122
F2RL1	177.2005	F2RL1	467.9643
F2RL2	2757.277	F2RL2	61.6383
F2RL3	141.0182	F2RL3	60.8273
F2R	2940.5079	F2R	521.0868
F3	361.3592	F3	2036.9019
F5	66.7981	F5	8.9213
F7	289.4584	F7	6.0827
F8A1	173.4895	F8A1	54.7445
F8	386.8723	F8	502.0276
FA2H	245.3902	FA2H	180.8597
FAAH2	427.6934	FAAH2	174.3715
FAAH	899.4549	FAAH	285.8881
FABP3	72.8285	FABP3	311.03
FABP4	423.9824	FABP4	1248.9862
FABP5	152.1512	FABP5	38.9294
removed	removed	FABP7	240.4704
FADD	914.7628	FADD	458.232
FADS1	577.5252	FADS1	325.6285
FADS2	1961.2664	FADS2	370.6407
FADS3	341.8764	FADS3	141.1192
FAF1	960.2227	FAF1	1157.7453
FAF2	1910.2401	FAF2	1684.5093
FAHD1	848.4286	FAHD1	434.2985
FAHD2A	189.7252	FAHD2A	376.7234
FAHD2B	118.7522	FAHD2B	363.747
FAH	1038.6177	FAH	417.6805
FAIM2	24.1215	FAIM2	40.146
FAIM3	639.4665	FAIM3	150.6488
FAIM	330.2795	FAIM	241.2814
FAM100A	512.1188	FAM100A	266.4234
FAM100B	829.8736	FAM100B	441.6058
FAM101A	233.3295	FAM101A	165.4501
FAM101B	517.2214	FAM101B	250.2028
FAM102A	5560.9417	FAM102A	1842.6602
FAM102B	709.2659	FAM102B	1162.206
FAM103A1	585.2951	FAM103A1	370.1784
FAM104A	1034.4149	FAM104A	743.9416
FAM104B	369.245	FAM104B	206.8127
FAM105A	474.0809	FAM105A	239.6594
FAM105B	310.3328	FAM105B	563.6659
removed	removed	FAM106A	17.4371
removed	removed	FAM106C	9.3268
FAM107A	83.9615	FAM107A	430.2514
FAM107B	2863.9685	FAM107B	1272.1006
FAM108A1	654.0647	FAM108A1	260.7461
FAM108B1	166.9952	FAM108B1	483.7794
FAM108C1	603.9661	FAM108C1	583.1306
FAM109A	520.4685	FAM109A	255.4745
FAM109B	698.5968	FAM109B	216.545
FAM10A4	154.4706	FAM10A4	496.3504
FAM110A	895.7439	FAM110A	227.4939
FAM110B	369.7089	FAM110B	255.88
FAM110C	6.0304	FAM110C	20.2758
FAM111A	958.3672	FAM111A	1158.9619
FAM111B	224.052	FAM111B	132.1979
FAM113A	379.9142	FAM113A	478.5077
FAM113B	141.4821	FAM113B	239.2539
FAM114A1	728.7487	FAM114A1	431.468
FAM114A2	492.636	FAM114A2	475.6691
FAM115A	244.9264	FAM115A	705.5961
FAM115C	263.6391	FAM115C	1165.1014
FAM116A	421.1991	FAM116A	1525.1419
FAM116B	400.7886	FAM116B	193.8362
FAM117A	651.7453	FAM117A	778.5888
FAM117B	508.8716	FAM117B	522.7088
FAM118A	181.8393	FAM118A	459.4485
FAM118B	223.5881	FAM118B	168.2887
FAM119A	220.8048	FAM119A	187.3479
FAM119B	251.8845	FAM119B	695.0527
FAM120AOS	1608.8136	FAM120AOS	1030.7502
FAM120A	4823.2866	FAM120A	4084.8216
FAM120B	530.6738	FAM120B	1147.6075
FAM120C	326.5685	FAM120C	405.515
FAM122A	494.0276	FAM122A	1637.8751
FAM122B	849.8202	FAM122B	716.545
FAM122C	28.2964	FAM122C	38.1184
removed	removed	FAM123B	278.5888
FAM123C	5.5665	removed	removed
FAM124A	19.9467	FAM124A	42.9846
FAM124B	49.1708	FAM124B	67.3155
FAM125A	821.06	FAM125A	431.468
FAM125B	387.8001	FAM125B	491.4842
FAM126A	310.7967	FAM126A	2424.9797
FAM126B	354.401	FAM126B	647.2019
FAM127A	1937.6087	FAM127A	722.2222
FAM127B	1377.7108	FAM127B	642.3358
FAM127C	402.6441	FAM127C	390.9165
FAM128A	1195.8715	FAM128A	257.502
FAM128B	3659.5152	FAM128B	674.777
FAM129A	2997.1008	FAM129A	5600.5677
FAM129B	4465.7312	FAM129B	2919.3025
FAM129C	12.0608	removed	removed
FAM131A	293.6333	FAM131A	384.4282
FAM131B	56.5928	FAM131B	60.0162
removed	removed	FAM131C	15.0041
FAM133A	15.3079	FAM133A	10.9489
FAM133B	110.8663	FAM133B	190.9976
FAM134A	3393.7145	FAM134A	2675.9935
FAM134B	3599.2114	FAM134B	595.7015
FAM134C	4412.8494	FAM134C	1815.0852
FAM135A	112.7218	FAM135A	473.6415
FAM135B	6.4943	removed	removed
FAM136A	948.1619	FAM136A	800.0811
FAM13AOS	14.8719	FAM13AOS	91.0219
FAM13A	165.1119	FAM13A	1780.8354
FAM13B	632.9908	FAM13B	2268.9538
FAM13C	81.5818	FAM13C	302.3885
FAM149A	32.4713	FAM149A	83.5361
FAM149B1	393.8305	FAM149B1	610.7056
removed	removed	FAM150B	299.6756
FAM151B	26.4409	FAM151B	16.6261
FAM154B	18.555	FAM154B	36.4964
FAM155A	132.2046	FAM155A	6.8938
FAM155B	49.6347	FAM155B	27.575
FAM156A	285.7474	FAM156A	716.1395
removed	removed	FAM157A	121.6545
FAM158A	242.1431	FAM158A	63.2603
FAM159A	14.3801	removed	removed
FAM160A1	34.3268	FAM160A1	316.7072
FAM160A2	671.692	FAM160A2	1192.6196
FAM160B1	640.1484	FAM160B1	909.5702
FAM160B2	1119.332	FAM160B2	1200.7299
FAM161A	35.2546	FAM161A	149.635
FAM161B	61.6955	FAM161B	394.0511
FAM162A	1433.8397	FAM162A	458.232
FAM162B	30.1519	FAM162B	13.7875
FAM164A	110.4024	FAM164A	868.2076
FAM164C	66.7981	FAM164C	79.8865
FAM165B	433.7238	FAM165B	364.1525
FAM166B	27.8325	FAM166B	31.6302
FAM167A	88.6003	FAM167A	223.8443
FAM167B	96.95	FAM167B	36.4964
FAM168A	112.7218	FAM168A	362.1249
FAM168B	1510.8431	FAM168B	3877.94
FAM169A	41.2849	FAM169A	204.3796
removed	removed	FAM171A1	1029.1971
FAM171A2	112.2579	FAM171A2	15.0041
FAM171B	165.1397	FAM171B	409.1646
FAM172A	374.3477	FAM172A	953.7713
FAM173A	257.9149	FAM173A	45.4177
removed	removed	FAM173B	159.7729
FAM174A	449.4955	FAM174A	265.2068
FAM174B	2484.0543	FAM174B	949.7161
FAM175A	188.0598	FAM175A	490.3082
FAM175B	489.8527	FAM175B	630.9813
FAM176A	129.8852	FAM176A	115.9773
FAM176B	627.2759	FAM176B	59.1484
FAM177A1	1335.962	FAM177A1	806.5693
FAM178A	721.3267	FAM178A	1087.1857
FAM178B	5.1026	FAM178B	9.3268
FAM179B	323.3213	FAM179B	1139.4972
FAM180A	51.9541	FAM180A	125.3041
FAM180B	5.1026	removed	removed
FAM181B	6.9581	FAM181B	22.7088
FAM182B	37.5739	FAM182B	46.2287
FAM183A	21.3383	removed	removed
FAM184A	11.133	FAM184A	234.7932
FAM184B	15.1038	FAM184B	95.7705
FAM185A	92.3113	FAM185A	150.0406
removed	removed	FAM186A	8.5158
FAM186B	12.9885	FAM186B	35.6853
FAM188A	415.1687	FAM188A	598.9457
FAM188B	47.7792	FAM188B	352.6075
FAM189A1	93.239	removed	removed
FAM189A2	64.9426	FAM189A2	2297.2425
FAM189B	718.0796	FAM189B	540.146
FAM18A	19.1998	FAM18A	28.9659
FAM18B2	184.9055	FAM18B2	343.5929
FAM18B	523.2518	FAM18B	717.7616
FAM190A	29.688	FAM190A	173.5604
FAM190B	930.9985	FAM190B	2145.1744
FAM192A	2504.4648	FAM192A	1238.0373
FAM193A	827.5542	FAM193A	1302.9197
FAM193B	603.9661	FAM193B	1230.738
FAM195A	569.1755	FAM195A	137.4696
FAM195B	1623.101	FAM195B	879.9676
FAM196A	110.8663	removed	removed
removed	removed	FAM196B	991.4842
FAM198A	170.7063	FAM198A	166.2612
FAM198B	5967.7606	FAM198B	7726.2774
FAM199X	447.1762	FAM199X	603.0008
FAM19A2	14.3801	FAM19A2	19.0592
FAM19A3	6.0304	FAM19A3	15.4096
FAM19A5	647.5705	FAM19A5	54.7445
FAM200A	287.6029	FAM200A	279.3998
FAM200B	509.7994	FAM200B	547.4453
FAM20A	181.3754	FAM20A	161.395
FAM20B	1457.0335	FAM20B	2158.5564
FAM20C	1288.6466	FAM20C	710.8678
FAM21A	238.896	FAM21A	479.3187
FAM21B	688.8554	FAM21B	818.3293
FAM21C	1143.9174	FAM21C	1969.5864
FAM22A	115.9689	FAM22A	65.6934
FAM22D	113.1857	FAM22D	130.9813
FAM24B	41.271	FAM24B	46.8289
FAM26E	280.1809	FAM26E	34.8743
FAM26F	188.7974	FAM26F	47.0397
removed	removed	FAM27A	7.2993
removed	removed	FAM27B	5.2717
removed	removed	FAM27C	19.8702
FAM32A	2266.0327	FAM32A	1167.8832
FAM35A	717.1518	FAM35A	762.7737
FAM35B2	60.7677	FAM35B2	70.1541
removed	removed	FAM35B	241.6869
FAM36A	1399.2764	FAM36A	696.2206
FAM38A	3243.3863	FAM38A	1993.8686
FAM38B	982.9526	FAM38B	13.382
FAM3A	718.5434	FAM3A	435.5231
FAM3B	43.6043	FAM3B	1004.4607
FAM3C	1129.0734	FAM3C	912.4088
removed	removed	FAM3D	453.7713
FAM40A	613.2437	FAM40A	821.9789
FAM40B	23.6577	FAM40B	16.6261
FAM41C	13.4524	FAM41C	19.4647
FAM43A	155.3984	FAM43A	151.6626
FAM43B	45.9237	removed	removed
FAM45A	375.2754	FAM45A	389.2944
FAM45B	85.817	FAM45B	178.8321
FAM46A	703.6994	FAM46A	319.1403
FAM46B	159.5732	FAM46B	2457.0154
FAM46C	493.0998	FAM46C	513.7875
FAM47E	57.7154	FAM47E	241.253
FAM48A	826.8398	FAM48A	1465.1784
FAM49A	49.6347	FAM49A	161.395
FAM49B	1263.1335	FAM49B	707.6237
FAM50A	2039.6614	FAM50A	360.5028
FAM50B	155.3984	FAM50B	173.5604
FAM53A	34.7907	FAM53A	33.2522
FAM53B	1028.9366	FAM53B	622.3723
FAM53C	1115.1571	FAM53C	1839.8216
FAM54A	22.266	FAM54A	10.9489
FAM54B	1060.3734	FAM54B	986.2409
FAM55C	1593.413	FAM55C	530.8191
FAM57A	333.5266	FAM57A	217.7616
FAM57B	14.844	removed	removed
FAM58A	437.8986	FAM58A	169.5053
FAM59A	21.3383	FAM59A	187.7534
FAM5B	64.9426	FAM5B	20.2758
removed	removed	FAM5C	8.5158
FAM60A	742.665	FAM60A	2412.8143
FAM63A	1296.5325	FAM63A	761.5572
FAM63B	89.528	FAM63B	575.0203
FAM64A	53.3457	FAM64A	19.8702
FAM65A	1433.8397	FAM65A	941.6058
FAM65B	133.1323	FAM65B	191.8086
FAM65C	114.5773	FAM65C	20.2758
removed	removed	FAM66A	15.4096
FAM66C	30.1519	FAM66C	73.8037
FAM66D	7.4406	FAM66D	14.5985
FAM69A	422.1269	FAM69A	239.2539
FAM69B	390.8616	FAM69B	226.3585
FAM69C	25.977	FAM69C	15.4096
FAM70A	57.5206	FAM70A	384.8337
FAM70B	64.0148	FAM70B	16.2206
FAM71D	30.6158	FAM71D	19.8702
FAM71E1	137.1495	FAM71E1	55.3771
FAM71F2	8.3498	FAM71F2	8.1103
FAM72A	11.133	removed	removed
FAM72B	64.4787	FAM72B	12.9765
FAM72D	34.7907	FAM72D	6.0827
removed	removed	FAM73A	997.9724
FAM73B	326.5685	FAM73B	394.5661
FAM76A	262.5536	FAM76A	364.9635
FAM76B	280.1809	FAM76B	563.6659
FAM78A	228.2268	FAM78A	92.8629
FAM78B	13.9163	FAM78B	25.5474
removed	removed	FAM7A2	8.9213
FAM7A3	6.9581	FAM7A3	16.2206
FAM81A	20.8744	FAM81A	67.721
FAM81B	42.6766	removed	removed
FAM82A1	70.0452	FAM82A1	137.4696
FAM82A2	947.698	FAM82A2	867.8021
FAM82B	661.4867	FAM82B	810.219
removed	removed	FAM83A	7.2993
FAM83B	66.3342	FAM83B	241.2814
FAM83D	80.2505	FAM83D	30.8191
FAM83E	249.5651	FAM83E	28.7916
FAM83F	107.6192	FAM83F	244.5255
FAM83G	36.9291	FAM83G	147.1857
FAM83H	2947.4661	FAM83H	1270.884
FAM84A	73.2924	FAM84A	336.5775
FAM84B	1399.0491	FAM84B	2200.7299
FAM86A	689.3193	FAM86A	286.0949
FAM86B1	96.4861	FAM86B1	259.5296
removed	removed	FAM86B2	49.8783
FAM86C	218.0216	FAM86C	149.635
FAM86D	138.6988	FAM86D	415.6529
FAM89A	98.3416	FAM89A	85.1582
FAM89B	1628.6675	FAM89B	516.6261
FAM8A1	1435.6952	FAM8A1	1784.6715
FAM90A1	27.3687	FAM90A1	12.9765
FAM91A1	816.4212	FAM91A1	1133.82
FAM92A1	58.4483	FAM92A1	111.1111
FAM95B1	9.7414	FAM95B1	45.0122
FAM96A	928.6791	FAM96A	414.8418
FAM96B	932.854	FAM96B	347.9319
FAM98A	1072.0167	FAM98A	621.249
FAM98B	411.9216	FAM98B	361.3139
FAM98C	398.4692	FAM98C	277.7778
FANCA	94.6909	FANCA	151.0422
FANCB	12.5246	FANCB	24.7364
FANCC	268.1201	FANCC	319.5458
FANCD2	80.2505	FANCD2	319.1322
FANCE	45.9237	FANCE	217.356
FANCF	880.436	FANCF	441.6058
FANCG	302.9108	FANCG	303.7307
FANCI	705.643	FANCI	378.3414
FANCL	396.3354	FANCL	536.399
FANCM	125.2464	FANCM	404.2985
FANK1	227.763	FANK1	103.0008
FAP	2015.5398	FAP	57.1776
FAR1	982.0248	FAR1	1378.751
FAR2	88.6003	FAR2	26.3585
FARP1	3094.9785	FARP1	2568.532
FARP2	327.4962	FARP2	452.5547
FARS2	236.1127	FARS2	243.7145
FARSA	1593.413	FARSA	886.4558
FARSB	1017.2794	FARSB	1166.2612
FASLG	19.9467	removed	removed
FASN	7844.1378	FASN	6265.6123
FASTKD1	338.1654	FASTKD1	329.6837
FASTKD2	846.5731	FASTKD2	1441.2003
FASTKD3	160.0371	FASTKD3	174.777
FASTKD5	377.5948	FASTKD5	435.7015
FASTK	1518.2651	FASTK	727.4939
FAS	359.9675	FAS	468.7753
FAT1	2060.5358	FAT1	8633.0089
FAT2	67.7258	FAT2	4412.0032
FAT3	38.5017	FAT3	60.8273
FAT4	232.4017	FAT4	403.0819
FAU	9566.0443	FAU	6745.3366
FBF1	121.5354	FBF1	164.9959
FBLIM1	1631.4508	FBLIM1	1300.8921
FBLL1	43.1404	FBLL1	9.7324
FBLN1	6386.1765	FBLN1	1187.7534
FBLN2	7007.7699	FBLN2	467.5588
FBLN5	1755.3056	FBLN5	846.7153
FBLN7	366.4618	FBLN7	127.7372
FBL	3007.306	FBL	5559.2052
FBN1	12470.8338	FBN1	1009.3268
FBN2	36.1823	FBN2	20.2758
removed	removed	FBN3	29.1971
FBP1	3605.2418	FBP1	461.0706
FBRSL1	697.2051	FBRSL1	613.5442
FBRS	2284.5877	FBRS	1346.3098
FBXL12	308.0135	FBXL12	428.6294
FBXL13	9.7414	FBXL13	16.2206
FBXL14	740.8095	FBXL14	650.0406
FBXL15	219.8771	FBXL15	79.0754
FBXL16	610.4604	FBXL16	231.1436
FBXL17	391.5111	FBXL17	759.1241
FBXL18	183.2309	FBXL18	245.7421
FBXL19	538.0958	FBXL19	304.9473
FBXL20	104.8359	FBXL20	219.3836
FBXL22	40.6077	FBXL22	202.5385
FBXL2	202.2498	FBXL2	257.502
FBXL3	840.5427	FBXL3	1997.5669
FBXL4	98.3416	FBXL4	519.4647
FBXL5	2580.0765	FBXL5	3001.6221
FBXL6	459.4086	FBXL6	201.1354
FBXL7	584.0195	FBXL7	369.0187
FBXL8	210.0522	FBXL8	71.103
FBXO10	158.6919	FBXO10	197.5101
FBXO11	1689.4352	FBXO11	1856.0422
removed	removed	FBXO15	30.4136
FBXO16	175.8089	FBXO16	47.8508
FBXO17	120.6077	FBXO17	225.4663
FBXO18	1377.7108	FBXO18	1572.2141
FBXO21	1207.0045	FBXO21	1625.3041
FBXO22OS	131.5737	FBXO22OS	37.9643
FBXO22	537.7989	FBXO22	425.5393
FBXO24	11.3835	FBXO24	14.6067
FBXO25	605.8216	FBXO25	495.5393
FBXO27	38.5017	FBXO27	134.631
FBXO28	807.1437	FBXO28	1471.6139
FBXO2	290.3862	FBXO2	374.2903
FBXO30	247.2457	FBXO30	630.5758
FBXO31	611.852	FBXO31	929.8459
FBXO32	523.2518	FBXO32	4279.8054
FBXO33	266.7285	FBXO33	224.6553
FBXO34	631.3348	FBXO34	1138.2806
FBXO36	253.74	FBXO36	195.0527
FBXO38	627.6238	FBXO38	1084.3471
FBXO39	11.133	FBXO39	6.4882
FBXO3	644.7872	FBXO3	984.9959
FBXO41	146.1208	FBXO41	203.974
FBXO42	447.64	FBXO42	678.0211
FBXO43	19.9467	removed	removed
FBXO44	373.8838	FBXO44	523.9254
FBXO45	525.5711	FBXO45	417.2749
FBXO46	834.0485	FBXO46	486.618
FBXO48	20.8744	FBXO48	40.957
FBXO4	328.8879	FBXO4	245.7421
FBXO5	108.083	FBXO5	210.0568
FBXO6	668.4449	FBXO6	146.7964
FBXO7	1608.7209	FBXO7	2108.2725
FBXO8	528.3544	FBXO8	498.8889
FBXO9	787.197	FBXO9	1226.2774
FBXW11	786.2693	FBXW11	1555.5556
FBXW2	1430.1287	FBXW2	1572.1817
FBXW4	2584.7153	FBXW4	1480.1298
FBXW5	1746.0281	FBXW5	963.0981
FBXW7	330.2795	FBXW7	1372.6683
FBXW8	502.8412	FBXW8	825.223
FBXW9	247.6447	FBXW9	307.8143
FCER1A	43.6043	FCER1A	38.1184
FCER1G	834.0485	FCER1G	116.7883
FCER2	8.3498	FCER2	10.1379
FCF1	581.7001	FCF1	985.807
FCGBP	65.4065	FCGBP	311.03
FCGR1A	223.5742	FCGR1A	21.2855
FCGR1B	167.923	FCGR1B	27.575
FCGR1C	68.6536	removed	removed
removed	removed	FCGR2A	266.0178
FCGR2B	75.6117	FCGR2B	13.7875
FCGR2C	26.4409	FCGR2C	13.382
FCGR3A	2287.8349	FCGR3A	593.2685
FCGR3B	7.422	removed	removed
FCGRT	2190.421	FCGRT	2188.159
FCHO1	37.1101	FCHO1	115.1663
FCHO2	524.6434	FCHO2	1173.5604
FCHSD1	300.3178	FCHSD1	465.9813
FCHSD2	581.8671	FCHSD2	878.9173
FCN1	23.6577	removed	removed
FCN2	31.5435	removed	removed
FCN3	38.5017	FCN3	23.1144
removed	removed	FCRL2	5.2717
FCRL3	18.555	FCRL3	7.2993
FCRL4	5.1026	removed	removed
FCRL5	17.6273	FCRL5	53.528
FCRL6	15.7718	FCRL6	57.1776
FCRLA	19.4828	FCRLA	7.2993
FCRLB	66.3342	FCRLB	8.9213
FDFT1	2595.8483	FDFT1	2414.8418
FDPS	1571.5876	FDPS	1194.4444
FDX1L	283.7156	FDX1L	134.6148
FDX1	379.4503	FDX1	313.8686
FDXACB1	104.3952	FDXACB1	81.9343
FDXR	394.2943	FDXR	136.253
FECH	645.2511	FECH	746.5531
FEM1A	1370.2888	FEM1A	1273.7226
FEM1B	2624.1447	FEM1B	4341.4436
FEM1C	871.1585	FEM1C	1181.2652
FEN1	761.22	FEN1	382.8062
FER1L4	5.5665	FER1L4	50.6894
removed	removed	FER1L5	15.0041
FERMT1	32.4713	FERMT1	547.8508
FERMT2	1091.4995	FERMT2	1691.4031
FERMT3	413.3132	FERMT3	144.7689
FER	24.1215	FER	120.8435
FES	201.7859	FES	293.9984
removed	removed	FETUB	6.0827
FEZ1	166.9952	FEZ1	150.0406
FEZ2	738.954	FEZ2	710.0568
removed	removed	FEZF2	28.3861
FFAR2	344.6596	removed	removed
FGD1	527.4266	FGD1	362.9359
FGD2	91.8474	FGD2	51.5004
FGD3	853.9951	FGD3	186.1314
FGD4	207.3524	FGD4	639.4972
FGD5	512.5826	FGD5	450.9327
FGD6	1723.2982	FGD6	627.3317
removed	removed	FGF10	9.7324
FGF11	68.6536	FGF11	120.0324
FGF12	26.9048	FGF12	77.0479
FGF13	281.1087	FGF13	132.6034
FGF14	354.401	FGF14	431.8735
removed	removed	FGF17	6.4882
FGF18	24.5854	removed	removed
FGF1	448.1039	FGF1	3125.7097
FGF2	104.5112	FGF2	829.6837
FGF7	103.4443	FGF7	168.6942
removed	removed	FGF9	20.6813
removed	removed	FGFBP1	68.532
removed	removed	FGFBP2	12.9765
FGFBP3	70.5091	FGFBP3	70.9651
FGFR1OP2	430.4766	FGFR1OP2	718.9781
FGFR1OP	218.6849	FGFR1OP	173.7348
FGFR1	2381.5377	FGFR1	4772.5061
FGFR2	1174.0693	FGFR2	3592.8629
FGFR3	1062.7392	FGFR3	81.914
FGFR4	144.7292	FGFR4	64.0714
FGFRL1	518.613	FGFRL1	387.6723
FGGY	133.5962	FGGY	182.4818
FGL2	968.1085	FGL2	704.3796
FGR	117.8244	FGR	72.1817
FHAD1	47.3153	FHAD1	21.8978
FHDC1	342.3403	FHDC1	358.4753
FHIT	23.1938	FHIT	120.438
FHL1	860.4894	FHL1	971.6139
FHL2	622.985	FHL2	1446.472
FHL3	599.7913	FHL3	565.6934
FHL5	51.4902	FHL5	43.3901
FHOD1	709.7298	FHOD1	347.1208
FHOD3	375.7393	FHOD3	1286.6991
FH	1316.4792	FH	1010.1379
FIBCD1	10.6691	removed	removed
