gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
ACOT4	676.7946	ACOT4	36.4964
ACOT7	409.1384	ACOT7	139.9027
ACOT8	264.6086	ACOT8	206.8532
ACOT9	468.0506	ACOT9	261.1517
ACOX1	1503.4211	ACOX1	1356.0422
ACOX2	73.7562	ACOX2	261.9627
ACOX3	871.6224	ACOX3	886.4558
ACP1	1741.8532	ACP1	1500
ACP2	1953.3805	ACP2	534.0633
ACP5	916.1545	ACP5	324.8175
ACP6	254.6677	ACP6	332.1168
ACPL2	407.2828	ACPL2	388.0779
ACPP	38.5017	ACPP	12.1655
ACRBP	27.3687	ACRBP	10.5434
ACRC	20.4105	ACRC	17.8427
ACR	13.9163	ACR	12.571
removed	removed	ACSBG1	11.3544
ACSF2	1287.7189	ACSF2	790.8151
ACSF3	506.0884	ACSF3	435.9286
ACSL1	1125.3624	ACSL1	925.7908
ACSL3	2450.6552	ACSL3	4992.2952
ACSL4	912.4435	ACSL4	1016.6261
ACSL5	469.9061	ACSL5	764.3958
ACSL6	7.422	ACSL6	9.3268
ACSM1	36.6462	ACSM1	62.4493
ACSM3	90.0754	ACSM3	276.9059
ACSM5	8.3498	ACSM5	21.0868
ACSS1	1658.8194	ACSS1	1129.3593
ACSS2	974.1389	ACSS2	1035.6853
ACSS3	71.9007	ACSS3	175.588
ACTA1	55.2012	removed	removed
ACTA2	14703.6205	ACTA2	43476.0665
ACTB	110127.3339	ACTB	61624.8986
ACTG1	80946.3064	ACTG1	50492.2952
ACTG2	930.5346	ACTG2	5523.5199
ACTL6A	995.0133	ACTL6A	862.5304
ACTN1	6893.6565	ACTN1	9197.0803
ACTN4	12872.3878	ACTN4	11350.3163
ACTR10	908.2686	ACTR10	1157.3398
ACTR1A	4130.8129	ACTR1A	1357.2587
ACTR1B	818.2767	ACTR1B	1355.6367
ACTR2	6886.6984	ACTR2	4093.2685
ACTR3B	133.1323	ACTR3B	536.9019
ACTR3C	67.7258	ACTR3C	48.6618
ACTR3	3729.5605	ACTR3	2597.7291
ACTR5	226.3713	ACTR5	304.5418
ACTR6	500.9857	ACTR6	819.9513
ACTR8	364.6063	ACTR8	603.8118
ACVR1B	1690.363	ACVR1B	1278.1833
removed	removed	ACVR1C	38.5239
ACVR1	1168.9667	ACVR1	1165.8556
ACVR2A	423.9824	ACVR2A	1052.717
ACVR2B	132.6684	ACVR2B	418.897
ACVRL1	630.8709	ACVRL1	219.7891
ACY1	615.0992	ACY1	653.2928
ACY3	6.4943	ACY3	44.6067
ACYP1	182.767	ACYP1	82.3195
ACYP2	233.7933	ACYP2	158.9619
ADAL	191.1168	ADAL	157.7453
ADAM10	773.2808	ADAM10	1912.8143
ADAM11	8.8136	ADAM11	51.5004
ADAM12	4273.2228	ADAM12	189.3755
ADAM15	3080.5984	ADAM15	1961.8816
ADAM17	446.2484	ADAM17	932.279
ADAM19	471.2977	ADAM19	49.8783
ADAM22	18.0912	ADAM22	84.3471
ADAM23	57.5206	ADAM23	7.2993
ADAM28	61.2316	ADAM28	81.914
removed	removed	ADAM32	92.8629
ADAM33	69.1175	ADAM33	290.3487
ADAM6	17025.7637	ADAM6	35367.3317
ADAM8	461.0924	ADAM8	83.9416
ADAM9	873.9418	ADAM9	1223.4388
ADAMDEC1	94.1668	removed	removed
ADAMTS10	103.9082	ADAMTS10	145.5799
ADAMTS12	305.6941	ADAMTS12	54.339
ADAMTS13	39.4294	ADAMTS13	95.296
ADAMTS14	288.9945	ADAMTS14	6.0827
ADAMTS15	192.5084	ADAMTS15	302.1087
ADAMTS16	642.9317	ADAMTS16	257.0965
ADAMTS17	39.8933	ADAMTS17	104.2174
ADAMTS18	17.1634	ADAMTS18	220.1946
ADAMTS1	656.848	ADAMTS1	1366.5856
ADAMTS2	729.6764	ADAMTS2	196.2693
ADAMTS3	25.0493	ADAMTS3	89.2133
ADAMTS4	401.7163	ADAMTS4	19.0592
ADAMTS5	277.8615	ADAMTS5	5454.5823
ADAMTS6	106.2275	ADAMTS6	9.7324
ADAMTS7	246.318	ADAMTS7	44.6067
ADAMTS8	24.1215	ADAMTS8	63.2603
ADAMTS9	261.162	ADAMTS9	925.3852
ADAMTSL1	85.817	ADAMTSL1	122.871
ADAMTSL2	308.9412	ADAMTSL2	31.6302
ADAMTSL3	67.7258	ADAMTSL3	69.3431
ADAMTSL4	68.6536	ADAMTSL4	311.03
ADAMTSL5	237.0405	ADAMTSL5	22.7088
ADAP1	542.8041	ADAP1	89.9473
ADAP2	338.1654	ADAP2	119.2214
ADARB1	542.2707	ADARB1	709.2457
removed	removed	ADARB2	23.5199
ADAR	9509.4515	ADAR	7008.1103
ADAT1	179.9838	ADAT1	331.3058
ADAT2	38.9656	ADAT2	293.5929
ADAT3	45.9237	ADAT3	18.2482
ADA	142.8737	ADA	57.9886
ADCK1	276.9338	ADCK1	171.1273
ADCK2	1104.488	ADCK2	621.249
ADCK4	742.2011	ADCK4	538.9294
ADCK5	117.8244	ADCK5	114.7607
ADCY1	1409.7182	ADCY1	923.3577
ADCY2	64.0148	ADCY2	144.7689
ADCY3	774.5425	ADCY3	1087.1533
ADCY4	185.5503	ADCY4	260.7461
removed	removed	ADCY5	497.5669
ADCY6	986.6636	ADCY6	1717.356
ADCY7	525.1073	ADCY7	616.3828
ADCY9	1358.6919	ADCY9	673.9659
removed	removed	ADCYAP1R1	10.9489
