gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
ACOT13	1267.9457	ACOT13	582.5207
ACOT1	4055.2511	ACOT1	521.8604
ACOT2	2242.5635	ACOT2	360.0837
ACOT4	1988.3193	ACOT4	210.7513
ACOT6	441.7635	removed	removed
ACOT7	274.9518	ACOT7	234.4358
ACOT8	542.7134	ACOT8	242.1031
ACOT9	468.9903	ACOT9	379.3524
ACOX1	1678.989	ACOX1	1615.5635
ACOX2	459.0199	ACOX2	248.4859
ACOX3	301.4116	ACOX3	733.4146
ACP1	1428.8289	ACP1	1296.6225
ACP2	2179.29	ACP2	917.2701
ACP5	755.8298	ACP5	684.8415
ACP6	720.5501	ACP6	412.2697
ACPL2	587.1007	ACPL2	437.1585
ACPP	34.8963	ACPP	50.5803
ACRBP	23.392	ACRBP	12.0429
ACRC	11.5043	ACRC	14.853
removed	removed	ACSBG1	14.0501
removed	removed	ACSBG2	7.6272
ACSF2	2043.5398	ACSF2	812.898
ACSF3	461.7042	ACSF3	309.5034
ACSL1	340.1426	ACSL1	1329.9412
ACSL3	4113.1559	ACSL3	3694.3704
ACSL4	335.1574	ACSL4	1129.2257
ACSL5	1424.6107	ACSL5	606.161
removed	removed	ACSL6	7.2258
ACSM1	40.2649	ACSM1	90.322
ACSM3	101.5328	ACSM3	177.3804
removed	removed	ACSM5	41.3474
ACSS1	1767.8211	ACSS1	1121.1971
ACSS2	1257.032	ACSS2	1135.6486
ACSS3	268.4327	ACSS3	413.0726
ACTA1	117.3434	removed	removed
ACTA2	6700.4406	ACTA2	34192.2313
removed	removed	ACTBL2	15.6558
ACTB	108171.4748	ACTB	91412.6862
removed	removed	ACTC1	14.0501
ACTG1	74757.356	ACTG1	82248.0142
ACTG2	1065.6778	ACTG2	6832.3574
ACTL6A	1118.9809	ACTL6A	1031.6779
ACTL8	6.5191	removed	removed
ACTN1	5353.315	ACTN1	10470.126
ACTN2	432.9436	removed	removed
ACTN4	11316.8081	ACTN4	11304.6892
ACTR10	1826.8762	ACTR10	1203.089
ACTR1A	3140.2791	ACTR1A	2524.6002
ACTR1B	1151.5763	ACTR1B	1508.1766
ACTR2	5065.325	ACTR2	5270.3889
ACTR3B	113.1252	ACTR3B	190.6798
ACTR3C	82.4472	ACTR3C	65.0318
ACTR3	2838.484	ACTR3	3317.8281
ACTR5	323.6531	ACTR5	226.0057
ACTR6	560.2574	ACTR6	724.5831
ACTR8	565.2426	ACTR8	513.8318
ACVR1B	1398.5344	ACVR1B	1127.62
removed	removed	ACVR1C	25.2902
ACVR1	834.4422	ACVR1	1057.3695
ACVR2A	417.2211	ACVR2A	627.0354
ACVR2B	238.1382	ACVR2B	514.2332
ACVRL1	345.5112	ACVRL1	422.3055
ACY1	1845.6665	ACY1	611.3796
ACY3	6.5191	ACY3	27.2973
ACYP1	80.5298	ACYP1	59.8132
ACYP2	62.8899	ACYP2	186.6655
ADAL	148.7884	ADAL	244.4715
ADAM10	549.9036	ADAM10	1989.894
ADAM11	12.2712	ADAM11	15.2544
ADAM12	1619.7996	ADAM12	143.7123
ADAM15	7837.51	ADAM15	2394.1351
ADAM17	446.3652	ADAM17	979.0905
ADAM19	332.8565	ADAM19	80.6877
ADAM21	6.1356	ADAM21	5.62
ADAM22	13.8051	ADAM22	34.5231
ADAM23	26.0763	ADAM23	14.0501
ADAM28	42.5658	ADAM28	135.2823
