gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
C19orf76	27.6102	C19orf76	60.6161
removed	removed	C19orf77	9.2329
C1D	141.8859	C1D	233.2315
C1GALT1C1	610.4927	C1GALT1C1	658.347
C1GALT1	44.0997	C1GALT1	228.4143
C1QA	1136.2373	C1QA	684.0386
C1QBP	3639.9704	C1QBP	1562.129
C1QB	1061.8431	C1QB	839.3924
C1QC	949.8683	C1QC	707.723
C1QL1	9.5869	C1QL1	30.1073
removed	removed	C1QL2	16.0572
removed	removed	C1QL3	19.2687
removed	removed	C1QL4	12.8458
C1QTNF1	393.8291	C1QTNF1	478.9073
C1QTNF2	17.2564	C1QTNF2	19.6701
C1QTNF3	242.3564	C1QTNF3	173.0168
removed	removed	C1QTNF4	9.2329
C1QTNF6	1114.7626	C1QTNF6	249.2887
C1QTNF7	32.2119	C1QTNF7	34.9245
removed	removed	C1QTNF9B	15.3588
removed	removed	C1QTNF9	30.4485
C1RL	1253.6075	C1RL	1397.6386
C1R	5639.771	C1R	3994.6409
C1S	8178.7608	C1S	4254.3668
C1orf101	10.3538	C1orf101	19.6701
C1orf103	851.6986	C1orf103	580.8708
C1orf104	91.9229	C1orf104	43.3144
C1orf106	83.5976	C1orf106	186.264
C1orf107	620.0795	C1orf107	716.5545
C1orf109	301.0281	C1orf109	417.4883
C1orf112	224.9274	C1orf112	133.1467
C1orf113	355.8766	C1orf113	208.1501
C1orf115	2493.7398	C1orf115	1506.1695
C1orf116	1529.2994	C1orf116	1105.1398
C1orf122	879.6118	C1orf122	325.1592
C1orf123	651.141	C1orf123	543.9391
C1orf124	249.6424	C1orf124	288.2275
C1orf126	14.1311	C1orf126	104.5608
C1orf128	834.0587	C1orf128	1064.5953
C1orf130	27.6102	C1orf130	567.2221
C1orf131	412.6194	C1orf131	190.6798
C1orf133	30.2945	C1orf133	79.0819
C1orf135	46.4005	C1orf135	30.1073
C1orf144	2329.6123	C1orf144	3357.1683
C1orf151	963.4126	C1orf151	870.3026
removed	removed	C1orf152	14.4515
C1orf156	291.0577	C1orf156	236.8444
C1orf159	144.1867	C1orf159	146.9238
C1orf162	203.6254	C1orf162	128.8594
C1orf163	278.0196	C1orf163	240.0558
removed	removed	C1orf168	146.1209
C1orf170	109.2905	C1orf170	27.6987
C1orf172	636.9524	C1orf172	547.1506
C1orf173	11.5043	C1orf173	128.0565
C1orf174	401.4986	C1orf174	500.986
removed	removed	C1orf175	92.4014
C1orf182	15.339	removed	removed
C1orf183	17.6399	C1orf183	94.7377
C1orf186	9.9704	removed	removed
C1orf190	43.7622	C1orf190	54.3257
C1orf192	94.7184	C1orf192	30.9102
C1orf194	23.392	removed	removed
C1orf198	2429.6994	C1orf198	2125.1763
C1orf201	106.9896	C1orf201	224.8014
C1orf203	228.2138	C1orf203	148.5576
C1orf204	17.3216	C1orf204	48.6334
C1orf210	319.8184	C1orf210	283.4104
C1orf212	482.7954	C1orf212	572.0393
C1orf213	57.6708	C1orf213	47.0076
C1orf216	380.024	C1orf216	447.9971
C1orf21	1461.4243	C1orf21	3488.8377
C1orf220	13.8051	C1orf220	18.4658
C1orf226	66.3412	C1orf226	1651.0861
C1orf228	18.4068	C1orf228	23.6844
C1orf229	13.4216	C1orf229	10.4372
C1orf230	51.3857	removed	removed
C1orf25	879.6923	C1orf25	568.025
C1orf26	224.333	C1orf26	194.6941
C1orf27	1033.0824	C1orf27	740.239
C1orf31	576.7468	C1orf31	184.2569
C1orf35	798.3955	C1orf35	158.5653
C1orf38	161.4431	C1orf38	126.8522
C1orf43	5292.3424	C1orf43	3952.0892
C1orf50	154.5405	C1orf50	130.8665
C1orf51	475.5094	C1orf51	73.8633
C1orf52	314.0663	C1orf52	325.1592
C1orf53	20.3242	C1orf53	19.2687
C1orf54	78.9959	C1orf54	57.0032
C1orf55	418.3715	C1orf55	735.8232
C1orf56	594.82	C1orf56	173.9963
C1orf57	733.2047	C1orf57	513.8318
C1orf58	166.7772	C1orf58	457.6315
C1orf59	232.7695	C1orf59	338.005
removed	removed	C1orf61	44.5589
C1orf63	277.2526	C1orf63	505.4018
C1orf64	2813.1747	C1orf64	671.5942
C1orf66	1407.3543	C1orf66	688.4543
C1orf69	175.6317	C1orf69	249.6901
C1orf74	212.0618	C1orf74	144.9166
C1orf77	2438.5193	C1orf77	1404.206
C1orf83	190.2037	C1orf83	188.6726
C1orf84	14.0045	C1orf84	8.0126
C1orf85	2004.8088	C1orf85	710.1316
C1orf86	401.8284	C1orf86	295.4051
C1orf88	210.5279	C1orf88	316.3277
C1orf89	50.6187	C1orf89	55.7989
C1orf91	221.875	C1orf91	166.9953
C1orf93	1212.4031	C1orf93	891.2212
removed	removed	C1orf95	41.7488
C1orf96	164.5109	C1orf96	413.0726
C1orf97	230.8521	C1orf97	94.3363
C1orf9	1222.5192	C1orf9	1848.9917
C20orf103	337.4582	C20orf103	44.1574
C20orf108	9267.4472	C20orf108	5532.122
C20orf111	730.9039	C20orf111	936.9402
C20orf112	779.6053	C20orf112	1022.445
C20orf114	1563.0453	C20orf114	148.1281
C20orf117	336.3078	C20orf117	386.1767
C20orf118	12.9653	C20orf118	7.8038
C20orf11	1955.7239	C20orf11	2394.1351
C20orf12	138.4346	C20orf12	162.981
C20orf132	27.9937	C20orf132	25.2902
C20orf134	34.5128	C20orf134	25.2902
C20orf135	167.5787	C20orf135	58.2075
C20orf151	209.3775	C20orf151	72.659
C20orf160	185.2186	C20orf160	116.0136
C20orf177	87.0489	C20orf177	272.1703
C20orf194	421.8228	C20orf194	800.0522
removed	removed	C20orf195	7.6272
C20orf196	35.2797	C20orf196	71.8562
removed	removed	C20orf197	6.8243
C20orf199	1393.9327	C20orf199	2317.4618
removed	removed	C20orf202	8.8315
removed	removed	C20orf203	6.8243
C20orf20	437.5453	C20orf20	228.4143
C20orf24	1365.1068	C20orf24	902.0358
C20orf26	8.053	removed	removed
C20orf27	979.3959	C20orf27	356.0694
C20orf29	182.5342	C20orf29	221.1885
C20orf30	3103.082	C20orf30	2494.4929
C20orf3	4405.3641	C20orf3	3647.8044
C20orf43	2584.2399	C20orf43	2204.6596
C20orf46	8.4365	C20orf46	18.8673
C20orf4	1749.7977	C20orf4	1447.5606
C20orf54	1074.1143	C20orf54	144.5152
C20orf72	1105.5592	C20orf72	608.971
C20orf7	192.5046	C20orf7	118.0207
C20orf85	9.9704	removed	removed
C20orf94	21.4746	C20orf94	41.3474
C20orf96	389.6109	C20orf96	342.8222
C21orf119	140.7354	C21orf119	97.9492
C21orf122	45.6336	C21orf122	34.1216
C21orf130	16.106	C21orf130	12.0429
C21orf15	18.7903	C21orf15	12.8458
removed	removed	C21orf29	5.2186
C21orf2	472.825	C21orf2	362.0909
C21orf33	3376.4999	C21orf33	1774.7269
C21orf34	30.2945	C21orf34	102.3649
C21orf45	587.4841	C21orf45	181.4469
C21orf49	6.5191	C21orf49	13.6487
C21orf56	292.2082	C21orf56	87.1105
C21orf57	71.7099	C21orf57	151.741
C21orf58	104.6888	C21orf58	39.7417
C21orf59	1785.9709	C21orf59	729.4926
C21orf63	278.7865	C21orf63	520.2547
C21orf67	137.2842	C21orf67	66.2361
C21orf70	209.3775	C21orf70	79.8848
C21orf7	59.4387	C21orf7	64.229
C21orf81	11.5043	removed	removed
C21orf82	8.8199	C21orf82	5.2186
removed	removed	C21orf88	16.4587
C21orf91	412.6194	C21orf91	716.5545
C22orf13	2558.5471	C22orf13	2457.5893
C22orf23	9.5869	C22orf23	95.1392
C22orf25	268.0492	C22orf25	416.2841
C22orf26	6.5191	C22orf26	10.4372
C22orf27	247.3416	C22orf27	139.698
C22orf28	1343.3139	C22orf28	2223.1254
C22orf29	558.8155	C22orf29	934.6962
C22orf30	580.5816	C22orf30	1152.5087
C22orf32	730.1369	C22orf32	1026.0579
C22orf36	592.8528	C22orf36	285.4175
C22orf39	308.3141	C22orf39	657.1427
C22orf40	153.3901	C22orf40	138.8952
C22orf46	558.7235	C22orf46	540.7277
C22orf9	1634.7551	C22orf9	1786.3684
C2CD2L	730.2712	C2CD2L	309.4311
C2CD2	541.8506	C2CD2	834.1738
C2CD3	725.5352	C2CD3	854.2454
C2CD4A	10.3538	C2CD4A	19.2687
C2CD4B	11.8877	C2CD4B	18.4658
removed	removed	C2CD4C	5.62
C2CD4D	14.9555	C2CD4D	14.4515
C2orf15	151.5724	C2orf15	119.2491
C2orf16	54.07	C2orf16	66.6376
C2orf18	2575.0365	C2orf18	1517.4096
C2orf24	1902.4209	C2orf24	1303.4468
C2orf27A	16.8729	C2orf27A	26.4945
C2orf28	3522.4736	C2orf28	2150.912
C2orf29	1282.3413	C2orf29	1011.6064
C2orf34	113.5087	C2orf34	84.702
removed	removed	C2orf39	5.62
C2orf3	421.0559	C2orf3	448.3985
C2orf40	16.8729	C2orf40	1159.7345
C2orf42	248.492	C2orf42	301.0733
C2orf43	72.0934	C2orf43	344.8293
C2orf44	184.4516	C2orf44	255.3102
C2orf47	541.4441	C2orf47	349.2451
C2orf49	133.8329	C2orf49	136.888
C2orf50	15.339	C2orf50	10.0358
C2orf52	8.4365	removed	removed
C2orf54	676.8339	C2orf54	13.2472
C2orf55	450.5835	C2orf55	398.2197
C2orf56	300.2611	C2orf56	196.7012
removed	removed	C2orf58	14.853
C2orf60	156.4809	C2orf60	256.5145
C2orf62	16.4894	removed	removed
C2orf63	54.837	C2orf63	126.8522
C2orf64	588.2511	C2orf64	562.405
C2orf65	31.8284	C2orf65	13.2472
C2orf67	377.2016	C2orf67	460.6542
C2orf68	874.3236	C2orf68	955.8075
C2orf69	290.2908	C2orf69	496.9717
C2orf72	3573.9896	C2orf72	331.9835
removed	removed	C2orf73	14.4515
C2orf74	438.6957	C2orf74	348.0408
C2orf76	94.7184	C2orf76	70.6519
C2orf77	213.2123	C2orf77	189.074
C2orf79	348.579	C2orf79	306.2919
C2orf7	282.6213	C2orf7	271.7689
C2orf81	171.1795	C2orf81	116.2103
C2orf82	13.4216	C2orf82	94.3363
C2orf86	35.6632	C2orf86	94.7377
C2orf88	19.9407	C2orf88	196.7012
C2orf89	14.5721	C2orf89	11.6415
C2	9873.9593	C2	162.1782
C3AR1	176.3986	C3AR1	169.0025
C3orf10	6380.2618	C3orf10	3935.6305
C3orf14	1798.1156	C3orf14	726.9917
C3orf15	85.1315	C3orf15	175.8268
C3orf17	1055.324	C3orf17	1089.0826
C3orf18	117.3434	C3orf18	236.4429
C3orf19	686.0373	C3orf19	420.6998
C3orf1	2156.665	C3orf1	1143.6772
C3orf21	567.1599	C3orf21	180.644
C3orf23	595.9206	C3orf23	430.3341
C3orf24	6.6073	removed	removed
C3orf26	489.3145	C3orf26	338.4064
C3orf31	223.1826	C3orf31	174.6225
removed	removed	C3orf32	7.2258
C3orf33	152.2397	C3orf33	174.6225
C3orf34	144.5702	C3orf34	83.4977
removed	removed	C3orf35	6.4229
C3orf36	5.3687	removed	removed
C3orf37	1092.9046	C3orf37	1040.108
C3orf38	565.626	C3orf38	468.446
C3orf39	954.0865	C3orf39	631.4511
C3orf42	9.2034	C3orf42	18.4658
C3orf47	15.7225	C3orf47	24.8887
C3orf52	459.7869	C3orf52	270.966
C3orf54	17.2564	C3orf54	67.039
removed	removed	C3orf55	15.2544
C3orf57	1035.7667	C3orf57	217.9771
C3orf58	161.0596	C3orf58	905.2271
C3orf59	133.0659	C3orf59	292.2418
C3orf62	160.2927	C3orf62	174.6225
C3orf63	1606.6962	C3orf63	2066.5071
C3orf64	182.9177	C3orf64	1287.3895
C3orf67	146.1041	C3orf67	25.6916
C3orf70	689.4886	C3orf70	119.6265
C3orf71	57.2183	C3orf71	27.2973
C3orf75	731.2874	C3orf75	392.1982
C3	7668.3552	C3	7495.1201
C4A	155066.9049	C4A	38848.0894
removed	removed	C4BPA	78.2791
removed	removed	C4BPB	5.2186
C4orf10	388.0616	C4orf10	334.5406
C4orf12	7.6695	C4orf12	35.3259
C4orf14	656.8932	C4orf14	733.0132
C4orf19	273.6671	C4orf19	72.093
C4orf21	63.6569	C4orf21	83.0962
C4orf23	286.8395	C4orf23	289.8333
C4orf27	452.1174	C4orf27	389.7896
C4orf29	87.0489	C4orf29	93.5334
C4orf31	54.07	C4orf31	149.3324
C4orf32	784.9739	C4orf32	1697.6521
C4orf33	531.8802	C4orf33	328.7721
C4orf34	1333.727	C4orf34	1402.1988
C4orf36	10.7373	C4orf36	28.5016
C4orf38	29.5276	C4orf38	14.0501
C4orf39	6.1356	C4orf39	38.136
C4orf3	2306.2204	C4orf3	3946.4692
C4orf41	535.3315	C4orf41	1027.6636
C4orf42	706.7449	C4orf42	327.1663
C4orf43	446.7487	C4orf43	463.2515
C4orf46	116.96	C4orf46	180.644
C4orf47	11.1208	C4orf47	14.4515
C4orf48	37.5806	C4orf48	8.4301
removed	removed	C4orf49	57.4046
C4orf52	242.3564	C4orf52	419.4955
C4orf7	9.2034	C4orf7	654.3327
C5AR1	103.9218	C5AR1	59.8132
C5orf13	1397.3839	C5orf13	582.4765
C5orf15	1142.7563	C5orf15	2392.1279
C5orf20	13.4216	removed	removed
C5orf22	325.187	C5orf22	627.0354
C5orf23	138.8181	C5orf23	58.6089
C5orf24	446.7487	C5orf24	1607.7316
C5orf25	52.9196	C5orf25	214.3642
removed	removed	C5orf27	8.4301
C5orf28	161.4431	C5orf28	391.3953
C5orf30	1014.2921	C5orf30	519.4518
C5orf32	436.0114	C5orf32	793.6293
C5orf33	877.7749	C5orf33	1064.5953
C5orf34	36.4302	C5orf34	45.3617
C5orf35	83.5976	C5orf35	179.4397
C5orf36	55.2204	C5orf36	91.5263
C5orf38	67.8751	C5orf38	55.7989
C5orf39	44.4831	C5orf39	30.9102
C5orf41	128.8477	C5orf41	659.1499
C5orf42	189.0533	C5orf42	536.312
C5orf43	1288.8604	C5orf43	1431.1019
C5orf44	307.854	C5orf44	513.0129
C5orf45	112.1934	C5orf45	220.6867
C5orf46	47.1675	C5orf46	36.9317
C5orf49	50.6187	C5orf49	40.1431
C5orf4	78.229	C5orf4	1274.9452
C5orf51	837.8935	C5orf51	955.8075
C5orf53	172.5639	C5orf53	539.122
C5orf54	128.4642	C5orf54	168.6011
C5orf55	86.2819	C5orf55	100.7592
C5orf56	65.6356	C5orf56	57.8221
C5orf58	16.8729	removed	removed
C5orf62	283.0048	C5orf62	468.0687
C5	204.0089	C5	275.3817
C6orf105	31.0615	C6orf105	140.9023
C6orf106	4539.9639	C6orf106	2825.6735
C6orf108	873.5567	C6orf108	144.1138
C6orf114	5.7521	removed	removed
C6orf115	517.3082	C6orf115	454.8214
C6orf120	858.8543	C6orf120	1237.0742
C6orf122	6.1356	C6orf122	17.1853
removed	removed	C6orf123	12.0429
removed	removed	C6orf124	27.2973
C6orf125	2286.1646	C6orf125	540.7237
C6orf126	101.2375	C6orf126	5.62
C6orf127	13.8051	removed	removed
C6orf129	482.7954	C6orf129	106.3792
C6orf130	1045.6451	C6orf130	568.7877
C6orf132	836.3596	C6orf132	166.5939
C6orf134	593.6197	C6orf134	317.1306
C6orf136	382.3249	C6orf136	147.7266
removed	removed	C6orf138	10.4372
C6orf141	215.1296	C6orf141	34.5231
C6orf145	436.7783	C6orf145	815.3066
removed	removed	C6orf147	7.8399
C6orf150	18.4068	C6orf150	30.5088
C6orf153	1545.0219	C6orf153	602.9495
C6orf154	63.2734	C6orf154	25.6916
C6orf155	25.6928	C6orf155	128.8594
C6orf15	19.9407	C6orf15	48.5732
C6orf162	74.3674	C6orf162	154.1214
C6orf163	6.9026	C6orf163	14.4515
C6orf164	10.3807	C6orf164	9.261
C6orf165	70.6592	C6orf165	55.3975
C6orf167	100.087	C6orf167	237.6472
C6orf168	22.2416	C6orf168	320.342
C6orf170	36.8136	C6orf170	157.361
C6orf174	7.8843	C6orf174	118.8236
C6orf182	85.1315	C6orf182	111.1964
C6orf192	339.7591	C6orf192	456.4272
C6orf1	905.7686	C6orf1	309.1019
C6orf201	42.9876	C6orf201	11.6455
C6orf203	372.738	C6orf203	265.7474
C6orf204	10.7373	C6orf204	33.7202
C6orf211	584.0329	C6orf211	2469.6041
removed	removed	C6orf217	13.6487
C6orf225	214.3627	C6orf225	222.3928
C6orf226	198.2567	C6orf226	57.0032
C6orf26	28.2123	C6orf26	25.6916
removed	removed	C6orf27	82.2934
C6orf35	315.2167	C6orf35	545.1434
C6orf41	8.4365	C6orf41	10.4372
C6orf47	2342.267	C6orf47	570.0322
C6orf48	2456.5427	C6orf48	1521.8253
C6orf52	26.4598	C6orf52	11.6415
C6orf57	59.8221	C6orf57	84.3005
removed	removed	C6orf59	11.2401
C6orf62	6576.8082	C6orf62	3608.42
C6orf64	2912.8783	C6orf64	805.2708
C6orf70	297.1933	C6orf70	437.5599
C6orf72	477.4267	C6orf72	862.274
C6orf81	6.5191	C6orf81	6.0215
C6orf89	3403.7266	C6orf89	3505.6978
C6orf97	187.5194	C6orf97	932.123
removed	removed	C6	5.62
C7orf10	87.4324	C7orf10	31.7131
C7orf11	550.6705	C7orf11	335.5964
C7orf13	8.4365	C7orf13	97.9492
C7orf23	387.9734	C7orf23	296.4167
C7orf25	499.7373	C7orf25	382.5638
C7orf26	640.7872	C7orf26	566.8207
C7orf27	1318.388	C7orf27	711.3359
C7orf28A	1327.208	C7orf28A	1038.9037
C7orf28B	374.2719	C7orf28B	338.8078
C7orf29	137.2842	C7orf29	147.3252
C7orf30	443.6809	C7orf30	280.1989
C7orf31	133.8329	C7orf31	103.1678
C7orf36	333.24	C7orf36	227.6114
C7orf40	328.6383	C7orf40	304.2848
C7orf41	1125.8834	C7orf41	1944.9337
C7orf42	5385.1434	C7orf42	3543.0309
C7orf43	394.2126	C7orf43	268.5574
C7orf44	1087.1524	C7orf44	680.4257
C7orf46	84.748	C7orf46	156.1567
C7orf47	543.001	C7orf47	109.1893
C7orf49	987.7595	C7orf49	496.4739
C7orf50	2050.4423	C7orf50	709.7302
removed	removed	C7orf51	18.0644
C7orf53	17.2564	C7orf53	10.8386
C7orf54	5.7521	removed	removed
C7orf55	276.1022	C7orf55	209.9846
C7orf58	56.3709	C7orf58	148.9309
C7orf59	1311.8689	C7orf59	821.328
C7orf60	276.4857	C7orf60	400.2268
removed	removed	C7orf61	15.6558
C7orf63	93.9514	C7orf63	242.063
C7orf64	247.725	C7orf64	288.629
C7orf68	1205.6463	C7orf68	258.5216
C7orf70	612.41	C7orf70	456.0257
C7	92.4175	C7	416.2841
C8orf30A	2046.2241	C8orf30A	417.8898
C8orf31	13.4216	removed	removed
C8orf33	1788.1452	C8orf33	1316.694
C8orf34	8.4365	C8orf34	5.2186
C8orf37	187.1359	C8orf37	118.8236
C8orf38	466.3059	C8orf38	283.0089
C8orf39	6.5191	C8orf39	6.8243
C8orf40	938.7475	C8orf40	666.3756
C8orf41	164.1504	C8orf41	344.0746
C8orf42	164.8944	C8orf42	686.8486
C8orf44	56.762	C8orf44	40.9901
C8orf45	60.5891	C8orf45	74.2648
C8orf46	49.8518	C8orf46	22.0787
C8orf47	20.3242	C8orf47	21.6773
C8orf48	9.9704	C8orf48	51.3832
C8orf4	380.791	C8orf4	1052.1509
C8orf51	135.7503	C8orf51	56.2004
C8orf55	1917.7599	C8orf55	637.874
C8orf58	147.638	C8orf58	250.8944
C8orf59	1191.1586	C8orf59	589.3811
C8orf73	31.0615	C8orf73	48.1717
C8orf76	426.4245	C8orf76	250.8944
C8orf77	11.1208	removed	removed
C8orf79	23.7755	C8orf79	840.9982
C8orf83	1106.7097	C8orf83	799.6508
C8orf84	61.7395	C8orf84	602.9495
C8orf85	147.2545	C8orf85	422.707
C8orf86	6.1356	removed	removed
C9orf100	241.2788	C9orf100	39.7015
C9orf102	37.1281	C9orf102	125.8446
C9orf103	143.8032	C9orf103	110.3936
C9orf109	20.7077	C9orf109	29.7059
C9orf110	68.6421	C9orf110	203.5256
C9orf114	501.0258	C9orf114	546.416
C9orf116	110.0574	C9orf116	85.5048
C9orf117	20.3242	C9orf117	9.6343
C9orf119	322.1192	C9orf119	308.7005
C9orf122	31.0615	C9orf122	40.946
C9orf123	920.3407	C9orf123	709.7302
C9orf125	23.7755	C9orf125	154.1495
C9orf129	25.8194	C9orf129	98.5513
C9orf130	81.4195	C9orf130	225.0623
C9orf140	278.4031	C9orf140	145.7195
C9orf142	418.755	C9orf142	211.5542
C9orf150	399.9647	C9orf150	649.1141
C9orf152	487.7806	C9orf152	749.4719
C9orf156	213.2123	C9orf156	324.3563
C9orf163	9.9704	C9orf163	18.4658
C9orf167	69.0256	C9orf167	69.4476
C9orf169	23.8675	removed	removed
C9orf16	605.5075	C9orf16	513.4304
C9orf21	47.9344	C9orf21	195.4969
C9orf23	949.8683	C9orf23	461.6458
removed	removed	C9orf24	6.0215
C9orf25	348.579	C9orf25	366.908
C9orf30	180.8239	C9orf30	178.8536
C9orf37	123.8625	C9orf37	112.8021
C9orf3	826.0901	C9orf3	440.1853
C9orf40	64.0404	C9orf40	132.0708
C9orf41	46.4005	C9orf41	184.6583
removed	removed	C9orf43	13.2472
C9orf45	42.5658	C9orf45	304.6862
C9orf46	1161.1632	C9orf46	476.9001
C9orf47	5.3763	C9orf47	34.9767
C9orf5	569.0773	C9orf5	2800.3834
C9orf64	261.1467	C9orf64	460.8429
C9orf66	121.1782	C9orf66	44.5589
C9orf68	104.6888	C9orf68	172.2139
C9orf69	674.9165	C9orf69	572.8422
C9orf6	347.0451	C9orf6	509.8175
C9orf72	131.9155	C9orf72	288.2275
C9orf78	1489.8015	C9orf78	1322.7155
C9orf7	977.862	C9orf7	627.4368
C9orf80	234.6869	C9orf80	380.1553
C9orf82	449.433	C9orf82	517.4447
C9orf85	118.4939	C9orf85	142.9095
C9orf86	873.9402	C9orf86	1178.2003
C9orf89	319.0514	C9orf89	270.5646
C9orf91	1125.8834	C9orf91	963.4346
C9orf93	85.1315	C9orf93	100.7592
C9orf95	228.1678	C9orf95	346.435
C9orf96	22.625	C9orf96	17.663
C9orf98	94.7184	C9orf98	91.9277
C9orf9	129.2312	C9orf9	232.83
CA11	41.4153	CA11	279.396
CA12	4871.67	CA12	5790.2422
CA13	39.1145	CA13	168.1836
CA14	159.1422	CA14	10.0358
CA2	58.6717	CA2	380.9581
CA3	6.1356	CA3	569.6468
removed	removed	CA4	44.9603
CA5BP	320.9688	CA5BP	214.7656
CA5B	548.5039	CA5B	379.9064
removed	removed	CA6	8.0286
CA8	52.9196	CA8	560.7992
CA9	16.3092	removed	removed
CAB39L	553.3548	CAB39L	2594.8506
CAB39	1985.2515	CAB39	2174.1508
CABC1	508.4729	CABC1	979.7287
CABIN1	866.2707	CABIN1	1602.1115
CABLES1	474.7424	CABLES1	928.5101
CABLES2	315.2167	CABLES2	226.0057
CABP4	14.5721	CABP4	28.2045
CABP7	7.5506	CABP7	5.2868
CABYR	53.6865	CABYR	211.9556
CACHD1	106.2227	CACHD1	1196.6661
CACNA1A	13.4216	CACNA1A	16.4587
CACNA1C	208.6106	CACNA1C	454.42
CACNA1D	1194.5255	CACNA1D	329.1735
CACNA1F	147.638	CACNA1F	30.9102
CACNA1G	23.0085	CACNA1G	12.4444
CACNA1H	1394.3161	CACNA1H	76.2719
CACNA1I	6.1356	CACNA1I	21.2758
removed	removed	CACNA2D1	150.1352
CACNA2D2	337.0748	CACNA2D2	301.0733
removed	removed	CACNA2D3	6.0215
CACNA2D4	17.2564	CACNA2D4	55.7989
CACNB1	36.0467	CACNB1	133.2751
CACNB2	15.339	CACNB2	48.9746
CACNB3	1151.9598	CACNB3	443.9828
CACNB4	21.8581	CACNB4	235.6401
CACNG4	2506.7779	CACNG4	738.6332
removed	removed	CACNG6	6.4229
CACYBP	1723.7214	CACYBP	1158.9316
CADM1	1983.3342	CADM1	1120.3942
CADM2	57.9048	CADM2	15.6558
CADM3	45.6336	CADM3	250.5211
CADM4	1978.7325	CADM4	785.6007
CADPS2	933.7623	CADPS2	1374.0987
CADPS	8.8199	removed	removed
CAD	1033.0824	CAD	1365.2672
CALB2	21.8581	CALB2	68.2433
CALCOCO1	1401.9856	CALCOCO1	2663.0939
CALCOCO2	2423.1803	CALCOCO2	2557.5176
CALCRL	378.8736	CALCRL	314.722
removed	removed	CALCR	75.469
CALD1	5105.9734	CALD1	9094.0202
CALHM2	261.5301	CALHM2	588.0966
CALM1	9243.6717	CALM1	6093.3227
CALM2	11007.658	CALM2	11095.1542
CALM3	4147.6687	CALM3	3829.2513
CALML3	216.6635	CALML3	725.386
CALML4	157.2249	CALML4	273.3746
CALML5	31.445	CALML5	38.136
CALN1	6.9026	CALN1	10.8386
CALR	28474.9571	CALR	10806.1238
CALU	3538.7099	CALU	2780.3118
CAMK1D	23.7755	CAMK1D	58.6089
CAMK1	192.8037	CAMK1	132.1832
CAMK2A	13.8051	removed	removed
CAMK2B	13.4216	CAMK2B	126.0494
CAMK2D	730.5204	CAMK2D	889.9728
CAMK2G	560.6409	CAMK2G	733.8161
CAMK2N1	1122.0487	CAMK2N1	2508.1415
CAMK2N2	16.8729	CAMK2N2	6.8243
CAMK4	11.8877	removed	removed
CAMKK1	239.6721	CAMKK1	172.6154
CAMKK2	1368.6233	CAMKK2	1672.362
CAMLG	519.609	CAMLG	1004.3806
CAMSAP1L1	835.5926	CAMSAP1L1	1303.8482
CAMSAP1	339.3756	CAMSAP1	855.4497
CAMTA1	293.7421	CAMTA1	655.9384
CAMTA2	926.4763	CAMTA2	1309.8697
CAND1	2420.1125	CAND1	3177.7286
CAND2	60.5891	CAND2	141.3037
CANT1	3903.3949	CANT1	2211.4839
CANX	7570.569	CANX	17979.6976
CAP1	5924.6931	CAP1	6611.9717
CAP2	2297.4004	CAP2	529.0862
CAPG	4504.3007	CAPG	3072.1522
CAPN10	149.5554	CAPN10	154.3583
removed	removed	CAPN11	108.3864
CAPN12	108.071	CAPN12	90.7355
CAPN13	88.5828	CAPN13	238.8515
removed	removed	CAPN14	6.8243
CAPN1	5265.1156	CAPN1	4171.2706
CAPN2	3234.9975	CAPN2	4129.9232
CAPN3	27.6102	CAPN3	140.6896
CAPN5	90.1167	CAPN5	347.2379
CAPN6	12.2712	CAPN6	251.2959
CAPN7	678.3678	CAPN7	944.9688
CAPN8	75.9281	CAPN8	572.0393
CAPN9	133.8329	CAPN9	12.8458
CAPNS1	13817.3814	CAPNS1	7705.47
CAPRIN1	5599.5061	CAPRIN1	8324.4768
CAPRIN2	284.9221	CAPRIN2	269.3603
CAPS2	33.7458	CAPS2	63.8275
CAPSL	17.6399	removed	removed
CAPS	174.4813	CAPS	221.59
CAPZA1	4956.418	CAPZA1	2773.8889
CAPZA2	1509.7422	CAPZA2	2545.876
removed	removed	CAPZA3	18.0644
CAPZB	6008.2907	CAPZB	4308.56
CARD10	148.0215	CARD10	551.5663
CARD11	83.9811	CARD11	61.419
CARD14	907.686	CARD14	240.0558
CARD16	131.9155	CARD16	144.5152
CARD6	111.5913	CARD6	201.117
CARD8	1129.3347	CARD8	767.5363
CARD9	29.9111	CARD9	57.4046
CARHSP1	1032.8101	CARHSP1	991.9523
CARKD	2148.2285	CARKD	1523.431
CARM1	2096.8428	CARM1	833.7724
CARNS1	14.1886	CARNS1	38.5374
CARS2	1163.0729	CARS2	601.0628
CARS	1118.5974	CARS	676.4114
CASC1	124.246	CASC1	92.3292
CASC2	87.0489	CASC2	80.6877
CASC3	1878.2619	CASC3	3459.9347
CASC4	1329.8923	CASC4	3557.081
CASC5	12.6547	CASC5	10.0358
CASD1	1078.716	CASD1	1719.3294
CASKIN1	36.3496	CASKIN1	16.5109
CASKIN2	862.3669	CASKIN2	887.3273
CASK	829.457	CASK	1435.1162
CASP10	99.7036	CASP10	248.4859
removed	removed	CASP12	8.4301
