gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
removed	removed	C10orf90	25.9392
C10orf95	6.5834	removed	removed
C11orf10	1028.9281	C11orf10	651.1628
C11orf17	439.4032	C11orf17	208.8551
C11orf1	186.0201	C11orf1	222.7191
C11orf21	5.7856	removed	removed
C11orf24	1174.1778	C11orf24	710.644
C11orf2	1009.7442	C11orf2	1702.5939
C11orf30	527.4056	C11orf30	462.8801
C11orf31	792.9354	C11orf31	436.941
C11orf35	25.1401	C11orf35	9.7093
C11orf41	1432.704	C11orf41	86.7621
C11orf45	47.8076	C11orf45	39.356
C11orf46	727.4665	C11orf46	646.6905
C11orf48	534.2722	C11orf48	369.347
C11orf49	660.7795	C11orf49	242.8444
C11orf51	361.3155	C11orf51	293.2424
C11orf52	138.5505	C11orf52	137.0483
C11orf53	14.0073	C11orf53	14.3113
C11orf54	325.5177	C11orf54	505.3667
C11orf57	628.5018	C11orf57	599.2844
C11orf58	3647.9903	C11orf58	3288.9088
C11orf59	1615.1035	C11orf59	1490.6082
C11orf61	152.8624	C11orf61	199.4633
C11orf63	190.0122	C11orf63	322.0036
C11orf66	18.2704	C11orf66	12.9696
C11orf67	251.827	C11orf67	561.8739
C11orf68	738.7333	C11orf68	667.263
C11orf70	27.1011	C11orf70	59.9284
C11orf71	62.7284	C11orf71	169.0519
C11orf73	464.0682	C11orf73	459.3023
C11orf74	226.8575	C11orf74	198.5689
C11orf75	313.6419	C11orf75	130.5903
C11orf80	278.9281	C11orf80	143.1127
C11orf82	98.9647	C11orf82	38.0143
C11orf83	209.1961	C11orf83	170.3936
C11orf84	375.4568	C11orf84	184.7048
C11orf87	8.2217	C11orf87	8.4973
C11orf92	10.3532	C11orf92	22.3614
C11orf93	22.229	C11orf93	23.2558
C11orf95	646.1632	C11orf95	625.2236
C11orf9	7.9172	C11orf9	10.7335
C12orf10	608.4044	C12orf10	537.5671
C12orf11	568.2095	C12orf11	398.9267
C12orf23	1898.9038	C12orf23	1033.9893
C12orf24	68.2095	C12orf24	50.5367
C12orf26	124.5432	C12orf26	110.9123
C12orf29	370.5572	C12orf29	364.0474
C12orf32	557.2473	C12orf32	216.9052
C12orf34	83.1303	C12orf34	48.3005
C12orf35	1433.6175	C12orf35	1309.034
removed	removed	C12orf39	98.39
C12orf41	576.7357	C12orf41	394.9016
C12orf43	232.3386	C12orf43	257.1556
C12orf44	827.9537	C12orf44	646.6905
C12orf45	169.6102	C12orf45	99.7317
C12orf47	217.9415	C12orf47	226.0644
C12orf48	108.1425	C12orf48	42.4866
C12orf49	456.151	C12orf49	394.4544
C12orf4	564.8599	C12orf4	405.1878
C12orf51	1008.5262	C12orf51	1360.9123
C12orf52	390.6821	C12orf52	225.4025
C12orf53	66.687	removed	removed
C12orf57	1422.9598	C12orf57	987.0304
C12orf59	48.7211	removed	removed
C12orf5	371.8027	C12orf5	326.4758
C12orf60	11.5713	C12orf60	17.4419
removed	removed	C12orf61	7.1556
C12orf62	491.4738	C12orf62	627.4597
C12orf63	10.0487	removed	removed
C12orf65	240.8648	C12orf65	149.8211
C12orf66	119.9756	C12orf66	101.0733
C12orf68	62.1194	C12orf68	63.9535
removed	removed	C12orf69	7.1556
C12orf70	13.0938	removed	removed
C12orf72	78.5627	C12orf72	79.1592
C12orf73	85.5664	C12orf73	63.059
C12orf75	445.1888	C12orf75	318.4258
C12orf76	127.5883	C12orf76	70.2147
C13orf15	693.0572	C13orf15	1474.9553
C13orf16	8.5262	removed	removed
C13orf18	216.8088	C13orf18	68.4258
C13orf1	354.4458	C13orf1	256.2612
C13orf23	909.257	C13orf23	686.0465
removed	removed	C13orf26	6.2612
C13orf27	116.0171	C13orf27	111.3596
C13orf29	98.3557	C13orf29	166.8157
C13orf31	451.8879	C13orf31	413.6852
C13orf33	313.3374	C13orf33	2544.7227
C13orf34	133.1242	C13orf34	92.3301
removed	removed	C13orf36	11.6279
C13orf37	351.7052	C13orf37	237.4776
removed	removed	C13orf38	12.1735
C14orf101	565.4689	C14orf101	466.458
C14orf102	311.2058	C14orf102	272.3614
C14orf104	291.7174	C14orf104	216.0107
C14orf106	550.8526	C14orf106	623.4347
C14orf109	274.056	C14orf109	221.8247
C14orf118	211.6322	C14orf118	290.2504
C14orf119	1156.2119	C14orf119	755.3667
C14orf126	299.7564	C14orf126	388.7478
C14orf128	31.0597	C14orf128	63.5063
C14orf129	780.4507	C14orf129	433.8104
C14orf132	377.2838	C14orf132	590.3399
C14orf135	1245.7369	C14orf135	824.2397
C14orf138	119.3666	C14orf138	94.3649
C14orf139	52.9842	C14orf139	1610.0179
C14orf142	209.8051	C14orf142	144.9016
C14orf143	50.8526	C14orf143	34.4365
C14orf145	88.0024	C14orf145	99.7317
C14orf147	1293.849	C14orf147	914.1324
C14orf148	8.2217	removed	removed
C14orf149	105.9683	C14orf149	200.805
C14orf153	468.3496	C14orf153	492.6923
C14orf156	555.7247	C14orf156	370.7513
C14orf159	717.7223	C14orf159	869.8569
C14orf166	2639.1596	C14orf166	2175.7603
C14orf167	889.8508	C14orf167	594.9463
C14orf169	303.5932	C14orf169	198.5689
C14orf174	101.4007	C14orf174	8.4973
C14orf176	8.5262	C14orf176	10.2862
C14orf179	311.5104	C14orf179	237.4776
removed	removed	C14orf180	769.2308
C14orf181	15.2253	C14orf181	18.3363
C14orf184	6.0901	removed	removed
C14orf1	744.8234	C14orf1	465.1163
C14orf21	224.4214	C14orf21	279.9642
C14orf28	102.9233	C14orf28	118.5152
C14orf2	694.8843	C14orf2	580.0537
C14orf33	111.754	C14orf33	54.5617
C14orf34	7.0037	removed	removed
C14orf37	333.7393	C14orf37	177.102
C14orf43	889.4641	C14orf43	1521.9141
C14orf45	480.6425	C14orf45	245.5322
C14orf49	60.5968	C14orf49	824.2397
C14orf4	1137.3325	C14orf4	1479.8748
C14orf50	10.6577	C14orf50	91.2343
C14orf64	13.7028	C14orf64	55.4562
C14orf79	300.5481	C14orf79	139.0877
C14orf80	105.9683	C14orf80	206.619
C14orf93	172.9598	C14orf93	141.771
C15orf17	768.5749	C15orf17	1504.9195
C15orf21	24.9695	C15orf21	28.1753
C15orf23	238.4287	C15orf23	136.8515
C15orf24	1136.419	C15orf24	1080.5009
C15orf27	9.1352	C15orf27	11.1807
removed	removed	C15orf28	5.3667
C15orf29	411.6931	C15orf29	455.7245
C15orf33	42.6005	C15orf33	15.2281
C15orf34	16.1389	C15orf34	12.0751
C15orf37	31.5104	C15orf37	36.3864
C15orf38	633.9525	C15orf38	470.0581
C15orf39	982.3386	C15orf39	834.5259
C15orf40	197.1255	C15orf40	224.0608
C15orf41	71.5591	C15orf41	94.3649
C15orf42	47.0432	C15orf42	24.8122
C15orf44	962.2412	C15orf44	645.7961
C15orf48	503.0451	C15orf48	27.7281
removed	removed	C15orf51	7.6029
C15orf52	173.8733	C15orf52	330.5009
C15orf54	9.4397	removed	removed
C15orf57	514.4032	C15orf57	450.6932
C15orf58	41.4129	C15orf58	28.1753
C15orf59	15.5298	C15orf59	72.4508
C15orf61	81.3033	C15orf61	84.5259
C15orf62	23.7515	C15orf62	28.1753
C15orf63	806.6382	C15orf63	478.6941
C16orf13	566.687	C16orf13	296.5116
C16orf42	785.2923	C16orf42	618.8551
C16orf45	761.2667	C16orf45	713.7746
C16orf46	37.7588	C16orf46	34.4365
C16orf48	190.3167	C16orf48	216.9052
C16orf52	328.8672	C16orf52	390.8766
C16orf53	904.9665	C16orf53	473.4436
C16orf54	48.1121	C16orf54	136.4043
C16orf55	74.2996	C16orf55	49.195
C16orf57	834.3484	C16orf57	680.2326
C16orf58	2277.5883	C16orf58	1274.5125
C16orf59	67.905	C16orf59	6.7084
C16orf5	443.0572	C16orf5	636.8515
C16orf61	229.123	C16orf61	236.8247
C16orf62	1742.0828	C16orf62	1419.0519
C16orf63	904.6894	C16orf63	762.0751
C16orf68	146.7722	C16orf68	169.0519
C16orf70	476.8301	C16orf70	389.8122
C16orf71	28.9281	C16orf71	7.6029
C16orf72	1678.1364	C16orf72	1348.39
C16orf74	32.2777	C16orf74	66.1896
C16orf75	267.3569	C16orf75	38.4615
C16orf79	7.0646	removed	removed
C16orf7	174.327	C16orf7	152.2585
C16orf80	425.0914	C16orf80	561.2701
C16orf86	38.9769	C16orf86	66.6369
C16orf87	111.4495	C16orf87	93.9177
C16orf88	655.6029	C16orf88	187.3882
C16orf89	44.458	C16orf89	198.1216
C16orf91	181.7905	C16orf91	122.5403
C16orf93	36.8453	C16orf93	12.5224
C17orf100	32.8867	C17orf100	25.9392
C17orf101	305.4202	C17orf101	281.7352
C17orf103	270.7065	C17orf103	1357.3345
C17orf104	8.8307	C17orf104	7.6029
C17orf106	167.0585	C17orf106	199.5617
C17orf107	60.1279	C17orf107	77.7281
C17orf108	152.2533	C17orf108	312.6118
C17orf28	1759.4397	C17orf28	572.4508
C17orf37	624.8477	C17orf37	427.5492
C17orf39	362.972	C17orf39	632.3792
C17orf42	162.6066	C17orf42	131.0376
C17orf44	76.7357	C17orf44	38.0143
C17orf48	165.3471	C17orf48	168.6047
C17orf49	1144.9482	C17orf49	702.7683
C17orf51	146.1632	C17orf51	387.746
C17orf53	53.2887	C17orf53	34.8837
removed	removed	C17orf55	25.0447
C17orf56	219.5371	C17orf56	212.5089
C17orf57	41.7174	C17orf57	76.9231
C17orf58	254.5676	C17orf58	790.2504
C17orf59	273.447	C17orf59	165.4741
C17orf60	30.1462	C17orf60	25.0447
C17orf61	455.0487	C17orf61	419.678
C17orf62	1361.754	C17orf62	814.4007
C17orf63	864.4945	C17orf63	548.3005
C17orf65	93.4409	C17orf65	90.6977
C17orf67	17.3569	C17orf67	10.2862
C17orf68	850.4872	C17orf68	601.5206
C17orf69	18.8794	C17orf69	23.703
C17orf70	655.6029	C17orf70	466.9052
C17orf71	525.8831	C17orf71	415.0268
C17orf72	47.1102	C17orf72	72.6297
C17orf75	211.0231	C17orf75	114.0429
C17orf76	77.3447	C17orf76	81.3953
C17orf79	545.3715	C17orf79	937.3882
C17orf80	536.8453	C17orf80	548.3005
C17orf81	375.7613	C17orf81	387.746
C17orf85	706.151	C17orf85	674.8658
C17orf86	35.3228	C17orf86	37.5671
C17orf87	24.9695	C17orf87	28.1753
C17orf89	178.4409	C17orf89	232.5581
C17orf90	200.3654	C17orf90	133.2737
C17orf91	271.62	C17orf91	784.8837
C17orf95	376.9793	C17orf95	279.517
C17orf96	113.2765	C17orf96	55.4562
C17orf97	122.4117	C17orf97	38.0143
C18orf10	1145.5542	C18orf10	1591.6816
C18orf18	23.1425	C18orf18	57.6923
C18orf19	345.0061	C18orf19	285.3309
C18orf1	975.335	C18orf1	1295.6172
C18orf21	240.8648	C18orf21	153.3989
C18orf22	352.6188	C18orf22	409.6601
C18orf25	699.1474	C18orf25	716.9052
C18orf32	1411.8666	C18orf32	920.3488
removed	removed	C18orf34	115.8318
C18orf45	633.9829	C18orf45	280.8587
C18orf54	99.2692	C18orf54	62.6118
C18orf55	336.1754	C18orf55	325.1342
C18orf8	427.7862	C18orf8	396.9231
C19orf10	1280.4507	C19orf10	871.6458
C19orf12	394.6407	C19orf12	2348.8372
C19orf18	11.2667	C19orf18	7.6029
C19orf20	55.1157	C19orf20	48.3005
C19orf21	503.0451	C19orf21	29.0698
C19orf22	940.0122	C19orf22	907.8712
C19orf24	294.458	C19orf24	265.2057
C19orf25	224.7259	C19orf25	190.5188
C19orf26	9.4397	C19orf26	5.814
C19orf28	776.7966	C19orf28	609.5707
C19orf29	260.3532	C19orf29	322.4508
C19orf2	1490.5603	C19orf2	1487.4776
C19orf33	475.9013	C19orf33	60.3175
C19orf35	15.8343	C19orf35	8.0501
removed	removed	C19orf36	16.9946
C19orf38	11.2667	C19orf38	12.5224
C19orf39	33.4957	C19orf39	30.8587
C19orf40	49.6346	C19orf40	23.703
C19orf42	894.0317	C19orf42	1194.0966
C19orf43	1054.8112	C19orf43	1337.2093
C19orf44	155.4415	C19orf44	171.3193
C19orf46	133.0694	C19orf46	33.542
C19orf47	352.6188	C19orf47	231.6637
C19orf48	591.352	C19orf48	286.6726
C19orf50	977.771	C19orf50	1025.4919
C19orf51	164.4336	removed	removed
C19orf52	135.81	C19orf52	149.3739
C19orf53	970.7674	C19orf53	808.1395
C19orf54	386.7235	C19orf54	150.2683
C19orf55	83.4348	C19orf55	60.3757
C19orf56	1196.1023	C19orf56	1227.1914
C19orf57	10.0487	C19orf57	17.8891
C19orf59	19.4884	removed	removed
C19orf60	198.2339	C19orf60	257.1556
C19orf61	839.8295	C19orf61	405.6351
C19orf62	1017.9659	C19orf62	836.3148
C19orf63	2834.863	C19orf63	1228.0501
C19orf66	456.2058	C19orf66	417.0841
C19orf6	933.313	C19orf6	1527.7281
C19orf70	454.0195	C19orf70	518.3363
C19orf73	12.4848	C19orf73	8.4973
removed	removed	C19orf76	84.5259
C1D	140.9866	C1D	156.5295
C1GALT1C1	743.3009	C1GALT1C1	702.1467
C1GALT1	558.1608	C1GALT1	382.8265
C1QA	3877.8928	C1QA	5423.5242
C1QBP	1793.1121	C1QBP	1048.5063
C1QB	4600.4872	C1QB	5522.8086
C1QC	4351.7052	C1QC	4324.6869
C1QL1	6.3946	removed	removed
C1QL3	30.1462	C1QL3	38.4615
C1QTNF1	889.4641	C1QTNF1	4961.5385
C1QTNF2	22.5335	C1QTNF2	102.415
C1QTNF3	2921.1328	C1QTNF3	584.0787
C1QTNF6	1226.8575	C1QTNF6	129.6959
C1QTNF7	179.3544	C1QTNF7	296.0644
removed	removed	C1QTNF9B	25.5188
removed	removed	C1QTNF9	93.4705
C1RL	1153.3618	C1RL	1198.4615
C1R	11778.9281	C1R	12990.6082
C1S	15463.4775	C1S	22767.4419
C1orf101	8.8307	C1orf101	16.5474
C1orf103	827.3447	C1orf103	339.8927
C1orf104	26.5956	C1orf104	26.9365
C1orf106	69.123	C1orf106	62.6118
C1orf107	660.7795	C1orf107	637.2987
C1orf109	337.6979	C1orf109	295.1699
C1orf112	200.5055	C1orf112	127.1109
C1orf113	177.6248	C1orf113	52.0394
C1orf115	577.0402	C1orf115	2209.3023
C1orf116	478.989	C1orf116	191.4132
C1orf122	424.2174	C1orf122	409.4902
C1orf123	602.9233	C1orf123	789.356
C1orf124	212.2412	C1orf124	231.2165
C1orf126	28.4348	C1orf126	34.678
C1orf128	997.8685	C1orf128	1012.0751
C1orf130	11.8758	C1orf130	50.9839
C1orf131	208.2826	C1orf131	177.9964
C1orf133	87.3934	C1orf133	44.7227
C1orf135	36.8453	C1orf135	15.653
C1orf144	2811.8149	C1orf144	2751.7889
C1orf150	11.2667	C1orf150	18.3363
C1orf151	1097.7132	C1orf151	889.5349
removed	removed	C1orf152	9.839
C1orf156	170.5238	C1orf156	95.7066
C1orf159	110.8404	C1orf159	86.3148
C1orf162	416.5652	C1orf162	379.6959
C1orf163	172.6553	C1orf163	184.7048
C1orf168	10.6577	C1orf168	27.2809
C1orf170	30.7552	C1orf170	8.0501
C1orf172	259.4397	C1orf172	80.9481
removed	removed	C1orf173	59.034
C1orf174	368.7576	C1orf174	307.2451
C1orf175	17.841	C1orf175	15.653
C1orf183	63.3374	C1orf183	207.9606
C1orf186	10.0487	C1orf186	11.6279
C1orf190	31.2028	C1orf190	43.2692
C1orf192	12.7893	C1orf192	25.4919
C1orf198	2998.173	C1orf198	4613.5957
C1orf201	232.0341	C1orf201	224.9553
C1orf203	61.2119	C1orf203	54.5662
C1orf204	25.2771	C1orf204	36.5698
C1orf210	189.4032	C1orf210	66.6369
C1orf212	575.5177	C1orf212	716.0107
C1orf213	19.3179	C1orf213	65.3801
C1orf216	599.8782	C1orf216	547.4061
C1orf21	1661.6931	C1orf21	2112.7013
C1orf226	70.9501	C1orf226	271.4669
C1orf228	5.1766	removed	removed
C1orf230	8.5262	removed	removed
C1orf25	705.8465	C1orf25	499.5528
C1orf26	176.9184	C1orf26	196.3327
C1orf27	689.0987	C1orf27	794.2755
C1orf31	230.2071	C1orf31	174.4186
C1orf35	176.6139	C1orf35	133.2737
C1orf38	661.9976	C1orf38	913.6852
C1orf43	3468.9403	C1orf43	3841.6816
C1orf50	185.7491	C1orf50	142.2182
C1orf51	117.2351	C1orf51	37.1199
C1orf52	271.011	C1orf52	303.6673
C1orf53	5.7856	C1orf53	18.7835
C1orf54	223.5079	C1orf54	97.0483
C1orf55	534.7138	C1orf55	894.9016
C1orf56	107.6188	C1orf56	111.0107
C1orf57	518.8794	C1orf57	439.6243
C1orf58	501.2119	C1orf58	361.8068
C1orf59	197.9294	C1orf59	221.8247
C1orf63	314.8599	C1orf63	185.5993
C1orf64	399.2083	C1orf64	37.5671
C1orf66	380.9379	C1orf66	325.5814
C1orf69	100.7917	C1orf69	214.6691
C1orf70	23.7515	C1orf70	10.2862
C1orf74	138.8551	C1orf74	56.3506
C1orf77	1750.609	C1orf77	1397.585
C1orf83	193.6663	C1orf83	221.3775
C1orf84	14.6681	C1orf84	11.2433
C1orf85	1257.3082	C1orf85	777.2809
C1orf86	351.349	C1orf86	193.0277
C1orf88	217.4178	C1orf88	133.7209
C1orf89	52.3752	C1orf89	19.2308
C1orf91	178.6754	C1orf91	121.1852
C1orf93	1157.7375	C1orf93	408.703
removed	removed	C1orf95	29.9642
C1orf96	265.5298	C1orf96	281.7531
C1orf97	130.9379	C1orf97	103.3095
C1orf9	1490.8648	C1orf9	914.1324
C20orf103	633.0694	C20orf103	9.3918
C20orf108	2807.8563	C20orf108	2881.932
C20orf111	657.7345	C20orf111	659.6601
C20orf112	842.57	C20orf112	648.9267
C20orf114	211.6322	C20orf114	8.9445
C20orf117	255.1766	C20orf117	457.0662
C20orf118	16.4708	C20orf118	37.5671
C20orf11	1347.1376	C20orf11	1129.2487
C20orf12	112.972	C20orf12	76.4758
C20orf132	25.2741	C20orf132	52.3301
C20orf134	22.838	C20orf134	9.3918
C20orf135	30.4507	C20orf135	42.4866
C20orf141	5.4811	removed	removed
C20orf151	66.9915	C20orf151	8.9445
C20orf160	74.2996	C20orf160	314.4007
C20orf177	240.5603	C20orf177	171.7352
C20orf194	556.3337	C20orf194	1508.9445
C20orf195	6.3946	removed	removed
C20orf196	61.2058	C20orf196	50.0894
C20orf197	8.5262	C20orf197	8.0501
C20orf199	1118.1486	C20orf199	1146.2433
removed	removed	C20orf202	11.1807
C20orf20	307.8563	C20orf20	167.7102
C20orf24	874.1687	C20orf24	768.6449
C20orf26	12.1803	C20orf26	16.9946
C20orf27	497.5639	C20orf27	606.4401
C20orf29	215.5907	C20orf29	173.5242
C20orf30	2575.5177	C20orf30	3401.1628
C20orf3	4257.9172	C20orf3	3808.1395
C20orf43	2044.458	C20orf43	2181.127
C20orf46	14.0073	C20orf46	16.9946
C20orf4	1025.8831	C20orf4	1098.39
C20orf54	142.2046	C20orf54	97.4955
C20orf72	554.5067	C20orf72	351.0733
C20orf7	140.6821	C20orf7	110.0179
C20orf94	29.8417	C20orf94	20.5725
C20orf96	234.7747	C20orf96	138.1932
C21orf119	52.9842	C21orf119	44.2755
C21orf122	34.7138	C21orf122	22.8086
C21orf2	232.0341	C21orf2	332.2898
C21orf33	1487.5152	C21orf33	1900.7156
C21orf34	39.2814	C21orf34	120.3041
C21orf45	204.6285	C21orf45	131.4848
C21orf49	6.6991	C21orf49	9.839
C21orf56	192.1437	C21orf56	80.9481
C21orf57	201.2789	C21orf57	193.6494
C21orf58	36.2363	C21orf58	15.2057
C21orf59	744.866	C21orf59	529.8479
C21orf63	162.9111	C21orf63	646.6905
C21orf67	54.5067	C21orf67	19.678
C21orf70	131.5469	C21orf70	128.3542
C21orf7	181.7905	C21orf7	72.4508
C21orf82	33.8002	C21orf82	28.1753
C21orf88	13.3983	C21orf88	5.814
C21orf91	419.3057	C21orf91	508.0501
C22orf13	1340.1705	C22orf13	2124.6199
C22orf23	18.8794	C22orf23	41.5921
C22orf25	309.6833	C22orf25	574.6869
C22orf26	12.1803	C22orf26	7.6029
C22orf27	91.0475	C22orf27	93.4705
C22orf28	1499.6955	C22orf28	1630.1431
C22orf29	325.2071	C22orf29	327.7594
C22orf30	676.9184	C22orf30	864.9374
C22orf32	438.4896	C22orf32	622.9875
C22orf36	58.4653	C22orf36	112.254
C22orf39	293.5353	C22orf39	1008.0367
C22orf40	98.3557	C22orf40	103.7567
C22orf46	329.1717	C22orf46	688.7299
C22orf9	2253.9586	C22orf9	2475.4025
C2CD2L	295.9105	C2CD2L	286.6726
C2CD2	827.6492	C2CD2	4888.1932
C2CD3	769.7929	C2CD3	630.1431
C2CD4A	24.9695	C2CD4A	9.3918
C2CD4B	37.7588	C2CD4B	548.7478
C2CD4C	7.6127	C2CD4C	86.3148
C2orf15	124.9756	C2orf15	25.8363
C2orf16	44.7625	C2orf16	32.2004
C2orf18	1951.2789	C2orf18	1419.4991
C2orf24	1241.1693	C2orf24	1785.7782
C2orf27A	52.9842	C2orf27A	12.5224
C2orf28	2139.6072	C2orf28	1835.0313
C2orf29	1032.5822	C2orf29	676.6547
C2orf34	111.4495	C2orf34	76.0286
C2orf3	432.704	C2orf3	559.034
C2orf40	52.3752	C2orf40	311.2701
C2orf42	294.7625	C2orf42	191.4132
C2orf43	419.9147	C2orf43	353.3095
C2orf44	314.2509	C2orf44	219.1413
C2orf47	188.4896	C2orf47	238.8193
C2orf49	129.4153	C2orf49	110.9123
C2orf50	9.4397	removed	removed
C2orf54	466.8088	removed	removed
C2orf55	654.0804	C2orf55	270.1252
C2orf56	246.9549	C2orf56	216.0107
C2orf58	5.4811	C2orf58	12.9696
C2orf60	155.6029	C2orf60	171.288
C2orf63	42.3264	C2orf63	34.4365
C2orf64	491.4738	C2orf64	408.3184
C2orf65	16.4434	C2orf65	38.9088
C2orf67	325.3471	C2orf67	509.5215
C2orf68	729.5981	C2orf68	550.9839
C2orf69	303.5932	C2orf69	533.542
C2orf72	6.6991	C2orf72	21.9141
C2orf74	176.3094	C2orf74	393.1127
C2orf76	62.1194	C2orf76	76.9231
C2orf77	132.7649	C2orf77	108.229
C2orf79	148.9038	C2orf79	175.7603
C2orf7	277.4056	C2orf7	364.4902
C2orf81	131.9275	C2orf81	26.4311
removed	removed	C2orf82	57.2451
removed	removed	C2orf84	23.703
C2orf86	101.0962	C2orf86	157.424
C2orf88	18.8794	C2orf88	347.0483
C2orf89	12.7893	C2orf89	75.1342
C2	2182.567	C2	1555
C3AR1	1369.0621	C3AR1	971.3775
C3orf10	3673.8733	C3orf10	3223.6136
C3orf14	417.7832	C3orf14	181.127
C3orf15	91.352	C3orf15	52.7728
C3orf17	911.6931	C3orf17	889.9821
C3orf18	215.5907	C3orf18	221.3775
C3orf19	390.3776	C3orf19	400.2683
C3orf1	1150.7308	C3orf1	1060.8229
C3orf21	512.1803	C3orf21	270.1252
C3orf23	583.4348	C3orf23	507.1556
C3orf26	454.0195	C3orf26	390.8766
C3orf31	165.6516	C3orf31	170.8408
C3orf32	6.3946	C3orf32	8.0501
C3orf33	56.6382	C3orf33	111.3596
C3orf34	109.3179	C3orf34	80.0537
C3orf35	5.4811	removed	removed
C3orf37	674.7868	C3orf37	1165.0268
C3orf38	510.0335	C3orf38	372.0841
C3orf39	386.1145	C3orf39	409.2129
C3orf42	5.4811	C3orf42	15.2057
C3orf47	17.3569	C3orf47	74.6869
C3orf52	199.7564	C3orf52	58.1395
C3orf54	43.24	C3orf54	27.2809
C3orf55	21.011	C3orf55	224.9553
C3orf57	1701.8879	C3orf57	40.6977
C3orf58	426.6139	C3orf58	682.4687
C3orf59	263.3983	C3orf59	283.542
C3orf62	120.8892	C3orf62	111.8068
C3orf63	2427.6492	C3orf63	2199.3381
C3orf64	801.7661	C3orf64	1021.4669
C3orf67	13.0938	C3orf67	17.4419
C3orf70	102.9233	C3orf70	130.1431
C3orf71	17.3843	C3orf71	18.3676
C3orf75	330.0853	C3orf75	276.3864
C3	8684.2266	C3	34314.8479
C4A	64432.6918	C4A	6214.2039
removed	removed	C4BPA	21.4669
removed	removed	C4BPB	8.9445
C4orf10	257.9141	C4orf10	237.3569
C4orf12	30.7552	C4orf12	64.4007
C4orf14	593.179	C4orf14	522.8086
C4orf19	788.8794	C4orf19	142.2093
C4orf21	84.3484	C4orf21	50.5367
C4orf23	234.1657	C4orf23	267.4419
C4orf27	447.0158	C4orf27	407.8712
C4orf29	131.5469	C4orf29	120.3041
C4orf31	344.3971	C4orf31	291.1449
C4orf32	1002.4361	C4orf32	1790.2504
C4orf33	192.4482	C4orf33	184.2576
C4orf34	1347.7467	C4orf34	973.6136
removed	removed	C4orf36	7.1556
C4orf38	13.0938	C4orf38	20.5725
C4orf39	11.8758	C4orf39	10.2862
C4orf3	4645.5542	C4orf3	4549.195
C4orf41	1296.285	C4orf41	1080.9481
C4orf42	501.218	C4orf42	260.2862
C4orf43	374.5432	C4orf43	370.3041
C4orf46	180.5725	C4orf46	140.8766
C4orf47	15.8343	C4orf47	5.814
C4orf48	29.2326	C4orf48	8.4973
C4orf49	28.3191	C4orf49	44.7227
C4orf52	358.7089	C4orf52	446.3327
removed	removed	C4orf7	53.6673
C5AR1	501.5225	C5AR1	817.0841
C5orf13	2352.9233	C5orf13	413.2379
C5orf15	2386.1145	C5orf15	1479.8748
C5orf20	5.1766	C5orf20	6.2612
C5orf22	679.9635	C5orf22	564.4007
C5orf23	971.3764	C5orf23	3634.6154
C5orf24	1392.8136	C5orf24	1335.8676
C5orf25	168.9616	C5orf25	209.5259
removed	removed	C5orf27	6.2612
C5orf28	220.4629	C5orf28	211.9857
C5orf30	580.3898	C5orf30	598.39
C5orf32	704.0195	C5orf32	1598.39
C5orf33	669.9147	C5orf33	601.0733
C5orf34	73.3861	C5orf34	23.2558
C5orf35	127.8928	C5orf35	162.7907
C5orf36	131.2424	C5orf36	74.2397
C5orf38	414.1291	C5orf38	38.9088
C5orf39	31.3642	C5orf39	54.1145
C5orf41	488.7333	C5orf41	817.0841
C5orf42	483.8611	C5orf42	545.1699
C5orf43	1476.8575	C5orf43	862.254
C5orf44	510.3532	C5orf44	464.4946
C5orf45	174.6133	C5orf45	148.6047
C5orf46	236.9062	C5orf46	8.9445
C5orf49	28.9281	C5orf49	10.7335
C5orf4	372.4117	C5orf4	2535.7782
C5orf51	1099.8782	C5orf51	934.7048
C5orf53	340.134	C5orf53	488.3721
C5orf54	145.2497	C5orf54	98.8372
C5orf55	44.458	C5orf55	59.034
C5orf56	38.6937	C5orf56	133.3453
removed	removed	C5orf58	8.0501
C5orf62	1302.6797	C5orf62	1538.0143
C5	123.3252	C5	152.5045
C6orf105	26.7966	C6orf105	38.0143
C6orf106	2380.3289	C6orf106	3746.4222
C6orf108	177.5274	C6orf108	213.3274
C6orf114	11.8758	C6orf114	13.864
C6orf115	570.0365	C6orf115	219.5886
C6orf120	1046.1663	C6orf120	1272.9249
C6orf122	6.9793	C6orf122	5.6574
removed	removed	C6orf123	6.7084
removed	removed	C6orf124	9.3918
C6orf125	519.5889	C6orf125	345.5546
C6orf129	211.0231	C6orf129	58.1395
C6orf130	453.9769	C6orf130	364.8971
C6orf132	203.715	C6orf132	114.0429
C6orf134	195.1888	C6orf134	112.7013
C6orf136	191.8392	C6orf136	136.4043
C6orf138	99.5737	C6orf138	36.6726
C6orf141	13.3983	C6orf141	49.6422
removed	removed	C6orf142	12.5224
C6orf145	816.3825	C6orf145	2426.6547
C6orf150	99.8782	C6orf150	81.3953
C6orf153	701.5834	C6orf153	592.1288
C6orf154	19.7929	removed	removed
C6orf155	7.0037	C6orf155	40.2504
C6orf15	109.0134	removed	removed
C6orf162	111.7235	C6orf162	135.4428
removed	removed	C6orf163	6.2612
removed	removed	C6orf164	6.7755
C6orf165	69.8782	C6orf165	7.1556
C6orf167	207.9781	C6orf167	159.6601
