gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
ACOT13	612.4507	ACOT13	774.6922
ACOT1	306.5545	ACOT1	1260.6019
ACOT2	200.406	ACOT2	675.4446
ACOT4	150.522	ACOT4	243.1601
ACOT6	5.8005	ACOT6	12.3119
ACOT7	641.8213	ACOT7	203.8304
ACOT8	353.46	ACOT8	168.8714
ACOT9	582.6566	ACOT9	551.2996
ACOX1	1580.7657	ACOX1	3244.4425
ACOX2	203.3063	ACOX2	451.4364
ACOX3	470.9977	ACOX3	555.7456
ACP1	2400.522	ACP1	1411.0807
ACP2	1081.2065	ACP2	871.067
ACP5	555.9745	ACP5	596.4432
ACP6	323.9559	ACP6	301.2996
ACPL2	619.1995	ACPL2	330.0274
ACPP	9.2807	ACPP	30.0958
ACRBP	15.6613	ACRBP	19.4938
ACRC	29.2923	ACRC	37.9617
removed	removed	ACR	6.4979
removed	removed	ACSBG1	17.0999
ACSF2	184.1647	ACSF2	897.4008
ACSF3	181.8445	ACSF3	196.9904
ACSL1	1811.1949	ACSL1	24246.58
ACSL3	2893.2715	ACSL3	2485.6361
ACSL4	799.594	ACSL4	2063.6115
ACSL5	156.3225	ACSL5	909.7127
ACSL6	8.1206	ACSL6	7.8659
ACSM1	9.8608	ACSM1	9.2339
ACSM3	8.4629	ACSM3	68.2182
ACSM5	6.3805	ACSM5	1008.5499
ACSS1	132.5406	ACSS1	573.1874
ACSS2	594.5476	ACSS2	3731.5321
ACSS3	72.7958	ACSS3	1214.4323
ACTA2	4345.1856	ACTA2	12935.6053
ACTB	94236.949	ACTB	78431.6005
ACTG1	64133.7007	ACTG1	45546.8536
ACTG2	51.6241	ACTG2	1680.9166
ACTL6A	1614.5592	ACTL6A	733.9261
ACTL8	7.2506	removed	removed
ACTN1	5187.065	ACTN1	6059.8495
ACTN4	7342.674	ACTN4	7795.7661
ACTR10	578.8863	ACTR10	1310.1915
ACTR1A	2073.6659	ACTR1A	2751.71
ACTR1B	684.4548	ACTR1B	993.844
ACTR2	6991.0093	ACTR2	5662.4487
ACTR3B	149.0719	ACTR3B	119.015
ACTR3C	54.5244	ACTR3C	31.8057
ACTR3	6002.9002	ACTR3	2792.7497
ACTR5	224.768	ACTR5	168.9466
ACTR6	990.4292	ACTR6	663.8167
ACTR8	592.5174	ACTR8	516.4159
ACVR1B	1613.109	ACVR1B	1226.4022
removed	removed	ACVR1C	2268.4679
ACVR1	813.5151	ACVR1	1254.788
ACVR2A	205.0464	ACVR2A	569.0834
ACVR2B	275.522	ACVR2B	399.1108
ACVRL1	265.9513	ACVRL1	854.6512
ACY1	1223.3179	ACY1	585.9815
ACYP1	65.8353	ACYP1	46.1696
ACYP2	147.0418	ACYP2	206.2244
ADAL	291.7633	ADAL	261.2859
ADAM10	1001.4501	ADAM10	1743.1601
removed	removed	ADAM11	8.8919
ADAM12	1672.5638	ADAM12	579.3434
ADAM15	4587.326	ADAM15	2451.8023
ADAM17	933.2947	ADAM17	732.2161
ADAM19	211.1369	ADAM19	70.1094
ADAM21	13.9211	removed	removed
ADAM22	67.5754	ADAM22	78.6594
ADAM23	14.7912	ADAM23	21.5458
ADAM28	322.5058	ADAM28	82.7633
ADAM32	7.8306	ADAM32	58.1395
ADAM33	49.884	ADAM33	330.3694
ADAM6	1664.8202	ADAM6	32490.5301
ADAM8	583.5267	ADAM8	42.4077
ADAM9	4693.1555	ADAM9	2268.1259
ADAMDEC1	214.3271	ADAMDEC1	61.5595
ADAMTS10	38.2831	ADAMTS10	75.5814
ADAMTS12	276.6821	ADAMTS12	285.5677
ADAMTS13	16.8213	ADAMTS13	25.3078
ADAMTS14	89.0371	removed	removed
ADAMTS15	115.7193	ADAMTS15	245.212
ADAMTS16	194.8956	ADAMTS16	12.3119
ADAMTS17	58.0046	ADAMTS17	38.9877
removed	removed	ADAMTS18	60.1915
ADAMTS19	5.5104	removed	removed
ADAMTS1	329.1763	ADAMTS1	5910.3967
ADAMTS2	513.6311	ADAMTS2	362.1751
ADAMTS3	17.4014	ADAMTS3	100.8892
ADAMTS4	524.652	ADAMTS4	118.3311
ADAMTS5	329.7564	ADAMTS5	2411.7647
ADAMTS6	51.9142	ADAMTS6	37.9617
ADAMTS7	201.2761	ADAMTS7	51.9836
removed	removed	ADAMTS8	27.7018
ADAMTS9	109.0487	ADAMTS9	626.539
ADAMTSL1	86.1369	ADAMTSL1	82.4213
ADAMTSL2	220.9977	ADAMTSL2	15.0479
ADAMTSL3	89.9072	ADAMTSL3	202.1204
ADAMTSL4	126.1601	ADAMTSL4	656.2927
ADAMTSL5	16.2413	ADAMTSL5	33.1737
ADAP1	184.4954	ADAP1	55.4583
ADAP2	247.0998	ADAP2	247.264
ADARB1	409.2227	ADARB1	804.7196
ADAR	13263.6311	ADAR	6719.9042
ADAT1	171.4037	ADAT1	229.8222
ADAT2	147.9118	ADAT2	133.7209
ADAT3	16.8213	ADAT3	18.8098
ADA	151.1021	ADA	78.3174
ADCK1	82.0766	ADCK1	166.2107
ADCK2	869.4896	ADCK2	568.7415
ADCK4	601.5081	ADCK4	301.2996
ADCK5	31.3225	ADCK5	34.8837
ADCY1	162.413	ADCY1	285.2257
ADCY2	103.8283	ADCY2	89.9453
ADCY3	1115.9774	ADCY3	1133.7688
ADCY4	39.7332	ADCY4	652.1888
removed	removed	ADCY5	632.3529
ADCY6	1670.5336	ADCY6	2943.5705
ADCY7	601.5081	ADCY7	341.3133
ADCY9	1183.8747	ADCY9	632.3529
removed	removed	ADCYAP1R1	23.5978
removed	removed	ADCYAP1	64.2955
ADC	148.7819	ADC	72.1614
ADD1	3718.6775	ADD1	6764.3639
ADD2	12.761	ADD2	60.8755
ADD3	622.6798	ADD3	2280.7798
removed	removed	ADH1A	349.4836
ADH1B	8.4107	ADH1B	45116.6211
removed	removed	ADH1C	170.3146
removed	removed	ADH4	20.8618
ADH5	1189.6752	ADH5	4726.4022
ADHFE1	9.2807	ADHFE1	455.8824
ADI1	1739.8492	ADI1	1949.0424
ADIPOQ	12.471	ADIPOQ	61565.6635
ADIPOR1	3143.2715	ADIPOR1	2704.5144
ADIPOR2	2748.2599	ADIPOR2	4492.8181
ADK	641.2413	ADK	559.5075
ADM2	419.3735	ADM2	29.7538
ADM	273.2019	ADM	1068.3995
ADNP2	1631.0905	ADNP2	906.2927
ADNP	4665.0232	ADNP	2987.6881
ADORA1	199.536	ADORA1	136.7989
ADORA2A	61.1949	ADORA2A	62.2435
ADORA2B	38.8631	ADORA2B	28.7278
ADORA3	331.4965	ADORA3	141.2449
ADO	753.4803	ADO	727.4282
ADPGK	931.424	ADPGK	865.9473
ADPRHL1	43.5035	ADPRHL1	69.0834
ADPRHL2	1189.0951	ADPRHL2	392.9549
ADPRH	372.0998	ADPRH	545.4856
removed	removed	ADRA1A	55.4036
removed	removed	ADRA1B	42.7497
removed	removed	ADRA1D	8.2079
ADRA2A	258.4107	ADRA2A	2905.6088
removed	removed	ADRA2B	49.2476
ADRA2C	5.2204	ADRA2C	90.6293
removed	removed	ADRB1	118.3311
ADRB2	15.6613	ADRB2	525.6498
ADRBK1	1685.6148	ADRBK1	1128.249
ADRBK2	539.1531	ADRBK2	2438.4405
ADRM1	1859.3387	ADRM1	641.5869
ADSL	665.3132	ADSL	674.7606
ADSSL1	31.9026	ADSSL1	164.5007
ADSS	900.522	ADSS	1537.2777
AEBP1	17277.5522	AEBP1	3001.026
AEBP2	908.6427	AEBP2	779.4118
AEN	1062.355	AEN	226.0602
AES	5593.0974	AES	5705.1984
AFAP1L1	150.522	AFAP1L1	748.632
AFAP1L2	124.71	AFAP1L2	858.4131
AFAP1	1428.9124	AFAP1	1242.8146
AFARP1	6.0905	removed	removed
AFF1	1916.4733	AFF1	3786.5937
AFF2	10.1508	AFF2	58.1395
AFF3	1203.5963	AFF3	1597.1272
AFF4	6625.8701	AFF4	3180.5746
AFG3L1	185.6148	AFG3L1	203.1464
AFG3L2	1356.9055	AFG3L2	1268.8543
AFMID	507.2506	AFMID	389.5349
removed	removed	AFP	37.6197
AFTPH	2217.8074	AFTPH	1848.8372
AG2	74.536	AG2	462.0383
AGAP11	47.5638	AGAP11	254.1074
AGAP1	793.2135	AGAP1	449.7264
AGAP2	21.0325	AGAP2	51.6621
AGAP3	1616.0093	AGAP3	886.4569
AGAP4	138.9211	AGAP4	137.8249
AGAP5	33.5731	AGAP5	66.3646
AGAP6	133.9907	AGAP6	108.0711
AGAP7	6.6705	AGAP7	7.8659
AGAP8	33.6427	AGAP8	47.1956
AGA	185.6148	AGA	591.6553
AGBL2	16.2413	AGBL2	15.0479
removed	removed	AGBL3	9.9179
AGBL4	10.1508	AGBL4	11.9699
AGBL5	784.5186	AGBL5	742.8249
AGER	23.7819	AGER	23.5978
AGFG1	2383.7007	AGFG1	2542.4077
AGFG2	532.4826	AGFG2	401.8468
AGGF1	704.4664	AGGF1	1067.7155
AGK	649.942	AGK	547.8796
AGL	4934.1647	AGL	1213.7483
AGMAT	16.5313	AGMAT	7.8659
AGPAT1	1802.6044	AGPAT1	1922.606
AGPAT2	230.2784	AGPAT2	4059.1655
AGPAT3	2480.5684	AGPAT3	1932.2845
AGPAT4	100.058	AGPAT4	175.4446
AGPAT5	731.4385	AGPAT5	688.0985
AGPAT6	4277.2622	AGPAT6	1607.7291
AGPAT9	97.4478	AGPAT9	349.1792
AGPHD1	84.6868	AGPHD1	87.5513
AGPS	1961.7169	AGPS	1216.4843
AGR2	34138.6311	AGR2	2390.2189
AGR3	6056.8445	AGR3	956.9083
AGRN	2954.1763	AGRN	1556.4295
AGTPBP1	197.2158	AGTPBP1	558.8235
AGTR1	22.6218	AGTR1	463.4063
AGTRAP	435.0348	AGTRAP	500
AGT	915.0232	AGT	222.2982
AGXT2L2	194.4954	AGXT2L2	515.7011
AGXT	18.8515	removed	removed
AHCTF1	1301.9142	AHCTF1	1701.0944
AHCYL1	5306.8445	AHCYL1	4761.9699
AHCYL2	988.9791	AHCYL2	675.1026
AHCY	4800.7541	AHCY	1689.4665
AHDC1	658.0626	AHDC1	639.1929
AHI1	559.4548	AHI1	416.5527
AHNAK2	512.761	AHNAK2	972.9822
AHNAK	48614.5592	AHNAK	104632.0109
AHRR	183.8747	AHRR	17.7839
AHR	3980.2784	AHR	2810.1915
AHSA1	1692.8654	AHSA1	1043.4337
AHSA2	279.0023	AHSA2	410.0547
AIDA	645.6235	AIDA	2063.656
AIF1L	168.2135	AIF1L	1739.0561
AIF1	237.529	AIF1	454.5144
AIFM1	1397.3318	AIFM1	703.8304
AIFM2	487.239	AIFM2	1754.104
AIG1	680.6845	AIG1	1348.8372
AIM1L	17.1114	removed	removed
AIM1	613.9791	AIM1	3602.5992
AIM2	24.3619	removed	removed
AIMP1	1093.953	AIMP1	1294.8495
AIMP2	957.0563	AIMP2	344.7572
AIP	548.1439	AIP	456.2244
removed	removed	AJAP1	8.2079
AK1	323.0858	AK1	475.7182
AK2	3710.844	AK2	2213.4063
AK3L1	302.7842	AK3L1	650.1368
AK3	576.5661	AK3	2724.0082
AK5	11.0209	AK5	1495.554
AK7	7.2506	AK7	20.1778
AKAP10	357.3086	AKAP10	554.0356
AKAP11	1152.5522	AKAP11	2168.9466
AKAP12	861.3689	AKAP12	5768.4679
AKAP13	2638.3411	AKAP13	3079.0014
AKAP1	934.4548	AKAP1	3177.1546
AKAP2	448.7674	AKAP2	2040.8345
AKAP3	15.9513	AKAP3	46.5116
AKAP5	84.3968	AKAP5	110.8071
AKAP6	25.8121	AKAP6	155.9508
AKAP7	118.3295	AKAP7	310.8755
AKAP8L	1221.5777	AKAP8L	538.9877
AKAP8	778.1323	AKAP8	639.5349
AKAP9	3780.4524	AKAP9	2482.9001
AKD1	39.4432	AKD1	154.5828
AKIRIN1	2962.297	AKIRIN1	1587.2093
AKIRIN2	514.2111	AKIRIN2	1037.9617
AKNA	274.652	AKNA	638.8509
AKR1A1	2907.7726	AKR1A1	1444.5964
AKR1B10	24.942	removed	removed
AKR1B15	5.2204	removed	removed
AKR1B1	429.8144	AKR1B1	1003.078
AKR1C1	12.471	AKR1C1	6700.4104
AKR1C2	16.5313	AKR1C2	4646.7168
AKR1C3	296.6937	AKR1C3	2453.4884
AKR1E2	11.3109	AKR1E2	42.7497
AKR7A2	1005.2204	AKR7A2	1064.2955
AKR7A3	808.2947	AKR7A3	91.6553
AKR7L	38.2831	AKR7L	18.8098
AKT1S1	1020.8817	AKT1S1	856.3611
AKT1	2336.7169	AKT1	2321.4774
AKT2	2226.7981	AKT2	2873.803
AKT3	237.529	AKT3	1068.3995
AKTIP	637.2941	AKTIP	837.0964
ALAD	732.8886	ALAD	2005.814
ALAS1	2128.4803	ALAS1	1142.9549
removed	removed	ALB	13.6799
ALCAM	3916.4733	ALCAM	3243.844
ALDH16A1	195.1856	ALDH16A1	261.6279
ALDH18A1	3833.2367	ALDH18A1	1218.8782
ALDH1A1	99.478	ALDH1A1	4116.6211
ALDH1A2	29.2923	ALDH1A2	551.2996
ALDH1A3	106.9751	ALDH1A3	1429.0834
ALDH1B1	1184.7448	ALDH1B1	475.7182
removed	removed	ALDH1L1	1323.5294
ALDH1L2	404.5824	ALDH1L2	228.7962
ALDH2	298.1439	ALDH2	10782.1477
removed	removed	ALDH3A1	24.9658
ALDH3A2	1444.6056	ALDH3A2	2819.7674
ALDH3B1	129.3503	ALDH3B1	211.6963
ALDH3B2	486.0789	ALDH3B2	3095.7592
ALDH4A1	124.71	ALDH4A1	2090.2873
ALDH5A1	413.5731	ALDH5A1	837.8933
ALDH6A1	376.0905	ALDH6A1	914.7845
ALDH7A1	1043.7935	ALDH7A1	1662.4487
ALDH8A1	5.8005	ALDH8A1	8.8919
ALDH9A1	2539.4432	ALDH9A1	4469.9042
ALDOA	53007.5406	ALDOA	18042.7497
removed	removed	ALDOB	12.9959
ALDOC	108.7587	ALDOC	1144.3228
ALG10B	255.5104	ALG10B	394.6648
ALG10	94.8376	ALG10	110.4651
ALG11	27.8422	ALG11	9.5759
ALG12	352.3782	ALG12	387.8249
ALG13	552.4942	ALG13	503.42
ALG14	272.3318	ALG14	309.8495
removed	removed	ALG1L	6.6655
ALG1	660.0087	ALG1	385.8003
ALG2	778.1323	ALG2	849.8632
ALG3	1101.7981	ALG3	538.9877
ALG5	384.8608	ALG5	717.1683
ALG6	149.652	ALG6	289.6717
ALG8	1032.1926	ALG8	919.9726
ALG9	405.7425	ALG9	774.6238
ALKBH1	189.6752	ALKBH1	236.3201
ALKBH2	603.2483	ALKBH2	163.8167
ALKBH3	559.4548	ALKBH3	431.2585
ALKBH4	181.3196	ALKBH4	142.0896
ALKBH5	1939.6259	ALKBH5	2416.8331
ALKBH6	70.4756	ALKBH6	57.7975
ALKBH7	469.5476	ALKBH7	313.9535
ALKBH8	124.71	ALKBH8	344.3912
removed	removed	ALK	9.5759
ALMS1	1085.5568	ALMS1	804.7196
removed	removed	ALOX12P2	7.1819
ALOX15B	2017.9814	ALOX15B	93.7073
removed	removed	ALOX15	8.5499
ALOX5AP	445.7657	ALOX5AP	304.0356
ALOX5	234.6288	ALOX5	585.4993
ALOXE3	36.8329	ALOXE3	11.6279
ALPK1	369.4896	ALPK1	609.7811
ALPK2	142.4014	ALPK2	7.8659
ALPK3	263.3411	ALPK3	523.2558
ALPL	45.2436	ALPL	574.5554
ALS2CL	27.5522	ALS2CL	221.6142
removed	removed	ALS2CR11	17.4419
ALS2CR4	639.5012	ALS2CR4	1150.4788
ALS2CR8	68.1555	ALS2CR8	225.0342
ALS2	707.3666	ALS2	767.7839
ALX3	8.4107	ALX3	16.7579
removed	removed	ALX4	7.5239
AMACR	396.1717	AMACR	279.4118
AMBRA1	1223.6079	AMBRA1	674.4186
AMD1	2098.3179	AMD1	1625.4036
AMDHD1	36.5429	AMDHD1	18.4679
AMDHD2	172.2245	AMDHD2	104.7538
