gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
EIF3I	6737.8335	EIF3I	3228.1122
EIF3J	2912.703	EIF3J	1469.2202
EIF3K	2889.5012	EIF3K	3429.2066
EIF3L	5456.4965	EIF3L	12034.8837
EIF3M	4529.1792	EIF3M	2725.8892
EIF4A1	13001.7517	EIF4A1	7471.303
EIF4A2	8532.1926	EIF4A2	9587.8249
EIF4A3	3073.0858	EIF4A3	1242.4761
EIF4B	12501.0528	EIF4B	14084.2579
EIF4E1B	25.8121	removed	removed
EIF4E2	2535.0928	EIF4E2	1330.7114
EIF4E3	913.8631	EIF4E3	2606.3611
EIF4EBP1	3683.2947	EIF4EBP1	456.5663
EIF4EBP2	5190.2552	EIF4EBP2	11756.4979
EIF4EBP3	218.2222	EIF4EBP3	415.9371
EIF4ENIF1	741.0093	EIF4ENIF1	802.3256
EIF4E	709.6868	EIF4E	530.0958
EIF4G1	12663.8631	EIF4G1	4620.041
EIF4G2	32532.4826	EIF4G2	21401.5048
EIF4G3	953.8863	EIF4G3	1788.9877
EIF4H	5368.6195	EIF4H	3937.7565
EIF5A2	89.3271	EIF5A2	244.528
EIF5AL1	1785.6729	EIF5AL1	925.1026
EIF5A	5879.3503	EIF5A	2779.7538
EIF5B	7501.7401	EIF5B	3331.0534
EIF5	4008.4107	EIF5	5942.5445
EIF6	2717.8074	EIF6	1218.1943
ELAC1	25.2175	ELAC1	173.2763
ELAC2	1091.9374	ELAC2	1259.9179
ELAVL1	1873.5499	ELAVL1	1456.2244
ELAVL2	8.1206	ELAVL2	7.1819
ELF1	1250	ELF1	2367.3051
ELF2	452.7262	ELF2	988.0301
ELF3	2673.4339	ELF3	3173.7346
ELF4	276.1021	ELF4	395.3488
removed	removed	ELF5	417.9207
ELFN1	21.1717	ELFN1	28.7278
ELK1	1100.9281	ELK1	586.8673
ELK3	563.8051	ELK3	839.9453
ELK4	316.9954	ELK4	114.2271
ELL2	2037.123	ELL2	2247.264
ELL3	1141.0006	ELL3	101.2209
ELL	428.3643	ELL	320.1094
ELMO1	228.5383	ELMO1	790.3557
ELMO2	1348.6079	ELMO2	1027.3598
ELMO3	321.9258	ELMO3	171.3406
ELMOD2	137.471	ELMOD2	246.58
ELMOD3	281.3225	ELMOD3	1675.1026
ELN	978.8283	ELN	1145.6908
ELOF1	1290.3132	ELOF1	508.5499
ELOVL1	1941.7053	ELOVL1	2054.7196
ELOVL2	33.6427	ELOVL2	765.0479
ELOVL3	17.4014	ELOVL3	120.725
ELOVL4	18.8515	ELOVL4	33.5157
ELOVL5	7844.2575	ELOVL5	14730.1642
ELOVL6	477.6682	ELOVL6	177.1546
ELOVL7	401.3921	ELOVL7	488.0301
ELP2P	6.3805	ELP2P	9.2339
ELP2	1672.8538	ELP2	2015.7319
ELP3	668.2135	ELP3	898.4268
ELP4	147.3318	ELP4	241.7921
ELTD1	312.935	ELTD1	2474.3502
EMB	247.6798	EMB	789.3297
EMCN	82.3666	EMCN	1524.9658
EMD	2031.0325	EMD	903.2148
EME1	48.0626	EME1	11.3885
EME2	19.1415	removed	removed
EMG1	563.8051	EMG1	456.5663
EMID1	27.2622	EMID1	29.7538
EMILIN1	801.3341	EMILIN1	263.3379
EMILIN2	292.3434	EMILIN2	345.7592
removed	removed	EMILIN3	64.7777
EML1	169.3735	EML1	517.4419
EML2	821.3602	EML2	283.1737
EML3	611.949	EML3	726.0602
EML4	1625	EML4	1268.4679
EML5	21.7517	EML5	53.3516
EML6	5.2204	EML6	14.7059
EMP1	3870.3596	EMP1	20452.1204
EMP2	4359.6288	EMP2	3754.104
EMP3	497.6798	EMP3	405.6088
EMR1	25.8121	EMR1	18.1259
EMR2	117.7494	EMR2	96.4432
removed	removed	EMR4P	6.156
EMX2OS	25.522	EMX2OS	127.565
EMX2	20.0116	EMX2	34.1997
EN1	42.9234	EN1	36.2517
ENAH	6185.6148	ENAH	2921.6826
ENC1	1340.8991	ENC1	931.6005
ENDOD1	1732.8886	ENDOD1	1844.7332
ENDOG	104.8173	ENDOG	117.8591
removed	removed	ENDOU	26.6758
ENGASE	261.0209	ENGASE	222.9822
ENG	1161.5429	ENG	3849.8632
ENHO	5.8005	ENHO	10.6019
ENKUR	28.4223	removed	removed
ENO1	16630.5104	ENO1	12019.1518
ENO2	1108.1787	ENO2	277.3598
ENO3	46.6937	ENO3	31.8057
ENOPH1	941.4153	ENOPH1	692.5445
ENOSF1	190.1131	ENOSF1	407.9343
ENOX1	119.7796	ENOX1	134.7469
ENOX2	168.5035	ENOX2	454.5144
ENPEP	134.5708	ENPEP	366.2791
ENPP1	1565.5452	ENPP1	1587.8933
ENPP2	110.4988	ENPP2	5266.0739
ENPP3	31.9026	ENPP3	30.0958
ENPP4	737.529	ENPP4	1146.7168
ENPP5	919.3735	ENPP5	473.3242
removed	removed	ENPP6	26.3338
ENSA	5711.1369	ENSA	3601.9152
ENTPD1	1050.7541	ENTPD1	1185.3625
ENTPD2	214.9072	ENTPD2	155.6088
ENTPD3	222.4217	ENTPD3	101.5732
ENTPD4	368.6195	ENTPD4	362.5171
ENTPD5	173.344	ENTPD5	446.4466
ENTPD6	1010.1508	ENTPD6	934.6785
ENTPD7	1321.9983	ENTPD7	181.8023
ENTPD8	8.4107	removed	removed
ENY2	371.8097	ENY2	490.0821
removed	removed	EOMES	15.7319
EP300	3021.4617	EP300	2555.7456
EP400NL	203.8863	EP400NL	114.2271
EP400	1973.6079	EP400	1497.264
EPAS1	1550.174	EPAS1	16611.8331
EPB41L1	1035.6729	EPB41L1	3172.3666
EPB41L2	1788.2831	EPB41L2	5755.13
EPB41L3	370.0696	EPB41L3	1666.5527
EPB41L4A	711.1369	EPB41L4A	831.0534
EPB41L4B	269.1415	EPB41L4B	2409.7127
EPB41L5	916.7633	EPB41L5	816.6895
EPB41	1737.8219	EPB41	1717.264
removed	removed	EPB42	86.1833
EPB49	122.3898	EPB49	954.8564
EPC1	579.4664	EPC1	736.3201
EPC2	709.3968	EPC2	1045.8276
EPCAM	6724.1879	EPCAM	900.8208
EPDR1	297.2738	EPDR1	840.9713
EPHA10	189.6752	EPHA10	35.9097
EPHA1	139.2111	EPHA1	164.5007
EPHA2	171.6937	EPHA2	483.2421
EPHA3	110.4988	EPHA3	135.0889
EPHA4	90.4872	EPHA4	561.5595
EPHA6	68.7355	removed	removed
removed	removed	EPHA7	43.4337
EPHB1	16.8213	EPHB1	234.6101
EPHB2	259.2807	EPHB2	66.3475
EPHB3	968.6775	EPHB3	429.5486
EPHB4	1915.6032	EPHB4	1693.2285
EPHB6	7.2506	EPHB6	226.4022
EPHX1	4161.8329	EPHX1	6299.2476
EPHX2	341.3573	EPHX2	927.1546
removed	removed	EPHX3	26.3338
EPHX4	358.4687	EPHX4	60.1915
EPM2AIP1	1571.3457	EPM2AIP1	1312.9275
EPM2A	68.1555	EPM2A	396.0328
EPN1	3111.949	EPN1	1036.9357
EPN2	515.0812	EPN2	957.5923
EPN3	486.6589	EPN3	155.2668
EPOR	45.5336	EPOR	95.6874
EPO	10.7309	removed	removed
EPPK1	185.6148	EPPK1	228.1122
EPR1	732.7465	EPR1	6.3235
EPRS	8076.2761	EPRS	3147.0588
EPS15L1	1461.7169	EPS15L1	676.8126
EPS15	1963.7471	EPS15	2884.0629
EPS8L1	453.3063	EPS8L1	113.5431
EPS8L2	1030.4524	EPS8L2	422.0246
EPS8	1329.1763	EPS8	3173.0506
EPSTI1	436.4849	EPSTI1	95.4172
EPT1	2063.779	EPT1	740.7627
EPYC	316.9954	removed	removed
ERAL1	836.4269	ERAL1	861.1491
ERAP1	1752.326	ERAP1	4311.3269
ERAP2	134.8608	ERAP2	125.855
ERBB2IP	3052.2042	ERBB2IP	2205.1984
ERBB2	1738.6891	ERBB2	3406.9767
ERBB3	4868.9095	ERBB3	3831.3953
ERBB4	381.6705	ERBB4	1164.5007
ERC1	2354.6984	ERC1	1361.1491
removed	removed	ERC2	9.9179
ERCC1	743.9095	ERCC1	741.7168
ERCC2	434.6056	ERCC2	265.7319
ERCC3	1076.5661	ERCC3	1015.0479
ERCC4	348.6079	ERCC4	363.5431
ERCC5	853.8283	ERCC5	1766.7579
ERCC6L	239.8492	ERCC6L	9.9179
ERCC6	244.8347	ERCC6	237.8317
ERCC8	203.3063	ERCC8	178.8646
removed	removed	EREG	46.1696
ERF	1071.9258	ERF	414.8427
ERGIC1	15893.5615	ERGIC1	4748.632
ERGIC2	1162.703	ERGIC2	747.948
ERGIC3	3691.4153	ERGIC3	3157.3187
ERG	175.7541	ERG	1181.9425
ERH	1807.1346	ERH	1274.6238
ERI1	334.1067	ERI1	429.5486
ERI2	348.2657	ERI2	469.4015
ERI3	1236.0789	ERI3	793.0917
ERICH1	112.529	ERICH1	271.5458
ERLEC1	2100.6381	ERLEC1	1933.3105
ERLIN1	839.3271	ERLIN1	1466.1423
ERLIN2	4358.7587	ERLIN2	2435.7045
ERMAP	188.8051	ERMAP	627.223
ERMN	57.7146	removed	removed
ERMP1	4950.2436	ERMP1	1571.6826
ERN1	517.6914	ERN1	69.7674
ERO1LB	124.42	ERO1LB	517.7839
ERO1L	832.3666	ERO1L	566.3475
ERP27	44.9536	ERP27	326.2654
ERP29	3515.9513	ERP29	1318.0575
ERP44	1224.478	ERP44	1772.5718
ERRFI1	690.8353	ERRFI1	4199.7264
removed	removed	ERVFRDE1	12.3119
ESAM	357.8886	ESAM	1486.6621
ESCO1	1323.3759	ESCO1	481.8741
ESCO2	155.1624	ESCO2	6.8399
ESD	1100.9281	ESD	2843.0233
ESF1	373.8399	ESF1	539.3297
ESM1	145.0116	removed	removed
ESPL1	532.1926	ESPL1	12.3119
removed	removed	ESPNL	7.8659
ESPN	145.5916	ESPN	134.7469
ESR1	22247.6798	ESR1	4248.29
removed	removed	ESR2	53.3516
ESRP1	4986.949	ESRP1	884.7469
ESRP2	891.2413	ESRP2	646.7168
ESRRA	449.536	ESRRA	304.0356
removed	removed	ESRRG	146.3748
ESYT1	5987.239	ESYT1	8764.3639
ESYT2	3323.0858	ESYT2	5078.6594
removed	removed	ESYT3	12.3119
ETAA1	314.0951	ETAA1	507.5239
ETF1	5636.6009	ETF1	3930.9166
ETFA	1774.3619	ETFA	2258.2079
ETFB	623.5499	ETFB	737.6881
ETFDH	300.7541	ETFDH	895.3488
ETHE1	458.2367	ETHE1	338.5773
ETNK1	1545.5336	ETNK1	1428.8646
ETNK2	1851.7981	ETNK2	440.4925
ETS1	1104.9884	ETS1	4137.8249
ETS2	842.8074	ETS2	2858.4131
ETV1	216.3573	ETV1	330.0274
ETV2	12.471	removed	removed
ETV3L	7.5406	removed	removed
ETV3	424.3039	ETV3	311.5595
ETV4	158.6427	ETV4	222.9822
ETV5	340.4872	ETV5	741.7921
ETV6	1701.5661	ETV6	1475.3762
ETV7	158.0626	ETV7	14.3639
EVC2	64.9652	EVC2	130.985
EVC	655.9194	EVC	707.7018
EVI2A	328.5963	EVI2A	291.0397
EVI2B	381.6705	EVI2B	392.9549
EVI5L	393.2715	EVI5L	188.7825
EVI5	355.8585	EVI5	620.383
EVL	505.2204	EVL	2148.7688
EVPL	453.8863	EVPL	147.0588
EWSR1	3882.2506	EWSR1	2844.7332
EXD2	488.109	EXD2	774.6238
EXD3	56.2645	EXD3	84.4733
EXO1	133.9907	EXO1	6.156
EXOC1	770.8817	EXOC1	1289.6717
EXOC2	1594.5476	EXOC2	1053.3516
EXOC3L2	14.5012	EXOC3L2	23.9398
EXOC3L	21.1717	EXOC3L	49.9008
EXOC3	812.935	EXOC3	1126.539
EXOC4	834.1067	EXOC4	1812.2435
EXOC5	1032.4826	EXOC5	1785.5677
EXOC6B	171.6937	EXOC6B	261.2859
EXOC6	1211.7169	EXOC6	511.2859
EXOC7	2177.413	EXOC7	2487.3461
EXOC8	566.4153	EXOC8	639.8769
EXOG	85.2668	EXOG	126.197
EXOSC10	1239.2691	EXOSC10	1593.0233
EXOSC1	375.29	EXOSC1	333.4473
EXOSC2	329.7564	EXOSC2	336.8673
EXOSC3	422.8538	EXOSC3	219.9042
EXOSC4	315.2552	EXOSC4	98.4952
EXOSC5	489.5592	EXOSC5	178.5226
EXOSC6	202.1462	EXOSC6	295.8276
EXOSC7	471.5777	EXOSC7	354.3092
EXOSC8	185.116	EXOSC8	345.3317
EXOSC9	339.4693	EXOSC9	466.3748
EXPH5	247.6798	EXPH5	215.4583
EXT1	600.9281	EXT1	1259.2339
EXT2	1354.4084	EXT2	2059.1655
EXTL1	36.2529	EXTL1	109.0971
EXTL2	334.6868	EXTL2	409.0287
EXTL3	864.5592	EXTL3	962.0383
EYA1	10.4408	EYA1	32.1477
EYA2	130.8005	EYA2	772.2298
EYA3	434.4548	EYA3	97.4692
EYA4	12.761	EYA4	7.1819
removed	removed	EYS	52.3256
EZH1	342.2274	EZH1	2244.186
EZH2	854.9884	EZH2	55.4036
EZR	9331.4965	EZR	2883.0369
F10	5.2204	F10	55.4036
F11R	5145.5916	F11R	4105.3352
F12	291.1833	F12	15.7319
F13A1	1301.6241	F13A1	4169.2886
F2RL1	98.0278	F2RL1	203.1464
F2RL2	69.8956	F2RL2	251.71
F2RL3	53.9443	F2RL3	36.5937
F2R	756.3805	F2R	1127.565
F3	285.9629	F3	3711.3543
F5	26.3921	F5	16.0739
F7	60.6148	F7	26.3338
F8A1	76.2761	F8A1	111.8331
F8	175.174	F8	1739.3981
FA2H	73.6659	FA2H	23.2558
FAAH2	254.6404	FAAH2	189.4665
FAAH	544.3735	FAAH	347.4692
FABP3	67.2854	FABP3	73.8714
FABP4	14.7912	FABP4	66189.8085
FABP5	86.1369	FABP5	229.4802
removed	removed	FABP7	302.6676
FADD	647.9118	FADD	373.803
FADS1	435.3248	FADS1	678.8646
FADS2	389.5012	FADS2	621.751
FADS3	324.2459	FADS3	1493.5021
FAF1	1315.8353	FAF1	1000.684
FAF2	2320.1856	FAF2	1652.5308
FAHD1	966.0615	FAHD1	529.0663
FAHD2A	159.8028	FAHD2A	390.9029
FAHD2B	203.8863	FAHD2B	186.3885
FAH	1677.2042	FAH	3046.5116
FAIM2	377.9002	FAIM2	21.2038
FAIM3	170.4495	FAIM3	118.6765
FAIM	466.0673	FAIM	400.8208
FAM100A	382.8306	FAM100A	172.3666
FAM100B	457.9466	FAM100B	682.6265
FAM101A	106.7285	FAM101A	49.9316
FAM101B	208.5267	FAM101B	533.8577
FAM102A	3948.9559	FAM102A	1893.2969
FAM102B	560.3248	FAM102B	861.1491
FAM103A1	560.8295	FAM103A1	378.9159
FAM104A	887.7929	FAM104A	841.3372
FAM104B	135.4408	FAM104B	224.6922
FAM105A	138.051	FAM105A	359.0971
FAM105B	539.1531	FAM105B	399.1108
FAM106A	8.1206	removed	removed
FAM106C	5.8005	FAM106C	6.4979
FAM107A	24.652	FAM107A	1559.1655
FAM107B	1603.8283	FAM107B	3827.2914
FAM108A1	299.0139	FAM108A1	301.6416
FAM108B1	252.9002	FAM108B1	398.4268
FAM108C1	1610.7889	FAM108C1	195.2804
FAM109A	198.3759	FAM109A	189.8085
FAM109B	296.6937	FAM109B	227.7702
FAM10A4	281.9026	FAM10A4	491.1081
FAM110A	206.4965	FAM110A	198.3584
FAM110B	654.0023	FAM110B	375.171
FAM110C	16.2413	removed	removed
FAM111A	1026.1021	FAM111A	849.8632
FAM111B	659.5128	FAM111B	15.3899
FAM113A	153.1323	FAM113A	365.5951
FAM113B	50.174	FAM113B	155.2668
FAM114A1	1434.1647	FAM114A1	671.6826
FAM114A2	356.4385	FAM114A2	581.3953
FAM115A	284.8028	FAM115A	621.409
FAM115C	131.6821	FAM115C	384.7743
FAM116A	1007.8306	FAM116A	1150.4788
FAM116B	83.8167	FAM116B	104.9932
FAM117A	190.8353	FAM117A	482.9001
FAM117B	502.6102	FAM117B	410.3967
FAM118A	153.7123	FAM118A	319.7674
FAM118B	257.2506	FAM118B	228.1122
FAM119A	169.0835	FAM119A	146.7168
FAM119B	294.6636	FAM119B	306.7715
FAM120AOS	946.8677	FAM120AOS	1399.8598
FAM120A	4370.9977	FAM120A	4389.1279
FAM120B	833.5267	FAM120B	1097.1272
FAM120C	700.9861	FAM120C	487.3461
FAM122A	234.6288	FAM122A	919.6306
FAM122B	1279.5824	FAM122B	741.1081
FAM122C	23.2019	FAM122C	34.1997
FAM123B	211.1369	FAM123B	172.0246
FAM123C	8.7007	removed	removed
FAM124A	7.5406	FAM124A	68.0575
FAM124B	17.6914	FAM124B	74.2134
FAM125A	771.7517	FAM125A	398.4268
FAM125B	135.4408	FAM125B	415.1847
FAM126A	236.949	FAM126A	1023.5978
FAM126B	869.4896	FAM126B	753.078
FAM127A	1011.6009	FAM127A	2005.13
FAM127B	505.2204	FAM127B	846.1012
FAM127C	100.348	FAM127C	443.9124
FAM128A	451.5661	FAM128A	77.6334
FAM128B	1189.3852	FAM128B	298.5636
FAM129A	656.0325	FAM129A	3444.2544
FAM129B	1675.464	FAM129B	1561.5595
FAM131A	323.3759	FAM131A	194.2544
FAM131B	5.5104	FAM131B	40.0137
FAM133B	191.1253	FAM133B	143.2969
FAM134A	2888.3411	FAM134A	2583.7893
FAM134B	1039.1531	FAM134B	1025.9918
FAM134C	1240.4292	FAM134C	2058.8235
FAM135A	77.1462	FAM135A	336.5253
FAM135B	21.1717	FAM135B	6.8399
FAM136A	820.7657	FAM136A	511.9699
FAM13AOS	13.1555	FAM13AOS	69.7332
FAM13A	246.9954	FAM13A	3769.87
FAM13B	966.9548	FAM13B	1449.4528
FAM13C	24.3242	FAM13C	504.2202
FAM149A	20.5916	FAM149A	291.3817
FAM149B1	385.4408	FAM149B1	739.3981
removed	removed	FAM150B	24.2818
FAM151B	16.2413	FAM151B	19.1518
FAM154B	49.594	FAM154B	20.8618
FAM155A	11.3109	FAM155A	40.6977
removed	removed	FAM155B	11.9699
FAM156A	461.1369	FAM156A	599.5212
FAM157A	78.3063	FAM157A	9.9179
FAM158A	170.5336	FAM158A	70.1094
FAM160A1	76.2761	FAM160A1	110.4651
FAM160A2	649.3619	FAM160A2	677.8386
FAM160B1	836.1369	FAM160B1	1373.119
FAM160B2	630.8005	FAM160B2	1042.0657
FAM161A	70.1856	FAM161A	79.6854
FAM161B	95.0725	FAM161B	154.4973
FAM162A	1398.2019	FAM162A	894.6648
removed	removed	FAM162B	61.2175
FAM164A	163.2831	FAM164A	401.1628
FAM164C	28.7123	FAM164C	41.3817
FAM165B	353.2483	FAM165B	351.9152
removed	removed	FAM166B	50.6156
FAM167A	31.0325	FAM167A	44.8016
FAM167B	31.3225	FAM167B	35.5677
FAM168A	348.0278	FAM168A	272.5718
FAM168B	2580.3364	FAM168B	3722.2982
FAM169A	153.1323	FAM169A	114.5691
FAM171A1	86.1369	FAM171A1	741.1081
FAM171A2	17.4014	FAM171A2	9.5759
FAM171B	809.1647	FAM171B	380.301
FAM172A	253.7703	FAM172A	1015.3899
FAM173A	110.7889	FAM173A	37.9617
FAM173B	175.7541	FAM173B	339.9453
FAM174A	463.1671	FAM174A	340.6293
FAM174B	2205.9165	FAM174B	967.5103
FAM175A	143.9994	FAM175A	408.4918
FAM175B	644.1415	FAM175B	652.5308
FAM176A	63.5151	FAM176A	39.6717
FAM176B	699.1038	FAM176B	105.1505
FAM177A1	1222.7378	FAM177A1	999.658
removed	removed	FAM177B	7.5239
FAM178A	555.3944	FAM178A	909.7127
FAM178B	21.4617	FAM178B	32.8317
removed	removed	FAM179A	5.472
FAM179B	732.0186	FAM179B	743.844
FAM180A	113.6891	FAM180A	80.7114
removed	removed	FAM180B	17.0999
removed	removed	FAM181B	8.5499
removed	removed	FAM182B	12.6539
FAM183A	21.7517	removed	removed
FAM184A	40.3132	FAM184A	166.8947
FAM184B	34.214	removed	removed
FAM185A	82.6566	FAM185A	106.7031
FAM186B	13.9211	FAM186B	11.9699
FAM188A	711.4269	FAM188A	693.2285
FAM188B	152.0621	FAM188B	232.8283
FAM189A1	6.3805	FAM189A1	7.8659
FAM189A2	33.3527	FAM189A2	753.42
FAM189B	1428.3643	FAM189B	456.2244
FAM18A	5.377	FAM18A	22.5547
FAM18B2	144.0284	FAM18B2	305.9337
FAM18B	428.3643	FAM18B	824.8974
FAM190A	5.5104	FAM190A	93.0233
FAM190B	1196.9258	FAM190B	1827.2914
FAM192A	615.1392	FAM192A	1168.9466
FAM193A	912.413	FAM193A	761.9699
FAM193B	495.3596	FAM193B	568.3995
FAM195A	485.7889	FAM195A	107.3871
FAM195B	630.2204	FAM195B	886.7989
FAM196A	69.0255	FAM196A	24.9658
FAM196B	6.3805	FAM196B	29.7538
FAM198A	144.7216	FAM198A	112.5171
FAM198B	4717.2274	FAM198B	4317.0315
FAM199X	1086.7169	FAM199X	472.2982
removed	removed	FAM19A1	5.13
FAM19A2	6.6705	FAM19A2	32.4897
removed	removed	FAM19A3	6.4979
FAM19A5	56.8445	FAM19A5	14.7059
FAM200A	174.0139	FAM200A	202.1204
FAM200B	429.2343	FAM200B	649.4528
FAM20A	215.1972	FAM20A	253.42
FAM20B	1600.6381	FAM20B	2996.922
FAM20C	348.8979	FAM20C	961.3543
FAM21A	714.3271	FAM21A	1031.8057
FAM21B	441.7053	FAM21B	775.6498
FAM21C	1534.5128	FAM21C	1691.1765
FAM22A	20.3016	FAM22A	42.4077
FAM22D	72.2158	FAM22D	106.0192
removed	removed	FAM23A	25.9918
FAM24B	29.9913	FAM24B	13.013
FAM26E	189.3852	FAM26E	291.3817
FAM26F	67.5754	FAM26F	80.7114
FAM27A	21.4617	FAM27A	6.156
FAM27C	19.7216	removed	removed
FAM32A	1737.529	FAM32A	1614.5691
FAM35A	1146.7517	FAM35A	997.264
FAM35B2	91.9374	FAM35B2	83.7893
FAM35B	367.1694	FAM35B	286.2517
FAM36A	801.6241	FAM36A	843.7312
FAM38A	1121.1021	FAM38A	2873.9364
FAM38B	57.4246	FAM38B	48.5636
FAM3A	569.0255	FAM3A	482.5581
FAM3B	22.9118	FAM3B	102.5992
FAM3C	1236.949	FAM3C	1173.3926
removed	removed	FAM3D	13.3379
FAM40A	807.1346	FAM40A	692.5445
FAM40B	24.652	FAM40B	34.5417
FAM41C	10.7309	FAM41C	23.5978
FAM43A	214.3271	FAM43A	193.5705
removed	removed	FAM43B	8.2079
FAM45A	367.1694	FAM45A	538.6457
FAM45B	187.645	FAM45B	228.1122
FAM46A	381.6705	FAM46A	588.2353
FAM46B	1198.3759	FAM46B	492.1341
FAM46C	1068.1555	FAM46C	599.8632
FAM47E	70.3161	FAM47E	251.922
FAM48A	674.5128	FAM48A	825.3249
FAM49A	57.7146	FAM49A	248.29
FAM49B	1465.4872	FAM49B	1257.8659
FAM50A	1129.6404	FAM50A	547.5376
FAM50B	160.3828	FAM50B	140.2189
FAM53A	13.051	FAM53A	7.5239
FAM53B	932.1317	FAM53B	716.0465
FAM53C	1459.9739	FAM53C	1305.7456
FAM54A	113.109	FAM54A	5.472
FAM54B	749.127	FAM54B	1432.0144
FAM55C	1456.4965	FAM55C	802.6881
removed	removed	FAM55D	6.156
FAM57A	202.4362	FAM57A	163.8167
FAM57B	37.8625	removed	removed
FAM58A	268.8515	FAM58A	212.0383
FAM59A	165.6032	FAM59A	189.4665
removed	removed	FAM5B	11.9699
FAM60A	1788.2831	FAM60A	987.6881
FAM63A	1120.0696	FAM63A	749.316
FAM63B	279.8724	FAM63B	283.8577
FAM64A	114.2691	removed	removed
FAM65A	838.1671	FAM65A	1291.0397
FAM65B	50.7541	FAM65B	289.3297
FAM65C	29.5824	FAM65C	68.0575
FAM66C	13.9211	FAM66C	30.0958
FAM69A	178.6543	FAM69A	739.3981
FAM69B	40.0348	FAM69B	235.3386
removed	removed	FAM69C	17.4419
FAM70A	40.3132	FAM70A	195.6224
FAM70B	24.0719	FAM70B	21.5458
removed	removed	FAM71A	5.472
FAM71D	30.4524	FAM71D	15.3899
FAM71E1	59.594	FAM71E1	18.1464
FAM71F2	6.0905	FAM71F2	10.2599
FAM72A	35.0928	removed	removed
FAM72B	29.2923	FAM72B	15.0479
FAM72D	14.2111	removed	removed
FAM73A	1095.1276	FAM73A	865.5951
FAM73B	252.0302	FAM73B	205.8824
FAM76A	266.2413	FAM76A	526.3338
FAM76B	427.2042	FAM76B	422.3666
FAM78A	105.2784	FAM78A	101.2312
FAM78B	16.2413	FAM78B	12.6539
removed	removed	FAM7A2	5.472
removed	removed	FAM7A3	12.6539
FAM81A	56.8445	FAM81A	15.3899
FAM82A1	51.6241	FAM82A1	153.8988
FAM82A2	1191.7053	FAM82A2	779.4118
FAM82B	242.7494	FAM82B	1497.606
FAM83A	11.0209	removed	removed
removed	removed	FAM83B	58.1395
FAM83D	456.4965	FAM83D	13.6799
FAM83E	107.0186	FAM83E	42.4077
FAM83F	252.9002	FAM83F	88.2353
FAM83G	116.0093	FAM83G	41.9357
FAM83H	1582.9466	FAM83H	637.4829
FAM84A	107.0186	FAM84A	105.3352
FAM84B	2055.1044	FAM84B	1861.8331
FAM86A	326.0702	FAM86A	255.236
FAM86B1	75.116	FAM86B1	96.4432
FAM86B2	9.8608	FAM86B2	6.8399
FAM86C	212.297	FAM86C	127.907
FAM86D	203.0162	FAM86D	191.8605
FAM89A	27.5522	FAM89A	1436.7305
FAM89B	1080.6265	FAM89B	579.6854
FAM8A1	1303.9443	FAM8A1	1883.0369
FAM90A1	20.0116	FAM90A1	10.6019
FAM91A1	1232.0186	FAM91A1	1110.4651
FAM92A1	126.7401	FAM92A1	197.6744
FAM92B	6.6705	removed	removed
removed	removed	FAM95B1	31.1218
FAM96A	1294.9536	FAM96A	455.1984
FAM96B	386.0209	FAM96B	413.1327
FAM98A	1386.891	FAM98A	996.58
FAM98B	551.9142	FAM98B	379.275
FAM98C	133.1206	FAM98C	116.9631
FANCA	219.4403	FANCA	17.606
FANCB	29.2923	FANCB	9.5759
FANCC	205.0464	FANCC	187.7565
FANCD2	946.9258	FANCD2	150.1368
FANCE	89.0371	FANCE	175.4446
FANCF	256.3805	FANCF	262.9959
FANCG	166.7633	FANCG	182.2845
FANCI	1502.1317	FANCI	230.7832
FANCL	242.6943	FANCL	267.8625
FANCM	168.7935	FANCM	230.8482
FANK1	57.1346	FANK1	104.6512
FAP	995.0696	FAP	309.5075
FAR1	2561.7749	FAR1	1741.7921
FAR2	42.8799	FAR2	111.026
FARP1	1455.9165	FARP1	1693.9124
FARP2	360.4988	FARP2	278.7278
FARS2	173.1439	FARS2	221.2722
FARSA	2414.1531	FARSA	484.9521
FARSB	1241.5893	FARSB	1067.0315
removed	removed	FASLG	11.9699
FASN	23082.6566	FASN	14497.606
FASTKD1	207.9466	FASTKD1	255.814
FASTKD2	1323.6659	FASTKD2	1109.0971
FASTKD3	238.3991	FASTKD3	168.2627
FASTKD5	261.891	FASTKD5	478.7962
FASTK	1076.2761	FASTK	624.487
FAS	207.3666	FAS	360.1231
FAT1	1207.0766	FAT1	4829.0014
removed	removed	FAT2	508.8919
FAT3	38.2831	FAT3	31.1218
FAT4	196.0557	FAT4	548.2216
FAU	7808.0046	FAU	3828.6594
FBF1	62.6102	FBF1	78.6286
FBLIM1	395.0116	FBLIM1	820.1094
removed	removed	FBLL1	8.2079
FBLN1	3714.9072	FBLN1	4268.8098
FBLN2	1754.6404	FBLN2	5564.9795
FBLN5	431.8445	FBLN5	4228.1122
FBLN7	66.9954	FBLN7	311.5595
FBL	2915.0232	FBL	1940.1505
FBN1	8179.8144	FBN1	5678.1806
FBN2	78.5963	FBN2	18.4679
FBP1	685.9049	FBP1	824.5554
FBRSL1	471.5777	FBRSL1	420.3146
FBRS	1460.2668	FBRS	814.2955
FBXL12	334.9768	FBXL12	400.1368
FBXL13	7.8306	FBXL13	8.8919
