gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
CTNNA3	5.5097	CTNNA3	6.1701
CTNNAL1	283.1977	CTNNAL1	777.435
CTNNB1	13146.0543	CTNNB1	10133.0101
CTNNBIP1	816.1676	CTNNBIP1	992.9484
CTNNBL1	986.9678	CTNNBL1	857.6465
CTNND1	10499.2507	CTNND1	9164.3896
CTNND2	198.7159	CTNND2	110.6214
CTNS	331.4625	CTNS	406.4654
CTPS2	777.5998	CTPS2	546.937
CTPS	694.22	CTPS	325.2534
CTR9	2894.7871	CTR9	1888.9379
removed	removed	CTRL	6.1701
CTSA	1773.2839	CTSA	1790.5245
CTSB	15274.676	CTSB	11966.9458
CTSC	1635.2737	CTSC	1574.2618
CTSD	17131.439	CTSD	12138.8277
CTSF	1567.321	CTSF	2347.2896
CTSG	113.4995	CTSG	263.9929
CTSH	1472.1871	CTSH	2262.2301
CTSK	5287.4585	CTSK	6721.4632
CTSL1	1425.5385	CTSL1	1873.0718
CTSL2	45.1794	CTSL2	40.5465
CTSO	999.0891	CTSO	1472.8955
CTSS	1143.8101	CTSS	1457.0295
CTSW	56.5661	CTSW	76.245
CTSZ	3153.7422	CTSZ	3538.1225
CTTNBP2NL	913.5053	CTTNBP2NL	1104.4513
CTTNBP2	92.1954	CTTNBP2	244.1604
CTTN	5316.1088	CTTN	3973.9974
CTU1	20.2022	CTU1	29.5284
CTU2	65.5615	CTU2	115.8131
CTXN1	410.655	CTXN1	71.3971
CUBN	36.3639	CUBN	126.0467
CUEDC1	468.6903	CUEDC1	311.1503
CUEDC2	732.0531	CUEDC2	693.6977
CUL1	1287.7964	CUL1	1488.3208
CUL2	806.9848	CUL2	718.3781
CUL3	2083.7619	CUL3	1880.1234
CUL4A	2236.931	CUL4A	1762.4504
CUL4B	1874.7612	CUL4B	2112.825
CUL5	728.7473	CUL5	1071.8378
CUL7	1251.6786	CUL7	1212.2521
CUL9	606.4324	CUL9	881.4456
CUTA	1968.0585	CUTA	1286.0291
CUTC	214.4405	CUTC	378.2636
CUX1	1524.7128	CUX1	1133.539
CUX2	12.4886	CUX2	121.6395
CUZD1	16.1544	CUZD1	14.7862
CWC15	994.314	CWC15	727.6333
CWC22	647.5713	CWC22	803.8784
CWC25	322.1328	CWC25	582.1948
CWC27	601.29	CWC27	369.7664
CWF19L1	524.5218	CWF19L1	531.071
CWF19L2	382.0046	CWF19L2	616.5712
CWH43	20.9368	CWH43	7.4923
CX3CL1	887.4262	CX3CL1	5799.4711
CX3CR1	349.6812	CX3CR1	323.0498
CXADRP3	9.5501	removed	removed
CXADR	415.7974	CXADR	178.4927
CXCL10	329.479	CXCL10	173.2041
CXCL11	124.1515	CXCL11	31.2913
CXCL12	4064.309	CXCL12	8716.1745
CXCL13	24.9772	CXCL13	11.4588
CXCL14	2299.0068	CXCL14	4523.1379
CXCL16	1333.3431	CXCL16	1237.1089
CXCL17	40.037	CXCL17	20.714
CXCL1	5.877	CXCL1	19.8325
CXCL2	30.1196	CXCL2	344.2045
removed	removed	CXCL3	19.8325
CXCL9	272.9129	CXCL9	162.186
CXCR1	11.3867	CXCR1	89.9074
CXCR2P1	19.4675	CXCR2P1	5.2887
CXCR2	19.8349	CXCR2	134.4204
CXCR3	45.5467	CXCR3	35.2578
CXCR4	1254.7383	CXCR4	767.7391
CXCR6	55.0968	CXCR6	62.5826
CXCR7	794.8635	CXCR7	1166.1525
CXXC1	633.9808	CXXC1	848.3914
CXXC4	44.8121	CXXC4	10.5773
CXXC5	1213.2321	CXXC5	460.996
CXorf21	65.0143	CXorf21	71.8378
CXorf23	283.565	CXorf23	289.1141
CXorf26	430.4898	CXorf26	396.2098
CXorf36	714.0548	CXorf36	2147.2014
CXorf38	279.5246	CXorf38	223.8872
CXorf40A	399.6356	CXorf40A	354.7818
CXorf40B	405.1453	CXorf40B	402.8206
CXorf42	9.1828	CXorf42	21.5954
CXorf56	254.9146	CXorf56	264.8744
CXorf57	30.4869	CXorf57	37.4614
CYB561D1	223.3258	CYB561D1	492.7281
CYB561D2	481.627	CYB561D2	232.2609
CYB561	2303.7818	CYB561	1393.1247
CYB5A	3449.4285	CYB5A	2040.5465
CYB5B	1036.1876	CYB5B	1369.3257
CYB5D1	1180.5413	CYB5D1	750.9916
CYB5D2	404.778	CYB5D2	576.4654
CYB5R1	1909.6559	CYB5R1	1310.2688
CYB5R2	156.1077	CYB5R2	174.0855
CYB5R3	3097.5434	CYB5R3	6847.0692
CYB5R4	329.8463	CYB5R4	248.5677
CYB5RL	113.1321	CYB5RL	116.7915
CYBASC3	1474.391	CYBASC3	1147.2014
CYBA	667.4062	CYBA	562.3623
CYBB	805.1482	CYBB	993.8299
CYBRD1	6645.7788	CYBRD1	13641.2517
CYC1	2814.3457	CYC1	1297.4879
CYCS	1807.5431	CYCS	1671.6615
CYFIP1	3660.633	CYFIP1	3568.5324
CYFIP2	2351.1651	CYFIP2	711.3266
CYGB	338.6618	CYGB	801.234
CYHR1	968.6022	CYHR1	573.3803
CYLD	1714.6131	CYLD	1438.0784
CYP11A1	31.2215	CYP11A1	105.7735
removed	removed	CYP19A1	5.7294
CYP1B1	2275.8661	CYP1B1	1637.2851
CYP20A1	621.8595	CYP20A1	761.569
CYP21A2	268.957	CYP21A2	119.3257
CYP24A1	5.877	CYP24A1	8.8145
CYP26A1	33.4254	CYP26A1	65.227
CYP26B1	49.5871	CYP26B1	268.8409
CYP27A1	392.6567	CYP27A1	741.2957
CYP27B1	9.9174	CYP27B1	14.5439
CYP27C1	10.6521	CYP27C1	31.732
removed	removed	CYP2A6	24.6805
CYP2B7P1	1676.78	CYP2B7P1	315.1168
removed	removed	CYP2C8	13.6624
removed	removed	CYP2D6	8.3737
removed	removed	CYP2D7P1	14.9846
CYP2E1	35.9452	CYP2E1	50.0088
CYP2J2	121.9476	CYP2J2	119.8766
CYP2R1	335.356	CYP2R1	223.0057
CYP2S1	47.016	CYP2S1	42.7501
CYP2U1	242.426	CYP2U1	498.8982
CYP39A1	42.6082	CYP39A1	123.4024
removed	removed	CYP3A4	16.7475
CYP3A5	5.1424	CYP3A5	10.5773
CYP46A1	12.8559	CYP46A1	61.7012
removed	removed	CYP4A11	7.4923
CYP4B1	1155.564	CYP4B1	376.818
CYP4F11	258.5878	CYP4F11	105.7735
CYP4F12	7.3462	CYP4F12	32.1728
CYP4F22	102.1128	CYP4F22	558.8365
removed	removed	CYP4F3	5.7294
CYP4F8	16.1617	removed	removed
CYP4V2	598.7188	CYP4V2	566.3288
CYP4X1	73.0951	CYP4X1	455.7074
CYP4Z1	47.3833	CYP4Z1	33.4949
CYP4Z2P	316.2558	CYP4Z2P	35.2578
CYP51A1	1662.0875	CYP51A1	920.2292
CYP7B1	107.2551	CYP7B1	210.6655
removed	removed	CYP8B1	9.2552
CYR61	12425.8029	CYR61	30015.4253
CYS1	189.9004	CYS1	161.3045
CYSLTR1	95.5012	CYSLTR1	97.8405
CYSLTR2	21.3041	CYSLTR2	48.0388
CYTH1	744.9091	CYTH1	1041.4279
CYTH2	1406.0709	CYTH2	1573.8211
CYTH3	963.8271	CYTH3	1337.5937
CYTH4	199.0832	CYTH4	321.7276
CYTIP	154.6384	CYTIP	185.1036
CYTL1	17.631	CYTL1	59.0569
CYTSA	1575.7692	CYTSA	2006.1701
CYTSB	706.3413	CYTSB	459.6739
CYYR1	453.6305	CYYR1	1407.6686
D2HGDH	213.4084	D2HGDH	353.4597
D4S234E	48.8525	D4S234E	286.4698
DAAM1	851.7969	DAAM1	977.5231
DAAM2	411.1362	DAAM2	1632.3182
DAB2IP	1370.4417	DAB2IP	2771.2649
DAB2	1990.8319	DAB2	3089.9074
DACH1	1023.699	DACH1	451.7409
DACT1	621.8595	DACT1	363.1556
DACT2	15.7944	DACT2	68.7528
DACT3	141.4152	DACT3	113.7065
DAD1	2215.6269	DAD1	1765.9762
DAG1	5840.6306	DAG1	3955.487
DAGLA	347.8446	DAGLA	283.3848
DAGLB	389.7182	DAGLB	370.6479
DAK	1107.4462	DAK	672.543
DALRD3	1070.3072	DALRD3	566.5624
DAND5	5.5097	removed	removed
DAP3	2198.7306	DAP3	1437.6377
DAPK1	388.6163	DAPK1	756.2803
DAPK2	320.6635	DAPK2	462.3182
DAPK3	701.1989	DAPK3	827.6774
DAPL1	6.2443	DAPL1	8.8145
DAPP1	340.1311	DAPP1	139.7091
DAP	4008.4776	DAP	2236.2274
DARC	1050.1455	DARC	2833.8475
DARS2	561.6203	DARS2	440.7228
DARS	1598.5425	DARS	1484.7951
DAXX	1600.3791	DAXX	1420.4495
DAZAP1	1173.9297	DAZAP1	966.5051
DAZAP2	5835.8555	DAZAP2	5873.9533
DBC1	39.6697	DBC1	130.0132
DBF4B	111.6629	DBF4B	106.6549
DBF4	156.1077	DBF4	156.8973
DBI	2074.2117	DBI	2255.6192
DBN1	2146.2049	DBN1	1313.3539
DBNDD1	457.3036	DBNDD1	158.6602
DBNDD2	903.8487	DBNDD2	770.7933
DBNL	1903.4116	DBNL	1582.1948
DBP	172.251	DBP	245.8969
DBR1	351.885	DBR1	302.3358
DBT	1128.7503	DBT	823.7109
DBX2	9.9174	DBX2	29.9691
DCAF10	2030.1343	DCAF10	1107.5364
DCAF11	2112.2469	DCAF11	1839.5769
removed	removed	DCAF12L2	5.2887
DCAF12	1722.3267	DCAF12	1349.9339
DCAF13	922.1629	DCAF13	587.1045
DCAF15	382.372	DCAF15	322.1684
DCAF16	1517.7338	DCAF16	1053.3275
DCAF17	491.0964	DCAF17	483.0322
removed	removed	DCAF4L1	6.1701
DCAF4	594.6784	DCAF4	272.8074
DCAF5	1722.3267	DCAF5	1867.3424
DCAF6	1680.4531	DCAF6	1679.5945
DCAF7	3191.5753	DCAF7	2400.1763
DCAF8	1969.8584	DCAF8	2542.8515
DCAKD	1078.7958	DCAKD	1002.6443
DCBLD1	275.4841	DCBLD1	223.4465
DCBLD2	792.6596	DCBLD2	1359.6298
DCDC1	8.7016	removed	removed
DCDC2	140.8128	DCDC2	441.5425
DCHS1	1468.8813	DCHS1	2180.6963
DCHS2	44.4448	DCHS2	55.9718
DCI	1116.9963	DCI	554.4293
DCK	497.3407	DCK	371.97
DCLK1	1170.6238	DCLK1	1416.0423
DCLK2	95.5012	DCLK2	92.5518
DCLK3	7.7136	DCLK3	22.0361
DCLRE1A	441.1419	DCLRE1A	295.725
DCLRE1B	248.6703	DCLRE1B	222.1243
DCLRE1C	214.143	DCLRE1C	280.7404
DCN	22995.5776	DCN	47955.9277
DCP1A	952.0731	DCP1A	1226.5315
DCP1B	438.938	DCP1B	418.2459
DCP2	1832.5203	DCP2	1207.1397
DCPS	192.8389	DCPS	181.5778
DCST2	12.8559	DCST2	34.3764
DCTD	1687.7994	DCTD	1340.238
DCTN1	5055.6478	DCTN1	4096.0511
DCTN2	1915.9002	DCTN2	1978.8453
DCTN3	739.7667	DCTN3	658.4398
DCTN4	3338.8675	DCTN4	1980.6082
DCTN5	1646.6604	DCTN5	1095.1961
DCTN6	571.1704	DCTN6	495.3724
DCTPP1	1230.1284	DCTPP1	518.7307
removed	removed	DCT	18.0696
DCUN1D1	645.3675	DCUN1D1	555.7514
DCUN1D2	296.4209	DCUN1D2	255.1785
DCUN1D3	203.8582	DCUN1D3	645.2182
DCUN1D4	833.4313	DCUN1D4	855.0022
DCUN1D5	602.0246	DCUN1D5	312.9132
DCXR	1171.7258	DCXR	659.762
DCX	9.1828	DCX	35.6985
DDA1	552.8048	DDA1	548.6999
DDAH1	2498.09	DDAH1	962.0978
DDAH2	1424.0692	DDAH2	1908.7704
DDB1	9096.8529	DDB1	5661.0842
DDB2	597.6169	DDB2	748.788
DDHD1	362.1698	DDHD1	468.929
DDHD2	1120.3021	DDHD2	1529.3081
DDI2	202.4	DDI2	196.3993
DDIT3	212.7619	DDIT3	398.929
DDIT4L	41.5063	DDIT4L	63.0234
DDIT4	7007.214	DDIT4	573.8211
DDOST	4502.8797	DDOST	3133.539
DDO	83.3799	DDO	79.7708
DDR1	6151.0094	DDR1	4404.1428
DDR2	433.061	DDR2	1441.6042
DDRGK1	606.0651	DDRGK1	698.5456
DDTL	104.1918	DDTL	89.4359
DDT	372.2562	DDT	326.818
DDX10	470.1596	DDX10	474.6584
DDX11L2	5.1424	DDX11L2	6.6108
DDX11	355.5582	DDX11	330.1014
DDX12	45.1794	DDX12	57.7347
DDX17	8095.1926	DDX17	16022.4769
DDX18	1846.1109	DDX18	1778.7572
DDX19A	620.7575	DDX19A	927.7215
DDX19B	605.6941	DDX19B	717.056
DDX1	2293.1298	DDX1	2220.3614
DDX20	449.5901	DDX20	495.3724
DDX21	2244.6446	DDX21	1894.6673
DDX23	2803.6937	DDX23	2298.81
DDX24	2996.1653	DDX24	3617.4526
removed	removed	DDX25	6.1701
DDX26B	103.2147	DDX26B	287.3513
DDX27	1130.2195	DDX27	1151.6086
DDX28	155.7404	DDX28	225.2093
DDX31	392.2894	DDX31	314.6761
DDX39	462.8133	DDX39	429.7047
DDX3X	7464.885	DDX3X	12408.55
DDX41	1453.8215	DDX41	1063.4641
DDX42	2952.4551	DDX42	3382.9881
removed	removed	DDX43	15.5619
DDX46	2443.3605	DDX46	1717.4967
DDX47	1048.3089	DDX47	1024.6805
DDX49	723.6049	DDX49	579.9912
DDX50	1051.2474	DDX50	987.6598
DDX51	325.4386	DDX51	497.576
DDX52	660.7946	DDX52	549.1406
DDX54	1372.5721	DDX54	1034.1031
DDX55	475.3019	DDX55	417.3645
DDX56	1215.4359	DDX56	1016.7475
DDX58	2279.1719	DDX58	1035.6985
DDX59	602.0246	DDX59	496.2539
DDX5	10670.4181	DDX5	15687.0868
DDX60L	903.9552	DDX60L	587.4835
DDX60	2965.311	DDX60	1046.7166
DDX6	3297.3612	DDX6	4356.9855
DEAF1	868.6933	DEAF1	602.9088
DECR1	705.974	DECR1	1104.0106
DECR2	901.384	DECR2	356.9855
DEDD2	494.7695	DEDD2	446.8929
DEDD	686.9472	DEDD	775.4517
DEF6	238.7529	DEF6	259.5857
DEF8	409.1857	DEF8	832.5253
DEFB132	37.4658	DEFB132	542.9705
DEFB1	12.1213	DEFB1	39.2243
DEGS1	1868.5169	DEGS1	1642.5738
DEGS2	1665.3933	DEGS2	308.9467
DEK	2138.8587	DEK	2301.4544
DEM1	161.6173	DEM1	150.7272
DENND1A	757.3977	DENND1A	567.6509
DENND1B	214.143	DENND1B	93.874
DENND1C	150.9653	DENND1C	122.5209
DENND2A	89.6242	DENND2A	414.2794
DENND2C	29.8698	DENND2C	96.3817
DENND2D	979.9888	DENND2D	444.6893
DENND3	448.8555	DENND3	557.955
DENND4A	579.9602	DENND4A	699.7179
DENND4B	746.3379	DENND4B	931.2208
DENND4C	1641.1507	DENND4C	2118.5544
DENND5A	2450.3394	DENND5A	2558.8365
DENND5B	405.1453	DENND5B	597.1794
DENR	1820.399	DENR	1268.8409
DEPDC1B	89.6242	DEPDC1B	19.3918
DEPDC1	174.106	DEPDC1	35.2578
DEPDC4	9.9174	removed	removed
DEPDC5	276.5861	DEPDC5	293.0807
DEPDC6	783.8441	DEPDC6	767.2984
DEPDC7	44.8121	DEPDC7	17.1882
DERA	430.1225	DERA	372.8515
DERL1	2633.2609	DERL1	1910.974
DERL2	747.4802	DERL2	474.2177
DERL3	154.6384	DERL3	126.9282
DES	68.3201	DES	293.5214
DET1	133.3343	DET1	178.4927
DEXI	486.6886	DEXI	509.4755
DFFA	553.5394	DFFA	515.6457
DFFB	128.1919	DFFB	133.539
DFNA5	147.2922	DFNA5	317.7611
DFNB31	375.0257	DFNB31	352.5782
DFNB59	21.3041	DFNB59	53.7682
DGAT1	1199.0465	DGAT1	994.8259
DGAT2	572.2723	DGAT2	9195.6809
DGCR11	23.508	DGCR11	24.2398
DGCR14	249.7723	DGCR14	369.3257
DGCR2	2434.9123	DGCR2	2916.7034
DGCR5	11.0194	DGCR5	15.4253
DGCR6L	472.3634	DGCR6L	515.6457
DGCR6	142.8844	DGCR6	203.6139
DGCR8	795.9654	DGCR8	826.7959
DGKA	528.5622	DGKA	441.1635
DGKD	548.7644	DGKD	846.6285
DGKE	169.6982	DGKE	255.1785
DGKG	12.4886	DGKG	36.58
DGKH	65.7489	DGKH	87.2631
DGKI	13.9579	DGKI	20.714
DGKQ	417.6339	DGKQ	351.2561
DGKZ	623.3287	DGKZ	648.3032
DGUOK	628.8384	DGUOK	508.5941
DHCR24	26633.4372	DHCR24	9827.6774
DHCR7	1782.1986	DHCR7	635.0815
DHDDS	774.6613	DHDDS	1519.6122
DHDPSL	17.631	DHDPSL	57.8889
DHFRL1	249.0376	DHFRL1	291.3178
DHFR	694.4955	DHFR	464.9185
DHH	15.4271	DHH	20.2732
DHODH	87.7876	DHODH	154.6937
DHPS	716.626	DHPS	679.1538
DHRS11	115.7033	DHRS11	299.2508
DHRS12	262.6282	DHRS12	296.6064
DHRS13	158.6531	DHRS13	132.6884
DHRS1	661.8965	DHRS1	494.491
DHRS2	296.4209	DHRS2	27.3248
DHRS3	887.7935	DHRS3	1687.0868
DHRS4L1	14.3252	DHRS4L1	7.933
DHRS4L2	281.3281	DHRS4L2	275.3856
DHRS4	537.8846	DHRS4	558.4222
DHRS7B	469.7922	DHRS7B	565.8881
DHRS7	1241.8824	DHRS7	839.1362
DHRS9	13.9579	DHRS9	44.9537
DHRSX	223.3258	DHRSX	251.212
DHTKD1	1325.9969	DHTKD1	770.3834
DHX15	3704.7104	DHX15	2711.3266
DHX16	819.4734	DHX16	926.84
DHX29	1727.8364	DHX29	1063.4641
DHX30	1757.5887	DHX30	1522.6972
DHX32	920.6092	DHX32	704.2442
DHX33	465.0172	DHX33	377.2587
DHX34	531.868	DHX34	414.2794
DHX35	199.4505	DHX35	283.3848
DHX36	1093.121	DHX36	915.8219
DHX37	578.884	DHX37	405.9057
DHX38	745.2764	DHX38	1519.1714
DHX40	1782.1986	DHX40	1509.9163
DHX57	664.835	DHX57	630.6743
DHX58	806.2502	DHX58	409.8722
DHX8	1614.7042	DHX8	1241.9568
DHX9	5392.5098	DHX9	3885.8528
DIABLO	853.0604	DIABLO	628.766
DIAPH1	3666.8773	DIAPH1	2786.6902
DIAPH2	188.7984	DIAPH2	397.532
DIAPH3	148.7614	DIAPH3	55.9718
DICER1	1982.3837	DICER1	2622.7413
DIDO1	1617.2754	DIDO1	2065.6677
DIMT1L	398.901	DIMT1L	356.104
DIO1	32.3235	removed	removed
DIO2	741.2359	DIO2	364.037
DIO3	25.3445	DIO3	40.5465
DIP2A	484.852	DIP2A	870.4275
DIP2B	2038.5825	DIP2B	1654.0326
DIP2C	942.8903	DIP2C	1587.9242
DIRAS1	105.4186	DIRAS1	164.3896
removed	removed	DIRAS2	7.933
DIRAS3	78.9721	DIRAS3	104.0106
DIRC2	289.3097	DIRC2	364.7774
DIRC3	13.9579	DIRC3	19.3918
DIS3L2	342.3349	DIS3L2	362.2741
DIS3L	1205.1512	DIS3L	989.8634
DIS3	1162.8993	DIS3	1259.0833
DISC1	116.438	DISC1	161.7453
DISP1	327.6424	DISP1	348.171
DISP2	108.3571	DISP2	114.5879
DIXDC1	735.3589	DIXDC1	1721.0225
DKC1	1309.1005	DKC1	1026.8841
DKFZP586I1420	231.774	DKFZP586I1420	265.7558
DKFZP686I15217	48.1179	DKFZP686I15217	44.9537
DKFZp434J0226	6.9789	DKFZp434J0226	5.2887
DKFZp686O24166	37.8332	DKFZp686O24166	39.6651
DKFZp761E198	435.6322	DKFZp761E198	505.0683
removed	removed	DKFZp779M0652	6.6108
DKK1	8.8155	DKK1	9.2552
DKK2	117.9072	DKK2	155.1344
DKK3	946.9307	DKK3	2026.4434
DKKL1	5.1424	DKKL1	7.4923
DLAT	698.995	DLAT	881.0048
DLC1	2695.3366	DLC1	5919.3477
DLD	1458.2293	DLD	1922.8735
removed	removed	DLEC1	79.3301
DLEU1	105.2166	DLEU1	52.8867
DLEU2L	5.877	DLEU2L	5.2887
DLEU2	84.3092	DLEU2	25.6677
DLG1	774.294	DLG1	1417.8052
DLG2	55.4641	DLG2	72.7193
DLG3	1150.789	DLG3	865.1388
DLG4	526.4685	DLG4	385.6809
DLG5	3604.0669	DLG5	3346.4081
DLGAP1	12.4886	DLGAP1	21.1547
removed	removed	DLGAP2	24.2398
DLGAP4	1820.0317	DLGAP4	1609.9603
DLGAP5	246.4665	DLGAP5	48.9202
DLK1	6.2443	DLK1	434.9934
DLK2	16.529	DLK2	149.8457
DLL1	116.8053	DLL1	293.9621
DLL4	338.6618	DLL4	855.4429
DLST	1454.1888	DLST	2309.3874
removed	removed	DLX1	7.933
DLX2	8.0809	DLX2	7.0516
DLX3	40.037	DLX3	40.1058
DLX4	6.9789	DLX4	13.2217
DLX5	12.4886	removed	removed
DMAP1	539.2142	DMAP1	612.1639
DMBT1	27.5484	DMBT1	17.6289
removed	removed	DMC1	6.6108
DMD	303.3998	DMD	1649.1847
DMGDH	27.9157	DMGDH	165.7118
DMKN	337.9272	DMKN	366.2406
DMPK	723.6049	DMPK	658.4398
DMRT2	20.5695	DMRT2	71.3971
DMRT3	9.9174	DMRT3	39.2243
removed	removed	DMRTA1	15.4253
DMRTC1B	20.5695	DMRTC1B	30.8506
DMRTC2	9.5501	removed	removed
DMTF1	823.5506	DMTF1	1066.1084
DMWD	536.2757	DMWD	462.7589
DMXL1	1281.1848	DMXL1	1518.29
DMXL2	510.1966	DMXL2	556.1922
DNA2	144.721	DNA2	66.5491
DNAH10	19.8349	DNAH10	22.0361
DNAH14	182.9215	DNAH14	71.3971
DNAH17	18.3656	DNAH17	33.0542
DNAH1	154.2711	DNAH1	353.9004
DNAH2	154.2711	DNAH2	99.6033
DNAH5	321.0308	DNAH5	275.011
DNAH6	53.2603	DNAH6	93.874
DNAH7	90.3588	DNAH7	92.9925
DNAH9	9.1828	DNAH9	45.3944
DNAJA1	4755.5905	DNAJA1	3688.409
DNAJA2	2182.5688	DNAJA2	1832.9661
DNAJA3	1588.9924	DNAJA3	854.5615
DNAJA4	934.0748	DNAJA4	1012.3402
DNAJB11	896.9763	DNAJB11	827.6774
DNAJB12	1372.6455	DNAJB12	1209.784
DNAJB14	453.6305	DNAJB14	439.4006
DNAJB1	3773.3978	DNAJB1	5426.1789
DNAJB2	1756.1194	DNAJB2	1921.9921
DNAJB4	582.5571	DNAJB4	1587.0428
DNAJB5	279.8919	DNAJB5	377.6994
DNAJB6	1550.7919	DNAJB6	1606.8753
DNAJB9	848.1238	DNAJB9	788.0123
DNAJC10	3749.8898	DNAJC10	2129.1318
DNAJC11	1057.3044	DNAJC11	967.4218
DNAJC12	994.6813	DNAJC12	204.9361
DNAJC13	1696.9822	DNAJC13	1739.5328
DNAJC14	1282.8965	DNAJC14	1082.0317
DNAJC15	862.8163	DNAJC15	709.5637
DNAJC16	1041.6973	DNAJC16	894.2265
DNAJC17	240.2222	DNAJC17	210.2248
DNAJC18	163.8212	DNAJC18	267.5187
DNAJC19	463.5479	DNAJC19	366.2406
DNAJC1	1233.4342	DNAJC1	475.5399
DNAJC21	1582.3808	DNAJC21	1174.9669
DNAJC22	326.1732	DNAJC22	113.7065
DNAJC24	409.2261	DNAJC24	315.7074
DNAJC25	203.1236	DNAJC25	212.8691
DNAJC27	179.6156	DNAJC27	315.1168
DNAJC28	21.6714	DNAJC28	39.2243
DNAJC2	640.3059	DNAJC2	495.5751
DNAJC30	286.1362	DNAJC30	293.0807
DNAJC3	1530.9571	DNAJC3	1913.6183
DNAJC4	669.8635	DNAJC4	431.2472
DNAJC5	1886.5152	DNAJC5	1832.5253
DNAJC6	307.073	DNAJC6	92.1111
DNAJC7	1841.0677	DNAJC7	1279.3345
DNAJC8	1729.6729	DNAJC8	1732.4813
DNAJC9	591.7399	DNAJC9	483.9136
DNAL1	653.8156	DNAL1	615.6897
DNAL4	398.5337	DNAL4	408.9907
DNALI1	929.2998	DNALI1	653.1512
DNASE1L1	433.252	DNASE1L1	437.2587
DNASE1L2	8.8155	DNASE1L2	6.1701
DNASE1L3	30.4869	DNASE1L3	299.2508
DNASE1	136.2728	DNASE1	70.9564
DNASE2	1374.1148	DNASE2	1043.6316
DND1	91.053	DND1	60.2644
removed	removed	DNER	27.3248
DNHD1	137.3747	DNHD1	254.7378
DNLZ	79.7067	DNLZ	67.8713
DNM1L	1766.7715	DNM1L	1566.3288
DNM1P35	9.1828	DNM1P35	31.2913
DNM1	305.971	DNM1	377.2587
DNM2	2113.6097	DNM2	2078.2283
DNM3	88.5222	DNM3	114.5879
DNMBP	1343.9842	DNMBP	833.1247
DNMT1	2448.1355	DNMT1	1208.4619
DNMT3A	532.9699	DNMT3A	430.5862
DNMT3B	65.0143	DNMT3B	52.8867
DNPEP	1996.7089	DNPEP	1242.3975
DNTTIP1	399.2683	DNTTIP1	392.2433
DNTTIP2	1358.3204	DNTTIP2	1413.398
DOC2A	49.3227	DOC2A	22.0494
DOC2B	16.529	DOC2B	113.7065
DOCK10	1085.4074	DOCK10	654.4733
DOCK11	553.9067	DOCK11	1615.6897
DOCK1	2626.6492	DOCK1	3222.1243
DOCK2	387.8816	DOCK2	396.2098
DOCK3	13.2232	DOCK3	42.3094
DOCK4	399.6356	DOCK4	789.7752
DOCK5	494.4022	DOCK5	485.2358
DOCK6	573.007	DOCK6	1321.2869
DOCK7	880.4472	DOCK7	1223.8872
DOCK8	859.8778	DOCK8	1319.9647
DOCK9	1665.3933	DOCK9	3111.0621
DOHH	116.438	DOHH	130.8947
DOK1	333.5194	DOK1	346.8488
DOK2	75.6663	DOK2	157.7788
DOK3	111.2956	DOK3	93.874
DOK4	373.1892	DOK4	378.1401
DOK5	42.2409	DOK5	69.1935
DOK6	50.6891	DOK6	75.8043
DOK7	289.0747	DOK7	76.245
DOLK	342.7022	DOLK	319.9647
DOLPP1	467.2211	DOLPP1	234.0238
DOM3Z	227.1128	DOM3Z	265.963
DONSON	312.5533	DONSON	155.3724
DOPEY1	750.6465	DOPEY1	961.2517
DOPEY2	1386.6034	DOPEY2	693.2569
DOT1L	519.7467	DOT1L	483.0101
DPAGT1	716.8464	DPAGT1	601.1855
DPCD	280.0498	DPCD	187.6642
DPEP1	12.1213	removed	removed
DPEP2	32.3235	DPEP2	56.4125
DPF2	1922.8791	DPF2	1231.3795
removed	removed	DPF3	12.3402
DPH1	668.3502	DPH1	608.4839
DPH2	524.5218	DPH2	356.104
DPH3B	20.2022	DPH3B	24.2398
DPH3	614.8806	DPH3	783.6051
DPH5	308.8581	DPH5	324.8127
DPM1	448.4881	DPM1	443.8078
DPM2	754.4592	DPM2	457.0295
DPM3	119.0091	DPM3	185.985
DPP3	1757.2214	DPP3	566.3288
DPP4	278.4226	DPP4	925.9586
removed	removed	DPP6	6.6108
DPP7	1207.3551	DPP7	1142.7942
DPP8	603.1266	DPP8	619.6562
DPP9	2103.964	DPP9	1123.8431
DPT	867.5913	DPT	4308.9467
DPY19L1	787.8846	DPY19L1	595.4165
removed	removed	DPY19L2P1	6.1701
DPY19L2P2	6.9789	DPY19L2P2	18.9511
removed	removed	DPY19L2P4	13.2217
DPY19L2	12.1213	DPY19L2	87.2631
DPY19L3	415.0627	DPY19L3	425.7382
DPY19L4	782.0076	DPY19L4	935.2138
DPY30	541.8552	DPY30	344.2706
DPYD	557.5799	DPYD	893.7858
DPYSL2	1804.2373	DPYSL2	4855.8836
DPYSL3	5850.1807	DPYSL3	4831.6439
DPYSL4	47.3833	DPYSL4	68.312
DR1	1355.3819	DR1	1089.4667
DRAM1	524.8891	DRAM1	891.1415
DRAM2	992.4774	DRAM2	830.3217
DRAP1	1227.1899	DRAP1	809.167
removed	removed	DRD1	5.7294
DRD2	9.5501	DRD2	32.6135
