gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
removed	removed	CLEC4G	9.9388
CLEC5A	408.5894	CLEC5A	13.5066
CLEC7A	194.6074	CLEC7A	92.2528
CLEC9A	40.902	CLEC9A	9.4292
CLECL1	19.8052	CLECL1	8.6646
CLGN	1726.4948	CLGN	99.3884
CLIC1	4983.3701	CLIC1	3724.5158
CLIC2	287.6056	CLIC2	846.3303
CLIC3	13.1317	CLIC3	10.7034
CLIC4	5923.4702	CLIC4	7240.0612
CLIC5	212.0446	CLIC5	851.4271
CLIC6	84.8178	CLIC6	477.3191
CLINT1	2145.6326	CLINT1	2055.8104
CLIP1	2333.3513	CLIP1	2522.9358
CLIP2	209.6766	CLIP2	491.8451
CLIP3	231.2039	CLIP3	688.8379
CLIP4	165.3302	CLIP4	1012.7421
CLK1	2846.5637	CLK1	4535.1682
CLK2P	10.3331	CLK2P	15.2905
CLK2	666.4873	CLK2	729.3578
CLK3	609.8703	CLK3	812.4363
CLK4	784.242	CLK4	1028.2875
CLMN	2469.4042	CLMN	2557.5943
CLN3	1803.0138	CLN3	824.6585
CLN5	915.3436	CLN5	834.6075
CLN6	562.5101	CLN6	450.5607
CLN8	269.9532	CLN8	488.787
CLNS1A	1602.7124	CLNS1A	1095.0561
CLOCK	856.3586	CLOCK	714.577
CLP1	270.3837	CLP1	248.9806
CLPB	263.495	CLPB	207.1865
CLPP	435.0681	CLPP	303.7717
CLPTM1L	1615.6289	CLPTM1L	1282.6198
CLPTM1	2068.9952	CLPTM1	1622.8338
CLPX	986.8145	CLPX	898.318
removed	removed	CLRN3	8.9195
CLSPN	53.6031	CLSPN	7.1356
CLSTN1	5289.0523	CLSTN1	4281.6004
CLSTN2	1836.9302	CLSTN2	1627.9307
CLSTN3	1392.1748	CLSTN3	963.3028
CLTA	1302.4057	CLTA	1419.4699
CLTB	663.904	CLTB	591.998
CLTCL1	25.6176	CLTCL1	114.6789
CLTC	14674.7753	CLTC	8863.6595
CLUAP1	1201.8729	CLUAP1	665.6473
CLUL1	127.442	CLUL1	63.9653
CLU	3889.7799	CLU	14569.5719
removed	removed	CLVS1	9.9771
CLYBL	61.1377	CLYBL	103.7207
CMA1	9.472	CMA1	25.2294
CMAH	585.7596	CMAH	448.0122
CMAS	952.1554	CMAS	640.1631
CMBL	2150.3687	CMBL	921.2538
CMC1	153.0596	CMC1	82.8236
CMIP	869.2751	CMIP	1658.2569
CMKLR1	214.8431	CMKLR1	464.8318
CMPK1	3632.3126	CMPK1	4261.213
CMPK2	104.8383	CMPK2	132.263
CMTM1	108.7132	CMTM1	139.9083
CMTM3	1056.1326	CMTM3	902.1407
CMTM4	728.0555	CMTM4	1545.6167
removed	removed	CMTM5	10.9582
CMTM6	3395.7268	CMTM6	3068.8073
CMTM7	156.504	CMTM7	626.4016
CMTM8	231.6345	CMTM8	158.7666
CMYA5	1120.4994	CMYA5	1967.3802
CN5H6.4	6.8888	removed	removed
CNBP	6145.2021	CNBP	7544.5973
CNDP2	6025.5099	CNDP2	2396.2793
CNFN	107.4216	CNFN	22.1713
removed	removed	CNGA1	59.8879
CNGA3	5.5971	CNGA3	11.213
CNIH2	12.4859	removed	removed
CNIH3	44.5616	CNIH3	81.8043
CNIH4	143.5875	CNIH4	588.685
CNIH	1822.0763	CNIH	959.2253
CNKSR1	623.8631	CNKSR1	381.7533
CNKSR2	5.1666	CNKSR2	59.3782
CNKSR3	517.0873	CNKSR3	318.8073
CNN1	150.0457	CNN1	1692.6606
CNN2	1846.6175	CNN2	2033.6391
CNN3	9420.1604	CNN3	4919.2151
CNNM1	8.1804	CNNM1	48.6748
CNNM2	74.0541	CNNM2	169.9796
CNNM3	1452.2362	CNNM3	1046.6361
CNNM4	1000.1615	CNNM4	1021.9164
CNOT10	692.3201	CNOT10	560.9072
CNOT1	4043.7974	CNOT1	5146.2844
CNOT2	1673.3222	CNOT2	1536.4424
CNOT3	664.7651	CNOT3	818.0428
CNOT4	671.2233	CNOT4	675.0765
CNOT6L	1708.8424	CNOT6L	2411.5698
CNOT6	1605.2957	CNOT6	1242.6096
CNOT7	2376.1907	CNOT7	1914.8828
CNOT8	1757.0637	CNOT8	1680.683
CNO	375.0067	CNO	178.8991
CNPY2	1238.4694	CNPY2	705.1478
CNPY3	846.0255	CNPY3	712.7931
CNPY4	291.2653	CNPY4	258.4098
CNP	1718.1788	CNP	1473.2594
CNR1	27.7703	CNR1	279.5617
CNRIP1	154.1359	CNRIP1	587.4108
CNST	899.6287	CNST	1063.9653
CNTD1	127.8618	CNTD1	69.8675
CNTD2	60.2766	CNTD2	7.1356
removed	removed	CNTFR	336.6463
CNTF	19.5598	CNTF	18.6035
CNTLN	105.0535	CNTLN	305.3007
CNTN1	154.7818	CNTN1	513.5066
removed	removed	CNTN2	5.6065
CNTN3	7.3193	CNTN3	120.2854
CNTN4	165.3302	CNTN4	359.3272
removed	removed	CNTN6	6.371
CNTNAP1	105.4841	CNTNAP1	201.0703
CNTNAP2	476.6159	CNTNAP2	5.0968
CNTNAP3	26.4787	CNTNAP3	465.0866
removed	removed	CNTNAP5	21.4067
CNTROB	418.492	CNTROB	676.8603
COASY	1421.452	COASY	1063.4557
COBLL1	1739.4112	COBLL1	1611.8756
COBL	2508.3688	COBL	1385.5759
COBRA1	767.2353	COBRA1	1015.8002
COCH	8.6109	COCH	58.7742
COG1	1145.1633	COG1	929.5107
COG2	1063.4519	COG2	674.5668
COG3	1344.1688	COG3	1110.0917
COG4	551.5311	COG4	868.7564
COG5	1719.479	COG5	1098.3461
COG6	1011.7862	COG6	742.0999
COG7	1391.0984	COG7	588.1753
COG8	343.368	COG8	413.0861
COIL	674.2371	COIL	606.2691
COL10A1	3661.1592	COL10A1	7.9001
COL11A1	1909.6927	COL11A1	24.4648
COL11A2	7.104	COL11A2	27.2681
COL12A1	15035.3587	COL12A1	4298.42
COL13A1	9.2568	COL13A1	23.1906
COL14A1	5176.9011	COL14A1	4992.6096
COL15A1	2749.6905	COL15A1	5357.2885
COL16A1	1226.6294	COL16A1	1741.5902
COL17A1	440.4499	COL17A1	4244.6483
COL18A1	2476.293	COL18A1	3260.1937
COL1A1	91779.1292	COL1A1	13028.0326
COL1A2	100922.0171	COL1A2	22537.4618
COL21A1	27.1245	COL21A1	88.1753
COL22A1	29.0619	COL22A1	5.3517
COL23A1	15.0692	COL23A1	61.9266
COL24A1	60.7072	COL24A1	11.7227
COL25A1	6.8888	COL25A1	143.2212
COL27A1	40.902	COL27A1	285.9327
COL28A1	29.4925	COL28A1	50.2039
removed	removed	COL2A1	40.7747
COL3A1	108232.4956	COL3A1	16054.5362
COL4A1	8359.2917	COL4A1	7817.788
COL4A2	5135.3533	COL4A2	8239.8063
COL4A3BP	1752.9735	COL4A3BP	1918.9602
COL4A3	6.2429	COL4A3	61.4169
COL4A4	14.6386	COL4A4	90.9786
COL4A5	627.738	COL4A5	978.3384
COL4A6	37.8882	COL4A6	309.3782
COL5A1	6794.4675	COL5A1	1226.0449
COL5A2	13228.9974	COL5A2	2297.1458
COL5A3	594.5859	COL5A3	733.6901
COL6A1	8689.7368	COL6A1	6432.9766
COL6A2	6310.317	COL6A2	9111.1111
COL6A3	25970.6151	COL6A3	14827.7268
COL6A4P2	5.8124	COL6A4P2	9.1743
COL6A6	91.4913	COL6A6	983.1804
COL7A1	45.4227	COL7A1	649.3374
COL8A1	902.8578	COL8A1	379.4597
COL8A2	1158.3876	COL8A2	598.369
COL9A2	124.2129	COL9A2	205.6575
COL9A3	17.0066	COL9A3	26.5036
removed	removed	COLEC11	42.8135
COLEC12	267.3699	COLEC12	1349.8981
COLQ	32.5257	COLQ	47.1101
COMMD10	718.7988	COMMD10	343.0173
COMMD1	325.7091	COMMD1	216.8705
COMMD2	643.453	COMMD2	854.7401
COMMD3	1928.7337	COMMD3	517.8746
COMMD4	641.3003	COMMD4	499.4903
COMMD5	385.6133	COMMD5	343.8022
COMMD6	1250.9553	COMMD6	1323.6493
COMMD7	1208.9769	COMMD7	858.053
COMMD8	330.2298	COMMD8	220.1835
COMMD9	648.6196	COMMD9	576.1978
COMP	513.2124	COMP	11.4679
COMTD1	43.27	COMTD1	32.6198
COMT	842.5811	COMT	1240.316
COPA	11034.2974	COPA	4876.4144
COPB1	6255.7322	COPB1	3094.0367
COPB2	9855.0132	COPB2	3021.9164
COPE	1539.8525	COPE	836.1111
COPG2	811.797	COPG2	617.737
COPG	5680.4262	COPG	2507.6453
COPS2	2218.8257	COPS2	2063.2008
COPS3	1195.1994	COPS3	808.3588
COPS4	1255.6913	COPS4	820.5912
COPS5	1181.4219	COPS5	899.0826
COPS6	1392.1748	COPS6	1042.0489
COPS7A	1566.977	COPS7A	943.6799
COPS7B	470.5882	COPS7B	609.8369
COPS8	1336.9937	COPS8	946.7202
COPZ1	6253.9153	COPZ1	2500.5097
COPZ2	340.1324	COPZ2	275.2294
COQ10A	83.5262	COQ10A	122.8338
COQ10B	959.9053	COQ10B	710.2446
COQ2	141.2195	COQ2	97.0948
COQ3	135.8377	COQ3	121.0499
COQ4	802.9708	COQ4	562.946
COQ5	621.9256	COQ5	479.3578
COQ6	622.9137	COQ6	338.7819
COQ7	1033.0983	COQ7	506.1162
COQ9	429.9015	COQ9	542.8135
CORIN	168.9898	CORIN	14.526
CORO1A	425.8113	CORO1A	333.5882
CORO1B	1234.8098	CORO1B	904.4343
CORO1C	1594.1015	CORO1C	2689.8573
CORO2A	1794.7366	CORO2A	667.1764
CORO2B	71.2556	CORO2B	226.8094
CORO6	20.451	CORO6	64.475
CORO7	593.0876	CORO7	380.1249
CORT	5.2419	removed	removed
COTL1	1499.1658	COTL1	1039.7554
COX10	293.6333	COX10	228.5933
COX11	855.4588	COX11	836.4195
COX15	1690.5807	COX15	1067.8135
COX16	992.4116	COX16	547.1458
COX17	449.922	COX17	256.371
COX18	868.414	COX18	347.0948
COX19	121.5112	COX19	273.0581
COX4I1	1359.0227	COX4I1	2693.9348
COX4I2	20.451	COX4I2	53.7717
COX4NB	230.5581	COX4NB	296.3812
COX5A	1074.4309	COX5A	640.9276
COX5B	1057.209	COX5B	709.2253
COX6A1	1807.653	COX6A1	950.5607
COX6B1	1903.8803	COX6B1	1288.736
removed	removed	COX6B2	11.9776
COX6C	4661.536	COX6C	1018.0938
COX7A1	40.2562	COX7A1	340.7238
COX7A2L	1770.4106	COX7A2L	1668.1957
COX7A2	1517.0335	COX7A2	763.2518
COX7B	1149.9919	COX7B	767.8389
COX7C	3259.2433	COX7C	1645.0051
COX8A	1519.1863	COX8A	801.2232
CP110	1622.7329	CP110	1047.9103
removed	removed	CPA1	14.0163
CPA3	536.462	CPA3	254.842
CPA4	6.6735	CPA4	60.1427
CPAMD8	34.4438	CPAMD8	520.897
CPB1	25642.9686	CPB1	187.5637
CPD	7215.9733	CPD	5001.2742
CPEB1	12.2706	CPEB1	62.1814
CPEB2	1369.7863	CPEB2	1321.6106
CPEB3	394.3814	CPEB3	363.9144
CPEB4	1786.3409	CPEB4	1672.2732
CPE	1828.104	CPE	3302.7523
CPLX1	87.6164	CPLX1	93.0173
CPM	1491.8465	CPM	1164.1182
CPNE1	1708.2805	CPNE1	1674.4495
CPNE2	298.7998	CPNE2	880.9888
CPNE3	6718.0453	CPNE3	3675.5861
CPNE4	53.3879	removed	removed
CPNE5	68.457	CPNE5	87.4108
CPNE7	12.7011	CPNE7	29.8165
CPNE8	146.3861	CPNE8	501.7839
CPOX	387.4926	CPOX	352.7013
removed	removed	CPO	6.8807
CPPED1	655.0778	CPPED1	580.2752
CPS1	63.0752	CPS1	194.9541
CPSF1	885.8511	CPSF1	1101.9368
CPSF2	2107.5292	CPSF2	1257.1356
CPSF3L	1142.2421	CPSF3L	1066.0041
CPSF3	998.8698	CPSF3	596.5851
CPSF4	239.5996	CPSF4	403.16
CPSF6	1838.0066	CPSF6	2094.0367
CPSF7	2210.43	CPSF7	2545.107
CPT1A	1967.386	CPT1A	3466.8705
CPT1B	183.5337	CPT1B	316.1239
CPT1C	13.7775	CPT1C	43.578
CPT2	1641.0312	CPT2	475.5352
CPVL	402.9923	CPVL	692.6606
CPXM1	407.2978	CPXM1	1224.7706
CPXM2	410.0963	CPXM2	1667.686
CPZ	198.0518	CPZ	422.7829
CP	20.1776	CP	415.2548
CR1	9.0415	CR1	119.5209
removed	removed	CRABP1	75.4332
CRABP2	4110.8659	CRABP2	1545.3619
CRADD	188.795	CRADD	122.0693
CRAMP1L	697.5642	CRAMP1L	1407.7854
CRAT	9019.9666	CRAT	661.5698
removed	removed	CRB1	7.9001
removed	removed	CRB2	41.5392
CRB3	223.2388	CRB3	95.5657
CRBN	844.7274	CRBN	1198.5143
CRCP	1012.2168	CRCP	919.4699
CREB1	1804.6391	CREB1	2078.4913
CREB3L1	3496.6902	CREB3L1	149.0826
CREB3L2	2734.1908	CREB3L2	3576.7074
CREB3L4	3291.9649	CREB3L4	674.5668
CREB3	1578.309	CREB3	823.8685
CREB5	128.5184	CREB5	513.7615
CREBBP	4452.29	CREBBP	4056.8298
CREBL2	2163.0698	CREBL2	2890.4179
CREBZF	2065.7661	CREBZF	1989.8063
CREG1	2603.5197	CREG1	3099.8981
CRELD1	697.2714	CRELD1	741.5902
CRELD2	221.3013	CRELD2	259.4292
CREM	391.7981	CREM	294.8522
CRHBP	10.979	CRHBP	109.5821
removed	removed	CRHR1	11.4679
CRIM1	3866.0998	CRIM1	10677.1152
CRIP1	3134.1693	CRIP1	809.633
CRIP2	1956.4071	CRIP2	1708.4608
CRIPAK	160.5942	CRIPAK	317.788
CRIPT	269.0921	CRIPT	391.947
CRISPLD1	292.9875	CRISPLD1	1123.3435
CRISPLD2	3103.3852	CRISPLD2	1590.4689
CRKL	1442.5488	CRKL	2494.3935
CRK	1285.1838	CRK	1484.1998
CRLF1	29.2772	CRLF1	50.2039
CRLF3	353.4794	CRLF3	449.5413
CRLS1	953.4471	CRLS1	687.8186
CRMP1	49.0996	CRMP1	160.6142
CRNKL1	2144.341	CRNKL1	1157.2375
CROCCL1	218.0421	CROCCL1	580.5708
CROCCL2	37.0271	CROCCL2	134.8114
CROCC	172.0037	CROCC	333.0785
CROT	756.2564	CROT	712.7931
CRTAC1	36.5965	CRTAC1	152.3955
CRTAM	20.8815	CRTAM	11.7227
CRTAP	4412.4643	CRTAP	7098.1142
CRTC1	192.4547	CRTC1	388.3792
CRTC2	572.8432	CRTC2	924.8216
CRTC3	1084.5487	CRTC3	1560.6524
CRY1	688.0146	CRY1	609.8369
CRY2	1372.1544	CRY2	2116.4628
CRYAB	155.4276	CRYAB	5590.7238
removed	removed	CRYBB1	7.1356
CRYBG3	277.2768	CRYBG3	1084.2992
CRYGS	7.9651	CRYGS	22.6809
CRYL1	590.9262	CRYL1	462.2834
CRYM	294.0638	removed	removed
CRYZL1	410.7443	CRYZL1	431.6055
CRYZ	824.4056	CRYZ	808.1422
CSAD	440.4499	CSAD	690.1121
CSDAP1	7.3193	CSDAP1	50.2039
CSDA	490.3934	CSDA	3130.9888
CSDC2	26.2634	CSDC2	48.42
CSDE1	14539.7987	CSDE1	19433.2314
CSE1L	3214.0358	CSE1L	1924.8216
CSF1R	1040.4176	CSF1R	1451.0703
CSF1	806.1999	CSF1	1242.0999
CSF2RA	158.0109	CSF2RA	89.4495
CSF2RB	213.7668	CSF2RB	378.4404
CSF3R	384.4788	CSF3R	356.0143
removed	removed	CSF3	18.8583
CSGALNACT1	596.0928	CSGALNACT1	611.366
CSGALNACT2	832.8938	CSGALNACT2	713.0479
CSK	691.2437	CSK	677.1152
CSMD1	5.3818	CSMD1	10.9582
CSMD2	16.3608	CSMD2	5.3517
removed	removed	CSN1S1	173.2926
removed	removed	CSN2	10.9582
removed	removed	CSN3	50.9684
CSNK1A1	11389.4839	CSNK1A1	6097.0948
CSNK1D	2677.3586	CSNK1D	2612.895
CSNK1E	937.1573	CSNK1E	2254.7248
CSNK1G1	1353.2124	CSNK1G1	879.7146
CSNK1G2	467.5744	CSNK1G2	639.3986
CSNK1G3	850.331	CSNK1G3	1010.7034
CSNK2A1P	636.1337	CSNK2A1P	475.2803
CSNK2A1	1564.609	CSNK2A1	1152.1407
CSNK2A2	254.0229	CSNK2A2	574.159
CSNK2B	2022.4961	CSNK2B	1616.1162
CSPG4	387.0621	CSPG4	828.2365
CSPG5	14.8539	CSPG5	5.8614
CSPP1	333.3513	CSPP1	560.3033
CSRNP1	790.0544	CSRNP1	3037.7166
CSRNP2	1469.458	CSRNP2	1194.4444
CSRNP3	13.5622	CSRNP3	66.5138
CSRP1	2569.0759	CSRP1	10946.9929
CSRP2BP	723.3195	CSRP2BP	640.1631
CSRP2	122.9213	CSRP2	330.7849
CST1	43.4853	removed	removed
CST2	143.5875	removed	removed
CST3	5761.5844	CST3	3799.1845
CST4	1139.6588	removed	removed
CST5	160.5942	removed	removed
CST6	5.3818	removed	removed
CST7	50.1588	CST7	42.3038
removed	removed	CST9	8.6646
CSTA	52.3115	CSTA	107.0336
CSTB	1156.6654	CSTB	1162.0795
CSTF1	654.0014	CSTF1	614.4241
CSTF2T	1131.9089	CSTF2T	1159.5311
CSTF2	310.6399	CSTF2	234.1998
CSTF3	658.9527	CSTF3	469.8089
CS	3837.0378	CS	3123.3435
CT62	115.602	CT62	51.7329
CTAGE1	10.1179	removed	removed
CTAGE4	49.7282	CTAGE4	38.9908
CTAGE5	2203.6037	CTAGE5	739.317
CTAGE9	154.7818	CTAGE9	147.5535
CTBP1	1409.0135	CTBP1	1518.2136
CTBP2	2095.2586	CTBP2	1815.7492
CTBS	1352.3255	CTBS	620.7849
removed	removed	CTCFL	10.632
CTCF	1624.0245	CTCF	1785.1682
CTDP1	320.5425	CTDP1	366.4628
CTDSP1	2659.2756	CTDSP1	3202.8542
CTDSP2	4041.5478	CTDSP2	9355.2497
CTDSPL2	1015.8764	CTDSPL2	1126.1468
CTDSPL	2327.7542	CTDSPL	1997.1967
CTF1	74.9152	CTF1	164.8828
CTGF	11506.1622	CTGF	8339.9592
CTHRC1	1989.5592	CTHRC1	411.315
CTH	140.3584	CTH	72.63
CTLA4	16.5761	CTLA4	39.7554
CTNNA1	10306.6573	CTNNA1	8316.0041
removed	removed	CTNNA3	8.4098
CTNNAL1	454.2274	CTNNAL1	838.685
CTNNB1	15188.7046	CTNNB1	12038.5041
CTNNBIP1	969.8079	CTNNBIP1	974.5158
CTNNBL1	639.3628	CTNNBL1	746.6871
CTNND1	13644.2603	CTNND1	11146.789
CTNND2	6.2429	CTNND2	243.3741
CTNS	371.4052	CTNS	345.1096
CTPS2	5706.4744	CTPS2	664.3731
CTPS	269.0921	CTPS	251.2742
CTR9	2550.1319	CTR9	1893.7309
removed	removed	CTRL	9.9388
CTSA	1867.54	CTSA	1431.1927
CTSB	14056.5093	CTSB	10112.1305
CTSC	1114.2565	CTSC	2032.3649
CTSD	17102.4164	CTSD	6080.7849
CTSF	810.2901	CTSF	1854.2304
CTSG	24.3259	CTSG	68.2977
CTSH	1548.4635	CTSH	1743.8838
CTSK	3212.0984	CTSK	5512.7421
CTSL1	1244.9276	CTSL1	1454.6381
CTSL2	9.6873	CTSL2	27.5229
CTSO	1681.5026	CTSO	1707.9511
CTSS	1256.3371	CTSS	1130.4791
CTSW	45.638	CTSW	86.9011
CTSZ	1441.903	CTSZ	2952.3445
CTTNBP2NL	838.7062	CTTNBP2NL	1476.2997
CTTNBP2	46.7144	CTTNBP2	278.5423
CTTN	2961.9504	CTTN	3683.2314
CTU1	12.4859	CTU1	20.3874
CTU2	60.8019	CTU2	110.0765
CTXN1	160.5942	CTXN1	24.4648
CUBN	23.6801	CUBN	212.7931
CUEDC1	327.8618	CUEDC1	281.8552
CUEDC2	626.0158	CUEDC2	497.7064
CUL1	1810.6754	CUL1	1605.5046
CUL2	913.4062	CUL2	843.0173
CUL3	3011.8939	CUL3	2256.8807
CUL4A	3451.2674	CUL4A	2033.894
CUL4B	2929.2288	CUL4B	2322.63
CUL5	1595.3931	CUL5	1551.4781
CUL7	1122.2087	CUL7	974.4648
CUL9	495.3447	CUL9	866.208
CUTA	1649.8574	CUTA	1078.2365
CUTC	173.3556	CUTC	348.9806
CUX1	1361.6059	CUX1	1023.4455
CUX2	34.2285	CUX2	185.0153
CUZD1	14.3501	CUZD1	28.29
CWC15	781.2281	CWC15	685.0153
CWC22	694.6881	CWC22	994.6483
CWC25	373.7151	CWC25	540.7747
CWC27	345.5142	CWC27	431.1927
CWF19L1	483.2894	CWF19L1	508.4098
CWF19L2	646.0363	CWF19L2	811.1621
CX3CL1	471.0188	CX3CL1	4397.8084
CX3CR1	747.4302	CX3CR1	641.1825
CXADRP3	139.2821	removed	removed
CXADR	100.5328	CXADR	292.5586
CXCL10	273.1823	CXCL10	61.1621
CXCL11	103.9772	CXCL11	13.2518
CXCL12	3387.1159	CXCL12	13237.2579
CXCL13	16.5761	removed	removed
CXCL14	1537.2693	CXCL14	5089.7044
CXCL16	1490.7701	CXCL16	913.3537
CXCL17	479.6297	CXCL17	42.0489
CXCL1	5.8124	CXCL1	55.8104
CXCL2	15.0692	CXCL2	436.7992
removed	removed	CXCL3	24.7197
removed	removed	CXCL5	44.3425
removed	removed	CXCL6	6.8807
CXCL9	950.218	CXCL9	98.1142
removed	removed	CXCR1	5.0968
removed	removed	CXCR2P1	7.1356
CXCR2	8.6109	CXCR2	13.7615
CXCR3	33.1521	CXCR3	18.0938
CXCR4	1192.4008	CXCR4	625.6371
CXCR5	15.715	CXCR5	5.0994
CXCR6	35.7354	CXCR6	62.6911
CXCR7	228.1901	CXCR7	1099.8981
CXXC1	457.4565	CXXC1	676.8603
CXXC4	6.0277	CXXC4	19.8777
CXXC5	581.8847	CXXC5	361.366
CXorf21	80.7276	CXorf21	65.4944
CXorf23	272.3212	CXorf23	400.3568
CXorf26	700.5005	CXorf26	422.0183
CXorf36	577.5792	CXorf36	3221.4577
CXorf38	832.248	CXorf38	297.1458
CXorf40A	588.5582	CXorf40A	369.5209
CXorf40B	559.0657	CXorf40B	438.5831
CXorf42	11.4095	CXorf42	35.423
CXorf56	219.1486	CXorf56	275.4842
CXorf57	47.1449	CXorf57	83.0785
CYB561D1	145.9555	CYB561D1	481.1417
CYB561D2	994.7107	CYB561D2	233.0912
CYB561	5290.5656	CYB561	1547.6555
CYB5A	3728.5399	CYB5A	1094.5464
CYB5B	1018.2444	CYB5B	1480.632
CYB5D1	1789.7853	CYB5D1	796.5775
CYB5D2	655.5083	CYB5D2	434.5056
CYB5R1	1785.6951	CYB5R1	1290.7747
CYB5R2	178.0313	CYB5R2	145.0051
CYB5R3	1735.9668	CYB5R3	5480.1223
CYB5R4	371.1318	CYB5R4	302.7523
CYB5RL	61.5683	CYB5RL	125.8919
CYBASC3	755.3953	CYBASC3	767.3293
CYBA	230.5581	CYBA	376.6565
CYBB	979.7105	CYBB	1061.1621
CYBRD1	16639.1475	CYBRD1	17388.3792
CYC1	1055.9173	CYC1	798.1651
CYCS	1716.3769	CYCS	1381.4985
CYFIP1	4099.0259	CYFIP1	3334.0979
CYFIP2	562.7254	CYFIP2	312.4363
CYGB	172.4342	CYGB	880.7339
CYHR1	535.1703	CYHR1	486.2385
CYLD	3352.2415	CYLD	1688.3282
CYP11A1	5.3818	CYP11A1	25.739
CYP19A1	8.1804	CYP19A1	9.1743
CYP1B1	1544.3733	CYP1B1	1700.3058
CYP20A1	984.2312	CYP20A1	1003.0581
CYP21A2	244.8953	CYP21A2	100.1656
CYP24A1	5.5971	CYP24A1	15.5454
CYP26A1	21.5274	CYP26A1	48.6748
CYP26B1	18.083	CYP26B1	208.4608
CYP27A1	888.865	CYP27A1	660.0408
CYP27B1	27.7703	CYP27B1	18.8583
removed	removed	CYP27C1	28.0326
removed	removed	CYP2A6	10.7034
CYP2A7	11.6248	removed	removed
CYP2B6	5.8124	removed	removed
CYP2B7P1	3922.7168	CYP2B7P1	18.3486
removed	removed	CYP2C8	13.7615
removed	removed	CYP2D6	6.1162
CYP2D7P1	5.3818	CYP2D7P1	15.2905
CYP2E1	78.5986	CYP2E1	64.0596
CYP2J2	122.706	CYP2J2	97.0948
CYP2R1	469.7271	CYP2R1	247.4516
CYP2S1	41.3325	CYP2S1	39.5005
CYP2U1	195.0379	CYP2U1	574.4139
CYP39A1	15.0692	CYP39A1	165.6473
removed	removed	CYP3A5	11.4679
CYP46A1	9.6873	CYP46A1	30.8359
CYP4A11	5.3818	removed	removed
CYP4B1	170.712	CYP4B1	489.5515
removed	removed	CYP4F11	7.1356
removed	removed	CYP4F12	56.8298
removed	removed	CYP4F22	81.5494
removed	removed	CYP4F8	424.3119
CYP4V2	1520.2626	CYP4V2	835.6269
CYP4X1	2072.8701	CYP4X1	1860.0917
CYP4Z1	5011.3557	CYP4Z1	63.4557
CYP4Z2P	803.8319	CYP4Z2P	88.4302
CYP51A1	1605.0805	CYP51A1	1412.844
CYP7B1	147.0319	CYP7B1	280.8359
removed	removed	CYP8B1	19.368
CYR61	3386.9006	CYR61	14979.103
CYS1	87.6164	CYS1	114.9337
CYSLTR1	242.3981	CYSLTR1	132.7727
CYSLTR2	27.7703	CYSLTR2	18.6035
CYTH1	683.0633	CYTH1	949.7961
CYTH2	1026.4248	CYTH2	1255.6065
CYTH3	743.1247	CYTH3	1619.5209
CYTH4	175.6633	CYTH4	275.2294
CYTIP	161.0247	CYTIP	107.2885
CYTL1	25.6176	CYTL1	88.9399
CYTSA	1332.9745	CYTSA	2446.9929
CYTSB	387.7079	CYTSB	448.0122
CYYR1	553.2533	CYYR1	2188.5831
D2HGDH	298.3693	D2HGDH	267.3293
D4S234E	30.9994	D4S234E	229.3578
DAAM1	1077.66	DAAM1	1260.7034
DAAM2	338.1928	DAAM2	1957.0642
DAB2IP	1050.966	DAB2IP	2582.5688
DAB2	5931.0048	DAB2	3620.0306
DACH1	1816.6945	DACH1	644.4954
DACT1	369.6249	DACT1	302.2426
removed	removed	DACT2	59.1233
DACT3	99.2412	DACT3	109.8369
DAD1	2162.8545	DAD1	1668.7054
DAG1	4562.2948	DAG1	3610.6014
DAGLA	152.629	DAGLA	269.6228
DAGLB	445.8318	DAGLB	348.8787
DAK	754.1037	DAK	506.1162
DALRD3	1185.4949	DALRD3	570.9684
DAP3	2280.394	DAP3	1346.3303
DAPK1	340.7782	DAPK1	523.7003
DAPK2	441.0957	DAPK2	415.3925
DAPK3	383.8329	DAPK3	399.0826
removed	removed	DAPL1	6.1162
DAPP1	465.2064	DAPP1	119.7757
DAP	4192.6699	DAP	2095.5657
DARC	325.2785	DARC	2785.423
DARS2	984.877	DARS2	407.2375
DARS	1392.3901	DARS	1836.9011
DAXX	1888.8112	DAXX	1266.8196
DAZAP1	844.9491	DAZAP1	916.9215
DAZAP2	6340.24	DAZAP2	6580.0204
DBC1	9.2568	DBC1	100.6626
DBF4B	57.6933	DBF4B	111.8756
DBF4	241.3218	DBF4	152.1407
removed	removed	DBH	5.0968
DBI	3519.0786	DBI	1903.16
DBN1	641.7308	DBN1	993.629
DBNDD1	254.4535	DBNDD1	129.4597
DBNDD2	780.8815	DBNDD2	856.0856
DBNL	1094.4513	DBNL	1196.9929
DBP	301.1549	DBP	275.7288
DBR1	396.9646	DBR1	412.844
DBT	1258.7051	DBT	934.5056
DBX2	11.4095	DBX2	20.897
DCAF10	3971.3686	DCAF10	1475.5352
DCAF11	2349.7099	DCAF11	1805.5173
removed	removed	DCAF12L2	9.4292
DCAF12	1921.748	DCAF12	1458.9704
DCAF13	894.7333	DCAF13	581.8552
DCAF15	189.4408	DCAF15	357.2885
DCAF16	986.8145	DCAF16	1304.2813
DCAF17	820.6232	DCAF17	698.0122
removed	removed	DCAF4L1	8.1549
