gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
ACOT11	10.6001	ACOT11	32.1993
ACOT13	837.2768	ACOT13	462.077
ACOT1	712.9864	ACOT1	427.1152
ACOT2	433.3459	ACOT2	259.9388
ACOT4	589.8498	ACOT4	80.0204
ACOT6	9.0415	removed	removed
ACOT7	111.9423	ACOT7	120.0306
ACOT8	287.9565	ACOT8	186.1876
ACOT9	188.795	ACOT9	485.7288
ACOX1	2337.8182	ACOX1	1761.6208
ACOX2	478.7686	ACOX2	260.7034
ACOX3	465.6369	ACOX3	587.6656
ACP1	1906.2483	ACP1	1106.2691
ACP2	2048.5442	ACP2	677.8797
ACP5	1289.7045	ACP5	517.3293
ACP6	396.3188	ACP6	225.5352
ACPL2	911.2534	ACPL2	429.9185
ACPP	65.4432	ACPP	52.2426
ACRBP	15.4997	ACRBP	21.9164
ACRC	12.2706	ACRC	47.1458
removed	removed	ACR	17.5841
removed	removed	ACSBG1	8.6646
removed	removed	ACSBG2	6.371
ACSF2	811.6398	ACSF2	643.476
ACSF3	154.5665	ACSF3	273.9551
ACSL1	754.3189	ACSL1	4300.2039
ACSL3	4991.7658	ACSL3	3078.2365
ACSL4	848.8241	ACSL4	1735.2192
ACSL5	279.2099	ACSL5	1102.4465
ACSL6	6.0277	ACSL6	9.684
ACSM1	142.0806	ACSM1	37.2069
removed	removed	ACSM2A	8.1549
removed	removed	ACSM2B	5.3517
ACSM3	44.8566	ACSM3	89.9235
ACSM5	20.8815	ACSM5	153.6697
ACSS1	1574.2963	ACSS1	901.3761
ACSS2	796.2973	ACSS2	1487.7676
ACSS3	115.1714	ACSS3	510.4485
ACTA2	4160.9666	ACTA2	13938.8405
ACTB	59775.039	ACTB	49871.8145
removed	removed	ACTC1	12.9969
ACTG1	57149.1308	ACTG1	34249.2355
ACTG2	35.9507	ACTG2	1333.843
ACTL6A	1085.6251	ACTL6A	804.5362
ACTL8	69.5334	removed	removed
ACTN1	3084.0105	ACTN1	6002.0387
ACTN4	5352.0069	ACTN4	8618.0607
ACTR10	1123.0827	ACTR10	1064.475
ACTR1A	3197.2445	ACTR1A	2091.7431
ACTR1B	1025.1332	ACTR1B	1225.0255
ACTR2	9534.0401	ACTR2	5654.4343
ACTR3B	152.1985	ACTR3B	171.7635
ACTR3C	17.0066	ACTR3C	20.6422
ACTR3	3818.7396	ACTR3	2908.2569
ACTR5	167.6982	ACTR5	240.5708
ACTR6	635.4879	ACTR6	591.2334
ACTR8	698.1325	ACTR8	664.6279
ACVR1B	1156.0196	ACVR1B	1265.5454
ACVR1C	30.1383	ACVR1C	820.5912
ACVR1	1276.5728	ACVR1	1176.6055
ACVR2A	373.4998	ACVR2A	621.5596
ACVR2B	328.2923	ACVR2B	740.5708
ACVRL1	329.1534	ACVRL1	1271.1519
ACY1	855.3361	ACY1	304.5362
ACY3	38.9645	ACY3	6.1162
ACYP1	37.4576	ACYP1	58.3588
ACYP2	170.4967	ACYP2	128.6952
ADAL	232.2803	ADAL	182.7217
ADAM10	2435.1757	ADAM10	2468.6544
removed	removed	ADAM11	20.897
ADAM12	2481.8901	ADAM12	568.0428
ADAM15	4515.3931	ADAM15	2751.0856
ADAM17	751.7356	ADAM17	926.3507
ADAM19	230.1275	ADAM19	143.7309
ADAM21	6.8888	ADAM21	5.6065
ADAM22	153.0596	ADAM22	103.211
ADAM23	41.9784	ADAM23	50.4587
ADAM28	140.789	ADAM28	110.3466
removed	removed	ADAM32	48.1651
ADAM33	56.1864	ADAM33	816.0729
ADAM6	10574.0638	ADAM6	25376.1111
ADAM8	48.6518	ADAM8	71.3558
ADAM9	748.2913	ADAM9	2038.2263
ADAMDEC1	11.8401	removed	removed
ADAMTS10	65.4432	ADAMTS10	160.8053
ADAMTS12	428.8251	ADAMTS12	208.4608
ADAMTS13	32.291	ADAMTS13	55.5556
ADAMTS14	63.2905	removed	removed
ADAMTS15	932.135	ADAMTS15	364.6789
ADAMTS16	294.0638	ADAMTS16	52.4975
ADAMTS17	28.8467	ADAMTS17	27.7778
ADAMTS18	29.2772	ADAMTS18	261.4679
ADAMTS19	80.7276	ADAMTS19	6.1162
ADAMTS1	1432.0004	ADAMTS1	6004.842
ADAMTS2	679.619	ADAMTS2	384.5566
ADAMTS3	47.3602	ADAMTS3	133.0275
ADAMTS4	327.8618	ADAMTS4	122.579
ADAMTS5	194.6074	ADAMTS5	2445.7187
ADAMTS6	143.157	ADAMTS6	38.736
ADAMTS7	75.1305	ADAMTS7	88.9399
ADAMTS8	21.3121	ADAMTS8	35.423
ADAMTS9	448.415	ADAMTS9	858.3078
ADAMTSL1	123.5671	ADAMTSL1	91.4883
ADAMTSL2	130.6711	ADAMTSL2	36.1876
ADAMTSL3	60.7072	ADAMTSL3	213.8124
ADAMTSL4	226.2526	ADAMTSL4	611.6208
ADAMTSL5	178.2466	ADAMTSL5	31.0907
ADAP1	120.4564	ADAP1	76.0754
ADAP2	247.5647	ADAP2	252.0387
ADARB1	287.8209	ADARB1	1013.2518
removed	removed	ADARB2	10.4485
ADAR	9092.2986	ADAR	7212.7931
ADAT1	360.3681	ADAT1	339.4495
ADAT2	58.7697	ADAT2	221.2029
ADAT3	19.5899	ADAT3	13.7615
ADA	52.0962	ADA	116.4628
ADCK1	141.8653	ADCK1	106.524
ADCK2	1138.7977	ADCK2	560.1427
ADCK4	483.7199	ADCK4	356.524
ADCK5	48.6518	ADCK5	62.6911
ADCY1	1698.294	ADCY1	403.4149
ADCY2	62.2141	ADCY2	68.8073
ADCY3	494.1112	ADCY3	1618.5015
ADCY4	189.2256	ADCY4	1160.8053
ADCY5	36.5965	ADCY5	290.7747
ADCY6	1526.2903	ADCY6	2549.4393
ADCY7	456.5954	ADCY7	477.5739
ADCY9	2348.2052	ADCY9	971.9674
removed	removed	ADCYAP1R1	37.4618
ADCYAP1	38.534	ADCYAP1	12.2324
ADC	170.4967	ADC	149.3374
ADD1	4934.0724	ADD1	6619.7757
ADD2	38.534	ADD2	110.6014
ADD3	1107.7983	ADD3	3516.3099
ADH1A	6.0277	ADH1A	158.4455
ADH1B	595.447	ADH1B	19483.9424
ADH1C	24.5412	ADH1C	342.7625
removed	removed	ADH4	16.3099
ADH5	1672.2458	ADH5	3357.7982
ADHFE1	61.5683	ADHFE1	197.5025
ADI1	1797.7504	ADI1	1028.5423
ADIPOQ	476.1854	ADIPOQ	12172.528
ADIPOR1	2858.8343	ADIPOR1	1833.5882
ADIPOR2	2183.0903	ADIPOR2	2546.1264
ADK	551.3159	ADK	288.2263
ADM2	70.825	ADM2	43.578
ADM	26.9092	ADM	632.7727
ADNP2	895.5385	ADNP2	719.419
ADNP	3840.9128	ADNP	3175.0765
ADORA1	17.2219	ADORA1	206.9317
ADORA2A	53.6031	ADORA2A	61.134
ADORA2B	9.472	ADORA2B	30.8359
ADORA3	217.857	ADORA3	87.4108
ADO	697.9172	ADO	761.4679
ADPGK	1131.1124	ADPGK	807.5535
ADPRHL1	127.2267	ADPRHL1	61.4169
ADPRHL2	521.6081	ADPRHL2	406.7278
ADPRH	164.0385	ADPRH	487.0031
removed	removed	ADRA1A	46.8909
ADRA1B	12.0553	ADRA1B	24.21
removed	removed	ADRA1D	7.9001
ADRA2A	2496.5287	ADRA2A	1295.6167
removed	removed	ADRA2B	49.6942
ADRA2C	10.5484	ADRA2C	112.3853
removed	removed	ADRB1	24.7197
ADRB2	55.7559	ADRB2	651.1213
ADRBK1	1444.7016	ADRBK1	1584.8624
ADRBK2	306.1192	ADRBK2	1493.1193
ADRM1	629.6755	ADRM1	678.6442
ADSL	408.5894	ADSL	613.6595
ADSSL1	173.08	ADSSL1	91.2334
ADSS	1752.9735	ADSS	1338.685
AEBP1	8295.1402	AEBP1	7682.212
AEBP2	1015.4459	AEBP2	1079.001
AEN	380.8191	AEN	324.9235
AES	4066.3043	AES	4797.4006
AFAP1L1	286.9598	AFAP1L1	918.1957
AFAP1L2	262.4186	AFAP1L2	1159.0214
AFAP1	1313.1521	AFAP1	1629.1922
AFF1	3423.7124	AFF1	4346.0754
AFF2	57.4781	AFF2	52.4975
AFF3	4767.0201	AFF3	2633.5372
AFF4	6367.1492	AFF4	4826.9623
AFG3L1	116.8936	AFG3L1	305.0459
AFG3L2	1620.2702	AFG3L2	1132.3089
AFMID	583.1764	AFMID	442.9154
removed	removed	AFP	44.3425
AFTPH	2563.4788	AFTPH	2084.3527
AG2	114.095	AG2	637.3598
AGAP11	135.5363	AGAP11	409.052
AGAP1	530.6496	AGAP1	598.369
AGAP2	46.5013	AGAP2	86.2538
AGAP3	636.1337	AGAP3	1348.1142
AGAP4	139.2821	AGAP4	286.9521
AGAP5	89.4032	AGAP5	102.1814
AGAP6	64.5821	AGAP6	143.7309
AGAP7	7.104	AGAP7	7.9001
AGAP8	54.4642	AGAP8	88.685
AGA	795.4362	AGA	451.0703
AGBL2	41.1173	AGBL2	13.7615
removed	removed	AGBL3	11.7227
removed	removed	AGBL4	8.9195
AGBL5	505.271	AGBL5	618.5143
AGER	18.5135	AGER	62.4363
AGFG1	2093.3211	AGFG1	2289.2457
AGFG2	337.3338	AGFG2	572.63
AGGF1	1269.2535	AGGF1	1040.5199
AGK	640.8697	AGK	482.6707
AGL	1480.0065	AGL	1408.002
AGMAT	17.6524	removed	removed
AGPAT1	1470.0005	AGPAT1	1440.1147
AGPAT2	473.6021	AGPAT2	1344.5464
AGPAT3	2088.3698	AGPAT3	1534.6585
AGPAT4	142.0806	AGPAT4	347.6045
AGPAT5	829.0189	AGPAT5	846.3303
AGPAT6	1992.7883	AGPAT6	1778.7971
AGPAT9	84.8178	AGPAT9	161.5698
AGPHD1	49.7282	AGPHD1	60.3976
AGPS	4055.9712	AGPS	1098.6239
AGR2	9256.3371	AGR2	2572.8848
AGR3	12074.2694	AGR3	501.5291
AGRN	1130.402	AGRN	2294.0877
AGTPBP1	336.2575	AGTPBP1	474.5158
AGTR1	227.1137	AGTR1	521.6616
removed	removed	AGTR2	5.3517
AGTRAP	1312.5235	AGTRAP	432.9766
AGT	73.193	AGT	21.1519
AGXT2L2	314.6548	AGXT2L2	514.419
AHCTF1	1896.1305	AHCTF1	2006.371
AHCYL1	6337.4415	AHCYL1	4027.5229
AHCYL2	1272.9132	AHCYL2	722.9867
AHCY	2516.7644	AHCY	1623.3435
AHDC1	543.3507	AHDC1	1033.3843
AHI1	448.1998	AHI1	623.8532
AHNAK2	1106.0761	AHNAK2	1639.1437
AHNAK	49365.9114	AHNAK	127856.2691
AHRR	34.2285	AHRR	15.8002
AHR	4832.6785	AHR	4686.2895
AHSA1	1521.7695	AHSA1	1128.1855
AHSA2	298.3693	AHSA2	741.0805
AIDA	994.8356	AIDA	1310.2752
AIF1L	291.2653	AIF1L	2824.9235
AIF1	344.0073	AIF1	356.2691
AIFM1	1418.4382	AIFM1	532.3649
AIFM2	186.6423	AIFM2	834.3527
removed	removed	AIFM3	8.8838
AIG1	870.9973	AIG1	821.3558
AIM1L	76.4222	removed	removed
AIM1	2828.696	AIM1	3870.5403
AIM2	8.1804	AIM2	6.8807
AIMP1	1285.6036	AIMP1	1156.3405
AIMP2	284.3593	AIMP2	162.6223
AIP	408.5894	AIP	582.314
AJAP1	8.3957	AJAP1	13.7615
AK1	602.3357	AK1	343.527
AK2	2130.3482	AK2	1770.897
AK3L1	92.5677	AK3L1	404.9439
AK3	1692.9121	AK3	2042.5586
AK5	420.86	AK5	1283.3843
AK7	31.8605	AK7	56.3201
AKAP10	708.0351	AKAP10	707.1865
AKAP11	2403.3152	AKAP11	3276.7584
AKAP12	926.9684	AKAP12	4496.1774
AKAP13	3745.5465	AKAP13	4729.103
AKAP1	1779.6674	AKAP1	2439.8573
AKAP2	676.0088	AKAP2	2363.736
AKAP3	67.5959	AKAP3	49.949
AKAP5	204.51	AKAP5	145.2599
AKAP6	31.8605	AKAP6	202.0897
AKAP7	134.9766	AKAP7	218.1448
AKAP8L	552.8228	AKAP8L	808.104
AKAP8	687.1535	AKAP8	765.2905
AKAP9	5844.8953	AKAP9	4170.7441
AKD1	247.3494	AKD1	218.9093
AKIRIN1	1487.541	AKIRIN1	1341.2334
AKIRIN2	467.3591	AKIRIN2	707.1865
AKNA	525.483	AKNA	878.1855
AKR1A1	2239.492	AKR1A1	1069.8267
AKR1B1	484.3657	AKR1B1	853.9755
AKR1C1	38.534	AKR1C1	1430.5632
AKR1C2	23.2496	AKR1C2	1332.8236
AKR1C3	492.9767	AKR1C3	1901.3761
AKR1D1	5.1666	removed	removed
AKR1E2	12.4859	AKR1E2	39.6203
AKR7A2	1167.6444	AKR7A2	690.367
AKR7A3	472.741	AKR7A3	114.4241
AKR7L	45.638	AKR7L	32.6198
AKT1S1	786.1794	AKT1S1	566.0041
AKT1	4112.5881	AKT1	2448.2671
AKT2	2013.4546	AKT2	1963.3028
AKT3	666.272	AKT3	1884.5566
AKTIP	1182.3303	AKTIP	794.3782
ALAD	1493.784	ALAD	1806.5749
ALAS1	1488.4021	ALAS1	799.1845
ALB	7.3193	ALB	52.4975
ALCAM	5390.8832	ALCAM	3990.5708
ALDH16A1	351.1114	ALDH16A1	336.3914
ALDH18A1	4785.5336	ALDH18A1	1107.5433
ALDH1A1	457.6718	ALDH1A1	3168.1957
ALDH1A2	48.2213	ALDH1A2	577.7268
ALDH1A3	323.4638	ALDH1A3	1124.6738
ALDH1B1	676.1746	ALDH1B1	398.0632
ALDH1L1	5.1666	ALDH1L1	312.1814
ALDH1L2	602.7663	ALDH1L2	349.1335
ALDH2	2836.6611	ALDH2	4637.3598
removed	removed	ALDH3A1	27.2681
ALDH3A2	1167.2138	ALDH3A2	2583.5882
