gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
ACOT13	660.0445	ACOT13	511.4374
ACOT1	604.8443	ACOT1	849.1461
ACOT2	432.0783	ACOT2	494.3074
ACOT4	474.2084	ACOT4	140.4175
ACOT7	429.7922	ACOT7	278.463
ACOT8	222.9433	ACOT8	271.7932
ACOT9	318.4251	ACOT9	587.7609
ACOX1	2738.7886	ACOX1	2802.1822
ACOX2	551.2836	ACOX2	230.5503
ACOX3	659.0582	ACOX3	561.1954
ACP1	1876.9116	ACP1	1053.6053
ACP2	1843.926	ACP2	1256.167
ACP5	1395.8448	ACP5	3158.444
ACP6	718.171	ACP6	306.926
ACPL2	858.9312	ACPL2	262.334
ACPP	8.1647	ACPP	32.2581
ACRBP	81.3209	ACRBP	16.129
removed	removed	ACRC	19.9241
removed	removed	ACR	8.0645
removed	removed	ACSBG1	27.9886
ACSF2	2279.1298	ACSF2	985.2941
ACSF3	438.9367	ACSF3	417.9317
ACSL1	1062.3966	ACSL1	13086.8121
ACSL3	3931.488	ACSL3	2513.2827
ACSL4	198.8932	ACSL4	1867.6471
ACSL5	167.5406	ACSL5	945.9203
ACSL6	5.8786	ACSL6	7.1157
ACSM1	211.9568	ACSM1	833.9658
ACSM3	26.3362	ACSM3	59.3169
ACSM5	15.0231	ACSM5	202.0873
ACSS1	479.4338	ACSS1	794.1176
ACSS2	1031.6972	ACSS2	1939.7533
ACSS3	690.0842	ACSS3	498.5769
removed	removed	ACTA1	8.5389
ACTA2	1943.7906	ACTA2	14511.8169
removed	removed	ACTBL2	12.334
ACTB	40482.765	ACTB	76104.3643
ACTG1	40548.7362	ACTG1	60680.74
ACTG2	16.0029	ACTG2	3693.074
ACTL6A	1377.8824	ACTL6A	694.9715
ACTN1	1772.0762	ACTN1	8023.2448
ACTN4	6090.6646	ACTN4	11424.1698
ACTR10	1216.547	ACTR10	1027.0398
ACTR1A	2290.0477	ACTR1A	2545.5408
ACTR1B	1045.0874	ACTR1B	1406.0721
ACTR2	5892.3331	ACTR2	5467.2676
ACTR3B	207.0579	ACTR3B	131.4042
ACTR3C	18.6156	ACTR3C	42.6945
ACTR3	3506.2681	ACTR3	3629.5066
ACTR5	227.6331	ACTR5	221.537
ACTR6	824.3127	ACTR6	530.8349
ACTR8	574.4715	ACTR8	417.4573
ACVR1B	1260.9632	ACVR1B	1122.3909
ACVR1C	29.7197	ACVR1C	1069.7343
ACVR1	916.411	ACVR1	957.3055
ACVR2A	146.9654	ACVR2A	582.0683
ACVR2B	230.5724	ACVR2B	226.2808
ACVRL1	179.951	ACVRL1	1035.1044
ACY1	1342.6107	ACY1	593.4535
ACYP1	92.0983	ACYP1	83.9658
ACYP2	169.5001	ACYP2	171.2524
ADAL	275.3152	ADAL	179.7913
ADAM10	1490.2292	ADAM10	1620.019
removed	removed	ADAM11	21.3472
ADAM12	240.0435	ADAM12	479.6015
ADAM15	6231.046	ADAM15	2965.8444
ADAM17	606.8038	ADAM17	820.2087
ADAM19	50.948	ADAM19	94.4023
ADAM22	15.0231	ADAM22	45.0664
ADAM28	80.9943	ADAM28	159.8672
ADAM32	86.8729	ADAM32	27.0398
removed	removed	ADAM33	281.2619
ADAM6	2981.0268	ADAM6	21599.0417
ADAM8	241.6765	ADAM8	561.6698
ADAM9	900.0815	ADAM9	2702.0873
removed	removed	ADAMDEC1	144.6869
ADAMTS10	33.3122	ADAMTS10	190.2277
ADAMTS12	48.9885	ADAMTS12	133.7761
ADAMTS13	23.1879	ADAMTS13	85.389
ADAMTS14	6.2052	ADAMTS14	21.8216
ADAMTS15	1052.9255	ADAMTS15	599.6205
ADAMTS16	55.8469	ADAMTS16	46.9639
ADAMTS17	13.3902	ADAMTS17	26.5655
removed	removed	ADAMTS18	347.723
ADAMTS19	8.1647	removed	removed
ADAMTS1	169.8267	ADAMTS1	13034.63
ADAMTS2	31.3526	ADAMTS2	372.8653
ADAMTS3	14.0434	ADAMTS3	79.6964
ADAMTS4	1126.0816	ADAMTS4	3344.4023
ADAMTS5	50.6214	ADAMTS5	1609.1082
ADAMTS6	15.3497	ADAMTS6	26.5655
ADAMTS7	34.2919	ADAMTS7	60.2467
removed	removed	ADAMTS8	24.1935
ADAMTS9	93.4047	ADAMTS9	801.7078
ADAMTSL1	67.6041	ADAMTSL1	51.7078
ADAMTSL2	128.6764	ADAMTSL2	28.9374
ADAMTSL3	22.8613	ADAMTSL3	111.4801
ADAMTSL4	36.9046	ADAMTSL4	554.0797
ADAMTSL5	29.3931	ADAMTSL5	22.7704
ADAP1	316.8999	ADAP1	163.2306
ADAP2	252.4539	ADAP2	387.5712
ADARB1	285.4395	ADARB1	893.2638
ADAR	13280.4476	ADAR	5798.8615
ADAT1	726.6623	ADAT1	361.0057
ADAT2	38.5376	ADAT2	126.186
ADAT3	44.7428	ADAT3	15.1803
ADA	76.7486	ADA	125.7116
ADCK1	161.662	ADCK1	182.1632
ADCK2	1138.1654	ADCK2	698.7666
ADCK4	712.6189	ADCK4	523.2448
ADCK5	67.2775	ADCK5	68.3112
ADCY1	127.0434	ADCY1	196.8691
ADCY2	44.4162	ADCY2	53.6053
ADCY3	832.5982	ADCY3	1216.9877
ADCY4	112.6735	ADCY4	684.0607
ADCY5	41.8035	ADCY5	564.9905
ADCY6	568.2662	ADCY6	2844.4023
ADCY7	166.5608	ADCY7	493.3586
ADCY8	7.185	removed	removed
ADCY9	803.4109	ADCY9	610.0569
removed	removed	ADCYAP1R1	12.334
ADCYAP1	5.2254	ADCYAP1	49.8102
