gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
C19orf63	2315.6131	C19orf63	1752.2628
C19orf66	377.3255	C19orf66	470.4554
C19orf6	1302.4401	C19orf6	1399.4307
C19orf70	677.0207	C19orf70	615.7495
removed	removed	C19orf71	17.0778
C19orf73	22.8613	C19orf73	14.2315
removed	removed	C19orf76	63.5674
removed	removed	C19orf77	9.4877
C1D	226.6533	C1D	221.537
C1GALT1C1	990.2203	C1GALT1C1	456.3567
C1GALT1	232.5319	C1GALT1	327.7989
C1QA	1164.2926	C1QA	1959.6774
C1QBP	1162.823	C1QBP	1101.6271
C1QB	1358.287	C1QB	1802.6565
C1QC	1125.755	C1QC	1837.7609
removed	removed	C1QL1	12.8083
removed	removed	C1QL2	40.3226
C1QL3	14.0434	C1QL3	18.5009
removed	removed	C1QL4	5.2182
C1QTNF1	101.5694	C1QTNF1	1806.4516
C1QTNF2	107.1215	C1QTNF2	18.9753
C1QTNF3	213.5897	C1QTNF3	140.4175
C1QTNF6	253.7603	C1QTNF6	148.9564
C1QTNF7	61.3989	C1QTNF7	75.4269
C1QTNF9B	6.6428	C1QTNF9B	18.6385
removed	removed	C1QTNF9	28.9374
C1RL	763.1848	C1RL	1415.1803
C1R	1029.0845	C1R	6208.7287
C1S	1258.0239	C1S	8589.6584
C1orf101	74.7891	C1orf101	12.8083
C1orf103	788.0612	C1orf103	404.1746
C1orf104	30.8235	C1orf104	43.4013
C1orf106	12.0838	C1orf106	155.1233
C1orf107	1114.3244	C1orf107	667.4573
C1orf109	533.3211	C1orf109	288.8994
C1orf112	292.533	C1orf112	117.462
C1orf113	218.6813	C1orf113	257.9649
C1orf114	8.8179	C1orf114	5.2182
C1orf115	3228.9933	C1orf115	1627.6091
C1orf116	450.3673	C1orf116	719.1651
C1orf122	723.0078	C1orf122	329.9051
C1orf123	450.3673	C1orf123	735.7685
C1orf124	390.6014	C1orf124	245.2562
removed	removed	C1orf125	5.2182
C1orf126	16.8128	C1orf126	100.389
C1orf127	61.3989	C1orf127	9.962
C1orf128	1161.6799	C1orf128	928.8425
C1orf130	9.4711	C1orf130	327.3245
C1orf131	409.217	C1orf131	191.1765
C1orf133	40.1705	C1orf133	48.8615
C1orf135	19.2688	C1orf135	15.1803
C1orf144	2435.3801	C1orf144	2742.8843
C1orf151	2048.319	C1orf151	923.8188
removed	removed	C1orf152	6.6414
C1orf156	235.7978	C1orf156	77.7989
C1orf159	98.6301	C1orf159	106.7362
removed	removed	C1orf161	8.0645
C1orf162	160.3556	C1orf162	287.0019
C1orf163	272.3759	C1orf163	186.907
C1orf168	47.0289	C1orf168	14.7059
C1orf170	30.3729	C1orf170	28.9374
C1orf172	608.1102	C1orf172	268.5009
C1orf173	70.2168	C1orf173	54.0797
C1orf174	390.928	C1orf174	268.9753
removed	removed	C1orf175	61.6698
C1orf182	16.0029	removed	removed
C1orf183	15.3497	C1orf183	117.6471
C1orf186	8.1647	C1orf186	13.7571
removed	removed	C1orf187	7.1157
C1orf190	73.2737	C1orf190	36.4374
C1orf192	52.9075	C1orf192	21.8216
C1orf198	2329.565	C1orf198	2907.9696
C1orf201	371.006	C1orf201	258.0645
C1orf203	256.3893	C1orf203	109.1461
C1orf204	17.5803	C1orf204	65.7068
C1orf210	443.5089	C1orf210	168.8805
C1orf212	549.9772	C1orf212	705.8824
C1orf213	13.1844	C1orf213	62.908
C1orf216	565.3269	C1orf216	360.5313
C1orf21	4415.8207	C1orf21	1924.0987
C1orf220	15.3497	C1orf220	9.0133
C1orf226	220.7747	C1orf226	731.4991
C1orf228	19.5954	C1orf228	9.0133
C1orf229	33.3122	removed	removed
C1orf230	6.8584	removed	removed
C1orf25	1439.9344	C1orf25	447.8178
C1orf26	442.5292	C1orf26	115.7495
C1orf27	2538.5825	C1orf27	745.7306
C1orf31	611.7027	C1orf31	201.6129
C1orf35	489.8847	C1orf35	161.7647
C1orf38	155.4567	C1orf38	666.9829
C1orf43	11183.0879	C1orf43	3279.4118
C1orf50	150.5579	C1orf50	101.518
C1orf51	150.2313	C1orf51	48.3871
C1orf52	176.3585	C1orf52	369.5446
C1orf53	30.3729	removed	removed
C1orf54	66.2977	C1orf54	111.9545
C1orf55	1331.5066	C1orf55	826.8501
C1orf56	766.6957	C1orf56	106.9355
C1orf57	775.9774	C1orf57	326.3757
C1orf58	926.4667	C1orf58	315.9298
C1orf59	222.7342	C1orf59	163.6622
removed	removed	C1orf61	5.2182
C1orf63	172.1128	C1orf63	350.5693
C1orf64	1954.3134	C1orf64	149.4307
C1orf65	16.3295	removed	removed
C1orf66	1508.5183	C1orf66	478.1784
C1orf69	148.2718	C1orf69	243.3586
removed	removed	C1orf70	7.5901
C1orf74	237.7574	C1orf74	87.7609
C1orf77	2814.8775	C1orf77	1657.9696
C1orf83	244.9423	C1orf83	166.5085
C1orf84	9.9349	C1orf84	10.5313
C1orf85	1507.2119	C1orf85	712.5237
C1orf86	361.9464	C1orf86	215.3273
C1orf88	613.0091	C1orf88	159.3928
C1orf89	68.5839	C1orf89	37.0019
C1orf91	125.7371	C1orf91	193.0455
C1orf93	1187.7614	C1orf93	774.7486
removed	removed	C1orf95	65.4649
C1orf96	349.1245	C1orf96	314.5161
C1orf97	485.639	C1orf97	63.093
C1orf9	4144.4245	C1orf9	1335.8634
C20orf103	103.2024	C20orf103	8.5389
C20orf108	4320.1299	C20orf108	2940.2277
C20orf111	860.5641	C20orf111	786.0531
C20orf112	909.8792	C20orf112	964.8956
C20orf114	246.9019	C20orf114	60.2467
C20orf117	370.0262	C20orf117	437.8558
removed	removed	C20orf118	42.5664
C20orf11	1413.4806	C20orf11	1207.3055
C20orf12	151.5377	C20orf12	122.3909
C20orf132	28.09	C20orf132	24.2125
C20orf134	62.3787	C20orf134	31.7837
C20orf135	68.9104	C20orf135	49.8102
C20orf151	176.0319	C20orf151	67.8368
C20orf160	33.6387	C20orf160	255.2182
removed	removed	C20orf165	6.6414
C20orf177	344.2256	C20orf177	129.0607
C20orf186	17.9624	removed	removed
C20orf194	191.3816	C20orf194	1156.5465
C20orf195	12.0838	removed	removed
C20orf196	51.6012	C20orf196	76.8501
C20orf199	1185.521	C20orf199	1839.1841
removed	removed	C20orf202	6.6414
removed	removed	C20orf203	12.334
C20orf20	268.1302	C20orf20	199.7154
C20orf24	955.5103	C20orf24	907.6613
C20orf26	109.7342	C20orf26	9.0133
C20orf27	71.5232	C20orf27	286.5275
C20orf29	190.4019	C20orf29	186.4326
C20orf30	3363.8749	C20orf30	2226.2808
C20orf3	3379.8778	C20orf3	4155.5977
C20orf43	2120.221	C20orf43	2070.6831
C20orf46	5.552	C20orf46	28.463
C20orf4	1175.0701	C20orf4	982.9222
C20orf54	96.0174	C20orf54	180.2657
C20orf72	456.5725	C20orf72	415.5598
C20orf7	102.5492	C20orf7	134.2505
C20orf94	49.6416	C20orf94	15.1803
C20orf96	293.2776	C20orf96	245.2562
C21orf119	186.8094	C21orf119	77.7989
C21orf122	35.2717	C21orf122	39.8482
C21orf15	18.6156	C21orf15	36.0531
C21orf2	198.24	C21orf2	372.8653
C21orf33	1785.4664	C21orf33	1738.1404
removed	removed	C21orf34	77.3245
C21orf45	183.5435	C21orf45	121.9165
C21orf49	20.2486	C21orf49	7.5901
C21orf56	177.0117	C21orf56	67.3624
C21orf57	292.6245	C21orf57	92.0304
C21orf58	53.8873	C21orf58	33.6812
C21orf59	1180.7332	C21orf59	615.0142
C21orf63	688.4513	C21orf63	678.3681
C21orf67	86.5463	C21orf67	61.6698
C21orf70	139.4538	C21orf70	112.4288
C21orf7	65.9711	C21orf7	46.4896
removed	removed	C21orf81	6.167
C21orf88	16.0029	C21orf88	5.6926
C21orf91	300.7892	C21orf91	557.4004
C22orf13	3965.0059	C22orf13	2016.8027
C22orf23	33.6387	C22orf23	117.1727
C22orf25	372.639	C22orf25	458.7287
removed	removed	C22orf26	9.4877
C22orf27	100.5897	C22orf27	142.7894
C22orf28	2117.2817	C22orf28	1750.4744
C22orf29	364.9282	C22orf29	547.9364
C22orf30	995.1191	C22orf30	963.9469
C22orf32	1020.2665	C22orf32	878.0835
removed	removed	C22orf34	21.3472
C22orf36	319.4048	C22orf36	204.4592
C22orf39	341.9395	C22orf39	565.9345
C22orf40	179.6244	C22orf40	107.2106
C22orf41	8.8179	removed	removed
C22orf46	791.6537	C22orf46	581.5939
C22orf9	1727.9866	C22orf9	2178.8425
C2CD2L	489.4242	C2CD2L	321.6319
C2CD2	402.6852	C2CD2	2156.0721
C2CD3	767.1594	C2CD3	663.1879
C2CD4A	2213.2991	C2CD4A	60.7211
C2CD4B	48.0087	C2CD4B	484.8197
removed	removed	C2CD4C	89.1841
C2CD4D	49.4392	C2CD4D	19.4497
C2orf15	141.4232	C2orf15	52.4241
C2orf16	62.7052	C2orf16	59.2979
C2orf18	1917.4087	C2orf18	1253.3207
C2orf24	2410.5593	C2orf24	1410.3416
C2orf27A	25.1474	C2orf27A	38.425
C2orf28	2751.9795	C2orf28	1620.5693
C2orf29	1214.5875	C2orf29	658.9184
C2orf34	79.0347	C2orf34	60.7211
removed	removed	C2orf39	5.6926
C2orf3	545.0784	C2orf3	468.2163
removed	removed	C2orf40	271.3472
C2orf42	298.8297	C2orf42	180.74
C2orf43	227.6331	C2orf43	313.093
C2orf44	349.1245	C2orf44	192.1252
C2orf47	407.2575	C2orf47	256.9829
C2orf49	126.0637	C2orf49	111.4801
C2orf50	10.4509	C2orf50	5.6926
removed	removed	C2orf54	52.1822
C2orf55	779.2433	C2orf55	397.0588
C2orf56	255.7198	C2orf56	229.1271
removed	removed	C2orf58	9.4877
C2orf60	240.0435	C2orf60	206.4896
C2orf63	76.0954	C2orf63	62.1442
C2orf64	727.3155	C2orf64	416.0342
removed	removed	C2orf65	42.2201
C2orf67	175.8294	C2orf67	434.0228
C2orf68	786.1016	C2orf68	599.6205
C2orf69	631.6247	C2orf69	418.8805
removed	removed	C2orf70	6.6414
C2orf72	221.7545	C2orf72	186.907
C2orf73	32.9856	C2orf73	6.6414
C2orf74	400.3991	C2orf74	245.7306
C2orf76	80.6677	C2orf76	58.8235
C2orf77	203.1389	C2orf77	288.425
C2orf79	194.9741	C2orf79	206.8311
C2orf7	265.8441	C2orf7	272.7704
C2orf81	142.4813	C2orf81	60.2419
removed	removed	C2orf82	11.3852
removed	removed	C2orf84	8.0645
C2orf86	103.529	C2orf86	138.0455
C2orf88	6.2052	C2orf88	158.9184
removed	removed	C2orf89	28.9374
C2	1187.2748	C2	637.0968
C3AR1	292.2979	C3AR1	550.2846
C3orf10	3197.3141	C3orf10	2720.1139
C3orf14	1143.7175	C3orf14	351.518
C3orf15	166.5608	C3orf15	178.8425
C3orf17	966.7058	C3orf17	891.3662
C3orf18	285.7661	C3orf18	183.112
C3orf19	471.9223	C3orf19	386.148
C3orf1	1355.6743	C3orf1	869.0702
C3orf21	283.4799	C3orf21	198.2922
C3orf23	438.6101	C3orf23	399.4307
C3orf26	401.7055	C3orf26	301.2334
C3orf31	180.9307	C3orf31	191.6509
removed	removed	C3orf32	7.5901
C3orf33	260.2921	C3orf33	120.9677
C3orf34	123.4509	C3orf34	30.8349
removed	removed	C3orf35	5.2182
C3orf37	975.8503	C3orf37	960.6262
C3orf38	503.9281	C3orf38	322.5806
C3orf39	797.5323	C3orf39	436.907
removed	removed	C3orf42	20.8729
C3orf47	21.8815	C3orf47	48.3871
C3orf52	435.6708	C3orf52	203.5104
C3orf54	20.9017	C3orf54	24.6679
C3orf55	6.8584	C3orf55	128.0835
C3orf57	86.5463	C3orf57	142.315
C3orf58	182.8903	C3orf58	598.1973
C3orf59	166.2342	C3orf59	330.1708
C3orf62	156.4365	C3orf62	174.0987
C3orf63	2512.1777	C3orf63	2006.6603
C3orf64	305.6881	C3orf64	1089.1841
C3orf67	43.763	C3orf67	8.5389
C3orf70	64.9914	C3orf70	112.4288
C3orf71	87.9506	C3orf71	18.9753
C3orf75	458.2055	C3orf75	303.1309
C3	4643.4538	C3	19689.2789
C4A	46226.7709	C4A	24669.6252
removed	removed	C4BPA	67.8368
removed	removed	C4BPB	10.9108
C4orf10	391.1566	C4orf10	266.9497
C4orf12	32.3324	C4orf12	27.9886
C4orf14	633.5842	C4orf14	536.5275
removed	removed	C4orf19	131.926
C4orf21	40.1705	C4orf21	43.1689
C4orf23	315.1592	C4orf23	282.2581
C4orf27	509.1535	C4orf27	373.3397
C4orf29	143.0463	C4orf29	109.5825
C4orf31	939.5988	C4orf31	106.7362
C4orf32	2812.9179	C4orf32	1431.6888
C4orf33	341.6129	C4orf33	199.241
C4orf34	2819.4497	C4orf34	977.2296
C4orf36	23.1879	C4orf36	22.7704
C4orf38	27.4335	C4orf38	15.1803
C4orf39	8.4913	C4orf39	10.9108
C4orf3	3018.0163	C4orf3	3351.9924
C4orf41	1189.1135	C4orf41	1059.7723
C4orf42	576.7576	C4orf42	246.6793
C4orf43	432.4049	C4orf43	399.4307
C4orf46	139.1273	C4orf46	127.6091
C4orf47	21.5549	C4orf47	7.1157
removed	removed	C4orf48	9.4877
removed	removed	C4orf49	28.463
C4orf52	57.4798	C4orf52	381.4042
removed	removed	C4orf7	4456.8311
C5AR1	128.3498	C5AR1	679.3169
C5orf13	340.9597	C5orf13	375.7116
C5orf15	1841.6399	C5orf15	1566.888
removed	removed	C5orf20	13.7571
C5orf22	812.2288	C5orf22	498.1025
C5orf23	72.8295	C5orf23	1013.7571
C5orf24	1370.6974	C5orf24	1265.6546
C5orf25	262.2516	C5orf25	208.7287
C5orf27	8.4913	C5orf27	8.5389
C5orf28	333.4482	C5orf28	309.2979
C5orf30	1164.9458	C5orf30	457.7799
C5orf32	538.8732	C5orf32	1120.4934
C5orf33	857.6248	C5orf33	695.4459
C5orf34	28.0867	C5orf34	41.2713
C5orf35	127.37	C5orf35	124.7628
C5orf36	158.0695	C5orf36	78.7476
C5orf38	254.4135	C5orf38	55.5028
C5orf39	31.3526	C5orf39	43.6433
C5orf41	554.5495	C5orf41	682.1632
C5orf42	858.6046	C5orf42	532.7324
C5orf43	1655.8103	C5orf43	1001.4231
C5orf44	642.0233	C5orf44	471.0389
C5orf45	242.4537	C5orf45	171.8786
C5orf46	8.4913	C5orf46	55.5028
C5orf49	36.9046	C5orf49	14.7059
C5orf4	342.9193	C5orf4	1414.611
C5orf51	1276.6395	C5orf51	733.871
C5orf53	293.6042	C5orf53	374.2884
C5orf54	215.5493	C5orf54	82.5427
C5orf55	130.9625	C5orf55	56.4516
C5orf56	38.5637	C5orf56	91.9118
C5orf62	266.4973	C5orf62	983.3966
C5	121.1648	C5	147.5332
removed	removed	C6orf105	85.389
C6orf106	2287.4349	C6orf106	2848.1973
C6orf108	367.0869	C6orf108	260.4364
C6orf114	6.8584	C6orf114	15.6546
C6orf115	362.5147	C6orf115	481.9734
C6orf120	818.2871	C6orf120	830.3416
C6orf122	11.0551	C6orf122	14.9336
C6orf123	7.185	C6orf123	9.0133
C6orf124	8.8179	C6orf124	14.2315
C6orf125	919.1543	C6orf125	428.8188
C6orf126	39.844	removed	removed
C6orf127	10.1243	removed	removed
C6orf129	278.2545	C6orf129	92.0304
C6orf130	884.9898	C6orf130	366.6176
C6orf132	274.0088	C6orf132	172.6755
C6orf134	187.7891	C6orf134	221.0626
C6orf136	261.2718	C6orf136	168.8805
C6orf138	7.8382	C6orf138	21.3472
C6orf141	26.1272	C6orf141	60.7211
C6orf145	149.9047	C6orf145	1379.0323
C6orf150	39.844	C6orf150	42.6945
C6orf153	843.908	C6orf153	530.8349
C6orf154	76.7486	C6orf154	9.962
C6orf155	68.5839	C6orf155	101.0436
removed	removed	C6orf15	22.296
C6orf162	53.5379	C6orf162	127.7989
removed	removed	C6orf163	8.5389
removed	removed	C6orf164	13.5674
C6orf165	19.922	C6orf165	18.0266
C6orf167	174.0724	C6orf167	191.6509
C6orf168	192.3614	C6orf168	129.5066
C6orf170	106.4683	C6orf170	101.518
removed	removed	C6orf174	163.1309
C6orf176	194.7324	C6orf176	6.167
C6orf182	74.1359	C6orf182	128.5579
C6orf192	208.6909	C6orf192	587.7609
C6orf1	551.6102	C6orf1	231.4991
C6orf201	6.2085	C6orf201	14.7391
C6orf203	171.1331	C6orf203	236.7173
C6orf204	8.8179	C6orf204	71.1575
C6orf208	5.601	C6orf208	5.9393
C6orf211	2667.9121	C6orf211	1009.962
C6orf217	13.7168	C6orf217	5.6926
C6orf223	5.8819	C6orf223	17.0778
C6orf225	90.792	C6orf225	166.5085
C6orf226	144.0261	C6orf226	52.6565
C6orf26	6.2705	C6orf26	26.2239
C6orf27	51.2746	C6orf27	54.5541
C6orf35	277.6013	C6orf35	524.6679
C6orf41	9.1445	C6orf41	15.6546
C6orf47	804.3907	C6orf47	603.4156
C6orf48	1273.047	C6orf48	1475.8065
C6orf52	15.3497	removed	removed
C6orf57	88.5058	C6orf57	95.351
removed	removed	C6orf59	11.3852
C6orf62	2406.9603	C6orf62	2571.5797
C6orf64	979.7694	C6orf64	595.351
C6orf70	250.4944	C6orf70	342.0304
C6orf72	458.2055	C6orf72	854.8387
C6orf81	8.4913	removed	removed
C6orf89	2337.4032	C6orf89	2772.7704
C6orf97	1145.3504	C6orf97	386.6224
removed	removed	C6	231.4991
C7orf10	40.1705	C7orf10	9.962
C7orf11	372.3124	C7orf11	305.5028
C7orf13	150.5579	C7orf13	82.0683
C7orf23	297.507	C7orf23	233.425
C7orf25	471.0927	C7orf25	279.4118
C7orf26	504.9078	C7orf26	537.0019
C7orf27	939.9254	C7orf27	649.9051
C7orf28A	1189.7666	C7orf28A	813.5674
C7orf28B	289.3586	C7orf28B	393.2638
C7orf29	52.581	C7orf29	80.1708
C7orf30	297.8499	C7orf30	287.4763
C7orf31	11.7572	C7orf31	112.9032
C7orf36	212.2834	C7orf36	150.3795
C7orf40	224.6938	C7orf40	296.0152
C7orf41	1308.3187	C7orf41	3422.2011
C7orf42	3780.6035	C7orf42	2576.3757
C7orf43	315.8123	C7orf43	308.8235
C7orf44	732.2143	C7orf44	553.6053
C7orf46	82.6272	C7orf46	158.444
C7orf47	209.9972	C7orf47	133.3017
C7orf49	463.0815	C7orf49	383.5294
C7orf50	862.5237	C7orf50	814.0417
removed	removed	C7orf51	46.9639
removed	removed	C7orf53	16.6034
C7orf55	210.3238	C7orf55	212.3767
C7orf58	69.237	C7orf58	1027.0398
C7orf59	1074.4804	C7orf59	1045.0664
C7orf60	203.1389	C7orf60	388.5199
C7orf63	167.214	C7orf63	248.1025
C7orf64	335.4077	C7orf64	233.3966
C7orf68	404.6448	C7orf68	414.1366
C7orf70	617.9079	C7orf70	363.3776
C7	48.3353	C7	1105.3131
C8orf30A	444.8153	C8orf30A	274.6679
C8orf33	1102.5672	C8orf33	1020.8729
removed	removed	C8orf34	16.6034
C8orf37	209.3441	C8orf37	54.5541
C8orf38	423.2604	C8orf38	203.5104
C8orf39	8.1647	removed	removed
C8orf40	1082.9718	C8orf40	600.5693
C8orf41	335.1432	C8orf41	231.741
C8orf42	38.211	C8orf42	426.4706
C8orf44	23.3512	C8orf44	27.2486
C8orf45	101.896	C8orf45	36.5275
C8orf46	9.1445	C8orf46	35.1044
removed	removed	C8orf47	14.2315
C8orf48	14.37	C8orf48	19.4497
C8orf4	7552.7157	C8orf4	4403.7002
C8orf51	50.6214	C8orf51	26.5655
C8orf55	594.0668	C8orf55	574.4782
C8orf58	176.3585	C8orf58	236.7173
C8orf59	546.1594	C8orf59	480.3985
C8orf73	20.5752	C8orf73	57.4004
C8orf76	264.8643	C8orf76	276.0911
C8orf79	70.87	C8orf79	386.6224
removed	removed	C8orf80	10.9108
C8orf83	689.4311	C8orf83	691.1765
C8orf84	609.7432	C8orf84	407.0209
C8orf85	234.8181	C8orf85	446.3947
C8orf86	9.1445	removed	removed
C9orf100	60.2591	C9orf100	56.9497
C9orf102	121.2334	C9orf102	145.7543
C9orf103	212.2834	C9orf103	122.8653
removed	removed	C9orf106	6.167
removed	removed	C9orf109	16.6034
C9orf110	12.737	C9orf110	114.3264
C9orf114	676.005	C9orf114	429.1888
C9orf116	335.4077	C9orf116	44.1176
C9orf117	31.3526	C9orf117	11.8596
C9orf119	488.5783	C9orf119	277.0398
C9orf122	159.3758	C9orf122	18.0266
C9orf123	668.2027	C9orf123	623.3397
C9orf125	11.4306	C9orf125	113.3776
C9orf129	144.565	C9orf129	71.0247
C9orf130	110.9393	C9orf130	177.8985
C9orf140	65.318	C9orf140	78.2732
C9orf142	365.7806	C9orf142	216.7932
C9orf150	586.8819	C9orf150	392.315
C9orf152	961.4804	C9orf152	283.6812
C9orf156	316.4655	C9orf156	298.3871
C9orf163	7.5116	removed	removed
C9orf167	57.8064	C9orf167	91.0816
C9orf169	22.7045	removed	removed
C9orf16	523.5234	C9orf16	559.2979
C9orf171	11.1041	removed	removed
C9orf172	27.7601	removed	removed
removed	removed	C9orf173	5.6926
C9orf21	182.2371	C9orf21	268.5009
C9orf23	569.8992	C9orf23	300.759
removed	removed	C9orf24	5.2182
C9orf25	397.1332	C9orf25	536.0531
C9orf30	238.0186	C9orf30	221.3093
C9orf37	131.6157	C9orf37	120.4934
C9orf3	143.9902	C9orf3	352.0398
C9orf40	80.9943	C9orf40	150.8539
C9orf41	181.9105	C9orf41	113.3776
C9orf43	33.6387	C9orf43	9.0133
C9orf45	8.4913	C9orf45	183.112
C9orf46	761.6074	C9orf46	416.9829
C9orf47	21.5713	C9orf47	21.9497
C9orf5	2207.747	C9orf5	2584.9146
C9orf64	1040.1885	C9orf64	345.8254
C9orf66	41.1503	C9orf66	42.6945
C9orf68	119.2053	C9orf68	141.3662
C9orf69	589.168	C9orf69	676.945
C9orf6	717.5178	C9orf6	429.3169
C9orf72	147.9452	C9orf72	506.6414
C9orf78	1616.6195	C9orf78	1298.8615
C9orf7	768.1392	C9orf7	469.1651
C9orf80	325.9366	C9orf80	237.666
C9orf82	494.457	C9orf82	391.3662
C9orf85	109.7342	C9orf85	139.9431
C9orf86	1459.8564	C9orf86	1533.2068
C9orf89	304.7083	C9orf89	319.7343
C9orf91	2335.4436	C9orf91	926.4706
C9orf93	80.3411	C9orf93	76.3757
C9orf95	521.5639	C9orf95	491.4611
C9orf96	17.6358	C9orf96	13.2827
C9orf98	328.2227	C9orf98	38.425
C9orf9	360.5551	C9orf9	173.1499
CA11	229.9192	CA11	203.5104
CA12	19256.0611	CA12	2731.4991
CA13	50.6214	CA13	177.6898
CA14	163.9481	CA14	11.3852
CA2	93.4047	CA2	538.425
CA3	9.4711	CA3	189.4829
removed	removed	CA4	711.1006
CA5BP	128.0232	CA5BP	202.5617
CA5B	210.5296	CA5B	353.0787
CA8	912.4919	CA8	271.3472
CAB39L	478.7806	CAB39L	1139.4687
CAB39	2182.5996	CAB39	2466.3188
CABC1	1503.9787	CABC1	1528.7619
CABIN1	957.2347	CABIN1	1324.4782
CABLES1	1503.946	CABLES1	935.4839
CABLES2	154.477	CABLES2	195.4459
removed	removed	CABP1	18.0266
removed	removed	CABP4	7.8653
CABYR	423.2604	CABYR	91.0816
CACHD1	30.6994	CACHD1	1526.0911
CACNA1A	12.4104	CACNA1A	22.296
CACNA1C	347.1617	CACNA1C	376.6603
CACNA1D	964.0931	CACNA1D	166.0342
CACNA1F	33.6387	CACNA1F	15.1803
CACNA1H	37.2312	CACNA1H	80.6452
removed	removed	CACNA1I	15.1803
removed	removed	CACNA2D1	320.2087
CACNA2D2	973.2376	CACNA2D2	127.6091
CACNA2D3	8.4913	CACNA2D3	8.5389
CACNA2D4	159.0492	CACNA2D4	71.6319
CACNB1	117.5723	CACNB1	243.3586
CACNB2	1322.6887	CACNB2	31.3093
CACNB3	446.7748	CACNB3	354.8387
CACNB4	65.9711	CACNB4	120.9677
CACNG1	10.1243	removed	removed
CACNG4	795.8993	CACNG4	403.7002
CACYBP	2297.8858	CACYBP	904.649
CADM1	2119.2412	CADM1	600.5693
CADM2	103.529	CADM2	59.2979
removed	removed	CADM3	293.259
CADM4	1016.0209	CADM4	556.926
CADPS2	1470.6339	CADPS2	1155.5977
CAD	789.041	CAD	922.2011
CALB2	5.2254	CALB2	1070.6831
CALCOCO1	1309.2985	CALCOCO1	3384.7249
CALCOCO2	4165.9795	CALCOCO2	2465.8444
CALCRL	272.3759	CALCRL	439.7533
CALD1	1475.5327	CALD1	8530.3605
CALHM2	505.2344	CALHM2	543.6433
CALM1	3603.5918	CALM1	7448.7666
CALM2	19768.4805	CALM2	10555.5028
CALM3	2684.2416	CALM3	3482.9222
removed	removed	CALML3	95.8254
CALML4	189.0955	CALML4	319.7343
CALML5	17.6358	CALML5	19.4497
removed	removed	CALN1	15.6546
CALR	12369.262	CALR	8978.6528
CALU	3553.6236	CALU	2875.7116
CAMK1D	18.9422	CAMK1D	72.5806
CAMK1G	5.552	CAMK1G	11.8596
CAMK1	194.3993	CAMK1	524.3548
CAMK2B	5.552	CAMK2B	45.5408
CAMK2D	1340.9777	CAMK2D	1102.4668
CAMK2G	627.0524	CAMK2G	724.3833
CAMK2N1	694.0033	CAMK2N1	1073.055
CAMK2N2	26.7804	CAMK2N2	10.4364
removed	removed	CAMK4	13.7571
CAMKK1	229.5926	CAMKK1	187.3814
CAMKK2	1013.7347	CAMKK2	1497.6281
CAMLG	1222.099	CAMLG	848.1973
CAMSAP1L1	1341.9575	CAMSAP1L1	1405.5977
CAMSAP1	632.6044	CAMSAP1	932.6376
CAMTA1	609.7432	CAMTA1	625.7116
CAMTA2	543.4454	CAMTA2	1146.5844
CAND1	3038.2649	CAND1	2408.444
CAND2	75.7688	CAND2	94.8767
CANT1	4115.358	CANT1	1387.5712
CANX	23443.9221	CANX	13020.8729
CAP1	6324.0849	CAP1	6292.2201
CAP2	1432.0963	CAP2	442.1252
CAPG	3382.8171	CAPG	5648.482
CAPN10	121.56	CAPN10	269.9668
CAPN11	5.8786	CAPN11	79.222
CAPN12	24.4028	CAPN12	73.9326
CAPN13	466.6968	CAPN13	253.7951
CAPN14	39.844	removed	removed
CAPN1	3712.9994	CAPN1	3762.8083
CAPN2	10017.8155	CAPN2	5332.0683
CAPN3	46.0851	CAPN3	451.1385
CAPN5	51.6012	CAPN5	226.7552
CAPN6	5.2254	CAPN6	199.7154
CAPN7	964.0931	CAPN7	920.3036
CAPN8	478.4541	CAPN8	256.167
CAPN9	215.2227	CAPN9	14.7059
CAPNS1	6451.4549	CAPNS1	6820.6831
CAPRIN1	13044.6497	CAPRIN1	5841.556
CAPRIN2	200.8527	CAPRIN2	390.8918
CAPS2	31.6792	CAPS2	65.9393
CAPSL	6.5318	removed	removed
CAPS	93.4047	CAPS	268.9753
CAPZA1	3260.0194	CAPZA1	2527.0398
CAPZA2	1973.9087	CAPZA2	2468.2163
removed	removed	CAPZA3	8.5389
CAPZB	8563.8377	CAPZB	3460.6262
CARD10	629.012	CARD10	566.1812
CARD11	48.6619	CARD11	98.1973
CARD14	307.6476	CARD14	156.5465
CARD16	50.948	CARD16	185.9583
CARD6	67.2775	CARD6	307.4004
CARD8	520.9107	CARD8	915.0854
CARD9	22.5347	CARD9	102.9412
CARHSP1	883.0923	CARHSP1	1549.2457
CARKD	621.827	CARKD	985.2941
CARM1	707.3935	CARM1	678.8425
CARNS1	16.3295	CARNS1	34.1556
CARS2	408.0086	CARS2	621.4896
CARS	779.5698	CARS	955.8824
CARTPT	128199.2328	CARTPT	10.9108
CASC1	169.5001	CASC1	29.4118
CASC2	105.8151	CASC2	48.8615
CASC3	3853.1064	CASC3	2592.9791
CASC4	5201.2691	CASC4	2472.4858
CASC5	37.5578	CASC5	19.4497
CASD1	1831.5156	CASD1	797.4383
CASKIN1	17.1623	CASKIN1	9.3975
CASKIN2	1058.1216	CASKIN2	1737.6233
