gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
ACO2	2627.3377	ACO2	2532.6203
ACOT11	27.636	ACOT11	46.3051
ACOT13	593.7564	ACOT13	589.7109
ACOT1	701.1913	ACOT1	866.8682
ACOT2	398.4115	ACOT2	442.3043
ACOT4	261.6095	ACOT4	131.3983
ACOT7	244.7524	ACOT7	287.4527
ACOT8	220.8704	ACOT8	200.1975
ACOT9	273.2798	ACOT9	668.117
ACOX1	1610.1791	ACOX1	2467.7029
ACOX2	232.1096	ACOX2	317.8216
ACOX3	877.8669	ACOX3	492.8189
ACP1	1623.1461	ACP1	1174.4666
ACP2	1313.2345	ACP2	899.342
ACP5	646.4057	ACP5	687.6613
ACP6	226.5986	ACP6	256.1817
ACPL2	279.7634	ACPL2	405.0196
ACPP	19.7747	ACPP	27.0614
ACRBP	60.945	ACRBP	35.7812
ACRC	11.3461	ACRC	18.3416
ACR	6.4835	ACR	7.5171
ACSBG1	7.1319	ACSBG1	26.4601
ACSF2	913.8504	ACSF2	740.9122
ACSF3	265.8238	ACSF3	286.5506
ACSL1	2738.9578	ACSL1	8589.9034
ACSL3	3700.4619	ACSL3	2526.336
ACSL4	1273.0367	ACSL4	1779.4402
ACSL5	900.8834	ACSL5	899.9433
ACSL6	41.4944	removed	removed
ACSM1	57.379	ACSM1	69.4577
ACSM3	63.1526	ACSM3	111.8119
ACSM5	17.5055	ACSM5	258.8878
ACSS1	1160.2237	ACSS1	693.9757
ACSS2	741.7133	ACSS2	2045.2437
ACSS3	101.1427	ACSS3	362.022
removed	removed	ACTA1	52.3188
ACTA2	5835.5523	ACTA2	44806.01
ACTB	79340.6273	ACTB	99917.4626
removed	removed	ACTC1	37.5853
ACTG1	69433.1794	ACTG1	59725.5068
ACTG2	307.3183	ACTG2	17234.531
ACTL6A	839.2901	ACTL6A	748.6999
ACTN1	6538.9416	ACTN1	12030.6155
ACTN2	32.7417	ACTN2	5.1116
ACTN4	8438.2008	ACTN4	12681.0644
ACTR10	956.3174	ACTR10	1252.0428
ACTR1A	2511.3867	ACTR1A	2889.8614
ACTR1B	929.0866	ACTR1B	1597.5272
ACTR2	8175.3789	ACTR2	5092.9636
ACTR3B	192.8844	ACTR3B	161.1659
ACTR3C	38.901	ACTR3C	44.2004
ACTR3	3716.0224	ACTR3	3303.3001
ACTR5	161.4393	ACTR5	195.4438
ACTR6	544.6146	ACTR6	523.7893
ACTR8	512.1971	ACTR8	503.3428
ACVR1B	1881.5139	ACVR1B	1113.428
ACVR1C	12.967	ACVR1C	681.9484
ACVR1	1017.9107	ACVR1	1364.1974
ACVR2A	419.4829	ACVR2A	612.7913
ACVR2B	436.3401	ACVR2B	399.3066
ACVRL1	657.4277	ACVRL1	1304.0609
ACY1	763.1088	ACY1	538.222
ACY3	10.6978	ACY3	15.9362
ACYP1	59.3241	ACYP1	58.9338
ACYP2	81.368	ACYP2	159.0611
ADAL	202.9338	ADAL	198.7513
ADAM10	2017.3434	ADAM10	1582.1924
removed	removed	ADAM11	7.8178
ADAM12	1006.2404	ADAM12	249.266
ADAM15	3946.5273	ADAM15	3119.3184
ADAM17	897.6416	ADAM17	722.2398
ADAM19	627.9277	ADAM19	168.3823
ADAM21P1	9.0769	removed	removed
ADAM21	32.7417	removed	removed
ADAM22	108.9229	ADAM22	64.9475
ADAM23	73.2636	ADAM23	98.0226
ADAM28	258.0436	ADAM28	162.3687
ADAM32	38.2527	ADAM32	37.2847
ADAM33	99.846	ADAM33	821.6606
ADAM6	27845.5953	ADAM6	132238.255
ADAM8	276.5216	ADAM8	85.0932
ADAM9	1399.4651	ADAM9	2210.6192
ADAMDEC1	291.7578	removed	removed
ADAMTS10	55.1098	ADAMTS10	198.1499
ADAMTS12	169.8679	ADAMTS12	124.4826
ADAMTS13	23.6648	ADAMTS13	26.4601
ADAMTS14	17.5055	ADAMTS14	8.4191
ADAMTS15	971.8778	ADAMTS15	207.1704
ADAMTS16	9.4011	ADAMTS16	238.4414
ADAMTS17	28.2033	ADAMTS17	31.271
ADAMTS18	10.3736	ADAMTS18	32.7744
ADAMTS1	1926.2501	ADAMTS1	3138.526
ADAMTS2	267.7689	ADAMTS2	721.0371
ADAMTS3	52.5164	ADAMTS3	230.0223
ADAMTS4	320.2853	ADAMTS4	96.2185
ADAMTS5	229.5162	ADAMTS5	2882.645
ADAMTS6	32.7417	ADAMTS6	44.501
ADAMTS7	71.3186	ADAMTS7	85.6946
ADAMTS8	38.2527	ADAMTS8	59.8359
ADAMTS9	305.3732	ADAMTS9	638.0487
ADAMTSL1	528.0817	ADAMTSL1	585.7299
ADAMTSL2	70.9944	ADAMTSL2	126.2867
ADAMTSL3	129.346	ADAMTSL3	551.1514
ADAMTSL4	181.214	ADAMTSL4	1632.1057
ADAMTSL5	74.8845	ADAMTSL5	46.6058
ADAP1	147.8758	ADAP1	113.2972
ADAP2	342.6534	ADAP2	403.8169
ADARB1	609.1255	ADARB1	777.2648
ADARB2	48.9505	removed	removed
ADAR	15774.0498	ADAR	6857.3697
ADAT1	323.527	ADAT1	242.9516
ADAT2	94.335	ADAT2	120.5738
ADAT3	19.7747	ADAT3	27.3621
ADA	165.9778	ADA	124.182
ADCK1	158.1976	ADCK1	171.0885
ADCK2	695.3562	ADCK2	737.274
ADCK4	367.9391	ADCK4	445.9124
ADCK5	40.8461	ADCK5	56.829
ADCY1	305.049	ADCY1	1274.8946
ADCY2	45.7087	ADCY2	103.4348
ADCY3	1080.8072	ADCY3	1965.1268
ADCY4	229.192	ADCY4	501.8394
ADCY5	1650.0527	ADCY5	369.2384
ADCY6	1384.8772	ADCY6	2176.6421
ADCY7	981.603	ADCY7	928.8089
removed	removed	ADCY8	5.1116
ADCY9	558.8784	ADCY9	1042.7676
ADCYAP1R1	30.7967	ADCYAP1R1	57.4304
ADCYAP1	106.9779	ADCYAP1	15.3348
ADC	168.5712	ADC	151.5441
ADD1	6177.1618	ADD1	8107.007
ADD2	65.1593	ADD2	107.3437
ADD3	3832.4013	ADD3	4128.0728
removed	removed	ADH1A	205.9676
ADH1B	304.7249	ADH1B	19326.9819
ADH1C	31.1208	ADH1C	496.4271
removed	removed	ADH4	33.9771
ADH5	2147.3377	ADH5	3806.643
ADHFE1	56.4065	ADHFE1	190.0315
ADI1	773.4825	ADI1	2035.3212
ADIPOQ	58.3516	ADIPOQ	11434.3617
ADIPOR1	3368.5064	ADIPOR1	2268.3503
ADIPOR2	1864.0084	ADIPOR2	2983.0731
ADK	310.56	ADK	431.4797
ADM2	194.1811	ADM2	68.5557
ADM	66.7801	ADM	452.8281
ADNP2	773.1583	ADNP2	603.1695
ADNP	3253.7483	ADNP	2599.7026
ADORA1	232.1096	ADORA1	303.6895
ADORA2A	1170.6621	ADORA2A	82.0864
ADORA2B	31.445	ADORA2B	135.6079
ADORA3	220.4393	ADORA3	275.4254
ADO	599.7245	ADO	667.2149
ADPGK	941.227	ADPGK	805.0148
ADPRHL1	81.0438	ADPRHL1	60.1365
ADPRHL2	536.1861	ADPRHL2	599.862
ADPRH	447.6862	ADPRH	587.2333
removed	removed	ADRA1A	31.8724
ADRA1B	63.5384	ADRA1B	88.1
removed	removed	ADRA1D	8.4191
ADRA2A	217.5217	ADRA2A	871.0778
ADRA2B	15.2362	ADRA2B	43.599
ADRA2C	144.9064	ADRA2C	81.485
ADRB1	7.1319	ADRB1	55.0249
ADRB2	143.6097	ADRB2	299.1793
ADRBK1	2280.2496	ADRBK1	1657.363
ADRBK2	1240.295	ADRBK2	1343.4503
ADRM1	964.0976	ADRM1	982.0297
ADSL	838.9659	ADSL	909.5652
ADSSL1	104.7086	ADSSL1	147.0338
ADSS	2038.4148	ADSS	1262.5667
AEBP1	8942.702	AEBP1	12129.5401
AEBP2	625.9827	AEBP2	664.2081
AEN	507.0103	AEN	370.4411
AES	7044.6552	AES	6490.8374
AFAP1L1	256.7469	AFAP1L1	522.2859
AFAP1L2	528.73	AFAP1L2	1328.4162
AFAP1	1262.2903	AFAP1	1585.4909
AFF1	3056.3255	AFF1	2299.6213
AFF2	37.6043	AFF2	88.7014
AFF3	3947.8078	AFF3	1017.2096
AFF4	4302.4556	AFF4	2727.1921
AFG3L1	148.4723	AFG3L1	182.5144
AFG3L2	1411.9232	AFG3L2	1235.5894
AFMID	1050.3282	AFMID	490.1128
AFP	12.6428	AFP	24.9567
AFTPH	2151.2278	AFTPH	1392.7623
AG2	153.0108	AG2	243.2523
AGAP11	51.6152	AGAP11	145.8371
AGAP1	646.7299	AGAP1	468.163
AGAP2	224.78	AGAP2	75.2909
AGAP3	930.7075	AGAP3	1167.2502
AGAP4	124.8075	AGAP4	151.5441
AGAP5	32.4175	AGAP5	39.1068
AGAP6	75.2087	AGAP6	67.9543
AGAP7	5.1868	removed	removed
AGAP8	15.5604	AGAP8	34.8792
AGA	539.1037	AGA	507.2517
AGBL2	19.1263	AGBL2	5.4123
AGBL3	22.0439	AGBL3	6.0137
removed	removed	AGBL4	9.9225
AGBL5	623.0845	AGBL5	818.4914
AGER	22.3681	AGER	26.7608
AGFG1	1695.1131	AGFG1	1633.0077
AGFG2	464.8675	AGFG2	572.4999
AGGF1	994.8942	AGGF1	870.1757
AGK	471.6752	AGK	493.721
AGL	1616.9868	AGL	925.802
AGMAT	23.6648	AGMAT	12.6287
AGPAT1	2117.1343	AGPAT1	2070.7837
AGPAT2	294.6754	AGPAT2	2243.0929
AGPAT3	3782.1541	AGPAT3	1859.7225
AGPAT4	159.4943	AGPAT4	364.4274
AGPAT5	834.7516	AGPAT5	580.0169
AGPAT6	2655.9689	AGPAT6	1680.5156
AGPAT9	92.0658	AGPAT9	150.9427
AGPHD1	66.1318	AGPHD1	60.1365
AGPS	888.8889	AGPS	1646.2378
AGR2	9517.1408	AGR2	2215.1295
AGR3	2441.3648	AGR3	476.8828
AGRN	4766.0264	AGRN	3462.662
AGTPBP1	302.4556	AGTPBP1	395.3978
AGTR1	95.9559	AGTR1	558.0671
AGTRAP	798.444	AGTRAP	689.1647
AGT	100.4944	AGT	118.1683
removed	removed	AGXT2L1	6.615
AGXT2L2	303.6356	AGXT2L2	589.9966
AHCTF1	2086.7169	AHCTF1	1267.3776
AHCYL1	5159.5753	AHCYL1	4353.2841
AHCYL2	651.2683	AHCYL2	559.5705
AHCY	3752.0058	AHCY	2432.8237
AHDC1	713.8342	AHDC1	953.4648
AHI1	380.2577	AHI1	351.4981
AHNAK2	530.6751	AHNAK2	2082.5284
AHNAK	61276.2785	AHNAK	107463.095
AHRR	30.4725	AHRR	23.7539
AHR	3253.0999	AHR	2228.3595
AHSA1	1360.8882	AHSA1	1454.4022
AHSA2	193.8569	AHSA2	291.6622
AIDA	1027.7818	AIDA	1588.5548
AIF1L	1045.7898	AIF1L	2320.3684
AIF1	666.5046	AIF1	805.2283
AIFM1	913.202	AIFM1	689.4654
AIFM2	129.6702	AIFM2	1179.8789
AIFM3	12.5456	AIFM3	10.2082
AIG1	1147.5808	AIG1	1030.4396
AIM1L	9.4011	removed	removed
AIM1	3515.0336	AIM1	2784.3218
AIM2	80.3955	AIM2	15.6355
AIMP1	1185.0134	AIMP1	1055.9976
AIMP2	351.1468	AIMP2	286.2379
AIP	664.8837	AIP	1008.7905
AJAP1	19.4505	AJAP1	26.7608
AK1	326.7688	AK1	578.5135
AK2	2250.1013	AK2	2175.4393
AK3L1	342.3292	AK3L1	427.5708
AK3	1081.7732	AK3	2133.9451
AK5	847.3944	AK5	1706.3743
AK7	59.9724	AK7	31.271
AKAP10	530.3509	AKAP10	456.1357
AKAP11	2133.074	AKAP11	1628.4975
AKAP12	924.5482	AKAP12	5798.3652
AKAP13	4208.7689	AKAP13	4171.0704
AKAP1	1570.6297	AKAP1	2080.7243
AKAP2	1214.9445	AKAP2	1875.1235
AKAP3	67.7527	AKAP3	75.1707
AKAP5	176.0272	AKAP5	50.214
AKAP6	79.7471	AKAP6	245.9584
AKAP7	225.3019	AKAP7	221.6031
AKAP8L	519.329	AKAP8L	472.0718
AKAP8	615.609	AKAP8	530.1036
AKAP9	3909.5551	AKAP9	1793.873
AKD1	107.6262	AKD1	117.5669
AKIRIN1	1557.3385	AKIRIN1	1155.8243
AKIRIN2	813.0319	AKIRIN2	887.916
AKNA	1891.8875	AKNA	940.2348
AKR1A1	1851.3656	AKR1A1	1857.317
removed	removed	AKR1B10	6.9157
removed	removed	AKR1B15	14.1321
AKR1B1	787.422	AKR1B1	1331.7237
AKR1C1	117.6757	AKR1C1	3181.5236
AKR1C2	330.9831	AKR1C2	2138.1547
AKR1C3	537.807	AKR1C3	2267.7489
AKR1E2	20.7472	AKR1E2	36.984
AKR7A2	1097.0095	AKR7A2	1013
AKR7A3	2023.1785	AKR7A3	69.4577
AKR7L	66.7801	AKR7L	9.6218
AKT1S1	933.3009	AKT1S1	834.3945
AKT1	3266.7153	AKT1	3060.9499
AKT2	2086.3927	AKT2	2551.5934
AKT3	2221.2497	AKT3	1283.6144
AKTIP	545.3667	AKTIP	724.1221
ALAD	1519.7342	ALAD	2090.0454
ALAS1	920.3339	ALAS1	874.3853
ALB	34.6868	ALB	170.1864
ALCAM	3254.7208	ALCAM	2492.9603
ALDH16A1	360.1588	ALDH16A1	374.6506
ALDH18A1	2297.1067	ALDH18A1	1668.1876
ALDH1A1	676.2298	ALDH1A1	3806.643
ALDH1A2	42.467	ALDH1A2	476.8828
ALDH1A3	424.1575	ALDH1A3	2388.3467
ALDH1B1	441.2027	ALDH1B1	682.249
ALDH1L1	22.3681	ALDH1L1	438.6961
ALDH1L2	163.0602	ALDH1L2	342.4776
ALDH2	3905.9891	ALDH2	8616.9648
ALDH3A1	12.6428	ALDH3A1	61.3393
ALDH3A2	2736.6885	ALDH3A2	3073.8792
ALDH3B1	327.7413	ALDH3B1	300.0813
ALDH3B2	3616.8247	ALDH3B2	514.4681
ALDH4A1	743.6583	ALDH4A1	1025.6287
ALDH5A1	629.8728	ALDH5A1	586.3313
ALDH6A1	608.9505	ALDH6A1	462.0952
ALDH7A1	1240.6192	ALDH7A1	2133.9451
ALDH8A1	12.6428	ALDH8A1	7.2164
ALDH9A1	3658.6433	ALDH9A1	4113.64
ALDOA	44503.1202	ALDOA	14783.3656
removed	removed	ALDOB	6.3143
ALDOC	233.4063	ALDOC	1567.7596
ALG10B	316.071	ALG10B	291.3615
ALG10	124.8075	ALG10	84.4918
ALG11	22.0439	ALG11	8.1184
ALG12	662.9386	ALG12	505.1469
ALG13	480.4279	ALG13	383.9718
ALG14	210.714	ALG14	193.6397
ALG1L	5.6439	ALG1L	12.9324
ALG1	639.7439	ALG1	486.4114
ALG2	1036.3887	ALG2	871.6791
ALG3	755.0045	ALG3	548.4452
ALG5	615.2849	ALG5	637.4473
ALG6	398.4115	ALG6	247.7625
ALG8	592.2684	ALG8	710.8139
ALG9	909.3119	ALG9	655.789
ALKBH1	226.2744	ALKBH1	206.8697
ALKBH2	228.8678	ALKBH2	281.439
ALKBH3	333.2523	ALKBH3	417.6483
ALKBH4	186.8806	ALKBH4	228.4707
ALKBH5	1667.7786	ALKBH5	2439.5229
ALKBH6	72.2911	ALKBH6	61.64
ALKBH7	316.7193	ALKBH7	420.9558
ALKBH8	244.1041	ALKBH8	273.6213
ALK	13.2912	ALK	13.5307
ALMS1P	12.967	removed	removed
ALMS1	968.9602	ALMS1	620.3084
removed	removed	ALOX12P2	10.8246
ALOX15B	188.9942	ALOX15B	149.4393
ALOX15	218.8184	ALOX15	130.1956
ALOX5AP	886.9438	ALOX5AP	672.3265
ALOX5	702.1639	ALOX5	494.3224
ALOXE3	5.8352	ALOXE3	14.4328
ALPK1	679.1474	ALPK1	681.347
ALPK2	7.7802	ALPK2	34.8792
ALPK3	157.5492	ALPK3	252.5735
ALPL	419.4829	ALPL	1476.0514
ALS2CL	143.9339	ALS2CL	331.653
ALS2CR11	10.6978	ALS2CR11	8.7198
ALS2CR4	818.5428	ALS2CR4	1392.4616
ALS2CR8	179.9173	ALS2CR8	165.9769
ALS2	677.2024	ALS2	604.0715
ALX3	22.0439	ALX3	24.0546
ALX4	19.4505	ALX4	42.3963
AMACR	350.4336	AMACR	300.6827
AMBP	67.1043	removed	removed
AMBRA1	1155.3611	AMBRA1	825.9754
AMD1	1170.1434	AMD1	1827.0293
AMDHD1	24.9615	AMDHD1	13.8314
AMDHD2	256.0985	AMDHD2	148.2366
AMFR	4231.4612	AMFR	3718.543
AMICA1	719.021	AMICA1	228.5189
AMIGO1	98.8735	AMIGO1	141.9222
AMIGO2	1021.4604	AMIGO2	2550.986
AMIGO3	127.0767	AMIGO3	63.444
AMMECR1L	770.5649	AMMECR1L	820.8638
