gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
CXCR1	9.7253	CXCR1	10.2232
CXCR2P1	263.8788	CXCR2P1	9.3212
CXCR2	20.7472	CXCR2	27.6628
CXCR3	468.4334	CXCR3	43.2983
CXCR4	8217.5217	CXCR4	1453.8009
CXCR5	108.5988	removed	removed
CXCR6	388.3621	CXCR6	157.5577
CXCR7	281.7084	CXCR7	4931.7976
CXXC1	533.9168	CXXC1	640.7548
CXXC4	8.4286	CXXC4	11.1253
CXXC5	1010.7788	CXXC5	415.5435
CXorf21	168.247	CXorf21	76.0727
CXorf23	227.2469	CXorf23	208.6738
CXorf26	527.4333	CXorf26	434.4865
CXorf36	838.3175	CXorf36	2130.0362
CXorf38	238.5931	CXorf38	205.3663
CXorf40A	746.9001	CXorf40A	355.1063
CXorf40B	715.1309	CXorf40B	386.678
CXorf42	17.8296	CXorf42	26.1594
CXorf50B	5.8352	removed	removed
CXorf56	244.1041	CXorf56	281.7397
CXorf57	34.6868	CXorf57	39.0888
CYB561D1	497.285	CYB561D1	511.762
CYB561D2	640.6321	CYB561D2	281.4841
CYB561	3383.7426	CYB561	2121.6171
CYB5A	4113.7856	CYB5A	1596.6251
CYB5B	1172.2182	CYB5B	1530.7756
CYB5D1	576.0596	CYB5D1	704.1989
CYB5D2	346.5435	CYB5D2	610.9872
CYB5R1	2728.26	CYB5R1	1534.3838
CYB5R2	185.4283	CYB5R2	166.2775
CYB5R3	3630.1159	CYB5R3	9205.7015
CYB5R4	404.895	CYB5R4	250.168
CYB5RL	141.9888	CYB5RL	90.2048
CYBASC3	2310.3979	CYBASC3	1304.3616
CYBA	829.5648	CYBA	829.5836
CYBB	2164.1948	CYBB	1746.0644
CYBRD1	7162.3308	CYBRD1	19343.8201
CYC1	1350.5146	CYC1	1128.4622
CYCS	2073.1015	CYCS	1336.8353
CYFIP1	4021.7198	CYFIP1	4190.0134
CYFIP2	1218.8994	CYFIP2	375.8534
CYGB	198.0712	CYGB	995.5604
CYHR1	486.5872	CYHR1	515.9715
CYLD	2049.4367	CYLD	1398.1746
CYP11A1	16.2088	CYP11A1	96.2185
CYP19A1	5.8352	CYP19A1	19.8451
CYP1B1	2483.8318	CYP1B1	1974.5833
CYP20A1	669.098	CYP20A1	727.6521
CYP21A2	1101.2756	CYP21A2	196.0722
CYP26A1	54.4615	CYP26A1	12.9294
CYP26B1	78.7746	CYP26B1	501.8394
CYP27A1	1921.0633	CYP27A1	1092.9816
CYP27B1	13.6154	CYP27B1	15.9362
removed	removed	CYP27C1	11.1253
CYP2A6	7.7802	CYP2A6	74.87
removed	removed	CYP2A7	23.4533
CYP2B6	6.8077	removed	removed
CYP2B7P1	4393.5489	CYP2B7P1	38.1867
removed	removed	CYP2C18	6.3143
CYP2C8	5.1868	CYP2C8	9.3212
CYP2E1	34.0546	CYP2E1	28.622
CYP2J2	210.0656	CYP2J2	317.8216
CYP2R1	174.7305	CYP2R1	193.9403
CYP2S1	113.7856	CYP2S1	76.3734
CYP2U1	270.3623	CYP2U1	670.8201
CYP39A1	87.2032	CYP39A1	211.0793
removed	removed	CYP3A4	6.9157
removed	removed	CYP3A5	25.2573
CYP46A1	13.2912	CYP46A1	20.1457
removed	removed	CYP4A11	5.1116
CYP4B1	12066.1318	CYP4B1	626.0214
CYP4F11	66.456	CYP4F11	20.7471
CYP4F12	55.1098	CYP4F12	68.8563
CYP4F22	603.6146	CYP4F22	328.9469
CYP4F3	89.4724	removed	removed
CYP4F8	44.7362	CYP4F8	12.0273
CYP4V2	862.3065	CYP4V2	1112.2253
CYP4X1	815.6253	CYP4X1	1044.5717
CYP4Z1	3187.2923	CYP4Z1	279.0335
CYP4Z2P	664.8837	CYP4Z2P	36.6833
CYP51A1	1609.8549	CYP51A1	1033.7471
removed	removed	CYP7A1	5.4123
CYP7B1	141.0163	CYP7B1	122.3779
removed	removed	CYP8B1	10.2232
CYR61	2752.5731	CYR61	6064.4694
CYS1	31.7692	CYS1	370.4411
CYSLTR1	268.7414	CYSLTR1	104.9383
CYSLTR2	31.7692	CYSLTR2	26.7608
CYTH1	1223.1137	CYTH1	987.7427
CYTH2	1165.7347	CYTH2	1005.7836
CYTH3	711.2408	CYTH3	1606.8483
CYTH4	634.4112	CYTH4	478.6869
CYTIP	1190.6962	CYTIP	248.6646
CYTL1	39.5494	CYTL1	122.6785
CYTSA	2703.2985	CYTSA	2167.3209
CYTSB	330.3347	CYTSB	429.9763
CYYR1	848.6911	CYYR1	1828.4515
D2HGDH	135.8295	D2HGDH	142.8243
D4S234E	103.7361	D4S234E	368.9377
DAAM1	560.8234	DAAM1	780.2716
DAAM2	371.492	DAAM2	1162.0544
DAB2IP	1363.4816	DAB2IP	2913.6154
DAB2	2030.9587	DAB2	4730.9416
DACH1	1238.9983	DACH1	284.1452
DACT1	129.0218	DACT1	418.851
DACT2	8.7527	DACT2	205.667
DACT3	91.7416	DACT3	147.3345
DAD1	2767.161	DAD1	2845.0597
DAG1	5497.3661	DAG1	4579.6982
DAGLA	208.1206	DAGLA	214.0861
DAGLB	492.4224	DAGLB	383.3704
DAK	828.5923	DAK	629.9303
DALRD3	1965.8935	DALRD3	649.18
DAP3	2294.8375	DAP3	1795.6771
DAPK1	499.8784	DAPK1	638.3494
DAPK2	137.1262	DAPK2	540.6275
DAPK3	439.906	DAPK3	587.534
removed	removed	DAPL1	14.1321
DAPP1	464.2191	DAPP1	165.9769
DAP	2757.7599	DAP	3692.3836
DARC	2757.7599	DARC	5339.2227
DARS2	650.9442	DARS2	353.3022
DARS	1497.6903	DARS	1792.6703
DAXX	1407.2453	DAXX	1325.1087
DAZAP1	1221.1687	DAZAP1	1096.2891
DAZAP2	8866.5208	DAZAP2	7256.977
DBC1	131.6152	DBC1	210.4779
DBF4B	62.89	DBF4B	70.3598
DBF4	172.7855	DBF4	118.2375
DBI	2285.7606	DBI	2529.9442
DBN1	853.2296	DBN1	2359.4571
DBNDD1	464.2191	DBNDD1	156.9564
DBNDD2	3441.1865	DBNDD2	1296.9527
DBNL	2031.2829	DBNL	2001.3441
DBP	465.1593	DBP	353.221
DBR1	429.5324	DBR1	399.0059
DBT	960.8558	DBT	734.8685
DBX2	11.6703	DBX2	18.6423
DCAF10	1710.6735	DCAF10	992.8543
DCAF11	2814.1146	DCAF11	1984.7674
DCAF12L2	19.1263	DCAF12L2	10.5239
DCAF12	1645.19	DCAF12	1375.6234
DCAF13	658.6336	DCAF13	590.3905
DCAF15	359.1863	DCAF15	375.252
DCAF16	767.6473	DCAF16	817.5563
DCAF17	543.9663	DCAF17	408.6278
DCAF4L1	20.0989	DCAF4L1	6.3143
DCAF4	214.6041	DCAF4	273.9219
DCAF5	1703.8658	DCAF5	1754.4836
DCAF6	1873.4095	DCAF6	1622.7845
DCAF7	4394.1973	DCAF7	2352.8421
DCAF8	3056.0402	DCAF8	2501.4395
DCAKD	748.1968	DCAKD	1012.6993
DCBLD1	188.9942	DCBLD1	183.7171
DCBLD2	416.2412	DCBLD2	1047.2778
DCDC1	5.297	removed	removed
DCDC2	212.5456	DCDC2	600.9204
DCD	9.4011	DCD	97.7219
DCHS1	807.5209	DCHS1	1726.2194
DCHS2	99.5218	DCHS2	59.8359
DCI	506.3619	DCI	564.6821
DCK	807.1967	DCK	419.4524
DCLK1	539.4278	DCLK1	1487.4773
DCLK2	63.5384	DCLK2	84.7925
DCLK3	7.7802	DCLK3	8.4191
DCLRE1A	408.461	DCLRE1A	296.4731
DCLRE1B	278.4667	DCLRE1B	292.5643
DCLRE1C	292.7304	DCLRE1C	328.9469
DCN	10743.1721	DCN	118102.7523
DCP1A	967.6635	DCP1A	985.3372
DCP1B	374.0984	DCP1B	415.8442
DCP2	1325.2289	DCP2	1051.7881
DCPS	265.8238	DCPS	295.5711
DCST2	28.8516	DCST2	23.1526
DCTD	1772.9151	DCTD	1926.7747
DCTN1	4011.1905	DCTN1	4287.7684
DCTN2	1753.4646	DCTN2	2867.9116
DCTN3	647.3782	DCTN3	937.228
DCTN4	1974.5522	DCTN4	1939.1027
DCTN5	1610.5033	DCTN5	1080.0523
DCTN6	635.0596	DCTN6	684.0531
DCTPP1	718.0387	DCTPP1	534.3102
DCT	15.2362	DCT	6.615
DCUN1D1	665.8562	DCUN1D1	497.0285
DCUN1D2	227.2469	DCUN1D2	230.3229
DCUN1D3	185.7525	DCUN1D3	430.2769
DCUN1D4	721.2902	DCUN1D4	772.4539
DCUN1D5	213.3074	DCUN1D5	269.111
DCXR	1310.6411	DCXR	722.5405
DCX	80.0713	DCX	18.6423
DDA1	558.5542	DDA1	535.2152
DDAH1	1023.4217	DDAH1	1234.6032
DDAH2	1026.6634	DDAH2	1884.6792
DDB1	8498.2576	DDB1	6106.2643
DDB2	466.8125	DDB2	680.445
DDHD1	414.2961	DDHD1	290.1588
DDHD2	800.7132	DDHD2	1347.0585
DDI2	240.8364	DDI2	92.923
DDIT3	179.3662	DDIT3	236.965
DDIT4L	17.8296	DDIT4L	98.6239
DDIT4	4558.5542	DDIT4	5027.4147
DDOST	4101.4669	DDOST	4471.4524
DDO	80.3955	DDO	101.0294
removed	removed	DDR1	4226.396
DDR2	274.9007	DDR2	974.8133
DDRGK1	530.6751	DDRGK1	570.9964
DDTL	119.9352	DDTL	135.7252
DDT	519.9935	DDT	477.4871
DDX10	453.8455	DDX10	563.1787
DDX11L2	11.6703	DDX11L2	24.0546
DDX11	394.1973	DDX11	377.6575
DDX12	40.8461	DDX12	39.0888
DDX17	8825.6747	DDX17	7996.9571
DDX18	2015.0742	DDX18	1799.8866
DDX19A	674.2848	DDX19A	1006.6857
DDX19B	659.6872	DDX19B	855.7159
DDX1	2360.6451	DDX1	2702.8368
DDX20	508.6312	DDX20	462.45
DDX21	2346.7056	DDX21	1519.049
DDX23	2599.8865	DDX23	2218.437
DDX24	3621.6873	DDX24	3997.5765
DDX26B	131.6152	DDX26B	203.8629
DDX27	992.9492	DDX27	997.0638
DDX28	210.0656	DDX28	280.8376
DDX31	317.3677	DDX31	270.9151
DDX39	536.5103	DDX39	358.1131
DDX3X	9056.8117	DDX3X	8738.4406
DDX41	1026.6634	DDX41	1001.2734
DDX42	3573.3852	DDX42	3735.9825
DDX46	1592.3495	DDX46	1240.0155
DDX47	874.9493	DDX47	1063.5147
DDX49	545.9113	DDX49	582.7231
DDX50	970.9053	DDX50	1346.4571
DDX51	415.917	DDX51	437.1926
DDX52	429.8566	DDX52	456.1357
DDX54	1055.9494	DDX54	1087.2897
DDX55	393.2247	DDX55	376.1541
DDX56	1004.6195	DDX56	957.6744
DDX58	3162.9792	DDX58	719.5337
DDX59	417.2137	DDX59	365.9308
DDX5	12819.5154	DDX5	11879.9735
DDX60L	1451.6573	DDX60L	451.0241
DDX60	3242.078	DDX60	724.6453
DDX6	4334.2248	DDX6	4327.1247
DEAF1	588.0541	DEAF1	668.117
DECR1	876.246	DECR1	1237.3093
DECR2	436.6642	DECR2	288.9561
DEDD2	408.461	DEDD2	378.5595
DEDD	914.9169	DEDD	841.8665
DEF6	569.9003	DEF6	272.1178
DEF8	525.1641	DEF8	874.0846
DEFB132	6.1593	DEFB132	164.4734
DEFB1	23.3406	DEFB1	89.9041
DEGS1	1259.7455	DEGS1	2002.2461
DEGS2	1914.5798	DEGS2	302.4868
DEK	2261.1233	DEK	2729.8982
DEM1	137.7745	DEM1	145.8311
DENND1A	678.8232	DENND1A	767.6429
DENND1B	177.6481	DENND1B	83.5898
DENND1C	366.9665	DENND1C	123.5806
DENND2A	57.7032	DENND2A	589.6388
DENND2C	34.6317	DENND2C	70.8529
DENND2D	1434.4761	DENND2D	469.9671
DENND3	355.9446	DENND3	528.9009
DENND4A	765.2614	DENND4A	600.9595
DENND4B	1060.2966	DENND4B	797.3534
DENND4C	1814.7338	DENND4C	1726.2194
DENND5A	1674.69	DENND5A	2736.5133
DENND5B	295.6479	DENND5B	417.3476
DENR	1478.8881	DENR	1306.1656
DEPDC1B	59.3241	DEPDC1B	14.1321
DEPDC1	146.2031	DEPDC1	19.2437
DEPDC4	8.7527	DEPDC4	5.4123
DEPDC5	337.1424	DEPDC5	285.6486
DEPDC6	820.8121	DEPDC6	1021.7198
DEPDC7	16.5329	DEPDC7	17.1389
DERA	486.9114	DERA	540.6275
DERL1	1985.8984	DERL1	2057.271
DERL2	413.3236	DERL2	514.7688
DERL3	281.3842	DERL3	518.9783
DES	14.9121	DES	934.2211
DET1	148.7965	DET1	166.2775
DEXI	538.4553	DEXI	709.6112
DFFA	496.3125	DFFA	475.68
DFFB	103.4119	DFFB	106.4417
DFNA5	240.5381	DFNA5	485.3019
DFNB31	217.1975	DFNB31	185.2205
DFNB59	24.3132	DFNB59	34.2778
DGAT1	517.7535	DGAT1	901.6692
DGAT2	151.3899	DGAT2	5241.2001
DGCR11	49.2747	DGCR11	23.1526
DGCR14	308.615	DGCR14	297.0745
DGCR2	3557.8248	DGCR2	3146.3438
DGCR5	25.6099	DGCR5	13.8314
DGCR6L	517.0597	DGCR6L	543.6343
DGCR6	254.8018	DGCR6	300.0813
DGCR8	754.6803	DGCR8	738.7774
DGCR9	6.4835	DGCR9	5.4123
DGKA	756.9495	DGKA	570.9964
DGKD	1447.1189	DGKD	618.5043
DGKE	176.6756	DGKE	180.4096
DGKG	22.6923	DGKG	30.0683
DGKH	86.2307	DGKH	17.1389
DGKI	11.9945	DGKI	13.8314
DGKQ	318.3402	DGKQ	206.8697
DGKZ	962.1525	DGKZ	592.3449
DGUOK	634.4112	DGUOK	707.2057
DHCR24	25405.9486	DHCR24	9447.7511
DHCR7	1029.9052	DHCR7	746.5951
DHDDS	763.433	DHDDS	1360.8899
removed	removed	DHDH	7.5171
removed	removed	DHDPSL	42.5045
DHFRL1	277.4941	DHFRL1	365.6813
DHFR	433.8342	DHFR	265.7674
DHH	12.3187	DHH	6.615
DHODH	87.8515	DHODH	147.6352
DHPS	657.4277	DHPS	751.9202
DHRS11	99.5218	DHRS11	277.5301
DHRS12	314.7743	DHRS12	409.2292
DHRS13	341.4572	DHRS13	127.3963
DHRS1	534.241	DHRS1	679.5429
DHRS2	106.9779	DHRS2	31.5717
DHRS3	1482.1298	DHRS3	2405.1609
DHRS4L1	17.5055	DHRS4L1	18.041
DHRS4L2	360.9498	DHRS4L2	461.8396
DHRS4	701.3243	DHRS4	673.0933
DHRS7B	411.0544	DHRS7B	683.4518
DHRS7	1313.8828	DHRS7	1472.4432
DHRS9	60.6208	DHRS9	56.829
DHRSX	239.8898	DHRSX	338.8694
DHTKD1	1005.592	DHTKD1	616.3995
DHX15	3027.4739	DHX15	2037.7267
DHX16	688.2243	DHX16	738.7774
DHX29	1237.3774	DHX29	949.8566
DHX30	1447.4431	DHX30	1424.9353
DHX32	868.7706	DHX32	985.4966
DHX33	315.4226	DHX33	328.9469
DHX34	292.4062	DHX34	247.1612
DHX35	197.0986	DHX35	245.9584
DHX36	1080.8007	DHX36	935.4239
DHX37	449.3071	DHX37	379.7623
DHX38	788.7187	DHX38	1328.7169
DHX40	1826.4041	DHX40	1568.6616
DHX57	609.1255	DHX57	561.976
DHX58	750.1418	DHX58	397.5025
DHX8	1145.3116	DHX8	1172.9632
DHX9	4841.5593	DHX9	3971.1164
DIABLO	900.4101	DIABLO	737.6438
DIAPH1	4003.8901	DIAPH1	3591.6549
DIAPH2	278.1425	DIAPH2	361.4206
DIAPH3	101.1427	DIAPH3	27.9635
DICER1	2141.5026	DICER1	1759.5952
DIDO1	1757.0306	DIDO1	1866.0368
DIMT1L	353.3512	DIMT1L	542.1309
DIO1	872.0318	DIO1	25.2573
DIO2	389.3346	DIO2	536.7186
DIO3	9.4011	DIO3	30.6696
DIP2A	833.4549	DIP2A	679.5429
DIP2B	1606.9374	DIP2B	1080.0523
DIP2C	729.3946	DIP2C	1422.8305
DIRAS1	70.6702	DIRAS1	130.4963
DIRAS2	7.1319	DIRAS2	21.0478
DIRAS3	163.3844	DIRAS3	120.5738
DIRC1	6.8077	removed	removed
DIRC2	392.3073	DIRC2	327.8945
removed	removed	DIRC3	16.2369
DIS3L2	375.7193	DIS3L2	385.4752
DIS3L	759.5429	DIS3L	931.2143
DIS3	1234.8294	DIS3	1150.9081
DISC1	226.2744	DISC1	187.7222
DISP1	270.3623	DISP1	316.3182
DISP2	149.769	DISP2	121.4758
DIXDC1	997.8118	DIXDC1	2081.3256
DKC1	1267.8499	DKC1	1246.3298
DKFZP586I1420	747.5484	DKFZP586I1420	306.095
DKFZP686I15217	38.901	DKFZP686I15217	52.6195
removed	removed	DKFZp566F0947	5.1116
DKFZp686O24166	61.2691	DKFZp686O24166	19.8451
DKFZp761E198	260.3128	DKFZp761E198	255.881
removed	removed	DKFZp779M0652	9.6218
DKK1	16.8571	DKK1	15.0341
DKK2	190.6151	DKK2	294.9697
DKK3	1049.6799	DKK3	5117.0182
removed	removed	DKK4	6.9157
DLAT	1184.861	DLAT	769.2997
DLC1	897.3174	DLC1	2332.095
DLD	1882.4864	DLD	1800.488
DLEC1	20.7472	DLEC1	9.9225
DLEU1	66.456	DLEU1	53.8222
DLEU2	21.0714	DLEU2	12.0874
DLG1	1629.2892	DLG1	1478.4568
DLG2	51.5439	DLG2	105.2389
DLG3	1685.712	DLG3	911.0686
DLG4	264.553	DLG4	285.1194
DLG5	3029.7431	DLG5	2122.5192
DLGAP1	73.2636	DLGAP1	19.2437
DLGAP2	28.8516	DLGAP2	17.7403
DLGAP3	24.3132	DLGAP3	7.5171
DLGAP4	1765.7833	DLGAP4	1891.8955
DLGAP5	170.5162	DLGAP5	21.9498
DLK1	6.8077	DLK1	12.6287
DLK2	20.0989	DLK2	168.683
DLL1	124.4833	DLL1	241.1475
DLL4	244.1041	DLL4	372.2452
DLST	2145.7168	DLST	2995.1004
DLX2	13.2912	removed	removed
DLX3	71.9669	DLX3	27.9635
removed	removed	DLX4	6.9157
DLX5	5.1868	DLX5	11.7266
DMAP1	462.5983	DMAP1	641.6569
removed	removed	DMBT1	18.943
DMC1	6.1593	DMC1	15.6355
DMD	558.23	DMD	1910.5379
DMGDH	22.3681	DMGDH	133.2024
DMKN	176.3514	DMKN	455.2336
DMPK	457.7356	DMPK	474.1766
DMRT2	7.1319	DMRT2	76.9748
DMRT3	8.4286	DMRT3	63.444
DMRTA1	12.967	DMRTA1	35.7812
DMRTC1B	15.2362	DMRTC1B	25.558
DMTF1	752.2911	DMTF1	622.2418
DMWD	377.6643	DMWD	346.0858
DMXL1	1298.3224	DMXL1	999.77
DMXL2	589.0267	DMXL2	316.0175
DNA2	82.6647	DNA2	23.4533
DNAH10	36.6318	DNAH10	24.9567
DNAH11	14.8537	removed	removed
DNAH12	21.3956	removed	removed
DNAH14	119.9449	DNAH14	33.0751
DNAH17	13.9395	DNAH17	24.9567
DNAH1	184.1316	DNAH1	170.4871
DNAH2	45.7087	DNAH2	37.2847
DNAH3	10.0494	removed	removed
DNAH5	345.8951	DNAH5	259.4892
DNAH6	30.1483	DNAH6	41.7949
DNAH7	52.5164	DNAH7	58.3324
DNAH8	8.4286	removed	removed
removed	removed	DNAH9	34.8792
DNAI1	33.0659	DNAI1	8.7198
DNAJA1	4107.3021	DNAJA1	2572.9419
DNAJA2	1579.7066	DNAJA2	1835.3672
DNAJA3	1150.8226	DNAJA3	833.7931
DNAJA4	1766.1075	DNAJA4	650.6774
DNAJB11	819.8395	DNAJB11	881.6017
DNAJB12	1944.7281	DNAJB12	1327.2134
DNAJB14	498.2576	DNAJB14	256.783
DNAJB1	2895.5345	DNAJB1	3787.7
DNAJB2	1355.3773	DNAJB2	1662.7753
DNAJB4	376.3676	DNAJB4	707.8071
DNAJB5	141.6646	DNAJB5	229.1202
DNAJB6	1427.3442	DNAJB6	1965.8635
DNAJB9	987.114	DNAJB9	889.7201
DNAJC10	2810.2764	DNAJC10	2214.5281
DNAJC11	1004.3407	DNAJC11	911.5196
DNAJC12	741.3891	DNAJC12	147.6352
DNAJC13	1772.2668	DNAJC13	1562.648
DNAJC14	1300.7699	DNAJC14	1152.3634
DNAJC15	530.0267	DNAJC15	559.8712
DNAJC16	1176.4324	DNAJC16	668.117
DNAJC17	211.6865	DNAJC17	222.5052
DNAJC18	117.3515	DNAJC18	313.0107
DNAJC19	420.4555	DNAJC19	419.753
DNAJC1	487.5598	DNAJC1	611.5886
DNAJC21	1159.8995	DNAJC21	1105.6103
DNAJC22	79.423	DNAJC22	30.6696
DNAJC24	302.9743	DNAJC24	300.5835
DNAJC25	213.6316	DNAJC25	218.5963
DNAJC27	171.1646	DNAJC27	202.6601
DNAJC28	26.2582	DNAJC28	36.6833
DNAJC2	473.9639	DNAJC2	445.5667
DNAJC30	308.2908	DNAJC30	365.3295
DNAJC3	2926.6553	DNAJC3	2710.6545
DNAJC4	501.4442	DNAJC4	594.9759
DNAJC5B	9.0769	removed	removed
DNAJC5	2801.1994	DNAJC5	2041.6355
DNAJC6	58.2219	DNAJC6	79.3802
DNAJC7	1258.6433	DNAJC7	1426.7575
DNAJC8	1661.3988	DNAJC8	2065.9908
DNAJC9	638.3013	DNAJC9	546.0398
DNAL1	489.829	DNAL1	469.6664
DNAL4	591.2959	DNAL4	471.7712
DNALI1	447.0378	DNALI1	549.648
DNASE1L1	599.3614	DNASE1L1	513.966
DNASE1L3	119.9449	DNASE1L3	178.3048
DNASE1	51.5439	DNASE1	28.5649
DNASE2B	5.1868	removed	removed
DNASE2	1404.0036	DNASE2	1132.371
DND1	73.5165	DND1	45.346
DNER	10.3736	DNER	34.8792
DNHD1	176.6756	DNHD1	141.9222
DNLZ	72.6153	DNLZ	76.3734
DNM1L	1361.8608	DNM1L	1347.9605
DNM1P35	8.7527	DNM1P35	21.3485
DNM1	210.3898	DNM1	857.8477
DNM2	2241.167	DNM2	1816.1385
DNM3	151.3899	DNM3	147.9359
DNMBP	957.747	DNMBP	874.0606
DNMT1	1855.904	DNMT1	939.0321
DNMT3A	389.983	DNMT3A	302.4868
DNMT3B	76.1812	DNMT3B	46.0045
DNPEP	1188.1028	DNPEP	1220.4711
DNTTIP1	315.0985	DNTTIP1	355.7076
DNTTIP2	1435.1244	DNTTIP2	1430.0469
DOC2A	34.489	DOC2A	7.2194
DOC2B	38.2527	DOC2B	119.371
DOCK10	1191.3445	DOCK10	444.1083
DOCK11	728.4221	DOCK11	1433.9558
DOCK1	2949.3476	DOCK1	2734.1078
DOCK2	1415.0255	DOCK2	706.905
DOCK3	24.9615	DOCK3	12.9294
DOCK4	478.1587	DOCK4	873.1826
DOCK5	466.4884	DOCK5	247.4619
DOCK6	681.4166	DOCK6	1165.1455
DOCK7	766.3506	DOCK7	1123.9519
DOCK8	2702.326	DOCK8	1205.4369
DOCK9	2708.8095	DOCK9	2802.0621
DOHH	82.3405	DOHH	113.6581
DOK1	180.2415	DOK1	330.4503
DOK2	272.6315	DOK2	268.209
DOK3	145.5547	DOK3	108.8471
DOK4	203.9063	DOK4	529.2016
DOK5	33.7142	DOK5	81.485
DOK6	34.3626	DOK6	50.214
DOK7	32.0934	DOK7	29.1662
DOLK	525.4883	DOLK	421.8578
DOLPP1	337.1424	DOLPP1	258.2864
DOM3Z	227.0362	DOM3Z	198.3874
DONSON	156.2331	DONSON	95.996
DOPEY1	731.4596	DOPEY1	768.6562
DOPEY2	1759.2998	DOPEY2	612.7913
DOT1L	550.1256	DOT1L	367.0674
DPAGT1	636.7031	DPAGT1	740.0523
DPCD	287.0767	DPCD	248.6315
DPEP1	61.5933	removed	removed
DPEP2	56.4065	DPEP2	90.5055
DPF2	1303.8334	DPF2	1273.3912
DPF3	11.9945	DPF3	14.1321
DPH1	369.145	DPH1	558.2054
DPH2	473.9444	DPH2	367.4343
DPH3B	14.5879	DPH3B	20.4464
DPH3	639.9222	DPH3	741.1829
DPH5	440.0648	DPH5	453.2371
DPM1	424.0214	DPM1	467.2609
DPM2	707.6749	DPM2	563.4794
DPM3	194.1811	DPM3	259.4892
DPP3	973.6834	DPP3	462.1493
DPP4	336.8182	DPP4	1071.6331
DPP6	6.4835	DPP6	138.314
DPP7	1216.306	DPP7	1402.9855
DPP8	718.3726	DPP8	471.1698
DPP9	1153.0918	DPP9	766.7409
DPPA4	12.6428	removed	removed
DPT	947.8888	DPT	9879.8322
DPY19L1	415.5928	DPY19L1	561.3746
DPY19L2P1	8.4286	removed	removed
DPY19L2P2	10.0494	DPY19L2P2	10.8246
DPY19L2P4	16.8571	DPY19L2P4	43.2983
DPY19L2	17.8296	DPY19L2	57.1297
DPY19L3	465.84	DPY19L3	367.1336
DPY19L4	826.6472	DPY19L4	921.5925
DPY30	644.6195	DPY30	468.0758
DPYD	839.6142	DPYD	1379.5322
DPYSL2	3026.5013	DPYSL2	7561.5685
DPYSL3	2697.1392	DPYSL3	8630.7962
DPYSL4	9.4011	removed	removed
DQX1	94.335	removed	removed
DR1	1117.4325	DR1	895.4331
DRAM1	536.5103	DRAM1	918.5856
DRAM2	1911.338	DRAM2	1588.206
DRAP1	718.0485	DRAP1	639.5521
DRD1	10.3736	DRD1	7.5171
DRD2	25.6099	DRD2	84.7925
DRD4	9.0769	removed	removed
DRG1	1204.3115	DRG1	1154.3209
DRG2	433.0983	DRG2	694.577
DRP2	12.3187	DRP2	13.23
DSC1	67.3572	DSC1	72.9396
DSC2	1076.2623	DSC2	1736.4426
DSC3	776.7242	DSC3	2269.2523
DSCAML1	6.1593	DSCAML1	27.0614
DSCAM	7.7802	DSCAM	6.0137
DSCC1	49.923	DSCC1	46.3051
DSCR3	1306.751	DSCR3	1068.025
DSCR6	7.7802	removed	removed
DSEL	230.4887	DSEL	683.1511
DSE	708.4496	DSE	1510.693
DSG1	181.8624	DSG1	390.8875
DSG2	4108.2292	DSG2	4714.8882
DSG3	481.0763	DSG3	1303.4595
DSN1	383.8236	DSN1	276.6281
DSP	21657.1845	DSP	11847.4997
DSTN	7100.4133	DSTN	11737.4499
DSTYK	1111.2732	DSTYK	1029.8382
DST	5969.0413	DST	22823.3203
DTD1	432.7741	DTD1	558.3678
DTHD1	24.9615	removed	removed
DTL	388.6863	DTL	46.9065
DTNA	158.5218	DTNA	528.9009
DTNBP1	296.9446	DTNBP1	417.949
DTNB	586.4333	DTNB	567.0876
DTWD1	311.5325	DTWD1	549.648
DTWD2	292.7304	DTWD2	157.2571
DTX1	146.2031	DTX1	516.2722
DTX2	318.9886	DTX2	279.9356
DTX3L	3250.9182	DTX3L	1390.3418
DTX3	474.5928	DTX3	614.2948
DTX4	562.1201	DTX4	766.1395
DTYMK	347.1918	DTYMK	283.2431
DULLARD	1592.0253	DULLARD	2225.3527
DUOX1	176.3514	DUOX1	156.0543
DUOX2	5.1868	DUOX2	30.369
DUOXA1	7.456	DUOXA1	19.5023
DUS1L	911.257	DUS1L	811.2419
DUS2L	147.1756	DUS2L	162.6693
removed	removed	DUS3L	249.8673
DUS4L	154.6025	DUS4L	125.4268
DUSP10	408.461	DUSP10	230.3229
DUSP11	446.7137	DUSP11	497.6299
DUSP12	235.0271	DUSP12	267.0062
DUSP14	267.1205	DUSP14	537.0193
DUSP15	58.3516	DUSP15	26.7608
DUSP16	4591.9442	DUSP16	1637.2173
DUSP18	142.9257	DUSP18	148.5192
DUSP19	81.6922	DUSP19	109.1478
DUSP1	9042.8722	DUSP1	9353.9381
DUSP22	739.7682	DUSP22	1403.2862
DUSP23	645.4332	DUSP23	571.8985
removed	removed	DUSP26	10.2232
DUSP27	11.6703	DUSP27	22.8519
DUSP28	109.5713	DUSP28	67.3529
DUSP2	605.5596	DUSP2	134.4052
DUSP3	4911.9053	DUSP3	2170.9291
DUSP4	4483.9938	DUSP4	473.8759
DUSP5	2054.9477	DUSP5	509.0558
DUSP6	2255.9365	DUSP6	2633.3791
