gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ACOT11	19.039	ACOT11	32.8287
ACOT13	747.6658	ACOT13	860.0746
ACOT1	1091.1764	ACOT1	1727.0749
ACOT2	618.4782	ACOT2	897.42
ACOT4	579.6617	ACOT4	235.3124
ACOT6	5.403	ACOT6	13.0556
ACOT7	186.7884	ACOT7	213.553
ACOT8	321.6826	ACOT8	222.1604
ACOT9	206.8566	ACOT9	695.9901
ACOX1	1919.0841	ACOX1	3316.4439
ACOX2	820.7371	ACOX2	516.6304
ACOX3	463.6264	ACOX3	421.5107
ACP1	1487.8755	ACP1	1081.4423
ACP2	1921.9142	ACP2	970.1585
ACP5	1272.5285	ACP5	1217.594
ACP6	637.8079	ACP6	165.0606
ACPL2	840.8053	ACPL2	279.7638
ACPP	38.5927	ACPP	20.8269
ACRBP	28.8158	ACRBP	20.516
ACRC	30.6168	ACRC	45.073
removed	removed	ACR	6.8387
removed	removed	ACSBG1	14.9207
ACSF2	1003.4939	ACSF2	1634.7529
ACSF3	205.5702	ACSF3	269.8166
ACSL1	427.8639	ACSL1	25866.3351
ACSL3	3518.1064	ACSL3	2333.8514
ACSL4	434.296	ACSL4	2437.0532
ACSL5	244.9347	ACSL5	1285.9807
ACSL6	7.7185	removed	removed
ACSM1	31.9033	removed	removed
removed	removed	ACSM2A	10.258
removed	removed	ACSM2B	6.217
ACSM3	20.3846	ACSM3	38.5173
ACSM5	19.5536	ACSM5	1607.709
ACSS1	748.1829	ACSS1	613.3043
ACSS2	982.8263	ACSS2	4442.6484
ACSS3	36.0198	ACSS3	1006.5278
ACTA2	5416.1292	ACTA2	8790.5129
ACTB	61484.2735	ACTB	47717.1278
ACTC1	8.4904	removed	removed
ACTG1	51290.667	ACTG1	32399.7513
ACTG2	77.4426	ACTG2	1818.4644
ACTL6A	1334.2767	ACTL6A	682.0019
ACTN1	3003.5377	ACTN1	6543.9851
ACTN4	6925.8867	ACTN4	7465.7227
ACTR10	1310.6065	ACTR10	1229.4063
ACTR1A	2571.8145	ACTR1A	2947.1557
ACTR1B	1036.3414	ACTR1B	1346.2854
ACTR2	5810.2528	ACTR2	5424.9301
ACTR3B	178.8126	ACTR3B	104.756
ACTR3C	18.5245	ACTR3C	25.4896
ACTR3	3104.1358	ACTR3	3074.2928
ACTR5	182.4146	ACTR5	149.829
ACTR6	696.7261	ACTR6	513.8328
ACTR8	503.7628	ACTR8	445.1352
ACVR1B	1103.7499	ACVR1B	818.1536
ACVR1C	14.6652	ACVR1C	2344.4203
ACVR1	960.1852	ACVR1	1042.8971
ACVR2A	274.0078	ACVR2A	548.337
ACVR2B	381.2954	ACVR2B	398.1971
ACVRL1	335.2415	ACVRL1	1484.613
ACY1	817.907	ACY1	565.0482
