gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
DHX8	1291.3102	DHX8	1016.1641
DHX9	5054.8659	DHX9	3766.2418
DIABLO	783.8477	DIABLO	559.8819
DIAPH1	2932.5272	DIAPH1	2158.5328
DIAPH2	81.3019	DIAPH2	589.9907
DIAPH3	79.2436	DIAPH3	29.8415
DICER1	2402.7787	DICER1	2723.3447
DIDO1	1436.9332	DIDO1	1546.4719
DIMT1L	513.5396	DIMT1L	463.4753
DIO1	6.6894	DIO1	10.5689
DIO2	469.544	DIO2	318.6198
removed	removed	DIO3	30.4632
DIP2A	845.1791	DIP2A	806.6522
DIP2B	2024.8279	DIP2B	1223.811
DIP2C	742.5227	DIP2C	1790.7989
DIRAS1	171.0941	DIRAS1	62.1697
removed	removed	DIRAS2	8.0821
DIRAS3	27.0149	DIRAS3	43.5188
DIRC1	6.1748	removed	removed
DIRC2	522.3825	DIRC2	402.6142
DIRC3	6.6894	DIRC3	37.9235
DIS3L2	385.1547	DIS3L2	337.5816
DIS3L	1224.159	DIS3L	1487.7215
DIS3	770.9552	DIS3	1323.1365
DISC1	119.1227	DISC1	195.8191
DISP1	488.3257	DISP1	325.7694
DISP2	46.8258	DISP2	19.2726
DIXDC1	1212.0666	DIXDC1	2778.3649
DKC1	1338.9078	DKC1	845.8191
DKFZP586I1420	222.8083	DKFZP586I1420	213.8638
DKFZP686I15217	98.7972	DKFZP686I15217	50.9792
DKFZp686O24166	57.1171	DKFZp686O24166	17.4075
DKFZp761E198	275.5516	DKFZp761E198	331.0538
removed	removed	DKFZp779M0652	13.9882
removed	removed	DKK1	36.3693
DKK2	111.9187	DKK2	203.295
DKK3	1155.4641	DKK3	1678.5825
removed	removed	DKK4	5.2844
DLAT	984.0973	DLAT	906.0056
DLC1	570.3994	DLC1	3725.8315
DLD	2304.496	DLD	2917.3143
DLEC1	8.7477	DLEC1	35.4367
DLEU1	78.4717	DLEU1	44.7622
DLEU2L	8.4904	removed	removed
DLEU2	32.8398	DLEU2	21.8806
DLEU7	6.4321	removed	removed
DLG1	1739.4841	DLG1	2161.6413
DLG2	53.7724	DLG2	70.5626
DLG3	2466.5852	DLG3	483.6804
DLG4	281.2221	DLG4	245.5735
DLG5	3444.0085	DLG5	1638.1722
DLGAP1	5.403	DLGAP1	8.3929
removed	removed	DLGAP2	5.9061
DLGAP4	1341.2234	DLGAP4	1775.5673
DLGAP5	210.9732	DLGAP5	9.9472
removed	removed	DLK2	39.7886
DLL1	116.2925	DLL1	216.9723
DLL4	330.8677	DLL4	790.7989
DLST	1950.9873	DLST	3034.1933
DLX2	6.6894	removed	removed
DLX3	54.287	DLX3	9.9472
DLX4	8.4904	DLX4	8.7038
DLX5	9.2622	DLX5	6.5278
DMAP1	476.7479	DMAP1	502.3314
DMBT1	11.3205	DMBT1	24.8679
DMBX1	15.6943	removed	removed
removed	removed	DMC1	7.4604
DMD	117.0644	DMD	3261.1128
DMGDH	6.9467	DMGDH	366.4905
DMKN	266.2893	DMKN	129.6239
DMP1	5.6603	removed	removed
DMPK	457.1943	DMPK	599.0053
removed	removed	DMRT2	111.2838
DMRT3	11.8351	DMRT3	32.6391
removed	removed	DMRTA1	31.0849
DMRTC1B	6.6894	DMRTC1B	6.217
DMTF1	1275.2454	DMTF1	1095.1508
DMWD	406.252	DMWD	351.2589
DMXL1	1451.3411	DMXL1	1808.8281
DMXL2	762.5909	DMXL2	715.5735
DNA2	175.7252	DNA2	65.5891
DNAH10	23.6702	DNAH10	8.3929
removed	removed	DNAH12	5.2844
DNAH14	304.6247	DNAH14	29.5306
DNAH17	22.8983	DNAH17	27.6655
DNAH1	154.8852	DNAH1	442.6484
DNAH2	40.1364	DNAH2	30.774
DNAH5	309.7704	DNAH5	62.1697
DNAH6	7.204	DNAH6	91.3895
DNAH7	134.3024	DNAH7	53.466
DNAH9	11.3205	DNAH9	64.9674
DNAI1	13.6361	removed	removed
DNAJA1	3971.6987	DNAJA1	2735.4678
DNAJA2	1357.4323	DNAJA2	1948.0883
DNAJA3	1148.0028	DNAJA3	824.0597
DNAJA4	1453.9139	DNAJA4	867.5785
DNAJB11	921.078	DNAJB11	727.0749
DNAJB12	1074.4195	DNAJB12	1164.1281
DNAJB14	502.2191	DNAJB14	434.5664
DNAJB1	4013.1215	DNAJB1	4654.958
DNAJB2	1242.1689	DNAJB2	1800.1243
DNAJB4	277.8671	DNAJB4	1082.3749
DNAJB5	160.0309	DNAJB5	170.345
DNAJB6	1682.897	DNAJB6	2104.1343
DNAJB9	969.9621	DNAJB9	784.5819
DNAJC10	3666.8167	DNAJC10	2341.0009
DNAJC11	852.2725	DNAJC11	893.5779
DNAJC12	1314.2085	DNAJC12	90.4569
DNAJC13	1763.427	DNAJC13	2201.1191
DNAJC14	1461.6016	DNAJC14	991.8309
DNAJC15	416.0288	DNAJC15	726.1424
DNAJC16	1482.7298	DNAJC16	759.714
DNAJC17	228.9831	DNAJC17	157.2894
DNAJC18	133.016	DNAJC18	215.4181
DNAJC19	942.1753	DNAJC19	421.8216
DNAJC1	3993.5679	DNAJC1	643.7675
DNAJC21	1600.8233	DNAJC21	1524.4016
DNAJC22	227.6967	DNAJC22	18.3401
DNAJC24	353.6965	DNAJC24	425.617
DNAJC25	267.0612	DNAJC25	326.0802
DNAJC27	245.9639	DNAJC27	216.9723
DNAJC28	99.3118	DNAJC28	43.5188
DNAJC2	681.1243	DNAJC2	458.8561
DNAJC30	395.4461	DNAJC30	260.802
DNAJC3	2385.0261	DNAJC3	2386.074
DNAJC4	576.4199	DNAJC4	358.8219
DNAJC5	1326.0436	DNAJC5	1623.8732
DNAJC6	83.8747	DNAJC6	76.1579
DNAJC7	1851.8891	DNAJC7	1413.3727
DNAJC8	1883.8361	DNAJC8	2270.4383
DNAJC9	677.4297	DNAJC9	375.1943
DNAL1	666.1092	DNAL1	604.6006
DNAL4	355.8243	DNAL4	284.4265
DNALI1	1115.585	DNALI1	313.6463
DNASE1L1	475.6673	DNASE1L1	544.8959
DNASE1L2	18.0099	removed	removed
removed	removed	DNASE1L3	302.1449
DNASE1	66.3794	DNASE1	39.1669
DNASE2B	147.9385	DNASE2B	27.0438
DNASE2	1637.8723	DNASE2	1147.9639
DND1	78.0035	DND1	39.9813
removed	removed	DNER	32.95
DNHD1	168.5213	DNHD1	159.1545
DNLZ	41.1655	DNLZ	58.4395
DNM1L	1835.7239	DNM1L	1658.0665
DNM1P35	10.5487	DNM1P35	17.0967
DNM1	217.6626	DNM1	624.4949
DNM2	1938.3855	DNM2	1713.1178
DNM3	74.0979	DNM3	146.0988
DNMBP	750.5216	DNMBP	1056.8356
DNMT1	1671.5765	DNMT1	747.9018
DNMT3A	506.3356	DNMT3A	326.0802
DNMT3B	55.8307	DNMT3B	47.8707
DNPEP	1657.1686	DNPEP	1115.3248
DNTTIP1	355.8243	DNTTIP1	291.2652
DNTTIP2	1618.5759	DNTTIP2	1303.0774
DOC2A	101.7097	DOC2A	8.4209
removed	removed	DOC2B	118.1225
DOCK10	471.6022	DOCK10	379.5462
DOCK11	184.7302	DOCK11	5776.189
DOCK1	2966.2314	DOCK1	3299.9689
DOCK2	297.4207	DOCK2	539.0115
DOCK3	6.9467	DOCK3	18.0292
DOCK4	440.4708	DOCK4	684.1778
DOCK5	482.4082	DOCK5	251.4765
DOCK6	601.5308	DOCK6	1871.4454
DOCK7	1036.0841	DOCK7	1488.3432
DOCK8	492.185	DOCK8	1138.9493
DOCK9	1629.8964	DOCK9	2661.4859
DOHH	51.1996	DOHH	70.5626
DOK1	259.8572	DOK1	608.3307
DOK2	21.3546	DOK2	254.8959
DOK3	210.7159	DOK3	111.9055
DOK4	195.0215	DOK4	334.4731
DOK5	51.4569	DOK5	96.9848
DOK6	55.3161	DOK6	63.4131
DOK7	61.7482	removed	removed
DOLK	597.4143	DOLK	375.5051
DOLPP1	444.3301	DOLPP1	235.6233
DOM3Z	227.1641	DOM3Z	175.359
DONSON	361.2067	DONSON	143.4411
DOPEY1	784.9977	DOPEY1	871.8091
DOPEY2	2561.2658	DOPEY2	668.6354
DOT1L	428.6357	DOT1L	310.8206
DPAGT1	1693.9036	DPAGT1	748.9587
DPCD	308.3064	DPCD	135.8999
DPEP1	15.4371	removed	removed
DPEP2	22.8983	DPEP2	78.023
DPF2	1425.3554	DPF2	946.2232
DPF3	10.0341	DPF3	20.516
DPH1	672.5053	DPH1	395.7756
DPH2	351.7077	DPH2	269.5058
DPH3B	25.4712	DPH3B	36.991
DPH3	600.759	DPH3	938.1411
DPH5	538.3135	DPH5	418.8219
DPM1	547.7584	DPM1	491.4517
DPM2	1295.1695	DPM2	409.3876
DPM3	308.9985	DPM3	177.4946
DPP3	984.8845	DPP3	452.9064
DPP4	126.5839	DPP4	1556.7299
removed	removed	DPP6	19.8943
DPP7	1084.9682	DPP7	1176.2512
DPP8	520.4863	DPP8	734.2244
DPP9	1319.8688	DPP9	798.8809
DPT	170.5795	DPT	31396.9537
DPY19L1	331.6395	DPY19L1	711.5325
removed	removed	DPY19L2P2	10.258
DPY19L2	9.005	DPY19L2	88.9027
DPY19L3	687.9784	DPY19L3	455.7041
DPY19L4	998.2633	DPY19L4	1154.4918
DPY30	750.4316	DPY30	455.9123
DPYD	241.59	DPYD	1199.8757
DPYSL2	1096.0314	DPYSL2	5620.143
DPYSL3	2792.5645	DPYSL3	6792.664
DPYSL4	20.3255	DPYSL4	37.6127
DR1	1087.7983	DR1	962.0765
DRAM1	315.9452	DRAM1	682.3127
DRAM2	2382.4532	DRAM2	2603.9789
DRAP1	478.5489	DRAP1	698.7877
removed	removed	DRD1	13.0556
removed	removed	DRD2	19.8943
DRG1	911.3012	DRG1	1159.7762
DRG2	587.8948	DRG2	536.8356
removed	removed	DSC1	35.673
DSC2	89.535	DSC2	873.4846
DSC3	73.0688	DSC3	703.1396
DSCAML1	22.641	DSCAML1	11.5014
DSCC1	91.0787	DSCC1	55.3311
DSCR3	1034.2831	DSCR3	1158.5328
DSCR6	65.0929	removed	removed
DSEL	145.3657	DSEL	1207.0252
DSE	560.3834	DSE	2257.9795
DSG1	8.7477	DSG1	49.1141
DSG2	3793.1202	DSG2	4384.1933
DSG3	47.5976	DSG3	439.5399
DSN1	415.7715	DSN1	237.1775
DSP	10717.952	DSP	4183.4007
DSTN	11180.292	DSTN	7810.0715
DSTYK	1405.8018	DSTYK	1061.548
DST	2250.7236	DST	13585.6388
DTD1	148.7104	DTD1	394.7777
DTL	470.3158	DTL	47.249
DTNA	52.2287	DTNA	436.4315
DTNBP1	379.4944	DTNBP1	372.3966
DTNB	618.2543	DTNB	217.9049
DTWD1	546.7293	DTWD1	645.6326
DTWD2	537.467	DTWD2	226.9195
DTX1	42.4519	DTX1	767.4852
removed	removed	DTX2	199.8663
DTX3L	4139.5459	DTX3L	1447.5754
DTX3	797.5815	DTX3	295.9279
DTX4	190.905	DTX4	1553.3105
DTYMK	325.9793	DTYMK	188.0634
DULLARD	1730.7519	DULLARD	1814.1125
DUOX1	153.0842	DUOX1	69.6301
removed	removed	DUOX2	29.2198
removed	removed	DUOXA1	10.5689
DUS1L	857.7861	DUS1L	790.488
DUS2L	142.021	DUS2L	148.2748
DUS3L	103.171	DUS3L	125.272
DUS4L	182.9626	DUS4L	128.7286
DUSP10	215.0897	DUSP10	273.2359
DUSP11	484.2092	DUSP11	411.2527
DUSP12	312.0859	DUSP12	234.3799
DUSP14	349.1349	DUSP14	553.9322
DUSP15	31.3887	DUSP15	7.1495
DUSP16	2176.3684	DUSP16	1044.1405
DUSP18	106.2507	DUSP18	118.4302
DUSP19	54.5443	DUSP19	101.0258
DUSP1	1080.5943	DUSP1	6743.5499
DUSP22	596.8997	DUSP22	1419.6456
DUSP23	459.5099	DUSP23	357.7868
DUSP27	19.039	DUSP27	21.7594
DUSP28	144.0792	DUSP28	71.1843
DUSP2	48.6267	DUSP2	36.3693
DUSP3	1728.4364	DUSP3	2547.0936
DUSP4	2388.3707	DUSP4	406.59
DUSP5	983.8554	DUSP5	235.0016
DUSP6	1012.9285	DUSP6	2771.5263
DUSP7	350.6786	DUSP7	617.0345
DUSP8	201.4537	DUSP8	125.5828
DUT	827.568	DUT	875.5859
DVL1	359.6835	DVL1	714.3301
DVL2	398.2762	DVL2	466.2729
DVL3	1875.8603	DVL3	1819.7078
DYM	1157.0078	DYM	758.7815
DYNC1H1	9110.4393	DYNC1H1	12296.2387
DYNC1I1	18.5245	DYNC1I1	117.1899
DYNC1I2	2786.6469	DYNC1I2	2348.7721
DYNC1LI1	1026.05	DYNC1LI1	690.7056
DYNC1LI2	2424.9051	DYNC1LI2	5573.8265
DYNC2H1	990.5448	DYNC2H1	866.6459
DYNC2LI1	713.4495	DYNC2LI1	429.9036
DYNLL1	3993.3106	DYNLL1	3187.4417
DYNLL2	1616.7749	DYNLL2	1677.3391
DYNLRB1	2044.6388	DYNLRB1	1605.2223
DYNLRB2	72.2969	DYNLRB2	6.217
DYNLT1	1480.1569	DYNLT1	749.7669
DYNLT3	1290.0238	DYNLT3	921.0445
DYRK1A	2585.1933	DYRK1A	1661.175
DYRK1B	661.7354	DYRK1B	285.9807
DYRK2	457.7089	DYRK2	650.6062
DYRK3	275.2943	DYRK3	210.7554
DYRK4	355.567	DYRK4	220.3917
DYSF	446.9029	DYSF	762.2008
DYX1C1	135.5889	DYX1C1	31.1408
DZIP1L	16.9808	DZIP1L	127.4479
DZIP1	146.6907	DZIP1	358.4644
DZIP3	562.9382	DZIP3	539.6332
E2F1	126.8412	E2F1	75.8471
E2F2	124.0111	E2F2	17.0967
E2F3	422.2036	E2F3	319.5524
E2F4	578.118	E2F4	913.2732
E2F5	135.9954	E2F5	51.8558
E2F6	337.5571	E2F6	313.9571
E2F7	51.9714	E2F7	5.5953
E2F8	52.2287	E2F8	11.1906
E4F1	268.6049	E4F1	198.9431
EAF1	1086.5119	EAF1	704.383
EAF2	22.3837	EAF2	38.2344
EAPP	1166.5273	EAPP	811.9366
EARS2	1170.6439	EARS2	470.0031
EBAG9	653.7596	EBAG9	661.7967
EBF1	188.0749	EBF1	3039.4778
EBF2	18.2672	EBF2	177.8054
EBF3	45.7966	EBF3	976.6864
EBF4	217.6626	EBF4	136.7734
EBI3	33.7043	EBI3	18.3401
EBNA1BP2	1052.5503	EBNA1BP2	691.3273
EBPL	471.0877	EBPL	341.9335
EBP	734.8041	EBP	251.4765
ECD	1019.8752	ECD	633.8203
ECE1	4915.1605	ECE1	7554.2431
ECE2	90.5641	ECE2	38.2344
ECH1	3101.3057	ECH1	3575.9372
ECHDC1	768.5084	ECHDC1	1924.4638
ECHDC2	703.4154	ECHDC2	924.1529
ECHDC3	223.3228	ECHDC3	1272.3034
ECHS1	2310.1563	ECHS1	4466.2729
ECM1	7243.8413	ECM1	1867.2676
ECM2	487.8112	ECM2	6382.6546
ECSCR	76.928	ECSCR	330.4321
ECSIT	446.9029	ECSIT	453.2173
ECT2L	47.083	ECT2L	11.1906
ECT2	1066.1864	ECT2	287.8458
EDA2R	69.7241	EDA2R	136.7734
EDARADD	54.0297	EDARADD	104.4451
EDA	51.7142	EDA	166.9257
EDC3	846.2083	EDC3	594.3426
EDC4	851.8685	EDC4	769.7855
EDEM1	2054.9302	EDEM1	1223.811
EDEM2	622.8854	EDEM2	502.6422
EDEM3	2324.0497	EDEM3	2012.7448
EDF1	2023.7988	EDF1	2472.179
EDIL3	394.6742	EDIL3	247.7463
EDN1	73.5833	EDN1	313.9571
EDN2	61.2337	EDN2	19.8943
removed	removed	EDN3	35.4367
EDNRA	874.2523	EDNRA	546.161
EDNRB	192.4487	EDNRB	1696.9226
EEA1	847.4947	EEA1	1794.8399
EED	477.7771	EED	398.8188
EEF1A1P9	5784.5243	EEF1A1P9	7958.0354
EEF1A1	86637.9366	EEF1A1	117550.8237
EEF1A2	510.4522	EEF1A2	34.1933
EEF1B2	2136.2321	EEF1B2	3585.6388
EEF1D	2455.2647	EEF1D	4329.1887
EEF1E1	294.8479	EEF1E1	148.5856
EEF1G	9876.6321	EEF1G	15905.502
EEF2K	1666.9454	EEF2K	2118.7442
EEF2	34985.5278	EEF2	43621.0755
EEFSEC	361.9348	EEFSEC	300.572
EEPD1	113.2051	EEPD1	987.5661
removed	removed	EFCAB1	30.4632
EFCAB2	179.8418	EFCAB2	184.9549
EFCAB4A	804.5282	EFCAB4A	284.1156
EFCAB4B	57.889	EFCAB4B	60.9263
EFCAB6	71.2678	EFCAB6	40.0995
EFCAB7	252.6532	EFCAB7	156.046
EFEMP1	1586.4154	EFEMP1	19023.3136
EFEMP2	448.1894	EFEMP2	1711.2216
EFHA1	852.6404	EFHA1	733.9136
EFHA2	16.9808	EFHA2	219.4591
EFHC1	555.2197	EFHC1	383.898
EFHC2	64.0638	EFHC2	17.4075
EFHD1	3004.5668	EFHD1	1099.7824
EFHD2	470.8304	EFHD2	777.1215
EFNA1	2783.8168	EFNA1	1135.8408
EFNA3	322.6346	EFNA3	87.3485
EFNA4	522.8018	EFNA4	115.3248
EFNA5	94.4234	EFNA5	671.7439
EFNB1	345.7902	EFNB1	1302.1449
EFNB2	614.3951	EFNB2	1557.6624
EFNB3	53.5151	EFNB3	119.9876
EFR3A	3292.9826	EFR3A	2235.9341
EFR3B	339.3581	EFR3B	73.982
EFS	675.1142	EFS	540.8766
EFTUD1	985.6564	EFTUD1	604.6006
EFTUD2	1882.4957	EFTUD2	1570.2176
EGFL6	64.3211	EGFL6	3547.4044
EGFL7	423.7473	EGFL7	1101.3366
EGFL8	47.981	EGFL8	111.0071
EGFLAM	253.6824	EGFLAM	1009.3255
EGFR	49.1413	EGFR	2499.8415
EGF	83.1028	EGF	88.9027
EGLN1	1294.6549	EGLN1	1849.5493
EGLN2	1322.4416	EGLN2	1385.3932
EGLN3	1540.8761	EGLN3	155.1135
EGOT	61.491	EGOT	8.7038
EGR1	2063.4206	EGR1	4056.8853
EGR2	47.8549	EGR2	173.7644
EGR3	290.2168	EGR3	196.1455
EHBP1L1	264.4883	EHBP1L1	934.1001
EHBP1	638.3148	EHBP1	3251.4517
EHD1	721.6826	EHD1	1429.5928
EHD2	2687.0779	EHD2	13674.8523
EHD3	199.6527	EHD3	279.4529
EHD4	1137.4542	EHD4	1363.382
EHF	2956.7119	EHF	1565.1228
EHHADH	309.2558	EHHADH	887.7836
EHMT1	1353.573	EHMT1	1077.4013
EHMT2	1290.2811	EHMT2	1031.7066
EI24	3184.1513	EI24	2610.8175
EID1	3236.8946	EID1	4063.4131
EID2B	73.8406	EID2B	38.8561
EID2	414.4851	EID2	235.0016
EID3	18.0099	EID3	19.8943
EIF1AD	529.2339	EIF1AD	417.1588
EIF1AX	1865.3116	EIF1AX	2148.8965
EIF1B	688.493	EIF1B	861.6724
EIF1	7921.5283	EIF1	13334.1623
EIF2AK1	5402.0583	EIF2AK1	3098.9089
EIF2AK2	1112.7549	EIF2AK2	464.4078
EIF2AK3	1282.8198	EIF2AK3	726.1424
EIF2AK4	2466.8425	EIF2AK4	1934.1001
EIF2A	2076.2848	EIF2A	2200.4974
EIF2B1	990.2875	EIF2B1	1266.0864
EIF2B2	622.1136	EIF2B2	459.7451
EIF2B3	630.0894	EIF2B3	977.9297
EIF2B4	988.2292	EIF2B4	792.0423
EIF2B5	1265.8391	EIF2B5	877.5256
EIF2C1	1252.9749	EIF2C1	1081.1315
EIF2C2	155.657	EIF2C2	215.4181
EIF2C3	183.9583	EIF2C3	182.779
EIF2C4	426.0629	EIF2C4	585.9496
EIF2S1	1639.416	EIF2S1	1773.3914
EIF2S2	1273.5576	EIF2S2	1442.3376
EIF2S3	7249.2442	EIF2S3	5293.1302
EIF3A	4339.6154	EIF3A	7857.3205
EIF3B	2427.9925	EIF3B	3070.2518
EIF3CL	9655.5837	EIF3CL	8010.3792
EIF3C	169.8488	EIF3C	84.7404
EIF3D	2416.4147	EIF3D	4234.3799
EIF3E	3702.8366	EIF3E	7483.9913
EIF3F	1752.3638	EIF3F	2363.382
EIF3G	1648.6165	EIF3G	2029.5244
EIF3H	19474.8826	EIF3H	4269.8166
EIF3I	3834.844	EIF3I	2832.1573
EIF3J	1778.0922	EIF3J	1603.0463
EIF3K	2660.3203	EIF3K	2926.018
EIF3L	3776.4199	EIF3L	9067.4541
EIF3M	2459.551	EIF3M	2261.9335
EIF4A1	8922.9433	EIF4A1	6878.0821
EIF4A2	10529.8771	EIF4A2	10538.3898
EIF4A3	1925.7735	EIF4A3	995.6481
EIF4B	7868.6255	EIF4B	13304.3301
EIF4E2	1337.8787	EIF4E2	1467.8272
EIF4E3	1383.9326	EIF4E3	2956.792
EIF4EBP1	333.1833	EIF4EBP1	452.5956
EIF4EBP2	4478.5489	EIF4EBP2	13195.8346
EIF4EBP3	412.6481	EIF4EBP3	321.0134
EIF4ENIF1	628.5457	EIF4ENIF1	724.5881
EIF4E	686.9493	EIF4E	451.0413
EIF4G1	5333.7621	EIF4G1	6298.1038
EIF4G2	21034.2831	EIF4G2	22637.2397
EIF4G3	3855.1489	EIF4G3	2201.4299
EIF4H	3187.2387	EIF4H	4552.0671
EIF5A2	60.7191	EIF5A2	227.5412
EIF5AL1	1271.4993	EIF5AL1	900.2176
EIF5A	3842.0274	EIF5A	2973.267
EIF5B	4596.3852	EIF5B	4552.9997
EIF5	4561.6518	EIF5	6226.6086
EIF6	1432.0448	EIF6	1198.9431
ELAC1	145.2345	ELAC1	142.2505
ELAC2	1516.1768	ELAC2	1656.8231
removed	removed	ELANE	7.1495
ELAVL1	2240.9468	ELAVL1	1178.1163
ELAVL2	11.8351	removed	removed
ELF1	1638.6441	ELF1	1636.618
ELF2	1125.6191	ELF2	1034.1933
ELF3	2904.7405	ELF3	942.493
ELF4	622.1136	ELF4	571.6506
ELF5	7.7185	ELF5	788.3121
ELFN1	36.5344	ELFN1	36.6801
ELK1	824.0818	ELK1	445.7569
ELK3	536.9525	ELK3	857.9422
ELK4	225.3811	ELK4	182.779
ELL2	4971.5058	ELL2	1560.4601
ELL3	292.0306	ELL3	119.5026
ELL	330.6104	ELL	327.0127
ELMO1	320.5763	ELMO1	806.963
ELMO2	1753.6502	ELMO2	1159.1545
ELMO3	516.8843	ELMO3	123.4069
ELMOD1	7.204	removed	removed
ELMOD2	383.0964	ELMOD2	194.9021
ELMOD3	435.8397	ELMOD3	2347.8396
ELN	978.1952	ELN	4617.9671
ELOF1	870.6503	ELOF1	533.7271
ELOVL1	1659.7414	ELOVL1	1795.1508
ELOVL2	461.5681	ELOVL2	150.1399
removed	removed	ELOVL3	142.9904
ELOVL4	12.8642	ELOVL4	34.815
ELOVL5	18520.8722	ELOVL5	8788.9338
ELOVL6	266.8039	ELOVL6	137.0842
ELOVL7	202.9974	ELOVL7	362.4495
ELP2P	8.4904	ELP2P	9.9472
ELP2	12318.7753	ELP2	1564.1902
ELP3	1087.541	ELP3	990.6745
ELP4	286.3575	ELP4	241.5294
ELTD1	777.2561	ELTD1	3624.184
EMB	345.5329	EMB	906.4346
EMCN	329.8386	EMCN	1932.235
EMD	1275.6159	EMD	713.3976
EME1	42.2358	EME1	7.995
EME2	8.7477	removed	removed
EMG1	465.942	EMG1	401.2527
EMID1	109.6031	EMID1	36.0584
EMILIN1	184.9875	EMILIN1	762.8225
EMILIN2	89.7922	EMILIN2	1408.1442
removed	removed	EMILIN3	11.9894
EML1	623.4	EML1	1048.1815
EML2	936.2527	EML2	472.8007
EML3	376.6643	EML3	1106.9319
EML4	988.4865	EML4	1266.7081
EML5	30.6168	EML5	46.6273
EML6	52.486	EML6	27.3547
EMP1	3112.8835	EMP1	13798.2592
EMP2	7278.3174	EMP2	3806.6522
EMP3	292.5323	EMP3	796.3942
EMR1	21.0973	removed	removed
EMR2	121.6955	EMR2	148.2748
removed	removed	EMR4P	5.9061
EMX1	5.6603	removed	removed
EMX2OS	24.442	EMX2OS	471.8682
EMX2	9.7768	EMX2	153.2484
EN1	27.7867	EN1	85.4834
removed	removed	EN2	7.4604
ENAH	4180.3563	ENAH	3406.59
ENC1	3750.4985	ENC1	1038.1318
ENDOD1	2207.2426	ENDOD1	1884.0535
ENDOG	190.8021	ENDOG	95.5145
removed	removed	ENDOU	15.2316
ENGASE	226.9248	ENGASE	460.6776
ENG	2386.827	ENG	5614.2369
ENHO	17.7526	ENHO	14.299
ENO1	7272.9144	ENO1	14287.8458
ENO2	677.1724	ENO2	299.9689
ENO3	67.6658	ENO3	44.4514
ENOPH1	813.0186	ENOPH1	603.9789
ENOSF1	941.2028	ENOSF1	465.0793
ENOX1	43.7383	ENOX1	116.8791
ENOX2	394.6742	ENOX2	471.8682
ENPEP	284.8138	ENPEP	376.4377
ENPP1	2585.9651	ENPP1	2453.5281
ENPP2	278.3817	ENPP2	9624.184
ENPP3	23.4129	ENPP3	70.2518
ENPP4	1407.86	ENPP4	1100.715
ENPP5	11936.1935	ENPP5	552.378
ENPP6	10.2914	ENPP6	27.9764
ENSA	7392.5516	ENSA	3879.0799
ENTPD1	2054.6678	ENTPD1	1390.4259
ENTPD2	147.1667	ENTPD2	87.9702
ENTPD3	249.3085	ENTPD3	113.7706
ENTPD4	977.4233	ENTPD4	351.2589
ENTPD5	612.0898	ENTPD5	319.3938
ENTPD6	1947.1281	ENTPD6	1082.6857
ENTPD7	626.1324	ENTPD7	172.465
ENTPD8	24.6993	removed	removed
ENY2	531.0349	ENY2	501.7097
EOMES	9.7768	EOMES	41.032
EP300	2654.9173	EP300	2674.8523
EP400NL	146.3948	EP400NL	97.2956
EP400	1452.6275	EP400	1282.8722
EPAS1	2301.6659	EPAS1	20554.8648
EPB41L1	1951.5019	EPB41L1	3359.9627
EPB41L2	674.5996	EPB41L2	8730.8051
EPB41L3	253.6824	EPB41L3	2889.6487
EPB41L4A	1239.3388	EPB41L4A	796.0833
EPB41L4B	887.1165	EPB41L4B	1741.6848
EPB41L5	1023.2199	EPB41L5	811.3149
EPB41	1143.418	EPB41	1658.4489
removed	removed	EPB42	92.0112
EPB49	418.0871	EPB49	1672.0547
EPC1	734.8041	EPC1	610.1958
EPC2	774.4259	EPC2	766.8635
EPCAM	4494.2433	EPCAM	641.2807
EPDR1	91.0787	EPDR1	1880.3233
EPHA10	148.4531	EPHA10	13.6773
EPHA1	260.8863	EPHA1	93.2546
EPHA2	180.3563	EPHA2	457.88
EPHA3	71.5251	EPHA3	208.5794
EPHA4	154.8852	EPHA4	619.2104
removed	removed	EPHA5	9.0146
removed	removed	EPHA6	10.8797
removed	removed	EPHA7	44.4514
EPHB1	14.4079	EPHB1	188.996
EPHB2	157.9726	EPHB2	124.0286
EPHB3	604.6183	EPHB3	500.7771
EPHB4	1840.0978	EPHB4	1698.166
EPHB6	16.9808	EPHB6	337.8924
EPHX1	3731.1378	EPHX1	8288.4675
EPHX2	1244.2272	EPHX2	768.4178
EPHX3	5.1457	EPHX3	21.4486
EPHX4	7.9758	EPHX4	13.6773
EPM2AIP1	1694.7321	EPM2AIP1	926.018
EPM2A	224.8665	EPM2A	468.7597
EPN1	1139.2552	EPN1	1290.9543
EPN2	1333.7621	EPN2	886.2294
EPN3	354.5096	EPN3	47.8707
EPOR	111.242	EPOR	78.6447
EPPK1	96.9962	EPPK1	154.1809
EPR1	146.0861	EPR1	24.7435
EPRS	6283.9133	EPRS	3544.9176
EPS15L1	1541.9052	EPS15L1	631.9552
EPS15	1957.6767	EPS15	3240.5968
EPS8L1	655.5606	EPS8L1	107.2428
EPS8L2	726.571	EPS8L2	471.5574
EPS8	506.3356	EPS8	4194.9021
EPSTI1	268.6049	EPSTI1	149.5182
EPT1	1403.2238	EPT1	548.6478
EPYC	150.7686	removed	removed
ERAL1	1076.9923	ERAL1	715.5735
ERAP1	3218.7586	ERAP1	4761.7563
