gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
C15orf40	291.0019	C15orf40	227.9817
C15orf41	73.6792	C15orf41	94.0367
C15orf42	1167.8214	C15orf42	31.7982
C15orf44	977.6424	C15orf44	570.6422
C15orf48	114.5433	removed	removed
removed	removed	C15orf51	20.6422
C15orf52	456.3157	C15orf52	197.2477
C15orf54	6.1915	removed	removed
C15orf56	9.2873	removed	removed
C15orf57	382.9275	C15orf57	265.4037
C15orf58	531.2332	C15orf58	20.6422
C15orf59	39.6258	C15orf59	69.7248
C15orf61	170.8862	C15orf61	102.7523
C15orf62	26.0044	C15orf62	32.1101
C15orf63	954.1146	C15orf63	589.9587
C16orf13	908.9164	C16orf13	275.2294
C16orf42	964.3058	C16orf42	644.422
C16orf45	923.1569	C16orf45	907.3394
C16orf46	36.53	C16orf46	16.055
C16orf48	256.3293	C16orf48	192.2018
C16orf52	383.2556	C16orf52	422.9358
C16orf53	1663.4595	C16orf53	449.0138
C16orf54	32.8151	C16orf54	222.9358
C16orf55	151.6925	C16orf55	52.2936
C16orf57	1128.7157	C16orf57	763.3028
C16orf58	3865.3714	C16orf58	1457.7982
C16orf59	117.639	C16orf59	5.5046
C16orf5	317.0063	C16orf5	684.4037
C16orf61	332.6337	C16orf61	178.2569
C16orf62	1690.9065	C16orf62	1470.6422
C16orf63	1148.5286	C16orf63	614.6789
C16orf68	223.5142	C16orf68	175.6881
C16orf70	689.4948	C16orf70	388.3349
C16orf71	67.4877	C16orf71	5.0459
C16orf72	1726.1982	C16orf72	1087.6147
C16orf74	199.3672	C16orf74	22.4771
C16orf75	333.1042	C16orf75	12.3853
C16orf79	36.2081	C16orf79	5.9679
C16orf7	219.2296	C16orf7	182.1009
C16orf80	590.6718	C16orf80	339.9083
C16orf86	27.8619	C16orf86	76.6055
C16orf87	134.3562	C16orf87	88.0734
C16orf88	1001.1702	C16orf88	291.2844
C16orf89	1448.1986	C16orf89	197.7064
C16orf91	465.603	C16orf91	93.578
C16orf93	37.7683	C16orf93	7.7982
C17orf100	29.7193	C17orf100	19.2661
C17orf101	373.3492	C17orf101	251.3761
C17orf103	177.0777	C17orf103	1547.7064
removed	removed	C17orf104	8.2569
C17orf106	364	C17orf106	180.5413
C17orf107	29.6822	C17orf107	12.8486
C17orf108	159.7414	C17orf108	355.0459
C17orf28	2537.2885	C17orf28	417.4312
C17orf37	912.6313	C17orf37	460.0917
C17orf39	308.9573	C17orf39	784.8624
C17orf42	153.5499	C17orf42	88.9908
C17orf44	43.3407	C17orf44	52.2936
C17orf47	9.2873	removed	removed
C17orf48	130.0221	C17orf48	130.7339
C17orf49	941.6139	C17orf49	622.6055
C17orf51	123.8306	C17orf51	586.6972
C17orf53	53.2471	C17orf53	41.7431
C17orf55	83.5856	C17orf55	36.6972
C17orf56	240.9743	C17orf56	263.555
C17orf57	16.7171	C17orf57	77.9817
C17orf58	370.8726	C17orf58	937.6147
C17orf59	167.7904	C17orf59	182.1101
C17orf60	50.7705	C17orf60	57.7982
C17orf61	314.1148	C17orf61	399.6239
C17orf62	1282.8848	C17orf62	919.2661
C17orf63	822.235	C17orf63	515.1376
C17orf65	134.9753	C17orf65	90.3303
C17orf67	12.3831	C17orf67	12.3853
C17orf68	253.8527	C17orf68	658.7156
C17orf69	51.3897	C17orf69	62.844
C17orf70	917.5846	C17orf70	475.2294
C17orf71	531.2332	C17orf71	436.6972
C17orf72	89.8638	C17orf72	68.2294
C17orf75	355.3938	C17orf75	116.9725
C17orf76	48.9131	C17orf76	114.6789
C17orf77	8.049	removed	removed
C17orf79	796.8498	C17orf79	909.1743
C17orf80	531.8523	C17orf80	416.9725
C17orf81	410.4984	C17orf81	418.8073
C17orf82	11.1448	C17orf82	6.8807
C17orf85	481.0818	C17orf85	629.8165
C17orf86	63.1536	C17orf86	55.0459
C17orf87	8.049	C17orf87	46.1789
C17orf89	355.3938	C17orf89	216.055
C17orf90	346.7256	C17orf90	169.2661
C17orf91	224.7525	C17orf91	495.8716
C17orf93	20.432	removed	removed
C17orf95	362.2044	C17orf95	213.3028
C17orf96	227.8483	C17orf96	33.4862
C17orf97	162.2181	C17orf97	75.6881
C18orf10	907.059	C18orf10	1161.0092
C18orf18	43.9599	C18orf18	67.4312
C18orf19	591.9101	C18orf19	254.1284
C18orf1	2531.097	C18orf1	1272.4771
C18orf21	229.7057	C18orf21	122.9358
C18orf22	305.2424	C18orf22	350.9174
C18orf25	425.358	C18orf25	538.0734
C18orf32	1268.0065	C18orf32	794.5459
removed	removed	C18orf34	65.5963
C18orf45	396.877	C18orf45	175.6881
C18orf54	134.9753	C18orf54	80.7339
C18orf55	279.2379	C18orf55	324.7706
C18orf56	12.3831	removed	removed
C18orf8	378.9401	C18orf8	352.156
C19orf10	2883.3949	C19orf10	923.8532
C19orf12	490.9882	C19orf12	2858.7156
C19orf18	50.7705	C19orf18	6.422
C19orf20	53.2471	C19orf20	47.2477
C19orf21	307.0998	removed	removed
C19orf22	1416.0026	C19orf22	584.8624
C19orf23	22.2895	C19orf23	11.0092
C19orf24	894.0568	C19orf24	295.4128
C19orf25	395.6387	C19orf25	158.2569
C19orf26	12.3831	removed	removed
C19orf28	1255.0229	C19orf28	688.9908
C19orf29	504.6096	C19orf29	327.5229
C19orf2	1138.6221	C19orf2	1262.3853
C19orf33	672.6786	C19orf33	22.5963
C19orf35	15.4788	C19orf35	9.633
C19orf36	28.481	C19orf36	7.3394
C19orf38	17.9554	C19orf38	11.4679
C19orf39	170.8862	C19orf39	30.2752
C19orf40	55.7238	C19orf40	27.9817
C19orf42	2127.4093	C19orf42	1004.1284
C19orf43	1970.1444	C19orf43	1278.4404
C19orf44	250.8869	C19orf44	150.6055
C19orf46	139.9285	removed	removed
C19orf47	228.4674	C19orf47	176.6055
C19orf48	1958.3805	C19orf48	192.2018
C19orf50	1796.7816	C19orf50	1249.0826
C19orf51	50.7705	removed	removed
C19orf52	313.2914	C19orf52	171.5596
C19orf53	2500.7585	C19orf53	784.8624
C19orf54	294.7168	C19orf54	193.578
C19orf55	55.7238	C19orf55	67.8899
C19orf56	2702.6023	C19orf56	1259.633
C19orf57	118.2582	C19orf57	8.7156
C19orf59	9.9064	C19orf59	12.844
C19orf60	569.6206	C19orf60	214.6789
C19orf61	733.077	C19orf61	474.3119
C19orf62	1438.9113	C19orf62	939.4495
C19orf63	4796.2863	C19orf63	1007.7752
C19orf66	760.2516	C19orf66	371.2936
removed	removed	C19orf69	7.3394
C19orf6	1447.5794	C19orf6	1582.5688
C19orf70	634.0125	C19orf70	437.156
C19orf73	11.7639	C19orf73	6.422
C19orf76	16.7171	C19orf76	37.156
C1D	143.0243	C1D	128.4404
C1GALT1C1	682.3065	C1GALT1C1	548.6239
C1GALT1	215.4652	C1GALT1	366.9725
C1QA	3565.0823	C1QA	8306.8807
C1QBP	1520.658	C1QBP	768.0138
C1QB	3678.3872	C1QB	9432.1101
C1QC	3500.0712	C1QC	8766.5138
C1QL1	6.8107	removed	removed
C1QL3	17.9554	C1QL3	38.0734
C1QTNF1	976.4041	C1QTNF1	6651.8349
C1QTNF2	37.7683	C1QTNF2	200.9174
C1QTNF3	3509.3585	C1QTNF3	1560.0917
removed	removed	C1QTNF4	9.1743
C1QTNF6	2895.778	C1QTNF6	180.2752
C1QTNF7	43.3407	C1QTNF7	769.7248
C1QTNF9B	9.4421	C1QTNF9B	54.7523
C1QTNF9	19.1937	C1QTNF9	61.0092
C1RL	1105.0579	C1RL	1623.6927
C1R	14117.3047	C1R	15913.3028
C1S	21767.6319	C1S	29420.6422
C1orf101	8.6681	C1orf101	13.3028
C1orf103	459.4114	C1orf103	217.8899
C1orf104	37.985	C1orf104	56.211
C1orf106	76.1558	removed	removed
C1orf107	611.1039	C1orf107	582.5688
C1orf109	323.817	C1orf109	296.3303
removed	removed	C1orf110	6.422
C1orf112	142.8324	C1orf112	130.8532
C1orf113	185.2196	C1orf113	24.2661
C1orf114	6.1915	removed	removed
C1orf115	605.5315	C1orf115	2557.3394
C1orf116	245.1845	removed	removed
C1orf122	536.3226	C1orf122	299.9633
C1orf123	766.5113	C1orf123	787.6147
C1orf124	187.6033	C1orf124	213.7615
C1orf126	58.5161	C1orf126	9.4862
C1orf127	15.4788	C1orf127	10.5505
C1orf128	915.7271	C1orf128	1014.6789
C1orf131	183.8884	C1orf131	158.2569
C1orf133	75.5367	C1orf133	33.4862
C1orf135	56.3429	C1orf135	13.7615
C1orf144	2997.9382	C1orf144	3183.945
removed	removed	C1orf150	32.1101
C1orf151	1504.6282	C1orf151	948.5872
C1orf152	13.6214	C1orf152	22.0183
C1orf156	225.3716	C1orf156	152.7523
C1orf159	189.4608	C1orf159	54.5872
C1orf162	292.8593	C1orf162	455.0459
C1orf163	224.1333	C1orf163	207.7982
C1orf168	53.2471	removed	removed
C1orf170	63.7727	removed	removed
C1orf172	299.67	removed	removed
C1orf174	486.035	C1orf174	348.1651
C1orf175	25.4658	C1orf175	23.2523
C1orf182	9.2873	removed	removed
C1orf183	61.2961	C1orf183	301.8349
C1orf186	8.049	C1orf186	34.8624
C1orf190	25.3481	C1orf190	33.8165
C1orf192	24.147	C1orf192	24.7706
C1orf198	3132.2944	C1orf198	2898.6239
C1orf201	204.3204	C1orf201	187.156
C1orf203	89.7834	C1orf203	62.867
C1orf204	24.9085	C1orf204	30.1835
C1orf210	98.4453	removed	removed
C1orf212	638.9658	C1orf212	715.1376
C1orf213	50.4919	C1orf213	86.3624
C1orf216	689.1171	C1orf216	637.6147
C1orf21	2524.2863	C1orf21	1766.055
C1orf220	12.3831	removed	removed
C1orf226	100.9219	C1orf226	258.2569
removed	removed	C1orf229	5.0459
C1orf25	593.7676	C1orf25	555.9633
C1orf26	147.3584	C1orf26	166.9725
C1orf27	916.9654	C1orf27	624.3119
C1orf31	202.463	C1orf31	149.0826
C1orf35	302.1466	C1orf35	96.3303
C1orf38	362.2044	C1orf38	1297.7064
C1orf43	8393.8555	C1orf43	3844.9541
C1orf50	148.5967	C1orf50	123.8532
C1orf51	126.9263	C1orf51	76.6055
C1orf52	344.249	C1orf52	277.5229
C1orf53	81.109	C1orf53	15.1376
C1orf54	268.7123	C1orf54	98.6239
C1orf55	651.3488	C1orf55	667.4312
C1orf56	192.0922	C1orf56	104.7339
C1orf57	378.3024	C1orf57	361.9266
C1orf58	346.6018	C1orf58	395.7569
C1orf59	318.2446	C1orf59	122.9358
C1orf63	507.7054	C1orf63	212.3853
C1orf64	127.5455	removed	removed
C1orf66	417.9282	C1orf66	340.367
C1orf69	182.0309	C1orf69	231.6514
C1orf70	16.098	C1orf70	8.2569
C1orf74	109.5901	C1orf74	40.8257
C1orf77	1724.3408	C1orf77	1174.3119
C1orf83	136.8328	C1orf83	263.3028
C1orf84	11.3057	C1orf84	20.1651
C1orf85	1458.105	C1orf85	1017.4312
C1orf86	336.3981	C1orf86	168.3807
C1orf88	41.4832	C1orf88	32.5688
C1orf89	32.1959	C1orf89	20.6422
C1orf91	238.9682	C1orf91	114.6606
C1orf93	1362.384	C1orf93	330.9541
C1orf95	5.5724	C1orf95	54.5872
C1orf96	221.0376	C1orf96	217.4312
C1orf97	196.2715	C1orf97	58.7156
C1orf9	1680.3809	C1orf9	756.422
C20orf103	359.1087	removed	removed
C20orf108	3053.0428	C20orf108	2399.0826
removed	removed	C20orf111	649.0826
C20orf112	1023.4597	C20orf112	642.6606
C20orf114	14.8597	removed	removed
C20orf117	419.1665	C20orf117	538.0734
C20orf118	14.5006	C20orf118	60.2156
C20orf11	1818.452	C20orf11	1036.2385
C20orf12	89.7772	C20orf12	89.9083
C20orf132	22.9087	C20orf132	78.445
C20orf134	42.1024	C20orf134	12.844
C20orf135	65.6302	C20orf135	42.2018
C20orf151	131.8796	removed	removed
C20orf160	76.775	C20orf160	383.0275
C20orf165	6.1915	removed	removed
C20orf177	188.2225	C20orf177	225.2294
C20orf194	549.8078	C20orf194	1864.6789
C20orf196	67.4877	C20orf196	50
C20orf197	6.1915	C20orf197	12.844
C20orf199	1616.6082	C20orf199	646.3303
C20orf202	5.5724	C20orf202	6.422
C20orf20	507.0862	C20orf20	180.2752
C20orf24	1758.1032	C20orf24	731.4312
removed	removed	C20orf26	30.2752
C20orf27	614.1997	C20orf27	554.1284
C20orf29	310.8147	C20orf29	185.3211
C20orf30	3654.8594	C20orf30	3126.6055
C20orf3	6231.1545	C20orf3	3861.0092
C20orf43	2017.2001	C20orf43	2051.8349
C20orf46	39.0066	C20orf46	19.2661
C20orf4	1306.4126	C20orf4	1044.0367
C20orf54	1006.7426	C20orf54	64.2202
C20orf72	683.5448	C20orf72	260.0917
C20orf7	166.5521	C20orf7	126.6055
C20orf94	25.3853	C20orf94	29.8165
C20orf96	198.7481	C20orf96	100.4587
C21orf119	31.5768	C21orf119	50.4587
C21orf122	50.7705	C21orf122	30.2752
C21orf125	6.1915	removed	removed
C21orf15	28.481	C21orf15	8.7156
C21orf2	351.0597	C21orf2	357.7982
C21orf33	1939.1868	C21orf33	1711.4679
C21orf34	47.0556	C21orf34	123.8532
C21orf45	165.933	C21orf45	74.3119
removed	removed	C21orf49	9.1743
C21orf56	11.7639	removed	removed
C21orf57	115.7816	C21orf57	84.4037
C21orf58	120.1157	C21orf58	17.8899
C21orf59	700.2619	C21orf59	409.633
C21orf63	305.2424	C21orf63	367.4312
C21orf67	60.0578	C21orf67	21.1009
C21orf70	99.6836	C21orf70	80.2752
C21orf7	165.3138	C21orf7	81.6514
C21orf82	45.1982	C21orf82	43.578
C21orf91	247.042	C21orf91	429.3578
C22orf13	2643.7518	C22orf13	2521.1972
C22orf23	8.6681	C22orf23	42.2018
C22orf25	503.3713	C22orf25	736.6972
C22orf26	14.2405	C22orf26	12.844
C22orf27	87.9197	C22orf27	72.4771
C22orf28	1906.9909	C22orf28	1504.1284
C22orf29	369.4361	C22orf29	381.945
C22orf30	793.1348	C22orf30	930.7339
C22orf32	647.6339	C22orf32	472.4771
removed	removed	C22orf34	14.2202
C22orf36	397.4961	C22orf36	98.1651
C22orf39	331.8659	C22orf39	937.6147
C22orf40	152.3116	C22orf40	105.5046
C22orf41	6.1915	removed	removed
C22orf46	496.5606	C22orf46	774.3119
C22orf9	2251.2399	C22orf9	3033.945
C2CD2L	367.6592	C2CD2L	286.6147
C2CD2	840.8096	C2CD2	6503.211
C2CD3	658.7787	C2CD3	620.1835
C2CD4A	21.6704	removed	removed
C2CD4B	14.8597	C2CD4B	62.3853
C2CD4C	7.4298	C2CD4C	73.8532
C2CD4D	8.049	removed	removed
C2orf15	19.1132	C2orf15	5.8486
C2orf16	14.2405	C2orf16	27.5229
C2orf18	1232.7334	C2orf18	2076.1468
C2orf24	2233.2844	C2orf24	1877.9817
C2orf27A	48.9131	C2orf27A	14.2202
C2orf28	2655.751	C2orf28	1899.1835
C2orf29	761.558	C2orf29	576.1468
C2orf34	98.4453	C2orf34	51.3761
C2orf3	495.3223	C2orf3	537.156
removed	removed	C2orf40	236.2385
C2orf42	287.9061	C2orf42	195.4128
C2orf43	133.1179	C2orf43	241.7431
C2orf44	227.8483	C2orf44	205.9633
C2orf47	403.0685	C2orf47	258.2569
C2orf49	104.0177	C2orf49	125.6881
C2orf54	95.9687	removed	removed
C2orf55	219.7993	C2orf55	95.4128
C2orf56	252.6144	C2orf56	194.4954
C2orf58	14.2405	C2orf58	29.8165
C2orf60	215.4652	C2orf60	182.5688
C2orf63	87.3006	C2orf63	20.6422
C2orf64	357.8704	C2orf64	379.3578
C2orf65	11.1448	C2orf65	52.7523
C2orf67	437.382	C2orf67	484.9954
C2orf68	866.1949	C2orf68	673.3945
C2orf69	463.7455	C2orf69	538.9908
removed	removed	C2orf71	5.0459
C2orf72	34.6726	removed	removed
C2orf74	783.8475	C2orf74	364.6789
C2orf76	87.3006	C2orf76	56.8807
C2orf77	112.6858	C2orf77	20.6422
C2orf79	421.024	C2orf79	131.1927
C2orf7	289.1444	C2orf7	335.3211
C2orf81	102.7237	C2orf81	33.4312
removed	removed	C2orf84	26.1468
C2orf86	84.8239	C2orf86	244.9541
C2orf88	19.8129	C2orf88	263.7615
C2orf89	9.9064	C2orf89	138.0734
C2	1791.1597	C2	3988.8761
C3AR1	578.9079	C3AR1	1603.6697
C3orf10	2616.54	C3orf10	2745.4128
C3orf14	612.3422	C3orf14	58.2569
C3orf15	6.8107	C3orf15	19.2661
C3orf17	1139.8604	C3orf17	818.8073
C3orf18	157.2648	C3orf18	219.7248
C3orf19	395.0195	C3orf19	443.578
C3orf1	1624.6571	C3orf1	935.7798
C3orf21	592.5293	C3orf21	322.9358
C3orf23	337.4383	C3orf23	476.1468
C3orf26	440.8368	C3orf26	351.8349
C3orf31	143.6435	C3orf31	122.4771
C3orf32	10.5256	C3orf32	5.9633
C3orf33	53.8663	C3orf33	69.7248
C3orf34	120.1157	C3orf34	63.3028
C3orf36	6.8107	removed	removed
C3orf37	928.1102	C3orf37	941.2844
C3orf38	439.5985	C3orf38	360.0917
C3orf39	439.5985	C3orf39	490.8257
C3orf42	9.2873	C3orf42	18.8073
C3orf47	73.06	C3orf47	74.7706
C3orf52	62.5344	C3orf52	11.4679
C3orf54	84.8239	C3orf54	42.2018
C3orf55	27.2427	C3orf55	226.6055
C3orf57	130.6413	C3orf57	6.8807
C3orf58	466.8413	C3orf58	549.0826
C3orf59	143.6435	C3orf59	216.9725
C3orf62	82.3473	C3orf62	152.2936
C3orf63	1625.4806	C3orf63	2320.9495
C3orf64	580.1462	C3orf64	764.2202
C3orf67	36.53	C3orf67	17.4312
C3orf70	84.2048	C3orf70	171.1009
C3orf71	16.7171	C3orf71	21.2615
C3orf75	399.9728	C3orf75	299.5413
C3	9547.9565	C3	33108.7156
C4A	20132.022	C4A	1274.6422
removed	removed	C4BPB	16.5138
C4orf10	240.1323	C4orf10	250.0688
C4orf12	19.1937	C4orf12	65.5963
C4orf14	493.4648	C4orf14	405.0459
removed	removed	C4orf19	144.4908
C4orf21	57.5812	C4orf21	61.4679
C4orf23	208.0354	C4orf23	210.0917
C4orf27	482.9392	C4orf27	355.0459
C4orf29	74.9175	C4orf29	95.4128
C4orf31	126.3072	C4orf31	166.9725
C4orf32	265.6166	C4orf32	1362.844
C4orf33	186.9842	C4orf33	135.7798
C4orf34	921.2995	C4orf34	1194.9541
C4orf36	7.4298	removed	removed
C4orf38	11.7639	C4orf38	33.4862
C4orf39	14.2405	C4orf39	10.0917
C4orf3	3062.3301	C4orf3	3984.4037
C4orf41	991.2638	C4orf41	1072.0183
C4orf42	443.3135	C4orf42	327.5229
C4orf43	341.1532	C4orf43	232.5688
C4orf46	204.9396	C4orf46	111.0092
C4orf48	23.5278	C4orf48	21.1009
C4orf49	35.9109	C4orf49	7.7982
C4orf52	317.0063	C4orf52	365.1376
C4orf6	16.7171	removed	removed
C5AR1	307.719	C5AR1	1316.5138
C5orf13	4196.6182	C5orf13	434.4037
C5orf15	1928.6612	C5orf15	1228.8991
removed	removed	C5orf20	11.0092
C5orf22	446.4092	C5orf22	417.8899
C5orf23	64.3919	C5orf23	1465.5963
C5orf24	1290.3146	C5orf24	1445.4128
C5orf25	241.4696	C5orf25	198.8945
removed	removed	C5orf27	5.5046
C5orf28	136.2136	C5orf28	159.633
C5orf30	1262.4527	C5orf30	640.367
C5orf32	616.6763	C5orf32	1731.1927
C5orf33	604.2932	C5orf33	593.578
C5orf34	50.7705	C5orf34	18.3486
C5orf35	195.0332	C5orf35	130.7339
C5orf36	121.9731	C5orf36	52.7523
C5orf38	137.4519	C5orf38	21.1009
C5orf39	38.3875	C5orf39	49.5413
C5orf41	401.8302	C5orf41	1023.8532
C5orf42	398.1153	C5orf42	580.7339
C5orf43	1362.7555	C5orf43	731.6514
C5orf44	482.6978	C5orf44	360.3991
C5orf45	182.5758	C5orf45	133.1284
C5orf46	164.0755	removed	removed
C5orf49	14.2405	removed	removed
C5orf4	268.7123	C5orf4	2576.1468
C5orf51	783.2284	C5orf51	894.4954
C5orf53	354.1554	C5orf53	570.6422
C5orf54	180.7926	C5orf54	114.2202
C5orf55	43.9599	C5orf55	55.5046
C5orf56	52.6775	C5orf56	108.8624
C5orf62	977.6424	C5orf62	2295.8716
C5	196.8906	C5	138.9908
C6orf105	22.9087	C6orf105	44.4954
C6orf106	1870.4608	C6orf106	4952.2936
C6orf108	235.2781	C6orf108	165.5963
removed	removed	C6orf114	11.9266
C6orf115	875.4822	C6orf115	173.3945
C6orf120	899.3629	C6orf120	1156.2523
C6orf122	20.3887	C6orf122	5.0459
C6orf123	22.9087	C6orf123	5.0459
C6orf124	15.4788	C6orf124	5.5046
C6orf125	734.0862	C6orf125	336.7477
C6orf126	60.0578	removed	removed
C6orf129	242.0888	C6orf129	90.8257
C6orf130	302.741	C6orf130	302.6972
C6orf132	77.3941	C6orf132	121.1009
C6orf134	159.7414	C6orf134	92.2018
C6orf136	184.5076	C6orf136	164.2202
C6orf138	27.8619	C6orf138	11.4679
removed	removed	C6orf141	59.633
removed	removed	C6orf142	15.5963
C6orf145	719.4556	C6orf145	2183.0275
C6orf150	71.2026	C6orf150	77.9817
C6orf153	584.4803	C6orf153	500.4587
C6orf154	10.5256	removed	removed
C6orf155	9.2873	C6orf155	29.8165
C6orf162	112.0357	C6orf162	141.1881
C6orf164	11.7949	C6orf164	10.1881
C6orf165	21.0512	removed	removed
C6orf167	138.0711	C6orf167	125.6881
C6orf168	85.4431	removed	removed
C6orf170	120.7348	C6orf170	44.9541
C6orf174	65.0111	C6orf174	80.8028
removed	removed	C6orf176	5.3532
C6orf182	147.9775	C6orf182	158.2569
C6orf186	6.1915	removed	removed
C6orf192	207.4162	C6orf192	452.7523
C6orf1	498.4181	C6orf1	227.5229
C6orf201	5.5786	C6orf201	22.0367
C6orf203	217.9418	C6orf203	177.5229
C6orf204	42.7215	C6orf204	111.4679
C6orf211	1547.8822	C6orf211	500.4587
C6orf217	8.049	removed	removed
C6orf222	6.8107	removed	removed
C6orf225	255.7101	C6orf225	186.2385
C6orf226	35.2917	C6orf226	64.6789
C6orf26	11.7639	C6orf26	10.3211
C6orf27	24.7661	removed	removed
C6orf35	458.1731	C6orf35	377.0642
C6orf41	8.6681	removed	removed
C6orf47	622.2486	C6orf47	593.578
C6orf48	872.3864	C6orf48	915.5963
C6orf52	9.9064	removed	removed
C6orf57	76.775	C6orf57	124.7706
removed	removed	C6orf59	16.9725
C6orf62	2688.5599	C6orf62	2705.0138
C6orf64	521.9459	C6orf64	487.6147
C6orf70	488.5116	C6orf70	301.8349
C6orf72	1063.7046	C6orf72	1070.6422
C6orf89	1683.4767	C6orf89	4100.9174
C6orf97	645.1573	C6orf97	455.9633
removed	removed	C6	781.1927
C7orf10	374.5875	C7orf10	34.8624
C7orf11	568.3823	C7orf11	247.7064
C7orf13	92.2538	C7orf13	75.2294
C7orf23	398.1153	C7orf23	302.2202
C7orf25	492.4928	C7orf25	338.9908
C7orf26	408.6409	C7orf26	453.211
C7orf27	503.3713	C7orf27	625.6881
C7orf28A	772.7028	C7orf28A	464.6789
C7orf28B	782.6092	C7orf28B	786.6972
C7orf29	82.9665	C7orf29	69.2661
C7orf30	358.4895	C7orf30	243.578
C7orf31	107.1134	C7orf31	126.1468
C7orf36	285.4295	C7orf36	124.7706
C7orf40	293.4785	C7orf40	150
C7orf41	455.6965	C7orf41	9181.6514
C7orf42	4188.5692	C7orf42	2837.156
C7orf43	432.1687	C7orf43	149.0826
C7orf44	766.5113	C7orf44	454.5872
C7orf46	99.0645	C7orf46	57.7982
C7orf47	206.7971	C7orf47	58.2569
C7orf49	505.495	C7orf49	617.5596
C7orf50	432.7879	C7orf50	380.2752
removed	removed	C7orf51	20.1835
C7orf53	28.481	C7orf53	17.8899
C7orf55	212.9886	C7orf55	163.3486
C7orf58	418.5473	C7orf58	4048.1651
C7orf59	1332.417	C7orf59	796.3303
C7orf60	341.7724	C7orf60	263.7615
C7orf63	79.8707	C7orf63	159.633
C7orf64	217.9418	C7orf64	279.3578
C7orf68	1232.1142	C7orf68	508.2569
C7orf70	446.4092	C7orf70	372.4771
removed	removed	C7	4676.1468
C8G	6.8107	removed	removed
C8orf30A	796.2306	C8orf30A	294.0367
C8orf31	21.6704	C8orf31	14.2202
C8orf33	1237.0674	C8orf33	1104.1284
removed	removed	C8orf34	52.2936
C8orf37	112.6858	C8orf37	62.3853
C8orf38	503.9904	C8orf38	76.6055
C8orf39	5.5724	C8orf39	8.2569
C8orf40	561.5717	C8orf40	674.3119
C8orf41	255.1343	C8orf41	189.5046
C8orf42	95.3495	C8orf42	113.7615
C8orf44	45.4149	C8orf44	29.7431
C8orf45	76.1558	C8orf45	22.9358
C8orf46	26.0044	C8orf46	38.9908
C8orf48	31.5768	C8orf48	34.8624
C8orf4	400.5919	C8orf4	117.8899
C8orf51	130.0221	C8orf51	9.1743
C8orf55	1115.0943	C8orf55	432.1101
C8orf58	289.1444	C8orf58	156.8807
C8orf59	900.8736	C8orf59	298.3991
C8orf73	304.6232	C8orf73	35.7798
C8orf76	489.7499	C8orf76	223.9266
C8orf77	9.9064	removed	removed
C8orf79	71.8217	C8orf79	128.4404
removed	removed	C8orf80	9.633
C8orf83	1778.8262	C8orf83	583.945
C8orf84	19.8129	C8orf84	95.4128
C8orf85	409.8792	removed	removed
C9orf100	76.1248	C9orf100	47.5092
C9orf102	95.2938	C9orf102	245.3716
C9orf103	101.5411	C9orf103	106.422
C9orf109	9.2873	C9orf109	21.5596
C9orf110	50.7705	C9orf110	241.2844
C9orf114	475.8252	C9orf114	279.6835
C9orf116	144.8818	C9orf116	16.9725
C9orf117	10.5256	removed	removed
C9orf119	706.4534	C9orf119	189.9083
C9orf122	22.9087	removed	removed
C9orf123	537.4247	C9orf123	615.5963
C9orf125	40.2449	C9orf125	169.2661
C9orf128	6.8107	removed	removed
C9orf129	67.4877	C9orf129	95.4128
C9orf130	69.2708	C9orf130	56.6514
C9orf139	5.5724	C9orf139	12.6606
C9orf140	549.8078	C9orf140	20.6422
C9orf142	301.5275	C9orf142	112.3853
C9orf150	425.9772	C9orf150	370.6422
C9orf152	255.7101	removed	removed
C9orf156	212.9886	C9orf156	266.5138
C9orf163	9.2873	removed	removed
C9orf167	158.5031	C9orf167	221.1009
C9orf169	51.625	removed	removed
C9orf16	934.9208	C9orf16	359.633
C9orf170	5.5724	removed	removed
C9orf21	234.6589	C9orf21	298.1651
C9orf23	272.4273	C9orf23	183.945
C9orf24	5.5724	C9orf24	6.8807
C9orf25	512.0394	C9orf25	867.8899
C9orf30	336.8563	C9orf30	196.2294
C9orf37	180.1735	C9orf37	114.6789
C9orf3	546.2724	C9orf3	280.8211
C9orf40	63.1536	C9orf40	123.3945
C9orf41	78.6324	C9orf41	122.4771
C9orf43	50.1514	removed	removed
C9orf44	6.1915	removed	removed
C9orf45	53.8663	C9orf45	65.5963
C9orf46	565.9057	C9orf46	278.4404
C9orf47	11.1819	C9orf47	10.156
C9orf5	1126.2391	C9orf5	3194.0367
C9orf64	436.5028	C9orf64	425.2294
removed	removed	C9orf66	13.7615
C9orf68	16.7171	C9orf68	40.367
C9orf69	991.8829	C9orf69	682.1101
C9orf6	381.3982	C9orf6	311.0092
C9orf72	178.316	C9orf72	452.7523
C9orf78	1529.3076	C9orf78	1182.5688
C9orf7	775.1794	C9orf7	110.5505
C9orf80	260.0442	C9orf80	195.8716
C9orf82	230.944	C9orf82	232.5688
C9orf85	100.3028	C9orf85	133.4862
C9orf86	2126.171	C9orf86	1528.8991
C9orf89	508.3245	C9orf89	138.9908
C9orf91	837.7138	C9orf91	590.8257
C9orf93	33.4343	C9orf93	56.422
C9orf95	348.5831	C9orf95	511.0092
C9orf96	12.3831	C9orf96	8.7156
