gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
ACO2	2263.6105	ACO2	3127.6239
ACOT11	42.7215	ACOT11	20.1789
ACOT13	542.1798	ACOT13	663.3349
ACOT1	413.5941	ACOT1	1081.1927
ACOT2	279.8571	ACOT2	722.9358
ACOT4	328.151	ACOT4	177.0642
ACOT6	9.2873	ACOT6	10.5505
ACOT7	477.3669	ACOT7	249.5413
ACOT8	540.5514	ACOT8	196.2706
ACOT9	718.8365	ACOT9	954.5872
ACOX1	1087.8516	ACOX1	2821.1009
ACOX2	814.8052	ACOX2	433.4862
ACOX3	294.7168	ACOX3	386.6972
ACP1	889.1035	ACP1	872.0183
ACP2	1112.6177	ACP2	1170.1835
ACP5	2329.8723	ACP5	2518.3486
ACP6	424.1197	ACP6	128.8991
ACPL2	516.9927	ACPL2	362.844
ACPP	80.4899	ACPP	31.1927
ACRBP	26.0044	ACRBP	62.3853
ACRC	22.2895	ACRC	32.5688
ACR	6.8107	ACR	8.7156
ACSBG1	8.6681	ACSBG1	11.4679
ACSF2	287.9061	ACSF2	1101.8349
ACSF3	355.3938	ACSF3	294.9541
ACSL1	2061.1599	ACSL1	22699.5413
ACSL3	2576.2951	ACSL3	1936.6972
ACSL4	1256.2612	ACSL4	3710.0917
ACSL5	515.7543	ACSL5	1411.0092
ACSM1	24.7661	removed	removed
ACSM3	30.5738	ACSM3	7.4174
ACSM5	16.098	ACSM5	413.3028
ACSS1	1172.0564	ACSS1	345.4128
ACSS2	606.7698	ACSS2	3191.7431
ACSS3	577.6696	ACSS3	795.4128
ACTA1	69.3451	removed	removed
ACTA2	32643.5846	ACTA2	8072.2064
ACTB	135899.1028	ACTB	76888.5321
removed	removed	ACTC1	38.0734
ACTG1	93175.0779	ACTG1	32561.0092
ACTG2	225.9908	ACTG2	707.7982
ACTL6A	1235.8291	ACTL6A	566.5138
ACTL8	22.9087	removed	removed
ACTN1	13567.497	ACTN1	5663.7615
ACTN2	5.5724	ACTN2	7.7982
ACTN4	9598.0088	ACTN4	9597.5092
ACTR10	1725.5791	ACTR10	1064.2202
ACTR1A	3610.2804	ACTR1A	3344.4954
ACTR1B	702.7385	ACTR1B	1275.6881
ACTR2	7641.5848	ACTR2	6901.3761
ACTR3B	99.0645	ACTR3B	66.9725
ACTR3C	44.579	ACTR3C	9.1743
ACTR3	5875.1416	ACTR3	3565.5963
ACTR5	245.8037	ACTR5	144.4954
ACTR6	494.084	ACTR6	366.5138
