gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
ACOT11	18.0565	ACOT11	34.3803
ACOT13	353.1738	ACOT13	575.3154
ACOT1	665.6761	ACOT1	979.7147
ACOT2	475.4829	ACOT2	639.6197
ACOT4	34.4725	ACOT4	121.0777
removed	removed	ACOT6	6.3391
ACOT7	472.5111	ACOT7	174.0095
ACOT8	278.8707	ACOT8	207.2044
ACOT9	363.1501	ACOT9	418.7005
ACOX1	3532.5557	ACOX1	2314.9319
ACOX2	43.0906	ACOX2	356.5769
ACOX3	489.7474	ACOX3	821.5531
ACP1	1842.4963	ACP1	1200.6339
ACP2	440.7132	ACP2	639.9366
ACP5	485.2897	ACP5	453.5658
ACP6	124.5171	ACP6	232.3296
ACPL2	515.899	ACPL2	397.4643
ACPP	30.9064	ACPP	26.3074
ACRBP	18.1278	ACRBP	20.9192
ACRC	22.5854	ACRC	31.6957
removed	removed	ACR	6.3391
removed	removed	ACSBG1	20.2853
ACSF2	758.6924	ACSF2	947.0681
ACSF3	463.0015	ACSF3	288.1141
ACSL1	917.9792	ACSL1	14622.504
ACSL3	6769.688	ACSL3	3197.4643
ACSL4	471.6196	ACSL4	1739.4612
ACSL5	173.8484	ACSL5	857.0523
removed	removed	ACSL6	13.3122
ACSM1	20.208	ACSM1	35.4992
ACSM3	95.156	ACSM3	146.019
ACSM5	9.5097	ACSM5	374.6434
ACSS1	742.3477	ACSS1	956.2599
ACSS2	520.0594	ACSS2	3238.9857
ACSS3	1574.4428	ACSS3	1017.7496
removed	removed	ACTA1	29.1601
ACTA2	3910.4933	ACTA2	20370.0412
ACTB	55202.6746	ACTB	54798.7322
removed	removed	ACTC1	5.3883
ACTG1	81079.3462	ACTG1	39462.1236
ACTG2	211.5899	ACTG2	3068.4628
ACTL6A	1316.1961	ACTL6A	753.0903
ACTL8	117.0877	removed	removed
ACTN1	3716.4933	ACTN1	6165.7686
ACTN2	444.2793	removed	removed
ACTN4	7539.3551	ACTN4	8490.9414
ACTR10	853.4918	ACTR10	1050.0792
ACTR1A	3622.8826	ACTR1A	1874.4849
ACTR1B	1626.4487	ACTR1B	1422.504
ACTR2	7159.8811	ACTR2	4352.1395
ACTR3B	167.6077	ACTR3B	215.8479
ACTR3C	54.0862	ACTR3C	29.477
ACTR3	3217.8306	ACTR3	2158.4786
ACTR5	158.0981	ACTR5	192.71
ACTR6	1042.4963	ACTR6	619.9683
ACTR8	448.4398	ACTR8	628.8431
ACVR1B	1432.3923	ACVR1B	1300.7924
ACVR1C	54.9777	ACVR1C	2882.0919
ACVR1	549.4799	ACVR1	1219.0174
ACVR2A	366.419	ACVR2A	621.87
ACVR2B	687.0728	ACVR2B	625.0396
ACVRL1	323.3284	ACVRL1	1121.0777
ACY1	663.893	ACY1	633.5975
ACY3	5.6464	ACY3	19.9683
ACYP1	48.737	ACYP1	60.8558
ACYP2	67.162	ACYP2	118.225
ADAL	131.055	ADAL	250.3962
ADAM10	1885.2897	ADAM10	2289.065
ADAM11	11.5899	ADAM11	22.504
ADAM12	1468.945	ADAM12	395.8796
ADAM15	2773.5513	ADAM15	2160.0634
ADAM17	769.688	ADAM17	583.2013
ADAM19	923.3284	ADAM19	159.1125
ADAM21	5.052	removed	removed
ADAM22	64.1902	ADAM22	86.8463
ADAM23	10.4012	ADAM23	52.2979
ADAM28	76.3744	ADAM28	99.2076
ADAM2	6.5379	removed	removed
ADAM32	95.6909	ADAM32	43.7401
ADAM33	32.0951	ADAM33	972.3233
ADAM6	20360.4339	ADAM6	126713.4929
ADAM8	1658.5438	ADAM8	68.4628
ADAM9	3459.1382	ADAM9	1436.1331
ADAMDEC1	77.266	removed	removed
ADAMTS10	29.4205	ADAMTS10	122.0285
ADAMTS12	512.0357	ADAMTS12	329.9525
ADAMTS13	37.1471	ADAMTS13	82.4089
ADAMTS14	45.1709	removed	removed
ADAMTS15	260.3269	ADAMTS15	281.458
ADAMTS16	9.5097	ADAMTS16	46.9097
ADAMTS17	15.7504	ADAMTS17	52.2979
ADAMTS18	105.4978	ADAMTS18	42.4723
ADAMTS19	44.8737	ADAMTS19	5.7052
ADAMTS1	657.6523	ADAMTS1	3305.5468
ADAMTS2	268.6478	ADAMTS2	348.9699
ADAMTS3	138.7816	ADAMTS3	78.2884
ADAMTS4	150.0743	ADAMTS4	70.6815
ADAMTS5	260.9212	ADAMTS5	3878.6054
ADAMTS6	24.0713	ADAMTS6	12.3613
ADAMTS7	60.0297	ADAMTS7	55.1506
removed	removed	ADAMTS8	20.2853
ADAMTS9	160.4755	ADAMTS9	593.9778
ADAMTSL1	42.7935	ADAMTSL1	550.8716
ADAMTSL2	43.9822	ADAMTSL2	52.2979
ADAMTSL3	558.3952	ADAMTSL3	330.9033
ADAMTSL4	161.0698	ADAMTSL4	999.3661
ADAMTSL5	28.529	ADAMTSL5	24.0887
ADAP1	324.7192	ADAP1	67.2742
ADAP2	226.1516	ADAP2	106.4976
ADARB1	352.1545	ADARB1	704.5959
ADAR	14551.8574	ADAR	7316.6403
ADAT1	373.5513	ADAT1	296.6719
ADAT2	201.4859	ADAT2	212.9952
ADAT3	12.1842	ADAT3	10.1426
ADA	79.049	ADA	105.2298
ADCK1	108.4695	ADCK1	142.9477
ADCK2	673.6999	ADCK2	616.4818
ADCK4	487.37	ADCK4	439.9366
ADCK5	148.2912	ADCK5	72.2662
ADCY10	27.6374	removed	removed
ADCY1	203.2689	ADCY1	938.1933
ADCY2	21.6939	ADCY2	181.6165
ADCY3	812.6508	ADCY3	1423.3344
ADCY4	95.6909	ADCY4	546.4342
ADCY5	70.4309	ADCY5	561.9651
ADCY6	3120.3566	ADCY6	3282.7258
ADCY7	374.74	ADCY7	479.5563
ADCY9	235.9584	ADCY9	791.1252
ADCYAP1R1	5.052	ADCYAP1R1	131.5372
ADC	50.2229	ADC	149.6038
ADD1	4890.9361	ADD1	7022.8209
ADD2	14.2645	ADD2	62.7575
ADD3	959.2868	ADD3	4103.962
removed	removed	ADH1A	403.7179
ADH1B	319.4651	ADH1B	39890.9667
ADH1C	15.156	ADH1C	419.9683
removed	removed	ADH4	11.4105
ADH5	2383.6553	ADH5	3700.4754
ADHFE1	46.6568	ADHFE1	396.8304
ADI1	1354.2348	ADI1	1204.1204
ADIPOQ	39.5245	ADIPOQ	33263.7084
ADIPOR1	4916.7905	ADIPOR1	2227.8922
ADIPOR2	2916.7905	ADIPOR2	3306.4976
ADK	440.1189	ADK	335.0238
ADM2	123.0312	ADM2	49.4453
ADM	49.6285	ADM	490.3328
ADNP2	1750.6686	ADNP2	916.6403
ADNP	6394.3536	ADNP	3325.1981
ADORA1	79.9406	ADORA1	549.2868
ADORA2A	800.2734	ADORA2A	72.9002
ADORA2B	28.2318	ADORA2B	34.5483
ADORA3	157.8009	ADORA3	47.2266
ADO	955.1263	ADO	620.6022
ADPGK	855.3581	ADPGK	862.6815
ADPRHL1	122.734	ADPRHL1	98.2567
ADPRHL2	616.6419	ADPRHL2	414.897
ADPRH	158.6924	ADPRH	356.8938
removed	removed	ADRA1A	57.3693
ADRA1B	8.0238	ADRA1B	52.2979
ADRA2A	89.4502	ADRA2A	850.0792
ADRA2B	10.6984	ADRA2B	43.7401
ADRA2C	188.7073	ADRA2C	55.7845
removed	removed	ADRB1	57.3693
ADRB2	44.5765	ADRB2	402.2187
ADRBK1	1461.8128	ADRBK1	1432.0127
ADRBK2	991.0847	ADRBK2	2598.0983
ADRM1	1750.3715	ADRM1	742.3138
ADSL	970.2823	ADSL	713.7876
ADSSL1	159.584	ADSSL1	243.4231
ADSS	3406.2407	ADSS	1218.7005
AEBP1	5551.5602	AEBP1	4415.8479
AEBP2	1077.266	AEBP2	833.2805
AEN	613.9673	AEN	345.1664
AES	4976.8202	AES	5970.523
AFAP1L1	139.3759	AFAP1L1	639.6197
AFAP1L2	221.0996	AFAP1L2	948.6529
AFAP1	594.3477	AFAP1	1392.3867
AFF1	1761.0698	AFF1	3751.8225
AFF2	6.8351	AFF2	35.4992
AFF3	657.0579	AFF3	1886.2124
AFF4	4165.2303	AFF4	4284.3106
AFG3L1	282.6152	AFG3L1	233.9144
AFG3L2	3224.8737	AFG3L2	1174.5388
AFMID	468.0535	AFMID	547.7021
AFP	17.5334	AFP	400.317
AFTPH	1900.1486	AFTPH	1778.13
AG2	135.8098	AG2	238.6688
AGAP11	27.0698	AGAP11	278.2979
AGAP1	704.6062	AGAP1	716.9572
AGAP2	281.5988	AGAP2	123.9588
AGAP3	1128.0832	AGAP3	1271.9493
AGAP4	130.7578	AGAP4	236.767
AGAP5	16.6865	AGAP5	88.954
AGAP6	98.3655	AGAP6	108.7163
AGAP7	5.052	AGAP7	7.607
AGAP8	68.945	AGAP8	56.1014
AGA	202.6746	AGA	408.5578
AGBL2	34.4725	AGBL2	19.6513
AGBL4	6.5379	AGBL4	6.9731
AGBL5	283.2155	AGBL5	766.1014
AGER	39.5245	AGER	52.2979
AGFG1	1832.3923	AGFG1	1859.271
AGFG2	219.9108	AGFG2	509.9842
AGGF1	1156.0178	AGGF1	928.3677
AGK	884.9926	AGK	533.439
AGL	21326.003	AGL	1613.3122
AGMAT	46.3596	AGMAT	12.6783
AGPAT1	1531.8128	AGPAT1	1587.1569
AGPAT2	860.9212	AGPAT2	3369.8891
AGPAT3	2023.477	AGPAT3	1723.9303
AGPAT4	70.4309	AGPAT4	281.775
AGPAT5	1095.3938	AGPAT5	623.4548
AGPAT6	1557.8009	AGPAT6	1646.5927
AGPAT9	65.6761	AGPAT9	856.4184
AGPHD1	33.581	AGPHD1	79.8732
AGPS	591.679	AGPS	1342.6307
AGR2	829.4205	AGR2	1440.2536
AGR3	25.26	AGR3	150.8716
AGRN	1513.8187	AGRN	2735.3407
AGTPBP1	252.8975	AGTPBP1	446.9097
AGTR1	167.6077	AGTR1	446.2758
AGTRAP	367.9049	AGTRAP	402.8526
AGT	5.9435	AGT	106.8146
AGXT2L1	21.9911	removed	removed
AGXT2L2	322.3031	AGXT2L2	626.7448
removed	removed	AGXT	13.9461
AHCTF1	5966.1218	AHCTF1	1916.9572
AHCYL1	3374.74	AHCYL1	4129.0016
AHCYL2	863.2987	AHCYL2	701.1094
AHCY	5650.8172	AHCY	2450.7132
AHDC1	275.4829	AHDC1	1001.2678
AHI1	520.3566	AHI1	540.412
AHNAK2	273.4027	AHNAK2	1615.8479
AHNAK	25975.3343	AHNAK	115248.1775
AHRR	112.0357	AHRR	51.0301
AHR	861.8128	AHR	2727.4168
AHSA1	2176.8202	AHSA1	1188.2726
AHSA2	173.8484	AHSA2	583.2013
AIDA	900.8143	AIDA	1262.1458
AIF1L	4610.104	AIF1L	2069.4136
AIF1	217.8306	AIF1	174.6434
AIFM1	1327.786	AIFM1	653.5658
AIFM2	217.8306	AIFM2	1350.8716
AIFM3	20.1278	AIFM3	7.607
AIG1	1824.6657	AIG1	887.7971
AIM1L	20.5052	removed	removed
AIM1	1882.0208	AIM1	2721.3946
AIM2	5.052	AIM2	8.2409
AIMP1	1264.1902	AIMP1	1239.9113
AIMP2	405.4799	AIMP2	189.3819
AIP	306.6865	AIP	676.3867
removed	removed	AJAP1	20.6022
AK1	287.9643	AK1	370.523
AK2	1254.6805	AK2	1930.9033
AK3L1	645.1709	AK3L1	582.5674
AK3	1410.104	AK3	2413.9461
AK5	171.1738	AK5	1141.9968
AK7	14.2645	AK7	34.5483
AKAP10	678.1575	AKAP10	647.8605
AKAP11	2387.8158	AKAP11	3038.3518
AKAP12	492.7192	AKAP12	5019.6513
AKAP13	3259.7325	AKAP13	5316.3233
