gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
C6orf203	453.789	C6orf203	210.4596
C6orf204	64.1902	C6orf204	100.4754
removed	removed	C6orf208	6.3613
C6orf211	8495.0966	C6orf211	944.5325
C6orf217	5.6464	C6orf217	9.8257
C6orf225	59.1382	C6orf225	208.2409
C6orf226	27.0431	C6orf226	44.0571
C6orf26	26.6508	C6orf26	28.4691
C6orf27	61.8128	C6orf27	29.1601
C6orf35	312.3328	C6orf35	395.8796
removed	removed	C6orf41	8.8748
C6orf47	733.1352	C6orf47	526.4659
C6orf48	1238.633	C6orf48	1379.0808
removed	removed	C6orf52	5.7052
C6orf57	82.9123	C6orf57	126.7829
removed	removed	C6orf59	5.7052
C6orf62	2162.4279	C6orf62	3416.7607
C6orf64	559.8811	C6orf64	683.3597
C6orf70	160.4755	C6orf70	405.7052
C6orf72	1182.4666	C6orf72	947.7021
C6orf89	2167.3105	C6orf89	4061.8067
C6orf97	1975.0371	C6orf97	513.7876
removed	removed	C6	299.5246
C7orf10	31.5007	C7orf10	45.3249
C7orf11	279.3462	C7orf11	218.3835
C7orf13	39.2273	C7orf13	134.3899
C7orf23	191.578	C7orf23	355.4675
C7orf25	209.6374	C7orf25	283.3597
C7orf26	523.0312	C7orf26	504.5959
C7orf27	679.6434	C7orf27	581.6165
C7orf28A	848.737	C7orf28A	560.3803
C7orf28B	858.841	C7orf28B	601.5848
C7orf29	51.4116	C7orf29	111.5689
C7orf30	238.3358	C7orf30	245.0079
C7orf31	46.9539	C7orf31	176.5452
C7orf36	157.5037	C7orf36	194.6117
C7orf40	370.8767	C7orf40	266.6086
C7orf41	517.0877	C7orf41	4964.5008
C7orf42	2317.682	C7orf42	3238.9857
C7orf43	456.7608	C7orf43	161.6482
C7orf44	783.3581	C7orf44	625.6735
C7orf46	50.5201	C7orf46	113.1537
C7orf47	145.3195	C7orf47	93.8193
C7orf49	512.3358	C7orf49	571.2583
C7orf50	499.8514	C7orf50	403.8035
C7orf51	9.2125	C7orf51	26.9414
C7orf53	18.425	C7orf53	17.1157
C7orf55	107.4413	C7orf55	193.9778
C7orf58	143.5364	C7orf58	2180.0317
C7orf59	643.3878	C7orf59	588.5895
C7orf60	257.3551	C7orf60	388.5895
C7orf63	62.7043	C7orf63	179.7147
C7orf64	282.0208	C7orf64	342.6307
C7orf68	281.7236	C7orf68	465.2932
C7orf70	431.7979	C7orf70	369.5721
C7	284.3982	C7	1345.4834
C8orf30A	1529.2719	C8orf30A	312.2029
C8orf31	5.6464	C8orf31	13.6292
C8orf33	2149.7771	C8orf33	1067.5119
C8orf34	15.156	C8orf34	67.5119
C8orf37	84.9926	C8orf37	140.729
C8orf38	746.211	C8orf38	172.1078
C8orf39	10.4012	C8orf39	5.0713
C8orf40	453.4918	C8orf40	587.3217
C8orf41	422.9866	C8orf41	208.5166
C8orf42	340.5646	C8orf42	466.878
C8orf44	16.5825	C8orf44	36.2821
C8orf45	32.6895	C8orf45	56.4184
removed	removed	C8orf46	26.9414
removed	removed	C8orf47	15.5309
C8orf48	34.4725	C8orf48	35.8162
C8orf4	1158.9896	C8orf4	839.6197
C8orf51	117.0877	C8orf51	35.1823
C8orf55	2271.6196	C8orf55	500.1585
C8orf58	131.3522	C8orf58	247.2266
C8orf59	469.1679	C8orf59	444.4501
C8orf73	54.6805	C8orf73	53.8827
C8orf76	791.0847	C8orf76	208.2599
C8orf79	78.4547	C8orf79	358.4786
C8orf80	7.1322	C8orf80	31.0618
C8orf83	931.6493	C8orf83	742.3138
C8orf84	40.416	C8orf84	157.5277
C8orf85	2440.1189	C8orf85	259.588
C8orf86	5.052	removed	removed
C9orf100	302.0773	C9orf100	33.683
C9orf102	201.3314	C9orf102	282.9414
C9orf103	43.9822	C9orf103	112.8368
C9orf106	5.052	removed	removed
C9orf109	12.1842	C9orf109	28.5261
C9orf110	107.8752	C9orf110	260.2219
C9orf114	791.4502	C9orf114	456.9287
C9orf116	114.1159	C9orf116	27.8922
C9orf117	16.0475	C9orf117	5.7052
C9orf119	210.9955	C9orf119	258.954
C9orf122	30.312	C9orf122	23.7718
C9orf123	560.4755	C9orf123	558.4786
C9orf125	24.0713	C9orf125	161.6482
C9orf128	21.6939	C9orf128	9.1918
C9orf129	114.0743	C9orf129	113.5975
C9orf130	38.4398	C9orf130	152.4216
C9orf140	1942.6449	C9orf140	109.3502
C9orf142	430.9064	C9orf142	150.2377
C9orf150	400.5944	C9orf150	536.2916
C9orf152	903.4175	C9orf152	482.0919
C9orf156	200.5944	C9orf156	307.4485
C9orf163	33.2838	C9orf163	10.1426
C9orf167	52.6003	C9orf167	66.878
C9orf169	82.3715	removed	removed
C9orf16	371.7682	C9orf16	294.4532
C9orf172	36.5527	removed	removed
C9orf173	6.2407	removed	removed
C9orf21	67.162	C9orf21	225.3566
C9orf23	372.6597	C9orf23	300.1585
removed	removed	C9orf24	7.607
C9orf25	302.526	C9orf25	473.851
C9orf30	115.9227	C9orf30	162.8843
C9orf37	142.6449	C9orf37	113.4707
C9orf3	102.2169	C9orf3	365.1601
C9orf40	89.4502	C9orf40	107.7655
C9orf41	485.2897	C9orf41	195.2456
C9orf43	5.9435	C9orf43	12.6783
C9orf45	81.1293	C9orf45	227.8922
C9orf46	731.3522	C9orf46	317.5911
C9orf47	20.523	C9orf47	10.4659
removed	removed	C9orf4	5.0713
C9orf5	2074.2942	C9orf5	4688.748
C9orf64	370.5795	C9orf64	406.6561
removed	removed	C9orf66	36.1331
C9orf68	19.0193	C9orf68	92.2345
C9orf69	479.6434	C9orf69	549.6038
C9orf6	409.2125	C9orf6	427.5753
C9orf72	283.5067	C9orf72	442.4723
C9orf78	950.6686	C9orf78	1093.5024
C9orf7	643.685	C9orf7	326.4659
C9orf80	290.3418	C9orf80	304.5959
C9orf82	511.1441	C9orf82	333.122
C9orf85	113.5215	C9orf85	166.4025
C9orf86	3277.5632	C9orf86	1251.664
C9orf89	127.4889	C9orf89	156.5769
C9orf91	1189.0045	C9orf91	764.5008
C9orf93	38.9302	C9orf93	110.935
C9orf95	183.0609	C9orf95	526.149
removed	removed	C9orf96	12.9952
C9orf98	31.5007	C9orf98	28.2092
C9orf9	38.3358	C9orf9	156.2599
CA11	48.1426	CA11	203.1696
CA12	6019.0193	CA12	1848.4945
CA13	18.1278	CA13	111.2298
CA14	14.8588	CA14	19.6513
CA2	56.4636	CA2	161.6482
removed	removed	CA3	793.683
removed	removed	CA4	367.0365
CA5BP	141.7533	CA5BP	195.5626
CA5B	230.9212	CA5B	520.9097
removed	removed	CA6	46.5927
CA8	117.682	CA8	261.8067
CAB39L	2475.4829	CAB39L	2328.0507
CAB39	1994.948	CAB39	2160.0634
CABC1	1751.4621	CABC1	3184.5135
CABIN1	2107.8752	CABIN1	1415.2139
CABLES1	631.5007	CABLES1	1360.0634
CABLES2	384.2496	CABLES2	195.5626
removed	removed	CABP1	30.7448
CABP4	12.4814	CABP4	22.1078
CABYR	44.2793	CABYR	108.0824
CACHD1	339.6731	CACHD1	1428.2092
CACNA1A	10.9955	CACNA1A	28.8431
CACNA1C	148.8856	CACNA1C	738.9255
CACNA1D	80.2377	CACNA1D	329.3185
CACNA1F	5.6464	CACNA1F	22.8209
CACNA1G	31.2036	CACNA1G	53.2488
CACNA1H	52.3031	CACNA1H	121.3946
CACNA1I	19.0193	CACNA1I	23.4548
CACNA2D1	75.4829	CACNA2D1	290.3328
CACNA2D2	41.6048	CACNA2D2	202.5357
removed	removed	CACNA2D3	21.2361
CACNA2D4	35.9584	CACNA2D4	91.9176
CACNB1	387.8158	CACNB1	110.6181
CACNB2	9.8068	CACNB2	31.6957
CACNB3	1027.3403	CACNB3	280.1902
CACNB4	477.266	CACNB4	228.8431
CACNG1	214.2645	removed	removed
CACNG4	2452.0059	CACNG4	329.3185
CACYBP	2928.3804	CACYBP	1202.2187
CADM1	163.4473	CADM1	923.6133
CADM2	10.6984	CADM2	77.0206
CADM3	23.581	CADM3	377.4929
CADM4	149.1828	CADM4	447.8605
CADPS2	322.1397	CADPS2	1021.2361
CAD	1598.5141	CAD	1319.8098
CALB2	72.214	CALB2	1022.504
CALCOCO1	1662.11	CALCOCO1	3163.233
CALCOCO2	3385.7355	CALCOCO2	3466.561
CALCRL	323.9227	CALCRL	1671.9493
removed	removed	CALCR	12.0444
CALD1	4313.8187	CALD1	10412.9952
CALHM2	489.153	CALHM2	737.2425
CALM1	7603.5661	CALM1	7306.8146
CALM2	9224.3685	CALM2	8668.7797
CALM3	5987.2214	CALM3	3947.3851
CALML3	13.373	CALML3	69.4136
CALML4	257.3551	CALML4	312.5198
CALML5	17.8306	CALML5	64.0254
removed	removed	CALN1	10.4596
CALR	7905.2006	CALR	6656.7353
CALU	3927.786	CALU	2557.2108
CAMK1D	158.6924	CAMK1D	86.5293
CAMK1G	8.0238	removed	removed
CAMK1	79.6166	CAMK1	552.4152
CAMK2A	5.052	removed	removed
CAMK2B	59.4354	CAMK2B	68.7797
CAMK2D	400	CAMK2D	1265.9271
CAMK2G	397.0282	CAMK2G	825.3566
CAMK2N1	1899.5542	CAMK2N1	1104.2789
CAMK2N2	23.477	removed	removed
CAMK4	14.5617	CAMK4	13.6292
CAMKK1	290.9361	CAMKK1	332.8051
CAMKK2	2454.6805	CAMKK2	1945.8003
CAMLG	743.8336	CAMLG	970.206
CAMP	32.3923	removed	removed
CAMSAP1L1	1398.8113	CAMSAP1L1	1687.4802
CAMSAP1	1098.6627	CAMSAP1	1054.1997
CAMTA1	172.6597	CAMTA1	442.7892
CAMTA2	1070.4309	CAMTA2	1471.3154
CAND1	6673.997	CAND1	2851.664
CAND2	51.1144	CAND2	167.6704
CANT1	12678.1575	CANT1	1518.225
CANX	22695.9881	CANX	16045.9588
CAP1	7292.1248	CAP1	5327.7338
CAP2	79.3462	CAP2	755.309
CAPG	3225.5572	CAPG	1166.0856
CAPN10	153.7623	CAPN10	197.1442
CAPN11	8.6181	CAPN11	99.5246
CAPN12	42.2199	CAPN12	92.5769
CAPN13	260.9212	CAPN13	230.4279
CAPN1	3197.3254	CAPN1	2603.4865
CAPN2	1961.367	CAPN2	5199.3661
CAPN3	18.7221	CAPN3	218.2441
CAPN5	923.3284	CAPN5	305.2298
CAPN6	84.9926	CAPN6	1432.6466
CAPN7	1789.896	CAPN7	1227.8922
CAPN8	14.8588	CAPN8	128.3677
CAPN9	136.107	CAPN9	7.607
CAPNS1	7882.318	CAPNS1	4770.523
CAPRIN1	8654.9777	CAPRIN1	6119.8098
CAPRIN2	203.8633	CAPRIN2	440.5705
CAPS2	19.3165	CAPS2	97.6228
CAPSL	5.6464	removed	removed
CAPS	79.3462	CAPS	88.748
CAPZA1	5036.5498	CAPZA1	1953.0903
CAPZA2	2365.8247	CAPZA2	2019.3344
removed	removed	CAPZA3	6.6561
CAPZB	2641.6048	CAPZB	3317.5911
CARD10	346.5082	CARD10	574.4374
CARD11	82.0208	CARD11	91.2837
CARD14	432.9866	CARD14	187.0048
CARD16	54.0862	CARD16	123.9303
CARD6	94.7994	CARD6	354.3582
CARD8	339.3759	CARD8	816.1648
CARD9	69.8366	CARD9	41.8384
CARHSP1	985.3938	CARHSP1	1121.2456
CARKD	1484.3982	CARKD	1070.6815
CARM1	1029.4205	CARM1	640.5705
CARNS1	15.4532	CARNS1	31.0618
CARS2	678.3834	CARS2	489.7971
CARS	1489.4502	CARS	662.7512
CASC1	30.6092	CASC1	33.9144
CASC2	30.312	CASC2	45.9588
CASC3	8665.9733	CASC3	3288.1141
CASC4	4107.8752	CASC4	3036.4501
CASC5	526.5973	CASC5	13.9461
CASD1	550.9658	CASD1	788.2726
CASKIN1	69.3938	CASKIN1	10.7924
CASKIN2	655.7504	CASKIN2	899.5689
CASK	1122.1397	CASK	1202.2187
CASP10	189.896	CASP10	370.523
removed	removed	CASP12	12.0444
CASP14	65.3789	removed	removed
CASP1	176.8202	CASP1	509.9842
CASP2	1313.8187	CASP2	956.8938
CASP3	676.0773	CASP3	490.0158
CASP4	516.7905	CASP4	765.1347
CASP6	632.9866	CASP6	278.6054
CASP7	1426.1516	CASP7	725.1981
CASP8AP2	912.63	CASP8AP2	814.897
CASP8	963.7444	CASP8	517.9081
CASP9	173.8484	CASP9	253.8827
CASQ1	26.7459	CASQ1	34.2314
CASQ2	7.4294	CASQ2	316.0063
CASS4	15.7504	CASS4	15.2139
CAST	2295.8128	CAST	6021.6672
CASZ1	830.6092	CASZ1	956.2599
CATSPER2P1	14.627	CATSPER2P1	29.5848
CATSPER2	18.7221	CATSPER2	55.4675
CATSPER3	16.9391	CATSPER3	6.3391
CATSPERB	59.7325	CATSPERB	32.3296
CATSPERG	31.7979	CATSPERG	26.6244
CAT	1596.1367	CAT	7320.7607
CAV1	893.6107	CAV1	13136.9255
CAV2	390.4903	CAV2	4483.3597
CBARA1	891.8276	CBARA1	1107.1315
CBFA2T2	608.9153	CBFA2T2	1200.317
CBFA2T3	137.5929	CBFA2T3	255.1506
CBFB	1079.6434	CBFB	833.9144
CBLB	422.2883	CBLB	669.0967
CBLC	276.9688	CBLC	116.9572
CBLL1	885.2897	CBLL1	887.4802
removed	removed	CBLN1	23.4548
CBLN2	259.7325	removed	removed
CBLN3	39.2273	CBLN3	120.4437
removed	removed	CBLN4	15.8479
CBL	640.416	CBL	1365.1347
CBR1	351.7831	CBR1	721.1062
CBR3	198.5141	CBR3	270.9984
CBR4	257.3551	CBR4	638.0349
CBS	441.9019	CBS	75.7528
CBWD1	742.3477	CBWD1	529.9525
CBWD2	532.838	CBWD2	598.7322
CBWD3	923.6256	CBWD3	278.2884
CBWD6	110.847	CBWD6	173.6926
CBX1	1630.312	CBX1	1413.9461
CBX2	116.1961	CBX2	70.0475
CBX3	3989.0045	CBX3	2492.2345
CBX4	755.7207	CBX4	318.225
CBX5	4777.7117	CBX5	3884.3106
CBX6	459.4354	CBX6	999.683
CBX7	435.9584	CBX7	2938.5103
CBX8	205.6464	CBX8	67.5119
CBY1	400.3358	CBY1	500.6086
CC2D1A	604.7548	CC2D1A	705.8637
CC2D1B	630.9064	CC2D1B	717.5911
CC2D2A	210.9955	CC2D2A	602.2187
removed	removed	CC2D2B	7.29
CCAR1	1898.3655	CCAR1	1135.0238
CCBE1	10.4012	CCBE1	89.6989
CCBL1	43.685	CCBL1	111.5689
CCBL2	730.2169	CCBL2	798.8082
CCBP2	28.8262	CCBP2	127.7338
CCDC101	149.4799	CCDC101	281.775
CCDC102A	73.1055	CCDC102A	141.6799
CCDC102B	80.8321	CCDC102B	88.4311
CCDC103	49.3314	CCDC103	107.4485
CCDC104	715.0074	CCDC104	764.1838
CCDC106	284.6954	CCDC106	166.7195
CCDC107	112.7816	CCDC107	367.2678
CCDC109A	645.7652	CCDC109A	345.1664
CCDC109B	336.4042	CCDC109B	175.2773
CCDC110	55.8692	CCDC110	65.9271
CCDC111	124.0951	CCDC111	364.7227
CCDC112	181.8722	CCDC112	229.1601
CCDC113	299.5542	CCDC113	273.2171
CCDC114	32.0951	CCDC114	17.1157
CCDC115	605.6464	CCDC115	938.5103
removed	removed	CCDC116	6.9731
CCDC117	1016.3447	CCDC117	959.7464
CCDC11	20.208	CCDC11	12.9952
CCDC120	303.4175	CCDC120	369.5721
CCDC121	97.1768	CCDC121	219.3344
CCDC122	98.6627	CCDC122	126.7829
CCDC123	526.003	CCDC123	477.6545
CCDC124	293.3135	CCDC124	287.7971
CCDC125	859.4354	CCDC125	525.5151
CCDC126	191.0847	CCDC126	309.3502
CCDC127	392.2734	CCDC127	395.8796
CCDC129	7.7266	CCDC129	53.8827
CCDC12	306.9837	CCDC12	293.8193
CCDC130	190.1932	CCDC130	296.355
CCDC132	525.4086	CCDC132	587.9556
CCDC134	45.4681	CCDC134	65.6101
CCDC136	12.7786	CCDC136	61.4897
CCDC137	721.2481	CCDC137	211.7274
CCDC138	75.7801	CCDC138	48.8114
CCDC13	10.6984	CCDC13	6.0222
CCDC141	8.321	CCDC141	30.7448
CCDC142	193.1649	CCDC142	112.4374
CCDC144A	6.5379	CCDC144A	30.4976
CCDC144B	14.5468	CCDC144B	91.3978
CCDC144NL	5.052	removed	removed
CCDC146	55.2749	CCDC146	202.5357
CCDC147	5.3492	CCDC147	12.9952
CCDC148	9.8068	CCDC148	31.0618
CCDC149	545.0223	CCDC149	667.1949
CCDC14	1228.8262	CCDC14	1466.561
CCDC150	30.312	CCDC150	5.7052
CCDC151	13.6701	removed	removed
CCDC152	206.4577	CCDC152	191.2837
removed	removed	CCDC153	5.0713
CCDC157	14.5914	CCDC157	19.9905
removed	removed	CCDC158	74.168
CCDC159	65.3789	CCDC159	146.1173
CCDC15	20.8024	CCDC15	100.7924
CCDC160	29.4205	CCDC160	45.6418
CCDC163P	17.8306	CCDC163P	31.0618
removed	removed	CCDC17	20.2853
removed	removed	CCDC18	67.5119
CCDC19	234.7697	CCDC19	9.8257
CCDC21	335.2155	CCDC21	252.9319
CCDC22	362.0386	CCDC22	357.5468
CCDC23	159.2868	CCDC23	282.7258
CCDC24	186.8737	CCDC24	128.9857
CCDC25	1070.1337	CCDC25	1237.084
CCDC28A	378.0089	CCDC28A	460.2219
CCDC28B	32.3923	CCDC28B	44.691
CCDC30	76.6716	CCDC30	109.6672
CCDC34	585.1412	CCDC34	377.1791
CCDC36	13.373	CCDC36	103.962
CCDC39	30.9064	CCDC39	37.7496
CCDC3	101.3373	CCDC3	696.6719
CCDC40	65.0817	CCDC40	66.878
CCDC41	336.9985	CCDC41	228.5261
CCDC43	380.6835	CCDC43	353.7242
CCDC45	461.2184	CCDC45	634.5483
CCDC46	67.4591	CCDC46	348.2536
CCDC47	3080.5349	CCDC47	3079.5563
CCDC48	96.5825	CCDC48	89.6989
CCDC50	1163.1501	CCDC50	3782.2504
CCDC51	652.6003	CCDC51	188.5895
CCDC52	748.5884	CCDC52	460.5388
CCDC53	510.2526	CCDC53	371.1569
CCDC55	1248.737	CCDC55	927.0998
CCDC56	500.3893	CCDC56	629.9715
CCDC57	372.3626	CCDC57	431.6957
CCDC58	252.0059	CCDC58	131.5372
CCDC59	732.5409	CCDC59	496.355
CCDC61	58.5438	CCDC61	126.7829
CCDC64B	266.8648	CCDC64B	237.084
CCDC64	217.2363	CCDC64	41.5214
CCDC65	15.4532	CCDC65	19.9683
CCDC66	267.6256	CCDC66	468.4025
CCDC68	54.3834	CCDC68	116.3233
CCDC69	328.9747	CCDC69	3223.7718
CCDC6	3389.0045	CCDC6	2442.4723
CCDC71	604.7548	CCDC71	512.8368
CCDC72	1296.8796	CCDC72	677.3376
CCDC73	28.0446	CCDC73	42.6276
CCDC74A	164.9331	CCDC74A	158.4786
CCDC74B	91.8276	CCDC74B	77.6545
CCDC75	84.6954	CCDC75	228.8431
CCDC76	256.6211	CCDC76	343.9905
CCDC77	267.7563	CCDC77	159.4295
CCDC78	245.4681	CCDC78	8.2409
CCDC7	19.266	CCDC7	43.7401
CCDC80	1876.9688	CCDC80	8792.0761
CCDC81	7.4294	removed	removed
CCDC82	114.4131	CCDC82	624.7227
CCDC83	10.4012	removed	removed
CCDC84	34.1753	CCDC84	85.8954
CCDC85A	27.6374	CCDC85A	232.2884
CCDC85B	96.8796	CCDC85B	79.8732
CCDC85C	1248.6092	CCDC85C	591.4358
CCDC86	427.0253	CCDC86	376.5261
CCDC87	51.7088	CCDC87	16.1648
CCDC88A	355.1263	CCDC88A	1061.1727
CCDC88B	71.0253	CCDC88B	136.6086
CCDC88C	1706.9837	CCDC88C	939.1442
CCDC89	155.1263	CCDC89	58.6371
CCDC8	210.104	CCDC8	1311.252
CCDC90A	521.8425	CCDC90A	296.9889
CCDC90B	538.737	CCDC90B	731.5214
CCDC91	1022.2883	CCDC91	633.2805
CCDC92	227.3403	CCDC92	1021.87
CCDC93	523.6256	CCDC93	1327.4168
CCDC94	334.9183	CCDC94	291.9176
CCDC96	50.8172	CCDC96	55.1506
CCDC97	988.7073	CCDC97	966.0856
CCDC99	420.8024	CCDC99	188.9065
CCDC9	277.266	CCDC9	233.9144
CCHCR1	304.6062	CCHCR1	335.0238
CCL13	26.1516	CCL13	26.6244
CCL14	110.844	CCL14	1809.4834
removed	removed	CCL16	6.6561
CCL17	16.3447	removed	removed
CCL18	77.5632	CCL18	6.0222
CCL19	358.9896	CCL19	58.954
CCL20	12.4814	removed	removed
CCL21	548.5884	CCL21	3787.3217
CCL22	83.5067	CCL22	65.2932
CCL28	322.734	CCL28	1219.9683
CCL2	307.8752	CCL2	594.2948
CCL3L1	30.8678	CCL3L1	8.5135
CCL3	136.107	CCL3	62.1236
CCL4L2	78.1575	CCL4L2	30.1109
CCL4	95.9881	CCL4	62.1236
CCL5	329.5691	CCL5	330.2694
CCL8	39.5245	CCL8	144.5325
CCM2	607.1322	CCM2	664.0254
removed	removed	CCNA1	6.3391
CCNA2	1672.8024	CCNA2	42.0444
CCNB1IP1	680.2377	CCNB1IP1	933.439
CCNB1	2273.1055	CCNB1	161.6482
CCNB2	988.1129	CCNB2	17.7496
CCNB3	21.0996	CCNB3	20.9192
CCNC	1041.0104	CCNC	1098.8906
CCND1	14680.0802	CCND1	3563.645
CCND2	392.5706	CCND2	1246.9097
CCND3	1131.6493	CCND3	1643.1062
CCNDBP1	742.6449	CCNDBP1	1345.8003
CCNE1	502.8232	CCNE1	23.7718
CCNE2	555.584	CCNE2	36.4247
CCNF	1572.9569	CCNF	244.374
CCNG1	1680.2377	CCNG1	3271.9493
CCNG2	3774.74	CCNG2	3366.7195
CCNH	483.3551	CCNH	598.5705
removed	removed	CCNI2	12.9319
CCNI	5045.4681	CCNI	8329.0016
CCNJL	24.0713	CCNJL	76.3867
CCNJ	247.8455	CCNJ	190.4913
CCNK	935.0461	CCNK	778.4532
CCNL1	1409.2125	CCNL1	1989.5404
CCNL2	605.6464	CCNL2	2043.7401
removed	removed	CCNO	20.2853
CCNT1	405.052	CCNT1	371.1569
CCNT2	986.9242	CCNT2	1162.916
CCNYL1	234.4725	CCNYL1	353.0903
CCNY	1677.8603	CCNY	1914.4216
CCPG1	1976.2556	CCPG1	2525.2425
removed	removed	CCR10	18.7005
CCR1	143.8336	CCR1	87.1632
CCR2	109.9554	CCR2	194.9287
CCR4	41.3076	removed	removed
CCR5	168.7964	CCR5	136.2916
CCR6	43.6612	CCR6	111.6799
CCR7	115.899	CCR7	27.5753
CCR8	25.26	removed	removed
CCRL1	24.0713	CCRL1	164.1838
CCRL2	44.8737	CCRL2	58.3201
CCRN4L	212.1842	CCRN4L	89.3819
CCS	420.5052	CCS	309.9842
CCT2	10087.6672	CCT2	2108.7163
CCT3	15929.8663	CCT3	4193.6609
CCT4	5454.9777	CCT4	3453.2488
CCT5	8158.3952	CCT5	2702.3772
CCT6A	5698.9599	CCT6A	2459.588
CCT6B	357.5037	CCT6B	97.9398
CCT6P1	106.0921	CCT6P1	80.5071
CCT7	6572.9569	CCT7	3364.1838
CCT8	5676.9688	CCT8	2714.7385
CD101	50.8172	CD101	35.4992
CD109	472.214	CD109	1241.5214
CD14	544.7251	CD14	848.8114
CD151	4922.734	CD151	5085.5784
CD160	16.0475	CD160	21.2361
CD163L1	109.0639	CD163L1	128.3677
CD163	403.8633	CD163	299.5246
CD164L2	5.6464	CD164L2	54.5166
CD164	10142.6449	CD164	11152.4564
CD180	109.0639	CD180	78.9223
CD19	11.5899	removed	removed
CD1A	28.8262	removed	removed
CD1B	7.7266	removed	removed
CD1C	54.6805	CD1C	54.1997
CD1D	17.5334	CD1D	20.6022
CD1E	60.3269	CD1E	12.9952
CD200R1	23.7741	CD200R1	51.3471
CD200	137.5929	CD200	496.6719
CD207	26.7459	CD207	8.2409
CD209	64.4874	CD209	166.7195
CD226	25.5572	CD226	40.5705
CD22	58.2467	CD22	62.1236
CD244	11.5899	CD244	15.2139
CD247	73.4027	CD247	127.7338
CD248	627.6374	CD248	1961.6482
CD24	159557.2065	CD24	6215.8479
CD274	21.9911	CD274	35.8162
CD276	2223.1798	CD276	1277.0206
CD27	90.0535	CD27	163.8954
CD28	68.6478	CD28	37.401
CD2AP	2862.11	CD2AP	1554.9921
CD2BP2	1712.63	CD2BP2	978.7639
CD2	198.2169	CD2	224.7227
CD300A	103.1204	CD300A	96.038
CD300C	16.9391	CD300C	10.4596
CD300LB	25.5572	CD300LB	5.7052
CD300LF	26.7459	CD300LF	9.8257
CD300LG	52.6003	CD300LG	1759.4295
CD302	519.3195	CD302	3133.439
CD320	412.7786	CD320	441.2044
CD33	28.529	CD33	50.7132
CD34	732.5409	CD34	4754.0412
CD36	499.5542	CD36	31168.3043
CD37	191.0847	CD37	161.3312
CD38	24.9629	CD38	58.6371
CD3D	61.5156	CD3D	69.4136
CD3EAP	500.9985	CD3EAP	453.5658
CD3E	174.4428	CD3E	226.9414
CD3G	28.8262	CD3G	40.2536
CD40LG	19.6137	CD40LG	61.1727
CD40	125.4086	CD40	366.0856
CD44	4572.0654	CD44	9204.4374
CD46	10797.3254	CD46	6729.0016
CD47	2336.7013	CD47	3386.6878
CD48	192.2734	CD48	222.8209
CD4	843.0906	CD4	660.5388
CD52	214.5617	CD52	130.5864
CD53	484.3982	CD53	389.2235
CD55	1416.6419	CD55	1755.626
CD58	103.1204	CD58	228.5261
CD59	4939.0788	CD59	18267.8288
CD5	104.6062	CD5	86.2124
CD63	10883.8039	CD63	7463.3914
CD68	1314.7103	CD68	1017.7496
CD69	125.4086	CD69	163.5499
CD6	82.0208	CD6	115.6894
CD72	19.9108	CD72	20.9192
CD74	22238.0386	CD74	16818.3835
CD79A	128.6776	CD79A	374.0095
CD79B	43.685	CD79B	75.7528
CD7	19.6137	CD7	25.9905
CD80	12.1842	removed	removed
CD81	6468.945	CD81	13312.5198
CD82	479.049	CD82	1228.5261
CD83	301.0401	CD83	282.4089
CD84	90.0446	CD84	70.0475
CD86	134.9183	CD86	59.588
CD8A	150.6686	CD8A	132.8051
CD8B	26.7459	CD8B	45.9588
CD93	947.1025	CD93	2651.981
CD96	109.9554	CD96	192.0761
CD97	367.9049	CD97	665.9271
CD99L2	529.5691	CD99L2	2005.0713
CD99	644.8737	CD99	1394.6117
CD9	5101.9316	CD9	4547.0681
CDADC1	158.9896	CDADC1	271.6323
CDAN1	347.3997	CDAN1	367.6704
CDA	8.9153	removed	removed
CDC123	1017.4116	CDC123	664.8811
CDC14A	151.8574	CDC14A	401.2678
CDC14B	137.5929	CDC14B	1178.4469
removed	removed	CDC14C	13.9461
CDC16	1569.0936	CDC16	1664.6593
CDC20	959.584	CDC20	19.6513
CDC23	1004.4577	CDC23	849.4453
CDC25A	820.5052	CDC25A	34.5483
CDC25B	791.0847	CDC25B	619.6513
CDC25C	190.1932	removed	removed
CDC26	79.3462	CDC26	100.3106
CDC27	1121.8425	CDC27	1709.6672
CDC34	623.7741	CDC34	432.0127
CDC37L1	287.0728	CDC37L1	399.0491
CDC37	2532.838	CDC37	2035.8162
CDC40	1476.3744	CDC40	859.588
CDC42BPA	1862.7043	CDC42BPA	2546.7512
CDC42BPB	3482.9123	CDC42BPB	3886.5293
CDC42BPG	293.0163	CDC42BPG	555.626
CDC42EP1	1773.8484	CDC42EP1	1228.2092
CDC42EP2	236.5527	CDC42EP2	607.607
CDC42EP3	221.6939	CDC42EP3	993.0269
CDC42EP4	3491.2333	CDC42EP4	2375.5943
CDC42EP5	38.633	CDC42EP5	62.1236
CDC42SE1	4719.8336	CDC42SE1	2607.3471
CDC42SE2	1348.2912	CDC42SE2	1584.1521
CDC42	4162.5557	CDC42	4533.122
CDC45	440.416	CDC45	6.0222
CDC5L	1328.0832	CDC5L	1215.2139
CDC6	3495.0966	CDC6	60.2219
CDC73	1731.9465	CDC73	1198.7322
CDC7	397.3254	CDC7	57.3693
