gene_id	TCGA-BH-A18V-01A-11R-A12D-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
CYTH4	408.3188	CYTH4	278.9035
CYTIP	291.3249	CYTIP	191.8073
CYTL1	9.9428	CYTL1	21.0401
CYTSA	1315.1048	CYTSA	1416.047
CYTSB	447.4273	CYTSB	230.4624
CYYR1	252.2164	CYYR1	1093.5954
D2HGDH	109.3711	D2HGDH	840.1357
D4S234E	1566.327	D4S234E	519.152
DAAM1	487.8615	DAAM1	218.2298
DAAM2	2173.5421	DAAM2	514.533
DAB2IP	1572.9555	DAB2IP	2693.6208
DAB2	1145.7453	DAB2	2244.9287
DACH1	7.2914	DACH1	127.7085
DACT1	285.0278	DACT1	143.8555
removed	removed	DACT2	179.5747
DACT3	32.1485	DACT3	169.2993
DAD1	1558.7041	DAD1	3512.7164
DAG1	5951.4459	DAG1	2635.8829
DAGLA	393.4046	DAGLA	173.2138
DAGLB	221.0622	DAGLB	614.5663
DAK	634.3525	DAK	1002.5848
DALRD3	310.836	DALRD3	1277.0258
removed	removed	DAND5	6.361
DAP3	4489.1872	DAP3	2086.8833
DAPK1	2808.8491	DAPK1	301.9008
DAPK2	63.9655	DAPK2	919.8923
DAPK3	596.2383	DAPK3	1398.432
removed	removed	DAPL1	12.7219
DAPP1	2500.29	DAPP1	122.8154
DAP	11541.967	DAP	3642.3821
DARC	117.9882	DARC	3401.155
DARS2	761.6207	DARS2	224.1014
DARS	3212.8594	DARS	1135.1862
DAXX	3192.3109	DAXX	2099.1159
DAZAP1	2054.5198	DAZAP1	1560.3918
DAZAP2	3659.9553	DAZAP2	6493.5589
removed	removed	DBC1	389.4863
DBF4B	244.2622	DBF4B	147.7699
DBF4	583.9755	DBF4	96.393
DBI	2133.3996	DBI	6651.6042
DBN1	1586.2126	DBN1	1881.3755
DBNDD1	1529.2071	DBNDD1	448.6922
DBNDD2	1666.6634	DBNDD2	1805.2935
DBNL	2043.5827	DBNL	2598.2065
DBP	36.3013	DBP	444.2493
DBR1	555.4727	DBR1	239.7592
DBT	545.1984	DBT	478.0504
removed	removed	DBX2	28.869
DCAF10	1872.8975	DCAF10	900.3201
DCAF11	1094.6193	DCAF11	2472.9445
DCAF12	1935.5373	DCAF12	972.7372
DCAF13	3971.4641	DCAF13	596.0951
DCAF15	525.6442	DCAF15	670.8364
DCAF16	669.4838	DCAF16	780.4405
DCAF17	446.1016	DCAF17	192.2966
removed	removed	DCAF4L1	10.2754
DCAF4	786.1463	DCAF4	375.7858
DCAF5	793.7692	DCAF5	1499.718
DCAF6	2819.7862	DCAF6	1367.6058
DCAF7	2491.01	DCAF7	1369.5631
DCAF8	2816.7934	DCAF8	2527.2573
DCAKD	834.8662	DCAKD	1389.6245
DCBLD1	544.2042	DCBLD1	163.917
DCBLD2	526.3071	DCBLD2	914.51
DCDC2	267.0412	DCDC2	303.7895
DCHS1	658.5467	DCHS1	1152.8012
removed	removed	DCHS2	23.4866
DCI	408.3188	DCI	1401.3679
DCK	511.3928	DCK	201.1041
DCLK1	84.1826	DCLK1	464.8392
DCLK2	104.3997	DCLK2	87.5855
DCLK3	7.9543	DCLK3	11.7433
DCLRE1A	337.0619	DCLRE1A	232.9089
DCLRE1B	339.0505	DCLRE1B	174.6817
DCLRE1C	280.7192	DCLRE1C	431.5665
DCN	6446.2673	DCN	48224.3754
DCP1A	1039.357	DCP1A	803.4379
DCP1B	214.1022	DCP1B	533.3418
DCP2	670.4781	DCP2	907.1704
DCPS	409.6445	DCPS	462.882
removed	removed	DCST1	8.6949
DCST2	17.8971	DCST2	76.8208
DCTD	1193.1394	DCTD	1716.9692
DCTN1	4008.9055	DCTN1	4163.2466
DCTN2	1341.2876	DCTN2	3395.2834
DCTN3	824.2605	DCTN3	1794.7686
DCTN4	907.7803	DCTN4	1143.0151
DCTN5	3025.2714	DCTN5	965.8869
DCTN6	380.1475	DCTN6	697.2588
DCTPP1	1149.7224	DCTPP1	916.4672
DCUN1D1	1558.0413	DCUN1D1	125.2619
DCUN1D2	326.7876	DCUN1D2	270.096
DCUN1D3	226.3651	DCUN1D3	235.3554
DCUN1D4	442.7873	DCUN1D4	661.0503
DCUN1D5	815.9748	DCUN1D5	295.0506
DCXR	239.2907	DCXR	2069.2684
removed	removed	DCX	135.5373
DDA1	869.6661	DDA1	782.8871
DDAH1	899.826	DDAH1	999.1596
DDAH2	888.8889	DDAH2	4610.2262
DDB1	9031.4028	DDB1	4038.7187
DDB2	372.8561	DDB2	1070.5981
DDHD1	299.2791	DDHD1	297.4971
DDHD2	942.5802	DDHD2	765.7614
DDI2	110.4251	removed	removed
DDIT3	137.8805	DDIT3	802.7479
DDIT4L	26.8456	DDIT4L	87.0962
DDIT4	3454.8016	DDIT4	1293.7209
DDN	28.1713	removed	removed
DDOST	4236.6393	DDOST	4427.2264
DDO	12.5942	DDO	69.4812
DDR1	8848.7861	DDR1	4037.74
DDR2	1242.1907	DDR2	58.7165
DDRGK1	181.9538	DDRGK1	1705.7152
DDTL	74.1072	DDTL	178.6353
DDT	286.6948	DDT	930.246
DDX10	574.6955	DDX10	869.4939
DDX11L2	21.2114	DDX11L2	27.401
DDX11	2034.6342	DDX11	381.1681
DDX12	273.7592	DDX12	41.5909
DDX17	11456.4587	DDX17	13356.5427
DDX18	4122.6282	DDX18	1305.4642
DDX19A	1827.8233	DDX19A	937.018
DDX19B	1174.8712	DDX19B	998.1517
DDX1	1664.761	DDX1	2176.9154
DDX20	327.4505	DDX20	378.7216
DDX21	2952.0259	DDX21	396.3366
DDX23	1777.7778	DDX23	2789.5245
DDX24	3328.8591	DDX24	3426.5988
DDX26B	158.091	DDX26B	365.0211
DDX27	1744.9664	DDX27	1934.2204
DDX28	249.8964	DDX28	400.251
DDX31	591.2669	DDX31	336.6414
DDX39	2407.4903	DDX39	937.9966
DDX3X	7979.4515	DDX3X	5080.4478
DDX41	919.0488	DDX41	1379.3492
DDX42	2035.9599	DDX42	3791.6199
DDX43	61.7151	removed	removed
DDX46	1683.6523	DDX46	796.5876
DDX47	2290.1649	DDX47	997.6917
DDX49	1212.6937	DDX49	1327.9722
DDX50	1005.8828	DDX50	1404.3037
DDX51	139.8625	DDX51	719.7668
DDX52	338.3876	DDX52	393.8901
DDX54	839.6487	DDX54	2111.285
DDX55	279.3935	DDX55	480.9862
DDX56	2571.2155	DDX56	1830.9771
DDX58	1056.9227	DDX58	483.9221
DDX59	458.3644	DDX59	533.3418
DDX5	7324.8819	DDX5	18268.1804
DDX60L	508.7414	DDX60L	326.8554
DDX60	831.5519	DDX60	197.679
DDX6	2892.0375	DDX6	3112.9547
DEAF1	290.662	DEAF1	1406.7502
DECR1	887.5632	DECR1	1551.095
DECR2	184.6052	DECR2	513.2803
DEDD2	509.7357	DEDD2	779.4619
DEDD	1867.9294	DEDD	869.4793
DEF6	364.239	DEF6	541.1707
DEF8	1570.3041	DEF8	930.657
removed	removed	DEFB132	50.3984
DEFB1	53.6913	DEFB1	262.2672
DEGS1	1976.6344	DEGS1	2058.0144
DEGS2	12.2628	DEGS2	496.1547
DEK	6421.4102	DEK	1800.6403
DEM1	198.5251	DEM1	157.0667
DENND1A	673.1295	DENND1A	797.5662
DENND1B	175.9881	DENND1B	11.254
DENND1C	139.8625	DENND1C	131.1336
DENND2A	32.8113	DENND2A	503.9835
DENND2C	24.8935	DENND2C	6.361
DENND2D	415.6102	DENND2D	599.3979
DENND3	441.793	DENND3	383.1254
DENND4A	1128.7331	DENND4A	227.9963
DENND4B	2180.3265	DENND4B	1033.8709
DENND4C	894.5232	DENND4C	769.1865
DENND5A	1303.5048	DENND5A	1195.86
DENND5B	114.674	DENND5B	213.3367
DENR	1404.9217	DENR	1368.5845
DEPDC1B	385.7818	removed	removed
DEPDC1	763.2778	DEPDC1	5.8717
DEPDC4	5.9657	removed	removed
DEPDC5	199.5194	DEPDC5	264.7137
DEPDC6	91.1426	DEPDC6	968.8227
DEPDC7	31.8171	DEPDC7	9.7861
DERA	1047.6427	DERA	398.7831
DERL1	5040.0199	DERL1	1864.2498
DERL2	381.4732	DERL2	803.4379
DERL3	279.3935	DERL3	703.1304
DES	38.1142	DES	265.203
DET1	179.9652	DET1	249.0559
DEXI	467.313	DEXI	920.8709
DFFA	434.1702	DFFA	290.6468
DFFB	159.7481	DFFB	171.7459
DFNA5	148.1481	DFNA5	504.9622
DFNB31	128.5939	DFNB31	511.8124
DFNB59	15.2457	DFNB59	107.1577
DGAT1	357.0072	DGAT1	968.7298
DGAT2	540.5585	DGAT2	2516.9819
DGCR11	19.2228	DGCR11	36.6978
DGCR14	252.5478	DGCR14	690.8978
DGCR2	1573.6184	DGCR2	3870.8872
DGCR5	55.6798	DGCR5	15.6577
DGCR6L	217.7479	DGCR6L	1212.9856
DGCR6	102.0797	DGCR6	519.152
DGCR8	801.0606	DGCR8	1028.5179
DGCR9	5.6343	DGCR9	9.2968
DGKA	252.2164	DGKA	468.7536
DGKB	5.3028	DGKB	5.3823
DGKD	623.4154	DGKD	1100.4456
DGKE	120.3082	DGKE	167.8314
DGKG	26.1828	DGKG	15.6577
DGKH	161.7367	DGKH	10.2754
DGKI	10.2743	DGKI	10.2754
DGKQ	191.8966	DGKQ	466.7964
DGKZ	941.5859	DGKZ	972.2479
DGUOK	1543.4584	DGUOK	1218.8573
DHCR24	11996.3543	DHCR24	5657.827
DHCR7	2913.2488	DHCR7	942.4003
DHDDS	657.8838	DHDDS	905.2132
DHDH	6.96	DHDH	10.7647
removed	removed	DHDPSL	29.8476
DHFRL1	176.9824	DHFRL1	204.0399
DHFR	798.2434	DHFR	225.77
removed	removed	DHH	8.8075
DHODH	127.9311	DHODH	209.9116
DHPS	526.3071	DHPS	1539.3517
DHRS11	113.6797	DHRS11	416.8874
DHRS12	105.394	DHRS12	627.2883
DHRS13	67.6775	DHRS13	304.91
DHRS1	249.8964	DHRS1	1080.8735
removed	removed	DHRS2	852.8576
DHRS3	892.866	DHRS3	1862.2926
DHRS4L1	5.9657	DHRS4L1	51.8663
DHRS4L2	137.9766	DHRS4L2	930.3732
DHRS4	282.489	DHRS4	1269.8086
DHRS7B	207.8051	DHRS7B	860.1972
DHRS7	477.5872	DHRS7	1219.3466
DHRS9	8.9485	DHRS9	41.5909
DHRSX	264.1478	DHRSX	465.3285
DHTKD1	1435.7445	DHTKD1	426.1841
DHX15	3405.7503	DHX15	1226.6862
DHX16	1694.5894	DHX16	1034.8788
DHX29	1155.0253	DHX29	697.2588
DHX30	1517.6071	DHX30	1774.2178
DHX32	611.5834	DHX32	1315.6124
DHX33	354.959	DHX33	42.0802
DHX34	496.1472	DHX34	594.9942
DHX35	231.9993	DHX35	221.1656
DHX36	2390.5875	DHX36	407.1013
DHX37	269.1192	DHX37	407.5906
DHX38	1756.5664	DHX38	1412.1325
DHX40	759.6321	DHX40	1112.1889
DHX57	327.4505	DHX57	506.9194
DHX58	308.2277	DHX58	490.7723
DHX8	1337.6419	DHX8	890.0447
DHX9	6157.5938	DHX9	2824.7544
DIABLO	693.045	DIABLO	1255.4279
DIAPH1	3572.7898	DIAPH1	1927.3701
DIAPH2	436.8216	DIAPH2	121.8368
DIAPH3	3115.7511	DIAPH3	12.7219
DICER1	2038.2799	DICER1	896.4057
DIDO1	1479.1615	DIDO1	1971.8968
DIMT1L	433.1759	DIMT1L	482.4542
removed	removed	DIO1	5.3823
DIO2	478.2501	DIO2	274.9891
removed	removed	DIO3	23.4866
DIP2A	405.336	DIP2A	557.807
DIP2B	1647.1953	DIP2B	1022.1569
DIP2C	1093.0483	DIP2C	736.8925
DIRAS1	287.0163	DIRAS1	255.9062
DIRAS2	117.6568	DIRAS2	9.7861
DIRAS3	5.6343	DIRAS3	251.9918
DIRC2	310.5112	DIRC2	231.8422
DIRC3	7.6228	DIRC3	10.7647
DIS3L2	430.8559	DIS3L2	451.1387
DIS3L	696.6609	DIS3L	603.8017
DIS3	2337.7579	DIS3	854.9029
DISC1	130.894	DISC1	104.2218
DISP1	67.9427	DISP1	283.7966
DISP2	13.5885	DISP2	15.1684
DIXDC1	287.0163	DIXDC1	640.9888
DKC1	2953.3516	DKC1	1225.7076
removed	removed	DKFZP434L187	15.5843
DKFZP586I1420	75.5655	DKFZP586I1420	366.489
DKFZP686I15217	17.5657	DKFZP686I15217	95.9037
DKFZp434J0226	45.737	removed	removed
removed	removed	DKFZp566F0947	6.361
DKFZp686O24166	43.417	removed	removed
DKFZp761E198	933.3002	DKFZp761E198	332.727
removed	removed	DKFZp779M0652	9.2968
DKK1	15.5771	DKK1	8.3182
DKK2	61.6455	DKK2	45.9946
DKK3	293.3134	DKK3	2321.2602
removed	removed	DKKL1	5.3823
DLAT	934.2945	DLAT	506.4301
DLC1	1345.9276	DLC1	2150.4929
DLD	2243.765	DLD	1329.9294
removed	removed	DLEC1	23.9759
DLEU1	152.7881	DLEU1	76.3315
DLEU2L	7.2914	removed	removed
DLEU2	184.1843	DLEU2	18.2119
DLEU7	15.2457	removed	removed
DLG1	3014.9971	DLG1	755.486
removed	removed	DLG2	53.8235
DLG3	925.3459	DLG3	1264.8519
DLG4	180.0017	DLG4	427.1725
DLG5	2243.4336	DLG5	1681.25
DLGAP1	79.5426	DLGAP1	11.254
removed	removed	DLGAP2	9.2968
DLGAP3	18.5599	removed	removed
DLGAP4	963.1287	DLGAP4	1902.9049
DLGAP5	847.4604	DLGAP5	9.2968
removed	removed	DLK1	1181.1809
DLK2	54.0227	DLK2	294.5613
DLL1	61.977	DLL1	300.4329
DLL4	145.4967	DLL4	346.9168
DLST	1931.5602	DLST	2778.7598
DLX1	121.9654	DLX1	9.2968
DLX2	38.4456	DLX2	13.2112
DLX3	69.5998	DLX3	58.2272
DLX4	19.8857	DLX4	6.361
removed	removed	DLX5	5.8717
DLX6AS	39.4399	removed	removed
DLX6	85.5083	removed	removed
DMAP1	218.4108	DMAP1	1466.9346
removed	removed	DMBT1	27.8904
DMC1	38.4456	DMC1	13.7005
DMD	1051.9513	DMD	758.9112
DMGDH	8.2857	DMGDH	32.2941
DMKN	365.5647	DMKN	964.9083
DMPK	204.1594	DMPK	747.6571
DMRT2	151.131	DMRT2	61.6524
DMRT3	9.9428	DMRT3	51.377
DMRTA1	70.2627	DMRTA1	22.0187
DMRTA2	5.6343	removed	removed
DMRTC1B	6.96	DMRTC1B	51.8663
DMTF1	696.4454	DMTF1	987.9056
DMWD	579.0041	DMWD	576.8899
DMXL1	462.3415	DMXL1	438.9061
DMXL2	1020.4657	DMXL2	187.4036
DNA2	310.5477	DNA2	21.0401
DNAH11	5.0476	removed	removed
removed	removed	DNAH12	10.7647
DNAH14	140.5253	DNAH14	50.3984
DNAH17	30.9587	DNAH17	58.2272
DNAH1	45.4056	DNAH1	155.1095
DNAH2	16.24	DNAH2	33.2727
DNAH3	77.5541	removed	removed
DNAH5	42.7542	DNAH5	120.3689
removed	removed	DNAH6	36.6978
removed	removed	DNAH7	22.9973
removed	removed	DNAH9	29.3583
removed	removed	DNAI1	27.401
DNAJA1	7140.2767	DNAJA1	2833.5619
DNAJA2	1605.7668	DNAJA2	1473.7849
DNAJA3	1695.5837	DNAJA3	894.4485
DNAJA4	1827.1605	DNAJA4	751.0823
DNAJB11	2122.1311	DNAJB11	1164.5445
DNAJB12	690.6952	DNAJB12	1821.6803
DNAJB14	557.1298	DNAJB14	57.7379
DNAJB1	4274.0906	DNAJB1	4169.3629
DNAJB2	1420.8302	DNAJB2	3827.8285
DNAJB4	358.9361	DNAJB4	411.505
DNAJB5	81.1998	DNAJB5	245.6308
DNAJB6	964.4544	DNAJB6	2181.8084
removed	removed	DNAJB7	6.1408
DNAJB9	602.5354	DNAJB9	580.315
DNAJC10	4037.7827	DNAJC10	1064.7264
DNAJC11	1383.5048	DNAJC11	714.3747
DNAJC12	6.6286	DNAJC12	289.1789
removed	removed	DNAJC13	540.1921
DNAJC14	762.8403	DNAJC14	997.2171
DNAJC15	704.6151	DNAJC15	530.406
DNAJC16	333.4162	DNAJC16	520.1306
DNAJC17	143.8396	DNAJC17	530.8953
DNAJC18	38.777	DNAJC18	179.0854
DNAJC19	664.5124	DNAJC19	569.061
DNAJC1	576.3526	DNAJC1	1345.5871
DNAJC21	852.4319	DNAJC21	1034.3895
DNAJC22	38.4456	DNAJC22	13.7005
DNAJC24	269.8782	DNAJC24	259.5613
DNAJC25	311.5387	DNAJC25	312.1762
DNAJC27	121.3025	DNAJC27	240.7378
removed	removed	DNAJC28	32.7834
DNAJC2	1554.4585	DNAJC2	906.6664
DNAJC30	286.3535	DNAJC30	510.3445
DNAJC3	4207.4737	DNAJC3	1564.7955
DNAJC4	671.3299	DNAJC4	1417.0745
DNAJC5B	18.2285	removed	removed
DNAJC5	2649.4324	DNAJC5	1919.0519
DNAJC6	266.1364	DNAJC6	25.4438
DNAJC7	1822.2521	DNAJC7	2190.792
DNAJC8	1821.8577	DNAJC8	2266.9474
DNAJC9	906.4546	DNAJC9	741.8589
DNAL1	200.8451	DNAL1	271.564
DNAL4	748.0321	DNAL4	802.9485
DNALI1	7.2914	DNALI1	824.4779
DNASE1L1	536.4554	DNASE1L1	355.0001
removed	removed	DNASE1L2	23.4866
DNASE1L3	5.9657	DNASE1L3	244.1629
DNASE1	44.0799	DNASE1	95.4144
DNASE2	1999.5029	DNASE2	1433.6619
DND1	41.097	DND1	135.7379
DNER	10.9371	DNER	12.7219
DNHD1	820.9462	DNHD1	176.1496
DNLZ	88.4912	DNLZ	203.0613
DNM1L	3347.419	DNM1L	779.9512
DNM1P35	64.297	DNM1P35	60.6737
DNM1	335.4048	DNM1	446.7349
DNM2	4427.83	DNM2	1508.3885
DNM3	39.1085	DNM3	68.0133
DNMBP	84.5008	DNMBP	722.2133
DNMT1	4123.6225	DNMT1	581.2936
DNMT3A	976.3858	DNMT3A	348.874
DNMT3B	231.9993	DNMT3B	67.0347
DNPEP	1640.2353	DNPEP	1515.8651
DNTTIP1	565.747	DNTTIP1	919.403
DNTTIP2	1113.2654	DNTTIP2	2233.6747
DOC2A	60.6513	DOC2A	86.6705
DOC2B	11.6	DOC2B	15.6577
DOCK10	657.8838	DOCK10	177.1282
DOCK11	397.0503	DOCK11	534.3204
DOCK1	1575.9384	DOCK1	1188.0311
DOCK2	721.1865	DOCK2	236.8233
DOCK3	188.5823	DOCK3	14.1898
DOCK4	458.6958	DOCK4	175.6603
DOCK5	858.3975	DOCK5	85.5744
DOCK6	732.1236	DOCK6	824.4779
DOCK7	1978.9543	DOCK7	587.6546
DOCK8	979.7001	DOCK8	577.8685
DOCK9	2273.5935	DOCK9	741.7855
DOHH	91.474	DOHH	281.8393
DOK1	145.8282	DOK1	444.2884
DOK2	125.6111	DOK2	233.8875
DOK3	180.2966	DOK3	84.1604
DOK4	469.6329	DOK4	639.5209
DOK5	65.2912	DOK5	91.9892
DOK6	22.2057	DOK6	17.615
removed	removed	DOK7	98.8395
DOLK	306.5706	DOLK	464.3499
DOLPP1	525.6442	DOLPP1	451.1387
DOM3Z	405.336	DOM3Z	616.9542
DONSON	383.0674	DONSON	174.1777
DOPEY1	546.9517	DOPEY1	558.1447
DOPEY2	935.9516	DOPEY2	427.1628
DOT1L	624.0782	DOT1L	480.9862
DPAGT1	650.9239	DPAGT1	976.6565
DPCD	138.3677	DPCD	355.7732
removed	removed	DPEP1	8.3182
DPEP2	19.5542	DPEP2	98.3502
removed	removed	DPF1	6.361
DPF2	1587.2069	DPF2	1082.8307
DPF3	15.5771	DPF3	13.2112
DPH1	335.8721	DPH1	700.6644
DPH2	934.6259	DPH2	375.7858
DPH3B	18.8914	DPH3B	10.7647
DPH3	470.6272	DPH3	644.9032
DPH5	194.5845	DPH5	623.3836
DPM1	920.0431	DPM1	524.045
DPM2	1108.9568	DPM2	1188.0311
DPM3	502.7757	DPM3	530.406
DPP3	1520.9214	DPP3	644.9032
DPP4	152.1253	DPP4	426.1841
removed	removed	DPP6	23.9759
DPP7	964.123	DPP7	2918.2115
DPP8	593.9183	DPP8	56.7593
DPP9	890.546	DPP9	888.5768
DPPA2	14.9142	removed	removed
DPT	617.7811	DPT	4760.4427
DPY19L1	516.6957	DPY19L1	314.1334
removed	removed	DPY19L2P2	5.3823
removed	removed	DPY19L2P4	11.7433
DPY19L2	10.2743	DPY19L2	72.9064
DPY19L3	317.8391	DPY19L3	75.3529
DPY19L4	392.0789	DPY19L4	483.9221
DPY30	640.116	DPY30	636.9569
DPYD	535.9185	DPYD	402.6975
DPYSL2	1385.6989	DPYSL2	4189.9137
DPYSL3	9763.195	DPYSL3	3236.7487
DPYSL4	5.6343	DPYSL4	17.1257
DPYSL5	41.4285	removed	removed
removed	removed	DPYS	10.2754
DQX1	6.6286	removed	removed
DR1	1001.9057	DR1	456.0317
DRAM1	791.4492	DRAM1	557.3177
DRAM2	804.0434	DRAM2	1609.3222
DRAP1	590.604	DRAP1	1449.3197
removed	removed	DRD1	5.3823
removed	removed	DRD2	174.6817
removed	removed	DRD4	8.3182
DRD5	51.3713	removed	removed
DRG1	837.1862	DRG1	1495.8036
DRG2	446.433	DRG2	1108.7638
DRP2	15.5771	removed	removed
DSC1	6.4562	removed	removed
DSC2	3795.5092	DSC2	1220.3252
DSC3	5359.1847	DSC3	493.7082
removed	removed	DSCAML1	12.7219
DSCC1	737.4265	DSCC1	53.8235
DSCR3	720.8551	DSCR3	723.6812
DSCR6	64.6284	DSCR6	10.2754
DSEL	107.0511	DSEL	380.6788
DSE	852.9456	DSE	519.1862
DSG1	309.5534	DSG1	133.5801
DSG2	7013.9862	DSG2	1328.4517
DSG3	7272.8478	DSG3	548.9996
DSN1	571.7127	DSN1	388.5077
DSP	30971.5801	DSP	5145.0359
DSTN	6882.0946	DSTN	12482.1557
DSTYK	751.015	DSTYK	809.7988
DST	1558.3727	DST	9977.4064
DTD1	354.959	DTD1	616.5236
DTL	1223.9622	DTL	14.1898
DTNA	105.0626	DTNA	201.5934
DTNBP1	118.3197	DTNBP1	590.5904
DTNB	182.948	DTNB	1296.1674
DTWD1	406.6617	DTWD1	667.4112
DTWD2	76.2284	DTWD2	72.9064
DTX1	33.1428	DTX1	475.6039
DTX2	1262.4078	DTX2	503.0049
DTX3L	5105.3907	DTX3L	688.4366
DTX3	265.1421	DTX3	1131.2718
DTX4	1231.2536	DTX4	517.1948
DTYMK	390.0903	DTYMK	548.0209
DULLARD	1384.7046	DULLARD	2706.3427
DUOX1	1115.9168	DUOX1	181.0426
DUOX2	389.7589	DUOX2	26.9117
DUOXA1	352.9837	DUOXA1	22.3367
DUOXA2	27.4952	DUOXA2	5.0643
DUS1L	1017.1514	DUS1L	1848.5921
DUS2L	251.5536	DUS2L	271.564
DUS3L	102.0797	DUS3L	439.8847
DUS4L	203.6324	DUS4L	151.1951
DUSP10	149.1424	DUSP10	543.6172
DUSP11	876.9575	DUSP11	497.1333
DUSP12	753.6664	DUSP12	265.203
DUSP14	160.7424	DUSP14	914.51
removed	removed	DUSP15	22.508
DUSP16	1747.2864	DUSP16	1828.5306
DUSP18	78.2169	DUSP18	95.3263
DUSP19	67.9427	DUSP19	84.6497
DUSP1	1587.8697	DUSP1	15514.3752
DUSP22	556.1356	DUSP22	1122.9536
DUSP23	476.5929	DUSP23	1063.2585
removed	removed	DUSP26	16.6364
removed	removed	DUSP27	10.7647
DUSP28	52.0341	DUSP28	103.7325
DUSP2	122.9596	DUSP2	1067.1729
DUSP3	1378.4075	DUSP3	1732.1376
DUSP4	92.4683	DUSP4	663.9861
DUSP5P	23.1999	removed	removed
DUSP5	430.1931	DUSP5	2140.2175
DUSP6	356.9476	DUSP6	4778.5469
DUSP7	809.3463	DUSP7	568.0824
DUSP8	155.771	DUSP8	905.2132
DUSP9	47.0627	DUSP9	32.7834
DUT	1802.3697	DUT	1286.5868
DVL1	1072.1684	DVL1	1274.638
DVL2	703.2894	DVL2	782.3978
DVL3	4657.5524	DVL3	1632.3195
DYDC2	13.2571	removed	removed
DYM	791.1177	DYM	542.1493
DYNC1H1	17639.9039	DYNC1H1	6198.5084
DYNC1I1	43.7484	DYNC1I1	72.9064
DYNC1I2	2130.0853	DYNC1I2	1882.3541
DYNC1LI1	994.9457	DYNC1LI1	790.2266
DYNC1LI2	3097.5226	DYNC1LI2	2726.4042
DYNC2H1	64.6284	DYNC2H1	279.3928
DYNC2LI1	74.2398	DYNC2LI1	641.4781
DYNLL1	3500.5386	DYNLL1	4408.6328
DYNLL2	872.6489	DYNLL2	1279.0417
DYNLRB1	831.8833	DYNLRB1	3453.0213
removed	removed	DYNLRB2	61.6524
DYNLT1	954.5116	DYNLT1	1686.143
DYNLT3	634.3525	DYNLT3	548.0209
DYRK1A	1146.0767	DYRK1A	1464.9774
DYRK1B	169.3595	DYRK1B	625.331
DYRK2	692.0209	DYRK2	273.0319
DYRK3	119.9768	DYRK3	420.8018
DYRK4	367.5532	DYRK4	512.791
DYSF	978.0429	DYSF	287.2217
DYX1C1	6.2971	DYX1C1	57.2486
DZIP1L	112.6854	DZIP1L	98.3502
DZIP1	766.2076	DZIP1	308.4086
DZIP3	212.7765	DZIP3	427.1628
E2F1	572.0441	E2F1	78.778
E2F2	1460.2701	E2F2	10.7647
E2F3	1068.8541	E2F3	187.8929
E2F4	1652.1667	E2F4	996.7131
E2F5	196.4902	E2F5	125.9959
E2F6	224.3765	E2F6	419.8232
E2F7	224.3765	removed	removed
E2F8	411.9645	removed	removed
E4F1	320.8219	E4F1	555.3605
EAF1	976.7172	EAF1	460.9248
EAF2	92.7997	EAF2	78.2887
EAPP	382.7989	EAPP	1018.7318
EARS2	1595.824	EARS2	496.1547
EBAG9	829.5633	EBAG9	749.1251
EBF1	119.3139	EBF1	979.5874
EBF2	12.5942	EBF2	8.3182
EBF3	45.737	EBF3	327.3447
EBF4	19.5542	EBF4	574.9327
EBI3	30.4913	EBI3	51.8663
EBNA1BP2	1068.1912	EBNA1BP2	1106.8066
EBPL	772.5578	EBPL	841.6036
EBP	790.1235	EBP	720.2561
ECD	496.1472	ECD	521.5985
ECE1	2424.0616	ECE1	6915.8286
removed	removed	ECE2	140.9197
ECEL1	102.4111	ECEL1	29.3583
ECH1	2136.3924	ECH1	6396.6766
ECHDC1	412.9588	ECHDC1	1520.2688
ECHDC2	307.8963	ECHDC2	3374.7326
ECHDC3	614.4668	ECHDC3	699.216
ECHS1	2120.8054	ECHS1	3951.1332
ECM1	624.7411	ECM1	489.3044
ECM2	276.4106	ECM2	602.823
ECSCR	40.4342	ECSCR	255.4169
ECSIT	643.9639	ECSIT	1298.6139
removed	removed	ECT2L	13.2112
ECT2	3589.0297	ECT2	119.3903
EDA2R	17.8971	EDA2R	91.4999
EDARADD	73.5769	EDARADD	348.3847
EDAR	9.9428	EDAR	14.1898
EDA	37.1199	EDA	151.1951
EDC3	1723.4236	EDC3	854.8148
EDC4	2175.1595	EDC4	1414.8775
EDEM1	1835.4462	EDEM1	1003.0741
EDEM2	506.09	EDEM2	759.4005
EDEM3	1304.1677	EDEM3	454.0745
EDF1	2376.6675	EDF1	8519.7685
EDIL3	173.0052	EDIL3	7.8289
EDN1	777.8606	EDN1	590.1011
EDN2	30.8228	EDN2	22.0187
removed	removed	EDN3	345.4489
EDNRA	282.7078	EDNRA	146.302
EDNRB	480.2386	EDNRB	731.0208
EEA1	701.3009	EEA1	289.1789
EED	559.7813	EED	452.1173
EEF1A1P9	3371.6132	EEF1A1P9	18032.3357
EEF1A1	49181.8709	EEF1A1	214499.8024
EEF1A2	1389.3446	EEF1A2	233.3982
EEF1B2	3818.7091	EEF1B2	7623.8521
EEF1D	4639.9867	EEF1D	17794.5337
EEF1E1	216.0908	EEF1E1	282.818
EEF1G	12569.7241	EEF1G	46300.9198
EEF2K	1586.544	EEF2K	1160.6301
