gene_id	TCGA-BH-A18V-01A-11R-A12D-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
ACOT8	304.9002	ACOT8	356.3213
ACOT9	781.8378	ACOT9	380.6788
removed	removed	ACOX1	1520.7581
ACOX2	14.2514	ACOX2	306.3046
ACOX3	685.3923	ACOX3	777.5047
ACP1	1600.1326	ACP1	1363.6914
ACP2	906.4546	ACP2	1091.1489
ACP5	1960.063	ACP5	1111.6996
ACP6	114.3425	ACP6	284.7752
ACPL2	457.0387	ACPL2	309.7297
ACPP	13.92	ACPP	21.5294
ACRBP	23.1999	ACRBP	28.3797
ACRC	10.6057	ACRC	36.6978
removed	removed	ACSBG1	28.869
removed	removed	ACSBG2	24.4652
ACSF2	227.6908	ACSF2	1652.8703
ACSF3	152.7881	ACSF3	635.6064
ACSL1	4243.2679	ACSL1	2719.0646
ACSL3	5868.2575	ACSL3	2821.3293
ACSL4	1143.7567	ACSL4	628.7562
ACSL5	645.621	ACSL5	691.8764
ACSL6	97.4397	removed	removed
removed	removed	ACSM1	388.997
removed	removed	ACSM3	151.6795
ACSM5	7.2914	ACSM5	110.0935
ACSS1	789.4606	ACSS1	1208.5819
ACSS2	418.5931	ACSS2	2292.3912
ACSS3	45.0742	ACSS3	130.6443
removed	removed	ACTA1	11.7433
ACTA2	14710.6173	ACTA2	32193.334
removed	removed	ACTBL2	6.361
ACTB	94146.9882	ACTB	103994.3143
ACTG1	47739.1665	ACTG1	99867.5208
ACTG2	4503.4386	ACTG2	9048.2173
ACTL6A	3805.452	ACTL6A	405.1441
ACTL8	40.4342	removed	removed
ACTN1	9123.2082	ACTN1	6820.4143
ACTN2	8.2857	removed	removed
removed	removed	ACTN4	9190.1694
ACTR10	598.8897	ACTR10	1538.8624
ACTR1A	2100.2569	ACTR1A	3008.7329
ACTR1B	1227.2765	ACTR1B	1694.4612
ACTR2	10985.1686	ACTR2	2000.7658
ACTR3B	194.8794	ACTR3B	545.5744
