gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
CACNA1H	54.3565	CACNA1H	231.584
removed	removed	CACNA1I	21.1844
CACNA2D1	23.7298	CACNA2D1	26.962
CACNA2D2	520.1416	CACNA2D2	71.7381
CACNA2D3	183.7145	CACNA2D3	12.5181
CACNA2D4	73.1031	CACNA2D4	67.4049
CACNB1	151.9472	CACNB1	226.7694
CACNB2	12.6304	CACNB2	57.2942
CACNB3	1233.1834	CACNB3	696.6779
CACNB4	15.6923	CACNB4	30.3322
CACNG1	30.2363	removed	removed
CACNG4	3214.2379	CACNG4	524.7954
CACYBP	1646.541	CACYBP	1014.9254
CADM1	187.1591	CADM1	342.3207
removed	removed	CADM2	25.5176
CADM3	98.3714	CADM3	2152.2484
CADM4	1158.5494	CADM4	1064.5161
CADPS2	1078.1743	CADPS2	844.9687
CADPS	9.9512	removed	removed
CAD	1803.8465	CAD	1229.1767
CALB2	11.8649	CALB2	1324.025
CALCOCO1	1206.009	CALCOCO1	3052.4795
CALCOCO2	1964.9794	CALCOCO2	2852.1907
CALCRL	381.2075	CALCRL	316.3216
CALD1	2696.01	CALD1	8930.6692
CALHM2	770.0698	CALHM2	2492.0558
CALM1	7299.2058	CALM1	8398.1704
CALM2	8803.7508	CALM2	10023.1103
CALM3	5065.544	CALM3	5937.8912
removed	removed	CALML3	1050.0722
CALML4	282.461	CALML4	464.131
CALML5	2247.0577	CALML5	252.287
CALN1	6.8893	CALN1	9.1478
CALR	14831.4994	CALR	14235.9172
CALU	3693.0437	CALU	2647.5686
CAMK1D	123.2418	CAMK1D	54.4054
CAMK1G	7.6548	removed	removed
CAMK1	308.8164	CAMK1	940.1637
CAMK2A	6.1238	CAMK2A	5.7776
CAMK2B	12.6304	CAMK2B	70.2937
CAMK2D	199.024	CAMK2D	932.1136
CAMK2G	523.969	CAMK2G	704.8628
CAMK2N1	1400.8229	CAMK2N1	1388.5412
CAMK2N2	11.4822	CAMK2N2	6.259
CAMK4	17.9887	removed	removed
CAMKK1	385.4177	CAMKK1	317.766
CAMKK2	1314.7067	CAMKK2	2034.1839
CAMLG	641.8525	CAMLG	1192.104
CAMP	16.8405	removed	removed
CAMSAP1L1	850.0622	CAMSAP1L1	678.8637
CAMSAP1	657.5447	CAMSAP1	622.051
CAMTA1	259.8794	CAMTA1	563.3125
CAMTA2	1490.001	CAMTA2	1665.3828
CAND1	2594.5843	CAND1	1476.1675
CAND2	20.6679	CAND2	210.3996
CANT1	2836.8577	CANT1	1265.7679
CANX	11310.688	CANX	10333.1728
CAP1	8502.1529	CAP1	5934.0395
CAP2	531.6238	CAP2	283.1006
CAPG	4266.7687	CAPG	3401.5407
CAPN10	228.0011	CAPN10	361.6514
CAPN11	9.1857	CAPN11	155.0313
CAPN12	106.076	CAPN12	146.442
CAPN13	1517.5581	CAPN13	100.6259
CAPN1	5426.2367	CAPN1	5481.4636
CAPN2	7022.8686	CAPN2	5787.6745
CAPN3	41.7185	CAPN3	142.0318
CAPN5	96.8328	CAPN5	414.5402
CAPN6	15.3095	CAPN6	156.9571
CAPN7	624.2465	CAPN7	480.9822
CAPN8	1013.1088	CAPN8	99.663
CAPN9	617.7399	CAPN9	17.8142
CAPNS1	9430.2938	CAPNS1	13445.3539
CAPRIN1	7331.3559	CAPRIN1	3866.6346
CAPRIN2	146.9716	CAPRIN2	207.5108
CAPS2	35.9774	CAPS2	23.5917
CAPS	198.6413	CAPS	452.0944
CAPZA1	4010.7167	CAPZA1	2072.2195
CAPZA2	1403.5021	CAPZA2	1908.5219
removed	removed	CAPZA3	10.1107
CAPZB	5465.8884	CAPZB	6071.2566
CARD10	671.3233	CARD10	1478.2667
CARD11	215.099	CARD11	141.5503
CARD14	477.6576	CARD14	124.6991
CARD16	193.6657	CARD16	358.6904
CARD6	120.1799	CARD6	459.7978
CARD8	619.2709	CARD8	1030.8137
CARD9	34.8292	CARD9	182.4747
CARHSP1	2186.6998	CARHSP1	3568.2138
CARKD	1030.7148	CARKD	1307.1738
CARM1	1109.5589	CARM1	1325.4694
CARNS1	32.5328	CARNS1	61.6273
CARS2	688.4432	CARS2	942.1858
CARS	847.383	CARS	1151.1796
CASC1	64.6828	CASC1	16.3698
CASC2	83.0543	CASC2	48.6278
CASC3	2192.3261	CASC3	2722.1955
CASC4	3132.7146	CASC4	1849.7833
CASC5	354.7986	CASC5	6.259
CASD1	4259.8794	CASD1	438.1319
CASKIN1	71.7405	CASKIN1	6.2398
CASKIN2	861.4066	CASKIN2	2214.1935
CASK	1049.0862	CASK	775.1565
CASP10	189.8383	CASP10	371.2085
removed	removed	CASP12	6.259
CASP1	473.4475	CASP1	584.9783
CASP2	1282.9394	CASP2	960.52
CASP3	776.1937	CASP3	503.611
CASP4	775.8109	CASP4	1000.4815
CASP6	550.378	CASP6	298.9889
CASP7	1206.3917	CASP7	763.1199
CASP8AP2	576.7869	CASP8AP2	233.5099
CASP8	949.5742	CASP8	377.4675
CASP9	354.4158	CASP9	291.767
CASQ1	124.0073	CASQ1	23.5917
CASQ2	9.1857	CASQ2	189.6967
CASS4	19.9024	CASS4	9.6293
CAST	7780.5837	CAST	4777.9923
CASZ1	1351.0669	CASZ1	529.61
removed	removed	CATSPER1	5.7776
CATSPER2P1	18.4748	CATSPER2P1	20.7944
CATSPER2	27.9131	CATSPER2	37.5542
CATSPER3	21.4334	removed	removed
CATSPERB	32.5328	CATSPERB	13.481
CATSPERG	42.1012	CATSPERG	19.2585
CAT	837.8146	CAT	3259.9904
CAV1	732.1787	CAV1	14512.2773
CAV2	174.146	CAV2	2692.8262
CBARA1	1098.8422	CBARA1	1176.6972
CBFA2T2	946.1296	CBFA2T2	575.8305
CBFA2T3	264.0896	CBFA2T3	392.8743
CBFB	801.4544	CBFB	591.2374
CBLB	364.367	CBLB	451.1314
CBLC	471.5338	CBLC	209.4367
CBLL1	675.1507	CBLL1	444.3909
removed	removed	CBLN1	9.1478
CBLN3	124.0073	CBLN3	145.402
removed	removed	CBLN4	48.1464
CBL	581.3798	CBL	650.9389
CBR1	373.3346	CBR1	1564.0058
CBR3	376.2319	CBR3	820.4141
CBR4	777.7246	CBR4	366.3938
CBS	220.4574	CBS	93.4039
CBWD1	686.6329	CBWD1	568.6086
CBWD2	621.9501	CBWD2	394.3187
CBWD3	680.1263	CBWD3	149.9807
CBWD6	115.587	CBWD6	68.3678
CBX1	2291.4554	CBX1	1428.9841
CBX2	252.6074	CBX2	182.9562
CBX3	4246.8663	CBX3	2284.545
CBX4	992.4409	CBX4	771.7862
CBX5	4076.5477	CBX5	2185.845
CBX6	92.24	CBX6	478.5749
CBX7	412.9748	CBX7	2868.5604
CBX8	187.9246	CBX8	179.1045
CBY1	776.3812	CBY1	1033.8662
CC2D1A	1425.3182	CC2D1A	1795.3779
CC2D1B	774.6627	CC2D1B	844.9687
CC2D2A	268.6824	CC2D2A	378.9119
removed	removed	CC2D2B	6.259
CCAR1	1852.837	CCAR1	640.3467
removed	removed	CCBE1	31.7766
CCBL1	156.54	CCBL1	117.9586
CCBL2	455.3899	CCBL2	466.6779
CCBP2	98.3638	CCBP2	142.0318
CCDC101	638.0251	CCDC101	688.0116
CCDC102A	96.4501	CCDC102A	512.2773
CCDC102B	34.8292	CCDC102B	51.9981
CCDC103	290.8813	CCDC103	194.5113
CCDC104	628.4566	CCDC104	958.1127
CCDC106	377.7629	CCDC106	533.9432
CCDC107	318.1705	CCDC107	1320.1444
CCDC109A	604.7268	CCDC109A	493.5002
CCDC109B	362.4534	CCDC109B	428.9841
CCDC110	31.7673	CCDC110	34.6654
CCDC111	233.0763	CCDC111	135.999
CCDC112	201.3204	CCDC112	140.1059
CCDC113	220.0746	CCDC113	160.3274
CCDC114	43.2494	CCDC114	21.6659
CCDC115	1049.8517	CCDC115	1221.4733
CCDC116	5.3583	CCDC116	5.7776
CCDC117	1183.8102	CCDC117	644.1984
CCDC11	59.7072	CCDC11	13.481
CCDC120	380.4421	CCDC120	492.0558
CCDC121	93.7709	CCDC121	126.6249
CCDC122	50.9042	CCDC122	31.2951
CCDC123	468.0892	CCDC123	369.7641
CCDC124	888.7188	CCDC124	2107.8479
CCDC125	674.768	CCDC125	173.3269
CCDC126	584.8244	CCDC126	124.6991
CCDC127	501.7702	CCDC127	589.793
removed	removed	CCDC129	5.2961
CCDC12	569.5149	CCDC12	1086.182
CCDC130	349.823	CCDC130	572.9417
CCDC132	654.8656	CCDC132	355.3202
CCDC134	96.4501	CCDC134	72.2195
CCDC136	42.484	CCDC136	97.2557
CCDC137	440.9147	CCDC137	589.793
CCDC138	52.0524	CCDC138	14.9254
CCDC13	10.7167	CCDC13	9.6293
CCDC141	5.7411	CCDC141	14.9254
CCDC142	156.6778	CCDC142	124.8002
CCDC144A	18.2911	removed	removed
CCDC144B	9.1857	removed	removed
CCDC146	127.4519	CCDC146	92.9225
removed	removed	CCDC147	11.5551
CCDC148	21.4334	CCDC148	5.7776
CCDC149	720.3138	CCDC149	519.0178
CCDC14	698.4978	CCDC14	527.6842
CCDC150	27.9399	CCDC150	10.1107
CCDC151	26.0262	CCDC151	11.0737
CCDC152	29.4747	CCDC152	261.4299
CCDC153	24.4953	CCDC153	15.4068
CCDC154	6.1238	CCDC154	7.222
CCDC155	7.6548	removed	removed
CCDC157	79.6249	CCDC157	40.4429
removed	removed	CCDC158	5.2961
CCDC159	218.9264	CCDC159	273.9528
CCDC15	77.3132	CCDC15	44.7761
CCDC160	182.1835	CCDC160	8.6663
CCDC163P	16.075	removed	removed
CCDC17	8.4202	CCDC17	16.3698
CCDC18	97.2156	CCDC18	37.5542
CCDC19	126.3037	CCDC19	27.9249
CCDC21	578.3179	CCDC21	177.1786
CCDC22	625.3794	CCDC22	625.6235
CCDC23	248.3973	CCDC23	519.9807
CCDC24	458.3523	CCDC24	221.3288
CCDC25	664.434	CCDC25	995.1854
CCDC28A	435.9391	CCDC28A	647.0775
CCDC28B	113.2906	CCDC28B	173.8084
CCDC30	107.1668	CCDC30	41.4059
CCDC34	205.9133	CCDC34	262.3977
CCDC36	6.1238	CCDC36	19.74
CCDC39	29.1455	CCDC39	7.8527
CCDC3	177.2079	CCDC3	3283.1006
CCDC40	445.8903	CCDC40	89.0708
CCDC41	210.1234	CCDC41	98.2186
removed	removed	CCDC42B	8.339
CCDC43	591.331	CCDC43	351.9499
CCDC45	462.3481	CCDC45	374.5787
CCDC46	35.2119	CCDC46	415.5031
CCDC47	2498.5169	CCDC47	1508.9071
CCDC48	183.3317	CCDC48	193.5484
CCDC50	750.1674	CCDC50	2310.0626
CCDC51	451.6314	CCDC51	347.6168
CCDC52	848.5312	CCDC52	179.1045
CCDC53	498.3255	CCDC53	651.9018
CCDC55	780.4038	CCDC55	551.2759
CCDC56	1025.2072	CCDC56	1249.0082
CCDC57	805.2818	CCDC57	443.428
CCDC58	206.296	CCDC58	161.2903
CCDC59	363.9843	CCDC59	441.5022
CCDC61	193.2829	CCDC61	357.7275
CCDC64B	580.997	CCDC64B	346.1724
CCDC64	741.3645	CCDC64	75.1083
removed	removed	CCDC65	14.4439
CCDC66	319.3111	CCDC66	173.5484
CCDC68	8.0375	CCDC68	48.1464
CCDC69	438.2356	CCDC69	3468.4641
CCDC6	2467.8978	CCDC6	1801.1555
CCDC71	591.331	CCDC71	570.5344
CCDC72	1110.3244	CCDC72	1476.1675
CCDC73	19.5694	CCDC73	26.1868
CCDC74A	591.7137	CCDC74A	245.5465
CCDC74B	247.2491	CCDC74B	95.8113
CCDC75	57.7935	CCDC75	25.5176
CCDC76	224.0475	CCDC76	149.5282
CCDC77	182.1835	CCDC77	152.624
CCDC78	395.3689	CCDC78	11.0737
CCDC7	41.3358	CCDC7	24.5546
CCDC80	2678.7867	CCDC80	16096.2927
removed	removed	CCDC81	8.6663
CCDC82	102.9567	CCDC82	356.7646
CCDC84	75.3995	CCDC84	165.142
CCDC85A	11.4822	CCDC85A	247.9538
CCDC85B	107.9323	CCDC85B	1002.4073
CCDC85C	1455.5315	CCDC85C	951.507
CCDC86	292.7911	CCDC86	661.7622
CCDC87	66.5965	CCDC87	11.5551
CCDC88A	334.1307	CCDC88A	430.91
CCDC88B	286.2884	CCDC88B	387.5782
CCDC88C	2270.4047	CCDC88C	735.6765
CCDC89	8.4202	CCDC89	33.221
CCDC8	133.9585	CCDC8	2168.9937
CCDC90A	257.2003	CCDC90A	389.9856
CCDC90B	330.2765	CCDC90B	588.3197
CCDC91	344.0819	CCDC91	288.8782
CCDC92	655.631	CCDC92	1628.7915
CCDC93	673.6197	CCDC93	713.5291
CCDC94	467.7064	CCDC94	749.6389
CCDC96	208.5925	CCDC96	147.3279
CCDC97	1481.5807	CCDC97	1238.3245
CCDC99	344.8474	CCDC99	110.2552
CCDC9	411.8266	CCDC9	620.6066
CCHCR1	537.7476	CCHCR1	480.5007
removed	removed	CCIN	11.5551
CCL11	9.9512	removed	removed
CCL13	40.1875	CCL13	269.1382
CCL14	168.4049	CCL14	10561.661
removed	removed	CCL15	6.7405
removed	removed	CCL16	19.74
CCL17	32.9155	CCL17	10.1107
CCL18	161.8984	CCL18	484.3524
CCL19	660.2239	CCL19	912.8551
CCL21	370.1081	CCL21	2425.1324
CCL22	370.8736	CCL22	118.9215
removed	removed	CCL23	36.1098
removed	removed	CCL26	16.8512
CCL28	631.9013	CCL28	1063.0717
CCL2	336.4271	CCL2	2405.3924
CCL3L1	21.1807	CCL3L1	371.6177
removed	removed	CCL3L3	31.3674
CCL3	73.4858	CCL3	936.4468
CCL4L2	78.4614	CCL4L2	514.6846
CCL4	108.6977	CCL4	623.4954
CCL5	1132.9059	CCL5	1443.9095
CCL8	25.6435	CCL8	166.105
CCM2	757.8222	CCM2	1977.8527
removed	removed	CCNA1	19.74
CCNA2	508.3686	CCNA2	69.1863
CCNB1IP1	564.1565	CCNB1IP1	819.4511
removed	removed	CCNB1	182.9562
CCNB2	627.3084	CCNB2	62.5903
CCNB3	16.8405	CCNB3	8.1849
CCNC	1079.7053	CCNC	680.3081
CCND1	18687.3562	CCND1	4289.8604
CCND2	571.8113	CCND2	2359.6533
CCND3	1087.3601	CCND3	2761.194
CCNDBP1	914.745	CCNDBP1	1281.1748
CCNE1	50.1387	CCNE1	30.3322
CCNE2	327.7543	CCNE2	12.9995
CCNF	1075.4952	CCNF	174.7713
CCNG1	1189.5512	CCNG1	1567.6456
CCNG2	2267.3428	CCNG2	1455.9461
CCNH	543.5308	CCNH	488.9408
CCNI2	35.0474	CCNI2	6.962
CCNI	3855.7076	CCNI	3061.6273
CCNJL	37.1256	CCNJL	177.1786
CCNJ	62.0036	CCNJ	97.7371
CCNK	1659.1943	CCNK	701.3577
CCNL1	957.9945	CCNL1	1273.4714
CCNL2	2098.5552	CCNL2	1925.3731
removed	removed	CCNO	62.5903
CCNT1	91.8572	CCNT1	28.8878
CCNT2	932.7337	CCNT2	359.6533
CCNYL1	550.7607	CCNYL1	281.1748
CCNY	1079.3226	CCNY	1920.5585
CCPG1	1468.4643	CCPG1	1735.1805
removed	removed	CCR10	51.9981
CCR1	198.2585	CCR1	255.1757
CCR2	127.8347	CCR2	89.5522
CCR3	7.6548	removed	removed
CCR4	71.1894	removed	removed
CCR5	316.5247	CCR5	208.4738
CCR6	92.86	CCR6	21.8247
CCR7	250.6937	CCR7	51.0351
CCR8	21.4334	removed	removed
CCRL1	49.756	CCRL1	341.8392
CCRL2	54.3489	CCRL2	170.4381
CCRN4L	84.9679	CCRN4L	62.1088
CCS	1294.0388	CCS	735.195
CCT2	2488.9484	CCT2	1843.5243
CCT3	9196.0578	CCT3	5401.0592
CCT4	3501.6745	CCT4	3406.8368
CCT5	4163.0466	CCT5	3027.4434
CCT6A	3459.956	CCT6A	2677.4194
CCT6B	68.8929	CCT6B	75.5898
CCT6P1	57.028	CCT6P1	54.8869
CCT7	5552.3873	CCT7	4559.4608
CCT8	3296.5266	CCT8	2991.8151
CD101	85.7334	CD101	70.2937
CD109	2026.9524	CD109	802.5999
CD14	1251.5549	CD14	3753.0091
CD151	7020.9549	CD151	19350.5055
CD160	9.1857	CD160	25.5176
CD163L1	98.3638	CD163L1	446.3168
CD163	713.8073	CD163	1431.8729
CD164L2	6.5066	CD164L2	88.5893
CD164	13569.2278	CD164	5488.2041
removed	removed	CD177	10.5922
CD180	194.0484	CD180	95.3298
CD19	93.0055	removed	removed
CD1A	26.0262	removed	removed
CD1B	12.6304	removed	removed
CD1C	92.6227	CD1C	78.4786
CD1D	48.2251	CD1D	61.1459
CD1E	92.24	CD1E	11.5551
CD200R1	45.1631	CD200R1	30.3322
CD200	151.5644	CD200	435.2431
CD207	29.0881	CD207	19.2585
CD209	63.5346	CD209	950.4092
CD226	43.2494	CD226	14.9254
CD22	530.0928	CD22	34.1839
CD244	14.5441	CD244	38.9986
CD247	164.5776	CD247	201.7333
CD248	868.8164	CD248	9554.6461
CD24	7590.8525	CD24	8709.196
CD274	23.7298	CD274	7.222
CD276	2428.093	CD276	2586.4227
CD27	325.9018	CD27	186.5383
CD28	119.0317	CD28	66.9234
CD2AP	1517.1754	CD2AP	634.5691
CD2BP2	2489.3312	CD2BP2	2332.6914
CD2	517.0797	CD2	370.2455
CD300A	228.4949	CD300A	366.3938
CD300C	33.2982	CD300C	60.183
CD300LB	13.0131	CD300LB	64.0347
CD300LF	32.9155	CD300LF	37.5542
CD300LG	10.7167	CD300LG	2998.5556
CD302	599.3685	CD302	1580.6452
CD320	562.6256	CD320	1486.2783
CD33	70.0411	CD33	93.4039
CD34	1158.5494	CD34	12822.8214
CD36	376.9974	CD36	24728.4545
CD37	634.5804	CD37	431.8729
CD38	39.8048	CD38	14.9254
CD3D	211.6544	CD3D	197.8816
CD3EAP	351.0592	CD3EAP	368.8012
CD3E	631.9013	CD3E	574.8676
CD3G	83.0543	CD3G	20.7029
CD40LG	71.5721	CD40LG	43.3317
CD40	223.1365	CD40	601.8296
CD44	6224.8589	CD44	7576.7935
CD46	6566.6443	CD46	2913.3365
CD47	1612.0945	CD47	2336.0616
CD48	435.1737	CD48	272.9899
CD4	2412.018	CD4	1842.5614
CD52	595.5411	CD52	699.5667
CD53	1006.2195	CD53	740.0096
CD55	579.0833	CD55	2200.2889
CD58	174.5288	CD58	188.7338
CD59	5221.3185	CD59	26676.9379
CD5	308.4872	CD5	110.2552
CD63	9860.4918	CD63	21738.0838
CD68	2531.8151	CD68	3704.8628
CD69	103.3394	CD69	228.6952
CD6	288.9676	CD6	206.5479
CD70	9.5685	CD70	33.7025
CD72	66.5965	CD72	65.9605
CD74	48566.453	CD74	84686.0857
CD79A	472.2993	CD79A	54.4054
CD79B	234.236	CD79B	284.545
CD7	124.7727	CD7	298.9889
CD80	22.5816	CD80	5.7776
CD81	7213.8551	CD81	26812.2292
CD82	684.7192	CD82	1446.3168
CD83	352.1194	CD83	419.3548
CD84	134.3412	CD84	29.8507
CD86	241.8907	CD86	181.5118
CD8A	450.8659	CD8A	391.4299
CD8B	137.4031	CD8B	168.5123
CD93	1509.9034	CD93	4220.5104
CD96	284.3747	CD96	129.5137
CD97	564.5393	CD97	1369.7641
CD99L2	696.5841	CD99L2	2673.0862
CD99	1508.7551	CD99	5810.3033
CD9	9884.9871	CD9	4511.3144
CDADC1	160.3674	CDADC1	217.1401
CDAN1	603.1959	CDAN1	390.9485
CDA	16.8405	CDA	81.3674
CDC123	969.4498	CDC123	967.9779
CDC14A	54.3489	CDC14A	187.2894
CDC14B	58.9417	CDC14B	313.4328
CDC16	1215.1947	CDC16	1406.3553
CDC20	972.5385	CDC20	128.0693
CDC23	990.91	CDC23	587.3857
CDC25A	182.5663	CDC25A	55.3683
CDC25B	1000.0957	CDC25B	1227.7323
CDC25C	180.6564	CDC25C	9.6293
CDC26	166.1085	CDC26	126.1098
CDC27	1340.3502	CDC27	1052.4795
CDC34	700.7942	CDC34	1445.3539
CDC37L1	321.5003	CDC37L1	400.0963
CDC37	3467.228	CDC37	5857.4868
CDC40	572.9595	CDC40	412.6143
CDC42BPA	246.1009	CDC42BPA	1343.2836
CDC42BPB	4639.556	CDC42BPB	2732.3062
CDC42BPG	454.3106	CDC42BPG	641.3096
CDC42EP1	1231.6525	CDC42EP1	3958.5941
CDC42EP2	370.8736	CDC42EP2	1383.7265
CDC42EP3	176.0597	CDC42EP3	816.0809
CDC42EP4	1421.8735	CDC42EP4	2766.9716
CDC42EP5	30.2363	CDC42EP5	472.7973
CDC42SE1	3915.4492	CDC42SE1	1902.571
CDC42SE2	1230.887	CDC42SE2	1216.6586
CDC42	6526.4568	CDC42	5061.6273
CDC45	421.7778	CDC45	25.999
CDC5L	1160.4631	CDC5L	668.2715
CDC6	773.8972	CDC6	77.9971
CDC73	1091.5702	CDC73	488.2041
CDC7	537.3648	CDC7	53.4425
CDCA2	117.8835	CDCA2	17.3327
CDCA3	268.4987	CDCA3	42.3207
CDCA4	610.0852	CDCA4	309.0997
CDCA5	624.6292	CDCA5	95.8113
CDCA7L	62.7691	CDCA7L	673.9721
CDCA7	39.0393	CDCA7	54.8869
CDCA8	464.2618	CDCA8	65.4791
CDCP1	1645.3928	CDCP1	586.4227
CDH11	1663.7642	CDH11	566.2013
CDH12	6.1238	CDH12	16.3698
CDH13	200.1722	CDH13	1568.6086
removed	removed	CDH17	13.481
CDH19	7.6548	removed	removed
CDH1	10486.652	CDH1	4668.753
removed	removed	CDH22	39.48
CDH23	83.8197	CDH23	323.5436
CDH24	226.1984	CDH24	222.9177
CDH26	5.7411	CDH26	29.8507
CDH2	22.9643	CDH2	17.8142
CDH3	734.4752	CDH3	3340.3948
CDH5	710.7454	CDH5	4603.7554
CDH6	37.1256	CDH6	99.1815
CDH7	34.4465	removed	removed
CDHR1	9.1857	CDHR1	19.2585
CDHR3	104.3804	CDHR3	25.7198
CDIPT	2544.4455	CDIPT	3979.7785
CDK10	485.3124	CDK10	1151.661
CDK11A	558.0978	CDK11A	609.2585
CDK11B	1163.46	CDK11B	1187.0823
CDK12	1443.3069	CDK12	579.2008
CDK13	963.7355	CDK13	742.4169
CDK14	310.0182	CDK14	429.947
CDK16	2166.6826	CDK16	1804.0443
CDK17	709.2144	CDK17	487.2412
CDK18	1328.8681	CDK18	532.4988
CDK19	558.626	CDK19	469.5426
CDK1	1226.6769	CDK1	94.3669
CDK20	126.3037	CDK20	131.921
CDK2AP1	2642.4266	CDK2AP1	3345.2094
CDK2AP2	2595.3497	CDK2AP2	1505.5368
CDK2	1276.4329	CDK2	474.2417
CDK3	85.1823	CDK3	166.8657
CDK4	2312.1232	CDK4	2211.844
CDK5R1	85.3507	CDK5R1	59.7015
CDK5RAP1	652.5691	CDK5RAP1	441.0207
CDK5RAP2	2182.7576	CDK5RAP2	1279.2489
CDK5RAP3	2224.4761	CDK5RAP3	2111.6996
CDK5	455.4588	CDK5	232.5469
CDK6	238.4461	CDK6	607.6071
CDK7	398.4308	CDK7	348.0982
CDK8	138.9341	CDK8	91.4781
CDK9	1387.0443	CDK9	1750.6018
CDKAL1	331.8343	CDKAL1	314.3958
CDKL1	11.4822	CDKL1	18.2956
removed	removed	CDKL2	24.0732
CDKL3	23.171	CDKL3	22.8455
CDKL5	10.3339	CDKL5	5.7776
CDKN1A	1227.0596	CDKN1A	4820.8955
CDKN1B	2759.5445	CDKN1B	1755.4165
CDKN1C	80.3751	CDKN1C	2507.4627
CDKN2AIPNL	386.5659	CDKN2AIPNL	352.4314
CDKN2AIP	487.2261	CDKN2AIP	411.17
CDKN2A	21.4334	CDKN2A	121.3288
CDKN2B	217.0127	CDKN2B	757.8238
CDKN2C	429.0499	CDKN2C	674.5306
CDKN2D	221.9883	CDKN2D	265.2865
CDKN3	253.7556	CDKN3	28.4064
CDNF	11.8649	CDNF	28.4064
CDO1	26.7917	CDO1	547.4242
CDON	713.8073	CDON	1062.1088
CDR1	6.9046	CDR1	10.3563
CDR2L	1117.5964	CDR2L	802.1184
CDR2	1290.5942	CDR2	685.1228
CDRT15P	14.5441	CDRT15P	5.2961
CDRT4	419.0068	CDRT4	343.9961
CDS1	626.5429	CDS1	370.727
CDS2	724.524	CDS2	716.4179
CDSN	39.8048	CDSN	72.701
CDT1	310.7837	CDT1	156.4757
CDV3	2183.1404	CDV3	3506.4998
CDX1	9.9512	CDX1	5.2961
CDYL2	81.906	CDYL2	20.7029
CDYL	609.7024	CDYL	439.0948
CEACAM19	17.2232	CEACAM19	78.96
CEACAM1	742.5127	CEACAM1	497.8334
CEACAM21	25.6435	CEACAM21	55.8498
removed	removed	CEACAM3	10.5922
CEACAM5	2451.4401	CEACAM5	38.0356
CEACAM6	10038.0825	CEACAM6	185.3635
CEACAM7	6.1238	removed	removed
CEBPA	450.1005	CEBPA	3363.0236
CEBPB	630.3703	CEBPB	2925.3731
CEBPD	105.2531	CEBPD	3029.3693
CEBPG	636.1114	CEBPG	1232.0655
CEBPZ	1067.0749	CEBPZ	894.5595
CECR1	1008.8987	CECR1	1719.7882
removed	removed	CECR2	9.6293
CECR5	608.5542	CECR5	799.2297
CECR6	11.4822	CECR6	36.1098
CECR7	11.4822	CECR7	179.1045
CELF1	1859.3436	CELF1	1576.7935
CELF2	463.4963	CELF2	1388.0597
removed	removed	CELF4	6.259
removed	removed	CELF5	34.1839
CELF6	24.3115	CELF6	52.0318
CELSR1	10299.1101	CELSR1	922.4844
CELSR2	1728.447	CELSR2	1146.8464
CELSR3	96.2319	CELSR3	53.4425
CEL	15.3095	CEL	13.9624
CEMP1	204.6771	CEMP1	322.1088
CENPA	172.2323	CENPA	15.4068
CENPBD1	191.752	CENPBD1	303.8036
CENPB	2472.1079	CENPB	3624.9398
CENPC1	362.0706	CENPC1	266.2494
CENPE	558.0327	CENPE	31.2951
CENPF	4447.0386	CENPF	164.6606
CENPH	244.1872	CENPH	111.6996
CENPI	99.512	removed	removed
CENPJ	220.0746	CENPJ	99.663
CENPK	132.0448	CENPK	8.6663
CENPL	256.0521	CENPL	47.6649
CENPM	343.6992	CENPM	64.0347
CENPN	277.1218	CENPN	131.8392
CENPO	160.6009	CENPO	57.6601
CENPP	163.8733	CENPP	68.6519
CENPQ	210.1234	CENPQ	79.923
CENPT	322.6486	CENPT	712.0847
CENPV	170.3186	CENPV	110.7366
CENPW	200.1722	CENPW	123.2547
CEP110	815.9985	CEP110	329.3211
CEP120	456.2243	CEP120	405.8739
CEP135	348.6748	CEP135	76.5527
CEP152	105.2531	CEP152	54.4054
CEP164	330.3033	CEP164	685.6042
CEP170	847.0003	CEP170	466.0568
CEP192	584.4417	CEP192	274.9157
CEP250	1226.6769	CEP250	564.7569
CEP290	571.4286	CEP290	223.3799
CEP350	1572.6725	CEP350	551.2759
CEP55	571.0458	CEP55	44.7761
CEP57	505.2148	CEP57	613.3847
CEP63	615.6004	CEP63	501.6466
CEP68	533.924	CEP68	1130.4766
CEP70	451.2487	CEP70	168.9937
CEP72	49.756	CEP72	37.5542
CEP76	169.1704	CEP76	91.4781
CEP78	497.9428	CEP78	170.4381
CEP97	191.752	CEP97	29.8507
CEPT1	708.0662	CEPT1	593.1632
CERCAM	1641.9481	CERCAM	1907.0775
CERKL	65.4483	CERKL	49.0371
CERK	1472.395	CERK	1121.3288
CES1	17.606	CES1	4508.4256
CES2	678.5953	CES2	1345.6909
CES3	28.3226	CES3	25.0361
removed	removed	CES4	27.4434
CES8	34.0637	CES8	50.0722
CETN2	1209.8364	CETN2	1160.8089
CETN3	330.6861	CETN3	263.8421
removed	removed	CETN4P	5.2961
CETP	11.8649	CETP	436.6875
CFB	28148.338	CFB	3539.8507
CFDP1	493.3499	CFDP1	1099.663
CFD	156.9228	CFD	24572.9417
CFH	770.4526	CFH	5715.455
CFI	199.7895	CFI	1531.5359
