gene_id	TCGA-E9-A1N5-01A-11R-A14D-07	gene_id	TCGA-E9-A1N5-11A-41R-A14D-07
?|100133144	15.3551	?|100133144	13.4926
?|100134869	11.2637	?|100134869	8.0417
?|10357	70.1456	?|10357	80.0876
?|10431	875.9574	?|10431	574.0252
?|155060	382.0298	?|155060	290.7138
removed	removed	?|390284	7.4024
?|57714	1177.1448	?|57714	979.8132
?|645851	19.7177	?|645851	6.0565
?|652919	32.0412	?|652919	45.3366
?|653553	338.6509	?|653553	45.7605
removed	removed	?|729884	20.8614
?|8225	466.8158	?|8225	581.4276
?|90288	76.8989	?|90288	10.7672
A1BG	131.4675	A1BG	82.6785
A2LD1	37.2319	A2LD1	68.6273
removed	removed	A2ML1	6.7295
A2M	12123.8122	A2M	26351.2758
A4GALT	409.6345	A4GALT	194.4822
AAAS	663.4995	AAAS	652.0872
AACS	1073.627	AACS	1815.6154
AADAT	43.3789	AADAT	112.3824
AAGAB	1722.3383	AAGAB	812.922
AAK1	880.8868	AAK1	806.8654
AAMP	2434.1461	AAMP	2098.9268
AARS2	461.3343	AARS2	595.5595
AARSD1	228.7249	AARSD1	594.8866
AARS	2367.5989	AARS	2602.2924
AASDHPPT	555.0523	AASDHPPT	876.8521
AASDH	310.0603	AASDH	475.1017
AASS	302.6662	AASS	483.8501
AATF	648.7113	AATF	796.7712
AATK	130.1958	AATK	50.4711
ABAT	10501.1368	ABAT	806.8654
ABCA10	22.1824	ABCA10	107.6718
ABCA11P	148.1142	ABCA11P	122.5911
ABCA12	115.8413	ABCA12	116.4201
removed	removed	ABCA13	156.797
ABCA17P	12.3235	removed	removed
ABCA1	1028.7249	ABCA1	887.5923
ABCA2	2403.5837	ABCA2	1642.6676
ABCA3	3415.1	ABCA3	1875.5079
removed	removed	ABCA4	32.9745
ABCA5	227.2461	ABCA5	776.5827
ABCA6	164.1496	ABCA6	154.7782
ABCA7	438.7181	ABCA7	215.3436
ABCA8	395.3392	ABCA8	461.6428
ABCA9	167.1072	ABCA9	234.8591
ABCB10	418.5075	ABCB10	541.0507
ABCB1	46.3365	ABCB1	362.0464
ABCB4	27.6047	ABCB4	10.0942
ABCB5	5.9153	ABCB5	45.7605
ABCB6	688.7874	ABCB6	604.7386
ABCB7	349.4957	ABCB7	558.5474
ABCB8	795.6079	ABCB8	458.951
ABCB9	220.3252	ABCB9	211.279
ABCC10	438.2252	ABCC10	538.3589
ABCC11	340.1298	ABCC11	37.0122
ABCC1	2592.8733	ABCC1	862.7202
ABCC2	28.0977	ABCC2	7.4024
ABCC3	297.7368	ABCC3	244.9533
ABCC4	176.4731	ABCC4	135.2627
ABCC5	1244.1848	ABCC5	864.739
ABCC6P2	16.76	ABCC6P2	7.4024
ABCC6	38.9424	ABCC6	57.2006
ABCC8	38.9424	ABCC8	68.6408
ABCC9	368.2274	ABCC9	209.96
ABCD1	449.5628	ABCD1	268.5065
ABCD2	24.6471	ABCD2	41.0499
ABCD3	3670.4438	ABCD3	1425.3052
ABCD4	539.7712	ABCD4	612.3833
ABCE1	1459.1074	ABCE1	2097.5809
ABCF1	1804.1666	ABCF1	1622.4792
ABCF2	1213.1295	ABCF2	1175.6413
ABCF3	1005.601	ABCF3	855.3177
ABCG1	1193.9048	ABCG1	448.8567
ABCG2	42.8859	ABCG2	790.7147
ABHD10	485.5476	ABHD10	742.2624
ABHD11	409.1416	ABHD11	487.2148
ABHD12	924.2657	ABHD12	688.4265
ABHD13	436.2534	ABHD13	428.6683
ABHD14A	203.092	ABHD14A	179.6773
ABHD14B	841.9444	ABHD14B	2304.1762
ABHD15	249.9214	ABHD15	240.2427
ABHD1	15.2812	ABHD1	11.4401
ABHD2	9639.4748	ABHD2	3353.976
ABHD3	360.8333	ABHD3	137.9545
ABHD4	1208.2001	ABHD4	590.176
ABHD5	838.0009	ABHD5	775.9098
ABHD6	135.066	ABHD6	119.1119
ABHD8	375.1286	ABHD8	194.4822
ABI1	1297.4225	ABI1	1521.4157
ABI2	2095.0022	ABI2	2393.0054
ABI3BP	1025.3187	ABI3BP	2180.3536
ABI3	285.4132	ABI3	166.2183
ABL1	2572.6627	ABL1	3306.8696
ABL2	976.0245	ABL2	918.5749
ABLIM1	2141.8316	ABLIM1	4590.8556
ABLIM2	66.0542	ABLIM2	14.8049
ABLIM3	1697.1982	ABLIM3	693.1371
ABO	14.7883	ABO	74.0244
ABP1	23.1683	ABP1	5.3836
ABR	1564.104	ABR	1909.8282
ABT1	498.857	ABT1	473.7558
ABTB1	405.1981	ABTB1	323.6883
ABTB2	179.9237	ABTB2	259.7582
ACAA1	1292.4931	ACAA1	1013.4607
ACAA2	888.7739	ACAA2	998.6558
ACACA	2234.5047	ACACA	2932.7102
ACACB	639.8383	ACACB	918.5749
ACAD10	552.5876	ACAD10	783.9852
ACAD11	465.2729	ACAD11	410.4246
ACAD8	350.4815	ACAD8	671.6027
ACAD9	672.8605	ACAD9	994.6181
ACADL	74.9271	ACADL	16.8237
ACADM	870.535	ACADM	1052.4917
ACADSB	3114.4056	ACADSB	1413.8651
ACADS	241.5414	ACADS	411.1716
ACADVL	2774.0885	ACADVL	5608.9462
ACAN	19.7177	removed	removed
ACAP1	143.446	ACAP1	43.0687
ACAP2	1194.3977	ACAP2	1386.9472
ACAP3	1055.0332	ACAP3	738.3189
ACAT1	577.2347	ACAT1	1088.8309
ACAT2	348.4802	ACAT2	475.5526
ACBD3	1292.9861	ACBD3	1370.7964
ACBD4	317.9474	ACBD4	267.8336
ACBD5	741.8772	ACBD5	658.1438
ACBD6	404.7051	ACBD6	432.706
ACBD7	170.5578	ACBD7	312.9211
ACCN2	84.293	ACCN2	548.4531
ACCN3	47.8153	ACCN3	5.3836
ACCS	328.7921	ACCS	587.4842
ACD	314.0039	ACD	273.8901
removed	removed	ACE2	37.6851
ACER2	153.3049	ACER2	94.8858
ACER3	227.2461	ACER3	554.5097
ACE	457.9428	ACE	634.5906
ACHE	19.7177	ACHE	18.1696
ACIN1	3407.7059	ACIN1	3545.7664
ACLY	2965.5372	ACLY	3780.6255
removed	removed	ACMSD	5.3836
ACN9	118.7989	ACN9	179.6773
ACO1	835.5362	ACO1	890.3111
ACO2	2881.0519	ACO2	2824.8231
ACOT11	40.4212	ACOT11	32.3015
ACOT13	539.3374	ACOT13	435.6871
ACOT1	378.0863	ACOT1	429.3412
ACOT2	286.8921	ACOT2	311.5752
ACOT4	186.332	ACOT4	43.0687
ACOT7	779.3408	ACOT7	381.5619
ACOT8	327.7224	ACOT8	263.3786
ACOT9	391.3957	ACOT9	326.3801
ACOX1	1472.9837	ACOX1	1504.7132
ACOX2	200.6273	ACOX2	123.1496
ACOX3	1002.6434	ACOX3	703.2313
ACP1	1361.012	ACP1	1419.2487
ACP2	1094.8235	ACP2	739.5706
ACP5	1722.3383	ACP5	1148.0504
ACP6	205.0637	ACP6	228.1296
ACPL2	641.8101	ACPL2	1135.9373
ACPP	13.3094	ACPP	9.4213
ACRBP	36.9706	ACRBP	8.0754
ACRC	12.3235	ACRC	14.1319
ACR	7.3941	ACR	6.0565
ACSBG1	5.4224	ACSBG1	6.0565
ACSF2	1952.542	ACSF2	526.9188
ACSF3	296.7509	ACSF3	448.8567
ACSL1	3454.0424	ACSL1	2514.8091
ACSL3	3181.4457	ACSL3	4088.836
ACSL4	727.089	ACSL4	1405.7897
ACSL5	324.3556	ACSL5	874.1603
ACSL6	12.8165	ACSL6	9.4213
ACSM1	37.4636	ACSM1	28.9368
ACSM3	9.1884	ACSM3	158.7419
