gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
ACO1	1392.9623	ACO1	2777.1836
ACO2	1571.5103	ACO2	2371.6979
ACOT11	178.2265	ACOT11	50.2986
ACOT13	523.9894	ACOT13	518.9305
ACOT1	585.3517	ACOT1	617.2014
ACOT2	375.324	ACOT2	532.5312
ACOT4	279.9204	ACOT4	191.6221
ACOT7	1087.8805	ACOT7	217.4688
ACOT8	373.8108	ACOT8	245.3164
ACOT9	416.9102	ACOT9	457.6649
ACOX1	1674.2806	ACOX1	1733.8815
ACOX2	224.3557	ACOX2	240.1961
ACOX3	596.1851	ACOX3	516.0428
ACP1	1607.8825	ACP1	965.6863
ACP2	1542.8823	ACP2	943.4046
ACP5	581.5076	ACP5	753.5651
ACP6	112.1778	ACP6	167.1123
ACPL2	562.986	ACPL2	363.6364
ACPP	104.4896	ACPP	32.0856
ACRBP	8.7366	ACRBP	25.4011
ACRC	12.2312	ACRC	29.4118
removed	removed	ACSBG1	16.0428
removed	removed	ACSBG2	8.0214
ACSF2	454.6523	ACSF2	1253.5651
ACSF3	84.2208	ACSF3	358.7344
ACSL1	1129.8162	ACSL1	7666.6667
ACSL3	3126.6518	ACSL3	2621.2121
ACSL4	456.0501	ACSL4	1438.9483
ACSL5	262.0978	ACSL5	1253.5651
ACSM1	7.3387	ACSM1	164.8841
ACSM3	9.9912	ACSM3	185.664
ACSM5	9.785	ACSM5	371.6578
ACSS1	1592.8556	ACSS1	1267.3797
ACSS2	623.7927	ACSS2	1936.7201
ACSS3	152.7156	ACSS3	569.5187
ACTA1	19.2205	ACTA1	95.8111
ACTA2	11833.152	ACTA2	27753.9617
removed	removed	ACTBL2	7.1301
ACTB	133848.4428	ACTB	74687.1658
ACTG1	107893.4241	ACTG1	52471.4795
ACTG2	199.8932	ACTG2	7794.5633
ACTL6A	1388.7688	ACTL6A	733.9572
ACTN1	7661.9917	ACTN1	10972.3708
ACTN4	11323.3684	ACTN4	13234.697
ACTR10	1274.4941	ACTR10	957.2193
ACTR1A	4143.9406	ACTR1A	2191.1765
ACTR1B	985.4876	ACTR1B	1402.4064
ACTR2	5961.8508	ACTR2	4201.8717
ACTR3B	220.1621	ACTR3B	220.5882
ACTR3C	27.6076	ACTR3C	20.9447
ACTR3	4533.5926	ACTR3	2681.8182
ACTR5	245.3235	ACTR5	202.3173
ACTR6	586.4001	ACTR6	458.5561
ACTR8	341.426	ACTR8	464.795
ACVR1B	1437.6937	ACVR1B	1315.0624
ACVR1C	20.6184	ACVR1C	761.5865
ACVR1	1599.8448	ACVR1	971.9251
ACVR2A	295.6463	ACVR2A	456.328
ACVR2B	212.4739	ACVR2B	362.2995
ACVRL1	495.1901	ACVRL1	884.1355
ACY1	286.7979	ACY1	595.8111
ACY3	19.57	ACY3	49.9109
ACYP1	50.3228	ACYP1	54.8128
ACYP2	143.979	ACYP2	151.0695
removed	removed	ADAD2	7.2326
ADAL	81.425	ADAL	163.1016
ADAM10	1334.9514	ADAM10	1678.6988
removed	removed	ADAM11	12.0321
ADAM12	1648.4203	ADAM12	232.1747
ADAM15	9575.5396	ADAM15	3087.8654
ADAM17	821.5892	ADAM17	779.8574
ADAM19	435.7812	ADAM19	53.0303
ADAM21	23.4141	ADAM21	9.3583
