gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
DPY19L4	667.1262	DPY19L4	1071.7469
DPY30	692.6231	DPY30	368.5606
DPYD	442.0716	DPYD	1030.303
DPYSL2	1910.8675	DPYSL2	4294.1176
DPYSL3	4341.3876	DPYSL3	3275.8467
DPYSL4	11.1828	removed	removed
DR1	712.5565	DR1	881.016
DRAM1	636.0239	DRAM1	484.4029
DRAM2	1262.9618	DRAM2	1375.6684
DRAP1	1820.3564	DRAP1	732.1747
DRD1	6.9893	DRD1	19.6078
removed	removed	DRD2	91.3547
DRD4	18.1721	removed	removed
DRG1	699.9758	DRG1	901.5152
DRG2	451.5071	DRG2	654.6346
DRP2	5.9409	removed	removed
DSC1	6.6398	DSC1	41.4439
DSC2	2187.6428	DSC2	1994.2068
DSC3	87.7154	DSC3	1463.0125
DSCAML1	18.1721	DSCAML1	26.738
removed	removed	DSCAM	12.0321
DSCC1	153.0651	DSCC1	68.1818
DSCR3	838.3634	DSCR3	845.8111
DSCR6	83.1724	removed	removed
DSEL	337.5819	DSEL	469.697
DSE	783.1062	DSE	1046.7469
removed	removed	DSG1	90.0178
DSG2	5009.5552	DSG2	4952.2638
DSG3	40.8873	DSG3	1075.3119
DSN1	400.1359	DSN1	172.0143
DSP	36214.2247	DSP	15596.7023
DSTN	6532.525	DSTN	8128.7879
DSTYK	2399.4178	DSTYK	1039.6613
DST	2891.8122	DST	31741.9786
DTD1	299.1409	DTD1	450.5348
DTL	386.1574	DTL	45.0089
DTNA	118.4682	DTNA	353.3868
DTNBP1	477.3674	DTNBP1	276.2923
DTNB	707.664	DTNB	627.451
DTWD1	202.3395	DTWD1	468.8057
DTWD2	181.3717	DTWD2	192.0677
DTX1	27.6076	DTX1	288.3244
DTX2	910.7024	DTX2	312.8342
DTX3L	2185.4831	DTX3L	1270.1827
DTX3	673.766	DTX3	542.3351
DTX4	482.9588	DTX4	762.9234
DTYMK	605.9701	DTYMK	232.1747
DULLARD	1643.1783	DULLARD	1475.4902
DUOX1	150.6189	DUOX1	152.852
removed	removed	DUOX2	20.0535
removed	removed	DUOXA1	32.4643
DUS1L	1200.4078	DUS1L	1075.3119
DUS2L	139.7855	DUS2L	122.1034
DUS3L	145.3769	DUS3L	280.303
DUS4L	176.1577	DUS4L	122.1569
DUSP10	558.0935	DUSP10	598.0392
DUSP11	460.5932	DUSP11	411.7647
DUSP12	576.9646	DUSP12	192.5134
DUSP14	313.8184	DUSP14	891.2656
DUSP15	10.4839	removed	removed
DUSP16	1672.5333	DUSP16	3179.1444
DUSP18	118.1187	DUSP18	156.4171
DUSP19	85.2691	DUSP19	88.2353
DUSP1	1572.5867	DUSP1	7946.9697
DUSP22	830.6752	DUSP22	1004.0107
DUSP23	2013.9593	DUSP23	435.3832
removed	removed	DUSP26	37.4332
DUSP27	10.8334	DUSP27	9.8039
DUSP28	80.0272	DUSP28	70.41
DUSP2	48.9249	DUSP2	381.016
DUSP3	1175.5959	DUSP3	2560.6061
DUSP4	655.5939	DUSP4	1327.5401
DUSP5P	6.2903	removed	removed
DUSP5	1129.1172	DUSP5	1095.8111
DUSP6	1185.7303	DUSP6	3393.9394
DUSP7	359.2487	DUSP7	471.0339
DUSP8	303.3345	DUSP8	623.4403
DUSP9	12.9302	DUSP9	19.1622
DUT	571.9952	DUT	776.0606
DVL1	674.4649	DVL1	1004.0107
DVL2	470.0287	DVL2	682.7094
DVL3	2436.4609	DVL3	1711.2299
DVWA	21.3173	removed	removed
DYDC2	12.5807	removed	removed
DYM	1098.015	DYM	722.3708
DYNC1H1	7989.4392	DYNC1H1	9971.4795
DYNC1I1	19.9194	DYNC1I1	28.5205
DYNC1I2	2645.4402	DYNC1I2	1788.3244
DYNC1LI1	525.2439	DYNC1LI1	664.8841
DYNC1LI2	1923.7977	DYNC1LI2	3025.8467
DYNC2H1	321.1571	DYNC2H1	914.8841
DYNC2LI1	387.5552	DYNC2LI1	407.754
DYNLL1	5480.6393	DYNLL1	2614.5276
DYNLL2	1725.6518	DYNLL2	1593.5829
DYNLRB1	1775.2756	DYNLRB1	1337.7897
removed	removed	DYNLRB2	28.5205
DYNLT1	1665.544	DYNLT1	676.025
DYNLT3	1113.3914	DYNLT3	557.9323
DYRK1A	1925.8945	DYRK1A	1784.7594
DYRK1B	652.0993	DYRK1B	365.4189
DYRK2	708.0135	DYRK2	588.2353
DYRK3	675.8628	DYRK3	603.8324
DYRK4	335.8346	DYRK4	248.6631
DYSF	600.3786	DYSF	407.754
DYX1C1	65.9578	DYX1C1	62.4777
DZIP1L	35.9948	DZIP1L	154.6346
DZIP1	175.0079	DZIP1	223.9349
DZIP3	326.0496	DZIP3	392.0811
E2F1	321.5066	E2F1	50.8021
E2F2	79.6777	E2F2	26.2923
E2F3	532.5827	E2F3	304.8128
E2F4	751.347	E2F4	850.2674
E2F5	183.0421	E2F5	108.4626
E2F6	288.3076	E2F6	324.8663
E2F7	45.7797	E2F7	6.6845
E2F8	87.0165	E2F8	16.4884
E4F1	565.0828	E4F1	410.8734
EAF1	5252.4395	EAF1	693.8503
EAF2	37.7421	EAF2	31.6399
EAPP	751.347	EAPP	779.4118
EARS2	745.7555	EARS2	785.205
EBAG9	439.9748	EBAG9	559.7148
EBF1	161.4522	EBF1	1007.1301
EBF2	15.0269	EBF2	98.0392
EBF3	44.3819	EBF3	438.5027
EBF4	376.0229	EBF4	271.836
EBI3	16.4248	EBI3	29.8574
EBNA1BP2	1755.3981	EBNA1BP2	911.3191
EBPL	665.7284	EBPL	343.5829
EBP	596.1851	EBP	265.5971
ECD	822.987	ECD	623.8859
ECE1	20743.4666	ECE1	8438.9483
ECE2	216.318	ECE2	89.1266
ECEL1	66.3981	ECEL1	5.7932
ECH1	2399.7673	ECH1	3148.8414
ECHDC1	815.9977	ECHDC1	1136.3636
ECHDC2	403.2811	ECHDC2	1132.3529
ECHDC3	341.7755	ECHDC3	1139.4831
ECHS1	8057.9341	ECHS1	2081.9964
ECM1	1079.4934	ECM1	533.8681
ECM2	553.201	ECM2	1610.0713
ECSCR	61.8551	ECSCR	150.6239
ECSIT	330.5927	ECSIT	583.3333
removed	removed	ECT2L	9.8039
ECT2	1031.2674	ECT2	265.1515
EDA2R	127.2048	EDA2R	218.3601
EDARADD	547.6096	EDARADD	610.5169
removed	removed	EDAR	12.0321
EDA	55.9142	EDA	128.3422
EDC3	596.1851	EDC3	697.4153
EDC4	1128.6105	EDC4	1145.2317
EDEM1	1016.9394	EDEM1	1620.3209
EDEM2	845.3527	EDEM2	447.4153
EDEM3	1097.316	EDEM3	1381.4617
EDF1	4328.4574	EDF1	2918.0036
EDIL3	648.2552	EDIL3	281.1943
EDN1	105.1886	EDN1	303.9216
EDN2	506.7224	EDN2	21.836
removed	removed	EDN3	95.3654
EDNRA	929.5735	EDNRA	401.9608
EDNRB	87.7154	EDNRB	727.7184
EEA1	587.798	EEA1	1060.6061
EED	616.1045	EED	382.3529
EEF1A1P9	7892.2883	EEF1A1P9	6977.2727
EEF1A1	112550.0279	EEF1A1	122074.8663
EEF1A2	607.3679	EEF1A2	61.943
removed	removed	EEF1B2	4931.3725
removed	removed	EEF1DP3	6.6845
EEF1D	7967.7725	EEF1D	6992.8699
EEF1E1	292.1517	EEF1E1	206.7736
EEF1G	24424.3678	EEF1G	23314.6168
EEF2K	1038.6061	EEF2K	2603.8324
EEF2	32531.2268	EEF2	61390.3743
EEFSEC	369.6452	EEFSEC	365.0401
EEPD1	326.0496	EEPD1	500.4456
removed	removed	EFCAB1	77.9857
EFCAB2	120.9144	EFCAB2	138.1462
EFCAB4A	789.4385	EFCAB4A	1292.3351
EFCAB4B	183.119	EFCAB4B	376.1141
EFCAB6	23.7635	EFCAB6	60.6061
EFCAB7	131.7478	EFCAB7	139.4831
EFEMP1	1002.2619	EFEMP1	7380.5704
EFEMP2	1578.5276	EFEMP2	1068.1818
EFHA1	1176.2948	EFHA1	728.164
EFHA2	5.9409	EFHA2	90.9091
EFHB	5.9409	EFHB	10.6952
EFHC1	294.5979	EFHC1	445.1872
EFHC2	34.2474	EFHC2	24.9554
EFHD1	2980.5759	EFHD1	4701.8717
EFHD2	1049.789	EFHD2	745.9893
EFNA1	7737.8253	EFNA1	1249.1087
EFNA3	1044.5924	EFNA3	123.8859
EFNA4	2018.8064	EFNA4	192.959
EFNA5	430.1898	EFNA5	538.7701
EFNB1	534.33	EFNB1	1171.5686
EFNB2	702.0726	EFNB2	1224.1533
EFNB3	179.2749	EFNB3	280.303
EFR3A	1926.9429	EFR3A	1561.0517
EFR3B	348.4153	EFR3B	38.7701
EFS	1975.8678	EFS	1219.697
EFTUD1	1142.7463	EFTUD1	606.9519
EFTUD2	1566.2963	EFTUD2	1532.5267
EGFL6	127.5543	EGFL6	159.0909
EGFL7	1372.6934	EGFL7	873.8859
EGFL8	45.1472	EGFL8	127.7986
EGFLAM	241.4794	EGFLAM	709.893
EGFR	42.984	EGFR	1926.787
EGF	119.8661	EGF	571.7469
EGLN1	448.7114	EGLN1	1130.5704
EGLN2	1688.6506	EGLN2	1346.2567
EGLN3	1647.7214	EGLN3	281.1943
EGOT	13.9785	EGOT	57.9323
EGR1	1568.7426	EGR1	25044.5633
EGR2	174.0329	EGR2	2883.6898
EGR3	28.3066	EGR3	4421.5686
EHBP1L1	1223.8219	EHBP1L1	1201.426
EHBP1	704.1694	EHBP1	1121.6578
EHD1	1639.6837	EHD1	1131.9073
EHD2	1680.571	EHD2	5488.4135
EHD3	355.4046	EHD3	811.943
EHD4	1235.3542	EHD4	1544.1176
EHF	2777.5375	EHF	5464.3494
EHHADH	295.6463	EHHADH	409.0909
EHMT1	2180.3041	EHMT1	1522.7273
EHMT2	2116.3522	EHMT2	1341.3547
EI24	2096.4328	EI24	2535.6506
EID1	1825.2489	EID1	2860.5169
EID2B	31.8012	EID2B	21.3904
EID2	250.5655	EID2	252.2282
EID3	30.4033	EID3	42.3351
EIF1AD	671.6692	EIF1AD	481.2834
removed	removed	EIF1AX	2124.3316
EIF1B	431.5877	EIF1B	854.2781
EIF1	7372.6358	EIF1	13247.3262
EIF2AK1	6216.4037	EIF2AK1	2521.3235
EIF2AK2	633.9272	EIF2AK2	415.7754
EIF2AK3	1438.7421	EIF2AK3	896.1676
EIF2AK4	1168.9561	EIF2AK4	1630.5704
EIF2A	1604.0384	EIF2A	2241.9786
EIF2B1	1199.01	EIF2B1	1068.6275
EIF2B2	595.4862	EIF2B2	454.0998
EIF2B3	631.1314	EIF2B3	571.7469
EIF2B4	881.3475	EIF2B4	752.6738
EIF2B5	1283.5802	EIF2B5	1123.8859
EIF2C1	554.9484	EIF2C1	1021.836
EIF2C2	321.1571	EIF2C2	286.9875
EIF2C3	184.1674	EIF2C3	218.3601
EIF2C4	149.9199	EIF2C4	592.246
EIF2S1	1582.0222	EIF2S1	1468.3601
EIF2S2	1693.8506	EIF2S2	1222.8164
EIF2S3	5686.8229	EIF2S3	4749.1087
EIF3A	11269.1561	EIF3A	7432.2638
EIF3B	4691.5502	EIF3B	3586.0071
EIF3CL	9211.6256	EIF3CL	12246.4929
EIF3C	309.513	EIF3C	97.5357
EIF3D	2690.8705	EIF3D	5325.7576
EIF3E	4481.872	EIF3E	7389.4831
EIF3F	3116.8668	EIF3F	2737.5223
EIF3G	1830.4035	EIF3G	2628.2442
EIF3H	6926.3706	EIF3H	4299.4652
EIF3I	2201.9708	EIF3I	2921.6533
EIF3J	960.3263	EIF3J	1479.0553
EIF3K	2439.9556	EIF3K	2647.9501
EIF3L	4246.6829	EIF3L	10457.6649
EIF3M	3079.0059	EIF3M	2217.6114
EIF4A1	7486.4491	EIF4A1	9804.0954
EIF4A2	7399.5445	EIF4A2	8820.8556
EIF4A3	2326.7293	EIF4A3	1497.7718
EIF4B	8009.2818	EIF4B	11484.2736
EIF4E2	1612.4255	EIF4E2	1094.4742
EIF4E3	573.8194	EIF4E3	1098.9305
EIF4EBP1	402.9317	EIF4EBP1	511.1408
EIF4EBP2	4406.7373	EIF4EBP2	7014.2602
EIF4EBP3	150.3672	EIF4EBP3	415.8512
EIF4ENIF1	451.8566	EIF4ENIF1	618.5383
EIF4E	482.2599	EIF4E	433.6007
EIF4G1	9644.8488	EIF4G1	8066.8449
EIF4G2	34140.1577	EIF4G2	16559.2692
EIF4G3	5006.7665	EIF4G3	1453.6542
EIF4H	4505.985	EIF4H	4667.1123
EIF5A2	174.7319	EIF5A2	117.6471
EIF5AL1	797.4762	EIF5AL1	842.246
EIF5A	3034.0439	EIF5A	3459.4474
EIF5B	4762.8408	EIF5B	3258.0214
EIF5	2641.9456	EIF5	4723.262
EIF6	1949.3085	EIF6	1430.4813
ELAC1	67.796	ELAC1	124.4207
ELAC2	1091.7246	ELAC2	1193.8503
ELAVL1	2183.7987	ELAVL1	1317.2906
ELAVL2	13.6291	ELAVL2	5.3476
ELF1	1853.206	ELF1	1803.9216
ELF2	433.335	ELF2	872.9947
ELF3	3530.6318	ELF3	3306.1497
ELF4	505.3245	ELF4	535.6506
ELF5	21.3173	ELF5	2307.4866
ELFN1	52.4196	ELFN1	33.4225
ELFN2	5.9409	ELFN2	7.5758
ELK1	753.0943	ELK1	661.3191
ELK3	302.2861	ELK3	514.7059
ELK4	392.0983	ELK4	192.5134
ELL2	1351.0267	ELL2	1398.8414
ELL3	100.2017	ELL3	163.5339
ELL	807.2612	ELL	495.9893
ELMO1	246.3719	ELMO1	480.8378
ELMO2	1425.4624	ELMO2	844.0285
ELMO3	527.6902	ELMO3	377.0053
ELMOD1	5.9409	removed	removed
removed	removed	ELMOD2	196.0784
ELMOD3	406.7758	ELMOD3	939.8396
ELN	1064.8159	ELN	1803.0303
ELOF1	655.9434	ELOF1	604.7237
ELOVL1	2189.7396	ELOVL1	1342.246
ELOVL2	258.6031	ELOVL2	163.9929
removed	removed	ELOVL3	12.9234
ELOVL4	38.0915	ELOVL4	33.8681
ELOVL5	4444.1299	ELOVL5	7510.2496
ELOVL6	218.7643	ELOVL6	125.6684
ELOVL7	133.4951	ELOVL7	260.2496
ELP2P	10.1344	ELP2P	12.4777
ELP2	3551.2502	ELP2	1907.754
ELP3	525.2439	ELP3	606.9519
ELP4	212.1245	ELP4	210.7843
ELTD1	413.4156	ELTD1	1364.5276
EMB	193.9524	EMB	608.2888
EMCN	246.3719	EMCN	790.107
EMD	1125.2731	EMD	874.3316
EME1	40.2442	EME1	12.0009
EME2	11.8818	EME2	13.8146
EMG1	579.0614	EMG1	391.7112
EMID1	96.1025	EMID1	72.1925
EMID2	8.7366	EMID2	18.2709
EMILIN1	1572.9361	EMILIN1	897.9501
EMILIN2	240.0816	EMILIN2	638.1462
EMILIN3	9.2818	EMILIN3	70.0357
EML1	716.7501	EML1	367.2014
EML2	724.9625	EML2	836.7558
EML3	774.761	EML3	1109.18
EML4	1551.6188	EML4	1357.8431
EML5	11.5323	EML5	61.4973
EML6	22.0162	EML6	12.0321
EMP1	2635.6553	EMP1	13583.3333
EMP2	3932.8645	EMP2	4995.9893
EMP3	509.5181	EMP3	397.0588
EMR1	13.9785	removed	removed
EMR2	58.3604	EMR2	183.1551
EMR4P	5.9409	EMR4P	24.5098
EMX1	22.7151	removed	removed
EMX2OS	49.2744	EMX2OS	205.8824
EMX2	30.0539	EMX2	55.2585
EN1	130.0005	EN1	34.3137
EN2	21.6667	EN2	6.6845
ENAH	8262.3704	ENAH	3012.0321
ENC1	2951.1581	ENC1	1045.9537
ENDOD1	991.0791	ENDOD1	1930.4813
ENDOG	173.7044	ENDOG	94.0463
removed	removed	ENDOU	10.2496
ENGASE	307.1786	ENGASE	628.7879
ENG	2382.2941	ENG	3188.9483
ENHO	5.9409	ENHO	75.7576
ENO1	12883.3289	ENO1	14151.9608
ENO2	1211.2412	ENO2	407.3084
ENO3	24.4625	ENO3	38.3244
ENOPH1	608.4163	ENOPH1	571.7469
ENOSF1	470.455	ENOSF1	623.0882
ENOX1	96.1025	ENOX1	76.6488
ENOX2	268.7376	ENOX2	318.1818
ENPEP	492.0449	ENPEP	195.6328
ENPP1	3303.8299	ENPP1	1242.4242
removed	removed	ENPP2	2619.4296
ENPP3	9.785	ENPP3	57.9323
ENPP4	692.9865	ENPP4	544.1176
ENPP5	1586.5652	ENPP5	347.148
ENPP6	9.785	ENPP6	23.1729
ENSA	12445.4509	ENSA	3613.1907
ENTPD1	1222.424	ENTPD1	1174.238
ENTPD2	286.2108	ENTPD2	337.344
ENTPD3	90.1616	ENTPD3	84.6702
ENTPD4	687.7446	ENTPD4	422.9055
ENTPD5	270.5024	ENTPD5	312.3797
ENTPD6	2297.0249	ENTPD6	1557.9323
ENTPD7	874.0786	ENTPD7	202.0276
ENTPD8	75.4842	removed	removed
ENY2	607.3679	ENY2	385.918
removed	removed	EOMES	7.5758
EP300	1782.2649	EP300	3094.0285
EP400NL	112.1778	EP400NL	123.8859
EP400	1617.318	EP400	2012.0321
EPAS1	3101.4904	EPAS1	9564.1711
EPB41L1	2431.9179	EPB41L1	2118.5383
EPB41L2	585.3517	EPB41L2	3405.0802
EPB41L3	191.5061	EPB41L3	1264.7059
EPB41L4A	721.992	EPB41L4A	707.6649
EPB41L4B	506.3729	EPB41L4B	1213.4581
EPB41L5	786.2933	EPB41L5	630.5704
EPB41	827.3483	EPB41	1220.6462
removed	removed	EPB42	25.4011
EPB49	334.4368	EPB49	643.4938
EPC1	465.4857	EPC1	759.3583
EPC2	633.9272	EPC2	811.4973
EPCAM	6167.6849	EPCAM	1955.8824
EPDR1	240.7805	EPDR1	577.0945
EPGN	6.9893	removed	removed
EPHA10	200.5922	EPHA10	148.3957
EPHA1	486.8029	EPHA1	323.0838
EPHA2	414.8134	EPHA2	884.5811
EPHA3	115.323	EPHA3	91.3547
EPHA4	635.6745	EPHA4	384.1355
removed	removed	EPHA5	5.3476
EPHA7	5.9409	EPHA7	41.4439
EPHA8	9.4355	removed	removed
EPHB1	42.2851	EPHB1	523.6185
EPHB2	264.1946	EPHB2	32.5312
EPHB3	2434.0147	EPHB3	1143.9394
EPHB4	5710.2369	EPHB4	2441.1765
EPHB6	33.1991	EPHB6	510.2496
EPHX1	11235.957	EPHX1	3965.6863
EPHX2	182.7695	EPHX2	730.8378
EPHX3	19.57	EPHX3	9.3583
EPHX4	67.097	EPHX4	14.2602
EPM2AIP1	679.008	EPM2AIP1	1288.3244
EPM2A	111.4789	EPM2A	201.8717
EPN1	2497.6171	EPN1	1423.7968
EPN2	971.8586	EPN2	1043.2264
EPN3	363.0928	EPN3	192.8832
EPOR	277.7957	EPOR	122.4599
EPO	15.7259	removed	removed
EPPK1	1734.7378	EPPK1	1820.41
EPR1	303.5197	EPR1	23.1907
EPRS	13336.2339	EPRS	3073.5294
EPS15L1	1837.8296	EPS15L1	741.9786
EPS15	1340.5428	EPS15	1918.8948
EPS8L1	711.8576	EPS8L1	482.1747
EPS8L2	1434.898	EPS8L2	1491.9786
EPS8	1265.7575	EPS8	2140.82
EPSTI1	213.8718	EPSTI1	113.1907
EPT1	1151.1334	EPT1	960.6952
EPYC	6.9893	removed	removed
ERAL1	1081.2407	ERAL1	742.8699
ERAP1	1639.9842	ERAP1	1897.2504
ERAP2	146.4253	ERAP2	105.615
ERBB2IP	2856.8658	ERBB2IP	2034.3137
ERBB2	6497.9281	ERBB2	6273.6185
ERBB3	6005.1843	ERBB3	5315.0624
ERBB4	401.5338	ERBB4	765.1515
ERC1	2207.5622	ERC1	1695.6328
removed	removed	ERC2	21.836
ERCC1	1168.5297	ERCC1	806.1497
ERCC2	502.8783	ERCC2	348.4848
ERCC3	1019.3856	ERCC3	1106.9519
ERCC4	281.6677	ERCC4	484.8485
ERCC5	991.4285	ERCC5	1317.7362
ERCC6L	130.0005	ERCC6L	23.1729
ERCC6	386.5872	ERCC6	365.0758
ERCC8	181.7211	ERCC8	149.287
EREG	11.1828	EREG	13.369
ERF	907.5572	ERF	1295.0089
ERGIC1	7716.5081	ERGIC1	4252.2282
ERGIC2	981.6435	ERGIC2	564.1711
ERGIC3	4929.1855	ERGIC3	2960.7843
ERG	198.4954	ERG	747.3262
ERH	2569.2572	ERH	1047.2371
ERI1	279.2215	ERI1	257.1301
ERI2	287.053	ERI2	672.6248
ERI3	1345.7847	ERI3	791.8895
ERICH1	114.6241	ERICH1	322.6381
ERLEC1	2291.4335	ERLEC1	1196.9697
ERLIN1	913.1487	ERLIN1	1045.4545
ERLIN2	821.9386	ERLIN2	2033.8681
ERMAP	1322.7201	ERMAP	454.0998
ERMN	33.898	ERMN	6.2389
ERMP1	2521.1744	ERMP1	1447.91
ERN1	207.232	ERN1	307.9323
ERO1LB	187.3125	ERO1LB	425.5793
ERO1L	1132.6119	ERO1L	408.1996
ERP27	536.7762	ERP27	174.6881
ERP29	2736.3008	ERP29	2283.4225
ERP44	1856.7007	ERP44	1301.6934
ERRFI1	858.9818	ERRFI1	3125.6684
removed	removed	ERVFRDE1	12.9234
ESAM	797.1267	ESAM	1156.8627
ESCO1	661.8843	ESCO1	463.9037
ESCO2	112.5273	ESCO2	21.836
ESD	1380.0322	ESD	1861.4082
ESF1	626.5884	ESF1	455.8824
ESM1	514.0611	ESM1	6.6845
ESPL1	260.3505	ESPL1	49.0196
ESPNL	8.0377	ESPNL	15.5971
ESPN	563.3355	ESPN	169.3405
ESR1	5166.8209	ESR1	1321.3012
ESR2	6.2903	ESR2	24.0642
ESRP1	3058.1569	ESRP1	1573.0838
ESRP2	931.3208	ESRP2	812.8342
ESRRA	855.4871	ESRRA	540.5526
ESRRG	104.4896	ESRRG	122.549
ESYT1	4311.6832	ESYT1	6249.5544
ESYT2	3614.5031	ESYT2	4074.8663
ESYT3	38.0915	ESYT3	69.5187
ETAA1	315.9152	ETAA1	236.1854
ETF1	2877.1347	ETF1	3801.2478
ETFA	622.3949	ETFA	1252.2282
ETFB	512.3138	ETFB	1224.5989
ETFDH	301.2063	ETFDH	558.8235
ETHE1	621.3465	ETHE1	444.7415
ETNK1	899.869	ETNK1	1123.4403
ETNK2	1423.3657	ETNK2	487.9679
ETS1	1240.2467	ETS1	3522.2816
ETS2	703.121	ETS2	3688.9483
ETV1	383.7111	ETV1	334.6702
ETV2	12.5807	ETV2	11.5865
removed	removed	ETV3L	24.9554
ETV3	151.3178	ETV3	410.8734
ETV4	228.8987	ETV4	121.6578
ETV5	387.5552	ETV5	780.303
ETV6	2019.9002	ETV6	1976.8271
ETV7	83.8713	ETV7	15.1515
EVC2	70.2422	EVC2	125.2228
EVC	1015.9923	EVC	995.8512
EVI2A	194.6513	EVI2A	151.9608
EVI2B	188.0115	EVI2B	213.9037
EVI5L	856.885	EVI5L	309.2692
EVI5	258.9526	EVI5	376.5597
EVL	6953.9783	EVL	2244.6524
EVPLL	36.6937	removed	removed
EVPL	1750.1142	EVPL	611.8538
EWSR1	3399.9324	EWSR1	3735.2941
EXD2	1375.8386	EXD2	795.0089
EXD3	158.6565	EXD3	219.697
EXO1	190.4577	EXO1	18.2709
EXOC1	1067.9611	EXOC1	1078.877
EXOC2	1531.6994	EXOC2	838.2353
EXOC3L2	60.4572	EXOC3L2	44.1176
EXOC3L	61.1561	EXOC3L	45.9002
EXOC3	997.0199	EXOC3	1162.2103
EXOC4	1514.2262	EXOC4	1418.8948
EXOC5	1421.6183	EXOC5	1201.426
EXOC6B	188.0115	EXOC6B	294.1176
EXOC6	928.1756	EXOC6	417.1123
EXOC7	2978.3603	EXOC7	3284.2112
EXOC8	204.7857	EXOC8	457.6649
EXOG	85.9681	EXOG	108.7344
EXOSC10	1426.8603	EXOSC10	1564.6168
EXOSC1	409.222	EXOSC1	294.5633
EXOSC2	379.5176	EXOSC2	430.4813
EXOSC3	416.9102	EXOSC3	245.5437
EXOSC4	350.8616	EXOSC4	203.6542
EXOSC5	258.6031	EXOSC5	321.3012
EXOSC6	198.8448	EXOSC6	251.7825
EXOSC7	336.1841	EXOSC7	428.2531
EXOSC8	298.3476	EXOSC8	241.426
EXOSC9	298.8788	EXOSC9	444.0463
EXPH5	174.3824	EXPH5	379.2335
EXT1	1546.3769	EXT1	1103.8324
EXT2	3537.6211	EXT2	1743.3155
EXTL1	19.2205	EXTL1	19.6078
EXTL2	405.0284	EXTL2	340.0178
EXTL3	984.0898	EXTL3	1119.4296
EYA1	13.9785	EYA1	8.0214
EYA2	1021.1329	EYA2	689.8396
EYA3	179.6243	EYA3	114.9733
removed	removed	EYS	17.3797
EZH1	384.0606	EZH1	1874.7772
EZH2	442.421	EZH2	61.4973
EZR	8131.6709	EZR	4213.9037
F10	42.2851	F10	118.5383
F11R	19969.7539	F11R	3590.9358
F12	155.5113	F12	32.0856
F13A1	4088.0264	F13A1	1363.6364
F2RL1	221.56	F2RL1	217.0232
F2RL2	46.8281	F2RL2	84.6702
F2RL3	208.6298	F2RL3	72.6381
F2R	785.2449	F2R	611.8538
F3	279.571	F3	1751.7825
F5	7.3387	removed	removed
F7	239.3826	F7	55.2585
F8A1	127.9037	F8A1	103.3868
F8	308.2305	F8	907.3084
FA2H	29.355	FA2H	80.6595
FAAH2	218.0654	FAAH2	126.1141
FAAH	699.6263	FAAH	486.631
FABP3	98.5488	FABP3	160.4278
FABP4	12.5807	FABP4	27153.2977
FABP5	55.5647	FABP5	183.1551
FABP6	9.785	removed	removed
removed	removed	FABP7	168.0036
FADD	819.4924	FADD	370.7665
FADS1	1052.9341	FADS1	131.2522
FADS2	11253.7797	FADS2	121.4216
FADS3	705.5672	FADS3	858.7344
FAF1	792.9331	FAF1	813.7255
FAF2	2180.3041	FAF2	1497.7718
FAHD1	499.0342	FAHD1	334.1756
FAHD2A	126.8553	FAHD2A	426.025
FAHD2B	131.7478	FAHD2B	208.1105
FAH	698.2285	FAH	1566.8449
FAIM2	110.4305	FAIM2	16.4884
FAIM3	486.415	FAIM3	157.7807
FAIM	200.9416	FAIM	204.9911
FAM100A	387.5552	FAM100A	393.4938
FAM100B	545.5128	FAM100B	602.9412
FAM101A	149.9199	FAM101A	79.3226
FAM101B	457.0985	FAM101B	589.5722
FAM102A	3543.9114	FAM102A	1949.1979
FAM102B	1008.2028	FAM102B	854.7237
FAM103A1	336.1002	FAM103A1	243.7611
FAM104A	1031.3303	FAM104A	604.4207
FAM104B	205.4847	FAM104B	168.4492
FAM105A	164.2479	FAM105A	201.426
FAM105B	535.7279	FAM105B	382.3529
FAM106C	5.242	FAM106C	11.5865
FAM107A	23.7635	FAM107A	1201.8717
FAM107B	1727.0496	FAM107B	2016.934
FAM108A1	280.9688	FAM108A1	333.779
FAM108B1	274.329	FAM108B1	263.8146
FAM108C1	604.5722	FAM108C1	279.8574
FAM109A	451.5071	FAM109A	248.2175
FAM109B	478.7653	FAM109B	298.574
FAM10A4	177.5276	FAM10A4	368.0927
FAM110A	635.6745	FAM110A	244.2068
FAM110B	617.1529	FAM110B	255.7932
FAM110C	15.7259	FAM110C	25.4011
FAM111A	1308.0426	FAM111A	830.2139
FAM111B	442.0716	FAM111B	94.4742
FAM113A	494.1417	FAM113A	532.0856
FAM113B	629.7336	FAM113B	130.5704
FAM114A1	1323.0696	FAM114A1	613.1907
FAM114A2	576.2656	FAM114A2	465.2406
FAM115A	402.2327	FAM115A	590.4635
FAM115C	259.6061	FAM115C	545.9225
FAM116A	469.6792	FAM116A	725.4902
FAM116B	133.8446	FAM116B	211.2299
FAM117A	191.8556	FAM117A	449.1979
FAM117B	605.2711	FAM117B	328.877
FAM118A	216.6675	FAM118A	741.0873
FAM118B	281.6677	FAM118B	172.9055
FAM119A	251.2644	FAM119A	203.2086
FAM119B	181.0222	FAM119B	296.7914
FAM120AOS	2037.3035	FAM120AOS	1105.2362
FAM120A	6944.6126	FAM120A	3970.0758
