gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
ACOT1	307.5145	ACOT1	1003.7847
ACOT2	248.5549	ACOT2	639.6131
ACOT4	365.896	ACOT4	190.9167
removed	removed	ACOT6	10.9336
ACOT7	681.7919	ACOT7	263.6669
ACOT8	619.1012	ACOT8	215.7233
ACOT9	68.7861	ACOT9	502.1026
ACOX1	1769.3382	ACOX1	3260.4037
ACOX2	359.2486	ACOX2	388.5618
ACOX3	1050.8671	ACOX3	516.4003
ACOXL	5.4913	removed	removed
ACP1	1723.1214	ACP1	1005.4668
ACP2	1397.1098	ACP2	1039.9495
ACP5	897.3988	ACP5	812.868
ACP6	233.815	ACP6	259.0412
ACPL2	109.5376	ACPL2	359.9664
ACPP	6.6474	ACPP	26.4929
ACRBP	83.237	ACRBP	20.185
ACRC	9.8266	ACRC	17.2414
removed	removed	ACR	7.1489
removed	removed	ACSBG1	12.6156
ACSF2	338.1503	ACSF2	890.6644
ACSF3	257.8035	ACSF3	364.5921
ACSL1	858.9595	ACSL1	16510.513
ACSL3	5172.2543	ACSL3	2624.4743
ACSL4	244.7977	ACSL4	1814.9706
ACSL5	117.341	ACSL5	1041.6316
ACSL6	58.9595	removed	removed
ACSM1	8.3815	ACSM1	93.7763
ACSM3	5.0318	ACSM3	73.5071
ACSM5	5.4913	ACSM5	333.053
ACSS1	3687.2832	ACSS1	682.9268
ACSS2	978.0347	ACSS2	3220.7738
ACSS3	1185.2601	ACSS3	637.09
removed	removed	ACTA1	18.0824
ACTA2	1165.8121	ACTA2	15653.4272
ACTB	68045.3757	ACTB	72119.8486
removed	removed	ACTC1	5.4668
ACTG1	119776.5896	ACTG1	44375.9462
ACTG2	16.763	ACTG2	4854.4996
ACTL6A	909.5376	ACTL6A	685.45
ACTL6B	86.1272	removed	removed
ACTL8	8.6705	removed	removed
ACTN1	2182.948	ACTN1	8380.1514
ACTN4	10311.9451	ACTN4	10193.2422
ACTR10	1156.3584	ACTR10	981.4971
ACTR1A	2975.4335	ACTR1A	2625.7359
ACTR1B	1232.3699	ACTR1B	1400.3364
ACTR2	6668.4971	ACTR2	4545.8368
ACTR3B	187.5723	ACTR3B	143.3978
ACTR3C	53.1792	ACTR3C	43.7342
ACTR3	3114.4509	ACTR3	2569.8066
ACTR5	247.1098	ACTR5	162.3213
ACTR6	819.9422	ACTR6	503.3642
ACTR8	445.0867	ACTR8	523.9697
ACVR1B	1709.5376	ACVR1B	1037.0059
ACVR1C	36.7052	ACVR1C	1786.7956
ACVR1	569.9422	ACVR1	1158.1161
ACVR2A	134.6821	ACVR2A	542.0521
ACVR2B	518.2081	ACVR2B	261.5643
ACVRL1	202.0231	ACVRL1	1113.5408
ACY1	673.6994	ACY1	621.1102
removed	removed	ACY3	6.7283
removed	removed	ACYP1	54.2473
ACYP2	21.9653	ACYP2	168.6291
ADAL	60.1156	ADAL	134.5669
ADAM10	1781.7919	ADAM10	1635.8284
removed	removed	ADAM11	14.2977
ADAM12	190.7514	ADAM12	822.1194
ADAM15	3892.5116	ADAM15	3037.0648
ADAM17	653.4682	ADAM17	696.3835
ADAM19	71.6763	ADAM19	54.2473
ADAM21	10.1156	removed	removed
ADAM22	8.0925	ADAM22	74.4323
removed	removed	ADAM23	36.1648
