gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
CAMKK1	82.3699	CAMKK1	360.3869
CAMKK2	1579.4798	CAMKK2	1986.9638
CAMLG	1847.6879	CAMLG	746.4256
CAMP	73.4104	removed	removed
CAMSAP1L1	2936.9942	CAMSAP1L1	1326.3246
CAMSAP1	1085.5491	CAMSAP1	851.9765
CAMTA1	186.7052	CAMTA1	441.968
CAMTA2	910.1156	CAMTA2	1347.7712
CAND1	3465.896	CAND1	2314.55
CAND2	19.9422	CAND2	135.8284
CANT1	3533.526	CANT1	1267.0311
CANX	40136.7052	CANX	14630.3616
CAP1	5042.1965	CAP1	5605.9714
CAP2	722.2543	CAP2	809.9243
CAPG	612.4277	CAPG	1794.7855
CAPN10	219.9422	CAPN10	217.0101
CAPN11	8.0925	CAPN11	110.5971
CAPN12	41.5231	CAPN12	55.286
CAPN13	875.4335	CAPN13	107.233
CAPN1	3323.4104	CAPN1	3257.7796
CAPN2	6402.6012	CAPN2	5947.8553
CAPN3	8.5636	CAPN3	161.9554
CAPN5	55.7803	CAPN5	379.3103
removed	removed	CAPN6	442.3886
CAPN7	701.1561	CAPN7	941.127
CAPN8	153.7572	CAPN8	222.4558
CAPN9	177.4566	CAPN9	48.36
CAPNS1	6271.9653	CAPNS1	6600.5046
CAPRIN1	8063.0058	CAPRIN1	5599.2431
CAPRIN2	171.9653	CAPRIN2	356.1817
CAPS2	25.4335	CAPS2	72.3297
CAPSL	12.1387	removed	removed
CAPS	834.3931	CAPS	196.3835
CAPZA1	2488.7283	CAPZA1	2059.714
CAPZA2	1694.7977	CAPZA2	2183.7679
removed	removed	CAPZA3	7.5694
CAPZB	2471.0983	CAPZB	3917.1573
CARD10	101.1561	CARD10	756.5181
CARD11	38.4393	CARD11	66.0219
CARD14	300.8671	CARD14	163.1623
CARD16	56.9364	CARD16	162.7418
CARD6	73.6994	CARD6	441.127
CARD8	831.5029	CARD8	933.5576
CARD9	12.1387	CARD9	49.201
CARHSP1	1319.3555	CARHSP1	1045.1682
CARKD	754.3353	CARKD	1087.889
CARM1	540.4624	CARM1	755.677
CARNS1	8.3815	CARNS1	30.6981
CARS2	399.9538	CARS2	696.3751
CARS	872.5434	CARS	1270.3911
removed	removed	CARTPT	40.3701
CASC1	34.104	CASC1	49.201
CASC2	59.8266	CASC2	51.3036
CASC3	5982.659	CASC3	2603.8688
CASC4	3785.5491	CASC4	3106.8124
CASC5	446.5318	CASC5	20.6056
CASD1	614.4509	CASD1	731.2868
CASKIN1	17.0578	CASKIN1	11.3961
CASKIN2	1170.4451	CASKIN2	1394.3356
CASK	1574.5665	CASK	1040.7906
CASP10	121.3873	CASP10	414.2136
removed	removed	CASP12	10.0925
CASP1	123.9884	CASP1	531.9596
CASP2	1086.9942	CASP2	878.4693
CASP3	669.3642	CASP3	487.3844
CASP4	379.1908	CASP4	754.4155
CASP6	394.2197	CASP6	309.9243
CASP7	685.8382	CASP7	932.7166
CASP8AP2	449.422	CASP8AP2	576.9554
CASP8	370.8092	CASP8	516.4003
CASP9	167.341	CASP9	308.2422
removed	removed	CASQ1	6.7283
CASQ2	28.3237	CASQ2	297.3087
CASS4	10.1156	CASS4	29.857
CAST	5323.3237	CAST	5897.8301
CASZ1	965.896	CASZ1	861.2279
CATSPER2P1	26.4827	CATSPER2P1	21.9933
CATSPER2	20.2081	CATSPER2	42.8932
CATSPER3	10.1156	CATSPER3	7.5694
CATSPERB	14.4509	CATSPERB	21.4466
removed	removed	CATSPERG	18.5029
CAT	1097.3988	CAT	6493.6922
CAV1	959.5376	CAV1	18525.6518
CAV2	213.8728	CAV2	4661.4802
CBARA1	1305.4913	CBARA1	1186.7115
CBFA2T2	1336.9942	CBFA2T2	713.2044
CBFA2T3	538.4393	CBFA2T3	170.3112
CBFB	671.6763	CBFB	698.4861
CBLB	263.0058	CBLB	488.6459
CBLC	142.7746	CBLC	166.106
CBLL1	845.9538	CBLL1	578.217
removed	removed	CBLN1	23.1287
CBLN2	37.2832	CBLN2	6.3078
CBLN3	102.6012	CBLN3	74.4323
CBLN4	20.5202	CBLN4	35.3238
CBL	396.8208	CBL	894.8696
CBR1	811.2543	CBR1	757.8175
CBR3	149.422	CBR3	180.8242
CBR4	573.1214	CBR4	466.7788
CBS	103.4682	CBS	92.0942
CBWD1	554.0462	CBWD1	495.7948
CBWD2	506.6474	CBWD2	425.1472
CBWD3	220.6127	CBWD3	447.9857
removed	removed	CBWD5	7.439
CBWD6	79.4798	CBWD6	64.3398
CBX1	3243.3526	CBX1	1346.0892
CBX2	253.4682	CBX2	79.4786
CBX3	5589.5954	CBX3	2209.4197
CBX4	1133.815	CBX4	350.7149
CBX5	3225.4335	CBX5	2584.5248
CBX6	471.9653	CBX6	580.7401
CBX7	429.1908	CBX7	2131.6232
CBX8	271.3873	CBX8	95.4584
CBY1	264.896	CBY1	594.3608
CC2D1A	457.8035	CC2D1A	886.8797
CC2D1B	717.6301	CC2D1B	833.4735
CC2D2A	336.7052	CC2D2A	505.0463
removed	removed	CC2D2B	5.0463
CCAR1	1992.7746	CCAR1	1095.4584
removed	removed	CCBE1	83.2632
CCBL1	135.2601	CCBL1	91.6737
CCBL2	330.3006	CCBL2	645.7906
CCBP2	48.2659	CCBP2	109.7561
CCDC101	475.4335	CCDC101	263.6669
CCDC102A	16.763	CCDC102A	168.6291
CCDC102B	59.2486	CCDC102B	60.5551
CCDC103	226.5896	CCDC103	103.0278
CCDC104	943.0636	CCDC104	745.164
CCDC106	309.8266	CCDC106	253.1539
CCDC107	121.1445	CCDC107	906.8797
removed	removed	CCDC108	7.9899
CCDC109A	352.6012	CCDC109A	425.1472
CCDC109B	124.2775	CCDC109B	248.1077
CCDC110	54.6243	CCDC110	44.1548
CCDC111	240.5809	CCDC111	222.3213
CCDC112	315.0289	CCDC112	200.1682
CCDC113	272.8324	CCDC113	222.4558
CCDC114	16.474	CCDC114	15.5593
CCDC115	784.3931	CCDC115	835.9966
CCDC117	2002.8902	CCDC117	757.3591
CCDC11	36.7052	CCDC11	31.9596
CCDC120	307.8035	CCDC120	312.4474
CCDC121	209.8266	CCDC121	146.3415
CCDC122	30.0578	CCDC122	68.9655
CCDC123	398.5549	CCDC123	375.5257
CCDC124	465.0289	CCDC124	799.4113
CCDC125	779.7688	CCDC125	406.2237
CCDC126	259.8266	CCDC126	239.2767
CCDC127	763.2948	CCDC127	370.0589
removed	removed	CCDC129	8.4104
CCDC12	295.3757	CCDC12	436.9218
CCDC130	158.0925	CCDC130	376.7872
CCDC132	479.1908	CCDC132	562.6577
CCDC134	41.9075	CCDC134	43.7342
CCDC136	14.4509	CCDC136	66.8629
CCDC137	594.5087	CCDC137	304.4575
CCDC138	54.6243	CCDC138	41.2111
removed	removed	CCDC141	37.8469
CCDC142	264.974	CCDC142	139.9495
removed	removed	CCDC144A	11.3541
removed	removed	CCDC144B	17.5778
CCDC146	34.6821	CCDC146	174.9369
removed	removed	CCDC147	9.672
removed	removed	CCDC148	22.2876
CCDC149	708.9595	CCDC149	595.8789
CCDC14	334.9711	CCDC14	772.4979
CCDC150	8.3815	removed	removed
CCDC151	51.7341	removed	removed
CCDC152	40.5231	CCDC152	140.4373
CCDC153	6.3584	CCDC153	10.513
removed	removed	CCDC154	6.3078
CCDC155	10.1156	removed	removed
CCDC157	30.1156	CCDC157	46.7452
removed	removed	CCDC158	51.7241
CCDC159	169.9422	CCDC159	198.4861
CCDC15	63.2948	CCDC15	75.6939
removed	removed	CCDC160	31.1186
CCDC163P	14.7399	CCDC163P	7.1489
removed	removed	CCDC17	12.6156
CCDC18	58.6734	CCDC18	67.7376
removed	removed	CCDC19	13.0362
CCDC21	2559.5376	CCDC21	259.0412
CCDC22	520.052	CCDC22	416.9722
CCDC23	195.6647	CCDC23	283.852
CCDC24	185.5491	CCDC24	148.6964
CCDC25	708.0925	CCDC25	1158.1161
CCDC28A	230.3468	CCDC28A	463.831
CCDC28B	57.8035	CCDC28B	46.2574
CCDC30	109.2486	CCDC30	73.5913
CCDC34	254.3353	CCDC34	246.005
removed	removed	CCDC36	46.2574
CCDC39	11.5607	CCDC39	22.8638
CCDC3	153.1792	CCDC3	4843.053
CCDC40	137.5723	CCDC40	162.7418
CCDC41	232.659	CCDC41	147.1825
CCDC43	1377.4566	CCDC43	373.423
CCDC45	552.6012	CCDC45	507.1489
CCDC46	33.237	CCDC46	417.9983
CCDC47	5469.0751	CCDC47	2778.8057
CCDC48	72.2543	CCDC48	61.8167
CCDC50	771.6763	CCDC50	2890.2439
CCDC51	418.4971	CCDC51	245.164
CCDC52	573.1214	CCDC52	424.3061
CCDC53	263.5838	CCDC53	472.2456
CCDC55	1584.3931	CCDC55	899.9159
CCDC56	1524.4682	CCDC56	792.069
CCDC57	488.1503	CCDC57	441.968
CCDC58	149.711	CCDC58	134.9874
CCDC59	477.1676	CCDC59	391.0849
CCDC61	167.341	CCDC61	140.8747
removed	removed	CCDC62	8.831
CCDC64B	302.6012	CCDC64B	305.2986
CCDC64	1131.7919	CCDC64	52.9857
CCDC65	11.8497	CCDC65	14.2977
CCDC66	213.6127	CCDC66	362.6072
removed	removed	CCDC68	55.9294
CCDC69	149.711	CCDC69	3646.762
CCDC6	2290.7514	CCDC6	2013.8772
CCDC71	391.6185	CCDC71	477.7124
CCDC72	869.3642	CCDC72	656.8545
CCDC73	27.5289	CCDC73	30.3574
CCDC74A	272.5434	CCDC74A	495.7948
CCDC74B	53.7572	CCDC74B	60.9756
CCDC75	158.6705	CCDC75	162.3213
CCDC76	195.9393	CCDC76	247.6997
CCDC77	237.5723	CCDC77	154.7519
CCDC78	109.5376	CCDC78	6.3078
CCDC7	87.8613	CCDC7	34.8528
CCDC80	610.9827	CCDC80	19624.8949
removed	removed	CCDC81	7.5694
CCDC82	114.4509	CCDC82	560.5551
CCDC84	40.1734	CCDC84	105.5509
CCDC85A	18.4711	CCDC85A	302.254
CCDC85B	171.6763	CCDC85B	181.6653
CCDC85C	1140.1185	CCDC85C	389.7098
CCDC86	556.3584	CCDC86	514.6888
CCDC87	99.711	CCDC87	21.4466
CCDC88A	502.0231	CCDC88A	820.8579
CCDC88B	71.3873	CCDC88B	163.1623
CCDC88C	828.3237	CCDC88C	962.5736
CCDC89	60.1156	CCDC89	44.5753
CCDC8	23.1214	CCDC8	1190.9167
CCDC90A	519.3642	CCDC90A	399.0749
CCDC90B	256.0636	CCDC90B	673.1918
CCDC91	829.4798	CCDC91	462.9941
CCDC92	578.9017	CCDC92	1065.1808
CCDC93	625.4335	CCDC93	760.7233
CCDC94	182.3699	CCDC94	341.8839
CCDC96	134.6821	CCDC96	118.1665
CCDC97	1102.8902	CCDC97	922.6241
CCDC99	494.2197	CCDC99	134.9874
CCDC9	247.1098	CCDC9	386.8797
CCHCR1	578.9017	CCHCR1	322.5399
removed	removed	CCIN	6.7283
removed	removed	CCL13	190.9167
CCL14	425.4306	CCL14	2439.8318
removed	removed	CCL16	6.7283
removed	removed	CCL18	140.4542
CCL19	50.289	CCL19	87.889
CCL21	36.1272	CCL21	500.841
CCL22	13.8728	CCL22	48.7805
removed	removed	CCL23	10.0925
removed	removed	CCL26	7.5694
CCL28	11.8497	CCL28	913.7931
CCL2	306.6474	CCL2	2235.492
CCL3L1	42.2457	CCL3L1	46.0681
removed	removed	CCL3L3	7.7586
CCL3	110.1156	CCL3	294.7855
CCL4L2	81.5029	CCL4L2	134.1463
CCL4	98.8439	CCL4	224.1379
CCL5	233.815	CCL5	242.6409
CCL8	53.1792	CCL8	365.4331
CCM2	689.0173	CCM2	956.2658
removed	removed	CCNA1	13.4567
CCNA2	861.6936	CCNA2	32.1405
CCNB1IP1	351.4451	CCNB1IP1	541.2111
CCNB1	1891.9075	CCNB1	156.0135
CCNB2	644.5087	CCNB2	25.2313
CCNB3	8.9595	CCNB3	18.0824
CCNC	565.896	CCNC	1065.1808
CCND1	15974.0058	CCND1	8085.6308
CCND2	220.5202	CCND2	2179.1421
CCND3	694.2197	CCND3	1556.3499
CCNDBP1	607.8035	CCNDBP1	1198.4861
CCNE1	48.5549	CCNE1	21.0261
CCNE2	944.6012	CCNE2	16.4003
CCNF	1250.8671	CCNF	164.0034
CCNG1	2009.2486	CCNG1	2241.7998
CCNG2	2451.7341	CCNG2	2176.1985
CCNH	563.0983	CCNH	660.6728
CCNI2	36.9595	CCNI2	8.1539
CCNI	5611.8497	CCNI	5585.3659
CCNJL	14.7399	CCNJL	99.6636
CCNJ	219.9422	CCNJ	169.4701
CCNK	1205.5462	CCNK	753.2675
CCNL1	560.9827	CCNL1	2081.5812
CCNL2	804.6243	CCNL2	1743.4819
removed	removed	CCNO	61.3961
CCNT1	330.6358	CCNT1	201.4298
CCNT2	680.9249	CCNT2	731.7073
CCNYL1	170.5202	CCNYL1	601.3457
CCNY	1693.3526	CCNY	1675.3574
CCPG1	2101.2225	CCPG1	3213.9487
removed	removed	CCR10	11.7746
CCR1	158.9595	CCR1	300.2523
CCR2	9.8266	CCR2	22.7082
CCR4	8.0925	removed	removed
CCR5	73.6994	CCR5	80.3196
CCR6	12.3844	CCR6	12.5021
CCR7	21.0983	CCR7	14.2977
CCR8	13.5838	removed	removed
CCRL1	6.6474	CCRL1	469.3019
CCRL2	32.3699	CCRL2	151.3877
CCRN4L	220.5202	CCRN4L	259.8823
CCS	653.1792	CCS	455.4247
CCT2	3946.8208	CCT2	1960.0505
CCT3	19063.8728	CCT3	3519.344
CCT4	3730.3468	CCT4	2631.2027
CCT5	10145.3757	CCT5	2868.7973
CCT6A	6331.7919	CCT6A	2252.3129
CCT6B	11.5607	CCT6B	76.9554
CCT6P1	44.7977	CCT6P1	75.2733
CCT7	6723.6994	CCT7	3583.6838
CCT8	4190.4624	CCT8	2580.3196
CD101	18.7861	CD101	17.6619
CD109	201.4451	CD109	1222.4558
CD14	1668.7861	CD14	2087.4685
CD151	2699.1329	CD151	9811.1859
removed	removed	CD160	17.2414
CD163L1	28.9017	CD163L1	222.0353
CD163	369.0751	CD163	1185.8705
removed	removed	CD164L2	54.2473
CD164	5733.526	CD164	12523.5492
removed	removed	CD177	5.8873
CD180	59.5376	CD180	121.9512
removed	removed	CD1C	18.0824
CD1D	10.1156	CD1D	12.6156
removed	removed	CD1E	5.4668
CD200R1	8.0925	CD200R1	52.9857
CD200	153.1792	CD200	584.5248
removed	removed	CD207	8.4104
CD209	51.7341	CD209	804.878
CD226	15.896	CD226	7.1489
CD22	311.5607	CD22	41.6316
CD244	5.4913	CD244	15.1388
CD247	15.0289	CD247	47.5189
CD248	278.3237	CD248	7134.1463
CD24	7960.6936	CD24	8252.3129
CD274	12.7168	CD274	33.2212
CD276	1453.1792	CD276	1766.1901
CD27	14.3035	CD27	22.5021
CD28	47.1098	CD28	73.1707
CD2AP	1246.2428	CD2AP	1254.836
CD2BP2	2717.9191	CD2BP2	1321.2784
CD2	54.3353	CD2	62.2372
CD300A	91.0405	CD300A	147.603
CD300C	26.3006	CD300C	35.7443
CD300LB	9.5376	CD300LB	28.1749
CD300LF	31.7919	CD300LF	17.2414
CD300LG	13.5838	CD300LG	1924.7267
CD302	936.104	CD302	2105.5635
CD320	343.3526	CD320	546.6779
CD33	35.2601	CD33	100.0841
CD34	967.341	CD34	6363.3305
CD36	735.2601	CD36	39050.0421
CD37	144.5087	CD37	203.5324
CD38	12.1387	CD38	19.7645
CD3D	24.2775	CD3D	19.344
CD3EAP	418.7861	CD3EAP	394.4491
CD3E	54.9133	CD3E	55.5088
CD3G	9.8266	removed	removed
CD40LG	8.3815	CD40LG	6.7283
CD40	108.3815	CD40	410.8495
CD44	1601.1561	CD44	7814.9706
CD46	11645.6647	CD46	5544.9958
CD47	1894.7977	CD47	2529.857
CD48	79.7688	CD48	88.3095
CD4	444.7977	CD4	1086.2069
CD52	119.9422	CD52	142.1362
CD53	303.7572	CD53	454.1632
CD55	186.1272	CD55	2706.476
CD58	88.4393	CD58	222.8764
CD59	5469.0751	CD59	18571.9092
CD5	29.1908	CD5	27.7544
CD63	5215.3179	CD63	11221.6148
CD68	1595.3757	CD68	2632.4643
CD69	56.6474	CD69	197.2246
CD6	39.3064	CD6	45.4163
removed	removed	CD70	14.7183
CD72	21.9653	CD72	21.8671
CD74	13111.8497	CD74	28551.7241
CD79A	16.185	CD79A	62.2372
CD79B	17.6301	CD79B	98.8225
CD7	60.6936	CD7	34.0622
CD80	21.9653	CD80	6.3078
CD81	10388.1503	CD81	15396.5517
CD82	400.289	CD82	1222.8764
CD83	272.5434	CD83	503.3642
CD84	56.6474	CD84	104.7098
CD86	121.6763	CD86	140.8747
CD8A	49.422	CD8A	76.1144
CD8B	10.4046	CD8B	18.5029
CD93	1376.3006	CD93	4240.5383
CD96	39.3064	CD96	126.1564
CD97	379.7688	CD97	924.3061
CD99L2	849.711	CD99L2	2277.5442
CD99	130.3468	CD99	3448.2759
CD9	4871.6763	CD9	4109.3356
CDADC1	104.3353	CDADC1	276.2826
CDAN1	347.6879	CDAN1	357.4432
CDA	30.9249	CDA	22.7082
CDC123	1120.5289	CDC123	763.2717
CDC14A	148.8439	CDC14A	302.7754
CDC14B	52.8902	CDC14B	880.9924
removed	removed	CDC14C	13.0362
CDC16	841.9075	CDC16	1582.8427
CDC20	813.5838	CDC20	54.6678
CDC23	1136.9942	CDC23	692.1783
CDC25A	228.9017	CDC25A	21.4466
CDC25B	5687.2832	CDC25B	693.8604
CDC25C	301.4509	removed	removed
CDC26	98.2746	CDC26	105.8915
CDC27	2830.9249	CDC27	1556.3499
CDC34	557.2254	CDC34	579.4786
CDC37L1	176.3006	CDC37L1	473.5071
CDC37	1202.6012	CDC37	2763.6669
CDC40	585.2601	CDC40	716.5685
CDC42BPA	1672.8324	CDC42BPA	2167.7881
CDC42BPB	4525.1445	CDC42BPB	3913.3726
CDC42BPG	339.0173	CDC42BPG	584.1043
CDC42EP1	255.7803	CDC42EP1	1873.0025
CDC42EP2	119.0751	CDC42EP2	1119.0076
CDC42EP3	219.9422	CDC42EP3	968.8814
CDC42EP4	1820.2312	CDC42EP4	2900.7569
CDC42EP5	10.4046	CDC42EP5	115.2229
CDC42SE1	5054.5029	CDC42SE1	2399.0202
CDC42SE2	2171.9653	CDC42SE2	1185.8705
CDC42	4716.763	CDC42	4887.7208
CDC45	154.3353	CDC45	13.8772
CDC5L	858.0925	CDC5L	1103.4483
CDC6	951.4451	CDC6	54.6678
CDC73	1948.2659	CDC73	1085.7864
CDC7	391.0405	CDC7	68.545
CDCA2	145.0867	CDCA2	11.3541
CDCA3	299.3815	CDCA3	22.9521
CDCA4	371.3873	CDCA4	206.8966
CDCA5	918.2081	CDCA5	49.201
CDCA7L	802.0087	CDCA7L	467.0942
CDCA7	110.4046	CDCA7	48.36
CDCA8	683.815	CDCA8	41.6316
CDCP1	824.8555	CDCP1	591.6737
CDH11	241.6185	CDH11	892.767
CDH12	26.0116	CDH12	31.1186
CDH13	203.4682	CDH13	896.1312
CDH18	5.2023	removed	removed
removed	removed	CDH19	34.4828
CDH1	11364.1618	CDH1	6355.3406
removed	removed	CDH20	27.3339
removed	removed	CDH22	14.2977
CDH23	19.6532	CDH23	427.6703
CDH24	129.4798	CDH24	89.5711
removed	removed	CDH26	7.9899
CDH2	7.2254	CDH2	32.8007
CDH3	372.8324	CDH3	1482.3381
removed	removed	CDH4	13.0362
CDH5	858.3815	CDH5	3330.5299
CDH6	54.3353	CDH6	80.7401
CDH7	13.0058	removed	removed
removed	removed	CDHR1	8.831
CDHR3	20.8584	CDHR3	161.4003
CDIPT	4320.2312	CDIPT	2086.6274
CDK10	218.2081	CDK10	638.7721
CDK11A	385.9942	CDK11A	432.1447
CDK11B	659.6705	CDK11B	823.1119
CDK12	3078.6127	CDK12	1346.9302
CDK13	1514.4509	CDK13	1060.5551
CDK14	122.5434	CDK14	675.778
removed	removed	CDK15	7.1489
CDK16	1886.4162	CDK16	1753.1539
CDK17	1246.8208	CDK17	768.7132
CDK18	432.0809	CDK18	419.2599
CDK19	605.5	CDK19	609.5458
CDK1	1645.6647	CDK1	52.5652
CDK20	231.2139	CDK20	163.1623
CDK2AP1	1008.0925	CDK2AP1	2026.0723
CDK2AP2	1907.2254	CDK2AP2	683.3474
CDK2	625.1445	CDK2	448.2759
CDK3	23.3121	CDK3	138.4441
CDK4	2136.9942	CDK4	1439.4449
CDK5R1	331.2139	CDK5R1	25.2313
CDK5R2	253.4682	removed	removed
CDK5RAP1	806.6474	CDK5RAP1	475.1892
CDK5RAP2	1885.8382	CDK5RAP2	1538.688
CDK5RAP3	2427.1676	CDK5RAP3	1725.3995
CDK5	312.1387	CDK5	139.6131
CDK6	114.1618	CDK6	691.3373
CDK7	545.3757	CDK7	324.6426
CDK8	149.422	CDK8	105.5509
CDK9	870.2312	CDK9	1111.8587
CDKAL1	401.7341	CDKAL1	271.6569
removed	removed	CDKL1	41.6316
CDKL2	17.052	CDKL2	26.4929
CDKL3	47.9046	CDKL3	29.7939
CDKL5	43.9306	CDKL5	71.4886
CDKN1A	1046.2428	CDKN1A	3590.4121
CDKN1B	3872.8324	CDKN1B	1416.3162
CDKN1C	71.6763	CDKN1C	952.0606
CDKN2AIPNL	656.0694	CDKN2AIPNL	274.18
CDKN2AIP	525.7225	CDKN2AIP	481.9176
CDKN2A	35.8382	CDKN2A	83.2632
CDKN2BAS	16.474	removed	removed
CDKN2B	97.3988	CDKN2B	1070.2271
CDKN2C	511.8497	CDKN2C	1011.7746
CDKN2D	246.2428	CDKN2D	84.9453
CDKN3	276.0116	CDKN3	10.9336
CDNF	7.8035	CDNF	51.7241
CDO1	11.2717	CDO1	847.7712
CDON	685.8382	CDON	1371.3204
removed	removed	CDR1	60.82
CDR2L	413.8728	CDR2L	793.1034
CDR2	1406.0694	CDR2	683.7679
removed	removed	CDRT15P	10.9336
CDRT4	117.0636	CDRT4	285.5467
CDS1	1976.8786	CDS1	644.6594
CDS2	917.9191	CDS2	699.3272
removed	removed	CDSN	28.1749
CDT1	261.2717	CDT1	30.2775
CDV3	2704.9133	CDV3	4633.7258
CDYL2	184.3931	CDYL2	85.3659
CDYL	1779.1908	CDYL	655.5929
removed	removed	CEACAM19	52.1447
CEACAM1	276.0116	CEACAM1	761.1438
removed	removed	CEACAM21	5.0463
CEACAM5	30047.9769	removed	removed
CEACAM6	6376.8786	CEACAM6	60.5551
CEBPA	236.9942	CEBPA	5241.3793
CEBPB	662.7168	CEBPB	1368.7973
CEBPD	803.1792	CEBPD	834.3146
CEBPG	1110.9827	CEBPG	1208.9992
CEBPZ	1355.7803	CEBPZ	1129.5206
CECR1	450.8671	CECR1	860.3869
CECR2	186.7052	CECR2	21.0261
CECR5	461.2717	CECR5	442.3886
CECR6	65.0289	CECR6	18.0824
CECR7	30.3468	CECR7	53.4062
CELF1	2486.1272	CELF1	1907.4853
CELF2	124.5665	CELF2	2019.344
CELF3	95.0867	removed	removed
CELF4	26.8786	CELF4	7.5694
CELF5	9.5376	CELF5	29.857
CELF6	12.211	CELF6	47.5652
CELP	86.1272	removed	removed
CELSR1	11839.8844	CELSR1	2534.9033
CELSR2	1223.1214	CELSR2	2493.2717
CELSR3	869.1503	CELSR3	41.2111
CEL	1387.2832	CEL	8.831
CEMP1	189.9335	CEMP1	161.2279
CENPA	195.9538	CENPA	7.1489
CENPBD1	419.3642	CENPBD1	299.8318
CENPB	2693.3526	CENPB	1819.5963
CENPC1	394.7977	CENPC1	468.8814
CENPE	934.9711	CENPE	43.7342
CENPF	5834.6821	CENPF	204.3734
CENPH	297.9769	CENPH	59.714
CENPI	119.0751	CENPI	7.9899
CENPJ	499.1329	CENPJ	185.8705
CENPK	152.6012	CENPK	10.513
CENPL	344.7977	CENPL	82.8427
CENPM	161.5607	CENPM	14.2977
CENPN	259.5549	CENPN	123.3474
CENPO	155.9566	CENPO	30.3196
CENPP	95.2052	CENPP	33.3347
CENPQ	105.2023	CENPQ	79.058
CENPT	210.1156	CENPT	510.9336
CENPV	194.2197	CENPV	112.6997
CENPW	85.2601	CENPW	56.7704
CEP110	350.8671	CEP110	595.0378
CEP120	1060.1156	CEP120	805.2986
CEP135	325.1445	CEP135	219.0917
CEP152	129.1908	CEP152	83.6838
CEP164	544.7977	CEP164	572.3297
CEP170	1070.5202	CEP170	893.6081
CEP192	446.2428	CEP192	765.349
CEP250	1882.948	CEP250	649.2851
CEP290	685.0723	CEP290	490.45
CEP350	3894.5087	CEP350	1358.2843
CEP55	734.6821	CEP55	25.6518
CEP57	397.3988	CEP57	767.8722
CEP63	701.3497	CEP63	744.4617
CEP68	1077.1676	CEP68	1603.0278
CEP70	223.4104	CEP70	342.3045
CEP72	134.104	CEP72	64.3398
CEP76	131.2139	CEP76	130.7822
CEP78	322.8324	CEP78	235.9125
CEP97	329.1908	CEP97	150.5467
CEPT1	861.5607	CEPT1	842.725
CERCAM	323.9884	CERCAM	1377.6283
CERKL	31.8988	CERKL	25.8747
CERK	859.2486	CERK	776.7031
CES1	48.5549	CES1	5820.8579
CES2	755.7803	CES2	1514.2977
CES3	8.3815	CES3	54.6678
removed	removed	CES4	42.0521
CES8	150.578	CES8	93.3558
CETN2	1274.8555	CETN2	937.3423
CETN3	410.6936	CETN3	290.1598
CETP	6.9364	CETP	193.4399
CFB	1218.5636	CFB	2981.9722
CFDP1	444.7977	CFDP1	725.82
CFD	494.7977	CFD	8145.0799
removed	removed	CFHR3	11.7746
CFH	381.7919	CFH	4848.1918
CFI	110.4046	CFI	787.6367
CFL1	13040.4624	CFL1	9040.3701
CFL2	253.7572	CFL2	1071.0681
CFLAR	720.5202	CFLAR	1456.2658
removed	removed	CFP	64.7603
removed	removed	CFTR	9.2515
CG030	31.5029	CG030	39.529
CGA	296.8208	removed	removed
removed	removed	CGB7	9.3356
CGGBP1	2426.8786	CGGBP1	2169.0496
CGNL1	144.2197	CGNL1	1262.8259
CGN	2952.0231	CGN	1155.5929
CGREF1	335.8006	CGREF1	213.2338
CGRRF1	396.2428	CGRRF1	249.7897
CH25H	23.4104	CH25H	253.995
CHAC1	9.8266	CHAC1	11.7746
CHAC2	28.9017	CHAC2	26.0723
CHADL	36.4162	CHADL	110.1766
CHAD	415.6069	CHAD	316.6526
CHAF1A	288.1503	CHAF1A	284.2725
CHAF1B	297.1098	CHAF1B	103.0278
CHCHD10	83.237	CHCHD10	536.1648
CHCHD1	473.4104	CHCHD1	351.5559
CHCHD2	4004.0462	CHCHD2	2547.5189
CHCHD3	841.3295	CHCHD3	787.2161
CHCHD4	291.9075	CHCHD4	279.6468
CHCHD5	361.2717	CHCHD5	208.9992
CHCHD6	94.2197	CHCHD6	119.0076
CHCHD7	931.5029	CHCHD7	373.423
CHCHD8	529.1908	CHCHD8	460.0505
CHD1L	1657.5145	CHD1L	729.6047
CHD1	2012.1387	CHD1	1259.4617
CHD2	1900.578	CHD2	2633.7258
CHD3	4073.9884	CHD3	3621.1102
CHD4	7834.9769	CHD4	4791.0345
CHD5	18.7861	CHD5	6.3078
CHD6	4465.0289	CHD6	2034.9033
CHD7	3240.7514	CHD7	579.8991
CHD8	3006.3584	CHD8	2021.4466
CHD9	848.2659	CHD9	1804.037
CHDH	400.8671	CHDH	603.0278
CHEK1	173.1214	CHEK1	65.1808
CHEK2	89.8844	CHEK2	117.3255
CHERP	807.7543	CHERP	1044.4533
CHFR	453.4682	CHFR	357.0227
CHGA	15.0289	CHGA	14.7183
CHGB	8882.659	CHGB	134.9874
CHI3L1	55.4913	CHI3L1	1494.9537
removed	removed	CHI3L2	333.4735
CHIC1	310.1156	CHIC1	304.4575
CHIC2	201.1561	CHIC2	243.4819
CHID1	1509.2486	CHID1	1531.9596
CHIT1	11.8497	CHIT1	155.5929
CHKA	1033.815	CHKA	616.0639
