gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
CBFA2T3	93.3809	CBFA2T3	168.942
CBFB	891.3302	CBFB	579.3515
CBLB	609.3564	CBLB	415.529
CBLC	497.2993	CBLC	77.6451
CBLL1	949.9222	CBLL1	739.7611
removed	removed	CBLN1	47.3549
CBLN2	17.2114	removed	removed
CBLN3	85.3245	CBLN3	121.1604
CBLN4	10.6198	CBLN4	98.9761
CBL	900.119	CBL	1612.2014
CBR1	127.3716	CBR1	655.7637
CBR3	150.8743	CBR3	194.5392
CBR4	564.68	CBR4	577.2184
CBS	198.8465	CBS	250
CBWD1	785.4985	CBWD1	610.4949
CBWD2	300.65	CBWD2	396.7577
CBWD3	199.9231	CBWD3	215.4437
CBWD6	166.9871	CBWD6	71.6724
CBX1	1910.8304	CBX1	1330.2048
CBX2	93.0147	CBX2	77.6451
CBX3	5030.4861	CBX3	2390.3584
CBX4	697.6105	CBX4	331.9113
CBX5	6642.4975	CBX5	3340.4437
CBX6	1156.0926	CBX6	761.9454
CBX7	357.7772	CBX7	2732.0819
CBX8	84.9583	CBX8	53.3276
CBY1	585.2751	CBY1	537.0563
CC2D1A	863.1328	CC2D1A	615.1877
CC2D1B	715.1881	CC2D1B	857.0819
CC2D2A	212.3959	CC2D2A	466.7235
CCAR1	2840.9778	CCAR1	938.5666
removed	removed	CCBE1	90.4437
CCBL1	41.7468	CCBL1	98.1229
CCBL2	467.2965	CCBL2	707.8242
removed	removed	CCBP2	71.6724
removed	removed	CCDC101	272.6109
CCDC102A	94.8457	CCDC102A	122.0137
CCDC102B	72.1414	CCDC102B	84.471
CCDC103	90.0851	CCDC103	129.2662
CCDC104	669.4132	CCDC104	598.1229
CCDC106	355.2138	CCDC106	249.1468
CCDC107	304.6562	CCDC107	650.8276
CCDC109A	543.8066	CCDC109A	361.7747
CCDC109B	513.0459	CCDC109B	98.1229
CCDC110	73.24	CCDC110	37.116
CCDC111	134.3624	CCDC111	281.8814
CCDC112	323.3544	CCDC112	197.9522
CCDC113	362.5378	CCDC113	190.6997
removed	removed	CCDC114	7.2526
CCDC115	877.0484	CCDC115	875.4266
removed	removed	CCDC116	5.9727
CCDC117	1059.0497	CCDC117	848.1229
CCDC11	11.3522	CCDC11	14.9317
CCDC120	432.4819	CCDC120	247.8669
CCDC121	110.2261	CCDC121	195.8191
CCDC122	90.0851	CCDC122	75.9386
CCDC123	616.6804	CCDC123	350.256
CCDC124	460.3131	CCDC124	445.8191
CCDC125	1360.0659	CCDC125	452.2184
CCDC126	300.2838	CCDC126	264.5051
CCDC127	339.8334	CCDC127	357.0819
CCDC129	320.791	CCDC129	38.8225
CCDC12	219.3537	CCDC12	273.0375
CCDC130	258.537	CCDC130	241.8942
CCDC132	1521.1938	CCDC132	606.2287
CCDC134	88.2541	CCDC134	33.7031
CCDC136	26.3664	CCDC136	48.6348
CCDC137	265.861	CCDC137	189.4198
CCDC138	20.141	CCDC138	35.4096
removed	removed	CCDC13	5.9727
CCDC141	7.324	CCDC141	26.8771
CCDC142	253.044	CCDC142	123.4642
CCDC144A	73.6098	CCDC144A	60.6101
CCDC144B	91.0995	CCDC144B	100
CCDC144C	7.6902	CCDC144C	6.3993
removed	removed	CCDC144NL	5.9727
CCDC146	125.2403	CCDC146	206.9113
removed	removed	CCDC147	15.3584
CCDC148	20.5072	CCDC148	18.7713
CCDC149	997.8944	CCDC149	468.0034
CCDC14	1062.7117	CCDC14	787.5427
CCDC150	28.5636	removed	removed
CCDC152	22.9131	CCDC152	214.8592
CCDC153	5.1268	CCDC153	10.6655
CCDC157	41.0217	CCDC157	14.936
CCDC158	12.0846	CCDC158	61.0068
CCDC159	71.409	CCDC159	106.6553
CCDC15	43.944	CCDC15	60.5802
CCDC160	340.932	CCDC160	20.9044
CCDC163P	7.6902	CCDC163P	6.8259
removed	removed	CCDC17	6.3993
CCDC18	108.0546	CCDC18	105.384
CCDC19	70.6766	removed	removed
CCDC21	428.8199	CCDC21	173.2082
CCDC22	553.445	CCDC22	309.6459
CCDC23	135.4939	CCDC23	384.8123
CCDC24	163.5704	CCDC24	96.4164
CCDC25	873.3864	CCDC25	1114.3345
CCDC28A	451.1581	CCDC28A	526.4505
CCDC28B	20.5072	CCDC28B	21.7577
CCDC30	96.3105	CCDC30	87.0307
CCDC34	213.4945	CCDC34	348.1229
CCDC36	6.5916	CCDC36	112.2014
CCDC39	28.9298	CCDC39	23.3063
CCDC3	181.2689	CCDC3	4674.4881
CCDC40	202.8747	CCDC40	80.2048
CCDC41	135.4939	CCDC41	147.6109
CCDC43	611.9198	CCDC43	325.5119
CCDC45	340.932	CCDC45	500
CCDC46	52.3666	CCDC46	496.1604
CCDC47	1857.7314	CCDC47	2673.6348
CCDC48	28.5636	CCDC48	38.8225
CCDC50	1364.8265	CCDC50	4691.5529
CCDC51	136.2263	CCDC51	204.3515
CCDC52	591.7788	CCDC52	356.2287
CCDC53	296.6218	CCDC53	426.1945
CCDC55	793.9211	CCDC55	876.7065
CCDC56	705.7878	CCDC56	697.6877
CCDC57	312.0022	CCDC57	264.0785
CCDC58	231.8044	CCDC58	129.2662
CCDC59	270.9878	CCDC59	552.901
CCDC61	75.8034	CCDC61	98.9761
CCDC64B	317.8614	CCDC64B	151.0239
CCDC64	336.1714	CCDC64	23.8908
CCDC65	19.0424	CCDC65	5.1195
CCDC66	162.1752	CCDC66	306.9113
CCDC68	119.3811	CCDC68	188.5666
CCDC69	291.495	CCDC69	5871.1604
CCDC6	3600.1099	CCDC6	2200.0853
CCDC71	321.1572	CCDC71	399.744
CCDC72	484.4823	CCDC72	735.9215
CCDC73	25.3081	CCDC73	46.2031
CCDC74A	603.4972	CCDC74A	101.1092
CCDC74B	122.3107	CCDC74B	26.4505
CCDC75	123.7755	CCDC75	438.9932
CCDC76	199.8279	CCDC76	232.3848
CCDC77	191.5225	CCDC77	160.9556
CCDC78	14.648	removed	removed
CCDC7	30.2701	CCDC7	55.1664
CCDC80	2121.029	CCDC80	5271.3311
removed	removed	CCDC82	690.6997
CCDC84	31.4932	CCDC84	76.3652
CCDC85A	16.8452	CCDC85A	488.349
CCDC85B	47.606	CCDC85B	137.7986
CCDC85C	1045.5809	CCDC85C	480.1067
CCDC86	212.026	CCDC86	290.7167
CCDC87	30.0284	CCDC87	13.6519
removed	removed	CCDC88A	932.5939
CCDC88B	94.4795	CCDC88B	46.9283
CCDC88C	2226.8608	CCDC88C	600.256
CCDC89	8.4226	CCDC89	27.7304
CCDC8	164.4237	CCDC8	1056.314
CCDC90A	294.4246	CCDC90A	504.6928
CCDC90B	406.4817	CCDC90B	805.0171
CCDC91	620.3424	CCDC91	584.471
CCDC92	738.9911	CCDC92	1479.9488
CCDC93	1102.2613	CCDC93	1159.1297
CCDC94	328.115	CCDC94	239.7611
CCDC96	125.6065	CCDC96	50.7679
CCDC97	1182.0928	CCDC97	755.1195
CCDC99	343.8616	CCDC99	135.6655
CCDC9	345.3264	CCDC9	219.7099
CCHCR1	433.2143	CCHCR1	284.9829
CCIN	6.2254	removed	removed
CCL11	32.5918	removed	removed
CCL13	34.0566	CCL13	21.3311
CCL14	30.7608	CCL14	2038.7799
CCL15	5.1268	removed	removed
CCL18	16.479	CCL18	6.3993
CCL19	109.1275	CCL19	28.5836
CCL21	149.0433	CCL21	278.5836
CCL22	196.6493	CCL22	25.5973
removed	removed	CCL24	8.959
CCL28	24.5354	CCL28	658.7031
CCL2	305.4106	CCL2	538.3959
CCL3L1	14.1133	CCL3L1	38.1655
CCL3	66.2822	CCL3	138.6519
CCL4L2	49.8032	CCL4L2	40.529
CCL4	90.8175	CCL4	126.2799
CCL5	373.5238	CCL5	260.6655
CCL8	70.3104	CCL8	73.3788
CCM2	502.4261	CCM2	796.5017
removed	removed	CCNA1	7.6792
CCNA2	840.4321	CCNA2	25.3584
CCNB1IP1	595.0746	CCNB1IP1	694.5392
CCNB1	1489.7006	CCNB1	109.215
CCNB2	570.5392	CCNB2	8.959
CCNB3	31.4932	CCNB3	35.4096
CCNC	1566.6026	CCNC	1306.7406
CCND1	9265.2202	CCND1	1954.4539
CCND2	487.4119	CCND2	1005.9727
CCND3	907.443	CCND3	1518.3447
CCNDBP1	1129.3601	CCNDBP1	1463.3106
CCNE1	116.4515	CCNE1	15.3584
CCNE2	307.8495	CCNE2	37.1416
CCNF	353.3828	CCNF	278.5836
CCNG1	968.2322	CCNG1	5044.3686
CCNG2	4622.1734	CCNG2	2795.6485
CCNH	541.5948	CCNH	882.7858
removed	removed	CCNI2	5.7978
CCNI	7036.5284	CCNI	8188.1399
CCNJL	93.3809	CCNJL	84.8976
CCNJ	208.0015	CCNJ	143.7713
CCNK	783.2207	CCNK	672.6237
CCNL1	856.5412	CCNL1	1891.2116
CCNL2	925.753	CCNL2	1374.5734
CCNO	373.1576	CCNO	34.9829
CCNT1	346.0588	CCNT1	291.3823
CCNT2	940.401	CCNT2	875.4266
CCNYL1	504.6233	CCNYL1	503.8396
CCNY	1271.0794	CCNY	1826.3652
CCPG1	3238.7586	CCPG1	3109.4667
removed	removed	CCR10	60.1536
CCR1	157.0997	CCR1	61.4334
CCR2	52.0004	CCR2	31.9966
CCR4	47.9722	removed	removed
CCR5	160.3955	CCR5	53.7543
CCR6	111.2075	CCR6	27.0307
CCR7	63.7188	CCR7	12.7986
CCR8	13.1832	removed	removed
CCRL1	42.8454	CCRL1	106.2287
CCRL2	35.1552	CCRL2	127.9863
CCRN4L	101.8035	CCRN4L	98.9761
CCS	204.3395	CCS	305.4608
CCT2	3364.6434	CCT2	1859.215
CCT3	5779.7308	CCT3	2980.802
CCT4	3556.8983	CCT4	3707.3379
CCT5	5643.5045	CCT5	2741.041
CCT6A	5227.1354	CCT6A	2631.8259
CCT6B	27.465	CCT6B	99.8294
CCT6P1	65.916	CCT6P1	37.9693
CCT7	5200.0366	CCT7	3548.2082
CCT8	3807.7451	CCT8	2839.1638
CD101	49.0708	CD101	17.0648
CD109	1018.7568	CD109	997.4275
CD14	422.5945	CD14	837.4573
removed	removed	CD151	7314.4198
CD160	16.479	CD160	9.8123
CD163L1	143.9165	CD163L1	65.273
CD163	209.8325	CD163	259.3857
removed	removed	CD164L2	37.116
CD164	11946.901	CD164	16405.2901
CD177	7.6902	removed	removed
CD180	70.6766	CD180	80.2048
CD1A	39.9158	removed	removed
CD1C	12.817	CD1C	14.5051
removed	removed	CD1D	14.9317
CD1E	24.9016	removed	removed
CD200R1	15.7466	CD200R1	24.744
CD200	188.9591	CD200	673.2082
CD207	52.0004	CD207	16.6382
CD209	21.972	CD209	136.5188
CD226	19.4086	CD226	14.9317
CD22	30.0284	CD22	75.9386
CD244	5.1268	CD244	15.785
CD247	61.5216	CD247	54.1809
CD248	426.9889	CD248	1202.6451
CD24	37810.8578	CD24	5601.1092
CD274	41.7468	CD274	32.4232
CD276	2483.2006	CD276	857.9352
CD27	47.7744	CD27	21.9241
CD28	30.7608	CD28	29.8635
CD2AP	3375.2632	CD2AP	1500
CD2BP2	1653.7581	CD2BP2	935.5802
CD2	191.1563	CD2	76.3652
CD300A	132.9305	CD300A	61.0068
CD300C	24.1692	CD300C	5.5461
CD300LB	6.2254	CD300LB	5.1195
CD300LF	25.634	CD300LF	8.959
CD300LG	15.0142	CD300LG	4116.041
CD302	328.115	CD302	3646.7577
CD320	219.7199	CD320	462.884
CD33	37.3524	CD33	33.7031
CD34	946.6264	CD34	4184.727
CD36	878.5132	CD36	82537.9693
CD37	164.0575	CD37	87.884
CD38	17.9438	CD38	9.8123
CD3D	61.5216	CD3D	25.5973
CD3EAP	333.9742	CD3EAP	255.9727
CD3E	123.4093	CD3E	90.0171
CD3G	26.3664	CD3G	19.198
CD40LG	11.3522	CD40LG	12.372
CD40	209.4663	CD40	472.6962
CD44	3411.8832	CD44	4588.7372
CD46	8620.3424	CD46	6383.5324
CD47	576.3984	CD47	2146.7577
CD48	119.7473	CD48	75.9386
CD4	744.1179	CD4	464.1638
CD52	142.0855	CD52	67.4061
CD53	450.0595	CD53	190.273
CD55	1585.645	CD55	1247.8669
CD58	114.9867	CD58	237.628
CD59	9039.6411	CD59	15206.058
CD5	69.9442	CD5	19.198
CD63	16525.1305	CD63	10457.7645
CD68	1325.6431	CD68	970.9898
CD69	79.4653	CD69	116.8942
CD6	72.5076	CD6	40.9556
CD72	44.6764	CD72	30.7167
CD74	53154.994	CD74	15120.7338
CD79A	25.634	CD79A	12.7986
CD79B	21.2396	CD79B	47.3549
CD7	38.8172	CD7	28.5836
CD80	23.803	removed	removed
CD81	7912.1121	CD81	18273.8908
CD82	755.4701	CD82	1097.6962
CD83	238.0298	CD83	308.0205
CD84	127.4375	CD84	41.3823
CD86	156.3673	CD86	49.9147
CD8A	135.8601	CD8A	122.8669
CD8B	32.2256	CD8B	36.6894
CD93	1777.5336	CD93	3770.4778
CD96	143.5503	CD96	114.3345
CD97	269.8892	CD97	509.3857
CD99L2	992.4014	CD99L2	2924.4881
CD99	1698.0683	CD99	1075.9386
CD9	12898.6542	CD9	3352.8157
CDADC1	169.9167	CDADC1	302.4744
CDAN1	509.0177	CDAN1	330.6314
CDA	27.0988	CDA	11.5188
CDC123	1150.3909	CDC123	735.7722
CDC14A	224.8467	CDC14A	283.2765
CDC14B	266.2272	CDC14B	1257.2526
CDC14C	5.1268	CDC14C	20.9044
CDC16	1706.4909	CDC16	1584.8976
CDC20B	56.0286	removed	removed
CDC20	555.525	CDC20	9.8123
CDC23	879.978	CDC23	855.802
CDC25A	81.6625	CDC25A	26.8771
CDC25B	686.6246	CDC25B	421.9283
CDC25C	154.9025	removed	removed
CDC26	131.8319	CDC26	116.8942
CDC27	1480.5456	CDC27	1712.0307
CDC34	399.1577	CDC34	523.0375
CDC37L1	506.8205	CDC37L1	471.4164
CDC37	2244.0721	CDC37	2109.215
CDC40	818.8227	CDC40	822.5256
CDC42BPA	4962.7392	CDC42BPA	2723.1229
removed	removed	CDC42BPB	4970.9898
CDC42BPG	138.4235	CDC42BPG	480.802
CDC42EP1	1081.7541	CDC42EP1	1315.6997
CDC42EP2	272.4526	CDC42EP2	630.1195
CDC42EP3	146.8461	CDC42EP3	907.8498
CDC42EP4	1050.2609	CDC42EP4	2333.6177
CDC42EP5	19.7748	CDC42EP5	52.901
CDC42SE1	7833.6245	CDC42SE1	2140.9642
CDC42SE2	1802.8014	CDC42SE2	1299.0614
CDC42	5924.7459	CDC42	4762.372
CDC45	205.4381	removed	removed
CDC5L	1642.0397	CDC5L	1109.6416
CDC6	590.6802	CDC6	17.4915
CDC73	2356.1293	CDC73	1350.256
CDC7	208.3677	CDC7	27.7304
CDCA2	298.819	CDCA2	5.5461
CDCA3	234.9794	CDCA3	13.8268
CDCA4	280.8752	CDCA4	116.4676
CDCA5	327.7488	CDCA5	26.8771
CDCA7L	572.6449	CDCA7L	493.1613
CDCA7	158.1983	CDCA7	47.3549
CDCA8	384.1436	CDCA8	22.1843
CDCP1	1855.9004	CDCP1	453.4983
CDH11	2594.8915	CDH11	638.6519
CDH12	22.3382	CDH12	39.6758
CDH13	324.453	CDH13	1130.5461
CDH17	6.2254	removed	removed
removed	removed	CDH19	5.1195
removed	removed	CDH1	5257.6792
removed	removed	CDH20	135.6655
removed	removed	CDH22	5.9727
CDH23	24.1692	CDH23	949.6587
CDH24	173.5787	CDH24	55.0341
CDH26	5.1268	CDH26	13.2253
CDH2	105.0993	CDH2	26.4505
CDH3	332.5094	CDH3	1123.2935
CDH5	581.159	CDH5	3473.9761
CDH6	58.592	CDH6	162.5427
CDH8	9.8874	removed	removed
CDHR1	10.2536	CDHR1	10.6655
removed	removed	CDHR3	62.3848
CDIPT	1051.3595	CDIPT	1934.3003
CDK10	347.8898	CDK10	401.4505
removed	removed	CDK11A	249.2961
removed	removed	CDK11B	746.4377
CDK12	2022.5213	CDK12	1344.7099
CDK13	1333.6995	CDK13	1141.2116
CDK14	496.2007	CDK14	759.8123
CDK16	2071.9583	CDK16	1892.9181
CDK17	931.6122	CDK17	732.9352
CDK18	119.7473	CDK18	292.6621
CDK19	1347.8312	CDK19	772.8882
CDK1	1050.6271	CDK1	70.8191
CDK20	207.2691	CDK20	108.7884
CDK2AP1	4264.3962	CDK2AP1	2073.3788
CDK2AP2	490.7077	CDK2AP2	468.43
CDK2	745.2165	CDK2	413.8225
CDK3	81.2597	CDK3	112.2568
CDK4	2182.5506	CDK4	1462.884
CDK5R1	90.0851	CDK5R1	22.1843
CDK5RAP1	364.735	CDK5RAP1	383.5324
CDK5RAP2	976.2886	CDK5RAP2	895.0512
CDK5RAP3	809.6677	CDK5RAP3	1204.7782
CDK5	225.5791	CDK5	116.041
CDK6	307.2416	CDK6	727.3891
CDK7	673.0752	CDK7	329.3515
CDK8	284.171	CDK8	185.5802
CDK9	1486.0386	CDK9	955.6314
CDKAL1	288.5654	CDKAL1	312.2867
CDKL1	16.479	CDKL1	28.5836
removed	removed	CDKL2	73.3788
CDKL3	45.0755	CDKL3	49.8336
CDKL5	68.4794	CDKL5	128.413
CDKN1A	787.6957	CDKN1A	2418.942
CDKN1B	2594.8915	CDKN1B	1985.4949
CDKN1C	43.2116	CDKN1C	2416.3823
CDKN2AIPNL	245.3538	CDKN2AIPNL	393.3447
CDKN2AIP	537.2151	CDKN2AIP	593.43
CDKN2A	45.775	CDKN2A	163.3959
CDKN2B	275.7484	CDKN2B	916.8089
CDKN2C	438.7073	CDKN2C	4319.1126
CDKN2D	161.8603	CDKN2D	134.8123
CDKN3	155.6349	CDKN3	5.1195
CDNF	17.2114	CDNF	121.1604
CDO1	66.6484	CDO1	2543.0887
CDON	583.7224	CDON	1005.1195
CDR1	6.8516	CDR1	389.5094
CDR2L	749.9771	CDR2L	239.7611
CDR2	945.5278	CDR2	482.5085
CDRT4	235.9974	CDRT4	216.3225
CDS1	1518.6304	CDS1	455.2048
CDS2	614.4832	CDS2	1252.5597
CDSN	238.7622	CDSN	25.5973
CDT1	182.0013	CDT1	14.5051
CDV3	2323.1713	CDV3	5819.9659
CDX1	7.6902	removed	removed
CDYL2	505.3557	CDYL2	132.2526
CDYL	1286.4598	CDYL	581.4846
CEACAM19	18.6762	CEACAM19	37.9693
CEACAM1	2063.5357	CEACAM1	524.3174
CEACAM21	57.1272	CEACAM21	11.5188
CEACAM5	769.0195	removed	removed
CEACAM6	24609.3564	CEACAM6	13.6519
CEACAM7	21.972	removed	removed
CEBPA	306.8754	CEBPA	8649.744
CEBPB	322.2558	CEBPB	1872.4403
CEBPD	55.6624	CEBPD	686.4334
CEBPG	800.8789	CEBPG	1317.8328
CEBPZ	1578.321	CEBPZ	1545.6485
CECR1	651.8356	CECR1	216.2969
removed	removed	CECR2	78.4983
removed	removed	CECR4	8.5324
CECR5	491.0739	CECR5	413.8225
removed	removed	CECR6	9.3857
removed	removed	CECR7	64.4198
CELF1	2349.1715	CELF1	2122.0137
CELF2	305.4106	CELF2	3203.9249
CELF3	33.3242	removed	removed
removed	removed	CELF5	17.9181
CELF6	25.4399	CELF6	63.3148
CELSR1	4640.4834	CELSR1	1201.3652
CELSR2	800.5127	CELSR2	1615.6143
CELSR3	41.0144	CELSR3	31.57
removed	removed	CEL	7.6792
CEMP1	80.0366	CEMP1	120.5845
CENPA	116.8177	removed	removed
CENPBD1	279.0442	CENPBD1	278.5836
CENPB	1755.1955	CENPB	1738.4812
CENPC1	510.8487	CENPC1	686.8601
CENPE	607.5254	CENPE	26.8771
CENPF	7375.9956	CENPF	85.7509
CENPH	136.5925	CENPH	121.1604
CENPI	111.3247	CENPI	16.2116
CENPJ	332.8756	CENPJ	220.5631
CENPK	85.3245	removed	removed
CENPL	499.4965	CENPL	80.2048
CENPM	141.3531	removed	removed
CENPN	285.4967	CENPN	98.7201
CENPO	239.6338	CENPO	41.7875
CENPP	66.8864	CENPP	17.7389
CENPQ	96.3105	CENPQ	104.9488
CENPT	191.8887	CENPT	347.6962
CENPV	23.0706	CENPV	200.9386
CENPW	159.2969	CENPW	49.9147
CEP110	796.1183	CEP110	747.0137
CEP120	525.1305	CEP120	955.2048
CEP135	282.34	CEP135	172.7816
CEP152	165.1561	CEP152	91.7235
CEP164	377.9182	CEP164	433.0205
CEP170L	6.5916	removed	removed
CEP170	1497.3908	CEP170	1119.0273
CEP192	1057.2187	CEP192	673.2082
CEP250	793.9211	CEP250	676.6212
CEP290	643.5045	CEP290	635.7892
CEP350	3673.3498	CEP350	1820.8191
CEP55	728.0051	CEP55	11.0922
CEP57	493.6373	CEP57	1103.6689
CEP63	600.2893	CEP63	955.0725
CEP68	609.3564	CEP68	2171.5017
CEP70	508.2853	CEP70	314.8464
CEP72	63.3526	CEP72	53.7543
CEP76	239.8608	CEP76	157.4232
CEP78	219.3537	CEP78	252.1331
CEP97	458.8483	CEP97	173.6348
CEPT1	411.9747	CEPT1	1366.041
CERCAM	1217.9804	CERCAM	416.3823
CERKL	33.0019	CERKL	17.2483
CERK	485.5809	CERK	938.5666
CES1	94.8457	CES1	3773.4642
CES2	522.2009	CES2	1685.1536
removed	removed	CES3	7.6792
removed	removed	CES4	105.802
CES8	20.8734	CES8	55.4608
CETN2	1149.5011	CETN2	869.4539
CETN3	221.5509	CETN3	315.6997
removed	removed	CETN4P	17.9181
removed	removed	CETP	629.6928
CFB	31868.2047	CFB	720.4352
CFDP1	437.2425	CFDP1	684.3003
CFD	72.5076	CFD	4924.0614
CFH	890.5978	CFH	913.8225
CFI	148.6771	CFI	550.3413
CFL1	8876.6822	CFL1	5898.4642
CFL2	183.0999	CFL2	1986.3481
CFLAR	1011.0775	CFLAR	1690.273
CFP	8.0564	CFP	9.8123
removed	removed	CFTR	5.5461
CG030	23.0706	CG030	40.529
removed	removed	CGB7	6.3908
CGGBP1	2761.1462	CGGBP1	2758.5324
CGNL1	1027.1903	CGNL1	758.1058
CGN	1133.0221	CGN	683.4471
CGREF1	220.2508	CGREF1	82.564
CGRRF1	180.5365	CGRRF1	322.5256
CH25H	24.9016	CH25H	114.7611
CHAC1	55.6624	CHAC1	16.2116
CHAC2	36.9862	CHAC2	32.4232
CHADL	46.1412	CHADL	82.3379
CHAD	48.3384	CHAD	140.785
CHAF1A	526.2291	CHAF1A	250.8532
CHAF1B	390.7351	CHAF1B	90.4437
CHCHD10	150.5081	CHCHD10	1276.8771
CHCHD1	418.5663	CHCHD1	294.7952
CHCHD2	2702.5542	CHCHD2	2508.959
CHCHD3	772.3153	CHCHD3	1030.7167
CHCHD4	270.2554	CHCHD4	270.9044
CHCHD5	272.0864	CHCHD5	228.6689
CHCHD6	165.1561	CHCHD6	85.3242
CHCHD7	96.6767	CHCHD7	456.4846
CHCHD8	838.9637	CHCHD8	382.6792
CHD1L	759.8645	CHD1L	529.4369
CHD1	1620.0677	CHD1	1178.3276
CHD2	3102.4444	CHD2	2876.2799
CHD3	5439.5313	CHD3	3419.3686
CHD4	11526.2364	CHD4	6215.5546
removed	removed	CHD5	6.8259
CHD6	2920.8093	CHD6	2238.4812
CHD7	83.1273	CHD7	650.5973
CHD8	3405.6578	CHD8	2145.9044
CHD9	1225.3044	CHD9	2410.8362
CHDH	131.8319	CHDH	482.9352
CHEK1	166.9871	CHEK1	94.7099
CHEK2	202.5085	CHEK2	65.273
CHERP	1210.195	CHERP	883.1314
CHFR	423.3269	CHFR	259.3857
CHI3L1	250.4806	CHI3L1	1399.3174
CHI3L2	21.2396	CHI3L2	548.6348
removed	removed	CHIA	19.198
CHIC1	355.58	CHIC1	351.1092
CHIC2	161.8603	CHIC2	267.4915
CHID1	1032.6833	CHID1	1107.9352
CHIT1	13.5494	CHIT1	45.2218
CHKA	173.9449	CHKA	444.5392
CHKB-CPT1B	322.7685	CHKB-CPT1B	331.4462
CHKB	177.9365	CHKB	295.2474
CHL1	171.0153	CHL1	1809.727
CHML	2092.0992	CHML	446.2457
CHMP1A	1256.7976	CHMP1A	1328.0717
CHMP1B	1295.981	CHMP1B	1382.2526
CHMP2A	1647.5327	CHMP2A	1453.9249
CHMP2B	1381.6717	CHMP2B	1135.2389
CHMP4A	945.1176	CHMP4A	911.8899
CHMP4B	2734.0474	CHMP4B	2270.9044
CHMP4C	529.5249	CHMP4C	302.901
CHMP5	1332.5607	CHMP5	1397.8328
CHMP6	326.284	CHMP6	341.2969
CHMP7	1646.0679	CHMP7	972.6962
CHM	1068.9371	CHM	728.2423
CHN1	181.6351	CHN1	277.3038
CHN2	200.6775	CHN2	122.0137
removed	removed	CHODL	221.4164
CHORDC1	369.1294	CHORDC1	310.1536
CHPF2	1521.9262	CHPF2	662.9693
CHPF	1641.6735	CHPF	703.4983
CHPT1	405.7493	CHPT1	2547.7048
CHP	2536.2996	CHP	6255.1195
CHRAC1	655.4976	CHRAC1	531.9966
CHRDL1	185.6633	CHRDL1	9856.2287
CHRD	726.9065	CHRD	124.5734
removed	removed	CHRFAM7A	19.9189
CHRM1	16.1128	CHRM1	52.0478
removed	removed	CHRM3	14.9317
CHRM5	5.1268	removed	removed
CHRNA10	7.324	CHRNA10	5.5461
CHRNA1	21.6058	removed	removed
removed	removed	CHRNA2	7.2526
CHRNA5	15.7466	CHRNA5	20.9044
CHRNA6	9.155	removed	removed
CHRNB1	117.5501	CHRNB1	184.3003
CHRNB2	15.3804	CHRNB2	51.1945
CHRNE	5.9105	CHRNE	7.2184
CHST10	338.0024	CHST10	186.4334
CHST11	145.7475	CHST11	37.9693
CHST12	135.1277	CHST12	224.8294
CHST14	464.7075	CHST14	436.4334
CHST15	1034.1481	CHST15	664.2491
CHST1	143.1841	CHST1	31.57
CHST2	46.1412	CHST2	208.6177
CHST3	290.3964	CHST3	1024.744
CHST6	34.0566	CHST6	8.1058
CHST7	21.2396	CHST7	73.3788
CHST8	6.5916	CHST8	13.2253
CHST9	41.7468	CHST9	172.3549
CHSY1	1451.9821	CHSY1	1001.2799
CHSY3	114.6205	CHSY3	52.901
CHTF18	50.5356	CHTF18	53.7543
CHTF8	1963.1969	CHTF8	2328.0717
CHUK	748.5123	CHUK	601.1092
CHURC1	1082.5854	CHURC1	1867.3251
CIAO1	1794.0126	CIAO1	1854.9488
CIAPIN1	540.877	CIAPIN1	497.4403
CIB1	2132.3812	CIB1	1088.7372
CIB2	34.4228	CIB2	164.2491
CIC	1537.6728	CIC	1434.3003
CIDEA	34.4228	CIDEA	6470.5631
CIDEB	137.552	CIDEB	366.7961
CIDECP	112.0571	CIDECP	136.5188
CIDEC	136.9587	CIDEC	16729.9488
CIITA	658.061	CIITA	215.4437
CILP2	157.0997	CILP2	11.9454
CILP	2553.1447	CILP	365.1877
CINP	380.8478	CINP	455.6314
CIR1	823.9495	CIR1	1068.2594
CIRBP	4239.1284	CIRBP	6868.6007
CIRH1A	509.7501	CIRH1A	971.4164
CISD1	203.6071	CISD1	276.8771
CISD2	551.4968	CISD2	337.884
CISD3	729.2099	CISD3	614.6544
CISH	964.204	CISH	125.8532
removed	removed	CITED1	86.1775
CITED2	1749.7025	CITED2	4260.2389
CITED4	252.6778	CITED4	413.3959
removed	removed	CIT	20.4778
CIZ1	2098.6908	CIZ1	1782.4232
CKAP2L	486.6795	removed	removed
CKAP2	2077.4512	CKAP2	265.785
CKAP4	4284.9034	CKAP4	1090.4437
CKAP5	4270.2554	CKAP5	2296.0751
CKB	38.8172	CKB	2552.4744
CKLF	246.0862	CKLF	215.8703
CKMT1A	202.1423	CKMT1A	69.1126
CKMT1B	566.1448	CKMT1B	56.314
CKMT2	9.155	CKMT2	308.0205
CKS1B	673.0752	CKS1B	615.6143
CKS2	505.3557	CKS2	45.2218
CLASP1	1545.363	CLASP1	2012.372
CLASP2	1394.4887	CLASP2	1578.9249
CLCA2	8.4226	CLCA2	99.4027
removed	removed	CLCA4	43.942
